Date,US Global JetsEtf_Open_average,US Global JetsEtf_Open_max,US Global JetsEtf_Open_min,US Global JetsEtf_Open_volatility,US Global JetsEtf_Open_change,US Global JetsEtf_High_average,US Global JetsEtf_High_max,US Global JetsEtf_High_min,US Global JetsEtf_High_volatility,US Global JetsEtf_High_change,US Global JetsEtf_Low_average,US Global JetsEtf_Low_max,US Global JetsEtf_Low_min,US Global JetsEtf_Low_volatility,US Global JetsEtf_Low_change,US Global JetsEtf_Close_average,US Global JetsEtf_Close_max,US Global JetsEtf_Close_min,US Global JetsEtf_Close_volatility,US Global JetsEtf_Close_change
2018-04-22,30.55,30.55,30.55,0.0,0.0,31.02,31.02,31.02,0.0,0.0,30.55,30.55,30.55,0.0,0.0,30.88,30.88,30.88,0.0,0.0
2018-04-29,30.11,30.11,30.11,0.0,0.0,30.6,30.6,30.6,0.0,0.0,30.11,30.11,30.11,0.0,0.0,30.42,30.42,30.42,0.0,0.0
2018-05-06,30.1,30.1,30.1,0.0,0.0,30.4,30.4,30.4,0.0,0.0,30.1,30.1,30.1,0.0,0.0,30.35,30.35,30.35,0.0,0.0
2018-05-13,30.5,30.5,30.5,0.0,0.0,30.57,30.57,30.57,0.0,0.0,30.37,30.37,30.37,0.0,0.0,30.37,30.37,30.37,0.0,0.0
2018-05-20,30.58,30.58,30.58,0.0,0.0,31.36,31.36,31.36,0.0,0.0,30.58,30.58,30.58,0.0,0.0,31.19,31.19,31.19,0.0,0.0
2018-05-27,30.36,30.36,30.36,0.0,0.0,30.51,30.51,30.51,0.0,0.0,30.33,30.33,30.33,0.0,0.0,30.4,30.4,30.4,0.0,0.0
2018-06-03,30.33,30.33,30.33,0.0,0.0,30.4,30.4,30.4,0.0,0.0,30.15,30.15,30.15,0.0,0.0,30.39,30.39,30.39,0.0,0.0
2018-06-10,30.42,30.42,30.42,0.0,0.0,30.82,30.82,30.82,0.0,0.0,30.42,30.42,30.42,0.0,0.0,30.79,30.79,30.79,0.0,0.0
2018-06-17,30.73,30.73,30.73,0.0,0.0,30.78,30.78,30.78,0.0,0.0,30.19,30.19,30.19,0.0,0.0,30.19,30.19,30.19,0.0,0.0
2018-06-24,28.87,28.87,28.87,0.0,0.0,29.15,29.15,29.15,0.0,0.0,28.87,28.87,28.87,0.0,0.0,28.89,28.89,28.89,0.0,0.0
2018-07-01,29.34,29.34,29.34,0.0,0.0,29.56,29.56,29.56,0.0,0.0,29.23,29.23,29.23,0.0,0.0,29.49,29.49,29.49,0.0,0.0
2018-07-08,29.37,29.37,29.37,0.0,0.0,29.76,29.76,29.76,0.0,0.0,29.37,29.37,29.37,0.0,0.0,29.76,29.76,29.76,0.0,0.0
2018-07-15,30.61,30.61,30.61,0.0,0.0,30.76,30.76,30.76,0.0,0.0,30.54,30.54,30.54,0.0,0.0,30.54,30.54,30.54,0.0,0.0
2018-07-22,31.34,31.34,31.34,0.0,0.0,31.6,31.6,31.6,0.0,0.0,31.27,31.27,31.27,0.0,0.0,31.33,31.33,31.33,0.0,0.0
2018-07-29,30.81,30.81,30.81,0.0,0.0,31.02,31.02,31.02,0.0,0.0,30.81,30.81,30.81,0.0,0.0,31.02,31.02,31.02,0.0,0.0
2018-08-05,30.72,30.72,30.72,0.0,0.0,30.82,30.82,30.82,0.0,0.0,30.54,30.54,30.54,0.0,0.0,30.77,30.77,30.77,0.0,0.0
2018-08-12,31.07,31.07,31.07,0.0,0.0,31.3,31.3,31.3,0.0,0.0,31.07,31.07,31.07,0.0,0.0,31.16,31.16,31.16,0.0,0.0
2018-08-19,31.76,31.76,31.76,0.0,0.0,31.92,31.92,31.92,0.0,0.0,31.68,31.68,31.68,0.0,0.0,31.84,31.84,31.84,0.0,0.0
2018-08-26,32.29,32.29,32.29,0.0,0.0,32.44,32.44,32.44,0.0,0.0,32.29,32.29,32.29,0.0,0.0,32.44,32.44,32.44,0.0,0.0
2018-09-02,31.78,31.78,31.78,0.0,0.0,32.27,32.27,32.27,0.0,0.0,31.78,31.78,31.78,0.0,0.0,31.98,31.98,31.98,0.0,0.0
2018-09-09,32.38,32.38,32.38,0.0,0.0,32.51,32.51,32.51,0.0,0.0,32.26,32.26,32.26,0.0,0.0,32.44,32.44,32.44,0.0,0.0
2018-09-16,32.96,32.96,32.96,0.0,0.0,33.42,33.42,33.42,0.0,0.0,32.84,32.84,32.84,0.0,0.0,33.3,33.3,33.3,0.0,0.0
2018-09-23,32.68,32.68,32.68,0.0,0.0,32.84,32.84,32.84,0.0,0.0,32.48,32.48,32.48,0.0,0.0,32.58,32.58,32.58,0.0,0.0
2018-09-30,31.33,31.33,31.33,0.0,0.0,31.33,31.33,31.33,0.0,0.0,30.75,30.75,30.75,0.0,0.0,30.83,30.83,30.83,0.0,0.0
2018-10-07,29.45,29.45,29.45,0.0,0.0,29.52,29.52,29.52,0.0,0.0,29.01,29.01,29.01,0.0,0.0,29.23,29.23,29.23,0.0,0.0
2018-10-14,29.75,29.75,29.75,0.0,0.0,29.9,29.9,29.9,0.0,0.0,29.67,29.67,29.67,0.0,0.0,29.78,29.78,29.78,0.0,0.0
2018-10-21,28.64,28.64,28.64,0.0,0.0,28.95,28.95,28.95,0.0,0.0,28.31,28.31,28.31,0.0,0.0,28.86,28.86,28.86,0.0,0.0
2018-10-28,30.69,30.69,30.69,0.0,0.0,31.09,31.09,31.09,0.0,0.0,30.56,30.56,30.56,0.0,0.0,30.63,30.63,30.63,0.0,0.0
2018-11-04,31.27,31.27,31.27,0.0,0.0,31.46,31.46,31.46,0.0,0.0,31.03,31.03,31.03,0.0,0.0,31.19,31.19,31.19,0.0,0.0
2018-11-11,31.15,31.15,31.15,0.0,0.0,31.15,31.15,31.15,0.0,0.0,30.66,30.66,30.66,0.0,0.0,30.96,30.96,30.96,0.0,0.0
2018-11-18,31.01,31.01,31.01,0.0,0.0,31.44,31.44,31.44,0.0,0.0,30.97,30.97,30.97,0.0,0.0,31.4,31.4,31.4,0.0,0.0
2018-11-25,32.16,32.16,32.16,0.0,0.0,32.95,32.95,32.95,0.0,0.0,32.16,32.16,32.16,0.0,0.0,32.93,32.93,32.93,0.0,0.0
2018-12-02,31.27,31.27,31.27,0.0,0.0,31.27,31.27,31.27,0.0,0.0,29.83,29.83,29.83,0.0,0.0,29.92,29.92,29.92,0.0,0.0
2018-12-09,29.06,29.06,29.06,0.0,0.0,29.56,29.56,29.56,0.0,0.0,29.06,29.06,29.06,0.0,0.0,29.19,29.19,29.19,0.0,0.0
2018-12-16,28.18,28.18,28.18,0.0,0.0,28.25,28.25,28.25,0.0,0.0,27.51,27.51,27.51,0.0,0.0,27.51,27.51,27.51,0.0,0.0
2018-12-23,28.1,28.1,28.1,0.0,0.0,28.13,28.13,28.13,0.0,0.0,27.78,27.78,27.78,0.0,0.0,27.84,27.84,27.84,0.0,0.0
2018-12-30,27.31,27.31,27.31,0.0,0.0,28.09,28.09,28.09,0.0,0.0,27.05,27.05,27.05,0.0,0.0,27.99,27.99,27.99,0.0,0.0
2019-01-06,28.58,28.58,28.58,0.0,0.0,28.73,28.73,28.73,0.0,0.0,28.48,28.48,28.48,0.0,0.0,28.71,28.71,28.71,0.0,0.0
2019-01-13,29.55,29.55,29.55,0.0,0.0,29.76,29.76,29.76,0.0,0.0,29.51,29.51,29.51,0.0,0.0,29.6,29.6,29.6,0.0,0.0
2019-01-20,29.95,29.95,29.95,0.0,0.0,30.2,30.2,30.2,0.0,0.0,29.87,29.87,29.87,0.0,0.0,30.04,30.04,30.04,0.0,0.0
2019-01-27,30.83,30.83,30.83,0.0,0.0,31.15,31.15,31.15,0.0,0.0,30.82,30.82,30.82,0.0,0.0,30.95,30.95,30.95,0.0,0.0
2019-02-03,31.04,31.04,31.04,0.0,0.0,31.11,31.11,31.11,0.0,0.0,30.82,30.82,30.82,0.0,0.0,31.1,31.1,31.1,0.0,0.0
2019-02-10,31.5,31.5,31.5,0.0,0.0,31.59,31.59,31.59,0.0,0.0,31.32,31.32,31.32,0.0,0.0,31.35,31.35,31.35,0.0,0.0
2019-02-17,31.08,31.08,31.08,0.0,0.0,31.2,31.2,31.2,0.0,0.0,31.03,31.03,31.03,0.0,0.0,31.2,31.2,31.2,0.0,0.0
2019-02-24,30.96,30.96,30.96,0.0,0.0,30.97,30.97,30.97,0.0,0.0,30.41,30.41,30.41,0.0,0.0,30.6,30.6,30.6,0.0,0.0
2019-03-03,29.04,29.04,29.04,0.0,0.0,29.12,29.12,29.12,0.0,0.0,28.95,28.95,28.95,0.0,0.0,29.07,29.07,29.07,0.0,0.0
2019-03-10,29.4,29.4,29.4,0.0,0.0,29.46,29.46,29.46,0.0,0.0,29.25,29.25,29.25,0.0,0.0,29.31,29.31,29.31,0.0,0.0
2019-03-17,29.07,29.07,29.07,0.0,0.0,29.07,29.07,29.07,0.0,0.0,28.33,28.33,28.33,0.0,0.0,28.36,28.36,28.36,0.0,0.0
2019-03-24,28.8,28.8,28.8,0.0,0.0,29.18,29.18,29.18,0.0,0.0,28.74,28.74,28.74,0.0,0.0,29.18,29.18,29.18,0.0,0.0
2019-03-31,30.6,30.6,30.6,0.0,0.0,30.83,30.83,30.83,0.0,0.0,30.6,30.6,30.6,0.0,0.0,30.75,30.75,30.75,0.0,0.0
2019-04-07,31.05,31.05,31.05,0.0,0.0,31.17,31.17,31.17,0.0,0.0,30.85,30.85,30.85,0.0,0.0,30.93,30.93,30.93,0.0,0.0
2019-04-14,31.28,31.28,31.28,0.0,0.0,31.28,31.28,31.28,0.0,0.0,30.96,30.96,30.96,0.0,0.0,31.2,31.2,31.2,0.0,0.0
2019-04-21,30.45,30.45,30.45,0.0,0.0,30.93,30.93,30.93,0.0,0.0,30.37,30.37,30.37,0.0,0.0,30.84,30.84,30.84,0.0,0.0
2019-04-28,31.33,31.33,31.33,0.0,0.0,31.43,31.43,31.43,0.0,0.0,31.16,31.16,31.16,0.0,0.0,31.36,31.36,31.36,0.0,0.0
2019-05-05,30.08,30.08,30.08,0.0,0.0,30.44,30.44,30.44,0.0,0.0,29.66,29.66,29.66,0.0,0.0,30.44,30.44,30.44,0.0,0.0
2019-05-12,29.62,29.62,29.62,0.0,0.0,29.69,29.69,29.69,0.0,0.0,29.56,29.56,29.56,0.0,0.0,29.56,29.56,29.56,0.0,0.0
2019-05-19,29.07,29.07,29.07,0.0,0.0,29.19,29.19,29.19,0.0,0.0,28.73,28.73,28.73,0.0,0.0,28.82,28.82,28.82,0.0,0.0
2019-05-26,28.15,28.15,28.15,0.0,0.0,28.19,28.19,28.19,0.0,0.0,27.8,27.8,27.8,0.0,0.0,27.87,27.87,27.87,0.0,0.0
2019-06-02,29.54,29.54,29.54,0.0,0.0,29.87,29.87,29.87,0.0,0.0,29.51,29.51,29.51,0.0,0.0,29.61,29.61,29.61,0.0,0.0
2019-06-09,30.51,30.51,30.51,0.0,0.0,30.59,30.59,30.59,0.0,0.0,30.21,30.21,30.21,0.0,0.0,30.31,30.31,30.31,0.0,0.0
2019-06-16,30.04,30.04,30.04,0.0,0.0,30.33,30.33,30.33,0.0,0.0,29.88,29.88,29.88,0.0,0.0,29.92,29.92,29.92,0.0,0.0
2019-06-23,30.05,30.05,30.05,0.0,0.0,30.29,30.29,30.29,0.0,0.0,30.05,30.05,30.05,0.0,0.0,30.23,30.23,30.23,0.0,0.0
2019-06-30,30.73,30.73,30.73,0.0,0.0,31.03,31.03,31.03,0.0,0.0,30.65,30.65,30.65,0.0,0.0,30.96,30.96,30.96,0.0,0.0
2019-07-07,31.03,31.03,31.03,0.0,0.0,31.37,31.37,31.37,0.0,0.0,31.0,31.0,31.0,0.0,0.0,31.31,31.31,31.31,0.0,0.0
2019-07-14,31.74,31.74,31.74,0.0,0.0,31.74,31.74,31.74,0.0,0.0,31.32,31.32,31.32,0.0,0.0,31.32,31.32,31.32,0.0,0.0
2019-07-21,31.35,31.35,31.35,0.0,0.0,31.38,31.38,31.38,0.0,0.0,31.16,31.16,31.16,0.0,0.0,31.16,31.16,31.16,0.0,0.0
2019-07-28,30.2,30.2,30.2,0.0,0.0,30.2,30.2,30.2,0.0,0.0,29.84,29.84,29.84,0.0,0.0,30.0,30.0,30.0,0.0,0.0
2019-08-04,29.86,29.86,29.86,0.0,0.0,29.86,29.86,29.86,0.0,0.0,29.35,29.35,29.35,0.0,0.0,29.54,29.54,29.54,0.0,0.0
2019-08-11,27.76,27.76,27.76,0.0,0.0,28.26,28.26,28.26,0.0,0.0,27.76,27.76,27.76,0.0,0.0,28.21,28.21,28.21,0.0,0.0
2019-08-18,28.53,28.53,28.53,0.0,0.0,28.68,28.68,28.68,0.0,0.0,27.86,27.86,27.86,0.0,0.0,27.87,27.87,27.87,0.0,0.0
2019-08-25,28.84,28.84,28.84,0.0,0.0,28.97,28.97,28.97,0.0,0.0,28.62,28.62,28.62,0.0,0.0,28.72,28.72,28.72,0.0,0.0
2019-09-01,29.2,29.2,29.2,0.0,0.0,29.33,29.33,29.33,0.0,0.0,29.12,29.12,29.12,0.0,0.0,29.12,29.12,29.12,0.0,0.0
2019-09-08,30.5,30.5,30.5,0.0,0.0,30.72,30.72,30.72,0.0,0.0,30.5,30.5,30.5,0.0,0.0,30.62,30.62,30.62,0.0,0.0
2019-09-15,29.94,29.94,29.94,0.0,0.0,30.04,30.04,30.04,0.0,0.0,29.77,29.77,29.77,0.0,0.0,29.77,29.77,29.77,0.0,0.0
2019-09-22,29.66,29.66,29.66,0.0,0.0,29.77,29.77,29.77,0.0,0.0,29.33,29.33,29.33,0.0,0.0,29.33,29.33,29.33,0.0,0.0
2019-09-29,28.18,28.18,28.18,0.0,0.0,28.43,28.43,28.43,0.0,0.0,28.1,28.1,28.1,0.0,0.0,28.43,28.43,28.43,0.0,0.0
2019-10-06,29.56,29.56,29.56,0.0,0.0,29.7,29.7,29.7,0.0,0.0,29.3,29.3,29.3,0.0,0.0,29.36,29.36,29.36,0.0,0.0
2019-10-13,30.06,30.06,30.06,0.0,0.0,30.15,30.15,30.15,0.0,0.0,29.93,29.93,29.93,0.0,0.0,29.93,29.93,29.93,0.0,0.0
2019-10-20,30.55,30.55,30.55,0.0,0.0,31.09,31.09,31.09,0.0,0.0,30.55,30.55,30.55,0.0,0.0,31.09,31.09,31.09,0.0,0.0
2019-10-27,31.16,31.16,31.16,0.0,0.0,31.31,31.31,31.31,0.0,0.0,31.14,31.14,31.14,0.0,0.0,31.29,31.29,31.29,0.0,0.0
2019-11-03,32.02,32.02,32.02,0.0,0.0,32.04,32.04,32.04,0.0,0.0,31.77,31.77,31.77,0.0,0.0,32.04,32.04,32.04,0.0,0.0
2019-11-10,31.74,31.74,31.74,0.0,0.0,31.93,31.93,31.93,0.0,0.0,31.74,31.74,31.74,0.0,0.0,31.84,31.84,31.84,0.0,0.0
2019-11-17,31.36,31.36,31.36,0.0,0.0,31.57,31.57,31.57,0.0,0.0,31.36,31.36,31.36,0.0,0.0,31.56,31.56,31.56,0.0,0.0
2019-11-24,31.91,31.91,31.91,0.0,0.0,32.11,32.11,32.11,0.0,0.0,31.91,31.91,31.91,0.0,0.0,31.92,31.92,31.92,0.0,0.0
2019-12-01,31.69,31.69,31.69,0.0,0.0,31.69,31.69,31.69,0.0,0.0,31.57,31.57,31.57,0.0,0.0,31.57,31.57,31.57,0.0,0.0
2019-12-08,31.58,31.58,31.58,0.0,0.0,31.75,31.75,31.75,0.0,0.0,31.48,31.48,31.48,0.0,0.0,31.54,31.54,31.54,0.0,0.0
2019-12-15,32.29,32.29,32.29,0.0,0.0,32.32,32.32,32.32,0.0,0.0,32.16,32.16,32.16,0.0,0.0,32.27,32.27,32.27,0.0,0.0
2019-12-22,32.05,32.05,32.05,0.0,0.0,32.05,32.05,32.05,0.0,0.0,31.55,31.55,31.55,0.0,0.0,31.61,31.61,31.61,0.0,0.0
2019-12-29,31.18,31.18,31.18,0.0,0.0,31.32,31.32,31.32,0.0,0.0,30.9,30.9,30.9,0.0,0.0,31.17,31.17,31.17,0.0,0.0
