Date,PowerShares DWA SmallCap Momentum Portfolio_Open_average,PowerShares DWA SmallCap Momentum Portfolio_Open_max,PowerShares DWA SmallCap Momentum Portfolio_Open_min,PowerShares DWA SmallCap Momentum Portfolio_Open_volatility,PowerShares DWA SmallCap Momentum Portfolio_Open_change,PowerShares DWA SmallCap Momentum Portfolio_High_average,PowerShares DWA SmallCap Momentum Portfolio_High_max,PowerShares DWA SmallCap Momentum Portfolio_High_min,PowerShares DWA SmallCap Momentum Portfolio_High_volatility,PowerShares DWA SmallCap Momentum Portfolio_High_change,PowerShares DWA SmallCap Momentum Portfolio_Low_average,PowerShares DWA SmallCap Momentum Portfolio_Low_max,PowerShares DWA SmallCap Momentum Portfolio_Low_min,PowerShares DWA SmallCap Momentum Portfolio_Low_volatility,PowerShares DWA SmallCap Momentum Portfolio_Low_change,PowerShares DWA SmallCap Momentum Portfolio_Close_average,PowerShares DWA SmallCap Momentum Portfolio_Close_max,PowerShares DWA SmallCap Momentum Portfolio_Close_min,PowerShares DWA SmallCap Momentum Portfolio_Close_volatility,PowerShares DWA SmallCap Momentum Portfolio_Close_change
2018-04-08,50.15,50.15,50.15,0.0,0.0,50.15,50.15,50.15,0.0,0.0,49.58,49.58,49.58,0.0,0.0,49.72,49.72,49.72,0.0,0.0
2018-04-15,50.67,50.67,50.67,0.0,0.0,50.9,50.9,50.9,0.0,0.0,50.38,50.38,50.38,0.0,0.0,50.56,50.56,50.56,0.0,0.0
2018-04-22,50.22,50.22,50.22,0.0,0.0,50.22,50.22,50.22,0.0,0.0,49.83,49.83,49.83,0.0,0.0,49.94,49.94,49.94,0.0,0.0
2018-04-29,49.62,49.62,49.62,0.0,0.0,50.66,50.66,50.66,0.0,0.0,49.62,49.62,49.62,0.0,0.0,50.53,50.53,50.53,0.0,0.0
2018-05-06,51.64,51.64,51.64,0.0,0.0,51.87,51.87,51.87,0.0,0.0,51.5,51.5,51.5,0.0,0.0,51.7,51.7,51.7,0.0,0.0
2018-05-13,52.75,52.75,52.75,0.0,0.0,53.03,53.03,53.03,0.0,0.0,52.62,52.62,52.62,0.0,0.0,52.91,52.91,52.91,0.0,0.0
2018-05-20,52.57,52.57,52.57,0.0,0.0,52.93,52.93,52.93,0.0,0.0,52.57,52.57,52.57,0.0,0.0,52.88,52.88,52.88,0.0,0.0
2018-05-27,53.86,53.86,53.86,0.0,0.0,54.38,54.38,54.38,0.0,0.0,53.67,53.67,53.67,0.0,0.0,54.12,54.12,54.12,0.0,0.0
2018-06-03,54.9,54.9,54.9,0.0,0.0,55.22,55.22,55.22,0.0,0.0,54.85,54.85,54.85,0.0,0.0,55.21,55.21,55.21,0.0,0.0
2018-06-10,55.73,55.73,55.73,0.0,0.0,55.99,55.99,55.99,0.0,0.0,55.55,55.55,55.55,0.0,0.0,55.99,55.99,55.99,0.0,0.0
2018-06-17,56.58,56.58,56.58,0.0,0.0,56.58,56.58,56.58,0.0,0.0,55.5,55.5,55.5,0.0,0.0,55.84,55.84,55.84,0.0,0.0
2018-06-24,54.19,54.19,54.19,0.0,0.0,54.45,54.45,54.45,0.0,0.0,53.9,53.9,53.9,0.0,0.0,54.03,54.03,54.03,0.0,0.0
2018-07-01,55.83,55.83,55.83,0.0,0.0,56.32,56.32,56.32,0.0,0.0,55.83,55.83,55.83,0.0,0.0,56.21,56.21,56.21,0.0,0.0
2018-07-08,56.24,56.24,56.24,0.0,0.0,56.37,56.37,56.37,0.0,0.0,56.0,56.0,56.0,0.0,0.0,56.15,56.15,56.15,0.0,0.0
2018-07-15,56.67,56.67,56.67,0.0,0.0,57.15,57.15,57.15,0.0,0.0,56.63,56.63,56.63,0.0,0.0,56.63,56.63,56.63,0.0,0.0
2018-07-22,56.17,56.17,56.17,0.0,0.0,56.3,56.3,56.3,0.0,0.0,54.39,54.39,54.39,0.0,0.0,54.6,54.6,54.6,0.0,0.0
2018-07-29,54.92,54.92,54.92,0.0,0.0,55.02,55.02,55.02,0.0,0.0,54.37,54.37,54.37,0.0,0.0,54.57,54.57,54.57,0.0,0.0
2018-08-05,55.49,55.49,55.49,0.0,0.0,56.13,56.13,56.13,0.0,0.0,55.47,55.47,55.47,0.0,0.0,55.89,55.89,55.89,0.0,0.0
2018-08-12,55.25,55.25,55.25,0.0,0.0,55.7,55.7,55.7,0.0,0.0,55.05,55.05,55.05,0.0,0.0,55.67,55.67,55.67,0.0,0.0
2018-08-19,57.53,57.53,57.53,0.0,0.0,57.89,57.89,57.89,0.0,0.0,57.53,57.53,57.53,0.0,0.0,57.79,57.79,57.79,0.0,0.0
2018-08-26,58.71,58.71,58.71,0.0,0.0,59.43,59.43,59.43,0.0,0.0,58.66,58.66,58.66,0.0,0.0,59.39,59.39,59.39,0.0,0.0
2018-09-02,57.99,57.99,57.99,0.0,0.0,59.1,59.1,59.1,0.0,0.0,57.97,57.97,57.97,0.0,0.0,58.58,58.58,58.58,0.0,0.0
2018-09-09,58.65,58.65,58.65,0.0,0.0,59.12,59.12,59.12,0.0,0.0,58.56,58.56,58.56,0.0,0.0,58.86,58.86,58.86,0.0,0.0
2018-09-16,58.12,58.12,58.12,0.0,0.0,58.28,58.28,58.28,0.0,0.0,57.47,57.47,57.47,0.0,0.0,57.57,57.57,57.57,0.0,0.0
2018-09-23,57.26,57.26,57.26,0.0,0.0,57.88,57.88,57.88,0.0,0.0,57.26,57.26,57.26,0.0,0.0,57.52,57.52,57.52,0.0,0.0
2018-09-30,54.24,54.24,54.24,0.0,0.0,54.53,54.53,54.53,0.0,0.0,52.86,52.86,52.86,0.0,0.0,53.52,53.52,53.52,0.0,0.0
2018-10-07,50.6,50.6,50.6,0.0,0.0,50.8,50.8,50.8,0.0,0.0,49.5,49.5,49.5,0.0,0.0,50.14,50.14,50.14,0.0,0.0
2018-10-14,51.66,51.66,51.66,0.0,0.0,51.72,51.72,51.72,0.0,0.0,50.12,50.12,50.12,0.0,0.0,50.27,50.27,50.27,0.0,0.0
2018-10-21,48.04,48.04,48.04,0.0,0.0,48.92,48.92,48.92,0.0,0.0,47.1,47.1,47.1,0.0,0.0,48.28,48.28,48.28,0.0,0.0
2018-10-28,50.89,50.89,50.89,0.0,0.0,51.21,51.21,51.21,0.0,0.0,50.38,50.38,50.38,0.0,0.0,50.64,50.64,50.64,0.0,0.0
2018-11-04,51.09,51.09,51.09,0.0,0.0,51.17,51.17,51.17,0.0,0.0,49.81,49.81,49.81,0.0,0.0,50.2,50.2,50.2,0.0,0.0
2018-11-11,48.59,48.59,48.59,0.0,0.0,49.36,49.36,49.36,0.0,0.0,48.49,48.49,48.49,0.0,0.0,49.23,49.23,49.23,0.0,0.0
2018-11-18,46.69,46.69,46.69,0.0,0.0,47.74,47.74,47.74,0.0,0.0,46.69,46.69,46.69,0.0,0.0,47.29,47.29,47.29,0.0,0.0
2018-11-25,49.62,49.62,49.62,0.0,0.0,49.88,49.88,49.88,0.0,0.0,49.31,49.31,49.31,0.0,0.0,49.82,49.82,49.82,0.0,0.0
2018-12-02,47.91,47.91,47.91,0.0,0.0,48.24,48.24,48.24,0.0,0.0,46.33,46.33,46.33,0.0,0.0,46.56,46.56,46.56,0.0,0.0
2018-12-09,46.19,46.19,46.19,0.0,0.0,46.69,46.69,46.69,0.0,0.0,45.79,45.79,45.79,0.0,0.0,45.91,45.91,45.91,0.0,0.0
2018-12-16,42.59,42.59,42.59,0.0,0.0,42.59,42.59,42.59,0.0,0.0,40.56,40.56,40.56,0.0,0.0,40.75,40.75,40.75,0.0,0.0
2018-12-23,42.69,42.69,42.69,0.0,0.0,43.7,43.7,43.7,0.0,0.0,42.29,42.29,42.29,0.0,0.0,42.93,42.93,42.93,0.0,0.0
2018-12-30,43.13,43.13,43.13,0.0,0.0,44.2,44.2,44.2,0.0,0.0,43.13,43.13,43.13,0.0,0.0,44.04,44.04,44.04,0.0,0.0
2019-01-06,46.17,46.17,46.17,0.0,0.0,46.28,46.28,46.28,0.0,0.0,45.99,45.99,45.99,0.0,0.0,46.19,46.19,46.19,0.0,0.0
2019-01-13,47.24,47.24,47.24,0.0,0.0,47.55,47.55,47.55,0.0,0.0,46.96,46.96,46.96,0.0,0.0,47.42,47.42,47.42,0.0,0.0
2019-01-20,47.09,47.09,47.09,0.0,0.0,47.62,47.62,47.62,0.0,0.0,47.09,47.09,47.09,0.0,0.0,47.54,47.54,47.54,0.0,0.0
2019-01-27,48.09,48.09,48.09,0.0,0.0,48.27,48.27,48.27,0.0,0.0,47.91,47.91,47.91,0.0,0.0,48.11,48.11,48.11,0.0,0.0
2019-02-03,47.75,47.75,47.75,0.0,0.0,48.43,48.43,48.43,0.0,0.0,47.75,47.75,47.75,0.0,0.0,48.43,48.43,48.43,0.0,0.0
2019-02-10,49.99,49.99,49.99,0.0,0.0,50.41,50.41,50.41,0.0,0.0,49.96,49.96,49.96,0.0,0.0,50.41,50.41,50.41,0.0,0.0
2019-02-17,51.12,51.12,51.12,0.0,0.0,51.47,51.47,51.47,0.0,0.0,51.06,51.06,51.06,0.0,0.0,51.47,51.47,51.47,0.0,0.0
2019-02-24,51.56,51.56,51.56,0.0,0.0,51.73,51.73,51.73,0.0,0.0,51.2,51.2,51.2,0.0,0.0,51.63,51.63,51.63,0.0,0.0
2019-03-03,49.06,49.06,49.06,0.0,0.0,49.62,49.62,49.62,0.0,0.0,49.06,49.06,49.06,0.0,0.0,49.62,49.62,49.62,0.0,0.0
2019-03-10,50.99,50.99,50.99,0.0,0.0,51.27,51.27,51.27,0.0,0.0,50.9,50.9,50.9,0.0,0.0,50.9,50.9,50.9,0.0,0.0
2019-03-17,51.33,51.33,51.33,0.0,0.0,51.33,51.33,51.33,0.0,0.0,49.78,49.78,49.78,0.0,0.0,49.78,49.78,49.78,0.0,0.0
2019-03-24,50.39,50.39,50.39,0.0,0.0,50.75,50.75,50.75,0.0,0.0,50.36,50.36,50.36,0.0,0.0,50.5,50.5,50.5,0.0,0.0
2019-03-31,51.0,51.0,51.0,0.0,0.0,51.34,51.34,51.34,0.0,0.0,51.0,51.0,51.0,0.0,0.0,51.27,51.27,51.27,0.0,0.0
2019-04-07,51.45,51.45,51.45,0.0,0.0,51.56,51.56,51.56,0.0,0.0,51.01,51.01,51.01,0.0,0.0,51.12,51.12,51.12,0.0,0.0
2019-04-14,49.97,49.97,49.97,0.0,0.0,50.03,50.03,50.03,0.0,0.0,49.23,49.23,49.23,0.0,0.0,49.68,49.68,49.68,0.0,0.0
2019-04-21,50.79,50.79,50.79,0.0,0.0,51.37,51.37,51.37,0.0,0.0,50.69,50.69,50.69,0.0,0.0,51.29,51.29,51.29,0.0,0.0
2019-04-28,51.45,51.45,51.45,0.0,0.0,52.11,52.11,52.11,0.0,0.0,51.45,51.45,51.45,0.0,0.0,52.1,52.1,52.1,0.0,0.0
2019-05-05,51.33,51.33,51.33,0.0,0.0,51.82,51.82,51.82,0.0,0.0,50.7,50.7,50.7,0.0,0.0,51.77,51.77,51.77,0.0,0.0
2019-05-12,51.4,51.4,51.4,0.0,0.0,51.97,51.97,51.97,0.0,0.0,51.22,51.22,51.22,0.0,0.0,51.22,51.22,51.22,0.0,0.0
2019-05-19,50.97,50.97,50.97,0.0,0.0,50.97,50.97,50.97,0.0,0.0,50.61,50.61,50.61,0.0,0.0,50.83,50.83,50.83,0.0,0.0
2019-05-26,49.73,49.73,49.73,0.0,0.0,49.95,49.95,49.95,0.0,0.0,49.35,49.35,49.35,0.0,0.0,49.47,49.47,49.47,0.0,0.0
2019-06-02,51.0,51.0,51.0,0.0,0.0,51.69,51.69,51.69,0.0,0.0,51.0,51.0,51.0,0.0,0.0,51.64,51.64,51.64,0.0,0.0
2019-06-09,52.29,52.29,52.29,0.0,0.0,52.29,52.29,52.29,0.0,0.0,51.92,51.92,51.92,0.0,0.0,51.99,51.99,51.99,0.0,0.0
2019-06-16,53.58,53.58,53.58,0.0,0.0,53.58,53.58,53.58,0.0,0.0,53.09,53.09,53.09,0.0,0.0,53.31,53.31,53.31,0.0,0.0
2019-06-23,53.17,53.17,53.17,0.0,0.0,54.07,54.07,54.07,0.0,0.0,53.14,53.14,53.14,0.0,0.0,53.97,53.97,53.97,0.0,0.0
2019-06-30,54.53,54.53,54.53,0.0,0.0,54.88,54.88,54.88,0.0,0.0,54.38,54.38,54.38,0.0,0.0,54.88,54.88,54.88,0.0,0.0
2019-07-07,55.16,55.16,55.16,0.0,0.0,55.45,55.45,55.45,0.0,0.0,54.9,54.9,54.9,0.0,0.0,55.3,55.3,55.3,0.0,0.0
2019-07-14,55.21,55.21,55.21,0.0,0.0,55.4,55.4,55.4,0.0,0.0,54.69,54.69,54.69,0.0,0.0,54.71,54.71,54.71,0.0,0.0
2019-07-21,54.54,54.54,54.54,0.0,0.0,55.35,55.35,55.35,0.0,0.0,54.54,54.54,54.54,0.0,0.0,55.28,55.28,55.28,0.0,0.0
2019-07-28,54.75,54.75,54.75,0.0,0.0,54.75,54.75,54.75,0.0,0.0,53.53,53.53,53.53,0.0,0.0,54.18,54.18,54.18,0.0,0.0
2019-08-04,53.94,53.94,53.94,0.0,0.0,53.94,53.94,53.94,0.0,0.0,53.37,53.37,53.37,0.0,0.0,53.51,53.51,53.51,0.0,0.0
2019-08-11,52.66,52.66,52.66,0.0,0.0,53.52,53.52,53.52,0.0,0.0,52.66,52.66,52.66,0.0,0.0,53.41,53.41,53.41,0.0,0.0
2019-08-18,53.61,53.61,53.61,0.0,0.0,54.24,54.24,54.24,0.0,0.0,52.35,52.35,52.35,0.0,0.0,52.52,52.52,52.52,0.0,0.0
2019-08-25,53.91,53.91,53.91,0.0,0.0,54.09,54.09,54.09,0.0,0.0,53.03,53.03,53.03,0.0,0.0,53.34,53.34,53.34,0.0,0.0
2019-09-01,53.04,53.04,53.04,0.0,0.0,53.26,53.26,53.26,0.0,0.0,52.53,52.53,52.53,0.0,0.0,52.53,52.53,52.53,0.0,0.0
2019-09-08,52.68,52.68,52.68,0.0,0.0,53.08,53.08,53.08,0.0,0.0,52.62,52.62,52.62,0.0,0.0,52.68,52.68,52.68,0.0,0.0
2019-09-15,53.05,53.05,53.05,0.0,0.0,53.05,53.05,53.05,0.0,0.0,52.33,52.33,52.33,0.0,0.0,52.8,52.8,52.8,0.0,0.0
2019-09-22,50.9,50.9,50.9,0.0,0.0,50.9,50.9,50.9,0.0,0.0,49.7,49.7,49.7,0.0,0.0,49.92,49.92,49.92,0.0,0.0
2019-09-29,49.06,49.06,49.06,0.0,0.0,49.4,49.4,49.4,0.0,0.0,49.0,49.0,49.0,0.0,0.0,49.39,49.39,49.39,0.0,0.0
2019-10-06,49.4,49.4,49.4,0.0,0.0,49.89,49.89,49.89,0.0,0.0,49.27,49.27,49.27,0.0,0.0,49.28,49.28,49.28,0.0,0.0
2019-10-13,50.54,50.54,50.54,0.0,0.0,50.74,50.74,50.74,0.0,0.0,50.01,50.01,50.01,0.0,0.0,50.42,50.42,50.42,0.0,0.0
2019-10-20,50.99,50.99,50.99,0.0,0.0,51.35,51.35,51.35,0.0,0.0,50.99,50.99,50.99,0.0,0.0,51.18,51.18,51.18,0.0,0.0
2019-10-27,51.82,51.82,51.82,0.0,0.0,52.0,52.0,52.0,0.0,0.0,51.57,51.57,51.57,0.0,0.0,51.92,51.92,51.92,0.0,0.0
2019-11-03,52.23,52.23,52.23,0.0,0.0,52.44,52.44,52.44,0.0,0.0,52.02,52.02,52.02,0.0,0.0,52.44,52.44,52.44,0.0,0.0
2019-11-10,52.67,52.67,52.67,0.0,0.0,52.67,52.67,52.67,0.0,0.0,52.41,52.41,52.41,0.0,0.0,52.57,52.57,52.57,0.0,0.0
2019-11-17,52.96,52.96,52.96,0.0,0.0,52.96,52.96,52.96,0.0,0.0,52.53,52.53,52.53,0.0,0.0,52.79,52.79,52.79,0.0,0.0
2019-11-24,54.18,54.18,54.18,0.0,0.0,54.44,54.44,54.44,0.0,0.0,54.18,54.18,54.18,0.0,0.0,54.44,54.44,54.44,0.0,0.0
2019-12-01,55.03,55.03,55.03,0.0,0.0,55.36,55.36,55.36,0.0,0.0,55.03,55.03,55.03,0.0,0.0,55.11,55.11,55.11,0.0,0.0
2019-12-08,54.75,54.75,54.75,0.0,0.0,55.08,55.08,55.08,0.0,0.0,54.53,54.53,54.53,0.0,0.0,54.73,54.73,54.73,0.0,0.0
2019-12-15,57.03,57.03,57.03,0.0,0.0,57.41,57.41,57.41,0.0,0.0,57.03,57.03,57.03,0.0,0.0,57.41,57.41,57.41,0.0,0.0
2019-12-22,57.87,57.87,57.87,0.0,0.0,57.87,57.87,57.87,0.0,0.0,57.04,57.04,57.04,0.0,0.0,57.13,57.13,57.13,0.0,0.0
2019-12-29,56.11,56.11,56.11,0.0,0.0,56.87,56.87,56.87,0.0,0.0,56.11,56.11,56.11,0.0,0.0,56.69,56.69,56.69,0.0,0.0
