Date,Invesco S and P MidCap QualityEtf_Open_average,Invesco S and P MidCap QualityEtf_Open_max,Invesco S and P MidCap QualityEtf_Open_min,Invesco S and P MidCap QualityEtf_Open_volatility,Invesco S and P MidCap QualityEtf_Open_change,Invesco S and P MidCap QualityEtf_High_average,Invesco S and P MidCap QualityEtf_High_max,Invesco S and P MidCap QualityEtf_High_min,Invesco S and P MidCap QualityEtf_High_volatility,Invesco S and P MidCap QualityEtf_High_change,Invesco S and P MidCap QualityEtf_Low_average,Invesco S and P MidCap QualityEtf_Low_max,Invesco S and P MidCap QualityEtf_Low_min,Invesco S and P MidCap QualityEtf_Low_volatility,Invesco S and P MidCap QualityEtf_Low_change,Invesco S and P MidCap QualityEtf_Close_average,Invesco S and P MidCap QualityEtf_Close_max,Invesco S and P MidCap QualityEtf_Close_min,Invesco S and P MidCap QualityEtf_Close_volatility,Invesco S and P MidCap QualityEtf_Close_change
2018-03-25,46.99,46.99,46.99,0.0,0.0,47.3,47.3,47.3,0.0,0.0,46.99,46.99,46.99,0.0,0.0,47.18,47.18,47.18,0.0,0.0
2018-04-01,47.19,47.19,47.19,0.0,0.0,47.44,47.44,47.44,0.0,0.0,47.19,47.19,47.19,0.0,0.0,47.44,47.44,47.44,0.0,0.0
2018-04-08,47.34,47.34,47.34,0.0,0.0,47.36,47.36,47.36,0.0,0.0,47.34,47.34,47.34,0.0,0.0,47.36,47.36,47.36,0.0,0.0
2018-04-15,48.0,48.0,48.0,0.0,0.0,48.0,48.0,48.0,0.0,0.0,47.7,47.7,47.7,0.0,0.0,47.83,47.83,47.83,0.0,0.0
2018-04-22,47.59,47.59,47.59,0.0,0.0,47.59,47.59,47.59,0.0,0.0,47.59,47.59,47.59,0.0,0.0,47.59,47.59,47.59,0.0,0.0
2018-04-29,47.47,47.47,47.47,0.0,0.0,47.47,47.47,47.47,0.0,0.0,47.47,47.47,47.47,0.0,0.0,47.47,47.47,47.47,0.0,0.0
2018-05-06,48.57,48.57,48.57,0.0,0.0,48.57,48.57,48.57,0.0,0.0,48.57,48.57,48.57,0.0,0.0,48.57,48.57,48.57,0.0,0.0
2018-05-13,48.75,48.75,48.75,0.0,0.0,48.84,48.84,48.84,0.0,0.0,48.69,48.69,48.69,0.0,0.0,48.82,48.82,48.82,0.0,0.0
2018-05-20,48.53,48.53,48.53,0.0,0.0,48.53,48.53,48.53,0.0,0.0,48.53,48.53,48.53,0.0,0.0,48.53,48.53,48.53,0.0,0.0
2018-05-27,48.9,48.9,48.9,0.0,0.0,48.9,48.9,48.9,0.0,0.0,48.9,48.9,48.9,0.0,0.0,48.9,48.9,48.9,0.0,0.0
2018-06-03,49.57,49.57,49.57,0.0,0.0,49.57,49.57,49.57,0.0,0.0,49.57,49.57,49.57,0.0,0.0,49.57,49.57,49.57,0.0,0.0
2018-06-10,50.06,50.06,50.06,0.0,0.0,50.06,50.06,50.06,0.0,0.0,49.66,49.66,49.66,0.0,0.0,49.66,49.66,49.66,0.0,0.0
2018-06-17,49.64,49.64,49.64,0.0,0.0,49.73,49.73,49.73,0.0,0.0,49.64,49.64,49.64,0.0,0.0,49.73,49.73,49.73,0.0,0.0
2018-06-24,49.12,49.12,49.12,0.0,0.0,49.27,49.27,49.27,0.0,0.0,49.12,49.12,49.12,0.0,0.0,49.12,49.12,49.12,0.0,0.0
2018-07-01,49.58,49.58,49.58,0.0,0.0,49.58,49.58,49.58,0.0,0.0,49.58,49.58,49.58,0.0,0.0,49.58,49.58,49.58,0.0,0.0
2018-07-08,49.72,49.72,49.72,0.0,0.0,50.15,50.15,50.15,0.0,0.0,49.72,49.72,49.72,0.0,0.0,49.93,49.93,49.93,0.0,0.0
2018-07-15,49.93,49.93,49.93,0.0,0.0,50.01,50.01,50.01,0.0,0.0,49.88,49.88,49.88,0.0,0.0,49.88,49.88,49.88,0.0,0.0
2018-07-22,49.83,49.83,49.83,0.0,0.0,49.83,49.83,49.83,0.0,0.0,49.64,49.64,49.64,0.0,0.0,49.64,49.64,49.64,0.0,0.0
2018-07-29,49.75,49.75,49.75,0.0,0.0,50.03,50.03,50.03,0.0,0.0,49.59,49.59,49.59,0.0,0.0,50.03,50.03,50.03,0.0,0.0
2018-08-05,50.14,50.14,50.14,0.0,0.0,50.14,50.14,50.14,0.0,0.0,50.14,50.14,50.14,0.0,0.0,50.14,50.14,50.14,0.0,0.0
2018-08-12,50.36,50.36,50.36,0.0,0.0,50.36,50.36,50.36,0.0,0.0,50.34,50.34,50.34,0.0,0.0,50.34,50.34,50.34,0.0,0.0
2018-08-19,51.4,51.4,51.4,0.0,0.0,51.4,51.4,51.4,0.0,0.0,51.4,51.4,51.4,0.0,0.0,51.4,51.4,51.4,0.0,0.0
2018-08-26,51.45,51.45,51.45,0.0,0.0,51.64,51.64,51.64,0.0,0.0,51.45,51.45,51.45,0.0,0.0,51.64,51.64,51.64,0.0,0.0
2018-09-02,51.14,51.14,51.14,0.0,0.0,51.14,51.14,51.14,0.0,0.0,50.88,50.88,50.88,0.0,0.0,50.95,50.95,50.95,0.0,0.0
2018-09-09,51.28,51.28,51.28,0.0,0.0,51.33,51.33,51.33,0.0,0.0,51.13,51.13,51.13,0.0,0.0,51.17,51.17,51.17,0.0,0.0
2018-09-16,51.66,51.66,51.66,0.0,0.0,51.66,51.66,51.66,0.0,0.0,51.66,51.66,51.66,0.0,0.0,51.66,51.66,51.66,0.0,0.0
2018-09-23,50.97,50.97,50.97,0.0,0.0,51.06,51.06,51.06,0.0,0.0,50.97,50.97,50.97,0.0,0.0,51.04,51.04,51.04,0.0,0.0
2018-09-30,50.71,50.71,50.71,0.0,0.0,50.71,50.71,50.71,0.0,0.0,50.71,50.71,50.71,0.0,0.0,50.71,50.71,50.71,0.0,0.0
2018-10-07,47.89,47.89,47.89,0.0,0.0,47.89,47.89,47.89,0.0,0.0,47.78,47.78,47.78,0.0,0.0,47.78,47.78,47.78,0.0,0.0
2018-10-14,48.03,48.03,48.03,0.0,0.0,48.1,48.1,48.1,0.0,0.0,48.02,48.02,48.02,0.0,0.0,48.1,48.1,48.1,0.0,0.0
2018-10-21,45.77,45.77,45.77,0.0,0.0,45.78,45.78,45.78,0.0,0.0,45.06,45.06,45.06,0.0,0.0,45.06,45.06,45.06,0.0,0.0
2018-10-28,47.66,47.66,47.66,0.0,0.0,47.66,47.66,47.66,0.0,0.0,47.16,47.16,47.16,0.0,0.0,47.31,47.31,47.31,0.0,0.0
2018-11-04,47.78,47.78,47.78,0.0,0.0,47.8,47.8,47.8,0.0,0.0,47.78,47.78,47.78,0.0,0.0,47.8,47.8,47.8,0.0,0.0
2018-11-11,47.15,47.15,47.15,0.0,0.0,47.44,47.44,47.44,0.0,0.0,47.01,47.01,47.01,0.0,0.0,47.44,47.44,47.44,0.0,0.0
2018-11-18,46.29,46.29,46.29,0.0,0.0,46.29,46.29,46.29,0.0,0.0,45.9,45.9,45.9,0.0,0.0,45.9,45.9,45.9,0.0,0.0
2018-11-25,47.24,47.24,47.24,0.0,0.0,47.24,47.24,47.24,0.0,0.0,47.24,47.24,47.24,0.0,0.0,47.24,47.24,47.24,0.0,0.0
2018-12-02,46.01,46.01,46.01,0.0,0.0,46.1,46.1,46.1,0.0,0.0,45.91,45.91,45.91,0.0,0.0,46.1,46.1,46.1,0.0,0.0
2018-12-09,45.42,45.42,45.42,0.0,0.0,45.42,45.42,45.42,0.0,0.0,44.65,44.65,44.65,0.0,0.0,44.65,44.65,44.65,0.0,0.0
2018-12-16,42.36,42.36,42.36,0.0,0.0,42.36,42.36,42.36,0.0,0.0,41.26,41.26,41.26,0.0,0.0,41.41,41.41,41.41,0.0,0.0
2018-12-23,42.72,42.72,42.72,0.0,0.0,42.72,42.72,42.72,0.0,0.0,41.98,41.98,41.98,0.0,0.0,41.98,41.98,41.98,0.0,0.0
2018-12-30,42.68,42.68,42.68,0.0,0.0,43.42,43.42,43.42,0.0,0.0,42.68,42.68,42.68,0.0,0.0,43.25,43.25,43.25,0.0,0.0
2019-01-06,45.54,45.54,45.54,0.0,0.0,45.54,45.54,45.54,0.0,0.0,45.48,45.48,45.48,0.0,0.0,45.49,45.49,45.49,0.0,0.0
2019-01-13,46.57,46.57,46.57,0.0,0.0,46.96,46.96,46.96,0.0,0.0,46.4,46.4,46.4,0.0,0.0,46.76,46.76,46.76,0.0,0.0
2019-01-20,46.64,46.64,46.64,0.0,0.0,46.75,46.75,46.75,0.0,0.0,46.47,46.47,46.47,0.0,0.0,46.69,46.69,46.69,0.0,0.0
2019-01-27,47.55,47.55,47.55,0.0,0.0,47.63,47.63,47.63,0.0,0.0,47.55,47.55,47.55,0.0,0.0,47.63,47.63,47.63,0.0,0.0
2019-02-03,47.45,47.45,47.45,0.0,0.0,47.46,47.46,47.46,0.0,0.0,47.45,47.45,47.45,0.0,0.0,47.46,47.46,47.46,0.0,0.0
2019-02-10,49.09,49.09,49.09,0.0,0.0,49.22,49.22,49.22,0.0,0.0,48.77,48.77,48.77,0.0,0.0,49.05,49.05,49.05,0.0,0.0
2019-02-17,49.26,49.26,49.26,0.0,0.0,49.6,49.6,49.6,0.0,0.0,49.26,49.26,49.26,0.0,0.0,49.39,49.39,49.39,0.0,0.0
2019-02-24,49.54,49.54,49.54,0.0,0.0,49.54,49.54,49.54,0.0,0.0,49.52,49.52,49.52,0.0,0.0,49.52,49.52,49.52,0.0,0.0
2019-03-03,47.94,47.94,47.94,0.0,0.0,47.94,47.94,47.94,0.0,0.0,47.94,47.94,47.94,0.0,0.0,47.94,47.94,47.94,0.0,0.0
2019-03-10,48.94,48.94,48.94,0.0,0.0,49.35,49.35,49.35,0.0,0.0,48.94,48.94,48.94,0.0,0.0,49.18,49.18,49.18,0.0,0.0
2019-03-17,49.09,49.09,49.09,0.0,0.0,49.15,49.15,49.15,0.0,0.0,48.77,48.77,48.77,0.0,0.0,48.93,48.93,48.93,0.0,0.0
2019-03-24,50.01,50.01,50.01,0.0,0.0,50.01,50.01,50.01,0.0,0.0,49.71,49.71,49.71,0.0,0.0,49.71,49.71,49.71,0.0,0.0
2019-03-31,50.8,50.8,50.8,0.0,0.0,50.8,50.8,50.8,0.0,0.0,50.8,50.8,50.8,0.0,0.0,50.8,50.8,50.8,0.0,0.0
2019-04-07,50.93,50.93,50.93,0.0,0.0,51.19,51.19,51.19,0.0,0.0,50.93,50.93,50.93,0.0,0.0,51.19,51.19,51.19,0.0,0.0
2019-04-14,50.36,50.36,50.36,0.0,0.0,50.38,50.38,50.38,0.0,0.0,50.36,50.36,50.36,0.0,0.0,50.38,50.38,50.38,0.0,0.0
2019-04-21,50.68,50.68,50.68,0.0,0.0,50.68,50.68,50.68,0.0,0.0,50.68,50.68,50.68,0.0,0.0,50.68,50.68,50.68,0.0,0.0
2019-04-28,50.62,50.62,50.62,0.0,0.0,50.66,50.66,50.66,0.0,0.0,50.62,50.62,50.62,0.0,0.0,50.66,50.66,50.66,0.0,0.0
2019-05-05,49.53,49.53,49.53,0.0,0.0,49.67,49.67,49.67,0.0,0.0,49.53,49.53,49.53,0.0,0.0,49.67,49.67,49.67,0.0,0.0
2019-05-12,49.03,49.03,49.03,0.0,0.0,49.03,49.03,49.03,0.0,0.0,49.03,49.03,49.03,0.0,0.0,49.03,49.03,49.03,0.0,0.0
2019-05-19,48.05,48.05,48.05,0.0,0.0,48.09,48.09,48.09,0.0,0.0,48.05,48.05,48.05,0.0,0.0,48.09,48.09,48.09,0.0,0.0
2019-05-26,46.56,46.56,46.56,0.0,0.0,46.73,46.73,46.73,0.0,0.0,46.56,46.56,46.56,0.0,0.0,46.73,46.73,46.73,0.0,0.0
2019-06-02,48.67,48.67,48.67,0.0,0.0,48.8,48.8,48.8,0.0,0.0,48.67,48.67,48.67,0.0,0.0,48.8,48.8,48.8,0.0,0.0
2019-06-09,48.85,48.85,48.85,0.0,0.0,48.85,48.85,48.85,0.0,0.0,48.76,48.76,48.76,0.0,0.0,48.76,48.76,48.76,0.0,0.0
2019-06-16,49.72,49.72,49.72,0.0,0.0,49.75,49.75,49.75,0.0,0.0,49.72,49.72,49.72,0.0,0.0,49.75,49.75,49.75,0.0,0.0
2019-06-23,49.93,49.93,49.93,0.0,0.0,49.93,49.93,49.93,0.0,0.0,49.79,49.79,49.79,0.0,0.0,49.91,49.91,49.91,0.0,0.0
2019-06-30,50.27,50.27,50.27,0.0,0.0,50.27,50.27,50.27,0.0,0.0,50.27,50.27,50.27,0.0,0.0,50.27,50.27,50.27,0.0,0.0
2019-07-07,49.31,49.31,49.31,0.0,0.0,50.55,50.55,50.55,0.0,0.0,49.31,49.31,49.31,0.0,0.0,50.55,50.55,50.55,0.0,0.0
2019-07-14,50.59,50.59,50.59,0.0,0.0,50.59,50.59,50.59,0.0,0.0,50.3,50.3,50.3,0.0,0.0,50.39,50.39,50.39,0.0,0.0
2019-07-21,51.57,51.57,51.57,0.0,0.0,51.73,51.73,51.73,0.0,0.0,51.57,51.57,51.57,0.0,0.0,51.73,51.73,51.73,0.0,0.0
2019-07-28,49.55,49.55,49.55,0.0,0.0,49.55,49.55,49.55,0.0,0.0,49.55,49.55,49.55,0.0,0.0,49.55,49.55,49.55,0.0,0.0
2019-08-04,49.59,49.59,49.59,0.0,0.0,49.59,49.59,49.59,0.0,0.0,49.52,49.52,49.52,0.0,0.0,49.52,49.52,49.52,0.0,0.0
2019-08-11,48.49,48.49,48.49,0.0,0.0,48.76,48.76,48.76,0.0,0.0,48.49,48.49,48.49,0.0,0.0,48.76,48.76,48.76,0.0,0.0
2019-08-18,48.71,48.71,48.71,0.0,0.0,48.71,48.71,48.71,0.0,0.0,47.72,47.72,47.72,0.0,0.0,47.72,47.72,47.72,0.0,0.0
2019-08-25,49.01,49.01,49.01,0.0,0.0,49.16,49.16,49.16,0.0,0.0,49.01,49.01,49.01,0.0,0.0,49.16,49.16,49.16,0.0,0.0
2019-09-01,49.96,49.96,49.96,0.0,0.0,50.05,50.05,50.05,0.0,0.0,49.83,49.83,49.83,0.0,0.0,49.83,49.83,49.83,0.0,0.0
2019-09-08,51.02,51.02,51.02,0.0,0.0,51.02,51.02,51.02,0.0,0.0,51.02,51.02,51.02,0.0,0.0,51.02,51.02,51.02,0.0,0.0
2019-09-15,50.76,50.76,50.76,0.0,0.0,50.78,50.78,50.78,0.0,0.0,50.36,50.36,50.36,0.0,0.0,50.37,50.37,50.37,0.0,0.0
2019-09-22,49.49,49.49,49.49,0.0,0.0,49.52,49.52,49.52,0.0,0.0,49.44,49.44,49.44,0.0,0.0,49.52,49.52,49.52,0.0,0.0
2019-09-29,48.81,48.81,48.81,0.0,0.0,49.03,49.03,49.03,0.0,0.0,48.81,48.81,48.81,0.0,0.0,49.03,49.03,49.03,0.0,0.0
2019-10-06,49.74,49.74,49.74,0.0,0.0,50.0,50.0,50.0,0.0,0.0,49.65,49.65,49.65,0.0,0.0,49.65,49.65,49.65,0.0,0.0
2019-10-13,50.18,50.18,50.18,0.0,0.0,50.18,50.18,50.18,0.0,0.0,50.18,50.18,50.18,0.0,0.0,50.18,50.18,50.18,0.0,0.0
2019-10-20,50.22,50.22,50.22,0.0,0.0,50.85,50.85,50.85,0.0,0.0,50.22,50.22,50.22,0.0,0.0,50.81,50.81,50.81,0.0,0.0
2019-10-27,51.51,51.51,51.51,0.0,0.0,51.51,51.51,51.51,0.0,0.0,51.51,51.51,51.51,0.0,0.0,51.51,51.51,51.51,0.0,0.0
2019-11-03,52.08,52.08,52.08,0.0,0.0,52.08,52.08,52.08,0.0,0.0,52.08,52.08,52.08,0.0,0.0,52.08,52.08,52.08,0.0,0.0
2019-11-10,52.09,52.09,52.09,0.0,0.0,52.28,52.28,52.28,0.0,0.0,52.09,52.09,52.09,0.0,0.0,52.2,52.2,52.2,0.0,0.0
2019-11-17,51.79,51.79,51.79,0.0,0.0,51.79,51.79,51.79,0.0,0.0,51.79,51.79,51.79,0.0,0.0,51.79,51.79,51.79,0.0,0.0
2019-11-24,52.54,52.54,52.54,0.0,0.0,52.54,52.54,52.54,0.0,0.0,52.54,52.54,52.54,0.0,0.0,52.54,52.54,52.54,0.0,0.0
2019-12-01,52.54,52.54,52.54,0.0,0.0,52.92,52.92,52.92,0.0,0.0,52.54,52.54,52.54,0.0,0.0,52.77,52.77,52.77,0.0,0.0
2019-12-08,53.53,53.53,53.53,0.0,0.0,53.53,53.53,53.53,0.0,0.0,53.06,53.06,53.06,0.0,0.0,53.06,53.06,53.06,0.0,0.0
2019-12-15,53.93,53.93,53.93,0.0,0.0,53.93,53.93,53.93,0.0,0.0,53.93,53.93,53.93,0.0,0.0,53.93,53.93,53.93,0.0,0.0
2019-12-22,53.89,53.89,53.89,0.0,0.0,53.89,53.89,53.89,0.0,0.0,53.89,53.89,53.89,0.0,0.0,53.89,53.89,53.89,0.0,0.0
2019-12-29,53.17,53.17,53.17,0.0,0.0,53.58,53.58,53.58,0.0,0.0,53.17,53.17,53.17,0.0,0.0,53.58,53.58,53.58,0.0,0.0
