Date,PowerShares S&P SmallCap Energy_Open_average,PowerShares S&P SmallCap Energy_Open_max,PowerShares S&P SmallCap Energy_Open_min,PowerShares S&P SmallCap Energy_Open_volatility,PowerShares S&P SmallCap Energy_Open_change,PowerShares S&P SmallCap Energy_High_average,PowerShares S&P SmallCap Energy_High_max,PowerShares S&P SmallCap Energy_High_min,PowerShares S&P SmallCap Energy_High_volatility,PowerShares S&P SmallCap Energy_High_change,PowerShares S&P SmallCap Energy_Low_average,PowerShares S&P SmallCap Energy_Low_max,PowerShares S&P SmallCap Energy_Low_min,PowerShares S&P SmallCap Energy_Low_volatility,PowerShares S&P SmallCap Energy_Low_change,PowerShares S&P SmallCap Energy_Close_average,PowerShares S&P SmallCap Energy_Close_max,PowerShares S&P SmallCap Energy_Close_min,PowerShares S&P SmallCap Energy_Close_volatility,PowerShares S&P SmallCap Energy_Close_change
2018-06-17,17.24,17.24,17.24,0.0,0.0,17.24,17.24,17.24,0.0,0.0,16.61,16.61,16.61,0.0,0.0,16.69,16.69,16.69,0.0,0.0
2018-06-24,16.86,16.86,16.86,0.0,0.0,16.95,16.95,16.95,0.0,0.0,16.41,16.41,16.41,0.0,0.0,16.65,16.65,16.65,0.0,0.0
2018-07-01,17.42,17.42,17.42,0.0,0.0,17.72,17.72,17.72,0.0,0.0,17.4,17.4,17.4,0.0,0.0,17.66,17.66,17.66,0.0,0.0
2018-07-08,17.1,17.1,17.1,0.0,0.0,17.1,17.1,17.1,0.0,0.0,16.58,16.58,16.58,0.0,0.0,16.79,16.79,16.79,0.0,0.0
2018-07-15,16.84,16.84,16.84,0.0,0.0,16.84,16.84,16.84,0.0,0.0,16.58,16.58,16.58,0.0,0.0,16.68,16.68,16.68,0.0,0.0
2018-07-22,17.05,17.05,17.05,0.0,0.0,17.35,17.35,17.35,0.0,0.0,17.05,17.05,17.05,0.0,0.0,17.34,17.34,17.34,0.0,0.0
2018-07-29,16.94,16.94,16.94,0.0,0.0,17.05,17.05,17.05,0.0,0.0,16.89,16.89,16.89,0.0,0.0,16.89,16.89,16.89,0.0,0.0
2018-08-05,16.29,16.29,16.29,0.0,0.0,16.44,16.44,16.44,0.0,0.0,16.08,16.08,16.08,0.0,0.0,16.13,16.13,16.13,0.0,0.0
2018-08-12,15.73,15.73,15.73,0.0,0.0,16.08,16.08,16.08,0.0,0.0,15.73,15.73,15.73,0.0,0.0,15.97,15.97,15.97,0.0,0.0
2018-08-19,16.66,16.66,16.66,0.0,0.0,16.84,16.84,16.84,0.0,0.0,16.55,16.55,16.55,0.0,0.0,16.61,16.61,16.61,0.0,0.0
2018-08-26,16.19,16.19,16.19,0.0,0.0,16.36,16.36,16.36,0.0,0.0,16.0,16.0,16.0,0.0,0.0,16.35,16.35,16.35,0.0,0.0
2018-09-02,15.54,15.54,15.54,0.0,0.0,15.59,15.59,15.59,0.0,0.0,15.43,15.43,15.43,0.0,0.0,15.43,15.43,15.43,0.0,0.0
2018-09-09,15.74,15.74,15.74,0.0,0.0,15.74,15.74,15.74,0.0,0.0,15.62,15.62,15.62,0.0,0.0,15.62,15.62,15.62,0.0,0.0
2018-09-16,16.2,16.2,16.2,0.0,0.0,16.5,16.5,16.5,0.0,0.0,16.2,16.2,16.2,0.0,0.0,16.27,16.27,16.27,0.0,0.0
2018-09-23,16.25,16.25,16.25,0.0,0.0,16.33,16.33,16.33,0.0,0.0,16.2,16.2,16.2,0.0,0.0,16.21,16.21,16.21,0.0,0.0
2018-09-30,16.02,16.02,16.02,0.0,0.0,16.27,16.27,16.27,0.0,0.0,15.95,15.95,15.95,0.0,0.0,16.23,16.23,16.23,0.0,0.0
2018-10-07,15.5,15.5,15.5,0.0,0.0,15.52,15.52,15.52,0.0,0.0,15.31,15.31,15.31,0.0,0.0,15.52,15.52,15.52,0.0,0.0
2018-10-14,14.77,14.77,14.77,0.0,0.0,14.77,14.77,14.77,0.0,0.0,14.53,14.53,14.53,0.0,0.0,14.7,14.7,14.7,0.0,0.0
2018-10-21,13.38,13.38,13.38,0.0,0.0,13.38,13.38,13.38,0.0,0.0,12.63,12.63,12.63,0.0,0.0,12.71,12.71,12.71,0.0,0.0
2018-10-28,13.29,13.29,13.29,0.0,0.0,13.61,13.61,13.61,0.0,0.0,13.29,13.29,13.29,0.0,0.0,13.57,13.57,13.57,0.0,0.0
2018-11-04,13.45,13.45,13.45,0.0,0.0,13.45,13.45,13.45,0.0,0.0,12.62,12.62,12.62,0.0,0.0,12.62,12.62,12.62,0.0,0.0
2018-11-11,12.5,12.5,12.5,0.0,0.0,12.56,12.56,12.56,0.0,0.0,12.33,12.33,12.33,0.0,0.0,12.45,12.45,12.45,0.0,0.0
2018-11-18,11.71,11.71,11.71,0.0,0.0,11.9,11.9,11.9,0.0,0.0,11.66,11.66,11.66,0.0,0.0,11.69,11.69,11.69,0.0,0.0
2018-11-25,11.84,11.84,11.84,0.0,0.0,11.98,11.98,11.98,0.0,0.0,11.65,11.65,11.65,0.0,0.0,11.98,11.98,11.98,0.0,0.0
2018-12-02,10.75,10.75,10.75,0.0,0.0,10.77,10.77,10.77,0.0,0.0,10.26,10.26,10.26,0.0,0.0,10.33,10.33,10.33,0.0,0.0
2018-12-09,9.68,9.68,9.68,0.0,0.0,9.86,9.86,9.86,0.0,0.0,9.5,9.5,9.5,0.0,0.0,9.5,9.5,9.5,0.0,0.0
2018-12-16,8.13,8.13,8.13,0.0,0.0,8.44,8.44,8.44,0.0,0.0,8.1,8.1,8.1,0.0,0.0,8.14,8.14,8.14,0.0,0.0
2018-12-23,8.9,8.9,8.9,0.0,0.0,8.9,8.9,8.9,0.0,0.0,8.58,8.58,8.58,0.0,0.0,8.77,8.77,8.77,0.0,0.0
2018-12-30,9.76,9.76,9.76,0.0,0.0,10.11,10.11,10.11,0.0,0.0,9.76,9.76,9.76,0.0,0.0,10.06,10.06,10.06,0.0,0.0
2019-01-06,10.11,10.11,10.11,0.0,0.0,10.28,10.28,10.28,0.0,0.0,10.05,10.05,10.05,0.0,0.0,10.21,10.21,10.21,0.0,0.0
2019-01-13,10.52,10.52,10.52,0.0,0.0,10.55,10.55,10.55,0.0,0.0,10.43,10.43,10.43,0.0,0.0,10.54,10.54,10.54,0.0,0.0
2019-01-20,10.16,10.16,10.16,0.0,0.0,10.19,10.19,10.19,0.0,0.0,10.06,10.06,10.06,0.0,0.0,10.11,10.11,10.11,0.0,0.0
2019-01-27,10.29,10.29,10.29,0.0,0.0,10.55,10.55,10.55,0.0,0.0,10.29,10.29,10.29,0.0,0.0,10.55,10.55,10.55,0.0,0.0
2019-02-03,9.62,9.62,9.62,0.0,0.0,9.94,9.94,9.94,0.0,0.0,9.62,9.62,9.62,0.0,0.0,9.94,9.94,9.94,0.0,0.0
2019-02-10,10.59,10.59,10.59,0.0,0.0,10.77,10.77,10.77,0.0,0.0,10.59,10.59,10.59,0.0,0.0,10.77,10.77,10.77,0.0,0.0
2019-02-17,10.78,10.78,10.78,0.0,0.0,10.96,10.96,10.96,0.0,0.0,10.73,10.73,10.73,0.0,0.0,10.73,10.73,10.73,0.0,0.0
2019-02-24,10.86,10.86,10.86,0.0,0.0,10.93,10.93,10.93,0.0,0.0,10.68,10.68,10.68,0.0,0.0,10.86,10.86,10.86,0.0,0.0
2019-03-03,9.93,9.93,9.93,0.0,0.0,10.19,10.19,10.19,0.0,0.0,9.91,9.91,9.91,0.0,0.0,10.11,10.11,10.11,0.0,0.0
2019-03-10,10.59,10.59,10.59,0.0,0.0,10.94,10.94,10.94,0.0,0.0,10.59,10.59,10.59,0.0,0.0,10.91,10.91,10.91,0.0,0.0
2019-03-17,10.45,10.45,10.45,0.0,0.0,10.64,10.64,10.64,0.0,0.0,10.45,10.45,10.45,0.0,0.0,10.54,10.54,10.54,0.0,0.0
2019-03-24,10.84,10.84,10.84,0.0,0.0,11.07,11.07,11.07,0.0,0.0,10.82,10.82,10.82,0.0,0.0,11.07,11.07,11.07,0.0,0.0
2019-03-31,11.36,11.36,11.36,0.0,0.0,11.58,11.58,11.58,0.0,0.0,11.36,11.36,11.36,0.0,0.0,11.45,11.45,11.45,0.0,0.0
2019-04-07,11.29,11.29,11.29,0.0,0.0,11.34,11.34,11.34,0.0,0.0,11.22,11.22,11.22,0.0,0.0,11.24,11.24,11.24,0.0,0.0
2019-04-14,11.26,11.26,11.26,0.0,0.0,11.68,11.68,11.68,0.0,0.0,11.26,11.26,11.26,0.0,0.0,11.68,11.68,11.68,0.0,0.0
2019-04-21,10.95,10.95,10.95,0.0,0.0,11.04,11.04,11.04,0.0,0.0,10.95,10.95,10.95,0.0,0.0,11.04,11.04,11.04,0.0,0.0
2019-04-28,10.11,10.11,10.11,0.0,0.0,10.42,10.42,10.42,0.0,0.0,10.09,10.09,10.09,0.0,0.0,10.39,10.39,10.39,0.0,0.0
2019-05-05,9.96,9.96,9.96,0.0,0.0,10.1,10.1,10.1,0.0,0.0,9.67,9.67,9.67,0.0,0.0,9.71,9.71,9.71,0.0,0.0
2019-05-12,9.95,9.95,9.95,0.0,0.0,9.95,9.95,9.95,0.0,0.0,9.77,9.77,9.77,0.0,0.0,9.77,9.77,9.77,0.0,0.0
2019-05-19,8.86,8.86,8.86,0.0,0.0,8.87,8.87,8.87,0.0,0.0,8.77,8.77,8.77,0.0,0.0,8.87,8.87,8.87,0.0,0.0
2019-05-26,8.55,8.55,8.55,0.0,0.0,8.63,8.63,8.63,0.0,0.0,8.39,8.39,8.39,0.0,0.0,8.56,8.56,8.56,0.0,0.0
2019-06-02,8.7,8.7,8.7,0.0,0.0,8.7,8.7,8.7,0.0,0.0,8.48,8.48,8.48,0.0,0.0,8.48,8.48,8.48,0.0,0.0
2019-06-09,7.98,7.98,7.98,0.0,0.0,8.2,8.2,8.2,0.0,0.0,7.93,7.93,7.93,0.0,0.0,8.18,8.18,8.18,0.0,0.0
2019-06-16,8.78,8.78,8.78,0.0,0.0,8.78,8.78,8.78,0.0,0.0,8.54,8.54,8.54,0.0,0.0,8.56,8.56,8.56,0.0,0.0
2019-06-23,9.27,9.27,9.27,0.0,0.0,9.27,9.27,9.27,0.0,0.0,9.03,9.03,9.03,0.0,0.0,9.06,9.06,9.06,0.0,0.0
2019-06-30,8.67,8.67,8.67,0.0,0.0,8.83,8.83,8.83,0.0,0.0,8.6,8.6,8.6,0.0,0.0,8.64,8.64,8.64,0.0,0.0
2019-07-07,8.5,8.5,8.5,0.0,0.0,8.53,8.53,8.53,0.0,0.0,8.4,8.4,8.4,0.0,0.0,8.4,8.4,8.4,0.0,0.0
2019-07-14,8.1,8.1,8.1,0.0,0.0,8.27,8.27,8.27,0.0,0.0,8.08,8.08,8.08,0.0,0.0,8.16,8.16,8.16,0.0,0.0
2019-07-21,7.86,7.86,7.86,0.0,0.0,7.86,7.86,7.86,0.0,0.0,7.65,7.65,7.65,0.0,0.0,7.69,7.69,7.69,0.0,0.0
2019-07-28,7.57,7.57,7.57,0.0,0.0,7.57,7.57,7.57,0.0,0.0,7.28,7.28,7.28,0.0,0.0,7.37,7.37,7.37,0.0,0.0
2019-08-04,7.25,7.25,7.25,0.0,0.0,7.25,7.25,7.25,0.0,0.0,7.15,7.15,7.15,0.0,0.0,7.23,7.23,7.23,0.0,0.0
2019-08-11,7.05,7.05,7.05,0.0,0.0,7.28,7.28,7.28,0.0,0.0,7.05,7.05,7.05,0.0,0.0,7.23,7.23,7.23,0.0,0.0
2019-08-18,6.82,6.82,6.82,0.0,0.0,6.82,6.82,6.82,0.0,0.0,6.7,6.7,6.7,0.0,0.0,6.76,6.76,6.76,0.0,0.0
2019-08-25,7.15,7.15,7.15,0.0,0.0,7.15,7.15,7.15,0.0,0.0,6.93,6.93,6.93,0.0,0.0,6.97,6.97,6.97,0.0,0.0
2019-09-01,7.19,7.19,7.19,0.0,0.0,7.62,7.62,7.62,0.0,0.0,7.19,7.19,7.19,0.0,0.0,7.62,7.62,7.62,0.0,0.0
2019-09-08,8.51,8.51,8.51,0.0,0.0,8.59,8.59,8.59,0.0,0.0,8.24,8.24,8.24,0.0,0.0,8.52,8.52,8.52,0.0,0.0
2019-09-15,7.6,7.6,7.6,0.0,0.0,7.72,7.72,7.72,0.0,0.0,7.6,7.6,7.6,0.0,0.0,7.64,7.64,7.64,0.0,0.0
2019-09-22,7.04,7.04,7.04,0.0,0.0,7.04,7.04,7.04,0.0,0.0,6.92,6.92,6.92,0.0,0.0,7.04,7.04,7.04,0.0,0.0
2019-09-29,6.6,6.6,6.6,0.0,0.0,6.68,6.68,6.68,0.0,0.0,6.52,6.52,6.52,0.0,0.0,6.55,6.55,6.55,0.0,0.0
2019-10-06,6.66,6.66,6.66,0.0,0.0,6.68,6.68,6.68,0.0,0.0,6.35,6.35,6.35,0.0,0.0,6.57,6.57,6.57,0.0,0.0
2019-10-13,6.36,6.36,6.36,0.0,0.0,6.45,6.45,6.45,0.0,0.0,6.3,6.3,6.3,0.0,0.0,6.45,6.45,6.45,0.0,0.0
2019-10-20,6.67,6.67,6.67,0.0,0.0,6.83,6.83,6.83,0.0,0.0,6.6,6.6,6.6,0.0,0.0,6.6,6.6,6.6,0.0,0.0
2019-10-27,6.6,6.6,6.6,0.0,0.0,6.87,6.87,6.87,0.0,0.0,6.6,6.6,6.6,0.0,0.0,6.8,6.8,6.8,0.0,0.0
2019-11-03,6.67,6.67,6.67,0.0,0.0,6.72,6.72,6.72,0.0,0.0,6.56,6.56,6.56,0.0,0.0,6.68,6.68,6.68,0.0,0.0
2019-11-10,6.4,6.4,6.4,0.0,0.0,6.4,6.4,6.4,0.0,0.0,6.21,6.21,6.21,0.0,0.0,6.24,6.24,6.24,0.0,0.0
2019-11-17,6.15,6.15,6.15,0.0,0.0,6.39,6.39,6.39,0.0,0.0,6.14,6.14,6.14,0.0,0.0,6.36,6.36,6.36,0.0,0.0
2019-11-24,6.13,6.13,6.13,0.0,0.0,6.22,6.22,6.22,0.0,0.0,6.08,6.08,6.08,0.0,0.0,6.09,6.09,6.09,0.0,0.0
2019-12-01,6.51,6.51,6.51,0.0,0.0,6.62,6.62,6.62,0.0,0.0,6.48,6.48,6.48,0.0,0.0,6.59,6.59,6.59,0.0,0.0
2019-12-08,6.8,6.8,6.8,0.0,0.0,7.04,7.04,7.04,0.0,0.0,6.8,6.8,6.8,0.0,0.0,6.9,6.9,6.9,0.0,0.0
2019-12-15,7.17,7.17,7.17,0.0,0.0,7.45,7.45,7.45,0.0,0.0,7.17,7.17,7.17,0.0,0.0,7.39,7.39,7.39,0.0,0.0
2019-12-22,7.32,7.32,7.32,0.0,0.0,7.51,7.51,7.51,0.0,0.0,7.32,7.32,7.32,0.0,0.0,7.35,7.35,7.35,0.0,0.0
2019-12-29,7.69,7.69,7.69,0.0,0.0,7.72,7.72,7.72,0.0,0.0,7.51,7.51,7.51,0.0,0.0,7.63,7.63,7.63,0.0,0.0
