Date,PowerShares S&P MidCap Low Volatility Portfolio_etf_Open_average,PowerShares S&P MidCap Low Volatility Portfolio_etf_Open_max,PowerShares S&P MidCap Low Volatility Portfolio_etf_Open_min,PowerShares S&P MidCap Low Volatility Portfolio_etf_Open_volatility,PowerShares S&P MidCap Low Volatility Portfolio_etf_Open_change,PowerShares S&P MidCap Low Volatility Portfolio_etf_High_average,PowerShares S&P MidCap Low Volatility Portfolio_etf_High_max,PowerShares S&P MidCap Low Volatility Portfolio_etf_High_min,PowerShares S&P MidCap Low Volatility Portfolio_etf_High_volatility,PowerShares S&P MidCap Low Volatility Portfolio_etf_High_change,PowerShares S&P MidCap Low Volatility Portfolio_etf_Low_average,PowerShares S&P MidCap Low Volatility Portfolio_etf_Low_max,PowerShares S&P MidCap Low Volatility Portfolio_etf_Low_min,PowerShares S&P MidCap Low Volatility Portfolio_etf_Low_volatility,PowerShares S&P MidCap Low Volatility Portfolio_etf_Low_change,PowerShares S&P MidCap Low Volatility Portfolio_etf_Close_average,PowerShares S&P MidCap Low Volatility Portfolio_etf_Close_max,PowerShares S&P MidCap Low Volatility Portfolio_etf_Close_min,PowerShares S&P MidCap Low Volatility Portfolio_etf_Close_volatility,PowerShares S&P MidCap Low Volatility Portfolio_etf_Close_change
2018-03-25,44.52,44.52,44.52,0.0,0.0,44.88,44.88,44.88,0.0,0.0,44.52,44.52,44.52,0.0,0.0,44.79,44.79,44.79,0.0,0.0
2018-04-01,44.74,44.74,44.74,0.0,0.0,44.97,44.97,44.97,0.0,0.0,44.13,44.13,44.13,0.0,0.0,44.33,44.33,44.33,0.0,0.0
2018-04-08,44.66,44.66,44.66,0.0,0.0,44.78,44.78,44.78,0.0,0.0,44.43,44.43,44.43,0.0,0.0,44.53,44.53,44.53,0.0,0.0
2018-04-15,45.17,45.17,45.17,0.0,0.0,45.23,45.23,45.23,0.0,0.0,44.93,44.93,44.93,0.0,0.0,45.02,45.02,45.02,0.0,0.0
2018-04-22,45.24,45.24,45.24,0.0,0.0,45.45,45.45,45.45,0.0,0.0,45.23,45.23,45.23,0.0,0.0,45.38,45.38,45.38,0.0,0.0
2018-04-29,45.04,45.04,45.04,0.0,0.0,45.75,45.75,45.75,0.0,0.0,45.03,45.03,45.03,0.0,0.0,45.58,45.58,45.58,0.0,0.0
2018-05-06,46.16,46.16,46.16,0.0,0.0,46.27,46.27,46.27,0.0,0.0,46.11,46.11,46.11,0.0,0.0,46.15,46.15,46.15,0.0,0.0
2018-05-13,45.66,45.66,45.66,0.0,0.0,45.7,45.7,45.7,0.0,0.0,45.56,45.56,45.56,0.0,0.0,45.58,45.58,45.58,0.0,0.0
2018-05-20,46.18,46.18,46.18,0.0,0.0,46.38,46.38,46.38,0.0,0.0,46.18,46.18,46.18,0.0,0.0,46.27,46.27,46.27,0.0,0.0
2018-05-27,46.68,46.68,46.68,0.0,0.0,46.68,46.68,46.68,0.0,0.0,46.49,46.49,46.49,0.0,0.0,46.5,46.5,46.5,0.0,0.0
2018-06-03,46.77,46.77,46.77,0.0,0.0,47.0,47.0,47.0,0.0,0.0,46.77,46.77,46.77,0.0,0.0,47.0,47.0,47.0,0.0,0.0
2018-06-10,46.78,46.78,46.78,0.0,0.0,47.01,47.01,47.01,0.0,0.0,46.66,46.66,46.66,0.0,0.0,46.93,46.93,46.93,0.0,0.0
2018-06-17,47.01,47.01,47.01,0.0,0.0,47.13,47.13,47.13,0.0,0.0,46.96,46.96,46.96,0.0,0.0,47.08,47.08,47.08,0.0,0.0
2018-06-24,47.03,47.03,47.03,0.0,0.0,47.31,47.31,47.31,0.0,0.0,46.89,46.89,46.89,0.0,0.0,47.01,47.01,47.01,0.0,0.0
2018-07-01,47.73,47.73,47.73,0.0,0.0,48.05,48.05,48.05,0.0,0.0,47.69,47.69,47.69,0.0,0.0,47.99,47.99,47.99,0.0,0.0
2018-07-08,47.85,47.85,47.85,0.0,0.0,47.93,47.93,47.93,0.0,0.0,47.7,47.7,47.7,0.0,0.0,47.77,47.77,47.77,0.0,0.0
2018-07-15,47.98,47.98,47.98,0.0,0.0,47.98,47.98,47.98,0.0,0.0,47.61,47.61,47.61,0.0,0.0,47.74,47.74,47.74,0.0,0.0
2018-07-22,47.98,47.98,47.98,0.0,0.0,47.98,47.98,47.98,0.0,0.0,47.47,47.47,47.47,0.0,0.0,47.51,47.51,47.51,0.0,0.0
2018-07-29,47.93,47.93,47.93,0.0,0.0,48.17,48.17,48.17,0.0,0.0,47.93,47.93,47.93,0.0,0.0,48.15,48.15,48.15,0.0,0.0
2018-08-05,48.19,48.19,48.19,0.0,0.0,48.43,48.43,48.43,0.0,0.0,48.14,48.14,48.14,0.0,0.0,48.16,48.16,48.16,0.0,0.0
2018-08-12,48.79,48.79,48.79,0.0,0.0,49.12,49.12,49.12,0.0,0.0,48.76,48.76,48.76,0.0,0.0,49.08,49.08,49.08,0.0,0.0
2018-08-19,48.91,48.91,48.91,0.0,0.0,49.06,49.06,49.06,0.0,0.0,48.79,48.79,48.79,0.0,0.0,49.02,49.02,49.02,0.0,0.0
2018-08-26,48.95,48.95,48.95,0.0,0.0,49.1,49.1,49.1,0.0,0.0,48.84,48.84,48.84,0.0,0.0,49.05,49.05,49.05,0.0,0.0
2018-09-02,49.03,49.03,49.03,0.0,0.0,49.11,49.11,49.11,0.0,0.0,48.81,48.81,48.81,0.0,0.0,48.93,48.93,48.93,0.0,0.0
2018-09-09,49.34,49.34,49.34,0.0,0.0,49.46,49.46,49.46,0.0,0.0,49.09,49.09,49.09,0.0,0.0,49.42,49.42,49.42,0.0,0.0
2018-09-16,49.12,49.12,49.12,0.0,0.0,49.26,49.26,49.26,0.0,0.0,49.09,49.09,49.09,0.0,0.0,49.1,49.1,49.1,0.0,0.0
2018-09-23,48.02,48.02,48.02,0.0,0.0,48.57,48.57,48.57,0.0,0.0,48.02,48.02,48.02,0.0,0.0,48.54,48.54,48.54,0.0,0.0
2018-09-30,47.87,47.87,47.87,0.0,0.0,48.05,48.05,48.05,0.0,0.0,47.79,47.79,47.79,0.0,0.0,47.84,47.84,47.84,0.0,0.0
2018-10-07,46.51,46.51,46.51,0.0,0.0,46.51,46.51,46.51,0.0,0.0,45.57,45.57,45.57,0.0,0.0,45.95,45.95,45.95,0.0,0.0
2018-10-14,46.81,46.81,46.81,0.0,0.0,47.08,47.08,47.08,0.0,0.0,46.72,46.72,46.72,0.0,0.0,46.89,46.89,46.89,0.0,0.0
2018-10-21,46.14,46.14,46.14,0.0,0.0,46.28,46.28,46.28,0.0,0.0,45.43,45.43,45.43,0.0,0.0,45.84,45.84,45.84,0.0,0.0
2018-10-28,46.75,46.75,46.75,0.0,0.0,46.75,46.75,46.75,0.0,0.0,46.17,46.17,46.17,0.0,0.0,46.52,46.52,46.52,0.0,0.0
2018-11-04,47.81,47.81,47.81,0.0,0.0,48.0,48.0,48.0,0.0,0.0,47.63,47.63,47.63,0.0,0.0,47.87,47.87,47.87,0.0,0.0
2018-11-11,47.66,47.66,47.66,0.0,0.0,48.03,48.03,48.03,0.0,0.0,47.6,47.6,47.6,0.0,0.0,47.94,47.94,47.94,0.0,0.0
2018-11-18,47.25,47.25,47.25,0.0,0.0,47.69,47.69,47.69,0.0,0.0,47.12,47.12,47.12,0.0,0.0,47.44,47.44,47.44,0.0,0.0
2018-11-25,48.0,48.0,48.0,0.0,0.0,48.55,48.55,48.55,0.0,0.0,48.0,48.0,48.0,0.0,0.0,48.47,48.47,48.47,0.0,0.0
2018-12-02,47.93,47.93,47.93,0.0,0.0,48.0,48.0,48.0,0.0,0.0,47.17,47.17,47.17,0.0,0.0,47.41,47.41,47.41,0.0,0.0
2018-12-09,46.81,46.81,46.81,0.0,0.0,47.02,47.02,47.02,0.0,0.0,46.61,46.61,46.61,0.0,0.0,46.73,46.73,46.73,0.0,0.0
2018-12-16,44.98,44.98,44.98,0.0,0.0,45.56,45.56,45.56,0.0,0.0,44.2,44.2,44.2,0.0,0.0,44.26,44.26,44.26,0.0,0.0
2018-12-23,44.03,44.03,44.03,0.0,0.0,44.39,44.39,44.39,0.0,0.0,43.73,43.73,43.73,0.0,0.0,43.96,43.96,43.96,0.0,0.0
2018-12-30,43.9,43.9,43.9,0.0,0.0,44.62,44.62,44.62,0.0,0.0,43.8,43.8,43.8,0.0,0.0,44.37,44.37,44.37,0.0,0.0
2019-01-06,45.62,45.62,45.62,0.0,0.0,45.73,45.73,45.73,0.0,0.0,45.45,45.45,45.45,0.0,0.0,45.69,45.69,45.69,0.0,0.0
2019-01-13,46.68,46.68,46.68,0.0,0.0,46.9,46.9,46.9,0.0,0.0,46.55,46.55,46.55,0.0,0.0,46.82,46.82,46.82,0.0,0.0
2019-01-20,47.07,47.07,47.07,0.0,0.0,47.21,47.21,47.21,0.0,0.0,46.9,46.9,46.9,0.0,0.0,47.0,47.0,47.0,0.0,0.0
2019-01-27,47.69,47.69,47.69,0.0,0.0,47.7,47.7,47.7,0.0,0.0,47.27,47.27,47.27,0.0,0.0,47.66,47.66,47.66,0.0,0.0
2019-02-03,48.21,48.21,48.21,0.0,0.0,48.47,48.47,48.47,0.0,0.0,48.12,48.12,48.12,0.0,0.0,48.44,48.44,48.44,0.0,0.0
2019-02-10,48.91,48.91,48.91,0.0,0.0,49.22,49.22,49.22,0.0,0.0,48.9,48.9,48.9,0.0,0.0,49.17,49.17,49.17,0.0,0.0
2019-02-17,49.59,49.59,49.59,0.0,0.0,49.82,49.82,49.82,0.0,0.0,49.45,49.45,49.45,0.0,0.0,49.75,49.75,49.75,0.0,0.0
2019-02-24,49.65,49.65,49.65,0.0,0.0,49.69,49.69,49.69,0.0,0.0,49.12,49.12,49.12,0.0,0.0,49.53,49.53,49.53,0.0,0.0
2019-03-03,48.73,48.73,48.73,0.0,0.0,48.92,48.92,48.92,0.0,0.0,48.69,48.69,48.69,0.0,0.0,48.89,48.89,48.89,0.0,0.0
2019-03-10,49.55,49.55,49.55,0.0,0.0,49.78,49.78,49.78,0.0,0.0,49.4,49.4,49.4,0.0,0.0,49.5,49.5,49.5,0.0,0.0
2019-03-17,49.15,49.15,49.15,0.0,0.0,49.26,49.26,49.26,0.0,0.0,48.6,48.6,48.6,0.0,0.0,48.61,48.61,48.61,0.0,0.0
2019-03-24,49.86,49.86,49.86,0.0,0.0,49.89,49.89,49.89,0.0,0.0,49.57,49.57,49.57,0.0,0.0,49.67,49.67,49.67,0.0,0.0
2019-03-31,50.11,50.11,50.11,0.0,0.0,50.36,50.36,50.36,0.0,0.0,50.05,50.05,50.05,0.0,0.0,50.35,50.35,50.35,0.0,0.0
2019-04-07,50.44,50.44,50.44,0.0,0.0,50.66,50.66,50.66,0.0,0.0,50.29,50.29,50.29,0.0,0.0,50.66,50.66,50.66,0.0,0.0
2019-04-14,50.07,50.07,50.07,0.0,0.0,50.35,50.35,50.35,0.0,0.0,50.03,50.03,50.03,0.0,0.0,50.18,50.18,50.18,0.0,0.0
2019-04-21,50.67,50.67,50.67,0.0,0.0,51.08,51.08,51.08,0.0,0.0,50.67,50.67,50.67,0.0,0.0,51.01,51.01,51.01,0.0,0.0
2019-04-28,51.14,51.14,51.14,0.0,0.0,51.56,51.56,51.56,0.0,0.0,51.13,51.13,51.13,0.0,0.0,51.51,51.51,51.51,0.0,0.0
2019-05-05,50.5,50.5,50.5,0.0,0.0,51.12,51.12,51.12,0.0,0.0,50.24,50.24,50.24,0.0,0.0,51.01,51.01,51.01,0.0,0.0
2019-05-12,50.78,50.78,50.78,0.0,0.0,51.12,51.12,51.12,0.0,0.0,50.7,50.7,50.7,0.0,0.0,50.81,50.81,50.81,0.0,0.0
2019-05-19,50.63,50.63,50.63,0.0,0.0,50.79,50.79,50.79,0.0,0.0,50.57,50.57,50.57,0.0,0.0,50.69,50.69,50.69,0.0,0.0
2019-05-26,49.32,49.32,49.32,0.0,0.0,49.72,49.72,49.72,0.0,0.0,49.23,49.23,49.23,0.0,0.0,49.61,49.61,49.61,0.0,0.0
2019-06-02,51.41,51.41,51.41,0.0,0.0,51.63,51.63,51.63,0.0,0.0,51.27,51.27,51.27,0.0,0.0,51.28,51.28,51.28,0.0,0.0
2019-06-09,51.7,51.7,51.7,0.0,0.0,51.78,51.78,51.78,0.0,0.0,51.55,51.55,51.55,0.0,0.0,51.64,51.64,51.64,0.0,0.0
2019-06-16,52.12,52.12,52.12,0.0,0.0,52.12,52.12,52.12,0.0,0.0,51.69,51.69,51.69,0.0,0.0,51.84,51.84,51.84,0.0,0.0
2019-06-23,50.91,50.91,50.91,0.0,0.0,51.35,51.35,51.35,0.0,0.0,50.91,50.91,50.91,0.0,0.0,51.27,51.27,51.27,0.0,0.0
2019-06-30,52.07,52.07,52.07,0.0,0.0,52.29,52.29,52.29,0.0,0.0,51.65,51.65,51.65,0.0,0.0,52.26,52.26,52.26,0.0,0.0
2019-07-07,52.03,52.03,52.03,0.0,0.0,52.25,52.25,52.25,0.0,0.0,51.93,51.93,51.93,0.0,0.0,52.15,52.15,52.15,0.0,0.0
2019-07-14,51.98,51.98,51.98,0.0,0.0,52.06,52.06,52.06,0.0,0.0,51.38,51.38,51.38,0.0,0.0,51.38,51.38,51.38,0.0,0.0
2019-07-21,51.75,51.75,51.75,0.0,0.0,52.26,52.26,52.26,0.0,0.0,51.75,51.75,51.75,0.0,0.0,52.2,52.2,52.2,0.0,0.0
2019-07-28,51.42,51.42,51.42,0.0,0.0,51.46,51.46,51.46,0.0,0.0,51.15,51.15,51.15,0.0,0.0,51.26,51.26,51.26,0.0,0.0
2019-08-04,51.85,51.85,51.85,0.0,0.0,51.98,51.98,51.98,0.0,0.0,51.39,51.39,51.39,0.0,0.0,51.64,51.64,51.64,0.0,0.0
2019-08-11,51.06,51.06,51.06,0.0,0.0,51.74,51.74,51.74,0.0,0.0,51.06,51.06,51.06,0.0,0.0,51.65,51.65,51.65,0.0,0.0
2019-08-18,51.74,51.74,51.74,0.0,0.0,52.03,52.03,52.03,0.0,0.0,50.76,50.76,50.76,0.0,0.0,50.92,50.92,50.92,0.0,0.0
2019-08-25,51.86,51.86,51.86,0.0,0.0,51.96,51.96,51.96,0.0,0.0,51.61,51.61,51.61,0.0,0.0,51.89,51.89,51.89,0.0,0.0
2019-09-01,52.43,52.43,52.43,0.0,0.0,52.48,52.48,52.48,0.0,0.0,52.27,52.27,52.27,0.0,0.0,52.31,52.31,52.31,0.0,0.0
2019-09-08,52.64,52.64,52.64,0.0,0.0,52.81,52.81,52.81,0.0,0.0,52.29,52.29,52.29,0.0,0.0,52.4,52.4,52.4,0.0,0.0
2019-09-15,52.67,52.67,52.67,0.0,0.0,52.89,52.89,52.89,0.0,0.0,52.59,52.59,52.59,0.0,0.0,52.62,52.62,52.62,0.0,0.0
2019-09-22,52.84,52.84,52.84,0.0,0.0,52.9,52.9,52.9,0.0,0.0,52.23,52.23,52.23,0.0,0.0,52.45,52.45,52.45,0.0,0.0
2019-09-29,51.88,51.88,51.88,0.0,0.0,52.33,52.33,52.33,0.0,0.0,51.83,51.83,51.83,0.0,0.0,52.33,52.33,52.33,0.0,0.0
2019-10-06,52.23,52.23,52.23,0.0,0.0,52.6,52.6,52.6,0.0,0.0,52.13,52.13,52.13,0.0,0.0,52.18,52.18,52.18,0.0,0.0
2019-10-13,52.44,52.44,52.44,0.0,0.0,52.8,52.8,52.8,0.0,0.0,52.4,52.4,52.4,0.0,0.0,52.76,52.76,52.76,0.0,0.0
2019-10-20,52.87,52.87,52.87,0.0,0.0,52.87,52.87,52.87,0.0,0.0,52.65,52.65,52.65,0.0,0.0,52.7,52.7,52.7,0.0,0.0
2019-10-27,53.5,53.5,53.5,0.0,0.0,53.54,53.54,53.54,0.0,0.0,53.22,53.22,53.22,0.0,0.0,53.41,53.41,53.41,0.0,0.0
2019-11-03,52.75,52.75,52.75,0.0,0.0,52.91,52.91,52.91,0.0,0.0,52.68,52.68,52.68,0.0,0.0,52.79,52.79,52.79,0.0,0.0
2019-11-10,53.26,53.26,53.26,0.0,0.0,53.26,53.26,53.26,0.0,0.0,52.99,52.99,52.99,0.0,0.0,53.16,53.16,53.16,0.0,0.0
2019-11-17,52.96,52.96,52.96,0.0,0.0,52.96,52.96,52.96,0.0,0.0,52.57,52.57,52.57,0.0,0.0,52.83,52.83,52.83,0.0,0.0
2019-11-24,53.74,53.74,53.74,0.0,0.0,53.84,53.84,53.84,0.0,0.0,53.39,53.39,53.39,0.0,0.0,53.39,53.39,53.39,0.0,0.0
2019-12-01,53.71,53.71,53.71,0.0,0.0,53.99,53.99,53.99,0.0,0.0,53.68,53.68,53.68,0.0,0.0,53.7,53.7,53.7,0.0,0.0
2019-12-08,53.3,53.3,53.3,0.0,0.0,53.32,53.32,53.32,0.0,0.0,53.0,53.0,53.0,0.0,0.0,53.17,53.17,53.17,0.0,0.0
2019-12-15,53.85,53.85,53.85,0.0,0.0,54.32,54.32,54.32,0.0,0.0,53.85,53.85,53.85,0.0,0.0,54.17,54.17,54.17,0.0,0.0
2019-12-22,53.67,53.67,53.67,0.0,0.0,53.67,53.67,53.67,0.0,0.0,53.46,53.46,53.46,0.0,0.0,53.57,53.57,53.57,0.0,0.0
2019-12-29,52.99,52.99,52.99,0.0,0.0,53.58,53.58,53.58,0.0,0.0,52.98,52.98,52.98,0.0,0.0,53.44,53.44,53.44,0.0,0.0
