Date,PowerShares Active US Real Estate_etf_Open_average,PowerShares Active US Real Estate_etf_Open_max,PowerShares Active US Real Estate_etf_Open_min,PowerShares Active US Real Estate_etf_Open_volatility,PowerShares Active US Real Estate_etf_Open_change,PowerShares Active US Real Estate_etf_High_average,PowerShares Active US Real Estate_etf_High_max,PowerShares Active US Real Estate_etf_High_min,PowerShares Active US Real Estate_etf_High_volatility,PowerShares Active US Real Estate_etf_High_change,PowerShares Active US Real Estate_etf_Low_average,PowerShares Active US Real Estate_etf_Low_max,PowerShares Active US Real Estate_etf_Low_min,PowerShares Active US Real Estate_etf_Low_volatility,PowerShares Active US Real Estate_etf_Low_change,PowerShares Active US Real Estate_etf_Close_average,PowerShares Active US Real Estate_etf_Close_max,PowerShares Active US Real Estate_etf_Close_min,PowerShares Active US Real Estate_etf_Close_volatility,PowerShares Active US Real Estate_etf_Close_change
2018-05-06,79.26,79.26,79.26,0.0,0.0,79.26,79.26,79.26,0.0,0.0,78.91,78.91,78.91,0.0,0.0,78.91,78.91,78.91,0.0,0.0
2018-05-13,76.59,76.59,76.59,0.0,0.0,76.59,76.59,76.59,0.0,0.0,76.04,76.04,76.04,0.0,0.0,76.2,76.2,76.2,0.0,0.0
2018-05-20,78.17,78.17,78.17,0.0,0.0,78.17,78.17,78.17,0.0,0.0,77.92,77.92,77.92,0.0,0.0,78.03,78.03,78.03,0.0,0.0
2018-05-27,79.16,79.16,79.16,0.0,0.0,79.16,79.16,79.16,0.0,0.0,79.16,79.16,79.16,0.0,0.0,79.16,79.16,79.16,0.0,0.0
2018-06-03,80.3,80.3,80.3,0.0,0.0,80.3,80.3,80.3,0.0,0.0,80.07,80.07,80.07,0.0,0.0,80.18,80.18,80.18,0.0,0.0
2018-06-10,80.1,80.1,80.1,0.0,0.0,80.1,80.1,80.1,0.0,0.0,80.05,80.05,80.05,0.0,0.0,80.05,80.05,80.05,0.0,0.0
2018-06-17,80.0,80.0,80.0,0.0,0.0,80.13,80.13,80.13,0.0,0.0,80.0,80.0,80.0,0.0,0.0,80.13,80.13,80.13,0.0,0.0
2018-06-24,81.17,81.17,81.17,0.0,0.0,81.94,81.94,81.94,0.0,0.0,81.17,81.17,81.17,0.0,0.0,81.84,81.84,81.84,0.0,0.0
2018-07-01,82.9,82.9,82.9,0.0,0.0,83.01,83.01,83.01,0.0,0.0,82.9,82.9,82.9,0.0,0.0,83.01,83.01,83.01,0.0,0.0
2018-07-08,82.45,82.45,82.45,0.0,0.0,82.45,82.45,82.45,0.0,0.0,82.45,82.45,82.45,0.0,0.0,82.45,82.45,82.45,0.0,0.0
2018-07-15,81.01,81.01,81.01,0.0,0.0,81.05,81.05,81.05,0.0,0.0,81.01,81.01,81.01,0.0,0.0,81.05,81.05,81.05,0.0,0.0
2018-07-22,81.89,81.89,81.89,0.0,0.0,81.89,81.89,81.89,0.0,0.0,80.46,80.46,80.46,0.0,0.0,80.6,80.6,80.6,0.0,0.0
2018-07-29,82.74,82.74,82.74,0.0,0.0,83.06,83.06,83.06,0.0,0.0,82.74,82.74,82.74,0.0,0.0,83.04,83.04,83.04,0.0,0.0
2018-08-05,82.28,82.28,82.28,0.0,0.0,82.28,82.28,82.28,0.0,0.0,81.88,81.88,81.88,0.0,0.0,81.9,81.9,81.9,0.0,0.0
2018-08-12,84.24,84.24,84.24,0.0,0.0,84.29,84.29,84.29,0.0,0.0,84.22,84.22,84.22,0.0,0.0,84.29,84.29,84.29,0.0,0.0
2018-08-19,83.13,83.13,83.13,0.0,0.0,83.5,83.5,83.5,0.0,0.0,83.13,83.13,83.13,0.0,0.0,83.41,83.41,83.41,0.0,0.0
2018-08-26,84.06,84.06,84.06,0.0,0.0,84.22,84.22,84.22,0.0,0.0,84.05,84.05,84.05,0.0,0.0,84.1,84.1,84.1,0.0,0.0
2018-09-02,83.02,83.02,83.02,0.0,0.0,83.02,83.02,83.02,0.0,0.0,83.02,83.02,83.02,0.0,0.0,83.02,83.02,83.02,0.0,0.0
2018-09-09,82.85,82.85,82.85,0.0,0.0,83.19,83.19,83.19,0.0,0.0,82.85,82.85,82.85,0.0,0.0,83.19,83.19,83.19,0.0,0.0
2018-09-16,83.16,83.16,83.16,0.0,0.0,83.16,83.16,83.16,0.0,0.0,83.05,83.05,83.05,0.0,0.0,83.11,83.11,83.11,0.0,0.0
2018-09-23,80.55,80.55,80.55,0.0,0.0,81.18,81.18,81.18,0.0,0.0,80.55,80.55,80.55,0.0,0.0,81.18,81.18,81.18,0.0,0.0
2018-09-30,79.53,79.53,79.53,0.0,0.0,79.53,79.53,79.53,0.0,0.0,79.32,79.32,79.32,0.0,0.0,79.32,79.32,79.32,0.0,0.0
2018-10-07,77.83,77.83,77.83,0.0,0.0,77.83,77.83,77.83,0.0,0.0,76.48,76.48,76.48,0.0,0.0,76.48,76.48,76.48,0.0,0.0
2018-10-14,79.2,79.2,79.2,0.0,0.0,79.2,79.2,79.2,0.0,0.0,78.99,78.99,78.99,0.0,0.0,78.99,78.99,78.99,0.0,0.0
2018-10-21,78.26,78.26,78.26,0.0,0.0,78.74,78.74,78.74,0.0,0.0,78.26,78.26,78.26,0.0,0.0,78.41,78.41,78.41,0.0,0.0
2018-10-28,78.54,78.54,78.54,0.0,0.0,78.54,78.54,78.54,0.0,0.0,78.23,78.23,78.23,0.0,0.0,78.23,78.23,78.23,0.0,0.0
2018-11-04,81.24,81.24,81.24,0.0,0.0,82.24,82.24,82.24,0.0,0.0,81.24,81.24,81.24,0.0,0.0,81.39,81.39,81.39,0.0,0.0
2018-11-11,81.5,81.5,81.5,0.0,0.0,82.38,82.38,82.38,0.0,0.0,81.5,81.5,81.5,0.0,0.0,82.28,82.28,82.28,0.0,0.0
2018-11-18,81.01,81.01,81.01,0.0,0.0,81.15,81.15,81.15,0.0,0.0,81.01,81.01,81.01,0.0,0.0,81.15,81.15,81.15,0.0,0.0
2018-11-25,83.05,83.05,83.05,0.0,0.0,83.06,83.06,83.06,0.0,0.0,82.61,82.61,82.61,0.0,0.0,82.61,82.61,82.61,0.0,0.0
2018-12-02,83.83,83.83,83.83,0.0,0.0,83.83,83.83,83.83,0.0,0.0,83.59,83.59,83.59,0.0,0.0,83.59,83.59,83.59,0.0,0.0
2018-12-09,81.85,81.85,81.85,0.0,0.0,82.06,82.06,82.06,0.0,0.0,81.67,81.67,81.67,0.0,0.0,82.06,82.06,82.06,0.0,0.0
2018-12-16,77.76,77.76,77.76,0.0,0.0,79.65,79.65,79.65,0.0,0.0,77.09,77.09,77.09,0.0,0.0,77.09,77.09,77.09,0.0,0.0
2018-12-23,76.22,76.22,76.22,0.0,0.0,76.26,76.26,76.26,0.0,0.0,75.54,75.54,75.54,0.0,0.0,75.86,75.86,75.86,0.0,0.0
2018-12-30,75.69,75.69,75.69,0.0,0.0,75.75,75.75,75.75,0.0,0.0,75.66,75.66,75.66,0.0,0.0,75.66,75.66,75.66,0.0,0.0
2019-01-06,78.77,78.77,78.77,0.0,0.0,79.03,79.03,79.03,0.0,0.0,78.68,78.68,78.68,0.0,0.0,79.03,79.03,79.03,0.0,0.0
2019-01-13,80.19,80.19,80.19,0.0,0.0,80.46,80.46,80.46,0.0,0.0,80.19,80.19,80.19,0.0,0.0,80.46,80.46,80.46,0.0,0.0
2019-01-20,81.35,81.35,81.35,0.0,0.0,81.54,81.54,81.54,0.0,0.0,81.33,81.33,81.33,0.0,0.0,81.54,81.54,81.54,0.0,0.0
2019-01-27,87.5,87.5,87.5,0.0,0.0,90.05,90.05,90.05,0.0,0.0,83.03,83.03,83.03,0.0,0.0,84.15,84.15,84.15,0.0,0.0
2019-02-03,85.5,85.5,85.5,0.0,0.0,85.5,85.5,85.5,0.0,0.0,85.25,85.25,85.25,0.0,0.0,85.25,85.25,85.25,0.0,0.0
2019-02-10,85.97,85.97,85.97,0.0,0.0,86.06,86.06,86.06,0.0,0.0,85.93,85.93,85.93,0.0,0.0,86.06,86.06,86.06,0.0,0.0
2019-02-17,86.33,86.33,86.33,0.0,0.0,86.58,86.58,86.58,0.0,0.0,86.14,86.14,86.14,0.0,0.0,86.25,86.25,86.25,0.0,0.0
2019-02-24,85.25,85.25,85.25,0.0,0.0,85.25,85.25,85.25,0.0,0.0,85.25,85.25,85.25,0.0,0.0,85.25,85.25,85.25,0.0,0.0
2019-03-03,85.0,85.0,85.0,0.0,0.0,85.54,85.54,85.54,0.0,0.0,85.0,85.0,85.0,0.0,0.0,85.54,85.54,85.54,0.0,0.0
2019-03-10,87.52,87.52,87.52,0.0,0.0,87.72,87.72,87.72,0.0,0.0,87.43,87.43,87.43,0.0,0.0,87.43,87.43,87.43,0.0,0.0
2019-03-17,88.02,88.02,88.02,0.0,0.0,88.26,88.26,88.26,0.0,0.0,87.99,87.99,87.99,0.0,0.0,87.99,87.99,87.99,0.0,0.0
2019-03-24,89.3,89.3,89.3,0.0,0.0,89.42,89.42,89.42,0.0,0.0,88.97,88.97,88.97,0.0,0.0,89.12,89.12,89.12,0.0,0.0
2019-03-31,90.33,90.33,90.33,0.0,0.0,90.33,90.33,90.33,0.0,0.0,89.53,89.53,89.53,0.0,0.0,90.04,90.04,90.04,0.0,0.0
2019-04-07,90.15,90.15,90.15,0.0,0.0,90.68,90.68,90.68,0.0,0.0,89.44,89.44,89.44,0.0,0.0,90.64,90.64,90.64,0.0,0.0
2019-04-14,87.47,87.47,87.47,0.0,0.0,87.77,87.77,87.77,0.0,0.0,87.32,87.32,87.32,0.0,0.0,87.55,87.55,87.55,0.0,0.0
2019-04-21,88.97,88.97,88.97,0.0,0.0,88.97,88.97,88.97,0.0,0.0,88.63,88.63,88.63,0.0,0.0,88.78,88.78,88.78,0.0,0.0
2019-04-28,89.68,89.68,89.68,0.0,0.0,89.94,89.94,89.94,0.0,0.0,89.16,89.16,89.16,0.0,0.0,89.8,89.8,89.8,0.0,0.0
2019-05-05,88.81,88.81,88.81,0.0,0.0,89.25,89.25,89.25,0.0,0.0,88.12,88.12,88.12,0.0,0.0,89.25,89.25,89.25,0.0,0.0
2019-05-12,91.25,91.25,91.25,0.0,0.0,91.25,91.25,91.25,0.0,0.0,90.24,90.24,90.24,0.0,0.0,90.37,90.37,90.37,0.0,0.0
2019-05-19,90.79,90.79,90.79,0.0,0.0,90.79,90.79,90.79,0.0,0.0,90.41,90.41,90.41,0.0,0.0,90.47,90.47,90.47,0.0,0.0
2019-05-26,88.75,88.75,88.75,0.0,0.0,89.8,89.8,89.8,0.0,0.0,88.58,88.58,88.58,0.0,0.0,89.46,89.46,89.46,0.0,0.0
2019-06-02,91.66,91.66,91.66,0.0,0.0,92.04,92.04,92.04,0.0,0.0,91.66,91.66,91.66,0.0,0.0,91.7,91.7,91.7,0.0,0.0
2019-06-09,92.18,92.18,92.18,0.0,0.0,92.39,92.39,92.39,0.0,0.0,92.04,92.04,92.04,0.0,0.0,92.31,92.31,92.31,0.0,0.0
2019-06-16,94.1,94.1,94.1,0.0,0.0,94.1,94.1,94.1,0.0,0.0,92.45,92.45,92.45,0.0,0.0,93.02,93.02,93.02,0.0,0.0
2019-06-23,89.26,89.26,89.26,0.0,0.0,90.23,90.23,90.23,0.0,0.0,89.26,89.26,89.26,0.0,0.0,89.78,89.78,89.78,0.0,0.0
2019-06-30,92.06,92.06,92.06,0.0,0.0,92.39,92.39,92.39,0.0,0.0,90.96,90.96,90.96,0.0,0.0,91.96,91.96,91.96,0.0,0.0
2019-07-07,92.12,92.12,92.12,0.0,0.0,92.64,92.64,92.64,0.0,0.0,91.53,91.53,91.53,0.0,0.0,91.94,91.94,91.94,0.0,0.0
2019-07-14,91.54,91.54,91.54,0.0,0.0,91.54,91.54,91.54,0.0,0.0,89.86,89.86,89.86,0.0,0.0,89.86,89.86,89.86,0.0,0.0
2019-07-21,90.74,90.74,90.74,0.0,0.0,90.74,90.74,90.74,0.0,0.0,90.25,90.25,90.25,0.0,0.0,90.61,90.61,90.61,0.0,0.0
2019-07-28,91.6,91.6,91.6,0.0,0.0,91.85,91.85,91.85,0.0,0.0,91.05,91.05,91.05,0.0,0.0,91.71,91.71,91.71,0.0,0.0
2019-08-04,93.39,93.39,93.39,0.0,0.0,93.51,93.51,93.51,0.0,0.0,92.5,92.5,92.5,0.0,0.0,93.35,93.35,93.35,0.0,0.0
2019-08-11,93.25,93.25,93.25,0.0,0.0,93.92,93.92,93.92,0.0,0.0,92.98,92.98,92.98,0.0,0.0,93.8,93.8,93.8,0.0,0.0
2019-08-18,94.54,94.54,94.54,0.0,0.0,95.23,95.23,95.23,0.0,0.0,93.5,93.5,93.5,0.0,0.0,93.53,93.53,93.53,0.0,0.0
2019-08-25,95.44,95.44,95.44,0.0,0.0,95.44,95.44,95.44,0.0,0.0,94.81,94.81,94.81,0.0,0.0,94.99,94.99,94.99,0.0,0.0
2019-09-01,96.09,96.09,96.09,0.0,0.0,96.49,96.49,96.49,0.0,0.0,95.94,95.94,95.94,0.0,0.0,96.18,96.18,96.18,0.0,0.0
2019-09-08,94.8,94.8,94.8,0.0,0.0,95.23,95.23,95.23,0.0,0.0,93.65,93.65,93.65,0.0,0.0,93.91,93.91,93.91,0.0,0.0
2019-09-15,96.36,96.36,96.36,0.0,0.0,96.41,96.41,96.41,0.0,0.0,95.98,95.98,95.98,0.0,0.0,96.02,96.02,96.02,0.0,0.0
2019-09-22,96.12,96.12,96.12,0.0,0.0,96.12,96.12,96.12,0.0,0.0,95.03,95.03,95.03,0.0,0.0,95.54,95.54,95.54,0.0,0.0
2019-09-29,95.98,95.98,95.98,0.0,0.0,96.35,96.35,96.35,0.0,0.0,95.85,95.85,95.85,0.0,0.0,96.27,96.27,96.27,0.0,0.0
2019-10-06,96.2,96.2,96.2,0.0,0.0,96.52,96.52,96.52,0.0,0.0,95.93,95.93,95.93,0.0,0.0,95.93,95.93,95.93,0.0,0.0
2019-10-13,96.61,96.61,96.61,0.0,0.0,97.48,97.48,97.48,0.0,0.0,96.5,96.5,96.5,0.0,0.0,97.4,97.4,97.4,0.0,0.0
2019-10-20,97.95,97.95,97.95,0.0,0.0,97.95,97.95,97.95,0.0,0.0,96.9,96.9,96.9,0.0,0.0,96.95,96.95,96.95,0.0,0.0
2019-10-27,97.36,97.36,97.36,0.0,0.0,97.66,97.66,97.66,0.0,0.0,96.38,96.38,96.38,0.0,0.0,97.1,97.1,97.1,0.0,0.0
2019-11-03,93.76,93.76,93.76,0.0,0.0,94.19,94.19,94.19,0.0,0.0,93.68,93.68,93.68,0.0,0.0,93.71,93.71,93.71,0.0,0.0
2019-11-10,95.07,95.07,95.07,0.0,0.0,95.32,95.32,95.32,0.0,0.0,95.07,95.07,95.07,0.0,0.0,95.32,95.32,95.32,0.0,0.0
2019-11-17,94.59,94.59,94.59,0.0,0.0,94.59,94.59,94.59,0.0,0.0,93.86,93.86,93.86,0.0,0.0,94.34,94.34,94.34,0.0,0.0
2019-11-24,96.45,96.45,96.45,0.0,0.0,96.81,96.81,96.81,0.0,0.0,96.03,96.03,96.03,0.0,0.0,96.03,96.03,96.03,0.0,0.0
2019-12-01,95.7,95.7,95.7,0.0,0.0,96.1,96.1,96.1,0.0,0.0,95.67,95.67,95.67,0.0,0.0,95.67,95.67,95.67,0.0,0.0
2019-12-08,93.39,93.39,93.39,0.0,0.0,93.39,93.39,93.39,0.0,0.0,92.35,92.35,92.35,0.0,0.0,92.95,92.95,92.95,0.0,0.0
2019-12-15,95.25,95.25,95.25,0.0,0.0,95.61,95.61,95.61,0.0,0.0,95.06,95.06,95.06,0.0,0.0,95.33,95.33,95.33,0.0,0.0
2019-12-22,94.99,94.99,94.99,0.0,0.0,95.0,95.0,95.0,0.0,0.0,94.56,94.56,94.56,0.0,0.0,95.0,95.0,95.0,0.0,0.0
2019-12-29,94.31,94.31,94.31,0.0,0.0,95.31,95.31,95.31,0.0,0.0,94.05,94.05,94.05,0.0,0.0,95.15,95.15,95.15,0.0,0.0
