Date,PowerShares DWA Momentum Portfolio_etf_Open_average,PowerShares DWA Momentum Portfolio_etf_Open_max,PowerShares DWA Momentum Portfolio_etf_Open_min,PowerShares DWA Momentum Portfolio_etf_Open_volatility,PowerShares DWA Momentum Portfolio_etf_Open_change,PowerShares DWA Momentum Portfolio_etf_High_average,PowerShares DWA Momentum Portfolio_etf_High_max,PowerShares DWA Momentum Portfolio_etf_High_min,PowerShares DWA Momentum Portfolio_etf_High_volatility,PowerShares DWA Momentum Portfolio_etf_High_change,PowerShares DWA Momentum Portfolio_etf_Low_average,PowerShares DWA Momentum Portfolio_etf_Low_max,PowerShares DWA Momentum Portfolio_etf_Low_min,PowerShares DWA Momentum Portfolio_etf_Low_volatility,PowerShares DWA Momentum Portfolio_etf_Low_change,PowerShares DWA Momentum Portfolio_etf_Close_average,PowerShares DWA Momentum Portfolio_etf_Close_max,PowerShares DWA Momentum Portfolio_etf_Close_min,PowerShares DWA Momentum Portfolio_etf_Close_volatility,PowerShares DWA Momentum Portfolio_etf_Close_change
2018-07-01,55.66,55.66,55.66,0.0,0.0,56.2,56.2,56.2,0.0,0.0,55.65,55.65,55.65,0.0,0.0,56.17,56.17,56.17,0.0,0.0
2018-07-08,56.96,56.96,56.96,0.0,0.0,57.15,57.15,57.15,0.0,0.0,56.91,56.91,56.91,0.0,0.0,57.03,57.03,57.03,0.0,0.0
2018-07-15,57.54,57.54,57.54,0.0,0.0,57.8,57.8,57.8,0.0,0.0,57.52,57.52,57.52,0.0,0.0,57.52,57.52,57.52,0.0,0.0
2018-07-22,57.77,57.77,57.77,0.0,0.0,57.79,57.79,57.79,0.0,0.0,56.57,56.57,56.57,0.0,0.0,56.79,56.79,56.79,0.0,0.0
2018-07-29,57.36,57.36,57.36,0.0,0.0,57.36,57.36,57.36,0.0,0.0,56.86,56.86,56.86,0.0,0.0,57.15,57.15,57.15,0.0,0.0
2018-08-05,57.36,57.36,57.36,0.0,0.0,57.6,57.6,57.6,0.0,0.0,57.27,57.27,57.27,0.0,0.0,57.37,57.37,57.37,0.0,0.0
2018-08-12,57.29,57.29,57.29,0.0,0.0,57.54,57.54,57.54,0.0,0.0,57.15,57.15,57.15,0.0,0.0,57.49,57.49,57.49,0.0,0.0
2018-08-19,58.38,58.38,58.38,0.0,0.0,58.73,58.73,58.73,0.0,0.0,58.38,58.38,58.38,0.0,0.0,58.69,58.69,58.69,0.0,0.0
2018-08-26,59.5,59.5,59.5,0.0,0.0,59.83,59.83,59.83,0.0,0.0,59.5,59.5,59.5,0.0,0.0,59.82,59.82,59.82,0.0,0.0
2018-09-02,59.1,59.1,59.1,0.0,0.0,59.69,59.69,59.69,0.0,0.0,59.1,59.1,59.1,0.0,0.0,59.31,59.31,59.31,0.0,0.0
2018-09-09,60.03,60.03,60.03,0.0,0.0,60.23,60.23,60.23,0.0,0.0,59.92,59.92,59.92,0.0,0.0,60.08,60.08,60.08,0.0,0.0
2018-09-16,59.53,59.53,59.53,0.0,0.0,59.62,59.62,59.62,0.0,0.0,59.15,59.15,59.15,0.0,0.0,59.15,59.15,59.15,0.0,0.0
2018-09-23,59.25,59.25,59.25,0.0,0.0,59.77,59.77,59.77,0.0,0.0,59.25,59.25,59.25,0.0,0.0,59.59,59.59,59.59,0.0,0.0
2018-09-30,57.89,57.89,57.89,0.0,0.0,58.2,58.2,58.2,0.0,0.0,57.01,57.01,57.01,0.0,0.0,57.51,57.51,57.51,0.0,0.0
2018-10-07,54.65,54.65,54.65,0.0,0.0,54.86,54.86,54.86,0.0,0.0,53.84,53.84,53.84,0.0,0.0,54.74,54.74,54.74,0.0,0.0
2018-10-14,54.84,54.84,54.84,0.0,0.0,54.97,54.97,54.97,0.0,0.0,53.94,53.94,53.94,0.0,0.0,54.03,54.03,54.03,0.0,0.0
2018-10-21,51.62,51.62,51.62,0.0,0.0,52.44,52.44,52.44,0.0,0.0,50.95,50.95,50.95,0.0,0.0,51.74,51.74,51.74,0.0,0.0
2018-10-28,53.5,53.5,53.5,0.0,0.0,53.97,53.97,53.97,0.0,0.0,52.75,52.75,52.75,0.0,0.0,53.19,53.19,53.19,0.0,0.0
2018-11-04,54.18,54.18,54.18,0.0,0.0,54.18,54.18,54.18,0.0,0.0,53.4,53.4,53.4,0.0,0.0,53.85,53.85,53.85,0.0,0.0
2018-11-11,52.41,52.41,52.41,0.0,0.0,53.03,53.03,53.03,0.0,0.0,52.32,52.32,52.32,0.0,0.0,52.88,52.88,52.88,0.0,0.0
2018-11-18,50.51,50.51,50.51,0.0,0.0,51.11,51.11,51.11,0.0,0.0,50.51,50.51,50.51,0.0,0.0,50.82,50.82,50.82,0.0,0.0
2018-11-25,53.1,53.1,53.1,0.0,0.0,53.56,53.56,53.56,0.0,0.0,53.06,53.06,53.06,0.0,0.0,53.42,53.42,53.42,0.0,0.0
2018-12-02,51.88,51.88,51.88,0.0,0.0,52.2,52.2,52.2,0.0,0.0,50.36,50.36,50.36,0.0,0.0,50.51,50.51,50.51,0.0,0.0
2018-12-09,50.31,50.31,50.31,0.0,0.0,50.63,50.63,50.63,0.0,0.0,49.73,49.73,49.73,0.0,0.0,49.83,49.83,49.83,0.0,0.0
2018-12-16,47.62,47.62,47.62,0.0,0.0,48.0,48.0,48.0,0.0,0.0,46.3,46.3,46.3,0.0,0.0,46.44,46.44,46.44,0.0,0.0
2018-12-23,48.4,48.4,48.4,0.0,0.0,48.68,48.68,48.68,0.0,0.0,47.65,47.65,47.65,0.0,0.0,48.0,48.0,48.0,0.0,0.0
2018-12-30,47.5,47.5,47.5,0.0,0.0,48.49,48.49,48.49,0.0,0.0,47.45,47.45,47.45,0.0,0.0,48.23,48.23,48.23,0.0,0.0
2019-01-06,49.9,49.9,49.9,0.0,0.0,50.03,50.03,50.03,0.0,0.0,49.76,49.76,49.76,0.0,0.0,50.03,50.03,50.03,0.0,0.0
2019-01-13,51.09,51.09,51.09,0.0,0.0,51.63,51.63,51.63,0.0,0.0,51.03,51.03,51.03,0.0,0.0,51.63,51.63,51.63,0.0,0.0
2019-01-20,51.64,51.64,51.64,0.0,0.0,51.73,51.73,51.73,0.0,0.0,51.5,51.5,51.5,0.0,0.0,51.6,51.6,51.6,0.0,0.0
2019-01-27,52.51,52.51,52.51,0.0,0.0,52.68,52.68,52.68,0.0,0.0,52.37,52.37,52.37,0.0,0.0,52.58,52.58,52.58,0.0,0.0
2019-02-03,52.78,52.78,52.78,0.0,0.0,53.23,53.23,53.23,0.0,0.0,52.78,52.78,52.78,0.0,0.0,53.23,53.23,53.23,0.0,0.0
2019-02-10,54.55,54.55,54.55,0.0,0.0,54.84,54.84,54.84,0.0,0.0,54.55,54.55,54.55,0.0,0.0,54.84,54.84,54.84,0.0,0.0
2019-02-17,54.63,54.63,54.63,0.0,0.0,55.0,55.0,55.0,0.0,0.0,54.62,54.62,54.62,0.0,0.0,54.99,54.99,54.99,0.0,0.0
2019-02-24,55.35,55.35,55.35,0.0,0.0,55.54,55.54,55.54,0.0,0.0,55.04,55.04,55.04,0.0,0.0,55.46,55.46,55.46,0.0,0.0
2019-03-03,53.9,53.9,53.9,0.0,0.0,54.28,54.28,54.28,0.0,0.0,53.82,53.82,53.82,0.0,0.0,54.28,54.28,54.28,0.0,0.0
2019-03-10,55.6,55.6,55.6,0.0,0.0,55.88,55.88,55.88,0.0,0.0,55.52,55.52,55.52,0.0,0.0,55.64,55.64,55.64,0.0,0.0
2019-03-17,56.2,56.2,56.2,0.0,0.0,56.43,56.43,56.43,0.0,0.0,55.39,55.39,55.39,0.0,0.0,55.43,55.43,55.43,0.0,0.0
2019-03-24,56.41,56.41,56.41,0.0,0.0,56.74,56.74,56.74,0.0,0.0,56.36,56.36,56.36,0.0,0.0,56.68,56.68,56.68,0.0,0.0
2019-03-31,57.26,57.26,57.26,0.0,0.0,57.49,57.49,57.49,0.0,0.0,57.23,57.23,57.23,0.0,0.0,57.4,57.4,57.4,0.0,0.0
2019-04-07,57.97,57.97,57.97,0.0,0.0,58.04,58.04,58.04,0.0,0.0,57.79,57.79,57.79,0.0,0.0,58.01,58.01,58.01,0.0,0.0
2019-04-14,57.5,57.5,57.5,0.0,0.0,57.75,57.75,57.75,0.0,0.0,57.2,57.2,57.2,0.0,0.0,57.7,57.7,57.7,0.0,0.0
2019-04-21,58.3,58.3,58.3,0.0,0.0,58.74,58.74,58.74,0.0,0.0,58.15,58.15,58.15,0.0,0.0,58.73,58.73,58.73,0.0,0.0
2019-04-28,58.51,58.51,58.51,0.0,0.0,58.88,58.88,58.88,0.0,0.0,58.35,58.35,58.35,0.0,0.0,58.88,58.88,58.88,0.0,0.0
2019-05-05,57.51,57.51,57.51,0.0,0.0,58.16,58.16,58.16,0.0,0.0,56.86,56.86,56.86,0.0,0.0,57.99,57.99,57.99,0.0,0.0
2019-05-12,57.71,57.71,57.71,0.0,0.0,58.33,58.33,58.33,0.0,0.0,57.71,57.71,57.71,0.0,0.0,57.79,57.79,57.79,0.0,0.0
2019-05-19,57.52,57.52,57.52,0.0,0.0,57.77,57.77,57.77,0.0,0.0,57.31,57.31,57.31,0.0,0.0,57.51,57.51,57.51,0.0,0.0
2019-05-26,56.61,56.61,56.61,0.0,0.0,57.21,57.21,57.21,0.0,0.0,56.55,56.55,56.55,0.0,0.0,56.96,56.96,56.96,0.0,0.0
2019-06-02,59.6,59.6,59.6,0.0,0.0,60.21,60.21,60.21,0.0,0.0,59.6,59.6,59.6,0.0,0.0,60.01,60.01,60.01,0.0,0.0
2019-06-09,60.09,60.09,60.09,0.0,0.0,60.09,60.09,60.09,0.0,0.0,59.8,59.8,59.8,0.0,0.0,59.94,59.94,59.94,0.0,0.0
2019-06-16,61.13,61.13,61.13,0.0,0.0,61.13,61.13,61.13,0.0,0.0,60.65,60.65,60.65,0.0,0.0,60.67,60.67,60.67,0.0,0.0
2019-06-23,59.92,59.92,59.92,0.0,0.0,60.34,60.34,60.34,0.0,0.0,59.78,59.78,59.78,0.0,0.0,60.32,60.32,60.32,0.0,0.0
2019-06-30,61.51,61.51,61.51,0.0,0.0,61.75,61.75,61.75,0.0,0.0,61.08,61.08,61.08,0.0,0.0,61.65,61.65,61.65,0.0,0.0
2019-07-07,62.23,62.23,62.23,0.0,0.0,62.46,62.46,62.46,0.0,0.0,62.01,62.01,62.01,0.0,0.0,62.45,62.45,62.45,0.0,0.0
2019-07-14,62.32,62.32,62.32,0.0,0.0,62.46,62.46,62.46,0.0,0.0,61.66,61.66,61.66,0.0,0.0,61.66,61.66,61.66,0.0,0.0
2019-07-21,62.16,62.16,62.16,0.0,0.0,62.71,62.71,62.71,0.0,0.0,62.16,62.16,62.16,0.0,0.0,62.69,62.69,62.69,0.0,0.0
2019-07-28,61.3,61.3,61.3,0.0,0.0,61.3,61.3,61.3,0.0,0.0,60.6,60.6,60.6,0.0,0.0,60.86,60.86,60.86,0.0,0.0
2019-08-04,62.01,62.01,62.01,0.0,0.0,62.19,62.19,62.19,0.0,0.0,61.62,61.62,61.62,0.0,0.0,61.89,61.89,61.89,0.0,0.0
2019-08-11,61.16,61.16,61.16,0.0,0.0,61.81,61.81,61.81,0.0,0.0,60.99,60.99,60.99,0.0,0.0,61.73,61.73,61.73,0.0,0.0
2019-08-18,62.38,62.38,62.38,0.0,0.0,62.84,62.84,62.84,0.0,0.0,60.97,60.97,60.97,0.0,0.0,61.18,61.18,61.18,0.0,0.0
2019-08-25,62.72,62.72,62.72,0.0,0.0,62.78,62.78,62.78,0.0,0.0,61.91,61.91,61.91,0.0,0.0,62.22,62.22,62.22,0.0,0.0
2019-09-01,63.31,63.31,63.31,0.0,0.0,63.44,63.44,63.44,0.0,0.0,62.91,62.91,62.91,0.0,0.0,62.93,62.93,62.93,0.0,0.0
2019-09-08,61.39,61.39,61.39,0.0,0.0,61.46,61.46,61.46,0.0,0.0,60.96,60.96,60.96,0.0,0.0,61.07,61.07,61.07,0.0,0.0
2019-09-15,62.01,62.01,62.01,0.0,0.0,62.21,62.21,62.21,0.0,0.0,61.39,61.39,61.39,0.0,0.0,61.62,61.62,61.62,0.0,0.0
2019-09-22,61.39,61.39,61.39,0.0,0.0,61.39,61.39,61.39,0.0,0.0,60.05,60.05,60.05,0.0,0.0,60.34,60.34,60.34,0.0,0.0
2019-09-29,60.22,60.22,60.22,0.0,0.0,60.92,60.92,60.92,0.0,0.0,60.22,60.22,60.22,0.0,0.0,60.9,60.9,60.9,0.0,0.0
2019-10-06,61.38,61.38,61.38,0.0,0.0,61.73,61.73,61.73,0.0,0.0,61.19,61.19,61.19,0.0,0.0,61.19,61.19,61.19,0.0,0.0
2019-10-13,61.22,61.22,61.22,0.0,0.0,61.32,61.32,61.32,0.0,0.0,60.69,60.69,60.69,0.0,0.0,61.11,61.11,61.11,0.0,0.0
2019-10-20,61.03,61.03,61.03,0.0,0.0,61.19,61.19,61.19,0.0,0.0,60.88,60.88,60.88,0.0,0.0,60.92,60.92,60.92,0.0,0.0
2019-10-27,61.3,61.3,61.3,0.0,0.0,61.52,61.52,61.52,0.0,0.0,61.22,61.22,61.22,0.0,0.0,61.36,61.36,61.36,0.0,0.0
2019-11-03,60.85,60.85,60.85,0.0,0.0,61.22,61.22,61.22,0.0,0.0,60.85,60.85,60.85,0.0,0.0,61.12,61.12,61.12,0.0,0.0
2019-11-10,62.36,62.36,62.36,0.0,0.0,62.49,62.49,62.49,0.0,0.0,62.21,62.21,62.21,0.0,0.0,62.49,62.49,62.49,0.0,0.0
2019-11-17,62.64,62.64,62.64,0.0,0.0,62.64,62.64,62.64,0.0,0.0,62.12,62.12,62.12,0.0,0.0,62.42,62.42,62.42,0.0,0.0
2019-11-24,63.64,63.64,63.64,0.0,0.0,63.68,63.68,63.68,0.0,0.0,63.43,63.43,63.43,0.0,0.0,63.43,63.43,63.43,0.0,0.0
2019-12-01,63.18,63.18,63.18,0.0,0.0,63.38,63.38,63.38,0.0,0.0,63.08,63.08,63.08,0.0,0.0,63.08,63.08,63.08,0.0,0.0
2019-12-08,62.84,62.84,62.84,0.0,0.0,63.29,63.29,63.29,0.0,0.0,62.8,62.8,62.8,0.0,0.0,63.29,63.29,63.29,0.0,0.0
2019-12-15,64.06,64.06,64.06,0.0,0.0,64.42,64.42,64.42,0.0,0.0,64.06,64.06,64.06,0.0,0.0,64.41,64.41,64.41,0.0,0.0
2019-12-22,64.63,64.63,64.63,0.0,0.0,64.66,64.66,64.66,0.0,0.0,64.38,64.38,64.38,0.0,0.0,64.55,64.55,64.55,0.0,0.0
2019-12-29,64.2,64.2,64.2,0.0,0.0,64.77,64.77,64.77,0.0,0.0,64.2,64.2,64.2,0.0,0.0,64.61,64.61,64.61,0.0,0.0
