Date,iShares Morningstar Small-Cap Value_Open_average,iShares Morningstar Small-Cap Value_Open_max,iShares Morningstar Small-Cap Value_Open_min,iShares Morningstar Small-Cap Value_Open_volatility,iShares Morningstar Small-Cap Value_Open_change,iShares Morningstar Small-Cap Value_High_average,iShares Morningstar Small-Cap Value_High_max,iShares Morningstar Small-Cap Value_High_min,iShares Morningstar Small-Cap Value_High_volatility,iShares Morningstar Small-Cap Value_High_change,iShares Morningstar Small-Cap Value_Low_average,iShares Morningstar Small-Cap Value_Low_max,iShares Morningstar Small-Cap Value_Low_min,iShares Morningstar Small-Cap Value_Low_volatility,iShares Morningstar Small-Cap Value_Low_change,iShares Morningstar Small-Cap Value_Close_average,iShares Morningstar Small-Cap Value_Close_max,iShares Morningstar Small-Cap Value_Close_min,iShares Morningstar Small-Cap Value_Close_volatility,iShares Morningstar Small-Cap Value_Close_change
2018-03-25,142.56,142.56,142.56,0.0,0.0,142.56,142.56,142.56,0.0,0.0,138.8,138.8,138.8,0.0,0.0,139.3,139.3,139.3,0.0,0.0
2018-04-01,143.03,143.03,143.03,0.0,0.0,143.28,143.28,143.28,0.0,0.0,141.69,141.69,141.69,0.0,0.0,141.69,141.69,141.69,0.0,0.0
2018-04-08,145.17,145.17,145.17,0.0,0.0,146.31,146.31,146.31,0.0,0.0,144.81,144.81,144.81,0.0,0.0,145.8,145.8,145.8,0.0,0.0
2018-04-15,145.59,145.59,145.59,0.0,0.0,146.11,146.11,146.11,0.0,0.0,145.1,145.1,145.1,0.0,0.0,145.41,145.41,145.41,0.0,0.0
2018-04-22,145.79,145.79,145.79,0.0,0.0,145.79,145.79,145.79,0.0,0.0,144.39,144.39,144.39,0.0,0.0,144.43,144.43,144.43,0.0,0.0
2018-04-29,146.72,146.72,146.72,0.0,0.0,146.72,146.72,146.72,0.0,0.0,146.12,146.12,146.12,0.0,0.0,146.23,146.23,146.23,0.0,0.0
2018-05-06,148.42,148.42,148.42,0.0,0.0,148.58,148.58,148.58,0.0,0.0,148.34,148.34,148.34,0.0,0.0,148.43,148.43,148.43,0.0,0.0
2018-05-13,151.72,151.72,151.72,0.0,0.0,152.03,152.03,152.03,0.0,0.0,151.52,151.52,151.52,0.0,0.0,151.96,151.96,151.96,0.0,0.0
2018-05-20,150.88,150.88,150.88,0.0,0.0,151.18,151.18,151.18,0.0,0.0,150.71,150.71,150.71,0.0,0.0,150.85,150.85,150.85,0.0,0.0
2018-05-27,152.91,152.91,152.91,0.0,0.0,153.53,153.53,153.53,0.0,0.0,152.54,152.54,152.54,0.0,0.0,153.12,153.12,153.12,0.0,0.0
2018-06-03,155.43,155.43,155.43,0.0,0.0,156.2,156.2,156.2,0.0,0.0,155.43,155.43,155.43,0.0,0.0,156.0,156.0,156.0,0.0,0.0
2018-06-10,154.06,154.06,154.06,0.0,0.0,154.86,154.86,154.86,0.0,0.0,152.94,152.94,152.94,0.0,0.0,154.62,154.62,154.62,0.0,0.0
2018-06-17,155.48,155.48,155.48,0.0,0.0,155.48,155.48,155.48,0.0,0.0,153.41,153.41,153.41,0.0,0.0,154.31,154.31,154.31,0.0,0.0
2018-06-24,151.05,151.05,151.05,0.0,0.0,151.54,151.54,151.54,0.0,0.0,150.59,150.59,150.59,0.0,0.0,151.53,151.53,151.53,0.0,0.0
2018-07-01,155.38,155.38,155.38,0.0,0.0,156.36,156.36,156.36,0.0,0.0,155.38,155.38,155.38,0.0,0.0,156.36,156.36,156.36,0.0,0.0
2018-07-08,153.84,153.84,153.84,0.0,0.0,153.86,153.86,153.86,0.0,0.0,152.65,152.65,152.65,0.0,0.0,152.96,152.96,152.96,0.0,0.0
2018-07-15,154.52,154.52,154.52,0.0,0.0,155.3,155.3,155.3,0.0,0.0,154.52,154.52,154.52,0.0,0.0,155.11,155.11,155.11,0.0,0.0
2018-07-22,154.01,154.01,154.01,0.0,0.0,154.86,154.86,154.86,0.0,0.0,154.01,154.01,154.01,0.0,0.0,154.13,154.13,154.13,0.0,0.0
2018-07-29,155.41,155.41,155.41,0.0,0.0,156.07,156.07,156.07,0.0,0.0,155.41,155.41,155.41,0.0,0.0,155.97,155.97,155.97,0.0,0.0
2018-08-05,155.38,155.38,155.38,0.0,0.0,155.38,155.38,155.38,0.0,0.0,154.49,154.49,154.49,0.0,0.0,154.49,154.49,154.49,0.0,0.0
2018-08-12,157.07,157.07,157.07,0.0,0.0,157.49,157.49,157.49,0.0,0.0,156.67,156.67,156.67,0.0,0.0,157.35,157.35,157.35,0.0,0.0
2018-08-19,159.18,159.18,159.18,0.0,0.0,159.18,159.18,159.18,0.0,0.0,158.58,158.58,158.58,0.0,0.0,158.64,158.64,158.64,0.0,0.0
2018-08-26,157.63,157.63,157.63,0.0,0.0,157.82,157.82,157.82,0.0,0.0,157.44,157.44,157.44,0.0,0.0,157.73,157.73,157.73,0.0,0.0
2018-09-02,156.88,156.88,156.88,0.0,0.0,156.93,156.93,156.93,0.0,0.0,156.15,156.15,156.15,0.0,0.0,156.2,156.2,156.2,0.0,0.0
2018-09-09,157.13,157.13,157.13,0.0,0.0,157.13,157.13,157.13,0.0,0.0,155.95,155.95,155.95,0.0,0.0,155.95,155.95,155.95,0.0,0.0
2018-09-16,157.35,157.35,157.35,0.0,0.0,157.35,157.35,157.35,0.0,0.0,155.58,155.58,155.58,0.0,0.0,156.28,156.28,156.28,0.0,0.0
2018-09-23,153.21,153.21,153.21,0.0,0.0,153.21,153.21,153.21,0.0,0.0,152.44,152.44,152.44,0.0,0.0,152.44,152.44,152.44,0.0,0.0
2018-09-30,149.98,149.98,149.98,0.0,0.0,151.37,151.37,151.37,0.0,0.0,149.98,149.98,149.98,0.0,0.0,151.37,151.37,151.37,0.0,0.0
2018-10-07,143.06,143.06,143.06,0.0,0.0,144.95,144.95,144.95,0.0,0.0,143.06,143.06,143.06,0.0,0.0,144.37,144.37,144.37,0.0,0.0
2018-10-14,142.63,142.63,142.63,0.0,0.0,142.63,142.63,142.63,0.0,0.0,141.87,141.87,141.87,0.0,0.0,141.87,141.87,141.87,0.0,0.0
2018-10-21,138.91,138.91,138.91,0.0,0.0,140.34,140.34,140.34,0.0,0.0,136.3,136.3,136.3,0.0,0.0,136.3,136.3,136.3,0.0,0.0
2018-10-28,142.99,142.99,142.99,0.0,0.0,143.26,143.26,143.26,0.0,0.0,142.03,142.03,142.03,0.0,0.0,143.23,143.23,143.23,0.0,0.0
2018-11-04,143.47,143.47,143.47,0.0,0.0,143.47,143.47,143.47,0.0,0.0,141.52,141.52,141.52,0.0,0.0,141.52,141.52,141.52,0.0,0.0
2018-11-11,141.04,141.04,141.04,0.0,0.0,141.79,141.79,141.79,0.0,0.0,140.0,140.0,140.0,0.0,0.0,140.0,140.0,140.0,0.0,0.0
2018-11-18,139.28,139.28,139.28,0.0,0.0,140.44,140.44,140.44,0.0,0.0,139.28,139.28,139.28,0.0,0.0,139.97,139.97,139.97,0.0,0.0
2018-11-25,143.81,143.81,143.81,0.0,0.0,143.81,143.81,143.81,0.0,0.0,142.09,142.09,142.09,0.0,0.0,142.53,142.53,142.53,0.0,0.0
2018-12-02,134.87,134.87,134.87,0.0,0.0,135.0,135.0,135.0,0.0,0.0,132.5,132.5,132.5,0.0,0.0,133.55,133.55,133.55,0.0,0.0
2018-12-09,128.8,128.8,128.8,0.0,0.0,130.28,130.28,130.28,0.0,0.0,126.43,126.43,126.43,0.0,0.0,126.73,126.73,126.73,0.0,0.0
2018-12-16,119.47,119.47,119.47,0.0,0.0,119.47,119.47,119.47,0.0,0.0,117.04,117.04,117.04,0.0,0.0,117.04,117.04,117.04,0.0,0.0
2018-12-23,122.94,122.94,122.94,0.0,0.0,123.26,123.26,123.26,0.0,0.0,121.35,121.35,121.35,0.0,0.0,123.17,123.17,123.17,0.0,0.0
2018-12-30,127.89,127.89,127.89,0.0,0.0,129.28,129.28,129.28,0.0,0.0,127.89,127.89,127.89,0.0,0.0,128.97,128.97,128.97,0.0,0.0
2019-01-06,131.98,131.98,131.98,0.0,0.0,133.23,133.23,133.23,0.0,0.0,131.94,131.94,131.94,0.0,0.0,132.54,132.54,132.54,0.0,0.0
2019-01-13,136.09,136.09,136.09,0.0,0.0,137.37,137.37,137.37,0.0,0.0,136.07,136.07,136.07,0.0,0.0,137.08,137.08,137.08,0.0,0.0
2019-01-20,136.5,136.5,136.5,0.0,0.0,137.44,137.44,137.44,0.0,0.0,136.23,136.23,136.23,0.0,0.0,137.27,137.27,137.27,0.0,0.0
2019-01-27,139.03,139.03,139.03,0.0,0.0,140.09,140.09,140.09,0.0,0.0,138.65,138.65,138.65,0.0,0.0,140.09,140.09,140.09,0.0,0.0
2019-02-03,138.92,138.92,138.92,0.0,0.0,139.63,139.63,139.63,0.0,0.0,138.92,138.92,138.92,0.0,0.0,139.63,139.63,139.63,0.0,0.0
2019-02-10,142.34,142.34,142.34,0.0,0.0,143.2,143.2,143.2,0.0,0.0,142.34,142.34,142.34,0.0,0.0,143.13,143.13,143.13,0.0,0.0
2019-02-17,145.21,145.21,145.21,0.0,0.0,145.45,145.45,145.45,0.0,0.0,144.28,144.28,144.28,0.0,0.0,144.3,144.3,144.3,0.0,0.0
2019-02-24,144.05,144.05,144.05,0.0,0.0,144.05,144.05,144.05,0.0,0.0,142.34,142.34,142.34,0.0,0.0,143.07,143.07,143.07,0.0,0.0
2019-03-03,139.08,139.08,139.08,0.0,0.0,139.84,139.84,139.84,0.0,0.0,139.08,139.08,139.08,0.0,0.0,139.84,139.84,139.84,0.0,0.0
2019-03-10,140.1,140.1,140.1,0.0,0.0,141.33,141.33,141.33,0.0,0.0,140.1,140.1,140.1,0.0,0.0,141.22,141.22,141.22,0.0,0.0
2019-03-17,135.01,135.01,135.01,0.0,0.0,135.37,135.37,135.37,0.0,0.0,133.9,133.9,133.9,0.0,0.0,135.14,135.14,135.14,0.0,0.0
2019-03-24,138.73,138.73,138.73,0.0,0.0,140.24,140.24,140.24,0.0,0.0,138.73,138.73,138.73,0.0,0.0,140.24,140.24,140.24,0.0,0.0
2019-03-31,142.8,142.8,142.8,0.0,0.0,143.01,143.01,143.01,0.0,0.0,142.59,142.59,142.59,0.0,0.0,142.89,142.89,142.89,0.0,0.0
2019-04-07,144.08,144.08,144.08,0.0,0.0,144.08,144.08,144.08,0.0,0.0,143.19,143.19,143.19,0.0,0.0,143.28,143.28,143.28,0.0,0.0
2019-04-14,142.48,142.48,142.48,0.0,0.0,142.5,142.5,142.5,0.0,0.0,141.32,141.32,141.32,0.0,0.0,141.73,141.73,141.73,0.0,0.0
2019-04-21,143.53,143.53,143.53,0.0,0.0,144.11,144.11,144.11,0.0,0.0,143.52,143.52,143.52,0.0,0.0,143.73,143.73,143.73,0.0,0.0
2019-04-28,142.02,142.02,142.02,0.0,0.0,144.33,144.33,144.33,0.0,0.0,142.02,142.02,142.02,0.0,0.0,144.17,144.17,144.17,0.0,0.0
2019-05-05,138.09,138.09,138.09,0.0,0.0,138.12,138.12,138.12,0.0,0.0,136.22,136.22,136.22,0.0,0.0,136.53,136.53,136.53,0.0,0.0
2019-05-12,136.48,136.48,136.48,0.0,0.0,137.12,137.12,137.12,0.0,0.0,136.4,136.4,136.4,0.0,0.0,136.4,136.4,136.4,0.0,0.0
2019-05-19,134.36,134.36,134.36,0.0,0.0,134.36,134.36,134.36,0.0,0.0,133.6,133.6,133.6,0.0,0.0,134.17,134.17,134.17,0.0,0.0
2019-05-26,130.16,130.16,130.16,0.0,0.0,131.77,131.77,131.77,0.0,0.0,130.16,130.16,130.16,0.0,0.0,131.39,131.39,131.39,0.0,0.0
2019-06-02,134.8,134.8,134.8,0.0,0.0,135.6,135.6,135.6,0.0,0.0,134.8,134.8,134.8,0.0,0.0,134.81,134.81,134.81,0.0,0.0
2019-06-09,133.59,133.59,133.59,0.0,0.0,134.0,134.0,134.0,0.0,0.0,133.46,133.46,133.46,0.0,0.0,133.46,133.46,133.46,0.0,0.0
2019-06-16,135.13,135.13,135.13,0.0,0.0,135.28,135.28,135.28,0.0,0.0,133.77,133.77,133.77,0.0,0.0,133.77,133.77,133.77,0.0,0.0
2019-06-23,138.59,138.59,138.59,0.0,0.0,138.59,138.59,138.59,0.0,0.0,136.78,136.78,136.78,0.0,0.0,137.25,137.25,137.25,0.0,0.0
2019-06-30,137.44,137.44,137.44,0.0,0.0,137.59,137.59,137.59,0.0,0.0,136.78,136.78,136.78,0.0,0.0,136.93,136.93,136.93,0.0,0.0
2019-07-07,137.2,137.2,137.2,0.0,0.0,137.2,137.2,137.2,0.0,0.0,135.72,135.72,135.72,0.0,0.0,135.88,135.88,135.88,0.0,0.0
2019-07-14,135.28,135.28,135.28,0.0,0.0,135.28,135.28,135.28,0.0,0.0,134.38,134.38,134.38,0.0,0.0,134.5,134.5,134.5,0.0,0.0
2019-07-21,137.93,137.93,137.93,0.0,0.0,137.93,137.93,137.93,0.0,0.0,137.53,137.53,137.53,0.0,0.0,137.53,137.53,137.53,0.0,0.0
2019-07-28,130.57,130.57,130.57,0.0,0.0,130.57,130.57,130.57,0.0,0.0,128.0,128.0,128.0,0.0,0.0,128.79,128.79,128.79,0.0,0.0
2019-08-04,128.65,128.65,128.65,0.0,0.0,128.65,128.65,128.65,0.0,0.0,127.56,127.56,127.56,0.0,0.0,127.63,127.63,127.63,0.0,0.0
2019-08-11,128.67,128.67,128.67,0.0,0.0,129.15,129.15,129.15,0.0,0.0,128.67,128.67,128.67,0.0,0.0,128.78,128.78,128.78,0.0,0.0
2019-08-18,125.12,125.12,125.12,0.0,0.0,125.58,125.58,125.58,0.0,0.0,125.12,125.12,125.12,0.0,0.0,125.58,125.58,125.58,0.0,0.0
2019-08-25,128.08,128.08,128.08,0.0,0.0,128.08,128.08,128.08,0.0,0.0,127.54,127.54,127.54,0.0,0.0,127.91,127.91,127.91,0.0,0.0
2019-09-01,130.71,130.71,130.71,0.0,0.0,133.18,133.18,133.18,0.0,0.0,130.71,130.71,130.71,0.0,0.0,133.18,133.18,133.18,0.0,0.0
2019-09-08,137.61,137.61,137.61,0.0,0.0,138.22,138.22,138.22,0.0,0.0,137.49,137.49,137.49,0.0,0.0,137.89,137.89,137.89,0.0,0.0
2019-09-15,134.25,134.25,134.25,0.0,0.0,135.78,135.78,135.78,0.0,0.0,134.25,134.25,134.25,0.0,0.0,135.39,135.39,135.39,0.0,0.0
2019-09-22,133.77,133.77,133.77,0.0,0.0,134.07,134.07,134.07,0.0,0.0,133.48,133.48,133.48,0.0,0.0,133.73,133.73,133.73,0.0,0.0
2019-09-29,130.09,130.09,130.09,0.0,0.0,130.92,130.92,130.92,0.0,0.0,130.09,130.09,130.09,0.0,0.0,130.21,130.21,130.21,0.0,0.0
2019-10-06,130.6,130.6,130.6,0.0,0.0,131.68,131.68,131.68,0.0,0.0,130.6,130.6,130.6,0.0,0.0,131.49,131.49,131.49,0.0,0.0
2019-10-13,134.56,134.56,134.56,0.0,0.0,135.89,135.89,135.89,0.0,0.0,134.56,134.56,134.56,0.0,0.0,135.4,135.4,135.4,0.0,0.0
2019-10-20,137.34,137.34,137.34,0.0,0.0,137.78,137.78,137.78,0.0,0.0,136.92,136.92,136.92,0.0,0.0,137.03,137.03,137.03,0.0,0.0
2019-10-27,139.09,139.09,139.09,0.0,0.0,140.19,140.19,140.19,0.0,0.0,139.09,139.09,139.09,0.0,0.0,140.04,140.04,140.04,0.0,0.0
2019-11-03,139.5,139.5,139.5,0.0,0.0,140.07,140.07,140.07,0.0,0.0,139.5,139.5,139.5,0.0,0.0,139.75,139.75,139.75,0.0,0.0
2019-11-10,139.01,139.01,139.01,0.0,0.0,139.04,139.04,139.04,0.0,0.0,138.67,138.67,138.67,0.0,0.0,139.04,139.04,139.04,0.0,0.0
2019-11-17,139.15,139.15,139.15,0.0,0.0,140.16,140.16,140.16,0.0,0.0,139.15,139.15,139.15,0.0,0.0,140.05,140.05,140.05,0.0,0.0
2019-11-24,140.24,140.24,140.24,0.0,0.0,140.24,140.24,140.24,0.0,0.0,139.15,139.15,139.15,0.0,0.0,139.15,139.15,139.15,0.0,0.0
2019-12-01,141.57,141.57,141.57,0.0,0.0,141.68,141.68,141.68,0.0,0.0,141.29,141.29,141.29,0.0,0.0,141.29,141.29,141.29,0.0,0.0
2019-12-08,142.07,142.07,142.07,0.0,0.0,143.12,143.12,143.12,0.0,0.0,142.07,142.07,142.07,0.0,0.0,142.48,142.48,142.48,0.0,0.0
2019-12-15,144.27,144.27,144.27,0.0,0.0,144.27,144.27,144.27,0.0,0.0,143.74,143.74,143.74,0.0,0.0,143.99,143.99,143.99,0.0,0.0
2019-12-22,144.02,144.02,144.02,0.0,0.0,144.02,144.02,144.02,0.0,0.0,143.24,143.24,143.24,0.0,0.0,143.27,143.27,143.27,0.0,0.0
2019-12-29,142.16,142.16,142.16,0.0,0.0,142.86,142.86,142.86,0.0,0.0,142.09,142.09,142.09,0.0,0.0,142.68,142.68,142.68,0.0,0.0
