Date,iShares Morningstar Large-Cap Growth_Open_average,iShares Morningstar Large-Cap Growth_Open_max,iShares Morningstar Large-Cap Growth_Open_min,iShares Morningstar Large-Cap Growth_Open_volatility,iShares Morningstar Large-Cap Growth_Open_change,iShares Morningstar Large-Cap Growth_High_average,iShares Morningstar Large-Cap Growth_High_max,iShares Morningstar Large-Cap Growth_High_min,iShares Morningstar Large-Cap Growth_High_volatility,iShares Morningstar Large-Cap Growth_High_change,iShares Morningstar Large-Cap Growth_Low_average,iShares Morningstar Large-Cap Growth_Low_max,iShares Morningstar Large-Cap Growth_Low_min,iShares Morningstar Large-Cap Growth_Low_volatility,iShares Morningstar Large-Cap Growth_Low_change,iShares Morningstar Large-Cap Growth_Close_average,iShares Morningstar Large-Cap Growth_Close_max,iShares Morningstar Large-Cap Growth_Close_min,iShares Morningstar Large-Cap Growth_Close_volatility,iShares Morningstar Large-Cap Growth_Close_change
2019-05-19,184.32,184.32,184.32,0.0,0.0,184.32,184.32,184.32,0.0,0.0,183.42,183.42,183.42,0.0,0.0,183.42,183.42,183.42,0.0,0.0
2019-05-26,179.83,179.83,179.83,0.0,0.0,180.03,180.03,180.03,0.0,0.0,175.9,175.9,175.9,0.0,0.0,176.69,176.69,176.69,0.0,0.0
2019-06-02,188.55,188.55,188.55,0.0,0.0,189.81,189.81,189.81,0.0,0.0,188.42,188.42,188.42,0.0,0.0,188.42,188.42,188.42,0.0,0.0
2019-06-09,187.89,187.89,187.89,0.0,0.0,188.67,188.67,188.67,0.0,0.0,187.89,187.89,187.89,0.0,0.0,188.47,188.47,188.47,0.0,0.0
2019-06-16,193.32,193.32,193.32,0.0,0.0,193.32,193.32,193.32,0.0,0.0,192.8,192.8,192.8,0.0,0.0,192.83,192.83,192.83,0.0,0.0
2019-06-23,193.85,193.85,193.85,0.0,0.0,194.03,194.03,194.03,0.0,0.0,192.99,192.99,192.99,0.0,0.0,193.66,193.66,193.66,0.0,0.0
2019-06-30,194.76,194.76,194.76,0.0,0.0,195.05,195.05,195.05,0.0,0.0,194.52,194.52,194.52,0.0,0.0,194.9,194.9,194.9,0.0,0.0
2019-07-07,198.54,198.54,198.54,0.0,0.0,198.54,198.54,198.54,0.0,0.0,198.03,198.03,198.03,0.0,0.0,198.38,198.38,198.38,0.0,0.0
2019-07-14,195.94,195.94,195.94,0.0,0.0,196.73,196.73,196.73,0.0,0.0,195.7,195.7,195.7,0.0,0.0,196.29,196.29,196.29,0.0,0.0
2019-07-21,198.34,198.34,198.34,0.0,0.0,198.34,198.34,198.34,0.0,0.0,197.0,197.0,197.0,0.0,0.0,197.8,197.8,197.8,0.0,0.0
2019-07-28,188.35,188.35,188.35,0.0,0.0,188.72,188.72,188.72,0.0,0.0,184.37,184.37,184.37,0.0,0.0,185.95,185.95,185.95,0.0,0.0
2019-08-04,191.42,191.42,191.42,0.0,0.0,191.85,191.85,191.85,0.0,0.0,189.72,189.72,189.72,0.0,0.0,190.32,190.32,190.32,0.0,0.0
2019-08-11,193.26,193.26,193.26,0.0,0.0,193.76,193.76,193.76,0.0,0.0,192.48,192.48,192.48,0.0,0.0,193.7,193.7,193.7,0.0,0.0
2019-08-18,190.07,190.07,190.07,0.0,0.0,190.52,190.52,190.52,0.0,0.0,189.35,189.35,189.35,0.0,0.0,190.52,190.52,190.52,0.0,0.0
2019-08-25,194.82,194.82,194.82,0.0,0.0,194.82,194.82,194.82,0.0,0.0,192.88,192.88,192.88,0.0,0.0,193.56,193.56,193.56,0.0,0.0
2019-09-01,197.53,197.53,197.53,0.0,0.0,197.53,197.53,197.53,0.0,0.0,194.16,194.16,194.16,0.0,0.0,194.75,194.75,194.75,0.0,0.0
2019-09-08,193.81,193.81,193.81,0.0,0.0,194.81,194.81,194.81,0.0,0.0,193.81,193.81,193.81,0.0,0.0,194.3,194.3,194.3,0.0,0.0
2019-09-15,193.75,193.75,193.75,0.0,0.0,194.62,194.62,194.62,0.0,0.0,193.75,193.75,193.75,0.0,0.0,194.24,194.24,194.24,0.0,0.0
2019-09-22,190.59,190.59,190.59,0.0,0.0,191.73,191.73,191.73,0.0,0.0,189.89,189.89,189.89,0.0,0.0,191.45,191.45,191.45,0.0,0.0
2019-09-29,189.8,189.8,189.8,0.0,0.0,190.85,190.85,190.85,0.0,0.0,189.53,189.53,189.53,0.0,0.0,189.94,189.94,189.94,0.0,0.0
2019-10-06,191.68,191.68,191.68,0.0,0.0,192.09,192.09,192.09,0.0,0.0,191.68,191.68,191.68,0.0,0.0,191.87,191.87,191.87,0.0,0.0
2019-10-13,192.61,192.61,192.61,0.0,0.0,193.34,193.34,193.34,0.0,0.0,192.61,192.61,192.61,0.0,0.0,193.25,193.25,193.25,0.0,0.0
2019-10-20,194.65,194.65,194.65,0.0,0.0,195.51,195.51,195.51,0.0,0.0,194.65,194.65,194.65,0.0,0.0,195.26,195.26,195.26,0.0,0.0
2019-10-27,196.9,196.9,196.9,0.0,0.0,196.95,196.95,196.95,0.0,0.0,196.39,196.39,196.39,0.0,0.0,196.41,196.41,196.41,0.0,0.0
2019-11-03,195.61,195.61,195.61,0.0,0.0,196.22,196.22,196.22,0.0,0.0,195.61,195.61,195.61,0.0,0.0,196.02,196.02,196.02,0.0,0.0
2019-11-10,199.47,199.47,199.47,0.0,0.0,200.02,200.02,200.02,0.0,0.0,199.47,199.47,199.47,0.0,0.0,199.79,199.79,199.79,0.0,0.0
2019-11-17,201.54,201.54,201.54,0.0,0.0,202.15,202.15,202.15,0.0,0.0,201.54,201.54,201.54,0.0,0.0,202.15,202.15,202.15,0.0,0.0
2019-11-24,203.7,203.7,203.7,0.0,0.0,203.7,203.7,203.7,0.0,0.0,200.75,200.75,200.75,0.0,0.0,201.6,201.6,201.6,0.0,0.0
2019-12-01,203.25,203.25,203.25,0.0,0.0,203.75,203.75,203.75,0.0,0.0,202.66,202.66,202.66,0.0,0.0,202.68,202.68,202.68,0.0,0.0
2019-12-08,206.24,206.24,206.24,0.0,0.0,207.14,207.14,207.14,0.0,0.0,206.24,206.24,206.24,0.0,0.0,207.02,207.02,207.02,0.0,0.0
2019-12-15,210.76,210.76,210.76,0.0,0.0,210.76,210.76,210.76,0.0,0.0,210.05,210.05,210.05,0.0,0.0,210.11,210.11,210.11,0.0,0.0
2019-12-22,209.56,209.56,209.56,0.0,0.0,210.26,210.26,210.26,0.0,0.0,209.54,209.54,209.54,0.0,0.0,209.87,209.87,209.87,0.0,0.0
2019-12-29,210.55,210.55,210.55,0.0,0.0,212.41,212.41,212.41,0.0,0.0,210.55,210.55,210.55,0.0,0.0,211.46,211.46,211.46,0.0,0.0
