Date,ProShares Ultra Bloomberg Natural Gas_Open_average,ProShares Ultra Bloomberg Natural Gas_Open_max,ProShares Ultra Bloomberg Natural Gas_Open_min,ProShares Ultra Bloomberg Natural Gas_Open_volatility,ProShares Ultra Bloomberg Natural Gas_Open_change,ProShares Ultra Bloomberg Natural Gas_High_average,ProShares Ultra Bloomberg Natural Gas_High_max,ProShares Ultra Bloomberg Natural Gas_High_min,ProShares Ultra Bloomberg Natural Gas_High_volatility,ProShares Ultra Bloomberg Natural Gas_High_change,ProShares Ultra Bloomberg Natural Gas_Low_average,ProShares Ultra Bloomberg Natural Gas_Low_max,ProShares Ultra Bloomberg Natural Gas_Low_min,ProShares Ultra Bloomberg Natural Gas_Low_volatility,ProShares Ultra Bloomberg Natural Gas_Low_change,ProShares Ultra Bloomberg Natural Gas_Close_average,ProShares Ultra Bloomberg Natural Gas_Close_max,ProShares Ultra Bloomberg Natural Gas_Close_min,ProShares Ultra Bloomberg Natural Gas_Close_volatility,ProShares Ultra Bloomberg Natural Gas_Close_change
2018-03-25,26.35,26.35,26.35,0.0,0.0,26.5,26.5,26.5,0.0,0.0,25.83,25.83,25.83,0.0,0.0,26.25,26.25,26.25,0.0,0.0
2018-04-01,26.58,26.58,26.58,0.0,0.0,26.75,26.75,26.75,0.0,0.0,25.64,25.64,25.64,0.0,0.0,26.64,26.64,26.64,0.0,0.0
2018-04-08,27.57,27.57,27.57,0.0,0.0,27.82,27.82,27.82,0.0,0.0,27.4,27.4,27.4,0.0,0.0,27.47,27.47,27.47,0.0,0.0
2018-04-15,26.88,26.88,26.88,0.0,0.0,27.32,27.32,27.32,0.0,0.0,26.87,26.87,26.87,0.0,0.0,27.14,27.14,27.14,0.0,0.0
2018-04-22,26.68,26.68,26.68,0.0,0.0,27.0,27.0,27.0,0.0,0.0,26.36,26.36,26.36,0.0,0.0,26.95,26.95,26.95,0.0,0.0
2018-04-29,26.51,26.51,26.51,0.0,0.0,26.72,26.72,26.72,0.0,0.0,26.14,26.14,26.14,0.0,0.0,26.21,26.21,26.21,0.0,0.0
2018-05-06,27.32,27.32,27.32,0.0,0.0,28.1,28.1,28.1,0.0,0.0,27.32,27.32,27.32,0.0,0.0,27.92,27.92,27.92,0.0,0.0
2018-05-13,28.28,28.28,28.28,0.0,0.0,28.36,28.36,28.36,0.0,0.0,27.78,27.78,27.78,0.0,0.0,28.06,28.06,28.06,0.0,0.0
2018-05-20,30.51,30.51,30.51,0.0,0.0,30.72,30.72,30.72,0.0,0.0,29.67,29.67,29.67,0.0,0.0,30.12,30.12,30.12,0.0,0.0
2018-05-27,29.78,29.78,29.78,0.0,0.0,30.0,30.0,30.0,0.0,0.0,29.3,29.3,29.3,0.0,0.0,29.35,29.35,29.35,0.0,0.0
2018-06-03,29.72,29.72,29.72,0.0,0.0,29.79,29.79,29.79,0.0,0.0,29.32,29.32,29.32,0.0,0.0,29.52,29.52,29.52,0.0,0.0
2018-06-10,30.57,30.57,30.57,0.0,0.0,30.85,30.85,30.85,0.0,0.0,29.86,29.86,29.86,0.0,0.0,30.02,30.02,30.02,0.0,0.0
2018-06-17,28.98,28.98,28.98,0.0,0.0,29.37,29.37,29.37,0.0,0.0,28.84,28.84,28.84,0.0,0.0,29.34,29.34,29.34,0.0,0.0
2018-06-24,28.18,28.18,28.18,0.0,0.0,28.27,28.27,28.27,0.0,0.0,27.97,27.97,27.97,0.0,0.0,28.17,28.17,28.17,0.0,0.0
2018-07-01,27.49,27.49,27.49,0.0,0.0,27.53,27.53,27.53,0.0,0.0,27.09,27.09,27.09,0.0,0.0,27.23,27.23,27.23,0.0,0.0
2018-07-08,25.9,25.9,25.9,0.0,0.0,26.15,26.15,26.15,0.0,0.0,25.6,25.6,25.6,0.0,0.0,25.96,25.96,25.96,0.0,0.0
2018-07-15,25.33,25.33,25.33,0.0,0.0,25.34,25.34,25.34,0.0,0.0,25.1,25.1,25.1,0.0,0.0,25.2,25.2,25.2,0.0,0.0
2018-07-22,26.81,26.81,26.81,0.0,0.0,27.47,27.47,27.47,0.0,0.0,26.58,26.58,26.58,0.0,0.0,27.21,27.21,27.21,0.0,0.0
2018-07-29,28.08,28.08,28.08,0.0,0.0,28.4,28.4,28.4,0.0,0.0,28.03,28.03,28.03,0.0,0.0,28.31,28.31,28.31,0.0,0.0
2018-08-05,29.59,29.59,29.59,0.0,0.0,29.99,29.99,29.99,0.0,0.0,29.59,29.59,29.59,0.0,0.0,29.86,29.86,29.86,0.0,0.0
2018-08-12,29.88,29.88,29.88,0.0,0.0,29.98,29.98,29.98,0.0,0.0,29.68,29.68,29.68,0.0,0.0,29.89,29.89,29.89,0.0,0.0
2018-08-19,28.62,28.62,28.62,0.0,0.0,28.74,28.74,28.74,0.0,0.0,28.29,28.29,28.29,0.0,0.0,28.33,28.33,28.33,0.0,0.0
2018-08-26,29.24,29.24,29.24,0.0,0.0,29.4,29.4,29.4,0.0,0.0,29.05,29.05,29.05,0.0,0.0,29.18,29.18,29.18,0.0,0.0
2018-09-02,25.8,25.8,25.8,0.0,0.0,26.72,26.72,26.72,0.0,0.0,25.77,25.77,25.77,0.0,0.0,26.59,26.59,26.59,0.0,0.0
2018-09-09,25.85,25.85,25.85,0.0,0.0,26.3,26.3,26.3,0.0,0.0,25.8,25.8,25.8,0.0,0.0,26.01,26.01,26.01,0.0,0.0
2018-09-16,30.01,30.01,30.01,0.0,0.0,30.95,30.95,30.95,0.0,0.0,30.01,30.01,30.01,0.0,0.0,30.89,30.89,30.89,0.0,0.0
2018-09-23,31.4,31.4,31.4,0.0,0.0,32.46,32.46,32.46,0.0,0.0,31.4,31.4,31.4,0.0,0.0,32.35,32.35,32.35,0.0,0.0
2018-09-30,35.09,35.09,35.09,0.0,0.0,36.08,36.08,36.08,0.0,0.0,35.03,35.03,35.03,0.0,0.0,35.61,35.61,35.61,0.0,0.0
2018-10-07,35.49,35.49,35.49,0.0,0.0,36.11,36.11,36.11,0.0,0.0,35.12,35.12,35.12,0.0,0.0,36.04,36.04,36.04,0.0,0.0
2018-10-14,34.05,34.05,34.05,0.0,0.0,34.61,34.61,34.61,0.0,0.0,33.54,33.54,33.54,0.0,0.0,33.64,33.64,33.64,0.0,0.0
2018-10-21,32.09,32.09,32.09,0.0,0.0,33.27,33.27,33.27,0.0,0.0,31.93,31.93,31.93,0.0,0.0,32.96,32.96,32.96,0.0,0.0
2018-10-28,39.17,39.17,39.17,0.0,0.0,39.82,39.82,39.82,0.0,0.0,38.2,38.2,38.2,0.0,0.0,39.47,39.47,39.47,0.0,0.0
2018-11-04,44.5,44.5,44.5,0.0,0.0,46.9,46.9,46.9,0.0,0.0,43.6,43.6,43.6,0.0,0.0,46.9,46.9,46.9,0.0,0.0
2018-11-11,58.82,58.82,58.82,0.0,0.0,65.13,65.13,65.13,0.0,0.0,56.97,56.97,56.97,0.0,0.0,59.95,59.95,59.95,0.0,0.0
2018-11-18,48.71,48.71,48.71,0.0,0.0,52.82,52.82,52.82,0.0,0.0,48.36,48.36,48.36,0.0,0.0,51.53,51.53,51.53,0.0,0.0
2018-11-25,52.34,52.34,52.34,0.0,0.0,54.0,54.0,54.0,0.0,0.0,50.56,50.56,50.56,0.0,0.0,52.69,52.69,52.69,0.0,0.0
2018-12-02,56.06,56.06,56.06,0.0,0.0,59.76,59.76,59.76,0.0,0.0,54.8,54.8,54.8,0.0,0.0,56.27,56.27,56.27,0.0,0.0
2018-12-09,39.17,39.17,39.17,0.0,0.0,39.17,39.17,39.17,0.0,0.0,34.61,34.61,34.61,0.0,0.0,35.54,35.54,35.54,0.0,0.0
2018-12-16,34.8,34.8,34.8,0.0,0.0,35.8,35.8,35.8,0.0,0.0,34.31,34.31,34.31,0.0,0.0,35.49,35.49,35.49,0.0,0.0
2018-12-23,28.4,28.4,28.4,0.0,0.0,28.41,28.41,28.41,0.0,0.0,25.11,25.11,25.11,0.0,0.0,25.82,25.82,25.82,0.0,0.0
2018-12-30,25.12,25.12,25.12,0.0,0.0,25.84,25.84,25.84,0.0,0.0,24.87,24.87,24.87,0.0,0.0,25.18,25.18,25.18,0.0,0.0
2019-01-06,30.5,30.5,30.5,0.0,0.0,33.4,33.4,33.4,0.0,0.0,30.5,30.5,30.5,0.0,0.0,32.98,32.98,32.98,0.0,0.0
2019-01-13,28.91,28.91,28.91,0.0,0.0,32.26,32.26,32.26,0.0,0.0,28.88,28.88,28.88,0.0,0.0,31.11,31.11,31.11,0.0,0.0
2019-01-20,25.36,25.36,25.36,0.0,0.0,25.78,25.78,25.78,0.0,0.0,24.69,24.69,24.69,0.0,0.0,25.17,25.17,25.17,0.0,0.0
2019-01-27,21.56,21.56,21.56,0.0,0.0,21.86,21.86,21.86,0.0,0.0,21.26,21.26,21.26,0.0,0.0,21.42,21.42,21.42,0.0,0.0
2019-02-03,21.75,21.75,21.75,0.0,0.0,21.8,21.8,21.8,0.0,0.0,20.89,20.89,20.89,0.0,0.0,21.01,21.01,21.01,0.0,0.0
2019-02-10,20.45,20.45,20.45,0.0,0.0,20.74,20.74,20.74,0.0,0.0,20.05,20.05,20.05,0.0,0.0,20.68,20.68,20.68,0.0,0.0
2019-02-17,22.53,22.53,22.53,0.0,0.0,23.08,23.08,23.08,0.0,0.0,22.21,22.21,22.21,0.0,0.0,22.95,22.95,22.95,0.0,0.0
2019-02-24,23.33,23.33,23.33,0.0,0.0,23.65,23.65,23.65,0.0,0.0,23.14,23.14,23.14,0.0,0.0,23.44,23.44,23.44,0.0,0.0
2019-03-03,22.66,22.66,22.66,0.0,0.0,22.66,22.66,22.66,0.0,0.0,22.22,22.22,22.22,0.0,0.0,22.33,22.33,22.33,0.0,0.0
2019-03-10,23.08,23.08,23.08,0.0,0.0,23.5,23.5,23.5,0.0,0.0,23.06,23.06,23.06,0.0,0.0,23.35,23.35,23.35,0.0,0.0
2019-03-17,21.77,21.77,21.77,0.0,0.0,22.24,22.24,22.24,0.0,0.0,21.74,21.74,21.74,0.0,0.0,22.06,22.06,22.06,0.0,0.0
2019-03-24,20.88,20.88,20.88,0.0,0.0,21.37,21.37,21.37,0.0,0.0,20.87,20.87,20.87,0.0,0.0,20.96,20.96,20.96,0.0,0.0
2019-03-31,20.74,20.74,20.74,0.0,0.0,21.2,21.2,21.2,0.0,0.0,20.7,20.7,20.7,0.0,0.0,21.03,21.03,21.03,0.0,0.0
2019-04-07,19.62,19.62,19.62,0.0,0.0,19.7,19.7,19.7,0.0,0.0,19.3,19.3,19.3,0.0,0.0,19.35,19.35,19.35,0.0,0.0
2019-04-14,18.28,18.28,18.28,0.0,0.0,18.34,18.34,18.34,0.0,0.0,18.1,18.1,18.1,0.0,0.0,18.23,18.23,18.23,0.0,0.0
2019-04-21,18.36,18.36,18.36,0.0,0.0,18.59,18.59,18.59,0.0,0.0,17.95,17.95,17.95,0.0,0.0,18.56,18.56,18.56,0.0,0.0
2019-04-28,17.55,17.55,17.55,0.0,0.0,17.69,17.69,17.69,0.0,0.0,17.3,17.3,17.3,0.0,0.0,17.45,17.45,17.45,0.0,0.0
2019-05-05,19.03,19.03,19.03,0.0,0.0,19.08,19.08,19.08,0.0,0.0,18.54,18.54,18.54,0.0,0.0,18.68,18.68,18.68,0.0,0.0
2019-05-12,19.4,19.4,19.4,0.0,0.0,19.66,19.66,19.66,0.0,0.0,19.22,19.22,19.22,0.0,0.0,19.25,19.25,19.25,0.0,0.0
2019-05-19,17.5,17.5,17.5,0.0,0.0,18.16,18.16,18.16,0.0,0.0,17.3,17.3,17.3,0.0,0.0,18.01,18.01,18.01,0.0,0.0
2019-05-26,15.72,15.72,15.72,0.0,0.0,15.72,15.72,15.72,0.0,0.0,14.99,14.99,14.99,0.0,0.0,15.27,15.27,15.27,0.0,0.0
2019-06-02,14.44,14.44,14.44,0.0,0.0,14.74,14.74,14.74,0.0,0.0,14.4,14.4,14.4,0.0,0.0,14.66,14.66,14.66,0.0,0.0
2019-06-09,15.1,15.1,15.1,0.0,0.0,15.1,15.1,15.1,0.0,0.0,14.69,14.69,14.69,0.0,0.0,14.84,14.84,14.84,0.0,0.0
2019-06-16,13.03,13.03,13.03,0.0,0.0,13.7,13.7,13.7,0.0,0.0,12.91,12.91,12.91,0.0,0.0,13.54,13.54,13.54,0.0,0.0
2019-06-23,13.3,13.3,13.3,0.0,0.0,13.43,13.43,13.43,0.0,0.0,12.79,12.79,12.79,0.0,0.0,13.28,13.28,13.28,0.0,0.0
2019-06-30,14.91,14.91,14.91,0.0,0.0,15.17,15.17,15.17,0.0,0.0,14.6,14.6,14.6,0.0,0.0,15.17,15.17,15.17,0.0,0.0
2019-07-07,15.23,15.23,15.23,0.0,0.0,15.33,15.33,15.33,0.0,0.0,14.73,14.73,14.73,0.0,0.0,15.01,15.01,15.01,0.0,0.0
2019-07-14,13.5,13.5,13.5,0.0,0.0,13.99,13.99,13.99,0.0,0.0,13.47,13.47,13.47,0.0,0.0,13.87,13.87,13.87,0.0,0.0
2019-07-21,12.03,12.03,12.03,0.0,0.0,12.03,12.03,12.03,0.0,0.0,11.64,11.64,11.64,0.0,0.0,11.83,11.83,11.83,0.0,0.0
2019-07-28,10.97,10.97,10.97,0.0,0.0,11.67,11.67,11.67,0.0,0.0,10.93,10.93,10.93,0.0,0.0,11.36,11.36,11.36,0.0,0.0
2019-08-04,12.0,12.0,12.0,0.0,0.0,12.0,12.0,12.0,0.0,0.0,11.46,11.46,11.46,0.0,0.0,11.63,11.63,11.63,0.0,0.0
2019-08-11,11.87,11.87,11.87,0.0,0.0,12.46,12.46,12.46,0.0,0.0,11.85,11.85,11.85,0.0,0.0,12.29,12.29,12.29,0.0,0.0
2019-08-18,12.34,12.34,12.34,0.0,0.0,12.56,12.56,12.56,0.0,0.0,12.2,12.2,12.2,0.0,0.0,12.46,12.46,12.46,0.0,0.0
2019-08-25,12.85,12.85,12.85,0.0,0.0,13.12,13.12,13.12,0.0,0.0,12.76,12.76,12.76,0.0,0.0,12.86,12.86,12.86,0.0,0.0
2019-09-01,15.92,15.92,15.92,0.0,0.0,16.57,16.57,16.57,0.0,0.0,15.92,15.92,15.92,0.0,0.0,16.55,16.55,16.55,0.0,0.0
2019-09-08,17.33,17.33,17.33,0.0,0.0,17.8,17.8,17.8,0.0,0.0,17.14,17.14,17.14,0.0,0.0,17.67,17.67,17.67,0.0,0.0
2019-09-15,15.24,15.24,15.24,0.0,0.0,15.67,15.67,15.67,0.0,0.0,15.08,15.08,15.08,0.0,0.0,15.55,15.55,15.55,0.0,0.0
2019-09-22,13.01,13.01,13.01,0.0,0.0,13.24,13.24,13.24,0.0,0.0,12.82,12.82,12.82,0.0,0.0,12.87,12.87,12.87,0.0,0.0
2019-09-29,12.66,12.66,12.66,0.0,0.0,12.97,12.97,12.97,0.0,0.0,12.46,12.46,12.46,0.0,0.0,12.58,12.58,12.58,0.0,0.0
2019-10-06,12.44,12.44,12.44,0.0,0.0,12.44,12.44,12.44,0.0,0.0,11.96,11.96,11.96,0.0,0.0,12.29,12.29,12.29,0.0,0.0
2019-10-13,11.8,11.8,11.8,0.0,0.0,11.89,11.89,11.89,0.0,0.0,11.57,11.57,11.57,0.0,0.0,11.88,11.88,11.88,0.0,0.0
2019-10-20,12.44,12.44,12.44,0.0,0.0,12.75,12.75,12.75,0.0,0.0,12.15,12.15,12.15,0.0,0.0,12.6,12.6,12.6,0.0,0.0
2019-10-27,14.9,14.9,14.9,0.0,0.0,15.07,15.07,15.07,0.0,0.0,14.66,14.66,14.66,0.0,0.0,14.88,14.88,14.88,0.0,0.0
2019-11-03,13.38,13.38,13.38,0.0,0.0,13.43,13.43,13.43,0.0,0.0,12.96,12.96,12.96,0.0,0.0,13.17,13.17,13.17,0.0,0.0
2019-11-10,12.54,12.54,12.54,0.0,0.0,12.75,12.75,12.75,0.0,0.0,12.06,12.06,12.06,0.0,0.0,12.11,12.11,12.11,0.0,0.0
2019-11-17,11.91,11.91,11.91,0.0,0.0,11.96,11.96,11.96,0.0,0.0,11.65,11.65,11.65,0.0,0.0,11.73,11.73,11.73,0.0,0.0
2019-11-24,9.43,9.43,9.43,0.0,0.0,9.56,9.56,9.56,0.0,0.0,9.13,9.13,9.13,0.0,0.0,9.53,9.53,9.53,0.0,0.0
2019-12-01,8.6,8.6,8.6,0.0,0.0,8.82,8.82,8.82,0.0,0.0,8.43,8.43,8.43,0.0,0.0,8.82,8.82,8.82,0.0,0.0
2019-12-08,9.35,9.35,9.35,0.0,0.0,9.44,9.44,9.44,0.0,0.0,9.26,9.26,9.26,0.0,0.0,9.3,9.3,9.3,0.0,0.0
2019-12-15,8.52,8.52,8.52,0.0,0.0,8.59,8.59,8.59,0.0,0.0,8.42,8.42,8.42,0.0,0.0,8.52,8.52,8.52,0.0,0.0
2019-12-22,8.54,8.54,8.54,0.0,0.0,8.63,8.63,8.63,0.0,0.0,8.38,8.38,8.38,0.0,0.0,8.42,8.42,8.42,0.0,0.0
2019-12-29,8.0,8.0,8.0,0.0,0.0,8.19,8.19,8.19,0.0,0.0,7.91,7.91,7.91,0.0,0.0,7.96,7.96,7.96,0.0,0.0
