Date,GraniteShares Gold Trust_Open_average,GraniteShares Gold Trust_Open_max,GraniteShares Gold Trust_Open_min,GraniteShares Gold Trust_Open_volatility,GraniteShares Gold Trust_Open_change,GraniteShares Gold Trust_High_average,GraniteShares Gold Trust_High_max,GraniteShares Gold Trust_High_min,GraniteShares Gold Trust_High_volatility,GraniteShares Gold Trust_High_change,GraniteShares Gold Trust_Low_average,GraniteShares Gold Trust_Low_max,GraniteShares Gold Trust_Low_min,GraniteShares Gold Trust_Low_volatility,GraniteShares Gold Trust_Low_change,GraniteShares Gold Trust_Close_average,GraniteShares Gold Trust_Close_max,GraniteShares Gold Trust_Close_min,GraniteShares Gold Trust_Close_volatility,GraniteShares Gold Trust_Close_change
2018-04-22,13.2,13.2,13.2,0.0,0.0,13.2,13.2,13.2,0.0,0.0,13.2,13.2,13.2,0.0,0.0,13.2,13.2,13.2,0.0,0.0
2018-04-29,13.08,13.08,13.08,0.0,0.0,13.11,13.11,13.11,0.0,0.0,13.08,13.08,13.08,0.0,0.0,13.11,13.11,13.11,0.0,0.0
2018-05-06,13.23,13.23,13.23,0.0,0.0,13.23,13.23,13.23,0.0,0.0,13.17,13.17,13.17,0.0,0.0,13.17,13.17,13.17,0.0,0.0
2018-05-13,12.9,12.9,12.9,0.0,0.0,12.9,12.9,12.9,0.0,0.0,12.9,12.9,12.9,0.0,0.0,12.9,12.9,12.9,0.0,0.0
2018-05-20,13.0,13.0,13.0,0.0,0.0,13.0,13.0,13.0,0.0,0.0,12.99,12.99,12.99,0.0,0.0,12.99,12.99,12.99,0.0,0.0
2018-05-27,12.94,12.94,12.94,0.0,0.0,12.96,12.96,12.96,0.0,0.0,12.91,12.91,12.91,0.0,0.0,12.92,12.92,12.92,0.0,0.0
2018-06-03,12.97,12.97,12.97,0.0,0.0,12.98,12.98,12.98,0.0,0.0,12.97,12.97,12.97,0.0,0.0,12.97,12.97,12.97,0.0,0.0
2018-06-10,12.88,12.88,12.88,0.0,0.0,12.88,12.88,12.88,0.0,0.0,12.74,12.74,12.74,0.0,0.0,12.78,12.78,12.78,0.0,0.0
2018-06-17,12.68,12.68,12.68,0.0,0.0,12.68,12.68,12.68,0.0,0.0,12.66,12.66,12.66,0.0,0.0,12.68,12.68,12.68,0.0,0.0
2018-06-24,12.49,12.49,12.49,0.0,0.0,12.53,12.53,12.53,0.0,0.0,12.49,12.49,12.49,0.0,0.0,12.52,12.52,12.52,0.0,0.0
2018-07-01,12.54,12.54,12.54,0.0,0.0,12.54,12.54,12.54,0.0,0.0,12.52,12.52,12.52,0.0,0.0,12.53,12.53,12.53,0.0,0.0
2018-07-08,12.4,12.4,12.4,0.0,0.0,12.41,12.41,12.41,0.0,0.0,12.38,12.38,12.38,0.0,0.0,12.4,12.4,12.4,0.0,0.0
2018-07-15,12.27,12.27,12.27,0.0,0.0,12.29,12.29,12.29,0.0,0.0,12.26,12.26,12.26,0.0,0.0,12.29,12.29,12.29,0.0,0.0
2018-07-22,12.22,12.22,12.22,0.0,0.0,12.24,12.24,12.24,0.0,0.0,12.21,12.21,12.21,0.0,0.0,12.21,12.21,12.21,0.0,0.0
2018-07-29,12.14,12.14,12.14,0.0,0.0,12.18,12.18,12.18,0.0,0.0,12.11,12.11,12.11,0.0,0.0,12.11,12.11,12.11,0.0,0.0
2018-08-05,12.1,12.1,12.1,0.0,0.0,12.14,12.14,12.14,0.0,0.0,12.09,12.09,12.09,0.0,0.0,12.09,12.09,12.09,0.0,0.0
2018-08-12,11.78,11.78,11.78,0.0,0.0,11.82,11.82,11.82,0.0,0.0,11.75,11.75,11.75,0.0,0.0,11.82,11.82,11.82,0.0,0.0
2018-08-19,11.94,11.94,11.94,0.0,0.0,12.06,12.06,12.06,0.0,0.0,11.94,11.94,11.94,0.0,0.0,12.03,12.03,12.03,0.0,0.0
2018-08-26,11.99,11.99,11.99,0.0,0.0,12.02,12.02,12.02,0.0,0.0,11.97,11.97,11.97,0.0,0.0,11.97,11.97,11.97,0.0,0.0
2018-09-02,11.95,11.95,11.95,0.0,0.0,11.97,11.97,11.97,0.0,0.0,11.92,11.92,11.92,0.0,0.0,11.94,11.94,11.94,0.0,0.0
2018-09-09,11.99,11.99,11.99,0.0,0.0,12.0,12.0,12.0,0.0,0.0,11.91,11.91,11.91,0.0,0.0,11.91,11.91,11.91,0.0,0.0
2018-09-16,11.9,11.9,11.9,0.0,0.0,11.98,11.98,11.98,0.0,0.0,11.9,11.9,11.9,0.0,0.0,11.96,11.96,11.96,0.0,0.0
2018-09-23,11.83,11.83,11.83,0.0,0.0,11.91,11.91,11.91,0.0,0.0,11.82,11.82,11.82,0.0,0.0,11.9,11.9,11.9,0.0,0.0
2018-09-30,12.0,12.0,12.0,0.0,0.0,12.02,12.02,12.02,0.0,0.0,11.99,11.99,11.99,0.0,0.0,12.01,12.01,12.01,0.0,0.0
2018-10-07,12.19,12.19,12.19,0.0,0.0,12.2,12.2,12.2,0.0,0.0,12.14,12.14,12.14,0.0,0.0,12.15,12.15,12.15,0.0,0.0
2018-10-14,12.24,12.24,12.24,0.0,0.0,12.25,12.25,12.25,0.0,0.0,12.23,12.23,12.23,0.0,0.0,12.24,12.24,12.24,0.0,0.0
2018-10-21,12.32,12.32,12.32,0.0,0.0,12.41,12.41,12.41,0.0,0.0,12.31,12.31,12.31,0.0,0.0,12.31,12.31,12.31,0.0,0.0
2018-10-28,12.3,12.3,12.3,0.0,0.0,12.33,12.33,12.33,0.0,0.0,12.29,12.29,12.29,0.0,0.0,12.3,12.3,12.3,0.0,0.0
2018-11-04,12.08,12.08,12.08,0.0,0.0,12.09,12.09,12.09,0.0,0.0,12.06,12.06,12.06,0.0,0.0,12.07,12.07,12.07,0.0,0.0
2018-11-11,12.22,12.22,12.22,0.0,0.0,12.22,12.22,12.22,0.0,0.0,12.17,12.17,12.17,0.0,0.0,12.19,12.19,12.19,0.0,0.0
2018-11-18,12.22,12.22,12.22,0.0,0.0,12.22,12.22,12.22,0.0,0.0,12.2,12.2,12.2,0.0,0.0,12.21,12.21,12.21,0.0,0.0
2018-11-25,12.18,12.18,12.18,0.0,0.0,12.19,12.19,12.19,0.0,0.0,12.15,12.15,12.15,0.0,0.0,12.19,12.19,12.19,0.0,0.0
2018-12-02,12.41,12.41,12.41,0.0,0.0,12.47,12.47,12.47,0.0,0.0,12.41,12.41,12.41,0.0,0.0,12.46,12.46,12.46,0.0,0.0
2018-12-09,12.32,12.32,12.32,0.0,0.0,12.37,12.37,12.37,0.0,0.0,12.32,12.32,12.32,0.0,0.0,12.35,12.35,12.35,0.0,0.0
2018-12-16,12.58,12.58,12.58,0.0,0.0,12.58,12.58,12.58,0.0,0.0,12.51,12.51,12.51,0.0,0.0,12.52,12.52,12.52,0.0,0.0
2018-12-23,12.74,12.74,12.74,0.0,0.0,12.77,12.77,12.77,0.0,0.0,12.74,12.74,12.74,0.0,0.0,12.77,12.77,12.77,0.0,0.0
2018-12-30,12.8,12.8,12.8,0.0,0.0,12.82,12.82,12.82,0.0,0.0,12.74,12.74,12.74,0.0,0.0,12.82,12.82,12.82,0.0,0.0
2019-01-06,12.85,12.85,12.85,0.0,0.0,12.88,12.88,12.88,0.0,0.0,12.84,12.84,12.84,0.0,0.0,12.85,12.85,12.85,0.0,0.0
2019-01-13,12.79,12.79,12.79,0.0,0.0,12.81,12.81,12.81,0.0,0.0,12.77,12.77,12.77,0.0,0.0,12.77,12.77,12.77,0.0,0.0
2019-01-20,12.9,12.9,12.9,0.0,0.0,12.96,12.96,12.96,0.0,0.0,12.9,12.9,12.9,0.0,0.0,12.96,12.96,12.96,0.0,0.0
2019-01-27,13.19,13.19,13.19,0.0,0.0,13.19,13.19,13.19,0.0,0.0,13.12,13.12,13.12,0.0,0.0,13.14,13.14,13.14,0.0,0.0
2019-02-03,13.1,13.1,13.1,0.0,0.0,13.12,13.12,13.12,0.0,0.0,13.1,13.1,13.1,0.0,0.0,13.11,13.11,13.11,0.0,0.0
2019-02-10,13.14,13.14,13.14,0.0,0.0,13.19,13.19,13.19,0.0,0.0,13.11,13.11,13.11,0.0,0.0,13.17,13.17,13.17,0.0,0.0
2019-02-17,13.27,13.27,13.27,0.0,0.0,13.29,13.29,13.29,0.0,0.0,13.24,13.24,13.24,0.0,0.0,13.25,13.25,13.25,0.0,0.0
2019-02-24,13.03,13.03,13.03,0.0,0.0,13.07,13.07,13.07,0.0,0.0,12.87,12.87,12.87,0.0,0.0,12.87,12.87,12.87,0.0,0.0
2019-03-03,12.95,12.95,12.95,0.0,0.0,12.97,12.97,12.97,0.0,0.0,12.93,12.93,12.93,0.0,0.0,12.97,12.97,12.97,0.0,0.0
2019-03-10,12.99,12.99,12.99,0.0,0.0,13.04,13.04,13.04,0.0,0.0,12.98,12.98,12.98,0.0,0.0,12.98,12.98,12.98,0.0,0.0
2019-03-17,13.08,13.08,13.08,0.0,0.0,13.14,13.14,13.14,0.0,0.0,13.07,13.07,13.07,0.0,0.0,13.08,13.08,13.08,0.0,0.0
2019-03-24,12.96,12.96,12.96,0.0,0.0,12.96,12.96,12.96,0.0,0.0,12.88,12.88,12.88,0.0,0.0,12.89,12.89,12.89,0.0,0.0
2019-03-31,12.87,12.87,12.87,0.0,0.0,12.9,12.9,12.9,0.0,0.0,12.85,12.85,12.85,0.0,0.0,12.88,12.88,12.88,0.0,0.0
2019-04-07,12.87,12.87,12.87,0.0,0.0,12.91,12.91,12.91,0.0,0.0,12.86,12.86,12.86,0.0,0.0,12.87,12.87,12.87,0.0,0.0
2019-04-14,12.68,12.68,12.68,0.0,0.0,12.75,12.75,12.75,0.0,0.0,12.68,12.68,12.68,0.0,0.0,12.71,12.71,12.71,0.0,0.0
2019-04-21,12.81,12.81,12.81,0.0,0.0,12.85,12.85,12.85,0.0,0.0,12.79,12.79,12.79,0.0,0.0,12.82,12.82,12.82,0.0,0.0
2019-04-28,12.73,12.73,12.73,0.0,0.0,12.78,12.78,12.78,0.0,0.0,12.73,12.73,12.73,0.0,0.0,12.75,12.75,12.75,0.0,0.0
2019-05-05,12.82,12.82,12.82,0.0,0.0,12.86,12.86,12.86,0.0,0.0,12.82,12.82,12.82,0.0,0.0,12.82,12.82,12.82,0.0,0.0
2019-05-12,12.78,12.78,12.78,0.0,0.0,12.79,12.79,12.79,0.0,0.0,12.7,12.7,12.7,0.0,0.0,12.75,12.75,12.75,0.0,0.0
2019-05-19,12.81,12.81,12.81,0.0,0.0,12.81,12.81,12.81,0.0,0.0,12.77,12.77,12.77,0.0,0.0,12.81,12.81,12.81,0.0,0.0
2019-05-26,12.95,12.95,12.95,0.0,0.0,13.02,13.02,13.02,0.0,0.0,12.93,12.93,12.93,0.0,0.0,13.02,13.02,13.02,0.0,0.0
2019-06-02,13.37,13.37,13.37,0.0,0.0,13.43,13.43,13.43,0.0,0.0,13.34,13.34,13.34,0.0,0.0,13.36,13.36,13.36,0.0,0.0
2019-06-09,13.41,13.41,13.41,0.0,0.0,13.47,13.47,13.47,0.0,0.0,13.33,13.33,13.33,0.0,0.0,13.36,13.36,13.36,0.0,0.0
2019-06-16,13.93,13.93,13.93,0.0,0.0,13.96,13.96,13.96,0.0,0.0,13.85,13.85,13.85,0.0,0.0,13.95,13.95,13.95,0.0,0.0
2019-06-23,14.06,14.06,14.06,0.0,0.0,14.09,14.09,14.09,0.0,0.0,14.03,14.03,14.03,0.0,0.0,14.07,14.07,14.07,0.0,0.0
2019-06-30,13.89,13.89,13.89,0.0,0.0,13.97,13.97,13.97,0.0,0.0,13.83,13.83,13.83,0.0,0.0,13.97,13.97,13.97,0.0,0.0
2019-07-07,14.04,14.04,14.04,0.0,0.0,14.12,14.12,14.12,0.0,0.0,14.0,14.0,14.0,0.0,0.0,14.11,14.11,14.11,0.0,0.0
2019-07-14,14.3,14.3,14.3,0.0,0.0,14.38,14.38,14.38,0.0,0.0,14.16,14.16,14.16,0.0,0.0,14.2,14.2,14.2,0.0,0.0
2019-07-21,14.18,14.18,14.18,0.0,0.0,14.18,14.18,14.18,0.0,0.0,14.12,14.12,14.12,0.0,0.0,14.12,14.12,14.12,0.0,0.0
2019-07-28,14.3,14.3,14.3,0.0,0.0,14.43,14.43,14.43,0.0,0.0,14.3,14.3,14.3,0.0,0.0,14.37,14.37,14.37,0.0,0.0
2019-08-04,14.93,14.93,14.93,0.0,0.0,15.01,15.01,15.01,0.0,0.0,14.89,14.89,14.89,0.0,0.0,14.94,14.94,14.94,0.0,0.0
2019-08-11,15.09,15.09,15.09,0.0,0.0,15.11,15.11,15.11,0.0,0.0,14.99,14.99,14.99,0.0,0.0,15.07,15.07,15.07,0.0,0.0
2019-08-18,14.98,14.98,14.98,0.0,0.0,15.25,15.25,15.25,0.0,0.0,14.98,14.98,14.98,0.0,0.0,15.23,15.23,15.23,0.0,0.0
2019-08-25,15.2,15.2,15.2,0.0,0.0,15.27,15.27,15.27,0.0,0.0,15.13,15.13,15.13,0.0,0.0,15.18,15.18,15.18,0.0,0.0
2019-09-01,15.17,15.17,15.17,0.0,0.0,15.22,15.22,15.22,0.0,0.0,14.99,14.99,14.99,0.0,0.0,14.99,14.99,14.99,0.0,0.0
2019-09-08,15.01,15.01,15.01,0.0,0.0,15.06,15.06,15.06,0.0,0.0,14.8,14.8,14.8,0.0,0.0,14.8,14.8,14.8,0.0,0.0
2019-09-15,14.96,14.96,14.96,0.0,0.0,15.11,15.11,15.11,0.0,0.0,14.94,14.94,14.94,0.0,0.0,15.1,15.1,15.1,0.0,0.0
2019-09-22,14.83,14.83,14.83,0.0,0.0,14.97,14.97,14.97,0.0,0.0,14.8,14.8,14.8,0.0,0.0,14.9,14.9,14.9,0.0,0.0
2019-09-29,14.96,14.96,14.96,0.0,0.0,15.03,15.03,15.03,0.0,0.0,14.92,14.92,14.92,0.0,0.0,14.99,14.99,14.99,0.0,0.0
2019-10-06,14.79,14.79,14.79,0.0,0.0,14.81,14.81,14.81,0.0,0.0,14.68,14.68,14.68,0.0,0.0,14.81,14.81,14.81,0.0,0.0
2019-10-13,14.83,14.83,14.83,0.0,0.0,14.88,14.88,14.88,0.0,0.0,14.83,14.83,14.83,0.0,0.0,14.84,14.84,14.84,0.0,0.0
2019-10-20,15.07,15.07,15.07,0.0,0.0,15.08,15.08,15.08,0.0,0.0,14.95,14.95,14.95,0.0,0.0,14.98,14.98,14.98,0.0,0.0
2019-10-27,15.04,15.04,15.04,0.0,0.0,15.08,15.08,15.08,0.0,0.0,15.01,15.01,15.01,0.0,0.0,15.06,15.06,15.06,0.0,0.0
2019-11-03,14.54,14.54,14.54,0.0,0.0,14.62,14.62,14.62,0.0,0.0,14.52,14.52,14.52,0.0,0.0,14.53,14.53,14.53,0.0,0.0
2019-11-10,14.6,14.6,14.6,0.0,0.0,14.63,14.63,14.63,0.0,0.0,14.58,14.58,14.58,0.0,0.0,14.62,14.62,14.62,0.0,0.0
2019-11-17,14.64,14.64,14.64,0.0,0.0,14.64,14.64,14.64,0.0,0.0,14.56,14.56,14.56,0.0,0.0,14.57,14.57,14.57,0.0,0.0
2019-11-24,14.48,14.48,14.48,0.0,0.0,14.6,14.6,14.6,0.0,0.0,14.48,14.48,14.48,0.0,0.0,14.58,14.58,14.58,0.0,0.0
2019-12-01,14.58,14.58,14.58,0.0,0.0,14.58,14.58,14.58,0.0,0.0,14.53,14.53,14.53,0.0,0.0,14.55,14.55,14.55,0.0,0.0
2019-12-08,14.63,14.63,14.63,0.0,0.0,14.73,14.73,14.73,0.0,0.0,14.59,14.59,14.59,0.0,0.0,14.71,14.71,14.71,0.0,0.0
2019-12-15,14.75,14.75,14.75,0.0,0.0,14.76,14.76,14.76,0.0,0.0,14.7,14.7,14.7,0.0,0.0,14.71,14.71,14.71,0.0,0.0
2019-12-22,15.04,15.04,15.04,0.0,0.0,15.1,15.1,15.1,0.0,0.0,15.03,15.03,15.03,0.0,0.0,15.04,15.04,15.04,0.0,0.0
2019-12-29,15.42,15.42,15.42,0.0,0.0,15.46,15.46,15.46,0.0,0.0,15.37,15.37,15.37,0.0,0.0,15.43,15.43,15.43,0.0,0.0
