Date,iShares US Oil Equipment & Services_Open_average,iShares US Oil Equipment & Services_Open_max,iShares US Oil Equipment & Services_Open_min,iShares US Oil Equipment & Services_Open_volatility,iShares US Oil Equipment & Services_Open_change,iShares US Oil Equipment & Services_High_average,iShares US Oil Equipment & Services_High_max,iShares US Oil Equipment & Services_High_min,iShares US Oil Equipment & Services_High_volatility,iShares US Oil Equipment & Services_High_change,iShares US Oil Equipment & Services_Low_average,iShares US Oil Equipment & Services_Low_max,iShares US Oil Equipment & Services_Low_min,iShares US Oil Equipment & Services_Low_volatility,iShares US Oil Equipment & Services_Low_change,iShares US Oil Equipment & Services_Close_average,iShares US Oil Equipment & Services_Close_max,iShares US Oil Equipment & Services_Close_min,iShares US Oil Equipment & Services_Close_volatility,iShares US Oil Equipment & Services_Close_change
2018-03-25,31.7,31.7,31.7,0.0,0.0,32.56,32.56,32.56,0.0,0.0,31.7,31.7,31.7,0.0,0.0,32.42,32.42,32.42,0.0,0.0
2018-04-01,33.0,33.0,33.0,0.0,0.0,33.25,33.25,33.25,0.0,0.0,32.15,32.15,32.15,0.0,0.0,32.59,32.59,32.59,0.0,0.0
2018-04-08,35.76,35.76,35.76,0.0,0.0,36.08,36.08,36.08,0.0,0.0,35.68,35.68,35.68,0.0,0.0,35.86,35.86,35.86,0.0,0.0
2018-04-15,36.63,36.63,36.63,0.0,0.0,36.85,36.85,36.85,0.0,0.0,36.1,36.1,36.1,0.0,0.0,36.58,36.58,36.58,0.0,0.0
2018-04-22,37.38,37.38,37.38,0.0,0.0,37.52,37.52,37.52,0.0,0.0,37.06,37.06,37.06,0.0,0.0,37.38,37.38,37.38,0.0,0.0
2018-04-29,36.64,36.64,36.64,0.0,0.0,37.35,37.35,37.35,0.0,0.0,36.62,36.62,36.62,0.0,0.0,37.16,37.16,37.16,0.0,0.0
2018-05-06,38.73,38.73,38.73,0.0,0.0,38.73,38.73,38.73,0.0,0.0,38.37,38.37,38.37,0.0,0.0,38.39,38.39,38.39,0.0,0.0
2018-05-13,40.25,40.25,40.25,0.0,0.0,40.38,40.38,40.38,0.0,0.0,40.0,40.0,40.0,0.0,0.0,40.18,40.18,40.18,0.0,0.0
2018-05-20,37.79,37.79,37.79,0.0,0.0,37.86,37.86,37.86,0.0,0.0,36.71,36.71,36.71,0.0,0.0,37.17,37.17,37.17,0.0,0.0
2018-05-27,37.43,37.43,37.43,0.0,0.0,37.79,37.79,37.79,0.0,0.0,37.05,37.05,37.05,0.0,0.0,37.24,37.24,37.24,0.0,0.0
2018-06-03,37.88,37.88,37.88,0.0,0.0,37.88,37.88,37.88,0.0,0.0,37.0,37.0,37.0,0.0,0.0,37.24,37.24,37.24,0.0,0.0
2018-06-10,36.0,36.0,36.0,0.0,0.0,36.3,36.3,36.3,0.0,0.0,35.23,35.23,35.23,0.0,0.0,35.57,35.57,35.57,0.0,0.0
2018-06-17,36.39,36.39,36.39,0.0,0.0,36.86,36.86,36.86,0.0,0.0,36.27,36.27,36.27,0.0,0.0,36.3,36.3,36.3,0.0,0.0
2018-06-24,36.63,36.63,36.63,0.0,0.0,36.96,36.96,36.96,0.0,0.0,36.49,36.49,36.49,0.0,0.0,36.51,36.51,36.51,0.0,0.0
2018-07-01,35.63,35.63,35.63,0.0,0.0,36.48,36.48,36.48,0.0,0.0,35.61,35.61,35.61,0.0,0.0,36.43,36.43,36.43,0.0,0.0
2018-07-08,36.67,36.67,36.67,0.0,0.0,36.93,36.93,36.93,0.0,0.0,36.62,36.62,36.62,0.0,0.0,36.77,36.77,36.77,0.0,0.0
2018-07-15,35.91,35.91,35.91,0.0,0.0,35.91,35.91,35.91,0.0,0.0,35.55,35.55,35.55,0.0,0.0,35.57,35.57,35.57,0.0,0.0
2018-07-22,35.63,35.63,35.63,0.0,0.0,36.31,36.31,36.31,0.0,0.0,35.63,35.63,35.63,0.0,0.0,36.09,36.09,36.09,0.0,0.0
2018-07-29,36.12,36.12,36.12,0.0,0.0,36.58,36.58,36.58,0.0,0.0,35.85,35.85,35.85,0.0,0.0,35.96,35.96,35.96,0.0,0.0
2018-08-05,35.79,35.79,35.79,0.0,0.0,36.19,36.19,36.19,0.0,0.0,35.6,35.6,35.6,0.0,0.0,36.16,36.16,36.16,0.0,0.0
2018-08-12,33.93,33.93,33.93,0.0,0.0,34.23,34.23,34.23,0.0,0.0,33.8,33.8,33.8,0.0,0.0,34.16,34.16,34.16,0.0,0.0
2018-08-19,35.79,35.79,35.79,0.0,0.0,35.94,35.94,35.94,0.0,0.0,35.73,35.73,35.73,0.0,0.0,35.76,35.76,35.76,0.0,0.0
2018-08-26,35.36,35.36,35.36,0.0,0.0,35.36,35.36,35.36,0.0,0.0,34.98,34.98,34.98,0.0,0.0,35.25,35.25,35.25,0.0,0.0
2018-09-02,32.92,32.92,32.92,0.0,0.0,33.23,33.23,33.23,0.0,0.0,32.51,32.51,32.51,0.0,0.0,33.23,33.23,33.23,0.0,0.0
2018-09-09,34.41,34.41,34.41,0.0,0.0,34.77,34.77,34.77,0.0,0.0,34.37,34.37,34.37,0.0,0.0,34.63,34.63,34.63,0.0,0.0
2018-09-16,35.55,35.55,35.55,0.0,0.0,35.72,35.72,35.72,0.0,0.0,35.31,35.31,35.31,0.0,0.0,35.63,35.63,35.63,0.0,0.0
2018-09-23,35.54,35.54,35.54,0.0,0.0,36.21,36.21,36.21,0.0,0.0,35.54,35.54,35.54,0.0,0.0,35.71,35.71,35.71,0.0,0.0
2018-09-30,36.24,36.24,36.24,0.0,0.0,36.59,36.59,36.59,0.0,0.0,35.98,35.98,35.98,0.0,0.0,36.29,36.29,36.29,0.0,0.0
2018-10-07,34.81,34.81,34.81,0.0,0.0,34.86,34.86,34.86,0.0,0.0,33.92,33.92,33.92,0.0,0.0,34.4,34.4,34.4,0.0,0.0
2018-10-14,33.29,33.29,33.29,0.0,0.0,34.23,34.23,34.23,0.0,0.0,32.97,32.97,32.97,0.0,0.0,33.02,33.02,33.02,0.0,0.0
2018-10-21,29.45,29.45,29.45,0.0,0.0,30.43,30.43,30.43,0.0,0.0,29.0,29.0,29.0,0.0,0.0,29.92,29.92,29.92,0.0,0.0
2018-10-28,29.62,29.62,29.62,0.0,0.0,29.95,29.95,29.95,0.0,0.0,29.25,29.25,29.25,0.0,0.0,29.48,29.48,29.48,0.0,0.0
2018-11-04,29.13,29.13,29.13,0.0,0.0,29.32,29.32,29.32,0.0,0.0,28.58,28.58,28.58,0.0,0.0,29.11,29.11,29.11,0.0,0.0
2018-11-11,27.71,27.71,27.71,0.0,0.0,27.86,27.86,27.86,0.0,0.0,27.25,27.25,27.25,0.0,0.0,27.67,27.67,27.67,0.0,0.0
2018-11-18,26.01,26.01,26.01,0.0,0.0,26.21,26.21,26.21,0.0,0.0,25.95,25.95,25.95,0.0,0.0,26.07,26.07,26.07,0.0,0.0
2018-11-25,26.27,26.27,26.27,0.0,0.0,26.27,26.27,26.27,0.0,0.0,25.82,25.82,25.82,0.0,0.0,25.99,25.99,25.99,0.0,0.0
2018-12-02,25.02,25.02,25.02,0.0,0.0,25.44,25.44,25.44,0.0,0.0,24.13,24.13,24.13,0.0,0.0,24.18,24.18,24.18,0.0,0.0
2018-12-09,23.09,23.09,23.09,0.0,0.0,23.09,23.09,23.09,0.0,0.0,22.31,22.31,22.31,0.0,0.0,22.4,22.4,22.4,0.0,0.0
2018-12-16,20.15,20.15,20.15,0.0,0.0,20.44,20.44,20.44,0.0,0.0,19.62,19.62,19.62,0.0,0.0,19.78,19.78,19.78,0.0,0.0
2018-12-23,20.37,20.37,20.37,0.0,0.0,20.82,20.82,20.82,0.0,0.0,20.27,20.27,20.27,0.0,0.0,20.45,20.45,20.45,0.0,0.0
2018-12-30,21.62,21.62,21.62,0.0,0.0,22.16,22.16,22.16,0.0,0.0,21.5,21.5,21.5,0.0,0.0,22.12,22.12,22.12,0.0,0.0
2019-01-06,23.69,23.69,23.69,0.0,0.0,23.83,23.83,23.83,0.0,0.0,23.35,23.35,23.35,0.0,0.0,23.78,23.78,23.78,0.0,0.0
2019-01-13,24.57,24.57,24.57,0.0,0.0,25.02,25.02,25.02,0.0,0.0,24.49,24.49,24.49,0.0,0.0,25.02,25.02,25.02,0.0,0.0
2019-01-20,24.35,24.35,24.35,0.0,0.0,24.96,24.96,24.96,0.0,0.0,24.35,24.35,24.35,0.0,0.0,24.87,24.87,24.87,0.0,0.0
2019-01-27,24.58,24.58,24.58,0.0,0.0,25.3,25.3,25.3,0.0,0.0,24.57,24.57,24.57,0.0,0.0,24.98,24.98,24.98,0.0,0.0
2019-02-03,24.18,24.18,24.18,0.0,0.0,24.35,24.35,24.35,0.0,0.0,23.79,23.79,23.79,0.0,0.0,24.1,24.1,24.1,0.0,0.0
2019-02-10,25.43,25.43,25.43,0.0,0.0,25.77,25.77,25.77,0.0,0.0,25.39,25.39,25.39,0.0,0.0,25.76,25.76,25.76,0.0,0.0
2019-02-17,25.78,25.78,25.78,0.0,0.0,25.81,25.81,25.81,0.0,0.0,25.29,25.29,25.29,0.0,0.0,25.42,25.42,25.42,0.0,0.0
2019-02-24,25.22,25.22,25.22,0.0,0.0,25.59,25.59,25.59,0.0,0.0,25.22,25.22,25.22,0.0,0.0,25.54,25.54,25.54,0.0,0.0
2019-03-03,23.58,23.58,23.58,0.0,0.0,23.7,23.7,23.7,0.0,0.0,23.26,23.26,23.26,0.0,0.0,23.54,23.54,23.54,0.0,0.0
2019-03-10,25.11,25.11,25.11,0.0,0.0,25.28,25.28,25.28,0.0,0.0,24.92,24.92,24.92,0.0,0.0,24.96,24.96,24.96,0.0,0.0
2019-03-17,25.72,25.72,25.72,0.0,0.0,25.72,25.72,25.72,0.0,0.0,24.7,24.7,24.7,0.0,0.0,24.77,24.77,24.77,0.0,0.0
2019-03-24,25.65,25.65,25.65,0.0,0.0,25.69,25.69,25.69,0.0,0.0,25.05,25.05,25.05,0.0,0.0,25.26,25.26,25.26,0.0,0.0
2019-03-31,25.84,25.84,25.84,0.0,0.0,26.41,26.41,26.41,0.0,0.0,25.72,25.72,25.72,0.0,0.0,26.33,26.33,26.33,0.0,0.0
2019-04-07,26.71,26.71,26.71,0.0,0.0,26.76,26.76,26.76,0.0,0.0,26.29,26.29,26.29,0.0,0.0,26.31,26.31,26.31,0.0,0.0
2019-04-14,26.83,26.83,26.83,0.0,0.0,27.12,27.12,27.12,0.0,0.0,26.3,26.3,26.3,0.0,0.0,26.34,26.34,26.34,0.0,0.0
2019-04-21,25.23,25.23,25.23,0.0,0.0,25.41,25.41,25.41,0.0,0.0,24.92,24.92,24.92,0.0,0.0,25.31,25.31,25.31,0.0,0.0
2019-04-28,23.88,23.88,23.88,0.0,0.0,24.18,24.18,24.18,0.0,0.0,23.88,23.88,23.88,0.0,0.0,24.02,24.02,24.02,0.0,0.0
2019-05-05,23.08,23.08,23.08,0.0,0.0,23.08,23.08,23.08,0.0,0.0,22.44,22.44,22.44,0.0,0.0,22.83,22.83,22.83,0.0,0.0
2019-05-12,22.87,22.87,22.87,0.0,0.0,22.95,22.95,22.95,0.0,0.0,22.38,22.38,22.38,0.0,0.0,22.41,22.41,22.41,0.0,0.0
2019-05-19,21.1,21.1,21.1,0.0,0.0,21.1,21.1,21.1,0.0,0.0,20.5,20.5,20.5,0.0,0.0,20.57,20.57,20.57,0.0,0.0
2019-05-26,19.6,19.6,19.6,0.0,0.0,19.74,19.74,19.74,0.0,0.0,19.42,19.42,19.42,0.0,0.0,19.51,19.51,19.51,0.0,0.0
2019-06-02,20.05,20.05,20.05,0.0,0.0,20.34,20.34,20.34,0.0,0.0,19.77,19.77,19.77,0.0,0.0,20.14,20.14,20.14,0.0,0.0
2019-06-09,20.14,20.14,20.14,0.0,0.0,20.16,20.16,20.16,0.0,0.0,19.55,19.55,19.55,0.0,0.0,19.63,19.63,19.63,0.0,0.0
2019-06-16,21.28,21.28,21.28,0.0,0.0,21.54,21.54,21.54,0.0,0.0,21.09,21.09,21.09,0.0,0.0,21.26,21.26,21.26,0.0,0.0
2019-06-23,21.37,21.37,21.37,0.0,0.0,21.72,21.72,21.72,0.0,0.0,21.37,21.37,21.37,0.0,0.0,21.69,21.69,21.69,0.0,0.0
2019-06-30,21.04,21.04,21.04,0.0,0.0,21.4,21.4,21.4,0.0,0.0,21.04,21.04,21.04,0.0,0.0,21.4,21.4,21.4,0.0,0.0
2019-07-07,21.85,21.85,21.85,0.0,0.0,22.1,22.1,22.1,0.0,0.0,21.79,21.79,21.79,0.0,0.0,21.84,21.84,21.84,0.0,0.0
2019-07-14,20.37,20.37,20.37,0.0,0.0,20.53,20.53,20.53,0.0,0.0,20.04,20.04,20.04,0.0,0.0,20.51,20.51,20.51,0.0,0.0
2019-07-21,20.94,20.94,20.94,0.0,0.0,21.09,21.09,21.09,0.0,0.0,20.75,20.75,20.75,0.0,0.0,21.0,21.0,21.0,0.0,0.0
2019-07-28,20.28,20.28,20.28,0.0,0.0,20.28,20.28,20.28,0.0,0.0,19.37,19.37,19.37,0.0,0.0,19.53,19.53,19.53,0.0,0.0
2019-08-04,18.47,18.47,18.47,0.0,0.0,18.47,18.47,18.47,0.0,0.0,17.8,17.8,17.8,0.0,0.0,17.96,17.96,17.96,0.0,0.0
2019-08-11,16.54,16.54,16.54,0.0,0.0,17.08,17.08,17.08,0.0,0.0,16.49,16.49,16.49,0.0,0.0,17.04,17.04,17.04,0.0,0.0
2019-08-18,17.01,17.01,17.01,0.0,0.0,17.22,17.22,17.22,0.0,0.0,16.45,16.45,16.45,0.0,0.0,16.49,16.49,16.49,0.0,0.0
2019-08-25,17.25,17.25,17.25,0.0,0.0,17.47,17.47,17.47,0.0,0.0,17.08,17.08,17.08,0.0,0.0,17.2,17.2,17.2,0.0,0.0
2019-09-01,17.93,17.93,17.93,0.0,0.0,18.19,18.19,18.19,0.0,0.0,17.7,17.7,17.7,0.0,0.0,18.1,18.1,18.1,0.0,0.0
2019-09-08,19.37,19.37,19.37,0.0,0.0,19.52,19.52,19.52,0.0,0.0,19.11,19.11,19.11,0.0,0.0,19.36,19.36,19.36,0.0,0.0
2019-09-15,19.45,19.45,19.45,0.0,0.0,19.47,19.47,19.47,0.0,0.0,19.13,19.13,19.13,0.0,0.0,19.24,19.24,19.24,0.0,0.0
2019-09-22,17.78,17.78,17.78,0.0,0.0,18.11,18.11,18.11,0.0,0.0,17.66,17.66,17.66,0.0,0.0,17.73,17.73,17.73,0.0,0.0
2019-09-29,16.94,16.94,16.94,0.0,0.0,16.99,16.99,16.99,0.0,0.0,16.64,16.64,16.64,0.0,0.0,16.76,16.76,16.76,0.0,0.0
2019-10-06,16.71,16.71,16.71,0.0,0.0,17.33,17.33,17.33,0.0,0.0,16.71,16.71,16.71,0.0,0.0,17.19,17.19,17.19,0.0,0.0
2019-10-13,16.85,16.85,16.85,0.0,0.0,17.25,17.25,17.25,0.0,0.0,16.67,16.67,16.67,0.0,0.0,16.68,16.68,16.68,0.0,0.0
2019-10-20,17.47,17.47,17.47,0.0,0.0,17.74,17.74,17.74,0.0,0.0,17.44,17.44,17.44,0.0,0.0,17.73,17.73,17.73,0.0,0.0
2019-10-27,16.92,16.92,16.92,0.0,0.0,17.6,17.6,17.6,0.0,0.0,16.92,16.92,16.92,0.0,0.0,17.56,17.56,17.56,0.0,0.0
2019-11-03,17.91,17.91,17.91,0.0,0.0,18.18,18.18,18.18,0.0,0.0,17.68,17.68,17.68,0.0,0.0,18.18,18.18,18.18,0.0,0.0
2019-11-10,17.3,17.3,17.3,0.0,0.0,17.66,17.66,17.66,0.0,0.0,17.3,17.3,17.3,0.0,0.0,17.54,17.54,17.54,0.0,0.0
2019-11-17,17.58,17.58,17.58,0.0,0.0,17.74,17.74,17.74,0.0,0.0,17.49,17.49,17.49,0.0,0.0,17.6,17.6,17.6,0.0,0.0
2019-11-24,17.71,17.71,17.71,0.0,0.0,17.71,17.71,17.71,0.0,0.0,17.53,17.53,17.53,0.0,0.0,17.62,17.62,17.62,0.0,0.0
2019-12-01,17.83,17.83,17.83,0.0,0.0,18.52,18.52,18.52,0.0,0.0,17.83,17.83,17.83,0.0,0.0,18.5,18.5,18.5,0.0,0.0
2019-12-08,19.59,19.59,19.59,0.0,0.0,19.81,19.81,19.81,0.0,0.0,19.39,19.39,19.39,0.0,0.0,19.49,19.49,19.49,0.0,0.0
2019-12-15,20.01,20.01,20.01,0.0,0.0,20.04,20.04,20.04,0.0,0.0,19.81,19.81,19.81,0.0,0.0,19.9,19.9,19.9,0.0,0.0
2019-12-22,20.43,20.43,20.43,0.0,0.0,20.5,20.5,20.5,0.0,0.0,20.19,20.19,20.19,0.0,0.0,20.21,20.21,20.21,0.0,0.0
2019-12-29,20.74,20.74,20.74,0.0,0.0,20.83,20.83,20.83,0.0,0.0,20.38,20.38,20.38,0.0,0.0,20.57,20.57,20.57,0.0,0.0
