Date,SPDR S&P North American Natural ResourcesEtf_Open_average,SPDR S&P North American Natural ResourcesEtf_Open_max,SPDR S&P North American Natural ResourcesEtf_Open_min,SPDR S&P North American Natural ResourcesEtf_Open_volatility,SPDR S&P North American Natural ResourcesEtf_Open_change,SPDR S&P North American Natural ResourcesEtf_High_average,SPDR S&P North American Natural ResourcesEtf_High_max,SPDR S&P North American Natural ResourcesEtf_High_min,SPDR S&P North American Natural ResourcesEtf_High_volatility,SPDR S&P North American Natural ResourcesEtf_High_change,SPDR S&P North American Natural ResourcesEtf_Low_average,SPDR S&P North American Natural ResourcesEtf_Low_max,SPDR S&P North American Natural ResourcesEtf_Low_min,SPDR S&P North American Natural ResourcesEtf_Low_volatility,SPDR S&P North American Natural ResourcesEtf_Low_change,SPDR S&P North American Natural ResourcesEtf_Close_average,SPDR S&P North American Natural ResourcesEtf_Close_max,SPDR S&P North American Natural ResourcesEtf_Close_min,SPDR S&P North American Natural ResourcesEtf_Close_volatility,SPDR S&P North American Natural ResourcesEtf_Close_change
2018-03-25,32.85,32.85,32.85,0.0,0.0,33.64,33.64,33.64,0.0,0.0,32.85,32.85,32.85,0.0,0.0,33.59,33.59,33.59,0.0,0.0
2018-04-01,33.87,33.87,33.87,0.0,0.0,34.09,34.09,34.09,0.0,0.0,33.44,33.44,33.44,0.0,0.0,33.68,33.68,33.68,0.0,0.0
2018-04-08,35.08,35.08,35.08,0.0,0.0,35.35,35.35,35.35,0.0,0.0,35.08,35.08,35.08,0.0,0.0,35.27,35.27,35.27,0.0,0.0
2018-04-15,35.95,35.95,35.95,0.0,0.0,35.95,35.95,35.95,0.0,0.0,35.67,35.67,35.67,0.0,0.0,35.79,35.79,35.79,0.0,0.0
2018-04-22,35.2,35.2,35.2,0.0,0.0,35.41,35.41,35.41,0.0,0.0,35.2,35.2,35.2,0.0,0.0,35.36,35.36,35.36,0.0,0.0
2018-04-29,34.94,34.94,34.94,0.0,0.0,35.38,35.38,35.38,0.0,0.0,34.94,34.94,34.94,0.0,0.0,35.34,35.34,35.34,0.0,0.0
2018-05-06,36.49,36.49,36.49,0.0,0.0,36.61,36.61,36.61,0.0,0.0,36.4,36.4,36.4,0.0,0.0,36.44,36.44,36.44,0.0,0.0
2018-05-13,36.82,36.82,36.82,0.0,0.0,36.85,36.85,36.85,0.0,0.0,36.76,36.76,36.76,0.0,0.0,36.77,36.77,36.77,0.0,0.0
2018-05-20,36.03,36.03,36.03,0.0,0.0,36.03,36.03,36.03,0.0,0.0,35.7,35.7,35.7,0.0,0.0,35.82,35.82,35.82,0.0,0.0
2018-05-27,36.01,36.01,36.01,0.0,0.0,36.15,36.15,36.15,0.0,0.0,35.93,35.93,35.93,0.0,0.0,35.97,35.97,35.97,0.0,0.0
2018-06-03,36.68,36.68,36.68,0.0,0.0,36.68,36.68,36.68,0.0,0.0,36.46,36.46,36.46,0.0,0.0,36.63,36.63,36.63,0.0,0.0
2018-06-10,36.41,36.41,36.41,0.0,0.0,36.41,36.41,36.41,0.0,0.0,35.69,35.69,35.69,0.0,0.0,35.75,35.75,35.75,0.0,0.0
2018-06-17,35.78,35.78,35.78,0.0,0.0,36.07,36.07,36.07,0.0,0.0,35.78,35.78,35.78,0.0,0.0,35.99,35.99,35.99,0.0,0.0
2018-06-24,36.47,36.47,36.47,0.0,0.0,36.6,36.6,36.6,0.0,0.0,36.4,36.4,36.4,0.0,0.0,36.41,36.41,36.41,0.0,0.0
2018-07-01,36.2,36.2,36.2,0.0,0.0,36.59,36.59,36.59,0.0,0.0,36.2,36.2,36.2,0.0,0.0,36.55,36.55,36.55,0.0,0.0
2018-07-08,36.28,36.28,36.28,0.0,0.0,36.36,36.36,36.36,0.0,0.0,36.19,36.19,36.19,0.0,0.0,36.22,36.22,36.22,0.0,0.0
2018-07-15,35.41,35.41,35.41,0.0,0.0,35.6,35.6,35.6,0.0,0.0,35.41,35.41,35.41,0.0,0.0,35.54,35.54,35.54,0.0,0.0
2018-07-22,35.65,35.65,35.65,0.0,0.0,35.94,35.94,35.94,0.0,0.0,35.65,35.65,35.65,0.0,0.0,35.72,35.72,35.72,0.0,0.0
2018-07-29,35.36,35.36,35.36,0.0,0.0,35.53,35.53,35.53,0.0,0.0,35.36,35.36,35.36,0.0,0.0,35.49,35.49,35.49,0.0,0.0
2018-08-05,34.96,34.96,34.96,0.0,0.0,35.0,35.0,35.0,0.0,0.0,34.87,34.87,34.87,0.0,0.0,34.97,34.97,34.97,0.0,0.0
2018-08-12,33.22,33.22,33.22,0.0,0.0,33.37,33.37,33.37,0.0,0.0,33.04,33.04,33.04,0.0,0.0,33.37,33.37,33.37,0.0,0.0
2018-08-19,33.68,33.68,33.68,0.0,0.0,34.08,34.08,34.08,0.0,0.0,33.68,33.68,33.68,0.0,0.0,33.9,33.9,33.9,0.0,0.0
2018-08-26,33.84,33.84,33.84,0.0,0.0,33.93,33.93,33.93,0.0,0.0,33.58,33.58,33.58,0.0,0.0,33.65,33.65,33.65,0.0,0.0
2018-09-02,32.21,32.21,32.21,0.0,0.0,32.55,32.55,32.55,0.0,0.0,32.14,32.14,32.14,0.0,0.0,32.52,32.52,32.52,0.0,0.0
2018-09-09,33.14,33.14,33.14,0.0,0.0,33.35,33.35,33.35,0.0,0.0,33.13,33.13,33.13,0.0,0.0,33.24,33.24,33.24,0.0,0.0
2018-09-16,34.41,34.41,34.41,0.0,0.0,34.45,34.45,34.45,0.0,0.0,34.28,34.28,34.28,0.0,0.0,34.36,34.36,34.36,0.0,0.0
2018-09-23,34.11,34.11,34.11,0.0,0.0,34.54,34.54,34.54,0.0,0.0,34.11,34.11,34.11,0.0,0.0,34.3,34.3,34.3,0.0,0.0
2018-09-30,34.59,34.59,34.59,0.0,0.0,34.62,34.62,34.62,0.0,0.0,34.44,34.44,34.44,0.0,0.0,34.52,34.52,34.52,0.0,0.0
2018-10-07,34.14,34.14,34.14,0.0,0.0,34.14,34.14,34.14,0.0,0.0,33.32,33.32,33.32,0.0,0.0,33.49,33.49,33.49,0.0,0.0
2018-10-14,33.25,33.25,33.25,0.0,0.0,33.59,33.59,33.59,0.0,0.0,33.21,33.21,33.21,0.0,0.0,33.28,33.28,33.28,0.0,0.0
2018-10-21,30.54,30.54,30.54,0.0,0.0,31.1,31.1,31.1,0.0,0.0,30.46,30.46,30.46,0.0,0.0,30.84,30.84,30.84,0.0,0.0
2018-10-28,32.28,32.28,32.28,0.0,0.0,32.51,32.51,32.51,0.0,0.0,32.04,32.04,32.04,0.0,0.0,32.06,32.06,32.06,0.0,0.0
2018-11-04,31.83,31.83,31.83,0.0,0.0,32.16,32.16,32.16,0.0,0.0,31.7,31.7,31.7,0.0,0.0,32.16,32.16,32.16,0.0,0.0
2018-11-11,32.07,32.07,32.07,0.0,0.0,32.07,32.07,32.07,0.0,0.0,31.98,31.98,31.98,0.0,0.0,32.06,32.06,32.06,0.0,0.0
2018-11-18,30.86,30.86,30.86,0.0,0.0,30.86,30.86,30.86,0.0,0.0,30.62,30.62,30.62,0.0,0.0,30.79,30.79,30.79,0.0,0.0
2018-11-25,31.15,31.15,31.15,0.0,0.0,31.37,31.37,31.37,0.0,0.0,30.99,30.99,30.99,0.0,0.0,31.37,31.37,31.37,0.0,0.0
2018-12-02,31.42,31.42,31.42,0.0,0.0,31.87,31.87,31.87,0.0,0.0,31.13,31.13,31.13,0.0,0.0,31.13,31.13,31.13,0.0,0.0
2018-12-09,31.03,31.03,31.03,0.0,0.0,31.03,31.03,31.03,0.0,0.0,30.48,30.48,30.48,0.0,0.0,30.48,30.48,30.48,0.0,0.0
2018-12-16,28.63,28.63,28.63,0.0,0.0,28.9,28.9,28.9,0.0,0.0,28.13,28.13,28.13,0.0,0.0,28.31,28.31,28.31,0.0,0.0
2018-12-23,29.4,29.4,29.4,0.0,0.0,29.4,29.4,29.4,0.0,0.0,28.82,28.82,28.82,0.0,0.0,28.84,28.84,28.84,0.0,0.0
2018-12-30,29.11,29.11,29.11,0.0,0.0,29.76,29.76,29.76,0.0,0.0,29.11,29.11,29.11,0.0,0.0,29.67,29.67,29.67,0.0,0.0
2019-01-06,30.34,30.34,30.34,0.0,0.0,30.52,30.52,30.52,0.0,0.0,30.3,30.3,30.3,0.0,0.0,30.46,30.46,30.46,0.0,0.0
2019-01-13,30.83,30.83,30.83,0.0,0.0,30.96,30.96,30.96,0.0,0.0,30.66,30.66,30.66,0.0,0.0,30.84,30.84,30.84,0.0,0.0
2019-01-20,30.84,30.84,30.84,0.0,0.0,30.86,30.86,30.86,0.0,0.0,30.75,30.75,30.75,0.0,0.0,30.77,30.77,30.77,0.0,0.0
2019-01-27,31.83,31.83,31.83,0.0,0.0,31.91,31.91,31.91,0.0,0.0,31.74,31.74,31.74,0.0,0.0,31.85,31.85,31.85,0.0,0.0
2019-02-03,31.15,31.15,31.15,0.0,0.0,31.2,31.2,31.2,0.0,0.0,30.92,30.92,30.92,0.0,0.0,31.16,31.16,31.16,0.0,0.0
2019-02-10,31.81,31.81,31.81,0.0,0.0,31.96,31.96,31.96,0.0,0.0,31.75,31.75,31.75,0.0,0.0,31.96,31.96,31.96,0.0,0.0
2019-02-17,32.65,32.65,32.65,0.0,0.0,32.71,32.71,32.71,0.0,0.0,32.61,32.61,32.61,0.0,0.0,32.63,32.63,32.63,0.0,0.0
2019-02-24,32.39,32.39,32.39,0.0,0.0,32.39,32.39,32.39,0.0,0.0,32.02,32.02,32.02,0.0,0.0,32.15,32.15,32.15,0.0,0.0
2019-03-03,31.27,31.27,31.27,0.0,0.0,31.46,31.46,31.46,0.0,0.0,31.1,31.1,31.1,0.0,0.0,31.46,31.46,31.46,0.0,0.0
2019-03-10,32.0,32.0,32.0,0.0,0.0,32.27,32.27,32.27,0.0,0.0,32.0,32.0,32.0,0.0,0.0,32.15,32.15,32.15,0.0,0.0
2019-03-17,32.48,32.48,32.48,0.0,0.0,32.48,32.48,32.48,0.0,0.0,31.93,31.93,31.93,0.0,0.0,32.04,32.04,32.04,0.0,0.0
2019-03-24,32.79,32.79,32.79,0.0,0.0,32.79,32.79,32.79,0.0,0.0,32.59,32.59,32.59,0.0,0.0,32.59,32.59,32.59,0.0,0.0
2019-03-31,33.1,33.1,33.1,0.0,0.0,33.19,33.19,33.19,0.0,0.0,33.1,33.1,33.1,0.0,0.0,33.19,33.19,33.19,0.0,0.0
2019-04-07,33.39,33.39,33.39,0.0,0.0,33.39,33.39,33.39,0.0,0.0,33.16,33.16,33.16,0.0,0.0,33.26,33.26,33.26,0.0,0.0
2019-04-14,33.18,33.18,33.18,0.0,0.0,33.19,33.19,33.19,0.0,0.0,32.89,32.89,32.89,0.0,0.0,33.02,33.02,33.02,0.0,0.0
2019-04-21,31.99,31.99,31.99,0.0,0.0,32.24,32.24,32.24,0.0,0.0,31.99,31.99,31.99,0.0,0.0,32.23,32.23,32.23,0.0,0.0
2019-04-28,31.39,31.39,31.39,0.0,0.0,31.49,31.49,31.49,0.0,0.0,31.39,31.39,31.39,0.0,0.0,31.39,31.39,31.39,0.0,0.0
2019-05-05,30.7,30.7,30.7,0.0,0.0,31.14,31.14,31.14,0.0,0.0,30.69,30.69,30.69,0.0,0.0,31.1,31.1,31.1,0.0,0.0
2019-05-12,30.7,30.7,30.7,0.0,0.0,30.7,30.7,30.7,0.0,0.0,30.57,30.57,30.57,0.0,0.0,30.61,30.61,30.61,0.0,0.0
2019-05-19,29.64,29.64,29.64,0.0,0.0,29.71,29.71,29.71,0.0,0.0,29.52,29.52,29.52,0.0,0.0,29.66,29.66,29.66,0.0,0.0
2019-05-26,29.35,29.35,29.35,0.0,0.0,29.56,29.56,29.56,0.0,0.0,29.35,29.35,29.35,0.0,0.0,29.46,29.46,29.46,0.0,0.0
2019-06-02,30.46,30.46,30.46,0.0,0.0,30.65,30.65,30.65,0.0,0.0,30.46,30.46,30.46,0.0,0.0,30.56,30.56,30.56,0.0,0.0
2019-06-09,31.0,31.0,31.0,0.0,0.0,31.0,31.0,31.0,0.0,0.0,30.84,30.84,30.84,0.0,0.0,30.86,30.86,30.86,0.0,0.0
2019-06-16,32.32,32.32,32.32,0.0,0.0,32.44,32.44,32.44,0.0,0.0,32.28,32.28,32.28,0.0,0.0,32.35,32.35,32.35,0.0,0.0
2019-06-23,32.3,32.3,32.3,0.0,0.0,32.53,32.53,32.53,0.0,0.0,32.3,32.3,32.3,0.0,0.0,32.53,32.53,32.53,0.0,0.0
2019-06-30,32.0,32.0,32.0,0.0,0.0,32.29,32.29,32.29,0.0,0.0,31.94,31.94,31.94,0.0,0.0,32.29,32.29,32.29,0.0,0.0
2019-07-07,32.47,32.47,32.47,0.0,0.0,32.58,32.58,32.58,0.0,0.0,32.45,32.45,32.45,0.0,0.0,32.58,32.58,32.58,0.0,0.0
2019-07-14,32.45,32.45,32.45,0.0,0.0,32.81,32.81,32.81,0.0,0.0,32.45,32.45,32.45,0.0,0.0,32.74,32.74,32.74,0.0,0.0
2019-07-21,32.21,32.21,32.21,0.0,0.0,32.21,32.21,32.21,0.0,0.0,32.1,32.1,32.1,0.0,0.0,32.16,32.16,32.16,0.0,0.0
2019-07-28,31.86,31.86,31.86,0.0,0.0,31.92,31.92,31.92,0.0,0.0,31.31,31.31,31.31,0.0,0.0,31.44,31.44,31.44,0.0,0.0
2019-08-04,31.88,31.88,31.88,0.0,0.0,31.88,31.88,31.88,0.0,0.0,31.54,31.54,31.54,0.0,0.0,31.54,31.54,31.54,0.0,0.0
2019-08-11,30.41,30.41,30.41,0.0,0.0,30.63,30.63,30.63,0.0,0.0,30.41,30.41,30.41,0.0,0.0,30.63,30.63,30.63,0.0,0.0
2019-08-18,30.84,30.84,30.84,0.0,0.0,30.91,30.91,30.91,0.0,0.0,30.51,30.51,30.51,0.0,0.0,30.56,30.56,30.56,0.0,0.0
2019-08-25,31.19,31.19,31.19,0.0,0.0,31.34,31.34,31.34,0.0,0.0,31.16,31.16,31.16,0.0,0.0,31.34,31.34,31.34,0.0,0.0
2019-09-01,31.63,31.63,31.63,0.0,0.0,31.63,31.63,31.63,0.0,0.0,31.45,31.45,31.45,0.0,0.0,31.45,31.45,31.45,0.0,0.0
2019-09-08,32.34,32.34,32.34,0.0,0.0,32.37,32.37,32.37,0.0,0.0,32.16,32.16,32.16,0.0,0.0,32.16,32.16,32.16,0.0,0.0
2019-09-15,32.77,32.77,32.77,0.0,0.0,32.81,32.81,32.81,0.0,0.0,32.7,32.7,32.7,0.0,0.0,32.78,32.78,32.78,0.0,0.0
2019-09-22,31.75,31.75,31.75,0.0,0.0,31.75,31.75,31.75,0.0,0.0,31.57,31.57,31.57,0.0,0.0,31.58,31.58,31.58,0.0,0.0
2019-09-29,30.37,30.37,30.37,0.0,0.0,30.58,30.58,30.58,0.0,0.0,30.33,30.33,30.33,0.0,0.0,30.58,30.58,30.58,0.0,0.0
2019-10-06,30.71,30.71,30.71,0.0,0.0,30.93,30.93,30.93,0.0,0.0,30.71,30.71,30.71,0.0,0.0,30.75,30.75,30.75,0.0,0.0
2019-10-13,30.67,30.67,30.67,0.0,0.0,30.67,30.67,30.67,0.0,0.0,30.47,30.47,30.47,0.0,0.0,30.47,30.47,30.47,0.0,0.0
2019-10-20,31.32,31.32,31.32,0.0,0.0,31.37,31.37,31.37,0.0,0.0,31.32,31.32,31.32,0.0,0.0,31.35,31.35,31.35,0.0,0.0
2019-10-27,31.19,31.19,31.19,0.0,0.0,31.47,31.47,31.47,0.0,0.0,31.19,31.19,31.19,0.0,0.0,31.46,31.46,31.46,0.0,0.0
2019-11-03,31.71,31.71,31.71,0.0,0.0,31.86,31.86,31.86,0.0,0.0,31.67,31.67,31.67,0.0,0.0,31.86,31.86,31.86,0.0,0.0
2019-11-10,31.54,31.54,31.54,0.0,0.0,31.76,31.76,31.76,0.0,0.0,31.54,31.54,31.54,0.0,0.0,31.72,31.72,31.72,0.0,0.0
2019-11-17,31.54,31.54,31.54,0.0,0.0,31.65,31.65,31.65,0.0,0.0,31.5,31.5,31.5,0.0,0.0,31.5,31.5,31.5,0.0,0.0
2019-11-24,31.4,31.4,31.4,0.0,0.0,31.58,31.58,31.58,0.0,0.0,31.4,31.4,31.4,0.0,0.0,31.52,31.52,31.52,0.0,0.0
2019-12-01,31.88,31.88,31.88,0.0,0.0,31.96,31.96,31.96,0.0,0.0,31.87,31.87,31.87,0.0,0.0,31.92,31.92,31.92,0.0,0.0
2019-12-08,32.75,32.75,32.75,0.0,0.0,32.83,32.83,32.83,0.0,0.0,32.63,32.63,32.63,0.0,0.0,32.66,32.66,32.66,0.0,0.0
2019-12-15,32.81,32.81,32.81,0.0,0.0,32.84,32.84,32.84,0.0,0.0,32.66,32.66,32.66,0.0,0.0,32.69,32.69,32.69,0.0,0.0
2019-12-22,33.7,33.7,33.7,0.0,0.0,33.7,33.7,33.7,0.0,0.0,33.46,33.46,33.46,0.0,0.0,33.46,33.46,33.46,0.0,0.0
2019-12-29,34.0,34.0,34.0,0.0,0.0,34.0,34.0,34.0,0.0,0.0,33.57,33.57,33.57,0.0,0.0,33.57,33.57,33.57,0.0,0.0
