Date,Guggenheim CurrencyShares Canadian DollarEtf_Open_average,Guggenheim CurrencyShares Canadian DollarEtf_Open_max,Guggenheim CurrencyShares Canadian DollarEtf_Open_min,Guggenheim CurrencyShares Canadian DollarEtf_Open_volatility,Guggenheim CurrencyShares Canadian DollarEtf_Open_change,Guggenheim CurrencyShares Canadian DollarEtf_High_average,Guggenheim CurrencyShares Canadian DollarEtf_High_max,Guggenheim CurrencyShares Canadian DollarEtf_High_min,Guggenheim CurrencyShares Canadian DollarEtf_High_volatility,Guggenheim CurrencyShares Canadian DollarEtf_High_change,Guggenheim CurrencyShares Canadian DollarEtf_Low_average,Guggenheim CurrencyShares Canadian DollarEtf_Low_max,Guggenheim CurrencyShares Canadian DollarEtf_Low_min,Guggenheim CurrencyShares Canadian DollarEtf_Low_volatility,Guggenheim CurrencyShares Canadian DollarEtf_Low_change,Guggenheim CurrencyShares Canadian DollarEtf_Close_average,Guggenheim CurrencyShares Canadian DollarEtf_Close_max,Guggenheim CurrencyShares Canadian DollarEtf_Close_min,Guggenheim CurrencyShares Canadian DollarEtf_Close_volatility,Guggenheim CurrencyShares Canadian DollarEtf_Close_change
2018-05-27,76.08,76.08,76.08,0.0,0.0,76.21,76.21,76.21,0.0,0.0,76.0,76.0,76.0,0.0,0.0,76.11,76.11,76.11,0.0,0.0
2018-06-03,75.99,75.99,75.99,0.0,0.0,76.28,76.28,76.28,0.0,0.0,75.94,75.94,75.94,0.0,0.0,76.25,76.25,76.25,0.0,0.0
2018-06-10,75.04,75.04,75.04,0.0,0.0,75.04,75.04,75.04,0.0,0.0,74.75,74.75,74.75,0.0,0.0,74.83,74.83,74.83,0.0,0.0
2018-06-17,74.06,74.06,74.06,0.0,0.0,74.34,74.34,74.34,0.0,0.0,73.94,73.94,73.94,0.0,0.0,74.31,74.31,74.31,0.0,0.0
2018-06-24,74.79,74.79,74.79,0.0,0.0,75.14,75.14,75.14,0.0,0.0,74.76,74.76,74.76,0.0,0.0,75.05,75.05,75.05,0.0,0.0
2018-07-01,75.16,75.16,75.16,0.0,0.0,75.4,75.4,75.4,0.0,0.0,75.15,75.15,75.15,0.0,0.0,75.25,75.25,75.25,0.0,0.0
2018-07-08,74.79,74.79,74.79,0.0,0.0,74.98,74.98,74.98,0.0,0.0,74.76,74.76,74.76,0.0,0.0,74.98,74.98,74.98,0.0,0.0
2018-07-15,75.1,75.1,75.1,0.0,0.0,75.22,75.22,75.22,0.0,0.0,75.01,75.01,75.01,0.0,0.0,75.17,75.17,75.17,0.0,0.0
2018-07-22,75.47,75.47,75.47,0.0,0.0,75.58,75.58,75.58,0.0,0.0,75.46,75.46,75.46,0.0,0.0,75.53,75.53,75.53,0.0,0.0
2018-07-29,75.91,75.91,75.91,0.0,0.0,76.07,76.07,76.07,0.0,0.0,75.9,75.9,75.9,0.0,0.0,75.96,75.96,75.96,0.0,0.0
2018-08-05,75.32,75.32,75.32,0.0,0.0,75.43,75.43,75.43,0.0,0.0,75.0,75.0,75.0,0.0,0.0,75.14,75.14,75.14,0.0,0.0
2018-08-12,75.44,75.44,75.44,0.0,0.0,75.56,75.56,75.56,0.0,0.0,75.29,75.29,75.29,0.0,0.0,75.54,75.54,75.54,0.0,0.0
2018-08-19,75.57,75.57,75.57,0.0,0.0,75.8,75.8,75.8,0.0,0.0,75.57,75.57,75.57,0.0,0.0,75.74,75.74,75.74,0.0,0.0
2018-08-26,75.58,75.58,75.58,0.0,0.0,75.72,75.72,75.72,0.0,0.0,75.37,75.37,75.37,0.0,0.0,75.59,75.59,75.59,0.0,0.0
2018-09-02,75.03,75.03,75.03,0.0,0.0,75.03,75.03,75.03,0.0,0.0,74.82,74.82,74.82,0.0,0.0,74.87,74.87,74.87,0.0,0.0
2018-09-09,75.78,75.78,75.78,0.0,0.0,75.78,75.78,75.78,0.0,0.0,75.59,75.59,75.59,0.0,0.0,75.66,75.66,75.66,0.0,0.0
2018-09-16,76.42,76.42,76.42,0.0,0.0,76.44,76.44,76.44,0.0,0.0,76.3,76.3,76.3,0.0,0.0,76.38,76.38,76.38,0.0,0.0
2018-09-23,76.08,76.08,76.08,0.0,0.0,76.37,76.37,76.37,0.0,0.0,76.03,76.03,76.03,0.0,0.0,76.34,76.34,76.34,0.0,0.0
2018-09-30,76.33,76.33,76.33,0.0,0.0,76.36,76.36,76.36,0.0,0.0,76.17,76.17,76.17,0.0,0.0,76.21,76.21,76.21,0.0,0.0
2018-10-07,75.79,75.79,75.79,0.0,0.0,75.79,75.79,75.79,0.0,0.0,75.6,75.6,75.6,0.0,0.0,75.67,75.67,75.67,0.0,0.0
2018-10-14,75.28,75.28,75.28,0.0,0.0,75.44,75.44,75.44,0.0,0.0,75.17,75.17,75.17,0.0,0.0,75.25,75.25,75.25,0.0,0.0
2018-10-21,75.08,75.08,75.08,0.0,0.0,75.44,75.44,75.44,0.0,0.0,75.0,75.0,75.0,0.0,0.0,75.4,75.4,75.4,0.0,0.0
2018-10-28,75.29,75.29,75.29,0.0,0.0,75.34,75.34,75.34,0.0,0.0,75.23,75.23,75.23,0.0,0.0,75.29,75.29,75.29,0.0,0.0
2018-11-04,74.78,74.78,74.78,0.0,0.0,74.79,74.79,74.79,0.0,0.0,74.55,74.55,74.55,0.0,0.0,74.7,74.7,74.7,0.0,0.0
2018-11-11,75.11,75.11,75.11,0.0,0.0,75.11,75.11,75.11,0.0,0.0,74.86,74.86,74.86,0.0,0.0,74.98,74.98,74.98,0.0,0.0
2018-11-18,74.48,74.48,74.48,0.0,0.0,74.81,74.81,74.81,0.0,0.0,74.46,74.46,74.46,0.0,0.0,74.73,74.73,74.73,0.0,0.0
2018-11-25,74.08,74.08,74.08,0.0,0.0,74.29,74.29,74.29,0.0,0.0,74.01,74.01,74.01,0.0,0.0,74.25,74.25,74.25,0.0,0.0
2018-12-02,74.38,74.38,74.38,0.0,0.0,74.38,74.38,74.38,0.0,0.0,74.09,74.09,74.09,0.0,0.0,74.1,74.1,74.1,0.0,0.0
2018-12-09,73.63,73.63,73.63,0.0,0.0,73.76,73.76,73.76,0.0,0.0,73.63,73.63,73.63,0.0,0.0,73.76,73.76,73.76,0.0,0.0
2018-12-16,72.83,72.83,72.83,0.0,0.0,72.98,72.98,72.98,0.0,0.0,72.53,72.53,72.53,0.0,0.0,72.55,72.55,72.55,0.0,0.0
2018-12-23,72.37,72.37,72.37,0.0,0.0,72.42,72.42,72.42,0.0,0.0,72.2,72.2,72.2,0.0,0.0,72.2,72.2,72.2,0.0,0.0
2018-12-30,73.49,73.49,73.49,0.0,0.0,73.69,73.69,73.69,0.0,0.0,73.35,73.35,73.35,0.0,0.0,73.65,73.65,73.65,0.0,0.0
2019-01-06,74.47,74.47,74.47,0.0,0.0,74.47,74.47,74.47,0.0,0.0,74.27,74.27,74.27,0.0,0.0,74.29,74.29,74.29,0.0,0.0
2019-01-13,74.38,74.38,74.38,0.0,0.0,74.53,74.53,74.53,0.0,0.0,74.28,74.28,74.28,0.0,0.0,74.33,74.33,74.33,0.0,0.0
2019-01-20,74.38,74.38,74.38,0.0,0.0,74.59,74.59,74.59,0.0,0.0,74.36,74.36,74.36,0.0,0.0,74.58,74.58,74.58,0.0,0.0
2019-01-27,75.22,75.22,75.22,0.0,0.0,75.4,75.4,75.4,0.0,0.0,75.18,75.18,75.18,0.0,0.0,75.31,75.31,75.31,0.0,0.0
2019-02-03,74.39,74.39,74.39,0.0,0.0,74.39,74.39,74.39,0.0,0.0,74.27,74.27,74.27,0.0,0.0,74.33,74.33,74.33,0.0,0.0
2019-02-10,74.36,74.36,74.36,0.0,0.0,74.46,74.46,74.46,0.0,0.0,74.28,74.28,74.28,0.0,0.0,74.44,74.44,74.44,0.0,0.0
2019-02-17,74.75,74.75,74.75,0.0,0.0,75.1,75.1,75.1,0.0,0.0,74.73,74.73,74.73,0.0,0.0,75.07,75.07,75.07,0.0,0.0
2019-02-24,74.6,74.6,74.6,0.0,0.0,74.63,74.63,74.63,0.0,0.0,74.09,74.09,74.09,0.0,0.0,74.18,74.18,74.18,0.0,0.0
2019-03-03,73.45,73.45,73.45,0.0,0.0,73.63,73.63,73.63,0.0,0.0,73.43,73.43,73.43,0.0,0.0,73.61,73.61,73.61,0.0,0.0
2019-03-10,73.8,73.8,73.8,0.0,0.0,73.98,73.98,73.98,0.0,0.0,73.8,73.8,73.8,0.0,0.0,73.96,73.96,73.96,0.0,0.0
2019-03-17,73.6,73.6,73.6,0.0,0.0,73.7,73.7,73.7,0.0,0.0,73.49,73.49,73.49,0.0,0.0,73.49,73.49,73.49,0.0,0.0
2019-03-24,73.82,73.82,73.82,0.0,0.0,73.91,73.91,73.91,0.0,0.0,73.79,73.79,73.79,0.0,0.0,73.86,73.86,73.86,0.0,0.0
2019-03-31,73.71,73.71,73.71,0.0,0.0,73.72,73.72,73.72,0.0,0.0,73.62,73.62,73.62,0.0,0.0,73.71,73.71,73.71,0.0,0.0
2019-04-07,74.01,74.01,74.01,0.0,0.0,74.06,74.06,74.06,0.0,0.0,73.94,73.94,73.94,0.0,0.0,73.96,73.96,73.96,0.0,0.0
2019-04-14,73.8,73.8,73.8,0.0,0.0,73.8,73.8,73.8,0.0,0.0,73.67,73.67,73.67,0.0,0.0,73.73,73.73,73.73,0.0,0.0
2019-04-21,73.32,73.32,73.32,0.0,0.0,73.35,73.35,73.35,0.0,0.0,73.27,73.27,73.27,0.0,0.0,73.32,73.32,73.32,0.0,0.0
2019-04-28,73.34,73.34,73.34,0.0,0.0,73.53,73.53,73.53,0.0,0.0,73.34,73.34,73.34,0.0,0.0,73.44,73.44,73.44,0.0,0.0
2019-05-05,73.61,73.61,73.61,0.0,0.0,73.72,73.72,73.72,0.0,0.0,73.41,73.41,73.41,0.0,0.0,73.53,73.53,73.53,0.0,0.0
2019-05-12,73.13,73.13,73.13,0.0,0.0,73.4,73.4,73.4,0.0,0.0,73.12,73.12,73.12,0.0,0.0,73.33,73.33,73.33,0.0,0.0
2019-05-19,73.4,73.4,73.4,0.0,0.0,73.44,73.44,73.44,0.0,0.0,73.31,73.31,73.31,0.0,0.0,73.44,73.44,73.44,0.0,0.0
2019-05-26,72.83,72.83,72.83,0.0,0.0,73.08,73.08,73.08,0.0,0.0,72.83,72.83,72.83,0.0,0.0,72.96,72.96,72.96,0.0,0.0
2019-06-02,74.16,74.16,74.16,0.0,0.0,74.36,74.36,74.36,0.0,0.0,74.16,74.16,74.16,0.0,0.0,74.27,74.27,74.27,0.0,0.0
2019-06-09,73.78,73.78,73.78,0.0,0.0,73.86,73.86,73.86,0.0,0.0,73.52,73.52,73.52,0.0,0.0,73.57,73.57,73.57,0.0,0.0
2019-06-16,74.72,74.72,74.72,0.0,0.0,74.72,74.72,74.72,0.0,0.0,74.63,74.63,74.63,0.0,0.0,74.69,74.69,74.69,0.0,0.0
2019-06-23,75.38,75.38,75.38,0.0,0.0,75.54,75.54,75.54,0.0,0.0,75.31,75.31,75.31,0.0,0.0,75.32,75.32,75.32,0.0,0.0
2019-06-30,75.29,75.29,75.29,0.0,0.0,75.45,75.45,75.45,0.0,0.0,75.11,75.11,75.11,0.0,0.0,75.45,75.45,75.45,0.0,0.0
2019-07-07,75.61,75.61,75.61,0.0,0.0,75.7,75.7,75.7,0.0,0.0,75.57,75.57,75.57,0.0,0.0,75.68,75.68,75.68,0.0,0.0
2019-07-14,75.45,75.45,75.45,0.0,0.0,75.55,75.55,75.55,0.0,0.0,75.4,75.4,75.4,0.0,0.0,75.53,75.53,75.53,0.0,0.0
2019-07-21,74.84,74.84,74.84,0.0,0.0,74.93,74.93,74.93,0.0,0.0,74.77,74.77,74.77,0.0,0.0,74.92,74.92,74.92,0.0,0.0
2019-07-28,74.46,74.46,74.46,0.0,0.0,74.72,74.72,74.72,0.0,0.0,74.44,74.44,74.44,0.0,0.0,74.67,74.67,74.67,0.0,0.0
2019-08-04,74.61,74.61,74.61,0.0,0.0,74.72,74.72,74.72,0.0,0.0,74.51,74.51,74.51,0.0,0.0,74.7,74.7,74.7,0.0,0.0
2019-08-11,74.15,74.15,74.15,0.0,0.0,74.35,74.35,74.35,0.0,0.0,74.15,74.15,74.15,0.0,0.0,74.34,74.34,74.34,0.0,0.0
2019-08-18,74.2,74.2,74.2,0.0,0.0,74.25,74.25,74.25,0.0,0.0,74.06,74.06,74.06,0.0,0.0,74.25,74.25,74.25,0.0,0.0
2019-08-25,74.47,74.47,74.47,0.0,0.0,74.47,74.47,74.47,0.0,0.0,74.1,74.1,74.1,0.0,0.0,74.18,74.18,74.18,0.0,0.0
2019-09-01,74.81,74.81,74.81,0.0,0.0,74.97,74.97,74.97,0.0,0.0,74.81,74.81,74.81,0.0,0.0,74.84,74.84,74.84,0.0,0.0
2019-09-08,74.51,74.51,74.51,0.0,0.0,74.52,74.52,74.52,0.0,0.0,74.3,74.3,74.3,0.0,0.0,74.3,74.3,74.3,0.0,0.0
2019-09-15,74.25,74.25,74.25,0.0,0.0,74.4,74.4,74.4,0.0,0.0,74.21,74.21,74.21,0.0,0.0,74.32,74.32,74.32,0.0,0.0
2019-09-22,74.5,74.5,74.5,0.0,0.0,74.69,74.69,74.69,0.0,0.0,74.45,74.45,74.45,0.0,0.0,74.53,74.53,74.53,0.0,0.0
2019-09-29,74.13,74.13,74.13,0.0,0.0,74.13,74.13,74.13,0.0,0.0,74.0,74.0,74.0,0.0,0.0,74.11,74.11,74.11,0.0,0.0
2019-10-06,74.73,74.73,74.73,0.0,0.0,74.85,74.85,74.85,0.0,0.0,74.69,74.69,74.69,0.0,0.0,74.74,74.74,74.74,0.0,0.0
2019-10-13,75.12,75.12,75.12,0.0,0.0,75.2,75.2,75.2,0.0,0.0,75.07,75.07,75.07,0.0,0.0,75.2,75.2,75.2,0.0,0.0
2019-10-20,75.55,75.55,75.55,0.0,0.0,75.57,75.57,75.57,0.0,0.0,75.5,75.5,75.5,0.0,0.0,75.55,75.55,75.55,0.0,0.0
2019-10-27,74.92,74.92,74.92,0.0,0.0,75.07,75.07,75.07,0.0,0.0,74.84,74.84,74.84,0.0,0.0,75.06,75.06,75.06,0.0,0.0
2019-11-03,74.56,74.56,74.56,0.0,0.0,74.67,74.67,74.67,0.0,0.0,74.54,74.54,74.54,0.0,0.0,74.62,74.62,74.62,0.0,0.0
2019-11-10,74.56,74.56,74.56,0.0,0.0,74.64,74.64,74.64,0.0,0.0,74.56,74.56,74.56,0.0,0.0,74.6,74.6,74.6,0.0,0.0
2019-11-17,74.36,74.36,74.36,0.0,0.0,74.36,74.36,74.36,0.0,0.0,74.22,74.22,74.22,0.0,0.0,74.27,74.27,74.27,0.0,0.0
2019-11-24,74.3,74.3,74.3,0.0,0.0,74.31,74.31,74.31,0.0,0.0,74.27,74.27,74.27,0.0,0.0,74.31,74.31,74.31,0.0,0.0
2019-12-01,74.42,74.42,74.42,0.0,0.0,74.44,74.44,74.44,0.0,0.0,74.35,74.35,74.35,0.0,0.0,74.39,74.39,74.39,0.0,0.0
2019-12-08,74.87,74.87,74.87,0.0,0.0,75.02,75.02,75.02,0.0,0.0,74.74,74.74,74.74,0.0,0.0,74.81,74.81,74.81,0.0,0.0
2019-12-15,74.93,74.93,74.93,0.0,0.0,75.0,75.0,75.0,0.0,0.0,74.89,74.89,74.89,0.0,0.0,75.0,75.0,75.0,0.0,0.0
2019-12-22,75.41,75.41,75.41,0.0,0.0,75.51,75.51,75.51,0.0,0.0,75.36,75.36,75.36,0.0,0.0,75.45,75.45,75.45,0.0,0.0
2019-12-29,75.95,75.95,75.95,0.0,0.0,76.0,76.0,76.0,0.0,0.0,75.92,75.92,75.92,0.0,0.0,75.94,75.94,75.94,0.0,0.0
