Date,First Trust Total US Market AlphaDEX_Open_average,First Trust Total US Market AlphaDEX_Open_max,First Trust Total US Market AlphaDEX_Open_min,First Trust Total US Market AlphaDEX_Open_volatility,First Trust Total US Market AlphaDEX_Open_change,First Trust Total US Market AlphaDEX_High_average,First Trust Total US Market AlphaDEX_High_max,First Trust Total US Market AlphaDEX_High_min,First Trust Total US Market AlphaDEX_High_volatility,First Trust Total US Market AlphaDEX_High_change,First Trust Total US Market AlphaDEX_Low_average,First Trust Total US Market AlphaDEX_Low_max,First Trust Total US Market AlphaDEX_Low_min,First Trust Total US Market AlphaDEX_Low_volatility,First Trust Total US Market AlphaDEX_Low_change,First Trust Total US Market AlphaDEX_Close_average,First Trust Total US Market AlphaDEX_Close_max,First Trust Total US Market AlphaDEX_Close_min,First Trust Total US Market AlphaDEX_Close_volatility,First Trust Total US Market AlphaDEX_Close_change
2019-06-02,33.4,33.4,33.4,0.0,0.0,33.48,33.48,33.48,0.0,0.0,33.19,33.19,33.19,0.0,0.0,33.19,33.19,33.19,0.0,0.0
2019-06-09,33.31,33.31,33.31,0.0,0.0,33.31,33.31,33.31,0.0,0.0,33.31,33.31,33.31,0.0,0.0,33.31,33.31,33.31,0.0,0.0
2019-06-16,33.56,33.56,33.56,0.0,0.0,33.56,33.56,33.56,0.0,0.0,33.56,33.56,33.56,0.0,0.0,33.56,33.56,33.56,0.0,0.0
2019-06-23,33.79,33.79,33.79,0.0,0.0,34.0,34.0,34.0,0.0,0.0,33.73,33.73,33.73,0.0,0.0,34.0,34.0,34.0,0.0,0.0
2019-06-30,34.61,34.61,34.61,0.0,0.0,34.61,34.61,34.61,0.0,0.0,34.23,34.23,34.23,0.0,0.0,34.23,34.23,34.23,0.0,0.0
2019-07-07,34.45,34.45,34.45,0.0,0.0,34.45,34.45,34.45,0.0,0.0,34.45,34.45,34.45,0.0,0.0,34.45,34.45,34.45,0.0,0.0
2019-07-14,33.86,33.86,33.86,0.0,0.0,33.86,33.86,33.86,0.0,0.0,33.86,33.86,33.86,0.0,0.0,33.86,33.86,33.86,0.0,0.0
2019-07-21,34.64,34.64,34.64,0.0,0.0,34.64,34.64,34.64,0.0,0.0,34.64,34.64,34.64,0.0,0.0,34.64,34.64,34.64,0.0,0.0
2019-07-28,32.59,32.59,32.59,0.0,0.0,32.59,32.59,32.59,0.0,0.0,32.2,32.2,32.2,0.0,0.0,32.54,32.54,32.54,0.0,0.0
2019-08-04,32.8,32.8,32.8,0.0,0.0,32.8,32.8,32.8,0.0,0.0,32.68,32.68,32.68,0.0,0.0,32.68,32.68,32.68,0.0,0.0
2019-08-11,33.02,33.02,33.02,0.0,0.0,33.02,33.02,33.02,0.0,0.0,32.98,32.98,32.98,0.0,0.0,32.98,32.98,32.98,0.0,0.0
2019-08-18,32.21,32.21,32.21,0.0,0.0,32.21,32.21,32.21,0.0,0.0,32.21,32.21,32.21,0.0,0.0,32.21,32.21,32.21,0.0,0.0
2019-08-25,32.89,32.89,32.89,0.0,0.0,32.89,32.89,32.89,0.0,0.0,32.88,32.88,32.88,0.0,0.0,32.88,32.88,32.88,0.0,0.0
2019-09-01,33.68,33.68,33.68,0.0,0.0,33.74,33.74,33.74,0.0,0.0,33.53,33.53,33.53,0.0,0.0,33.53,33.53,33.53,0.0,0.0
2019-09-08,34.39,34.39,34.39,0.0,0.0,34.39,34.39,34.39,0.0,0.0,34.39,34.39,34.39,0.0,0.0,34.39,34.39,34.39,0.0,0.0
2019-09-15,33.94,33.94,33.94,0.0,0.0,34.12,34.12,34.12,0.0,0.0,33.91,33.91,33.91,0.0,0.0,34.12,34.12,34.12,0.0,0.0
2019-09-22,33.51,33.51,33.51,0.0,0.0,33.59,33.59,33.59,0.0,0.0,33.41,33.41,33.41,0.0,0.0,33.59,33.59,33.59,0.0,0.0
2019-09-29,32.7,32.7,32.7,0.0,0.0,32.97,32.97,32.97,0.0,0.0,32.7,32.7,32.7,0.0,0.0,32.89,32.89,32.89,0.0,0.0
2019-10-06,33.05,33.05,33.05,0.0,0.0,33.13,33.13,33.13,0.0,0.0,33.05,33.05,33.05,0.0,0.0,33.13,33.13,33.13,0.0,0.0
2019-10-13,33.88,33.88,33.88,0.0,0.0,33.88,33.88,33.88,0.0,0.0,33.88,33.88,33.88,0.0,0.0,33.88,33.88,33.88,0.0,0.0
2019-10-20,34.35,34.35,34.35,0.0,0.0,34.39,34.39,34.39,0.0,0.0,34.34,34.34,34.34,0.0,0.0,34.34,34.34,34.34,0.0,0.0
2019-10-27,34.79,34.79,34.79,0.0,0.0,34.79,34.79,34.79,0.0,0.0,34.79,34.79,34.79,0.0,0.0,34.79,34.79,34.79,0.0,0.0
2019-11-03,34.91,34.91,34.91,0.0,0.0,34.91,34.91,34.91,0.0,0.0,34.83,34.83,34.83,0.0,0.0,34.84,34.84,34.84,0.0,0.0
2019-11-10,35.25,35.25,35.25,0.0,0.0,35.27,35.27,35.27,0.0,0.0,35.13,35.13,35.13,0.0,0.0,35.13,35.13,35.13,0.0,0.0
2019-11-17,35.28,35.28,35.28,0.0,0.0,35.35,35.35,35.35,0.0,0.0,35.28,35.28,35.28,0.0,0.0,35.35,35.35,35.35,0.0,0.0
2019-11-24,35.12,35.12,35.12,0.0,0.0,35.2,35.2,35.2,0.0,0.0,35.09,35.09,35.09,0.0,0.0,35.09,35.09,35.09,0.0,0.0
2019-12-01,35.42,35.42,35.42,0.0,0.0,35.45,35.45,35.45,0.0,0.0,35.34,35.34,35.34,0.0,0.0,35.37,35.37,35.37,0.0,0.0
2019-12-08,35.51,35.51,35.51,0.0,0.0,35.57,35.57,35.57,0.0,0.0,35.49,35.49,35.49,0.0,0.0,35.49,35.49,35.49,0.0,0.0
2019-12-15,36.17,36.17,36.17,0.0,0.0,36.17,36.17,36.17,0.0,0.0,36.16,36.16,36.16,0.0,0.0,36.16,36.16,36.16,0.0,0.0
2019-12-22,36.33,36.33,36.33,0.0,0.0,36.33,36.33,36.33,0.0,0.0,36.13,36.13,36.13,0.0,0.0,36.13,36.13,36.13,0.0,0.0
2019-12-29,36.14,36.14,36.14,0.0,0.0,36.14,36.14,36.14,0.0,0.0,36.04,36.04,36.04,0.0,0.0,36.05,36.05,36.05,0.0,0.0
