Date,ProShares Short Term USD EM BondEtf_Open_average,ProShares Short Term USD EM BondEtf_Open_max,ProShares Short Term USD EM BondEtf_Open_min,ProShares Short Term USD EM BondEtf_Open_volatility,ProShares Short Term USD EM BondEtf_Open_change,ProShares Short Term USD EM BondEtf_High_average,ProShares Short Term USD EM BondEtf_High_max,ProShares Short Term USD EM BondEtf_High_min,ProShares Short Term USD EM BondEtf_High_volatility,ProShares Short Term USD EM BondEtf_High_change,ProShares Short Term USD EM BondEtf_Low_average,ProShares Short Term USD EM BondEtf_Low_max,ProShares Short Term USD EM BondEtf_Low_min,ProShares Short Term USD EM BondEtf_Low_volatility,ProShares Short Term USD EM BondEtf_Low_change,ProShares Short Term USD EM BondEtf_Close_average,ProShares Short Term USD EM BondEtf_Close_max,ProShares Short Term USD EM BondEtf_Close_min,ProShares Short Term USD EM BondEtf_Close_volatility,ProShares Short Term USD EM BondEtf_Close_change
2018-05-13,74.09,74.09,74.09,0.0,0.0,74.09,74.09,74.09,0.0,0.0,74.09,74.09,74.09,0.0,0.0,74.09,74.09,74.09,0.0,0.0
2018-05-20,74.94,74.94,74.94,0.0,0.0,74.94,74.94,74.94,0.0,0.0,74.94,74.94,74.94,0.0,0.0,74.94,74.94,74.94,0.0,0.0
2018-05-27,74.7,74.7,74.7,0.0,0.0,74.7,74.7,74.7,0.0,0.0,74.7,74.7,74.7,0.0,0.0,74.7,74.7,74.7,0.0,0.0
2018-06-03,74.47,74.47,74.47,0.0,0.0,74.47,74.47,74.47,0.0,0.0,74.47,74.47,74.47,0.0,0.0,74.47,74.47,74.47,0.0,0.0
2018-06-10,74.14,74.14,74.14,0.0,0.0,74.14,74.14,74.14,0.0,0.0,74.14,74.14,74.14,0.0,0.0,74.14,74.14,74.14,0.0,0.0
2018-06-17,74.5,74.5,74.5,0.0,0.0,74.5,74.5,74.5,0.0,0.0,74.5,74.5,74.5,0.0,0.0,74.5,74.5,74.5,0.0,0.0
2018-06-24,74.75,74.75,74.75,0.0,0.0,74.75,74.75,74.75,0.0,0.0,74.75,74.75,74.75,0.0,0.0,74.75,74.75,74.75,0.0,0.0
2018-07-01,74.63,74.63,74.63,0.0,0.0,74.63,74.63,74.63,0.0,0.0,74.63,74.63,74.63,0.0,0.0,74.63,74.63,74.63,0.0,0.0
2018-07-08,74.23,74.23,74.23,0.0,0.0,74.23,74.23,74.23,0.0,0.0,74.23,74.23,74.23,0.0,0.0,74.23,74.23,74.23,0.0,0.0
2018-07-15,74.22,74.22,74.22,0.0,0.0,74.22,74.22,74.22,0.0,0.0,74.05,74.05,74.05,0.0,0.0,74.1,74.1,74.1,0.0,0.0
2018-07-22,74.84,74.84,74.84,0.0,0.0,74.84,74.84,74.84,0.0,0.0,74.84,74.84,74.84,0.0,0.0,74.84,74.84,74.84,0.0,0.0
2018-07-29,74.05,74.05,74.05,0.0,0.0,74.05,74.05,74.05,0.0,0.0,74.05,74.05,74.05,0.0,0.0,74.05,74.05,74.05,0.0,0.0
2018-08-05,73.94,73.94,73.94,0.0,0.0,74.05,74.05,74.05,0.0,0.0,73.94,73.94,73.94,0.0,0.0,74.05,74.05,74.05,0.0,0.0
2018-08-12,73.77,73.77,73.77,0.0,0.0,73.77,73.77,73.77,0.0,0.0,73.77,73.77,73.77,0.0,0.0,73.77,73.77,73.77,0.0,0.0
2018-08-19,73.92,73.92,73.92,0.0,0.0,73.92,73.92,73.92,0.0,0.0,73.92,73.92,73.92,0.0,0.0,73.92,73.92,73.92,0.0,0.0
2018-08-26,73.68,73.68,73.68,0.0,0.0,73.68,73.68,73.68,0.0,0.0,73.68,73.68,73.68,0.0,0.0,73.68,73.68,73.68,0.0,0.0
2018-09-02,73.91,73.91,73.91,0.0,0.0,73.91,73.91,73.91,0.0,0.0,73.91,73.91,73.91,0.0,0.0,73.91,73.91,73.91,0.0,0.0
2018-09-09,73.5,73.5,73.5,0.0,0.0,73.5,73.5,73.5,0.0,0.0,73.5,73.5,73.5,0.0,0.0,73.5,73.5,73.5,0.0,0.0
2018-09-16,73.94,73.94,73.94,0.0,0.0,73.94,73.94,73.94,0.0,0.0,73.88,73.88,73.88,0.0,0.0,73.88,73.88,73.88,0.0,0.0
2018-09-23,74.09,74.09,74.09,0.0,0.0,74.09,74.09,74.09,0.0,0.0,74.09,74.09,74.09,0.0,0.0,74.09,74.09,74.09,0.0,0.0
2018-09-30,74.26,74.26,74.26,0.0,0.0,74.26,74.26,74.26,0.0,0.0,74.26,74.26,74.26,0.0,0.0,74.26,74.26,74.26,0.0,0.0
2018-10-07,73.69,73.69,73.69,0.0,0.0,73.69,73.69,73.69,0.0,0.0,73.41,73.41,73.41,0.0,0.0,73.41,73.41,73.41,0.0,0.0
2018-10-14,73.51,73.51,73.51,0.0,0.0,73.51,73.51,73.51,0.0,0.0,73.51,73.51,73.51,0.0,0.0,73.51,73.51,73.51,0.0,0.0
2018-10-21,73.83,73.83,73.83,0.0,0.0,73.94,73.94,73.94,0.0,0.0,73.83,73.83,73.83,0.0,0.0,73.94,73.94,73.94,0.0,0.0
2018-10-28,73.53,73.53,73.53,0.0,0.0,73.53,73.53,73.53,0.0,0.0,73.53,73.53,73.53,0.0,0.0,73.53,73.53,73.53,0.0,0.0
2018-11-04,74.08,74.08,74.08,0.0,0.0,74.08,74.08,74.08,0.0,0.0,74.08,74.08,74.08,0.0,0.0,74.08,74.08,74.08,0.0,0.0
2018-11-11,73.53,73.53,73.53,0.0,0.0,73.53,73.53,73.53,0.0,0.0,73.53,73.53,73.53,0.0,0.0,73.53,73.53,73.53,0.0,0.0
2018-11-18,73.7,73.7,73.7,0.0,0.0,73.7,73.7,73.7,0.0,0.0,73.43,73.43,73.43,0.0,0.0,73.43,73.43,73.43,0.0,0.0
2018-11-25,73.75,73.75,73.75,0.0,0.0,73.8,73.8,73.8,0.0,0.0,73.16,73.16,73.16,0.0,0.0,73.49,73.49,73.49,0.0,0.0
2018-12-02,73.7,73.7,73.7,0.0,0.0,73.7,73.7,73.7,0.0,0.0,73.56,73.56,73.56,0.0,0.0,73.56,73.56,73.56,0.0,0.0
2018-12-09,73.39,73.39,73.39,0.0,0.0,73.39,73.39,73.39,0.0,0.0,73.39,73.39,73.39,0.0,0.0,73.39,73.39,73.39,0.0,0.0
2018-12-16,73.85,73.85,73.85,0.0,0.0,73.85,73.85,73.85,0.0,0.0,73.85,73.85,73.85,0.0,0.0,73.85,73.85,73.85,0.0,0.0
2018-12-23,73.7,73.7,73.7,0.0,0.0,73.7,73.7,73.7,0.0,0.0,73.65,73.65,73.65,0.0,0.0,73.65,73.65,73.65,0.0,0.0
2018-12-30,73.61,73.61,73.61,0.0,0.0,73.78,73.78,73.78,0.0,0.0,73.61,73.61,73.61,0.0,0.0,73.69,73.69,73.69,0.0,0.0
2019-01-06,73.92,73.92,73.92,0.0,0.0,73.92,73.92,73.92,0.0,0.0,73.92,73.92,73.92,0.0,0.0,73.92,73.92,73.92,0.0,0.0
2019-01-13,73.9,73.9,73.9,0.0,0.0,73.9,73.9,73.9,0.0,0.0,73.86,73.86,73.86,0.0,0.0,73.86,73.86,73.86,0.0,0.0
2019-01-20,74.55,74.55,74.55,0.0,0.0,74.55,74.55,74.55,0.0,0.0,74.55,74.55,74.55,0.0,0.0,74.55,74.55,74.55,0.0,0.0
2019-01-27,74.55,74.55,74.55,0.0,0.0,74.55,74.55,74.55,0.0,0.0,74.55,74.55,74.55,0.0,0.0,74.55,74.55,74.55,0.0,0.0
2019-02-03,74.67,74.67,74.67,0.0,0.0,74.67,74.67,74.67,0.0,0.0,74.67,74.67,74.67,0.0,0.0,74.67,74.67,74.67,0.0,0.0
2019-02-10,74.75,74.75,74.75,0.0,0.0,74.75,74.75,74.75,0.0,0.0,74.75,74.75,74.75,0.0,0.0,74.75,74.75,74.75,0.0,0.0
2019-02-17,75.2,75.2,75.2,0.0,0.0,75.2,75.2,75.2,0.0,0.0,75.15,75.15,75.15,0.0,0.0,75.16,75.16,75.16,0.0,0.0
2019-02-24,75.12,75.12,75.12,0.0,0.0,75.19,75.19,75.19,0.0,0.0,75.12,75.12,75.12,0.0,0.0,75.19,75.19,75.19,0.0,0.0
2019-03-03,74.92,74.92,74.92,0.0,0.0,74.92,74.92,74.92,0.0,0.0,74.92,74.92,74.92,0.0,0.0,74.92,74.92,74.92,0.0,0.0
2019-03-10,75.28,75.28,75.28,0.0,0.0,75.28,75.28,75.28,0.0,0.0,75.28,75.28,75.28,0.0,0.0,75.28,75.28,75.28,0.0,0.0
2019-03-17,75.38,75.38,75.38,0.0,0.0,75.38,75.38,75.38,0.0,0.0,75.38,75.38,75.38,0.0,0.0,75.38,75.38,75.38,0.0,0.0
2019-03-24,75.61,75.61,75.61,0.0,0.0,75.61,75.61,75.61,0.0,0.0,75.56,75.56,75.56,0.0,0.0,75.56,75.56,75.56,0.0,0.0
2019-03-31,75.6,75.6,75.6,0.0,0.0,75.6,75.6,75.6,0.0,0.0,75.49,75.49,75.49,0.0,0.0,75.49,75.49,75.49,0.0,0.0
2019-04-07,75.43,75.43,75.43,0.0,0.0,75.43,75.43,75.43,0.0,0.0,75.43,75.43,75.43,0.0,0.0,75.43,75.43,75.43,0.0,0.0
2019-04-14,75.29,75.29,75.29,0.0,0.0,75.29,75.29,75.29,0.0,0.0,75.29,75.29,75.29,0.0,0.0,75.29,75.29,75.29,0.0,0.0
2019-04-21,75.08,75.08,75.08,0.0,0.0,75.08,75.08,75.08,0.0,0.0,75.08,75.08,75.08,0.0,0.0,75.08,75.08,75.08,0.0,0.0
2019-04-28,75.15,75.15,75.15,0.0,0.0,75.15,75.15,75.15,0.0,0.0,75.11,75.11,75.11,0.0,0.0,75.11,75.11,75.11,0.0,0.0
2019-05-05,75.12,75.12,75.12,0.0,0.0,75.12,75.12,75.12,0.0,0.0,75.12,75.12,75.12,0.0,0.0,75.12,75.12,75.12,0.0,0.0
2019-05-12,75.18,75.18,75.18,0.0,0.0,75.18,75.18,75.18,0.0,0.0,75.18,75.18,75.18,0.0,0.0,75.18,75.18,75.18,0.0,0.0
2019-05-19,75.38,75.38,75.38,0.0,0.0,75.38,75.38,75.38,0.0,0.0,75.38,75.38,75.38,0.0,0.0,75.38,75.38,75.38,0.0,0.0
2019-05-26,75.38,75.38,75.38,0.0,0.0,75.38,75.38,75.38,0.0,0.0,75.38,75.38,75.38,0.0,0.0,75.38,75.38,75.38,0.0,0.0
2019-06-02,75.2,75.2,75.2,0.0,0.0,75.69,75.69,75.69,0.0,0.0,75.2,75.2,75.2,0.0,0.0,75.53,75.53,75.53,0.0,0.0
2019-06-09,75.8,75.8,75.8,0.0,0.0,75.8,75.8,75.8,0.0,0.0,75.8,75.8,75.8,0.0,0.0,75.8,75.8,75.8,0.0,0.0
2019-06-16,76.11,76.11,76.11,0.0,0.0,76.11,76.11,76.11,0.0,0.0,76.11,76.11,76.11,0.0,0.0,76.11,76.11,76.11,0.0,0.0
2019-06-23,76.26,76.26,76.26,0.0,0.0,76.26,76.26,76.26,0.0,0.0,76.26,76.26,76.26,0.0,0.0,76.26,76.26,76.26,0.0,0.0
2019-06-30,76.08,76.08,76.08,0.0,0.0,76.08,76.08,76.08,0.0,0.0,76.08,76.08,76.08,0.0,0.0,76.08,76.08,76.08,0.0,0.0
2019-07-07,75.92,75.92,75.92,0.0,0.0,75.92,75.92,75.92,0.0,0.0,75.92,75.92,75.92,0.0,0.0,75.92,75.92,75.92,0.0,0.0
2019-07-14,76.22,76.22,76.22,0.0,0.0,76.22,76.22,76.22,0.0,0.0,76.22,76.22,76.22,0.0,0.0,76.22,76.22,76.22,0.0,0.0
2019-07-21,76.44,76.44,76.44,0.0,0.0,76.44,76.44,76.44,0.0,0.0,76.44,76.44,76.44,0.0,0.0,76.44,76.44,76.44,0.0,0.0
2019-07-28,76.29,76.29,76.29,0.0,0.0,76.36,76.36,76.36,0.0,0.0,76.27,76.27,76.27,0.0,0.0,76.36,76.36,76.36,0.0,0.0
2019-08-04,75.99,75.99,75.99,0.0,0.0,76.47,76.47,76.47,0.0,0.0,75.99,75.99,75.99,0.0,0.0,76.33,76.33,76.33,0.0,0.0
2019-08-11,75.45,75.45,75.45,0.0,0.0,75.58,75.58,75.58,0.0,0.0,75.45,75.45,75.45,0.0,0.0,75.58,75.58,75.58,0.0,0.0
2019-08-18,75.47,75.47,75.47,0.0,0.0,75.47,75.47,75.47,0.0,0.0,75.47,75.47,75.47,0.0,0.0,75.47,75.47,75.47,0.0,0.0
2019-08-25,75.16,75.16,75.16,0.0,0.0,75.16,75.16,75.16,0.0,0.0,75.16,75.16,75.16,0.0,0.0,75.16,75.16,75.16,0.0,0.0
2019-09-01,75.43,75.43,75.43,0.0,0.0,75.43,75.43,75.43,0.0,0.0,75.43,75.43,75.43,0.0,0.0,75.43,75.43,75.43,0.0,0.0
2019-09-08,75.42,75.42,75.42,0.0,0.0,75.42,75.42,75.42,0.0,0.0,75.42,75.42,75.42,0.0,0.0,75.42,75.42,75.42,0.0,0.0
2019-09-15,75.67,75.67,75.67,0.0,0.0,75.67,75.67,75.67,0.0,0.0,75.67,75.67,75.67,0.0,0.0,75.67,75.67,75.67,0.0,0.0
2019-09-22,75.44,75.44,75.44,0.0,0.0,75.44,75.44,75.44,0.0,0.0,75.44,75.44,75.44,0.0,0.0,75.44,75.44,75.44,0.0,0.0
2019-09-29,75.37,75.37,75.37,0.0,0.0,75.37,75.37,75.37,0.0,0.0,75.37,75.37,75.37,0.0,0.0,75.37,75.37,75.37,0.0,0.0
2019-10-06,75.27,75.27,75.27,0.0,0.0,75.27,75.27,75.27,0.0,0.0,75.27,75.27,75.27,0.0,0.0,75.27,75.27,75.27,0.0,0.0
2019-10-13,75.39,75.39,75.39,0.0,0.0,75.39,75.39,75.39,0.0,0.0,75.39,75.39,75.39,0.0,0.0,75.39,75.39,75.39,0.0,0.0
2019-10-20,75.19,75.19,75.19,0.0,0.0,75.19,75.19,75.19,0.0,0.0,75.19,75.19,75.19,0.0,0.0,75.19,75.19,75.19,0.0,0.0
2019-10-27,74.91,74.91,74.91,0.0,0.0,74.91,74.91,74.91,0.0,0.0,74.67,74.67,74.67,0.0,0.0,74.87,74.87,74.87,0.0,0.0
2019-11-03,74.81,74.81,74.81,0.0,0.0,74.81,74.81,74.81,0.0,0.0,74.81,74.81,74.81,0.0,0.0,74.81,74.81,74.81,0.0,0.0
2019-11-10,74.66,74.66,74.66,0.0,0.0,74.66,74.66,74.66,0.0,0.0,74.66,74.66,74.66,0.0,0.0,74.66,74.66,74.66,0.0,0.0
2019-11-17,74.2,74.2,74.2,0.0,0.0,74.2,74.2,74.2,0.0,0.0,74.2,74.2,74.2,0.0,0.0,74.2,74.2,74.2,0.0,0.0
2019-11-24,74.88,74.88,74.88,0.0,0.0,74.88,74.88,74.88,0.0,0.0,74.88,74.88,74.88,0.0,0.0,74.88,74.88,74.88,0.0,0.0
2019-12-01,74.78,74.78,74.78,0.0,0.0,74.78,74.78,74.78,0.0,0.0,74.78,74.78,74.78,0.0,0.0,74.78,74.78,74.78,0.0,0.0
2019-12-08,74.95,74.95,74.95,0.0,0.0,74.95,74.95,74.95,0.0,0.0,74.95,74.95,74.95,0.0,0.0,74.95,74.95,74.95,0.0,0.0
2019-12-15,75.2,75.2,75.2,0.0,0.0,75.2,75.2,75.2,0.0,0.0,75.2,75.2,75.2,0.0,0.0,75.2,75.2,75.2,0.0,0.0
2019-12-22,75.65,75.65,75.65,0.0,0.0,75.65,75.65,75.65,0.0,0.0,75.41,75.41,75.41,0.0,0.0,75.41,75.41,75.41,0.0,0.0
2019-12-29,75.59,75.59,75.59,0.0,0.0,75.59,75.59,75.59,0.0,0.0,69.37,69.37,69.37,0.0,0.0,75.26,75.26,75.26,0.0,0.0
