Date,ProShares Ultra Gold_Open_average,ProShares Ultra Gold_Open_max,ProShares Ultra Gold_Open_min,ProShares Ultra Gold_Open_volatility,ProShares Ultra Gold_Open_change,ProShares Ultra Gold_High_average,ProShares Ultra Gold_High_max,ProShares Ultra Gold_High_min,ProShares Ultra Gold_High_volatility,ProShares Ultra Gold_High_change,ProShares Ultra Gold_Low_average,ProShares Ultra Gold_Low_max,ProShares Ultra Gold_Low_min,ProShares Ultra Gold_Low_volatility,ProShares Ultra Gold_Low_change,ProShares Ultra Gold_Close_average,ProShares Ultra Gold_Close_max,ProShares Ultra Gold_Close_min,ProShares Ultra Gold_Close_volatility,ProShares Ultra Gold_Close_change
2018-06-24,36.4,36.4,36.4,0.0,0.0,36.4,36.4,36.4,0.0,0.0,35.79,35.79,35.79,0.0,0.0,35.88,35.88,35.88,0.0,0.0
2018-07-01,37.23,37.23,37.23,0.0,0.0,37.28,37.28,37.28,0.0,0.0,36.87,36.87,36.87,0.0,0.0,36.91,36.91,36.91,0.0,0.0
2018-07-08,35.73,35.73,35.73,0.0,0.0,35.92,35.92,35.92,0.0,0.0,35.68,35.68,35.68,0.0,0.0,35.86,35.86,35.86,0.0,0.0
2018-07-15,35.06,35.06,35.06,0.0,0.0,35.06,35.06,35.06,0.0,0.0,34.84,34.84,34.84,0.0,0.0,34.92,34.92,34.92,0.0,0.0
2018-07-22,34.75,34.75,34.75,0.0,0.0,34.93,34.93,34.93,0.0,0.0,34.67,34.67,34.67,0.0,0.0,34.67,34.67,34.67,0.0,0.0
2018-07-29,33.98,33.98,33.98,0.0,0.0,34.08,34.08,34.08,0.0,0.0,33.85,33.85,33.85,0.0,0.0,33.85,33.85,33.85,0.0,0.0
2018-08-05,33.5,33.5,33.5,0.0,0.0,33.54,33.54,33.54,0.0,0.0,32.93,32.93,32.93,0.0,0.0,33.02,33.02,33.02,0.0,0.0
2018-08-12,32.73,32.73,32.73,0.0,0.0,32.85,32.85,32.85,0.0,0.0,32.54,32.54,32.54,0.0,0.0,32.85,32.85,32.85,0.0,0.0
2018-08-19,33.68,33.68,33.68,0.0,0.0,34.06,34.06,34.06,0.0,0.0,33.68,33.68,33.68,0.0,0.0,33.95,33.95,33.95,0.0,0.0
2018-08-26,33.45,33.45,33.45,0.0,0.0,33.57,33.57,33.57,0.0,0.0,33.22,33.22,33.22,0.0,0.0,33.26,33.26,33.26,0.0,0.0
2018-09-02,33.1,33.1,33.1,0.0,0.0,33.16,33.16,33.16,0.0,0.0,32.94,32.94,32.94,0.0,0.0,33.04,33.04,33.04,0.0,0.0
2018-09-09,33.23,33.23,33.23,0.0,0.0,33.5,33.5,33.5,0.0,0.0,33.23,33.23,33.23,0.0,0.0,33.27,33.27,33.27,0.0,0.0
2018-09-16,33.4,33.4,33.4,0.0,0.0,33.45,33.45,33.45,0.0,0.0,33.1,33.1,33.1,0.0,0.0,33.15,33.15,33.15,0.0,0.0
2018-09-23,32.56,32.56,32.56,0.0,0.0,32.64,32.64,32.64,0.0,0.0,32.48,32.48,32.48,0.0,0.0,32.6,32.6,32.6,0.0,0.0
2018-09-30,32.36,32.36,32.36,0.0,0.0,32.6,32.6,32.6,0.0,0.0,32.3,32.3,32.3,0.0,0.0,32.56,32.56,32.56,0.0,0.0
2018-10-07,34.6,34.6,34.6,0.0,0.0,34.93,34.93,34.93,0.0,0.0,34.5,34.5,34.5,0.0,0.0,34.53,34.53,34.53,0.0,0.0
2018-10-14,34.28,34.28,34.28,0.0,0.0,34.38,34.38,34.38,0.0,0.0,34.2,34.2,34.2,0.0,0.0,34.34,34.34,34.34,0.0,0.0
2018-10-21,34.79,34.79,34.79,0.0,0.0,34.79,34.79,34.79,0.0,0.0,34.38,34.38,34.38,0.0,0.0,34.66,34.66,34.66,0.0,0.0
2018-10-28,34.6,34.6,34.6,0.0,0.0,34.81,34.81,34.81,0.0,0.0,34.59,34.59,34.59,0.0,0.0,34.72,34.72,34.72,0.0,0.0
2018-11-04,33.23,33.23,33.23,0.0,0.0,33.28,33.28,33.28,0.0,0.0,33.0,33.0,33.0,0.0,0.0,33.03,33.03,33.03,0.0,0.0
2018-11-11,34.06,34.06,34.06,0.0,0.0,34.32,34.32,34.32,0.0,0.0,34.02,34.02,34.02,0.0,0.0,34.23,34.23,34.23,0.0,0.0
2018-11-18,34.25,34.25,34.25,0.0,0.0,34.25,34.25,34.25,0.0,0.0,34.11,34.11,34.11,0.0,0.0,34.16,34.16,34.16,0.0,0.0
2018-11-25,34.75,34.75,34.75,0.0,0.0,34.79,34.79,34.79,0.0,0.0,34.54,34.54,34.54,0.0,0.0,34.58,34.58,34.58,0.0,0.0
2018-12-02,35.36,35.36,35.36,0.0,0.0,35.45,35.45,35.45,0.0,0.0,35.2,35.2,35.2,0.0,0.0,35.31,35.31,35.31,0.0,0.0
2018-12-09,35.07,35.07,35.07,0.0,0.0,35.44,35.44,35.44,0.0,0.0,35.07,35.07,35.07,0.0,0.0,35.34,35.34,35.34,0.0,0.0
2018-12-16,36.4,36.4,36.4,0.0,0.0,36.66,36.66,36.66,0.0,0.0,36.15,36.15,36.15,0.0,0.0,36.61,36.61,36.61,0.0,0.0
2018-12-23,37.23,37.23,37.23,0.0,0.0,37.41,37.41,37.41,0.0,0.0,37.16,37.16,37.16,0.0,0.0,37.41,37.41,37.41,0.0,0.0
2018-12-30,37.78,37.78,37.78,0.0,0.0,37.93,37.93,37.93,0.0,0.0,37.51,37.51,37.51,0.0,0.0,37.62,37.62,37.62,0.0,0.0
2019-01-06,37.78,37.78,37.78,0.0,0.0,37.8,37.8,37.8,0.0,0.0,37.66,37.66,37.66,0.0,0.0,37.73,37.73,37.73,0.0,0.0
2019-01-13,37.15,37.15,37.15,0.0,0.0,37.3,37.3,37.3,0.0,0.0,37.0,37.0,37.0,0.0,0.0,37.03,37.03,37.03,0.0,0.0
2019-01-20,38.06,38.06,38.06,0.0,0.0,38.38,38.38,38.38,0.0,0.0,38.04,38.04,38.04,0.0,0.0,38.38,38.38,38.38,0.0,0.0
2019-01-27,38.79,38.79,38.79,0.0,0.0,38.96,38.96,38.96,0.0,0.0,38.7,38.7,38.7,0.0,0.0,38.78,38.78,38.78,0.0,0.0
2019-02-03,38.23,38.23,38.23,0.0,0.0,38.6,38.6,38.6,0.0,0.0,38.23,38.23,38.23,0.0,0.0,38.53,38.53,38.53,0.0,0.0
2019-02-10,39.12,39.12,39.12,0.0,0.0,39.33,39.33,39.33,0.0,0.0,38.85,38.85,38.85,0.0,0.0,39.25,39.25,39.25,0.0,0.0
2019-02-17,39.79,39.79,39.79,0.0,0.0,39.87,39.87,39.87,0.0,0.0,39.47,39.47,39.47,0.0,0.0,39.54,39.54,39.54,0.0,0.0
2019-02-24,37.07,37.07,37.07,0.0,0.0,37.22,37.22,37.22,0.0,0.0,36.87,36.87,36.87,0.0,0.0,37.1,37.1,37.1,0.0,0.0
2019-03-03,37.64,37.64,37.64,0.0,0.0,37.64,37.64,37.64,0.0,0.0,37.28,37.28,37.28,0.0,0.0,37.43,37.43,37.43,0.0,0.0
2019-03-10,38.08,38.08,38.08,0.0,0.0,38.13,38.13,38.13,0.0,0.0,37.84,37.84,37.84,0.0,0.0,37.93,37.93,37.93,0.0,0.0
2019-03-17,38.88,38.88,38.88,0.0,0.0,39.21,39.21,39.21,0.0,0.0,38.82,38.82,38.82,0.0,0.0,39.07,39.07,39.07,0.0,0.0
2019-03-24,37.43,37.43,37.43,0.0,0.0,37.46,37.46,37.46,0.0,0.0,36.93,36.93,36.93,0.0,0.0,36.94,36.94,36.94,0.0,0.0
2019-03-31,37.77,37.77,37.77,0.0,0.0,37.77,37.77,37.77,0.0,0.0,37.45,37.45,37.45,0.0,0.0,37.52,37.52,37.52,0.0,0.0
2019-04-07,36.6,36.6,36.6,0.0,0.0,37.0,37.0,37.0,0.0,0.0,36.56,36.56,36.56,0.0,0.0,36.89,36.89,36.89,0.0,0.0
2019-04-14,36.12,36.12,36.12,0.0,0.0,36.15,36.15,36.15,0.0,0.0,36.05,36.05,36.05,0.0,0.0,36.08,36.08,36.08,0.0,0.0
2019-04-21,36.34,36.34,36.34,0.0,0.0,36.39,36.39,36.39,0.0,0.0,36.27,36.27,36.27,0.0,0.0,36.37,36.37,36.37,0.0,0.0
2019-04-28,36.18,36.18,36.18,0.0,0.0,36.45,36.45,36.45,0.0,0.0,36.17,36.17,36.17,0.0,0.0,36.33,36.33,36.33,0.0,0.0
2019-05-05,37.39,37.39,37.39,0.0,0.0,37.51,37.51,37.51,0.0,0.0,37.2,37.2,37.2,0.0,0.0,37.43,37.43,37.43,0.0,0.0
2019-05-12,36.1,36.1,36.1,0.0,0.0,36.13,36.13,36.13,0.0,0.0,36.01,36.01,36.01,0.0,0.0,36.12,36.12,36.12,0.0,0.0
2019-05-19,36.43,36.43,36.43,0.0,0.0,36.5,36.5,36.5,0.0,0.0,36.29,36.29,36.29,0.0,0.0,36.48,36.48,36.48,0.0,0.0
2019-05-26,38.16,38.16,38.16,0.0,0.0,38.97,38.97,38.97,0.0,0.0,38.1,38.1,38.1,0.0,0.0,38.8,38.8,38.8,0.0,0.0
2019-06-02,38.98,38.98,38.98,0.0,0.0,39.01,39.01,39.01,0.0,0.0,38.73,38.73,38.73,0.0,0.0,38.9,38.9,38.9,0.0,0.0
2019-06-09,39.74,39.74,39.74,0.0,0.0,39.77,39.77,39.77,0.0,0.0,39.44,39.44,39.44,0.0,0.0,39.57,39.57,39.57,0.0,0.0
2019-06-16,43.59,43.59,43.59,0.0,0.0,44.37,44.37,44.37,0.0,0.0,43.47,43.47,43.47,0.0,0.0,44.34,44.34,44.34,0.0,0.0
2019-06-23,42.75,42.75,42.75,0.0,0.0,42.85,42.85,42.85,0.0,0.0,42.12,42.12,42.12,0.0,0.0,42.13,42.13,42.13,0.0,0.0
2019-06-30,43.13,43.13,43.13,0.0,0.0,43.2,43.2,43.2,0.0,0.0,42.53,42.53,42.53,0.0,0.0,42.56,42.56,42.56,0.0,0.0
2019-07-07,43.76,43.76,43.76,0.0,0.0,43.96,43.96,43.96,0.0,0.0,43.49,43.49,43.49,0.0,0.0,43.96,43.96,43.96,0.0,0.0
2019-07-14,44.56,44.56,44.56,0.0,0.0,44.75,44.75,44.75,0.0,0.0,44.44,44.44,44.44,0.0,0.0,44.5,44.5,44.5,0.0,0.0
2019-07-21,44.22,44.22,44.22,0.0,0.0,44.63,44.63,44.63,0.0,0.0,43.93,43.93,43.93,0.0,0.0,44.51,44.51,44.51,0.0,0.0
2019-07-28,46.75,46.75,46.75,0.0,0.0,47.22,47.22,47.22,0.0,0.0,46.21,46.21,46.21,0.0,0.0,46.65,46.65,46.65,0.0,0.0
2019-08-04,49.2,49.2,49.2,0.0,0.0,50.39,50.39,50.39,0.0,0.0,49.2,49.2,49.2,0.0,0.0,49.94,49.94,49.94,0.0,0.0
2019-08-11,48.88,48.88,48.88,0.0,0.0,49.19,49.19,49.19,0.0,0.0,48.59,48.59,48.59,0.0,0.0,48.74,48.74,48.74,0.0,0.0
2019-08-18,51.0,51.0,51.0,0.0,0.0,51.44,51.44,51.44,0.0,0.0,50.69,50.69,50.69,0.0,0.0,50.87,50.87,50.87,0.0,0.0
2019-08-25,50.59,50.59,50.59,0.0,0.0,50.97,50.97,50.97,0.0,0.0,50.02,50.02,50.02,0.0,0.0,50.5,50.5,50.5,0.0,0.0
2019-09-01,49.5,49.5,49.5,0.0,0.0,49.5,49.5,49.5,0.0,0.0,48.66,48.66,48.66,0.0,0.0,48.82,48.82,48.82,0.0,0.0
2019-09-08,48.9,48.9,48.9,0.0,0.0,49.14,49.14,49.14,0.0,0.0,48.52,48.52,48.52,0.0,0.0,48.71,48.71,48.71,0.0,0.0
2019-09-15,50.1,50.1,50.1,0.0,0.0,50.57,50.57,50.57,0.0,0.0,49.91,49.91,49.91,0.0,0.0,50.38,50.38,50.38,0.0,0.0
2019-09-22,47.61,47.61,47.61,0.0,0.0,47.85,47.85,47.85,0.0,0.0,46.38,46.38,46.38,0.0,0.0,46.94,46.94,46.94,0.0,0.0
2019-09-29,48.43,48.43,48.43,0.0,0.0,48.87,48.87,48.87,0.0,0.0,47.82,47.82,47.82,0.0,0.0,48.11,48.11,48.11,0.0,0.0
2019-10-06,47.87,47.87,47.87,0.0,0.0,48.11,48.11,48.11,0.0,0.0,47.85,47.85,47.85,0.0,0.0,48.0,48.0,48.0,0.0,0.0
2019-10-13,48.04,48.04,48.04,0.0,0.0,48.04,48.04,48.04,0.0,0.0,47.25,47.25,47.25,0.0,0.0,47.37,47.37,47.37,0.0,0.0
2019-10-20,48.34,48.34,48.34,0.0,0.0,48.34,48.34,48.34,0.0,0.0,47.76,47.76,47.76,0.0,0.0,47.92,47.92,47.92,0.0,0.0
2019-10-27,49.02,49.02,49.02,0.0,0.0,49.13,49.13,49.13,0.0,0.0,48.68,48.68,48.68,0.0,0.0,48.92,48.92,48.92,0.0,0.0
2019-11-03,45.74,45.74,45.74,0.0,0.0,45.86,45.86,45.86,0.0,0.0,44.95,44.95,44.95,0.0,0.0,45.39,45.39,45.39,0.0,0.0
2019-11-10,46.25,46.25,46.25,0.0,0.0,46.5,46.5,46.5,0.0,0.0,46.17,46.17,46.17,0.0,0.0,46.39,46.39,46.39,0.0,0.0
2019-11-17,45.48,45.48,45.48,0.0,0.0,45.67,45.67,45.67,0.0,0.0,45.31,45.31,45.31,0.0,0.0,45.35,45.35,45.35,0.0,0.0
2019-11-24,45.49,45.49,45.49,0.0,0.0,45.92,45.92,45.92,0.0,0.0,45.45,45.45,45.45,0.0,0.0,45.78,45.78,45.78,0.0,0.0
2019-12-01,45.67,45.67,45.67,0.0,0.0,45.7,45.7,45.7,0.0,0.0,45.45,45.45,45.45,0.0,0.0,45.55,45.55,45.55,0.0,0.0
2019-12-08,46.6,46.6,46.6,0.0,0.0,46.68,46.68,46.68,0.0,0.0,46.37,46.37,46.37,0.0,0.0,46.53,46.53,46.53,0.0,0.0
2019-12-15,46.82,46.82,46.82,0.0,0.0,47.09,47.09,47.09,0.0,0.0,46.82,46.82,46.82,0.0,0.0,47.06,47.06,47.06,0.0,0.0
2019-12-22,48.82,48.82,48.82,0.0,0.0,48.95,48.95,48.95,0.0,0.0,48.77,48.77,48.77,0.0,0.0,48.86,48.86,48.86,0.0,0.0
2019-12-29,50.96,50.96,50.96,0.0,0.0,51.35,51.35,51.35,0.0,0.0,50.75,50.75,50.75,0.0,0.0,51.05,51.05,51.05,0.0,0.0
