Date,Reality Shares Divcon Leaders Dividend_Open_average,Reality Shares Divcon Leaders Dividend_Open_max,Reality Shares Divcon Leaders Dividend_Open_min,Reality Shares Divcon Leaders Dividend_Open_volatility,Reality Shares Divcon Leaders Dividend_Open_change,Reality Shares Divcon Leaders Dividend_High_average,Reality Shares Divcon Leaders Dividend_High_max,Reality Shares Divcon Leaders Dividend_High_min,Reality Shares Divcon Leaders Dividend_High_volatility,Reality Shares Divcon Leaders Dividend_High_change,Reality Shares Divcon Leaders Dividend_Low_average,Reality Shares Divcon Leaders Dividend_Low_max,Reality Shares Divcon Leaders Dividend_Low_min,Reality Shares Divcon Leaders Dividend_Low_volatility,Reality Shares Divcon Leaders Dividend_Low_change,Reality Shares Divcon Leaders Dividend_Close_average,Reality Shares Divcon Leaders Dividend_Close_max,Reality Shares Divcon Leaders Dividend_Close_min,Reality Shares Divcon Leaders Dividend_Close_volatility,Reality Shares Divcon Leaders Dividend_Close_change
2018-07-08,33.15,33.15,33.15,0.0,0.0,33.15,33.15,33.15,0.0,0.0,33.03,33.03,33.03,0.0,0.0,33.03,33.03,33.03,0.0,0.0
2018-07-15,33.17,33.17,33.17,0.0,0.0,33.27,33.27,33.27,0.0,0.0,33.17,33.17,33.17,0.0,0.0,33.19,33.19,33.19,0.0,0.0
2018-07-22,33.28,33.28,33.28,0.0,0.0,33.28,33.28,33.28,0.0,0.0,33.07,33.07,33.07,0.0,0.0,33.07,33.07,33.07,0.0,0.0
2018-07-29,33.46,33.46,33.46,0.0,0.0,33.54,33.54,33.54,0.0,0.0,33.36,33.36,33.36,0.0,0.0,33.48,33.48,33.48,0.0,0.0
2018-08-05,33.34,33.34,33.34,0.0,0.0,33.34,33.34,33.34,0.0,0.0,32.96,32.96,32.96,0.0,0.0,33.11,33.11,33.11,0.0,0.0
2018-08-12,33.6,33.6,33.6,0.0,0.0,33.6,33.6,33.6,0.0,0.0,33.5,33.5,33.5,0.0,0.0,33.5,33.5,33.5,0.0,0.0
2018-08-19,33.93,33.93,33.93,0.0,0.0,34.16,34.16,34.16,0.0,0.0,33.93,33.93,33.93,0.0,0.0,34.16,34.16,34.16,0.0,0.0
2018-08-26,34.25,34.25,34.25,0.0,0.0,34.25,34.25,34.25,0.0,0.0,34.05,34.05,34.05,0.0,0.0,34.06,34.06,34.06,0.0,0.0
2018-09-02,34.23,34.23,34.23,0.0,0.0,34.28,34.28,34.28,0.0,0.0,34.21,34.21,34.21,0.0,0.0,34.24,34.24,34.24,0.0,0.0
2018-09-09,34.6,34.6,34.6,0.0,0.0,34.6,34.6,34.6,0.0,0.0,34.42,34.42,34.42,0.0,0.0,34.55,34.55,34.55,0.0,0.0
2018-09-16,34.78,34.78,34.78,0.0,0.0,34.78,34.78,34.78,0.0,0.0,34.53,34.53,34.53,0.0,0.0,34.59,34.59,34.59,0.0,0.0
2018-09-23,34.6,34.6,34.6,0.0,0.0,34.62,34.62,34.62,0.0,0.0,34.43,34.43,34.43,0.0,0.0,34.43,34.43,34.43,0.0,0.0
2018-09-30,33.41,33.41,33.41,0.0,0.0,33.41,33.41,33.41,0.0,0.0,33.31,33.31,33.31,0.0,0.0,33.36,33.36,33.36,0.0,0.0
2018-10-07,32.4,32.4,32.4,0.0,0.0,32.4,32.4,32.4,0.0,0.0,31.92,31.92,31.92,0.0,0.0,32.1,32.1,32.1,0.0,0.0
2018-10-14,31.89,31.89,31.89,0.0,0.0,32.04,32.04,32.04,0.0,0.0,31.8,31.8,31.8,0.0,0.0,32.04,32.04,32.04,0.0,0.0
2018-10-21,31.16,31.16,31.16,0.0,0.0,31.44,31.44,31.44,0.0,0.0,30.48,30.48,30.48,0.0,0.0,30.48,30.48,30.48,0.0,0.0
2018-10-28,31.98,31.98,31.98,0.0,0.0,32.09,32.09,32.09,0.0,0.0,31.92,31.92,31.92,0.0,0.0,31.92,31.92,31.92,0.0,0.0
2018-11-04,32.67,32.67,32.67,0.0,0.0,32.67,32.67,32.67,0.0,0.0,32.14,32.14,32.14,0.0,0.0,32.14,32.14,32.14,0.0,0.0
2018-11-11,31.84,31.84,31.84,0.0,0.0,32.05,32.05,32.05,0.0,0.0,31.46,31.46,31.46,0.0,0.0,31.51,31.51,31.51,0.0,0.0
2018-11-18,31.4,31.4,31.4,0.0,0.0,31.56,31.56,31.56,0.0,0.0,31.26,31.26,31.26,0.0,0.0,31.56,31.56,31.56,0.0,0.0
2018-11-25,32.83,32.83,32.83,0.0,0.0,32.87,32.87,32.87,0.0,0.0,32.67,32.67,32.67,0.0,0.0,32.73,32.73,32.73,0.0,0.0
2018-12-02,30.55,30.55,30.55,0.0,0.0,30.83,30.83,30.83,0.0,0.0,30.32,30.32,30.32,0.0,0.0,30.83,30.83,30.83,0.0,0.0
2018-12-09,30.16,30.16,30.16,0.0,0.0,30.16,30.16,30.16,0.0,0.0,29.68,29.68,29.68,0.0,0.0,29.76,29.76,29.76,0.0,0.0
2018-12-16,28.01,28.01,28.01,0.0,0.0,28.31,28.31,28.31,0.0,0.0,27.76,27.76,27.76,0.0,0.0,27.76,27.76,27.76,0.0,0.0
2018-12-23,29.42,29.42,29.42,0.0,0.0,29.49,29.49,29.49,0.0,0.0,29.27,29.27,29.27,0.0,0.0,29.44,29.44,29.44,0.0,0.0
2018-12-30,29.67,29.67,29.67,0.0,0.0,30.1,30.1,30.1,0.0,0.0,29.67,29.67,29.67,0.0,0.0,29.98,29.98,29.98,0.0,0.0
2019-01-06,30.67,30.67,30.67,0.0,0.0,30.71,30.71,30.71,0.0,0.0,30.58,30.58,30.58,0.0,0.0,30.68,30.68,30.68,0.0,0.0
2019-01-13,31.38,31.38,31.38,0.0,0.0,31.92,31.92,31.92,0.0,0.0,31.38,31.38,31.38,0.0,0.0,31.92,31.92,31.92,0.0,0.0
2019-01-20,31.4,31.4,31.4,0.0,0.0,31.78,31.78,31.78,0.0,0.0,31.4,31.4,31.4,0.0,0.0,31.78,31.78,31.78,0.0,0.0
2019-01-27,32.44,32.44,32.44,0.0,0.0,32.44,32.44,32.44,0.0,0.0,32.25,32.25,32.25,0.0,0.0,32.44,32.44,32.44,0.0,0.0
2019-02-03,32.6,32.6,32.6,0.0,0.0,32.6,32.6,32.6,0.0,0.0,32.54,32.54,32.54,0.0,0.0,32.6,32.6,32.6,0.0,0.0
2019-02-10,33.6,33.6,33.6,0.0,0.0,33.6,33.6,33.6,0.0,0.0,33.36,33.36,33.36,0.0,0.0,33.45,33.45,33.45,0.0,0.0
2019-02-17,33.93,33.93,33.93,0.0,0.0,33.93,33.93,33.93,0.0,0.0,33.64,33.64,33.64,0.0,0.0,33.64,33.64,33.64,0.0,0.0
2019-02-24,33.51,33.51,33.51,0.0,0.0,33.51,33.51,33.51,0.0,0.0,33.51,33.51,33.51,0.0,0.0,33.51,33.51,33.51,0.0,0.0
2019-03-03,32.42,32.42,32.42,0.0,0.0,33.18,33.18,33.18,0.0,0.0,32.42,32.42,32.42,0.0,0.0,33.18,33.18,33.18,0.0,0.0
2019-03-10,33.61,33.61,33.61,0.0,0.0,33.85,33.85,33.85,0.0,0.0,33.61,33.61,33.61,0.0,0.0,33.8,33.8,33.8,0.0,0.0
2019-03-17,32.84,32.84,32.84,0.0,0.0,32.98,32.98,32.98,0.0,0.0,32.84,32.84,32.84,0.0,0.0,32.92,32.92,32.92,0.0,0.0
2019-03-24,33.8,33.8,33.8,0.0,0.0,34.1,34.1,34.1,0.0,0.0,33.79,33.79,33.79,0.0,0.0,34.07,34.07,34.07,0.0,0.0
2019-03-31,34.52,34.52,34.52,0.0,0.0,34.72,34.72,34.72,0.0,0.0,34.52,34.52,34.52,0.0,0.0,34.71,34.71,34.71,0.0,0.0
2019-04-07,35.01,35.01,35.01,0.0,0.0,35.07,35.07,35.07,0.0,0.0,34.93,34.93,34.93,0.0,0.0,35.03,35.03,35.03,0.0,0.0
2019-04-14,35.17,35.17,35.17,0.0,0.0,35.2,35.2,35.2,0.0,0.0,35.03,35.03,35.03,0.0,0.0,35.03,35.03,35.03,0.0,0.0
2019-04-21,35.22,35.22,35.22,0.0,0.0,35.3,35.3,35.3,0.0,0.0,35.19,35.19,35.19,0.0,0.0,35.28,35.28,35.28,0.0,0.0
2019-04-28,34.71,34.71,34.71,0.0,0.0,35.07,35.07,35.07,0.0,0.0,34.71,34.71,34.71,0.0,0.0,35.07,35.07,35.07,0.0,0.0
2019-05-05,33.5,33.5,33.5,0.0,0.0,33.55,33.55,33.55,0.0,0.0,33.37,33.37,33.37,0.0,0.0,33.38,33.38,33.38,0.0,0.0
2019-05-12,33.7,33.7,33.7,0.0,0.0,33.74,33.74,33.74,0.0,0.0,33.63,33.63,33.63,0.0,0.0,33.74,33.74,33.74,0.0,0.0
2019-05-19,33.38,33.38,33.38,0.0,0.0,33.38,33.38,33.38,0.0,0.0,33.26,33.26,33.26,0.0,0.0,33.32,33.32,33.32,0.0,0.0
2019-05-26,32.54,32.54,32.54,0.0,0.0,32.78,32.78,32.78,0.0,0.0,32.35,32.35,32.35,0.0,0.0,32.36,32.36,32.36,0.0,0.0
2019-06-02,34.64,34.64,34.64,0.0,0.0,34.67,34.67,34.67,0.0,0.0,34.52,34.52,34.52,0.0,0.0,34.52,34.52,34.52,0.0,0.0
2019-06-09,34.2,34.2,34.2,0.0,0.0,34.29,34.29,34.29,0.0,0.0,34.1,34.1,34.1,0.0,0.0,34.1,34.1,34.1,0.0,0.0
2019-06-16,34.83,34.83,34.83,0.0,0.0,34.88,34.88,34.88,0.0,0.0,34.72,34.72,34.72,0.0,0.0,34.78,34.78,34.78,0.0,0.0
2019-06-23,35.13,35.13,35.13,0.0,0.0,35.21,35.21,35.21,0.0,0.0,35.08,35.08,35.08,0.0,0.0,35.21,35.21,35.21,0.0,0.0
2019-06-30,35.17,35.17,35.17,0.0,0.0,35.17,35.17,35.17,0.0,0.0,34.96,34.96,34.96,0.0,0.0,35.04,35.04,35.04,0.0,0.0
2019-07-07,36.01,36.01,36.01,0.0,0.0,36.01,36.01,36.01,0.0,0.0,35.72,35.72,35.72,0.0,0.0,35.74,35.74,35.74,0.0,0.0
2019-07-14,35.66,35.66,35.66,0.0,0.0,35.66,35.66,35.66,0.0,0.0,35.45,35.45,35.45,0.0,0.0,35.53,35.53,35.53,0.0,0.0
2019-07-21,36.06,36.06,36.06,0.0,0.0,36.09,36.09,36.09,0.0,0.0,36.01,36.01,36.01,0.0,0.0,36.02,36.02,36.02,0.0,0.0
2019-07-28,34.57,34.57,34.57,0.0,0.0,34.57,34.57,34.57,0.0,0.0,33.43,33.43,33.43,0.0,0.0,33.54,33.54,33.54,0.0,0.0
2019-08-04,34.1,34.1,34.1,0.0,0.0,34.21,34.21,34.21,0.0,0.0,33.81,33.81,33.81,0.0,0.0,33.91,33.91,33.91,0.0,0.0
2019-08-11,34.57,34.57,34.57,0.0,0.0,34.7,34.7,34.7,0.0,0.0,34.57,34.57,34.57,0.0,0.0,34.7,34.7,34.7,0.0,0.0
2019-08-18,34.03,34.03,34.03,0.0,0.0,34.03,34.03,34.03,0.0,0.0,33.95,33.95,33.95,0.0,0.0,34.01,34.01,34.01,0.0,0.0
2019-08-25,34.94,34.94,34.94,0.0,0.0,34.95,34.95,34.95,0.0,0.0,34.72,34.72,34.72,0.0,0.0,34.83,34.83,34.83,0.0,0.0
2019-09-01,35.78,35.78,35.78,0.0,0.0,35.79,35.79,35.79,0.0,0.0,35.61,35.61,35.61,0.0,0.0,35.74,35.74,35.74,0.0,0.0
2019-09-08,35.86,35.86,35.86,0.0,0.0,35.9,35.9,35.9,0.0,0.0,35.81,35.81,35.81,0.0,0.0,35.83,35.83,35.83,0.0,0.0
2019-09-15,35.56,35.56,35.56,0.0,0.0,35.63,35.63,35.63,0.0,0.0,35.54,35.54,35.54,0.0,0.0,35.63,35.63,35.63,0.0,0.0
2019-09-22,35.48,35.48,35.48,0.0,0.0,35.48,35.48,35.48,0.0,0.0,35.38,35.38,35.38,0.0,0.0,35.47,35.47,35.47,0.0,0.0
2019-09-29,34.92,34.92,34.92,0.0,0.0,34.92,34.92,34.92,0.0,0.0,34.86,34.86,34.86,0.0,0.0,34.86,34.86,34.86,0.0,0.0
2019-10-06,35.53,35.53,35.53,0.0,0.0,35.53,35.53,35.53,0.0,0.0,35.47,35.47,35.47,0.0,0.0,35.47,35.47,35.47,0.0,0.0
2019-10-13,35.92,35.92,35.92,0.0,0.0,35.92,35.92,35.92,0.0,0.0,35.9,35.9,35.9,0.0,0.0,35.92,35.92,35.92,0.0,0.0
2019-10-20,36.63,36.63,36.63,0.0,0.0,36.63,36.63,36.63,0.0,0.0,36.08,36.08,36.08,0.0,0.0,36.52,36.52,36.52,0.0,0.0
2019-10-27,36.98,36.98,36.98,0.0,0.0,37.06,37.06,37.06,0.0,0.0,36.88,36.88,36.88,0.0,0.0,37.06,37.06,37.06,0.0,0.0
2019-11-03,37.0,37.0,37.0,0.0,0.0,37.22,37.22,37.22,0.0,0.0,37.0,37.0,37.0,0.0,0.0,37.22,37.22,37.22,0.0,0.0
2019-11-10,37.56,37.56,37.56,0.0,0.0,37.62,37.62,37.62,0.0,0.0,37.56,37.56,37.56,0.0,0.0,37.62,37.62,37.62,0.0,0.0
2019-11-17,37.78,37.78,37.78,0.0,0.0,37.9,37.9,37.9,0.0,0.0,37.78,37.78,37.78,0.0,0.0,37.9,37.9,37.9,0.0,0.0
2019-11-24,37.51,37.51,37.51,0.0,0.0,37.7,37.7,37.7,0.0,0.0,37.01,37.01,37.01,0.0,0.0,37.57,37.57,37.57,0.0,0.0
2019-12-01,37.99,37.99,37.99,0.0,0.0,38.02,38.02,38.02,0.0,0.0,37.9,37.9,37.9,0.0,0.0,37.9,37.9,37.9,0.0,0.0
2019-12-08,38.75,38.75,38.75,0.0,0.0,38.75,38.75,38.75,0.0,0.0,38.68,38.68,38.68,0.0,0.0,38.68,38.68,38.68,0.0,0.0
2019-12-15,39.0,39.0,39.0,0.0,0.0,39.06,39.06,39.06,0.0,0.0,38.97,38.97,38.97,0.0,0.0,38.97,38.97,38.97,0.0,0.0
2019-12-22,38.81,38.81,38.81,0.0,0.0,38.9,38.9,38.9,0.0,0.0,38.79,38.79,38.79,0.0,0.0,38.79,38.79,38.79,0.0,0.0
2019-12-29,38.96,38.96,38.96,0.0,0.0,39.05,39.05,39.05,0.0,0.0,38.96,38.96,38.96,0.0,0.0,39.01,39.01,39.01,0.0,0.0
