Date,ProShares Ultra Oil & Gas_Open_average,ProShares Ultra Oil & Gas_Open_max,ProShares Ultra Oil & Gas_Open_min,ProShares Ultra Oil & Gas_Open_volatility,ProShares Ultra Oil & Gas_Open_change,ProShares Ultra Oil & Gas_High_average,ProShares Ultra Oil & Gas_High_max,ProShares Ultra Oil & Gas_High_min,ProShares Ultra Oil & Gas_High_volatility,ProShares Ultra Oil & Gas_High_change,ProShares Ultra Oil & Gas_Low_average,ProShares Ultra Oil & Gas_Low_max,ProShares Ultra Oil & Gas_Low_min,ProShares Ultra Oil & Gas_Low_volatility,ProShares Ultra Oil & Gas_Low_change,ProShares Ultra Oil & Gas_Close_average,ProShares Ultra Oil & Gas_Close_max,ProShares Ultra Oil & Gas_Close_min,ProShares Ultra Oil & Gas_Close_volatility,ProShares Ultra Oil & Gas_Close_change
2018-04-15,400.6,400.6,400.6,0.0,0.0,407.6,407.6,407.6,0.0,0.0,395.9,395.9,395.9,0.0,0.0,407.4,407.4,407.4,0.0,0.0
2018-04-22,407.3,407.3,407.3,0.0,0.0,416.2,416.2,416.2,0.0,0.0,407.3,407.3,407.3,0.0,0.0,407.3,407.3,407.3,0.0,0.0
2018-04-29,415.9,415.9,415.9,0.0,0.0,427.95,427.95,427.95,0.0,0.0,408.8,408.8,408.8,0.0,0.0,410.6,410.6,410.6,0.0,0.0
2018-05-06,443.8,443.8,443.8,0.0,0.0,450.0,450.0,450.0,0.0,0.0,443.8,443.8,443.8,0.0,0.0,447.1,447.1,447.1,0.0,0.0
2018-05-13,462.1,462.1,462.1,0.0,0.0,467.9,467.9,467.9,0.0,0.0,459.9,459.9,459.9,0.0,0.0,467.3,467.3,467.3,0.0,0.0
2018-05-20,422.4,422.4,422.4,0.0,0.0,424.15,424.15,424.15,0.0,0.0,407.2,407.2,407.2,0.0,0.0,416.6,416.6,416.6,0.0,0.0
2018-05-27,438.9,438.9,438.9,0.0,0.0,445.0,445.0,445.0,0.0,0.0,425.0,425.0,425.0,0.0,0.0,427.1,427.1,427.1,0.0,0.0
2018-06-03,438.8,438.8,438.8,0.0,0.0,448.3,448.3,448.3,0.0,0.0,438.4,438.4,438.4,0.0,0.0,444.1,444.1,444.1,0.0,0.0
2018-06-10,411.3,411.3,411.3,0.0,0.0,428.2,428.2,428.2,0.0,0.0,410.98,410.98,410.98,0.0,0.0,422.6,422.6,422.6,0.0,0.0
2018-06-17,423.2,423.2,423.2,0.0,0.0,424.0,424.0,424.0,0.0,0.0,403.7,403.7,403.7,0.0,0.0,407.5,407.5,407.5,0.0,0.0
2018-06-24,429.4,429.4,429.4,0.0,0.0,430.6,430.6,430.6,0.0,0.0,417.19,417.19,417.19,0.0,0.0,420.7,420.7,420.7,0.0,0.0
2018-07-01,437.3,437.3,437.3,0.0,0.0,446.9,446.9,446.9,0.0,0.0,437.3,437.3,437.3,0.0,0.0,446.1,446.1,446.1,0.0,0.0
2018-07-08,428.2,428.2,428.2,0.0,0.0,431.49,431.49,431.49,0.0,0.0,419.9,419.9,419.9,0.0,0.0,426.7,426.7,426.7,0.0,0.0
2018-07-15,425.3,425.3,425.3,0.0,0.0,425.3,425.3,425.3,0.0,0.0,417.0,417.0,417.0,0.0,0.0,417.3,417.3,417.3,0.0,0.0
2018-07-22,443.6,443.6,443.6,0.0,0.0,448.3,448.3,448.3,0.0,0.0,442.99,442.99,442.99,0.0,0.0,445.7,445.7,445.7,0.0,0.0
2018-07-29,429.3,429.3,429.3,0.0,0.0,431.28,431.28,431.28,0.0,0.0,423.0,423.0,423.0,0.0,0.0,427.9,427.9,427.9,0.0,0.0
2018-08-05,420.9,420.9,420.9,0.0,0.0,424.6,424.6,424.6,0.0,0.0,412.31,412.31,412.31,0.0,0.0,412.8,412.8,412.8,0.0,0.0
2018-08-12,394.4,394.4,394.4,0.0,0.0,401.7,401.7,401.7,0.0,0.0,394.07,394.07,394.07,0.0,0.0,398.5,398.5,398.5,0.0,0.0
2018-08-19,417.8,417.8,417.8,0.0,0.0,423.1,423.1,423.1,0.0,0.0,417.4,417.4,417.4,0.0,0.0,422.1,422.1,422.1,0.0,0.0
2018-08-26,417.0,417.0,417.0,0.0,0.0,417.0,417.0,417.0,0.0,0.0,411.13,411.13,411.13,0.0,0.0,414.5,414.5,414.5,0.0,0.0
2018-09-02,398.6,398.6,398.6,0.0,0.0,400.5,400.5,400.5,0.0,0.0,393.4,393.4,393.4,0.0,0.0,393.4,393.4,393.4,0.0,0.0
2018-09-09,412.9,412.9,412.9,0.0,0.0,416.32,416.32,416.32,0.0,0.0,409.8,409.8,409.8,0.0,0.0,410.3,410.3,410.3,0.0,0.0
2018-09-16,432.6,432.6,432.6,0.0,0.0,443.0,443.0,443.0,0.0,0.0,432.6,432.6,432.6,0.0,0.0,439.6,439.6,439.6,0.0,0.0
2018-09-23,437.3,437.3,437.3,0.0,0.0,448.64,448.64,448.64,0.0,0.0,437.3,437.3,437.3,0.0,0.0,445.9,445.9,445.9,0.0,0.0
2018-09-30,444.0,444.0,444.0,0.0,0.0,449.8,449.8,449.8,0.0,0.0,439.0,439.0,439.0,0.0,0.0,448.5,448.5,448.5,0.0,0.0
2018-10-07,402.4,402.4,402.4,0.0,0.0,405.1,405.1,405.1,0.0,0.0,396.1,396.1,396.1,0.0,0.0,396.3,396.3,396.3,0.0,0.0
2018-10-14,385.5,385.5,385.5,0.0,0.0,387.0,387.0,387.0,0.0,0.0,372.8,372.8,372.8,0.0,0.0,376.8,376.8,376.8,0.0,0.0
2018-10-21,333.6,333.6,333.6,0.0,0.0,335.2,335.2,335.2,0.0,0.0,308.0,308.0,308.0,0.0,0.0,316.1,316.1,316.1,0.0,0.0
2018-10-28,345.4,345.4,345.4,0.0,0.0,353.0,353.0,353.0,0.0,0.0,345.1,345.1,345.1,0.0,0.0,350.5,350.5,350.5,0.0,0.0
2018-11-04,349.6,349.6,349.6,0.0,0.0,353.3,353.3,353.3,0.0,0.0,329.7,329.7,329.7,0.0,0.0,330.8,330.8,330.8,0.0,0.0
2018-11-11,325.9,325.9,325.9,0.0,0.0,332.34,332.34,332.34,0.0,0.0,324.2,324.2,324.2,0.0,0.0,330.1,330.1,330.1,0.0,0.0
2018-11-18,303.2,303.2,303.2,0.0,0.0,310.6,310.6,310.6,0.0,0.0,302.0,302.0,302.0,0.0,0.0,307.0,307.0,307.0,0.0,0.0
2018-11-25,330.8,330.8,330.8,0.0,0.0,334.1,334.1,334.1,0.0,0.0,323.7,323.7,323.7,0.0,0.0,331.1,331.1,331.1,0.0,0.0
2018-12-02,291.1,291.1,291.1,0.0,0.0,294.6,294.6,294.6,0.0,0.0,273.25,273.25,273.25,0.0,0.0,286.5,286.5,286.5,0.0,0.0
2018-12-09,273.3,273.3,273.3,0.0,0.0,278.4,278.4,278.4,0.0,0.0,261.1,261.1,261.1,0.0,0.0,264.7,264.7,264.7,0.0,0.0
2018-12-16,222.0,222.0,222.0,0.0,0.0,223.1,223.1,223.1,0.0,0.0,207.9,207.9,207.9,0.0,0.0,208.5,208.5,208.5,0.0,0.0
2018-12-23,235.0,235.0,235.0,0.0,0.0,236.9,236.9,236.9,0.0,0.0,228.0,228.0,228.0,0.0,0.0,233.3,233.3,233.3,0.0,0.0
2018-12-30,259.8,259.8,259.8,0.0,0.0,267.3,267.3,267.3,0.0,0.0,253.0,253.0,253.0,0.0,0.0,263.9,263.9,263.9,0.0,0.0
2019-01-06,268.8,268.8,268.8,0.0,0.0,275.4,275.4,275.4,0.0,0.0,267.7,267.7,267.7,0.0,0.0,274.0,274.0,274.0,0.0,0.0
2019-01-13,286.7,286.7,286.7,0.0,0.0,290.8,290.8,290.8,0.0,0.0,283.0,283.0,283.0,0.0,0.0,290.3,290.3,290.3,0.0,0.0
2019-01-20,271.5,271.5,271.5,0.0,0.0,275.9,275.9,275.9,0.0,0.0,269.5,269.5,269.5,0.0,0.0,275.9,275.9,275.9,0.0,0.0
2019-01-27,294.8,294.8,294.8,0.0,0.0,299.8,299.8,299.8,0.0,0.0,290.0,290.0,290.0,0.0,0.0,299.8,299.8,299.8,0.0,0.0
2019-02-03,275.5,275.5,275.5,0.0,0.0,282.6,282.6,282.6,0.0,0.0,275.5,275.5,275.5,0.0,0.0,281.9,281.9,281.9,0.0,0.0
2019-02-10,303.8,303.8,303.8,0.0,0.0,308.8,308.8,308.8,0.0,0.0,303.8,303.8,303.8,0.0,0.0,308.5,308.5,308.5,0.0,0.0
2019-02-17,302.4,302.4,302.4,0.0,0.0,307.5,307.5,307.5,0.0,0.0,302.4,302.4,302.4,0.0,0.0,305.3,305.3,305.3,0.0,0.0
2019-02-24,312.4,312.4,312.4,0.0,0.0,314.06,314.06,314.06,0.0,0.0,302.2,302.2,302.2,0.0,0.0,311.5,311.5,311.5,0.0,0.0
2019-03-03,290.1,290.1,290.1,0.0,0.0,296.3,296.3,296.3,0.0,0.0,290.1,290.1,290.1,0.0,0.0,295.4,295.4,295.4,0.0,0.0
2019-03-10,306.4,306.4,306.4,0.0,0.0,315.7,315.7,315.7,0.0,0.0,306.4,306.4,306.4,0.0,0.0,314.6,314.6,314.6,0.0,0.0
2019-03-17,301.7,301.7,301.7,0.0,0.0,304.4,304.4,304.4,0.0,0.0,297.5,297.5,297.5,0.0,0.0,303.5,303.5,303.5,0.0,0.0
2019-03-24,314.0,314.0,314.0,0.0,0.0,318.9,318.9,318.9,0.0,0.0,313.89,313.89,313.89,0.0,0.0,317.8,317.8,317.8,0.0,0.0
2019-03-31,325.0,325.0,325.0,0.0,0.0,328.88,328.88,328.88,0.0,0.0,322.95,322.95,322.95,0.0,0.0,325.6,325.6,325.6,0.0,0.0
2019-04-07,320.4,320.4,320.4,0.0,0.0,322.5,322.5,322.5,0.0,0.0,317.3,317.3,317.3,0.0,0.0,318.1,318.1,318.1,0.0,0.0
2019-04-14,323.6,323.6,323.6,0.0,0.0,332.2,332.2,332.2,0.0,0.0,322.8,322.8,322.8,0.0,0.0,331.2,331.2,331.2,0.0,0.0
2019-04-21,309.9,309.9,309.9,0.0,0.0,310.8,310.8,310.8,0.0,0.0,306.9,306.9,306.9,0.0,0.0,308.1,308.1,308.1,0.0,0.0
2019-04-28,284.0,284.0,284.0,0.0,0.0,291.53,291.53,291.53,0.0,0.0,284.0,284.0,284.0,0.0,0.0,288.9,288.9,288.9,0.0,0.0
2019-05-05,282.0,282.0,282.0,0.0,0.0,284.1,284.1,284.1,0.0,0.0,274.2,274.2,274.2,0.0,0.0,277.4,277.4,277.4,0.0,0.0
2019-05-12,283.3,283.3,283.3,0.0,0.0,286.0,286.0,286.0,0.0,0.0,282.3,282.3,282.3,0.0,0.0,283.6,283.6,283.6,0.0,0.0
2019-05-19,265.8,265.8,265.8,0.0,0.0,266.2,266.2,266.2,0.0,0.0,258.7,258.7,258.7,0.0,0.0,262.6,262.6,262.6,0.0,0.0
2019-05-26,242.8,242.8,242.8,0.0,0.0,247.3,247.3,247.3,0.0,0.0,241.8,241.8,241.8,0.0,0.0,245.9,245.9,245.9,0.0,0.0
2019-06-02,261.0,261.0,261.0,0.0,0.0,264.56,264.56,264.56,0.0,0.0,258.9,258.9,258.9,0.0,0.0,259.5,259.5,259.5,0.0,0.0
2019-06-09,252.6,252.6,252.6,0.0,0.0,260.0,260.0,260.0,0.0,0.0,252.2,252.2,252.2,0.0,0.0,258.9,258.9,258.9,0.0,0.0
2019-06-16,281.0,281.0,281.0,0.0,0.0,281.8,281.8,281.8,0.0,0.0,275.1,275.1,275.1,0.0,0.0,275.6,275.6,275.6,0.0,0.0
2019-06-23,287.5,287.5,287.5,0.0,0.0,289.54,289.54,289.54,0.0,0.0,279.9,279.9,279.9,0.0,0.0,281.2,281.2,281.2,0.0,0.0
2019-06-30,273.2,273.2,273.2,0.0,0.0,278.4,278.4,278.4,0.0,0.0,272.8,272.8,272.8,0.0,0.0,274.9,274.9,274.9,0.0,0.0
2019-07-07,288.0,288.0,288.0,0.0,0.0,288.0,288.0,288.0,0.0,0.0,278.5,278.5,278.5,0.0,0.0,279.4,279.4,279.4,0.0,0.0
2019-07-14,269.2,269.2,269.2,0.0,0.0,272.9,272.9,272.9,0.0,0.0,266.8,266.8,266.8,0.0,0.0,271.4,271.4,271.4,0.0,0.0
2019-07-21,265.5,265.5,265.5,0.0,0.0,265.5,265.5,265.5,0.0,0.0,258.9,258.9,258.9,0.0,0.0,262.9,262.9,262.9,0.0,0.0
2019-07-28,239.6,239.6,239.6,0.0,0.0,239.6,239.6,239.6,0.0,0.0,228.8,228.8,228.8,0.0,0.0,232.1,232.1,232.1,0.0,0.0
2019-08-04,233.4,233.4,233.4,0.0,0.0,234.1,234.1,234.1,0.0,0.0,227.3,227.3,227.3,0.0,0.0,229.4,229.4,229.4,0.0,0.0
2019-08-11,224.5,224.5,224.5,0.0,0.0,229.9,229.9,229.9,0.0,0.0,224.5,224.5,224.5,0.0,0.0,228.4,228.4,228.4,0.0,0.0
2019-08-18,214.2,214.2,214.2,0.0,0.0,215.0,215.0,215.0,0.0,0.0,209.6,209.6,209.6,0.0,0.0,211.0,211.0,211.0,0.0,0.0
2019-08-25,222.4,222.4,222.4,0.0,0.0,226.5,226.5,226.5,0.0,0.0,218.62,218.62,218.62,0.0,0.0,221.2,221.2,221.2,0.0,0.0
2019-09-01,237.6,237.6,237.6,0.0,0.0,244.1,244.1,244.1,0.0,0.0,236.43,236.43,236.43,0.0,0.0,243.2,243.2,243.2,0.0,0.0
2019-09-08,272.6,272.6,272.6,0.0,0.0,272.6,272.6,272.6,0.0,0.0,262.3,262.3,262.3,0.0,0.0,268.9,268.9,268.9,0.0,0.0
2019-09-15,253.4,253.4,253.4,0.0,0.0,257.0,257.0,257.0,0.0,0.0,251.5,251.5,251.5,0.0,0.0,255.6,255.6,255.6,0.0,0.0
2019-09-22,236.7,236.7,236.7,0.0,0.0,239.2,239.2,239.2,0.0,0.0,235.8,235.8,235.8,0.0,0.0,236.3,236.3,236.3,0.0,0.0
2019-09-29,222.6,222.6,222.6,0.0,0.0,223.7,223.7,223.7,0.0,0.0,217.2,217.2,217.2,0.0,0.0,217.2,217.2,217.2,0.0,0.0
2019-10-06,221.4,221.4,221.4,0.0,0.0,225.5,225.5,225.5,0.0,0.0,219.5,219.5,219.5,0.0,0.0,224.3,224.3,224.3,0.0,0.0
2019-10-13,218.2,218.2,218.2,0.0,0.0,225.8,225.8,225.8,0.0,0.0,218.2,218.2,218.2,0.0,0.0,225.8,225.8,225.8,0.0,0.0
2019-10-20,237.9,237.9,237.9,0.0,0.0,240.1,240.1,240.1,0.0,0.0,233.0,233.0,233.0,0.0,0.0,233.3,233.3,233.3,0.0,0.0
2019-10-27,240.4,240.4,240.4,0.0,0.0,250.72,250.72,250.72,0.0,0.0,240.0,240.0,240.0,0.0,0.0,249.8,249.8,249.8,0.0,0.0
2019-11-03,240.2,240.2,240.2,0.0,0.0,243.9,243.9,243.9,0.0,0.0,238.6,238.6,238.6,0.0,0.0,241.8,241.8,241.8,0.0,0.0
2019-11-10,236.4,236.4,236.4,0.0,0.0,236.4,236.4,236.4,0.0,0.0,231.29,231.29,231.29,0.0,0.0,232.5,232.5,232.5,0.0,0.0
2019-11-17,236.3,236.3,236.3,0.0,0.0,237.7,237.7,237.7,0.0,0.0,234.8,234.8,234.8,0.0,0.0,237.3,237.3,237.3,0.0,0.0
2019-11-24,231.1,231.1,231.1,0.0,0.0,233.6,233.6,233.6,0.0,0.0,228.9,228.9,228.9,0.0,0.0,229.1,229.1,229.1,0.0,0.0
2019-12-01,232.1,232.1,232.1,0.0,0.0,237.5,237.5,237.5,0.0,0.0,232.1,232.1,232.1,0.0,0.0,235.1,235.1,235.1,0.0,0.0
2019-12-08,244.2,244.2,244.2,0.0,0.0,248.7,248.7,248.7,0.0,0.0,244.2,244.2,244.2,0.0,0.0,247.5,247.5,247.5,0.0,0.0
2019-12-15,253.5,253.5,253.5,0.0,0.0,259.4,259.4,259.4,0.0,0.0,252.6,252.6,252.6,0.0,0.0,259.1,259.1,259.1,0.0,0.0
2019-12-22,257.2,257.2,257.2,0.0,0.0,257.5,257.5,257.5,0.0,0.0,252.45,252.45,252.45,0.0,0.0,253.2,253.2,253.2,0.0,0.0
2019-12-29,266.4,266.4,266.4,0.0,0.0,266.4,266.4,266.4,0.0,0.0,257.0,257.0,257.0,0.0,0.0,258.7,258.7,258.7,0.0,0.0
