Date,PowerShares DWA Momentum Portfolio_Open_average,PowerShares DWA Momentum Portfolio_Open_max,PowerShares DWA Momentum Portfolio_Open_min,PowerShares DWA Momentum Portfolio_Open_volatility,PowerShares DWA Momentum Portfolio_Open_change,PowerShares DWA Momentum Portfolio_High_average,PowerShares DWA Momentum Portfolio_High_max,PowerShares DWA Momentum Portfolio_High_min,PowerShares DWA Momentum Portfolio_High_volatility,PowerShares DWA Momentum Portfolio_High_change,PowerShares DWA Momentum Portfolio_Low_average,PowerShares DWA Momentum Portfolio_Low_max,PowerShares DWA Momentum Portfolio_Low_min,PowerShares DWA Momentum Portfolio_Low_volatility,PowerShares DWA Momentum Portfolio_Low_change,PowerShares DWA Momentum Portfolio_Close_average,PowerShares DWA Momentum Portfolio_Close_max,PowerShares DWA Momentum Portfolio_Close_min,PowerShares DWA Momentum Portfolio_Close_volatility,PowerShares DWA Momentum Portfolio_Close_change
2018-05-27,56.24,56.24,56.24,0.0,0.0,56.34,56.34,56.34,0.0,0.0,56.06,56.06,56.06,0.0,0.0,56.34,56.34,56.34,0.0,0.0
2018-06-03,57.05,57.05,57.05,0.0,0.0,57.23,57.23,57.23,0.0,0.0,57.01,57.01,57.01,0.0,0.0,57.12,57.12,57.12,0.0,0.0
2018-06-10,57.34,57.34,57.34,0.0,0.0,57.68,57.68,57.68,0.0,0.0,57.16,57.16,57.16,0.0,0.0,57.65,57.65,57.65,0.0,0.0
2018-06-17,56.39,56.39,56.39,0.0,0.0,56.39,56.39,56.39,0.0,0.0,55.22,55.22,55.22,0.0,0.0,55.46,55.46,55.46,0.0,0.0
2018-06-24,54.96,54.96,54.96,0.0,0.0,55.55,55.55,55.55,0.0,0.0,54.96,54.96,54.96,0.0,0.0,55.55,55.55,55.55,0.0,0.0
2018-07-01,56.38,56.38,56.38,0.0,0.0,56.66,56.66,56.66,0.0,0.0,56.31,56.31,56.31,0.0,0.0,56.66,56.66,56.66,0.0,0.0
2018-07-08,57.11,57.11,57.11,0.0,0.0,57.11,57.11,57.11,0.0,0.0,56.78,56.78,56.78,0.0,0.0,56.87,56.87,56.87,0.0,0.0
2018-07-15,57.51,57.51,57.51,0.0,0.0,57.57,57.57,57.57,0.0,0.0,57.27,57.27,57.27,0.0,0.0,57.47,57.47,57.47,0.0,0.0
2018-07-22,56.86,56.86,56.86,0.0,0.0,56.86,56.86,56.86,0.0,0.0,55.73,55.73,55.73,0.0,0.0,55.8,55.8,55.8,0.0,0.0
2018-07-29,57.18,57.18,57.18,0.0,0.0,57.59,57.59,57.59,0.0,0.0,57.18,57.18,57.18,0.0,0.0,57.55,57.55,57.55,0.0,0.0
2018-08-05,57.4,57.4,57.4,0.0,0.0,57.63,57.63,57.63,0.0,0.0,57.03,57.03,57.03,0.0,0.0,57.07,57.07,57.07,0.0,0.0
2018-08-12,57.66,57.66,57.66,0.0,0.0,57.89,57.89,57.89,0.0,0.0,57.5,57.5,57.5,0.0,0.0,57.84,57.84,57.84,0.0,0.0
2018-08-19,58.94,58.94,58.94,0.0,0.0,59.22,59.22,59.22,0.0,0.0,58.94,58.94,58.94,0.0,0.0,59.15,59.15,59.15,0.0,0.0
2018-08-26,59.5,59.5,59.5,0.0,0.0,59.83,59.83,59.83,0.0,0.0,59.5,59.5,59.5,0.0,0.0,59.82,59.82,59.82,0.0,0.0
2018-09-02,59.55,59.55,59.55,0.0,0.0,59.65,59.65,59.65,0.0,0.0,59.4,59.4,59.4,0.0,0.0,59.58,59.58,59.58,0.0,0.0
2018-09-09,60.01,60.01,60.01,0.0,0.0,60.01,60.01,60.01,0.0,0.0,59.09,59.09,59.09,0.0,0.0,59.12,59.12,59.12,0.0,0.0
2018-09-16,58.8,58.8,58.8,0.0,0.0,59.21,59.21,59.21,0.0,0.0,58.7,58.7,58.7,0.0,0.0,59.14,59.14,59.14,0.0,0.0
2018-09-23,59.94,59.94,59.94,0.0,0.0,59.98,59.98,59.98,0.0,0.0,59.26,59.26,59.26,0.0,0.0,59.4,59.4,59.4,0.0,0.0
2018-09-30,57.36,57.36,57.36,0.0,0.0,57.36,57.36,57.36,0.0,0.0,56.29,56.29,56.29,0.0,0.0,56.92,56.92,56.92,0.0,0.0
2018-10-07,54.54,54.54,54.54,0.0,0.0,54.72,54.72,54.72,0.0,0.0,54.15,54.15,54.15,0.0,0.0,54.31,54.31,54.31,0.0,0.0
2018-10-14,54.15,54.15,54.15,0.0,0.0,54.35,54.35,54.35,0.0,0.0,53.81,53.81,53.81,0.0,0.0,54.1,54.1,54.1,0.0,0.0
2018-10-21,52.44,52.44,52.44,0.0,0.0,52.71,52.71,52.71,0.0,0.0,50.38,50.38,50.38,0.0,0.0,51.09,51.09,51.09,0.0,0.0
2018-10-28,53.19,53.19,53.19,0.0,0.0,53.22,53.22,53.22,0.0,0.0,52.58,52.58,52.58,0.0,0.0,53.08,53.08,53.08,0.0,0.0
2018-11-04,53.64,53.64,53.64,0.0,0.0,53.64,53.64,53.64,0.0,0.0,52.5,52.5,52.5,0.0,0.0,52.54,52.54,52.54,0.0,0.0
2018-11-11,52.7,52.7,52.7,0.0,0.0,52.7,52.7,52.7,0.0,0.0,51.1,51.1,51.1,0.0,0.0,51.18,51.18,51.18,0.0,0.0
2018-11-18,51.42,51.42,51.42,0.0,0.0,51.73,51.73,51.73,0.0,0.0,51.29,51.29,51.29,0.0,0.0,51.7,51.7,51.7,0.0,0.0
2018-11-25,54.44,54.44,54.44,0.0,0.0,54.44,54.44,54.44,0.0,0.0,53.65,53.65,53.65,0.0,0.0,54.13,54.13,54.13,0.0,0.0
2018-12-02,50.39,50.39,50.39,0.0,0.0,50.99,50.99,50.99,0.0,0.0,49.83,49.83,49.83,0.0,0.0,50.82,50.82,50.82,0.0,0.0
2018-12-09,49.65,49.65,49.65,0.0,0.0,49.74,49.74,49.74,0.0,0.0,48.4,48.4,48.4,0.0,0.0,48.63,48.63,48.63,0.0,0.0
2018-12-16,45.91,45.91,45.91,0.0,0.0,46.24,46.24,46.24,0.0,0.0,45.25,45.25,45.25,0.0,0.0,45.29,45.29,45.29,0.0,0.0
2018-12-23,48.45,48.45,48.45,0.0,0.0,48.53,48.53,48.53,0.0,0.0,48.03,48.03,48.03,0.0,0.0,48.47,48.47,48.47,0.0,0.0
2018-12-30,48.27,48.27,48.27,0.0,0.0,48.97,48.97,48.97,0.0,0.0,48.27,48.27,48.27,0.0,0.0,48.6,48.6,48.6,0.0,0.0
2019-01-06,49.64,49.64,49.64,0.0,0.0,49.9,49.9,49.9,0.0,0.0,49.55,49.55,49.55,0.0,0.0,49.76,49.76,49.76,0.0,0.0
2019-01-13,51.09,51.09,51.09,0.0,0.0,51.63,51.63,51.63,0.0,0.0,51.03,51.03,51.03,0.0,0.0,51.63,51.63,51.63,0.0,0.0
2019-01-20,51.22,51.22,51.22,0.0,0.0,51.37,51.37,51.37,0.0,0.0,51.06,51.06,51.06,0.0,0.0,51.36,51.36,51.36,0.0,0.0
2019-01-27,52.62,52.62,52.62,0.0,0.0,53.02,53.02,53.02,0.0,0.0,52.51,52.51,52.51,0.0,0.0,53.0,53.0,53.0,0.0,0.0
2019-02-03,53.51,53.51,53.51,0.0,0.0,53.69,53.69,53.69,0.0,0.0,53.48,53.48,53.48,0.0,0.0,53.64,53.64,53.64,0.0,0.0
2019-02-10,54.55,54.55,54.55,0.0,0.0,54.84,54.84,54.84,0.0,0.0,54.55,54.55,54.55,0.0,0.0,54.84,54.84,54.84,0.0,0.0
2019-02-17,55.35,55.35,55.35,0.0,0.0,55.35,55.35,55.35,0.0,0.0,54.8,54.8,54.8,0.0,0.0,54.89,54.89,54.89,0.0,0.0
2019-02-24,55.67,55.67,55.67,0.0,0.0,55.67,55.67,55.67,0.0,0.0,54.59,54.59,54.59,0.0,0.0,55.08,55.08,55.08,0.0,0.0
2019-03-03,54.33,54.33,54.33,0.0,0.0,54.96,54.96,54.96,0.0,0.0,54.31,54.31,54.31,0.0,0.0,54.93,54.93,54.93,0.0,0.0
2019-03-10,55.68,55.68,55.68,0.0,0.0,55.91,55.91,55.91,0.0,0.0,55.56,55.56,55.56,0.0,0.0,55.87,55.87,55.87,0.0,0.0
2019-03-17,55.29,55.29,55.29,0.0,0.0,55.75,55.75,55.75,0.0,0.0,55.2,55.2,55.2,0.0,0.0,55.57,55.57,55.57,0.0,0.0
2019-03-24,57.15,57.15,57.15,0.0,0.0,57.2,57.2,57.2,0.0,0.0,56.84,56.84,56.84,0.0,0.0,57.19,57.19,57.19,0.0,0.0
2019-03-31,57.27,57.27,57.27,0.0,0.0,57.35,57.35,57.35,0.0,0.0,56.81,56.81,56.81,0.0,0.0,57.34,57.34,57.34,0.0,0.0
2019-04-07,58.03,58.03,58.03,0.0,0.0,58.12,58.12,58.12,0.0,0.0,57.85,57.85,57.85,0.0,0.0,58.11,58.11,58.11,0.0,0.0
2019-04-14,57.49,57.49,57.49,0.0,0.0,57.82,57.82,57.82,0.0,0.0,57.49,57.49,57.49,0.0,0.0,57.8,57.8,57.8,0.0,0.0
2019-04-21,58.83,58.83,58.83,0.0,0.0,58.83,58.83,58.83,0.0,0.0,58.51,58.51,58.51,0.0,0.0,58.63,58.63,58.63,0.0,0.0
2019-04-28,57.87,57.87,57.87,0.0,0.0,58.85,58.85,58.85,0.0,0.0,57.87,57.87,57.87,0.0,0.0,58.79,58.79,58.79,0.0,0.0
2019-05-05,56.9,56.9,56.9,0.0,0.0,57.01,57.01,57.01,0.0,0.0,56.23,56.23,56.23,0.0,0.0,56.54,56.54,56.54,0.0,0.0
2019-05-12,57.35,57.35,57.35,0.0,0.0,57.64,57.64,57.64,0.0,0.0,57.17,57.17,57.17,0.0,0.0,57.34,57.34,57.34,0.0,0.0
2019-05-19,57.52,57.52,57.52,0.0,0.0,57.77,57.77,57.77,0.0,0.0,57.31,57.31,57.31,0.0,0.0,57.51,57.51,57.51,0.0,0.0
2019-05-26,56.95,56.95,56.95,0.0,0.0,57.03,57.03,57.03,0.0,0.0,56.28,56.28,56.28,0.0,0.0,56.55,56.55,56.55,0.0,0.0
2019-06-02,60.4,60.4,60.4,0.0,0.0,60.69,60.69,60.69,0.0,0.0,60.19,60.19,60.19,0.0,0.0,60.23,60.23,60.23,0.0,0.0
2019-06-09,59.95,59.95,59.95,0.0,0.0,60.16,60.16,60.16,0.0,0.0,59.88,59.88,59.88,0.0,0.0,59.97,59.97,59.97,0.0,0.0
2019-06-16,60.67,60.67,60.67,0.0,0.0,60.67,60.67,60.67,0.0,0.0,60.22,60.22,60.22,0.0,0.0,60.23,60.23,60.23,0.0,0.0
2019-06-23,61.09,61.09,61.09,0.0,0.0,61.15,61.15,61.15,0.0,0.0,60.52,60.52,60.52,0.0,0.0,60.76,60.76,60.76,0.0,0.0
2019-06-30,61.44,61.44,61.44,0.0,0.0,61.61,61.61,61.61,0.0,0.0,61.33,61.33,61.33,0.0,0.0,61.45,61.45,61.45,0.0,0.0
2019-07-07,62.53,62.53,62.53,0.0,0.0,62.57,62.57,62.57,0.0,0.0,62.3,62.3,62.3,0.0,0.0,62.41,62.41,62.41,0.0,0.0
2019-07-14,61.78,61.78,61.78,0.0,0.0,62.06,62.06,62.06,0.0,0.0,61.78,61.78,61.78,0.0,0.0,61.83,61.83,61.83,0.0,0.0
2019-07-21,62.68,62.68,62.68,0.0,0.0,62.69,62.69,62.69,0.0,0.0,62.13,62.13,62.13,0.0,0.0,62.34,62.34,62.34,0.0,0.0
2019-07-28,59.87,59.87,59.87,0.0,0.0,59.87,59.87,59.87,0.0,0.0,58.47,58.47,58.47,0.0,0.0,58.94,58.94,58.94,0.0,0.0
2019-08-04,61.59,61.59,61.59,0.0,0.0,61.59,61.59,61.59,0.0,0.0,60.94,60.94,60.94,0.0,0.0,61.13,61.13,61.13,0.0,0.0
2019-08-11,62.37,62.37,62.37,0.0,0.0,62.42,62.42,62.42,0.0,0.0,62.06,62.06,62.06,0.0,0.0,62.18,62.18,62.18,0.0,0.0
2019-08-18,61.73,61.73,61.73,0.0,0.0,61.82,61.82,61.82,0.0,0.0,61.21,61.21,61.21,0.0,0.0,61.82,61.82,61.82,0.0,0.0
2019-08-25,62.72,62.72,62.72,0.0,0.0,62.78,62.78,62.78,0.0,0.0,61.91,61.91,61.91,0.0,0.0,62.22,62.22,62.22,0.0,0.0
2019-09-01,63.15,63.15,63.15,0.0,0.0,63.15,63.15,63.15,0.0,0.0,61.35,61.35,61.35,0.0,0.0,61.55,61.55,61.55,0.0,0.0
2019-09-08,60.84,60.84,60.84,0.0,0.0,61.14,61.14,61.14,0.0,0.0,60.84,60.84,60.84,0.0,0.0,61.05,61.05,61.05,0.0,0.0
2019-09-15,61.4,61.4,61.4,0.0,0.0,61.74,61.74,61.74,0.0,0.0,61.4,61.4,61.4,0.0,0.0,61.59,61.59,61.59,0.0,0.0
2019-09-22,60.46,60.46,60.46,0.0,0.0,61.01,61.01,61.01,0.0,0.0,60.46,60.46,60.46,0.0,0.0,60.9,60.9,60.9,0.0,0.0
2019-09-29,60.75,60.75,60.75,0.0,0.0,61.09,61.09,61.09,0.0,0.0,60.59,60.59,60.59,0.0,0.0,60.8,60.8,60.8,0.0,0.0
2019-10-06,61.21,61.21,61.21,0.0,0.0,61.46,61.46,61.46,0.0,0.0,61.12,61.12,61.12,0.0,0.0,61.18,61.18,61.18,0.0,0.0
2019-10-13,61.36,61.36,61.36,0.0,0.0,61.36,61.36,61.36,0.0,0.0,61.05,61.05,61.05,0.0,0.0,61.09,61.09,61.09,0.0,0.0
2019-10-20,61.09,61.09,61.09,0.0,0.0,61.26,61.26,61.26,0.0,0.0,61.02,61.02,61.02,0.0,0.0,61.04,61.04,61.04,0.0,0.0
2019-10-27,61.47,61.47,61.47,0.0,0.0,61.55,61.55,61.55,0.0,0.0,60.71,60.71,60.71,0.0,0.0,60.78,60.78,60.78,0.0,0.0
2019-11-03,60.88,60.88,60.88,0.0,0.0,61.37,61.37,61.37,0.0,0.0,60.88,60.88,60.88,0.0,0.0,61.32,61.32,61.32,0.0,0.0
2019-11-10,62.41,62.41,62.41,0.0,0.0,62.79,62.79,62.79,0.0,0.0,62.4,62.4,62.4,0.0,0.0,62.67,62.67,62.67,0.0,0.0
2019-11-17,62.58,62.58,62.58,0.0,0.0,62.99,62.99,62.99,0.0,0.0,62.58,62.58,62.58,0.0,0.0,62.87,62.87,62.87,0.0,0.0
2019-11-24,63.47,63.47,63.47,0.0,0.0,63.47,63.47,63.47,0.0,0.0,62.59,62.59,62.59,0.0,0.0,62.72,62.72,62.72,0.0,0.0
2019-12-01,63.08,63.08,63.08,0.0,0.0,63.08,63.08,63.08,0.0,0.0,62.73,62.73,62.73,0.0,0.0,62.75,62.75,62.75,0.0,0.0
2019-12-08,63.56,63.56,63.56,0.0,0.0,63.82,63.82,63.82,0.0,0.0,63.56,63.56,63.56,0.0,0.0,63.67,63.67,63.67,0.0,0.0
2019-12-15,64.43,64.43,64.43,0.0,0.0,64.45,64.45,64.45,0.0,0.0,64.24,64.24,64.24,0.0,0.0,64.26,64.26,64.26,0.0,0.0
2019-12-22,64.52,64.52,64.52,0.0,0.0,64.61,64.61,64.61,0.0,0.0,63.97,63.97,63.97,0.0,0.0,64.3,64.3,64.3,0.0,0.0
2019-12-29,64.2,64.2,64.2,0.0,0.0,64.77,64.77,64.77,0.0,0.0,64.2,64.2,64.2,0.0,0.0,64.61,64.61,64.61,0.0,0.0
