Date,ProShares Ultra Industrials_Open_average,ProShares Ultra Industrials_Open_max,ProShares Ultra Industrials_Open_min,ProShares Ultra Industrials_Open_volatility,ProShares Ultra Industrials_Open_change,ProShares Ultra Industrials_High_average,ProShares Ultra Industrials_High_max,ProShares Ultra Industrials_High_min,ProShares Ultra Industrials_High_volatility,ProShares Ultra Industrials_High_change,ProShares Ultra Industrials_Low_average,ProShares Ultra Industrials_Low_max,ProShares Ultra Industrials_Low_min,ProShares Ultra Industrials_Low_volatility,ProShares Ultra Industrials_Low_change,ProShares Ultra Industrials_Close_average,ProShares Ultra Industrials_Close_max,ProShares Ultra Industrials_Close_min,ProShares Ultra Industrials_Close_volatility,ProShares Ultra Industrials_Close_change
2018-10-07,68.75,68.75,68.75,0.0,0.0,69.78,69.78,69.78,0.0,0.0,68.71,68.71,68.71,0.0,0.0,69.15,69.15,69.15,0.0,0.0
2018-10-14,67.16,67.16,67.16,0.0,0.0,67.75,67.75,67.75,0.0,0.0,67.16,67.16,67.16,0.0,0.0,67.5,67.5,67.5,0.0,0.0
2018-10-21,62.0,62.0,62.0,0.0,0.0,62.0,62.0,62.0,0.0,0.0,57.82,57.82,57.82,0.0,0.0,57.82,57.82,57.82,0.0,0.0
2018-10-28,65.26,65.26,65.26,0.0,0.0,65.26,65.26,65.26,0.0,0.0,65.26,65.26,65.26,0.0,0.0,65.26,65.26,65.26,0.0,0.0
2018-11-04,66.64,66.64,66.64,0.0,0.0,66.64,66.64,66.64,0.0,0.0,64.76,64.76,64.76,0.0,0.0,64.76,64.76,64.76,0.0,0.0
2018-11-11,65.0,65.0,65.0,0.0,0.0,65.0,65.0,65.0,0.0,0.0,63.14,63.14,63.14,0.0,0.0,63.14,63.14,63.14,0.0,0.0
2018-11-18,62.75,62.75,62.75,0.0,0.0,62.75,62.75,62.75,0.0,0.0,62.1,62.1,62.1,0.0,0.0,62.4,62.4,62.4,0.0,0.0
2018-11-25,69.0,69.0,69.0,0.0,0.0,69.0,69.0,69.0,0.0,0.0,67.7,67.7,67.7,0.0,0.0,68.29,68.29,68.29,0.0,0.0
2018-12-02,58.45,58.45,58.45,0.0,0.0,59.09,59.09,59.09,0.0,0.0,56.87,56.87,56.87,0.0,0.0,59.09,59.09,59.09,0.0,0.0
2018-12-09,55.97,55.97,55.97,0.0,0.0,56.78,56.78,56.78,0.0,0.0,54.67,54.67,54.67,0.0,0.0,54.67,54.67,54.67,0.0,0.0
2018-12-16,47.3,47.3,47.3,0.0,0.0,47.57,47.57,47.57,0.0,0.0,46.66,46.66,46.66,0.0,0.0,46.66,46.66,46.66,0.0,0.0
2018-12-23,52.0,52.0,52.0,0.0,0.0,52.55,52.55,52.55,0.0,0.0,52.0,52.0,52.0,0.0,0.0,52.3,52.3,52.3,0.0,0.0
2018-12-30,53.66,53.66,53.66,0.0,0.0,54.75,54.75,54.75,0.0,0.0,53.63,53.63,53.63,0.0,0.0,54.6,54.6,54.6,0.0,0.0
2019-01-06,58.05,58.05,58.05,0.0,0.0,58.63,58.63,58.63,0.0,0.0,57.88,57.88,57.88,0.0,0.0,58.18,58.18,58.18,0.0,0.0
2019-01-13,61.38,61.38,61.38,0.0,0.0,62.77,62.77,62.77,0.0,0.0,61.26,61.26,61.26,0.0,0.0,62.46,62.46,62.46,0.0,0.0
2019-01-20,60.6,60.6,60.6,0.0,0.0,61.43,61.43,61.43,0.0,0.0,60.6,60.6,60.6,0.0,0.0,61.42,61.42,61.42,0.0,0.0
2019-01-27,65.08,65.08,65.08,0.0,0.0,66.52,66.52,66.52,0.0,0.0,65.08,65.08,65.08,0.0,0.0,66.52,66.52,66.52,0.0,0.0
2019-02-03,67.83,67.83,67.83,0.0,0.0,67.83,67.83,67.83,0.0,0.0,67.44,67.44,67.44,0.0,0.0,67.73,67.73,67.73,0.0,0.0
2019-02-10,71.55,71.55,71.55,0.0,0.0,71.9,71.9,71.9,0.0,0.0,71.4,71.4,71.4,0.0,0.0,71.83,71.83,71.83,0.0,0.0
2019-02-17,74.23,74.23,74.23,0.0,0.0,74.23,74.23,74.23,0.0,0.0,73.67,73.67,73.67,0.0,0.0,73.67,73.67,73.67,0.0,0.0
2019-02-24,75.32,75.32,75.32,0.0,0.0,75.32,75.32,75.32,0.0,0.0,73.01,73.01,73.01,0.0,0.0,73.01,73.01,73.01,0.0,0.0
2019-03-03,70.5,70.5,70.5,0.0,0.0,71.31,71.31,71.31,0.0,0.0,70.5,70.5,70.5,0.0,0.0,71.31,71.31,71.31,0.0,0.0
2019-03-10,71.28,71.28,71.28,0.0,0.0,72.32,72.32,72.32,0.0,0.0,71.28,71.28,71.28,0.0,0.0,72.32,72.32,72.32,0.0,0.0
2019-03-17,69.38,69.38,69.38,0.0,0.0,69.38,69.38,69.38,0.0,0.0,69.38,69.38,69.38,0.0,0.0,69.38,69.38,69.38,0.0,0.0
2019-03-24,74.45,74.45,74.45,0.0,0.0,75.98,75.98,75.98,0.0,0.0,74.45,74.45,74.45,0.0,0.0,75.98,75.98,75.98,0.0,0.0
2019-03-31,76.4,76.4,76.4,0.0,0.0,76.4,76.4,76.4,0.0,0.0,76.37,76.37,76.37,0.0,0.0,76.37,76.37,76.37,0.0,0.0
2019-04-07,77.03,77.03,77.03,0.0,0.0,77.03,77.03,77.03,0.0,0.0,77.03,77.03,77.03,0.0,0.0,77.03,77.03,77.03,0.0,0.0
2019-04-14,78.65,78.65,78.65,0.0,0.0,78.65,78.65,78.65,0.0,0.0,77.93,77.93,77.93,0.0,0.0,78.3,78.3,78.3,0.0,0.0
2019-04-21,78.91,78.91,78.91,0.0,0.0,78.91,78.91,78.91,0.0,0.0,78.53,78.53,78.53,0.0,0.0,78.53,78.53,78.53,0.0,0.0
2019-04-28,75.76,75.76,75.76,0.0,0.0,78.1,78.1,78.1,0.0,0.0,75.5,75.5,75.5,0.0,0.0,78.1,78.1,78.1,0.0,0.0
2019-05-05,71.28,71.28,71.28,0.0,0.0,71.28,71.28,71.28,0.0,0.0,70.48,70.48,70.48,0.0,0.0,70.82,70.82,70.82,0.0,0.0
2019-05-12,72.0,72.0,72.0,0.0,0.0,72.65,72.65,72.65,0.0,0.0,72.0,72.0,72.0,0.0,0.0,72.28,72.28,72.28,0.0,0.0
2019-05-19,71.37,71.37,71.37,0.0,0.0,71.4,71.4,71.4,0.0,0.0,71.09,71.09,71.09,0.0,0.0,71.09,71.09,71.09,0.0,0.0
2019-05-26,68.37,68.37,68.37,0.0,0.0,69.03,69.03,69.03,0.0,0.0,68.37,68.37,68.37,0.0,0.0,68.45,68.45,68.45,0.0,0.0
2019-06-02,76.0,76.0,76.0,0.0,0.0,77.12,77.12,77.12,0.0,0.0,76.0,76.0,76.0,0.0,0.0,76.04,76.04,76.04,0.0,0.0
2019-06-09,74.55,74.55,74.55,0.0,0.0,74.62,74.62,74.62,0.0,0.0,74.4,74.4,74.4,0.0,0.0,74.4,74.4,74.4,0.0,0.0
2019-06-16,77.87,77.87,77.87,0.0,0.0,77.87,77.87,77.87,0.0,0.0,77.87,77.87,77.87,0.0,0.0,77.87,77.87,77.87,0.0,0.0
2019-06-23,79.99,79.99,79.99,0.0,0.0,80.0,80.0,80.0,0.0,0.0,79.52,79.52,79.52,0.0,0.0,79.52,79.52,79.52,0.0,0.0
2019-06-30,78.44,78.44,78.44,0.0,0.0,78.44,78.44,78.44,0.0,0.0,78.28,78.28,78.28,0.0,0.0,78.33,78.33,78.33,0.0,0.0
2019-07-07,80.53,80.53,80.53,0.0,0.0,80.53,80.53,80.53,0.0,0.0,80.11,80.11,80.11,0.0,0.0,80.33,80.33,80.33,0.0,0.0
2019-07-14,79.12,79.12,79.12,0.0,0.0,79.12,79.12,79.12,0.0,0.0,79.12,79.12,79.12,0.0,0.0,79.12,79.12,79.12,0.0,0.0
2019-07-21,81.32,81.32,81.32,0.0,0.0,81.39,81.39,81.39,0.0,0.0,81.32,81.32,81.32,0.0,0.0,81.32,81.32,81.32,0.0,0.0
2019-07-28,72.7,72.7,72.7,0.0,0.0,72.7,72.7,72.7,0.0,0.0,70.91,70.91,70.91,0.0,0.0,71.62,71.62,71.62,0.0,0.0
2019-08-04,73.15,73.15,73.15,0.0,0.0,73.15,73.15,73.15,0.0,0.0,72.86,72.86,72.86,0.0,0.0,72.86,72.86,72.86,0.0,0.0
2019-08-11,74.86,74.86,74.86,0.0,0.0,75.16,75.16,75.16,0.0,0.0,74.86,74.86,74.86,0.0,0.0,75.03,75.03,75.03,0.0,0.0
2019-08-18,71.09,71.09,71.09,0.0,0.0,72.0,72.0,72.0,0.0,0.0,71.09,71.09,71.09,0.0,0.0,72.0,72.0,72.0,0.0,0.0
2019-08-25,75.88,75.88,75.88,0.0,0.0,76.05,76.05,76.05,0.0,0.0,75.88,75.88,75.88,0.0,0.0,76.05,76.05,76.05,0.0,0.0
2019-09-01,78.55,78.55,78.55,0.0,0.0,78.55,78.55,78.55,0.0,0.0,77.92,77.92,77.92,0.0,0.0,77.95,77.95,77.95,0.0,0.0
2019-09-08,80.62,80.62,80.62,0.0,0.0,80.65,80.65,80.65,0.0,0.0,80.62,80.62,80.62,0.0,0.0,80.65,80.65,80.65,0.0,0.0
2019-09-15,78.43,78.43,78.43,0.0,0.0,78.89,78.89,78.89,0.0,0.0,78.43,78.43,78.43,0.0,0.0,78.51,78.51,78.51,0.0,0.0
2019-09-22,78.72,78.72,78.72,0.0,0.0,78.72,78.72,78.72,0.0,0.0,78.57,78.57,78.57,0.0,0.0,78.57,78.57,78.57,0.0,0.0
2019-09-29,74.3,74.3,74.3,0.0,0.0,74.37,74.37,74.37,0.0,0.0,74.3,74.3,74.3,0.0,0.0,74.37,74.37,74.37,0.0,0.0
2019-10-06,76.4,76.4,76.4,0.0,0.0,76.41,76.41,76.41,0.0,0.0,76.4,76.4,76.4,0.0,0.0,76.41,76.41,76.41,0.0,0.0
2019-10-13,77.71,77.71,77.71,0.0,0.0,78.0,78.0,78.0,0.0,0.0,77.71,77.71,77.71,0.0,0.0,77.91,77.91,77.91,0.0,0.0
2019-10-20,80.69,80.69,80.69,0.0,0.0,80.69,80.69,80.69,0.0,0.0,80.31,80.31,80.31,0.0,0.0,80.31,80.31,80.31,0.0,0.0
2019-10-27,83.0,83.0,83.0,0.0,0.0,83.85,83.85,83.85,0.0,0.0,83.0,83.0,83.0,0.0,0.0,83.85,83.85,83.85,0.0,0.0
2019-11-03,84.96,84.96,84.96,0.0,0.0,85.17,85.17,85.17,0.0,0.0,84.84,84.84,84.84,0.0,0.0,84.84,84.84,84.84,0.0,0.0
2019-11-10,86.13,86.13,86.13,0.0,0.0,86.29,86.29,86.29,0.0,0.0,86.07,86.07,86.07,0.0,0.0,86.2,86.2,86.2,0.0,0.0
2019-11-17,86.0,86.0,86.0,0.0,0.0,86.74,86.74,86.74,0.0,0.0,86.0,86.0,86.0,0.0,0.0,86.74,86.74,86.74,0.0,0.0
2019-11-24,87.39,87.39,87.39,0.0,0.0,87.39,87.39,87.39,0.0,0.0,84.41,84.41,84.41,0.0,0.0,84.41,84.41,84.41,0.0,0.0
2019-12-01,85.24,85.24,85.24,0.0,0.0,85.24,85.24,85.24,0.0,0.0,84.76,84.76,84.76,0.0,0.0,84.76,84.76,84.76,0.0,0.0
2019-12-08,87.15,87.15,87.15,0.0,0.0,87.35,87.35,87.35,0.0,0.0,86.83,86.83,86.83,0.0,0.0,86.83,86.83,86.83,0.0,0.0
2019-12-15,87.79,87.79,87.79,0.0,0.0,88.22,88.22,88.22,0.0,0.0,87.66,87.66,87.66,0.0,0.0,87.98,87.98,87.98,0.0,0.0
2019-12-22,87.59,87.59,87.59,0.0,0.0,87.59,87.59,87.59,0.0,0.0,86.9,86.9,86.9,0.0,0.0,86.9,86.9,86.9,0.0,0.0
2019-12-29,88.33,88.33,88.33,0.0,0.0,88.96,88.96,88.96,0.0,0.0,88.28,88.28,88.28,0.0,0.0,88.96,88.96,88.96,0.0,0.0
