Date,iShares Global Utilities_Open_average,iShares Global Utilities_Open_max,iShares Global Utilities_Open_min,iShares Global Utilities_Open_volatility,iShares Global Utilities_Open_change,iShares Global Utilities_High_average,iShares Global Utilities_High_max,iShares Global Utilities_High_min,iShares Global Utilities_High_volatility,iShares Global Utilities_High_change,iShares Global Utilities_Low_average,iShares Global Utilities_Low_max,iShares Global Utilities_Low_min,iShares Global Utilities_Low_volatility,iShares Global Utilities_Low_change,iShares Global Utilities_Close_average,iShares Global Utilities_Close_max,iShares Global Utilities_Close_min,iShares Global Utilities_Close_volatility,iShares Global Utilities_Close_change
2018-04-08,48.96,48.96,48.96,0.0,0.0,49.31,49.31,49.31,0.0,0.0,48.96,48.96,48.96,0.0,0.0,49.17,49.17,49.17,0.0,0.0
2018-04-15,48.92,48.92,48.92,0.0,0.0,49.16,49.16,49.16,0.0,0.0,48.91,48.91,48.91,0.0,0.0,49.01,49.01,49.01,0.0,0.0
2018-04-22,50.11,50.11,50.11,0.0,0.0,50.24,50.24,50.24,0.0,0.0,50.05,50.05,50.05,0.0,0.0,50.05,50.05,50.05,0.0,0.0
2018-04-29,50.29,50.29,50.29,0.0,0.0,50.29,50.29,50.29,0.0,0.0,49.96,49.96,49.96,0.0,0.0,50.04,50.04,50.04,0.0,0.0
2018-05-06,49.51,49.51,49.51,0.0,0.0,49.53,49.53,49.53,0.0,0.0,49.16,49.16,49.16,0.0,0.0,49.21,49.21,49.21,0.0,0.0
2018-05-13,48.54,48.54,48.54,0.0,0.0,48.67,48.67,48.67,0.0,0.0,48.32,48.32,48.32,0.0,0.0,48.54,48.54,48.54,0.0,0.0
2018-05-20,48.64,48.64,48.64,0.0,0.0,48.85,48.85,48.85,0.0,0.0,48.64,48.64,48.64,0.0,0.0,48.74,48.74,48.74,0.0,0.0
2018-05-27,48.68,48.68,48.68,0.0,0.0,48.8,48.8,48.8,0.0,0.0,48.3,48.3,48.3,0.0,0.0,48.3,48.3,48.3,0.0,0.0
2018-06-03,47.64,47.64,47.64,0.0,0.0,47.88,47.88,47.88,0.0,0.0,47.48,47.48,47.48,0.0,0.0,47.56,47.56,47.56,0.0,0.0
2018-06-10,48.2,48.2,48.2,0.0,0.0,48.38,48.38,48.38,0.0,0.0,48.13,48.13,48.13,0.0,0.0,48.26,48.26,48.26,0.0,0.0
2018-06-17,48.07,48.07,48.07,0.0,0.0,48.52,48.52,48.52,0.0,0.0,48.07,48.07,48.07,0.0,0.0,48.51,48.51,48.51,0.0,0.0
2018-06-24,48.8,48.8,48.8,0.0,0.0,49.17,49.17,49.17,0.0,0.0,48.68,48.68,48.68,0.0,0.0,49.17,49.17,49.17,0.0,0.0
2018-07-01,50.57,50.57,50.57,0.0,0.0,50.63,50.63,50.63,0.0,0.0,49.42,49.42,49.42,0.0,0.0,49.42,49.42,49.42,0.0,0.0
2018-07-08,49.8,49.8,49.8,0.0,0.0,49.9,49.9,49.9,0.0,0.0,49.6,49.6,49.6,0.0,0.0,49.85,49.85,49.85,0.0,0.0
2018-07-15,49.77,49.77,49.77,0.0,0.0,49.81,49.81,49.81,0.0,0.0,49.37,49.37,49.37,0.0,0.0,49.52,49.52,49.52,0.0,0.0
2018-07-22,49.76,49.76,49.76,0.0,0.0,49.76,49.76,49.76,0.0,0.0,49.48,49.48,49.48,0.0,0.0,49.48,49.48,49.48,0.0,0.0
2018-07-29,49.66,49.66,49.66,0.0,0.0,49.92,49.92,49.92,0.0,0.0,49.66,49.66,49.66,0.0,0.0,49.87,49.87,49.87,0.0,0.0
2018-08-05,49.23,49.23,49.23,0.0,0.0,49.23,49.23,49.23,0.0,0.0,48.96,48.96,48.96,0.0,0.0,49.18,49.18,49.18,0.0,0.0
2018-08-12,50.23,50.23,50.23,0.0,0.0,50.23,50.23,50.23,0.0,0.0,50.02,50.02,50.02,0.0,0.0,50.15,50.15,50.15,0.0,0.0
2018-08-19,50.04,50.04,50.04,0.0,0.0,50.04,50.04,50.04,0.0,0.0,49.66,49.66,49.66,0.0,0.0,49.83,49.83,49.83,0.0,0.0
2018-08-26,49.8,49.8,49.8,0.0,0.0,49.89,49.89,49.89,0.0,0.0,49.38,49.38,49.38,0.0,0.0,49.69,49.69,49.69,0.0,0.0
2018-09-02,50.08,50.08,50.08,0.0,0.0,50.23,50.23,50.23,0.0,0.0,50.03,50.03,50.03,0.0,0.0,50.08,50.08,50.08,0.0,0.0
2018-09-09,50.09,50.09,50.09,0.0,0.0,50.16,50.16,50.16,0.0,0.0,50.0,50.0,50.0,0.0,0.0,50.12,50.12,50.12,0.0,0.0
2018-09-16,49.64,49.64,49.64,0.0,0.0,49.67,49.67,49.67,0.0,0.0,49.3,49.3,49.3,0.0,0.0,49.32,49.32,49.32,0.0,0.0
2018-09-23,49.26,49.26,49.26,0.0,0.0,49.26,49.26,49.26,0.0,0.0,48.98,48.98,48.98,0.0,0.0,49.11,49.11,49.11,0.0,0.0
2018-09-30,49.52,49.52,49.52,0.0,0.0,50.0,50.0,50.0,0.0,0.0,49.52,49.52,49.52,0.0,0.0,49.99,49.99,49.99,0.0,0.0
2018-10-07,48.62,48.62,48.62,0.0,0.0,49.13,49.13,49.13,0.0,0.0,48.62,48.62,48.62,0.0,0.0,48.89,48.89,48.89,0.0,0.0
2018-10-14,50.1,50.1,50.1,0.0,0.0,50.24,50.24,50.24,0.0,0.0,49.8,49.8,49.8,0.0,0.0,49.92,49.92,49.92,0.0,0.0
2018-10-21,49.36,49.36,49.36,0.0,0.0,49.72,49.72,49.72,0.0,0.0,49.26,49.26,49.26,0.0,0.0,49.51,49.51,49.51,0.0,0.0
2018-10-28,49.23,49.23,49.23,0.0,0.0,49.74,49.74,49.74,0.0,0.0,49.23,49.23,49.23,0.0,0.0,49.63,49.63,49.63,0.0,0.0
2018-11-04,50.18,50.18,50.18,0.0,0.0,50.73,50.73,50.73,0.0,0.0,50.18,50.18,50.18,0.0,0.0,50.38,50.38,50.38,0.0,0.0
2018-11-11,50.62,50.62,50.62,0.0,0.0,50.87,50.87,50.87,0.0,0.0,50.56,50.56,50.56,0.0,0.0,50.69,50.69,50.69,0.0,0.0
2018-11-18,50.32,50.32,50.32,0.0,0.0,50.58,50.58,50.58,0.0,0.0,50.19,50.19,50.19,0.0,0.0,50.49,50.49,50.49,0.0,0.0
2018-11-25,51.12,51.12,51.12,0.0,0.0,51.5,51.5,51.5,0.0,0.0,50.86,50.86,50.86,0.0,0.0,51.5,51.5,51.5,0.0,0.0
2018-12-02,51.41,51.41,51.41,0.0,0.0,51.56,51.56,51.56,0.0,0.0,50.77,50.77,50.77,0.0,0.0,51.45,51.45,51.45,0.0,0.0
2018-12-09,52.22,52.22,52.22,0.0,0.0,52.22,52.22,52.22,0.0,0.0,50.77,50.77,50.77,0.0,0.0,50.84,50.84,50.84,0.0,0.0
2018-12-16,49.45,49.45,49.45,0.0,0.0,49.45,49.45,49.45,0.0,0.0,47.77,47.77,47.77,0.0,0.0,48.15,48.15,48.15,0.0,0.0
2018-12-23,49.17,49.17,49.17,0.0,0.0,49.17,49.17,49.17,0.0,0.0,48.75,48.75,48.75,0.0,0.0,49.1,49.1,49.1,0.0,0.0
2018-12-30,49.23,49.23,49.23,0.0,0.0,49.43,49.43,49.43,0.0,0.0,49.0,49.0,49.0,0.0,0.0,49.27,49.27,49.27,0.0,0.0
2019-01-06,49.56,49.56,49.56,0.0,0.0,49.56,49.56,49.56,0.0,0.0,49.07,49.07,49.07,0.0,0.0,49.35,49.35,49.35,0.0,0.0
2019-01-13,50.26,50.26,50.26,0.0,0.0,50.36,50.36,50.36,0.0,0.0,50.09,50.09,50.09,0.0,0.0,50.16,50.16,50.16,0.0,0.0
2019-01-20,50.29,50.29,50.29,0.0,0.0,50.45,50.45,50.45,0.0,0.0,50.06,50.06,50.06,0.0,0.0,50.27,50.27,50.27,0.0,0.0
2019-01-27,51.15,51.15,51.15,0.0,0.0,51.39,51.39,51.39,0.0,0.0,50.9,50.9,50.9,0.0,0.0,51.39,51.39,51.39,0.0,0.0
2019-02-03,51.79,51.79,51.79,0.0,0.0,51.97,51.97,51.97,0.0,0.0,51.61,51.61,51.61,0.0,0.0,51.76,51.76,51.76,0.0,0.0
2019-02-10,51.96,51.96,51.96,0.0,0.0,52.07,52.07,52.07,0.0,0.0,51.83,51.83,51.83,0.0,0.0,52.02,52.02,52.02,0.0,0.0
2019-02-17,52.99,52.99,52.99,0.0,0.0,52.99,52.99,52.99,0.0,0.0,52.62,52.62,52.62,0.0,0.0,52.74,52.74,52.74,0.0,0.0
