Date,iShares MSCI Global Impact_Open_average,iShares MSCI Global Impact_Open_max,iShares MSCI Global Impact_Open_min,iShares MSCI Global Impact_Open_volatility,iShares MSCI Global Impact_Open_change,iShares MSCI Global Impact_High_average,iShares MSCI Global Impact_High_max,iShares MSCI Global Impact_High_min,iShares MSCI Global Impact_High_volatility,iShares MSCI Global Impact_High_change,iShares MSCI Global Impact_Low_average,iShares MSCI Global Impact_Low_max,iShares MSCI Global Impact_Low_min,iShares MSCI Global Impact_Low_volatility,iShares MSCI Global Impact_Low_change,iShares MSCI Global Impact_Close_average,iShares MSCI Global Impact_Close_max,iShares MSCI Global Impact_Close_min,iShares MSCI Global Impact_Close_volatility,iShares MSCI Global Impact_Close_change
2018-07-08,57.68,57.68,57.68,0.0,0.0,57.68,57.68,57.68,0.0,0.0,57.62,57.62,57.62,0.0,0.0,57.62,57.62,57.62,0.0,0.0
2018-07-15,57.36,57.36,57.36,0.0,0.0,57.76,57.76,57.76,0.0,0.0,57.36,57.36,57.36,0.0,0.0,57.59,57.59,57.59,0.0,0.0
2018-07-22,58.62,58.62,58.62,0.0,0.0,58.66,58.66,58.66,0.0,0.0,58.29,58.29,58.29,0.0,0.0,58.29,58.29,58.29,0.0,0.0
2018-07-29,57.96,57.96,57.96,0.0,0.0,58.15,58.15,58.15,0.0,0.0,57.57,57.57,57.57,0.0,0.0,58.15,58.15,58.15,0.0,0.0
2018-08-05,57.25,57.25,57.25,0.0,0.0,57.25,57.25,57.25,0.0,0.0,57.05,57.05,57.05,0.0,0.0,57.25,57.25,57.25,0.0,0.0
2018-08-12,57.38,57.38,57.38,0.0,0.0,57.49,57.49,57.49,0.0,0.0,57.28,57.28,57.28,0.0,0.0,57.49,57.49,57.49,0.0,0.0
2018-08-19,57.97,57.97,57.97,0.0,0.0,58.69,58.69,58.69,0.0,0.0,57.97,57.97,57.97,0.0,0.0,58.66,58.66,58.66,0.0,0.0
2018-08-26,58.77,58.77,58.77,0.0,0.0,58.77,58.77,58.77,0.0,0.0,58.4,58.4,58.4,0.0,0.0,58.43,58.43,58.43,0.0,0.0
2018-09-02,57.5,57.5,57.5,0.0,0.0,57.5,57.5,57.5,0.0,0.0,57.09,57.09,57.09,0.0,0.0,57.09,57.09,57.09,0.0,0.0
2018-09-09,57.75,57.75,57.75,0.0,0.0,57.75,57.75,57.75,0.0,0.0,57.56,57.56,57.56,0.0,0.0,57.56,57.56,57.56,0.0,0.0
2018-09-16,58.63,58.63,58.63,0.0,0.0,58.65,58.65,58.65,0.0,0.0,58.5,58.5,58.5,0.0,0.0,58.5,58.5,58.5,0.0,0.0
2018-09-23,58.44,58.44,58.44,0.0,0.0,58.44,58.44,58.44,0.0,0.0,58.2,58.2,58.2,0.0,0.0,58.2,58.2,58.2,0.0,0.0
2018-09-30,55.98,55.98,55.98,0.0,0.0,56.24,56.24,56.24,0.0,0.0,55.98,55.98,55.98,0.0,0.0,56.24,56.24,56.24,0.0,0.0
2018-10-07,54.19,54.19,54.19,0.0,0.0,54.62,54.62,54.62,0.0,0.0,54.18,54.18,54.18,0.0,0.0,54.62,54.62,54.62,0.0,0.0
2018-10-14,55.07,55.07,55.07,0.0,0.0,55.07,55.07,55.07,0.0,0.0,54.58,54.58,54.58,0.0,0.0,54.58,54.58,54.58,0.0,0.0
2018-10-21,53.5,53.5,53.5,0.0,0.0,53.72,53.72,53.72,0.0,0.0,52.5,52.5,52.5,0.0,0.0,52.64,52.64,52.64,0.0,0.0
2018-10-28,54.94,54.94,54.94,0.0,0.0,54.94,54.94,54.94,0.0,0.0,54.63,54.63,54.63,0.0,0.0,54.69,54.69,54.69,0.0,0.0
2018-11-04,55.49,55.49,55.49,0.0,0.0,55.49,55.49,55.49,0.0,0.0,55.09,55.09,55.09,0.0,0.0,55.11,55.11,55.11,0.0,0.0
2018-11-11,55.34,55.34,55.34,0.0,0.0,55.34,55.34,55.34,0.0,0.0,55.23,55.23,55.23,0.0,0.0,55.23,55.23,55.23,0.0,0.0
2018-11-18,55.29,55.29,55.29,0.0,0.0,55.47,55.47,55.47,0.0,0.0,55.14,55.14,55.14,0.0,0.0,55.47,55.47,55.47,0.0,0.0
2018-11-25,57.0,57.0,57.0,0.0,0.0,57.45,57.45,57.45,0.0,0.0,56.65,56.65,56.65,0.0,0.0,56.65,56.65,56.65,0.0,0.0
2018-12-02,54.02,54.02,54.02,0.0,0.0,54.59,54.59,54.59,0.0,0.0,53.5,53.5,53.5,0.0,0.0,54.05,54.05,54.05,0.0,0.0
2018-12-09,53.69,53.69,53.69,0.0,0.0,54.88,54.88,54.88,0.0,0.0,53.69,53.69,53.69,0.0,0.0,53.8,53.8,53.8,0.0,0.0
2018-12-16,51.71,51.71,51.71,0.0,0.0,51.95,51.95,51.95,0.0,0.0,51.27,51.27,51.27,0.0,0.0,51.4,51.4,51.4,0.0,0.0
2018-12-23,53.16,53.16,53.16,0.0,0.0,53.22,53.22,53.22,0.0,0.0,52.85,52.85,52.85,0.0,0.0,53.0,53.0,53.0,0.0,0.0
2018-12-30,54.23,54.23,54.23,0.0,0.0,54.79,54.79,54.79,0.0,0.0,54.23,54.23,54.23,0.0,0.0,54.42,54.42,54.42,0.0,0.0
2019-01-06,55.01,55.01,55.01,0.0,0.0,55.25,55.25,55.25,0.0,0.0,55.01,55.01,55.01,0.0,0.0,55.15,55.15,55.15,0.0,0.0
2019-01-13,56.21,56.21,56.21,0.0,0.0,56.24,56.24,56.24,0.0,0.0,56.08,56.08,56.08,0.0,0.0,56.24,56.24,56.24,0.0,0.0
2019-01-20,55.68,55.68,55.68,0.0,0.0,55.68,55.68,55.68,0.0,0.0,55.56,55.56,55.56,0.0,0.0,55.6,55.6,55.6,0.0,0.0
2019-01-27,57.04,57.04,57.04,0.0,0.0,57.11,57.11,57.11,0.0,0.0,56.8,56.8,56.8,0.0,0.0,56.95,56.95,56.95,0.0,0.0
2019-02-03,56.66,56.66,56.66,0.0,0.0,56.89,56.89,56.89,0.0,0.0,56.45,56.45,56.45,0.0,0.0,56.45,56.45,56.45,0.0,0.0
2019-02-10,57.61,57.61,57.61,0.0,0.0,57.91,57.91,57.91,0.0,0.0,57.61,57.61,57.61,0.0,0.0,57.82,57.82,57.82,0.0,0.0
2019-02-17,58.25,58.25,58.25,0.0,0.0,58.66,58.66,58.66,0.0,0.0,58.25,58.25,58.25,0.0,0.0,58.29,58.29,58.29,0.0,0.0
2019-02-24,58.62,58.62,58.62,0.0,0.0,58.62,58.62,58.62,0.0,0.0,57.73,57.73,57.73,0.0,0.0,57.73,57.73,57.73,0.0,0.0
2019-03-03,57.43,57.43,57.43,0.0,0.0,57.76,57.76,57.76,0.0,0.0,57.38,57.38,57.38,0.0,0.0,57.51,57.51,57.51,0.0,0.0
2019-03-10,59.04,59.04,59.04,0.0,0.0,59.22,59.22,59.22,0.0,0.0,58.96,58.96,58.96,0.0,0.0,58.96,58.96,58.96,0.0,0.0
2019-03-17,57.97,57.97,57.97,0.0,0.0,58.03,58.03,58.03,0.0,0.0,57.96,57.96,57.96,0.0,0.0,58.02,58.02,58.02,0.0,0.0
2019-03-24,59.26,59.26,59.26,0.0,0.0,59.99,59.99,59.99,0.0,0.0,59.26,59.26,59.26,0.0,0.0,59.73,59.73,59.73,0.0,0.0
2019-03-31,60.17,60.17,60.17,0.0,0.0,60.42,60.42,60.42,0.0,0.0,60.17,60.17,60.17,0.0,0.0,60.26,60.26,60.26,0.0,0.0
2019-04-07,60.2,60.2,60.2,0.0,0.0,60.2,60.2,60.2,0.0,0.0,59.94,59.94,59.94,0.0,0.0,60.02,60.02,60.02,0.0,0.0
2019-04-14,59.77,59.77,59.77,0.0,0.0,60.18,60.18,60.18,0.0,0.0,59.77,59.77,59.77,0.0,0.0,59.9,59.9,59.9,0.0,0.0
2019-04-21,59.2,59.2,59.2,0.0,0.0,59.38,59.38,59.38,0.0,0.0,59.11,59.11,59.11,0.0,0.0,59.38,59.38,59.38,0.0,0.0
2019-04-28,58.41,58.41,58.41,0.0,0.0,58.99,58.99,58.99,0.0,0.0,58.41,58.41,58.41,0.0,0.0,58.99,58.99,58.99,0.0,0.0
2019-05-05,56.65,56.65,56.65,0.0,0.0,56.65,56.65,56.65,0.0,0.0,56.4,56.4,56.4,0.0,0.0,56.4,56.4,56.4,0.0,0.0
2019-05-12,56.08,56.08,56.08,0.0,0.0,56.27,56.27,56.27,0.0,0.0,55.94,55.94,55.94,0.0,0.0,56.04,56.04,56.04,0.0,0.0
2019-05-19,56.47,56.47,56.47,0.0,0.0,56.49,56.49,56.49,0.0,0.0,56.47,56.47,56.47,0.0,0.0,56.47,56.47,56.47,0.0,0.0
2019-05-26,55.65,55.65,55.65,0.0,0.0,55.84,55.84,55.84,0.0,0.0,55.65,55.65,55.65,0.0,0.0,55.69,55.69,55.69,0.0,0.0
2019-06-02,57.75,57.75,57.75,0.0,0.0,57.75,57.75,57.75,0.0,0.0,57.63,57.63,57.63,0.0,0.0,57.7,57.7,57.7,0.0,0.0
2019-06-09,57.26,57.26,57.26,0.0,0.0,57.39,57.39,57.39,0.0,0.0,57.26,57.26,57.26,0.0,0.0,57.38,57.38,57.38,0.0,0.0
2019-06-16,58.32,58.32,58.32,0.0,0.0,58.52,58.52,58.52,0.0,0.0,58.14,58.14,58.14,0.0,0.0,58.38,58.38,58.38,0.0,0.0
2019-06-23,58.64,58.64,58.64,0.0,0.0,58.64,58.64,58.64,0.0,0.0,58.36,58.36,58.36,0.0,0.0,58.37,58.37,58.37,0.0,0.0
2019-06-30,58.12,58.12,58.12,0.0,0.0,58.35,58.35,58.35,0.0,0.0,57.84,57.84,57.84,0.0,0.0,57.9,57.9,57.9,0.0,0.0
2019-07-07,58.28,58.28,58.28,0.0,0.0,58.37,58.37,58.37,0.0,0.0,58.25,58.25,58.25,0.0,0.0,58.25,58.25,58.25,0.0,0.0
2019-07-14,58.12,58.12,58.12,0.0,0.0,58.19,58.19,58.19,0.0,0.0,57.89,57.89,57.89,0.0,0.0,57.9,57.9,57.9,0.0,0.0
2019-07-21,57.98,57.98,57.98,0.0,0.0,58.76,58.76,58.76,0.0,0.0,57.91,57.91,57.91,0.0,0.0,57.91,57.91,57.91,0.0,0.0
2019-07-28,55.99,55.99,55.99,0.0,0.0,56.04,56.04,56.04,0.0,0.0,55.29,55.29,55.29,0.0,0.0,55.44,55.44,55.44,0.0,0.0
2019-08-04,56.2,56.2,56.2,0.0,0.0,56.3,56.3,56.3,0.0,0.0,56.1,56.1,56.1,0.0,0.0,56.1,56.1,56.1,0.0,0.0
2019-08-11,56.45,56.45,56.45,0.0,0.0,56.45,56.45,56.45,0.0,0.0,56.45,56.45,56.45,0.0,0.0,56.45,56.45,56.45,0.0,0.0
2019-08-18,56.34,56.34,56.34,0.0,0.0,56.34,56.34,56.34,0.0,0.0,56.13,56.13,56.13,0.0,0.0,56.2,56.2,56.2,0.0,0.0
2019-08-25,57.63,57.63,57.63,0.0,0.0,57.63,57.63,57.63,0.0,0.0,57.08,57.08,57.08,0.0,0.0,57.18,57.18,57.18,0.0,0.0
2019-09-01,58.86,58.86,58.86,0.0,0.0,58.89,58.89,58.89,0.0,0.0,58.47,58.47,58.47,0.0,0.0,58.47,58.47,58.47,0.0,0.0
2019-09-08,59.3,59.3,59.3,0.0,0.0,59.69,59.69,59.69,0.0,0.0,59.21,59.21,59.21,0.0,0.0,59.32,59.32,59.32,0.0,0.0
2019-09-15,59.05,59.05,59.05,0.0,0.0,59.91,59.91,59.91,0.0,0.0,59.05,59.05,59.05,0.0,0.0,59.48,59.48,59.48,0.0,0.0
2019-09-22,58.62,58.62,58.62,0.0,0.0,58.62,58.62,58.62,0.0,0.0,58.38,58.38,58.38,0.0,0.0,58.38,58.38,58.38,0.0,0.0
2019-09-29,58.39,58.39,58.39,0.0,0.0,58.39,58.39,58.39,0.0,0.0,58.32,58.32,58.32,0.0,0.0,58.32,58.32,58.32,0.0,0.0
2019-10-06,59.27,59.27,59.27,0.0,0.0,59.55,59.55,59.55,0.0,0.0,58.99,58.99,58.99,0.0,0.0,59.07,59.07,59.07,0.0,0.0
2019-10-13,60.02,60.02,60.02,0.0,0.0,60.02,60.02,60.02,0.0,0.0,59.86,59.86,59.86,0.0,0.0,60.02,60.02,60.02,0.0,0.0
2019-10-20,61.42,61.42,61.42,0.0,0.0,61.42,61.42,61.42,0.0,0.0,61.34,61.34,61.34,0.0,0.0,61.37,61.37,61.37,0.0,0.0
2019-10-27,62.35,62.35,62.35,0.0,0.0,62.5,62.5,62.5,0.0,0.0,62.31,62.31,62.31,0.0,0.0,62.38,62.38,62.38,0.0,0.0
2019-11-03,62.52,62.52,62.52,0.0,0.0,62.76,62.76,62.76,0.0,0.0,62.52,62.52,62.52,0.0,0.0,62.63,62.63,62.63,0.0,0.0
2019-11-10,63.19,63.19,63.19,0.0,0.0,63.58,63.58,63.58,0.0,0.0,63.08,63.08,63.08,0.0,0.0,63.16,63.16,63.16,0.0,0.0
2019-11-17,62.68,62.68,62.68,0.0,0.0,62.85,62.85,62.85,0.0,0.0,62.68,62.68,62.68,0.0,0.0,62.75,62.75,62.75,0.0,0.0
2019-11-24,62.95,62.95,62.95,0.0,0.0,63.19,63.19,63.19,0.0,0.0,62.42,62.42,62.42,0.0,0.0,62.5,62.5,62.5,0.0,0.0
2019-12-01,63.16,63.16,63.16,0.0,0.0,63.56,63.56,63.56,0.0,0.0,62.93,62.93,62.93,0.0,0.0,63.05,63.05,63.05,0.0,0.0
2019-12-08,64.6,64.6,64.6,0.0,0.0,64.88,64.88,64.88,0.0,0.0,64.6,64.6,64.6,0.0,0.0,64.8,64.8,64.8,0.0,0.0
2019-12-15,64.96,64.96,64.96,0.0,0.0,65.17,65.17,65.17,0.0,0.0,64.94,64.94,64.94,0.0,0.0,65.09,65.09,65.09,0.0,0.0
2019-12-22,65.57,65.57,65.57,0.0,0.0,65.66,65.66,65.66,0.0,0.0,65.14,65.14,65.14,0.0,0.0,65.23,65.23,65.23,0.0,0.0
2019-12-29,65.0,65.0,65.0,0.0,0.0,65.61,65.61,65.61,0.0,0.0,65.0,65.0,65.0,0.0,0.0,65.42,65.42,65.42,0.0,0.0
