Date,iShares Global Consumer Staples_Open_average,iShares Global Consumer Staples_Open_max,iShares Global Consumer Staples_Open_min,iShares Global Consumer Staples_Open_volatility,iShares Global Consumer Staples_Open_change,iShares Global Consumer Staples_High_average,iShares Global Consumer Staples_High_max,iShares Global Consumer Staples_High_min,iShares Global Consumer Staples_High_volatility,iShares Global Consumer Staples_High_change,iShares Global Consumer Staples_Low_average,iShares Global Consumer Staples_Low_max,iShares Global Consumer Staples_Low_min,iShares Global Consumer Staples_Low_volatility,iShares Global Consumer Staples_Low_change,iShares Global Consumer Staples_Close_average,iShares Global Consumer Staples_Close_max,iShares Global Consumer Staples_Close_min,iShares Global Consumer Staples_Close_volatility,iShares Global Consumer Staples_Close_change
2018-06-03,48.98,48.98,48.98,0.0,0.0,49.27,49.27,49.27,0.0,0.0,48.98,48.98,48.98,0.0,0.0,49.23,49.23,49.23,0.0,0.0
2018-06-10,49.15,49.15,49.15,0.0,0.0,49.23,49.23,49.23,0.0,0.0,48.76,48.76,48.76,0.0,0.0,48.89,48.89,48.89,0.0,0.0
2018-06-17,48.86,48.86,48.86,0.0,0.0,49.01,49.01,49.01,0.0,0.0,48.69,48.69,48.69,0.0,0.0,48.9,48.9,48.9,0.0,0.0
2018-06-24,48.58,48.58,48.58,0.0,0.0,48.92,48.92,48.92,0.0,0.0,48.49,48.49,48.49,0.0,0.0,48.92,48.92,48.92,0.0,0.0
2018-07-01,49.83,49.83,49.83,0.0,0.0,49.83,49.83,49.83,0.0,0.0,49.6,49.6,49.6,0.0,0.0,49.61,49.61,49.61,0.0,0.0
2018-07-08,49.91,49.91,49.91,0.0,0.0,49.91,49.91,49.91,0.0,0.0,49.68,49.68,49.68,0.0,0.0,49.85,49.85,49.85,0.0,0.0
2018-07-15,50.23,50.23,50.23,0.0,0.0,50.24,50.24,50.24,0.0,0.0,49.95,49.95,49.95,0.0,0.0,50.03,50.03,50.03,0.0,0.0
2018-07-22,50.56,50.56,50.56,0.0,0.0,50.66,50.66,50.66,0.0,0.0,50.47,50.47,50.47,0.0,0.0,50.56,50.56,50.56,0.0,0.0
2018-07-29,50.82,50.82,50.82,0.0,0.0,50.98,50.98,50.98,0.0,0.0,50.8,50.8,50.8,0.0,0.0,50.8,50.8,50.8,0.0,0.0
2018-08-05,49.88,49.88,49.88,0.0,0.0,49.89,49.89,49.89,0.0,0.0,49.71,49.71,49.71,0.0,0.0,49.77,49.77,49.77,0.0,0.0
2018-08-12,51.08,51.08,51.08,0.0,0.0,51.17,51.17,51.17,0.0,0.0,51.04,51.04,51.04,0.0,0.0,51.07,51.07,51.07,0.0,0.0
2018-08-19,50.78,50.78,50.78,0.0,0.0,50.83,50.83,50.83,0.0,0.0,50.65,50.65,50.65,0.0,0.0,50.71,50.71,50.71,0.0,0.0
2018-08-26,50.32,50.32,50.32,0.0,0.0,50.44,50.44,50.44,0.0,0.0,50.01,50.01,50.01,0.0,0.0,50.19,50.19,50.19,0.0,0.0
2018-09-02,50.21,50.21,50.21,0.0,0.0,50.41,50.41,50.41,0.0,0.0,50.19,50.19,50.19,0.0,0.0,50.28,50.28,50.28,0.0,0.0
2018-09-09,50.57,50.57,50.57,0.0,0.0,50.75,50.75,50.75,0.0,0.0,50.57,50.57,50.57,0.0,0.0,50.66,50.66,50.66,0.0,0.0
2018-09-16,50.86,50.86,50.86,0.0,0.0,50.86,50.86,50.86,0.0,0.0,50.26,50.26,50.26,0.0,0.0,50.29,50.29,50.29,0.0,0.0
2018-09-23,50.41,50.41,50.41,0.0,0.0,50.49,50.49,50.49,0.0,0.0,50.19,50.19,50.19,0.0,0.0,50.24,50.24,50.24,0.0,0.0
2018-09-30,49.34,49.34,49.34,0.0,0.0,49.89,49.89,49.89,0.0,0.0,49.34,49.34,49.34,0.0,0.0,49.86,49.86,49.86,0.0,0.0
2018-10-07,48.28,48.28,48.28,0.0,0.0,48.77,48.77,48.77,0.0,0.0,48.28,48.28,48.28,0.0,0.0,48.59,48.59,48.59,0.0,0.0
2018-10-14,49.91,49.91,49.91,0.0,0.0,50.06,50.06,50.06,0.0,0.0,49.48,49.48,49.48,0.0,0.0,49.64,49.64,49.64,0.0,0.0
2018-10-21,49.28,49.28,49.28,0.0,0.0,49.58,49.58,49.58,0.0,0.0,48.91,48.91,48.91,0.0,0.0,49.13,49.13,49.13,0.0,0.0
2018-10-28,49.89,49.89,49.89,0.0,0.0,50.27,50.27,50.27,0.0,0.0,49.89,49.89,49.89,0.0,0.0,50.12,50.12,50.12,0.0,0.0
2018-11-04,50.47,50.47,50.47,0.0,0.0,50.69,50.69,50.69,0.0,0.0,50.29,50.29,50.29,0.0,0.0,50.29,50.29,50.29,0.0,0.0
2018-11-11,50.21,50.21,50.21,0.0,0.0,50.4,50.4,50.4,0.0,0.0,49.9,49.9,49.9,0.0,0.0,50.0,50.0,50.0,0.0,0.0
2018-11-18,49.63,49.63,49.63,0.0,0.0,49.72,49.72,49.72,0.0,0.0,49.43,49.43,49.43,0.0,0.0,49.51,49.51,49.51,0.0,0.0
2018-11-25,50.47,50.47,50.47,0.0,0.0,50.47,50.47,50.47,0.0,0.0,50.06,50.06,50.06,0.0,0.0,50.37,50.37,50.37,0.0,0.0
2018-12-02,49.18,49.18,49.18,0.0,0.0,49.22,49.22,49.22,0.0,0.0,48.48,48.48,48.48,0.0,0.0,49.01,49.01,49.01,0.0,0.0
2018-12-09,48.69,48.69,48.69,0.0,0.0,48.69,48.69,48.69,0.0,0.0,47.71,47.71,47.71,0.0,0.0,47.88,47.88,47.88,0.0,0.0
2018-12-16,45.55,45.55,45.55,0.0,0.0,45.56,45.56,45.56,0.0,0.0,44.53,44.53,44.53,0.0,0.0,44.53,44.53,44.53,0.0,0.0
2018-12-23,46.12,46.12,46.12,0.0,0.0,46.12,46.12,46.12,0.0,0.0,45.76,45.76,45.76,0.0,0.0,45.97,45.97,45.97,0.0,0.0
2018-12-30,46.47,46.47,46.47,0.0,0.0,46.77,46.77,46.77,0.0,0.0,46.29,46.29,46.29,0.0,0.0,46.55,46.55,46.55,0.0,0.0
2019-01-06,46.73,46.73,46.73,0.0,0.0,46.87,46.87,46.87,0.0,0.0,46.7,46.7,46.7,0.0,0.0,46.74,46.74,46.74,0.0,0.0
2019-01-13,47.36,47.36,47.36,0.0,0.0,47.64,47.64,47.64,0.0,0.0,47.36,47.36,47.36,0.0,0.0,47.54,47.54,47.54,0.0,0.0
2019-01-20,46.93,46.93,46.93,0.0,0.0,47.14,47.14,47.14,0.0,0.0,46.76,46.76,46.76,0.0,0.0,47.08,47.08,47.08,0.0,0.0
2019-01-27,48.49,48.49,48.49,0.0,0.0,48.66,48.66,48.66,0.0,0.0,48.3,48.3,48.3,0.0,0.0,48.61,48.61,48.61,0.0,0.0
2019-02-03,48.72,48.72,48.72,0.0,0.0,48.79,48.79,48.79,0.0,0.0,48.64,48.64,48.64,0.0,0.0,48.71,48.71,48.71,0.0,0.0
2019-02-10,49.43,49.43,49.43,0.0,0.0,49.51,49.51,49.51,0.0,0.0,49.35,49.35,49.35,0.0,0.0,49.5,49.5,49.5,0.0,0.0
2019-02-17,49.92,49.92,49.92,0.0,0.0,49.92,49.92,49.92,0.0,0.0,49.53,49.53,49.53,0.0,0.0,49.64,49.64,49.64,0.0,0.0
2019-02-24,49.78,49.78,49.78,0.0,0.0,49.85,49.85,49.85,0.0,0.0,49.24,49.24,49.24,0.0,0.0,49.45,49.45,49.45,0.0,0.0
2019-03-03,49.67,49.67,49.67,0.0,0.0,50.19,50.19,50.19,0.0,0.0,49.66,49.66,49.66,0.0,0.0,50.17,50.17,50.17,0.0,0.0
2019-03-10,50.93,50.93,50.93,0.0,0.0,51.05,51.05,51.05,0.0,0.0,50.82,50.82,50.82,0.0,0.0,51.03,51.03,51.03,0.0,0.0
2019-03-17,50.81,50.81,50.81,0.0,0.0,51.04,51.04,51.04,0.0,0.0,50.77,50.77,50.77,0.0,0.0,50.92,50.92,50.92,0.0,0.0
2019-03-24,51.83,51.83,51.83,0.0,0.0,51.83,51.83,51.83,0.0,0.0,51.51,51.51,51.51,0.0,0.0,51.69,51.69,51.69,0.0,0.0
2019-03-31,51.42,51.42,51.42,0.0,0.0,51.54,51.54,51.54,0.0,0.0,51.33,51.33,51.33,0.0,0.0,51.52,51.52,51.52,0.0,0.0
2019-04-07,51.55,51.55,51.55,0.0,0.0,51.81,51.81,51.81,0.0,0.0,51.55,51.55,51.55,0.0,0.0,51.73,51.73,51.73,0.0,0.0
2019-04-14,51.77,51.77,51.77,0.0,0.0,52.02,52.02,52.02,0.0,0.0,51.77,51.77,51.77,0.0,0.0,51.8,51.8,51.8,0.0,0.0
2019-04-21,52.02,52.02,52.02,0.0,0.0,52.21,52.21,52.21,0.0,0.0,52.02,52.02,52.02,0.0,0.0,52.2,52.2,52.2,0.0,0.0
2019-04-28,51.97,51.97,51.97,0.0,0.0,52.46,52.46,52.46,0.0,0.0,51.97,51.97,51.97,0.0,0.0,52.42,52.42,52.42,0.0,0.0
2019-05-05,51.71,51.71,51.71,0.0,0.0,51.86,51.86,51.86,0.0,0.0,51.59,51.59,51.59,0.0,0.0,51.74,51.74,51.74,0.0,0.0
2019-05-12,52.41,52.41,52.41,0.0,0.0,52.64,52.64,52.64,0.0,0.0,52.34,52.34,52.34,0.0,0.0,52.36,52.36,52.36,0.0,0.0
2019-05-19,52.63,52.63,52.63,0.0,0.0,52.63,52.63,52.63,0.0,0.0,52.34,52.34,52.34,0.0,0.0,52.47,52.47,52.47,0.0,0.0
2019-05-26,51.1,51.1,51.1,0.0,0.0,51.58,51.58,51.58,0.0,0.0,51.04,51.04,51.04,0.0,0.0,51.52,51.52,51.52,0.0,0.0
2019-06-02,53.31,53.31,53.31,0.0,0.0,53.31,53.31,53.31,0.0,0.0,53.1,53.1,53.1,0.0,0.0,53.18,53.18,53.18,0.0,0.0
2019-06-09,52.65,52.65,52.65,0.0,0.0,52.68,52.68,52.68,0.0,0.0,52.49,52.49,52.49,0.0,0.0,52.61,52.61,52.61,0.0,0.0
2019-06-16,53.16,53.16,53.16,0.0,0.0,53.3,53.3,53.3,0.0,0.0,53.15,53.15,53.15,0.0,0.0,53.21,53.21,53.21,0.0,0.0
2019-06-23,52.85,52.85,52.85,0.0,0.0,52.88,52.88,52.88,0.0,0.0,52.49,52.49,52.49,0.0,0.0,52.73,52.73,52.73,0.0,0.0
2019-06-30,53.54,53.54,53.54,0.0,0.0,53.67,53.67,53.67,0.0,0.0,53.51,53.51,53.51,0.0,0.0,53.66,53.66,53.66,0.0,0.0
2019-07-07,53.8,53.8,53.8,0.0,0.0,53.91,53.91,53.91,0.0,0.0,53.72,53.72,53.72,0.0,0.0,53.83,53.83,53.83,0.0,0.0
2019-07-14,53.93,53.93,53.93,0.0,0.0,53.93,53.93,53.93,0.0,0.0,53.67,53.67,53.67,0.0,0.0,53.77,53.77,53.77,0.0,0.0
2019-07-21,54.26,54.26,54.26,0.0,0.0,54.34,54.34,54.34,0.0,0.0,54.18,54.18,54.18,0.0,0.0,54.32,54.32,54.32,0.0,0.0
2019-07-28,52.81,52.81,52.81,0.0,0.0,52.81,52.81,52.81,0.0,0.0,51.71,51.71,51.71,0.0,0.0,51.94,51.94,51.94,0.0,0.0
2019-08-04,53.24,53.24,53.24,0.0,0.0,53.37,53.37,53.37,0.0,0.0,52.95,52.95,52.95,0.0,0.0,53.07,53.07,53.07,0.0,0.0
2019-08-11,54.09,54.09,54.09,0.0,0.0,54.26,54.26,54.26,0.0,0.0,54.07,54.07,54.07,0.0,0.0,54.24,54.24,54.24,0.0,0.0
2019-08-18,53.86,53.86,53.86,0.0,0.0,53.97,53.97,53.97,0.0,0.0,53.62,53.62,53.62,0.0,0.0,53.86,53.86,53.86,0.0,0.0
2019-08-25,54.68,54.68,54.68,0.0,0.0,54.7,54.7,54.7,0.0,0.0,54.31,54.31,54.31,0.0,0.0,54.43,54.43,54.43,0.0,0.0
2019-09-01,55.04,55.04,55.04,0.0,0.0,55.05,55.05,55.05,0.0,0.0,54.76,54.76,54.76,0.0,0.0,54.81,54.81,54.81,0.0,0.0
2019-09-08,54.28,54.28,54.28,0.0,0.0,54.28,54.28,54.28,0.0,0.0,53.88,53.88,53.88,0.0,0.0,53.92,53.92,53.92,0.0,0.0
2019-09-15,54.3,54.3,54.3,0.0,0.0,54.5,54.5,54.5,0.0,0.0,54.3,54.3,54.3,0.0,0.0,54.44,54.44,54.44,0.0,0.0
2019-09-22,54.57,54.57,54.57,0.0,0.0,54.92,54.92,54.92,0.0,0.0,54.57,54.57,54.57,0.0,0.0,54.82,54.82,54.82,0.0,0.0
2019-09-29,54.44,54.44,54.44,0.0,0.0,54.58,54.58,54.58,0.0,0.0,54.26,54.26,54.26,0.0,0.0,54.27,54.27,54.27,0.0,0.0
2019-10-06,54.24,54.24,54.24,0.0,0.0,54.35,54.35,54.35,0.0,0.0,54.01,54.01,54.01,0.0,0.0,54.03,54.03,54.03,0.0,0.0
2019-10-13,54.11,54.11,54.11,0.0,0.0,54.27,54.27,54.27,0.0,0.0,54.07,54.07,54.07,0.0,0.0,54.23,54.23,54.23,0.0,0.0
2019-10-20,54.09,54.09,54.09,0.0,0.0,54.19,54.19,54.19,0.0,0.0,53.93,53.93,53.93,0.0,0.0,54.05,54.05,54.05,0.0,0.0
2019-10-27,54.59,54.59,54.59,0.0,0.0,54.59,54.59,54.59,0.0,0.0,53.97,53.97,53.97,0.0,0.0,54.04,54.04,54.04,0.0,0.0
2019-11-03,54.14,54.14,54.14,0.0,0.0,54.26,54.26,54.26,0.0,0.0,54.12,54.12,54.12,0.0,0.0,54.25,54.25,54.25,0.0,0.0
2019-11-10,54.61,54.61,54.61,0.0,0.0,54.92,54.92,54.92,0.0,0.0,54.61,54.61,54.61,0.0,0.0,54.71,54.71,54.71,0.0,0.0
2019-11-17,54.52,54.52,54.52,0.0,0.0,54.61,54.61,54.61,0.0,0.0,54.42,54.42,54.42,0.0,0.0,54.51,54.51,54.51,0.0,0.0
2019-11-24,54.82,54.82,54.82,0.0,0.0,54.93,54.93,54.93,0.0,0.0,54.6,54.6,54.6,0.0,0.0,54.93,54.93,54.93,0.0,0.0
2019-12-01,55.25,55.25,55.25,0.0,0.0,55.41,55.41,55.41,0.0,0.0,55.23,55.23,55.23,0.0,0.0,55.25,55.25,55.25,0.0,0.0
2019-12-08,55.21,55.21,55.21,0.0,0.0,55.45,55.45,55.45,0.0,0.0,55.13,55.13,55.13,0.0,0.0,55.25,55.25,55.25,0.0,0.0
2019-12-15,55.54,55.54,55.54,0.0,0.0,55.7,55.7,55.7,0.0,0.0,55.44,55.44,55.44,0.0,0.0,55.49,55.49,55.49,0.0,0.0
2019-12-22,55.77,55.77,55.77,0.0,0.0,55.77,55.77,55.77,0.0,0.0,55.4,55.4,55.4,0.0,0.0,55.5,55.5,55.5,0.0,0.0
2019-12-29,55.01,55.01,55.01,0.0,0.0,55.42,55.42,55.42,0.0,0.0,55.01,55.01,55.01,0.0,0.0,55.27,55.27,55.27,0.0,0.0
