Date,iShares Core High Dividend_Open_average,iShares Core High Dividend_Open_max,iShares Core High Dividend_Open_min,iShares Core High Dividend_Open_volatility,iShares Core High Dividend_Open_change,iShares Core High Dividend_High_average,iShares Core High Dividend_High_max,iShares Core High Dividend_High_min,iShares Core High Dividend_High_volatility,iShares Core High Dividend_High_change,iShares Core High Dividend_Low_average,iShares Core High Dividend_Low_max,iShares Core High Dividend_Low_min,iShares Core High Dividend_Low_volatility,iShares Core High Dividend_Low_change,iShares Core High Dividend_Close_average,iShares Core High Dividend_Close_max,iShares Core High Dividend_Close_min,iShares Core High Dividend_Close_volatility,iShares Core High Dividend_Close_change
2018-09-23,90.38,90.38,90.38,0.0,0.0,90.74,90.74,90.74,0.0,0.0,90.3,90.3,90.3,0.0,0.0,90.54,90.54,90.54,0.0,0.0
2018-09-30,91.13,91.13,91.13,0.0,0.0,91.47,91.47,91.47,0.0,0.0,90.96,90.96,90.96,0.0,0.0,91.25,91.25,91.25,0.0,0.0
2018-10-07,88.09,88.09,88.09,0.0,0.0,88.11,88.11,88.11,0.0,0.0,86.88,86.88,86.88,0.0,0.0,87.82,87.82,87.82,0.0,0.0
2018-10-14,89.06,89.06,89.06,0.0,0.0,89.88,89.88,89.88,0.0,0.0,89.0,89.0,89.0,0.0,0.0,89.52,89.52,89.52,0.0,0.0
2018-10-21,87.45,87.45,87.45,0.0,0.0,87.48,87.48,87.48,0.0,0.0,86.17,86.17,86.17,0.0,0.0,86.78,86.78,86.78,0.0,0.0
2018-10-28,89.58,89.58,89.58,0.0,0.0,89.58,89.58,89.58,0.0,0.0,88.08,88.08,88.08,0.0,0.0,88.87,88.87,88.87,0.0,0.0
2018-11-04,91.11,91.11,91.11,0.0,0.0,91.65,91.65,91.65,0.0,0.0,91.01,91.01,91.01,0.0,0.0,91.32,91.32,91.32,0.0,0.0
2018-11-11,90.54,90.54,90.54,0.0,0.0,91.55,91.55,91.55,0.0,0.0,90.54,90.54,90.54,0.0,0.0,91.37,91.37,91.37,0.0,0.0
2018-11-18,88.94,88.94,88.94,0.0,0.0,89.12,89.12,89.12,0.0,0.0,88.63,88.63,88.63,0.0,0.0,88.84,88.84,88.84,0.0,0.0
2018-11-25,91.41,91.41,91.41,0.0,0.0,92.51,92.51,92.51,0.0,0.0,91.37,91.37,91.37,0.0,0.0,92.31,92.31,92.31,0.0,0.0
2018-12-02,91.03,91.03,91.03,0.0,0.0,91.55,91.55,91.55,0.0,0.0,89.49,89.49,89.49,0.0,0.0,89.83,89.83,89.83,0.0,0.0
2018-12-09,89.86,89.86,89.86,0.0,0.0,89.86,89.86,89.86,0.0,0.0,88.25,88.25,88.25,0.0,0.0,88.56,88.56,88.56,0.0,0.0
2018-12-16,83.2,83.2,83.2,0.0,0.0,85.0,85.0,85.0,0.0,0.0,82.55,82.55,82.55,0.0,0.0,82.83,82.83,82.83,0.0,0.0
2018-12-23,84.3,84.3,84.3,0.0,0.0,84.68,84.68,84.68,0.0,0.0,83.4,83.4,83.4,0.0,0.0,83.72,83.72,83.72,0.0,0.0
2018-12-30,83.71,83.71,83.71,0.0,0.0,84.9,84.9,84.9,0.0,0.0,83.53,83.53,83.53,0.0,0.0,84.82,84.82,84.82,0.0,0.0
2019-01-06,85.69,85.69,85.69,0.0,0.0,85.91,85.91,85.91,0.0,0.0,85.34,85.34,85.34,0.0,0.0,85.88,85.88,85.88,0.0,0.0
2019-01-13,86.88,86.88,86.88,0.0,0.0,87.37,87.37,87.37,0.0,0.0,86.69,86.69,86.69,0.0,0.0,87.29,87.29,87.29,0.0,0.0
2019-01-20,86.63,86.63,86.63,0.0,0.0,86.94,86.94,86.94,0.0,0.0,86.22,86.22,86.22,0.0,0.0,86.37,86.37,86.37,0.0,0.0
2019-01-27,88.96,88.96,88.96,0.0,0.0,89.36,89.36,89.36,0.0,0.0,88.7,88.7,88.7,0.0,0.0,89.16,89.16,89.16,0.0,0.0
2019-02-03,88.61,88.61,88.61,0.0,0.0,89.21,89.21,89.21,0.0,0.0,88.37,88.37,88.37,0.0,0.0,89.21,89.21,89.21,0.0,0.0
2019-02-10,90.68,90.68,90.68,0.0,0.0,91.04,91.04,91.04,0.0,0.0,90.6,90.6,90.6,0.0,0.0,91.04,91.04,91.04,0.0,0.0
2019-02-17,91.78,91.78,91.78,0.0,0.0,92.17,92.17,92.17,0.0,0.0,91.63,91.63,91.63,0.0,0.0,92.13,92.13,92.13,0.0,0.0
