Date,ProShares Ultra Gold_etf_Open_average,ProShares Ultra Gold_etf_Open_max,ProShares Ultra Gold_etf_Open_min,ProShares Ultra Gold_etf_Open_volatility,ProShares Ultra Gold_etf_Open_change,ProShares Ultra Gold_etf_High_average,ProShares Ultra Gold_etf_High_max,ProShares Ultra Gold_etf_High_min,ProShares Ultra Gold_etf_High_volatility,ProShares Ultra Gold_etf_High_change,ProShares Ultra Gold_etf_Low_average,ProShares Ultra Gold_etf_Low_max,ProShares Ultra Gold_etf_Low_min,ProShares Ultra Gold_etf_Low_volatility,ProShares Ultra Gold_etf_Low_change,ProShares Ultra Gold_etf_Close_average,ProShares Ultra Gold_etf_Close_max,ProShares Ultra Gold_etf_Close_min,ProShares Ultra Gold_etf_Close_volatility,ProShares Ultra Gold_etf_Close_change
2018-03-25,41.38,41.38,41.38,0.0,0.0,41.55,41.55,41.55,0.0,0.0,41.3,41.3,41.3,0.0,0.0,41.55,41.55,41.55,0.0,0.0
2018-04-01,42.06,42.06,42.06,0.0,0.0,42.06,42.06,42.06,0.0,0.0,41.82,41.82,41.82,0.0,0.0,42.0,42.0,42.0,0.0,0.0
2018-04-08,42.35,42.35,42.35,0.0,0.0,42.82,42.82,42.82,0.0,0.0,42.33,42.33,42.33,0.0,0.0,42.61,42.61,42.61,0.0,0.0
2018-04-15,42.11,42.11,42.11,0.0,0.0,42.28,42.28,42.28,0.0,0.0,42.01,42.01,42.01,0.0,0.0,42.08,42.08,42.08,0.0,0.0
2018-04-22,41.05,41.05,41.05,0.0,0.0,41.37,41.37,41.37,0.0,0.0,40.97,40.97,40.97,0.0,0.0,41.26,41.26,41.26,0.0,0.0
2018-04-29,40.28,40.28,40.28,0.0,0.0,40.7,40.7,40.7,0.0,0.0,40.21,40.21,40.21,0.0,0.0,40.61,40.61,40.61,0.0,0.0
2018-05-06,41.2,41.2,41.2,0.0,0.0,41.29,41.29,41.29,0.0,0.0,40.81,40.81,40.81,0.0,0.0,40.88,40.88,40.88,0.0,0.0
2018-05-13,39.0,39.0,39.0,0.0,0.0,39.23,39.23,39.23,0.0,0.0,38.95,38.95,38.95,0.0,0.0,39.17,39.17,39.17,0.0,0.0
2018-05-20,39.85,39.85,39.85,0.0,0.0,39.95,39.95,39.95,0.0,0.0,39.67,39.67,39.67,0.0,0.0,39.67,39.67,39.67,0.0,0.0
2018-05-27,39.21,39.21,39.21,0.0,0.0,39.47,39.47,39.47,0.0,0.0,39.08,39.08,39.08,0.0,0.0,39.14,39.14,39.14,0.0,0.0
2018-06-03,39.52,39.52,39.52,0.0,0.0,39.53,39.53,39.53,0.0,0.0,39.37,39.37,39.37,0.0,0.0,39.47,39.47,39.47,0.0,0.0
2018-06-10,38.83,38.83,38.83,0.0,0.0,38.88,38.88,38.88,0.0,0.0,38.07,38.07,38.07,0.0,0.0,38.32,38.32,38.32,0.0,0.0
2018-06-17,37.52,37.52,37.52,0.0,0.0,37.8,37.8,37.8,0.0,0.0,37.5,37.5,37.5,0.0,0.0,37.63,37.63,37.63,0.0,0.0
2018-06-24,36.43,36.43,36.43,0.0,0.0,36.76,36.76,36.76,0.0,0.0,36.43,36.43,36.43,0.0,0.0,36.56,36.56,36.56,0.0,0.0
2018-07-01,36.82,36.82,36.82,0.0,0.0,36.88,36.88,36.88,0.0,0.0,36.6,36.6,36.6,0.0,0.0,36.72,36.72,36.72,0.0,0.0
2018-07-08,35.93,35.93,35.93,0.0,0.0,36.1,36.1,36.1,0.0,0.0,35.68,35.68,35.68,0.0,0.0,35.92,35.92,35.92,0.0,0.0
2018-07-15,35.14,35.14,35.14,0.0,0.0,35.29,35.29,35.29,0.0,0.0,35.09,35.09,35.09,0.0,0.0,35.24,35.24,35.24,0.0,0.0
2018-07-22,34.83,34.83,34.83,0.0,0.0,35.07,35.07,35.07,0.0,0.0,34.79,34.79,34.79,0.0,0.0,34.82,34.82,34.82,0.0,0.0
2018-07-29,34.27,34.27,34.27,0.0,0.0,34.55,34.55,34.55,0.0,0.0,34.19,34.19,34.19,0.0,0.0,34.25,34.25,34.25,0.0,0.0
2018-08-05,34.11,34.11,34.11,0.0,0.0,34.37,34.37,34.37,0.0,0.0,34.01,34.01,34.01,0.0,0.0,34.04,34.04,34.04,0.0,0.0
2018-08-12,32.28,32.28,32.28,0.0,0.0,32.55,32.55,32.55,0.0,0.0,32.1,32.1,32.1,0.0,0.0,32.52,32.52,32.52,0.0,0.0
2018-08-19,33.17,33.17,33.17,0.0,0.0,33.81,33.81,33.81,0.0,0.0,33.02,33.02,33.02,0.0,0.0,33.65,33.65,33.65,0.0,0.0
2018-08-26,33.45,33.45,33.45,0.0,0.0,33.57,33.57,33.57,0.0,0.0,33.22,33.22,33.22,0.0,0.0,33.26,33.26,33.26,0.0,0.0
2018-09-02,33.08,33.08,33.08,0.0,0.0,33.25,33.25,33.25,0.0,0.0,32.95,32.95,32.95,0.0,0.0,33.08,33.08,33.08,0.0,0.0
2018-09-09,33.4,33.4,33.4,0.0,0.0,33.43,33.43,33.43,0.0,0.0,32.88,32.88,32.88,0.0,0.0,32.93,32.93,32.93,0.0,0.0
2018-09-16,32.79,32.79,32.79,0.0,0.0,33.3,33.3,33.3,0.0,0.0,32.79,32.79,32.79,0.0,0.0,33.18,33.18,33.18,0.0,0.0
2018-09-23,32.45,32.45,32.45,0.0,0.0,32.85,32.85,32.85,0.0,0.0,32.39,32.39,32.39,0.0,0.0,32.75,32.75,32.75,0.0,0.0
2018-09-30,33.35,33.35,33.35,0.0,0.0,33.4,33.4,33.4,0.0,0.0,33.19,33.19,33.19,0.0,0.0,33.35,33.35,33.35,0.0,0.0
2018-10-07,34.3,34.3,34.3,0.0,0.0,34.37,34.37,34.37,0.0,0.0,34.02,34.02,34.02,0.0,0.0,34.1,34.1,34.1,0.0,0.0
2018-10-14,34.7,34.7,34.7,0.0,0.0,34.7,34.7,34.7,0.0,0.0,34.51,34.51,34.51,0.0,0.0,34.55,34.55,34.55,0.0,0.0
2018-10-21,35.01,35.01,35.01,0.0,0.0,35.48,35.48,35.48,0.0,0.0,34.87,34.87,34.87,0.0,0.0,34.92,34.92,34.92,0.0,0.0
2018-10-28,34.84,34.84,34.84,0.0,0.0,35.02,35.02,35.02,0.0,0.0,34.68,34.68,34.68,0.0,0.0,34.85,34.85,34.85,0.0,0.0
2018-11-04,33.54,33.54,33.54,0.0,0.0,33.66,33.66,33.66,0.0,0.0,33.33,33.33,33.33,0.0,0.0,33.49,33.49,33.49,0.0,0.0
2018-11-11,34.27,34.27,34.27,0.0,0.0,34.29,34.29,34.29,0.0,0.0,34.05,34.05,34.05,0.0,0.0,34.11,34.11,34.11,0.0,0.0
2018-11-18,34.28,34.28,34.28,0.0,0.0,34.3,34.3,34.3,0.0,0.0,34.19,34.19,34.19,0.0,0.0,34.2,34.2,34.2,0.0,0.0
2018-11-25,33.88,33.88,33.88,0.0,0.0,34.11,34.11,34.11,0.0,0.0,33.82,33.82,33.82,0.0,0.0,34.08,34.08,34.08,0.0,0.0
2018-12-02,35.31,35.31,35.31,0.0,0.0,35.64,35.64,35.64,0.0,0.0,35.25,35.25,35.25,0.0,0.0,35.54,35.54,35.54,0.0,0.0
2018-12-09,34.69,34.69,34.69,0.0,0.0,35.04,35.04,35.04,0.0,0.0,34.64,34.64,34.64,0.0,0.0,34.9,34.9,34.9,0.0,0.0
2018-12-16,36.21,36.21,36.21,0.0,0.0,36.21,36.21,36.21,0.0,0.0,35.78,35.78,35.78,0.0,0.0,35.88,35.88,35.88,0.0,0.0
2018-12-23,37.02,37.02,37.02,0.0,0.0,37.25,37.25,37.25,0.0,0.0,36.97,36.97,36.97,0.0,0.0,37.22,37.22,37.22,0.0,0.0
2018-12-30,37.5,37.5,37.5,0.0,0.0,37.59,37.59,37.59,0.0,0.0,37.0,37.0,37.0,0.0,0.0,37.41,37.41,37.41,0.0,0.0
2019-01-06,37.52,37.52,37.52,0.0,0.0,37.72,37.72,37.72,0.0,0.0,37.49,37.49,37.49,0.0,0.0,37.55,37.55,37.55,0.0,0.0
2019-01-13,37.15,37.15,37.15,0.0,0.0,37.3,37.3,37.3,0.0,0.0,37.0,37.0,37.0,0.0,0.0,37.03,37.03,37.03,0.0,0.0
2019-01-20,37.61,37.61,37.61,0.0,0.0,38.13,38.13,38.13,0.0,0.0,37.59,37.59,37.59,0.0,0.0,38.09,38.09,38.09,0.0,0.0
2019-01-27,39.35,39.35,39.35,0.0,0.0,39.46,39.46,39.46,0.0,0.0,39.05,39.05,39.05,0.0,0.0,39.14,39.14,39.14,0.0,0.0
2019-02-03,38.83,38.83,38.83,0.0,0.0,38.99,38.99,38.99,0.0,0.0,38.77,38.77,38.77,0.0,0.0,38.89,38.89,38.89,0.0,0.0
2019-02-10,39.12,39.12,39.12,0.0,0.0,39.33,39.33,39.33,0.0,0.0,38.85,38.85,38.85,0.0,0.0,39.25,39.25,39.25,0.0,0.0
2019-02-17,39.6,39.6,39.6,0.0,0.0,39.9,39.9,39.9,0.0,0.0,39.56,39.56,39.56,0.0,0.0,39.62,39.62,39.62,0.0,0.0
2019-02-24,38.27,38.27,38.27,0.0,0.0,38.57,38.57,38.57,0.0,0.0,37.28,37.28,37.28,0.0,0.0,37.28,37.28,37.28,0.0,0.0
2019-03-03,37.75,37.75,37.75,0.0,0.0,37.86,37.86,37.86,0.0,0.0,37.56,37.56,37.56,0.0,0.0,37.82,37.82,37.82,0.0,0.0
2019-03-10,37.93,37.93,37.93,0.0,0.0,38.11,38.11,38.11,0.0,0.0,37.86,37.86,37.86,0.0,0.0,37.88,37.88,37.88,0.0,0.0
2019-03-17,38.44,38.44,38.44,0.0,0.0,38.62,38.62,38.62,0.0,0.0,38.35,38.35,38.35,0.0,0.0,38.49,38.49,38.49,0.0,0.0
2019-03-24,37.58,37.58,37.58,0.0,0.0,37.65,37.65,37.65,0.0,0.0,37.22,37.22,37.22,0.0,0.0,37.24,37.24,37.24,0.0,0.0
2019-03-31,37.1,37.1,37.1,0.0,0.0,37.22,37.22,37.22,0.0,0.0,36.97,36.97,36.97,0.0,0.0,37.16,37.16,37.16,0.0,0.0
2019-04-07,37.1,37.1,37.1,0.0,0.0,37.28,37.28,37.28,0.0,0.0,37.03,37.03,37.03,0.0,0.0,37.03,37.03,37.03,0.0,0.0
2019-04-14,36.0,36.0,36.0,0.0,0.0,36.13,36.13,36.13,0.0,0.0,35.95,35.95,35.95,0.0,0.0,36.09,36.09,36.09,0.0,0.0
2019-04-21,36.63,36.63,36.63,0.0,0.0,36.87,36.87,36.87,0.0,0.0,36.63,36.63,36.63,0.0,0.0,36.71,36.71,36.71,0.0,0.0
2019-04-28,36.18,36.18,36.18,0.0,0.0,36.47,36.47,36.47,0.0,0.0,36.13,36.13,36.13,0.0,0.0,36.22,36.22,36.22,0.0,0.0
2019-05-05,36.65,36.65,36.65,0.0,0.0,36.84,36.84,36.84,0.0,0.0,36.59,36.59,36.59,0.0,0.0,36.65,36.65,36.65,0.0,0.0
2019-05-12,36.38,36.38,36.38,0.0,0.0,36.39,36.39,36.39,0.0,0.0,35.96,35.96,35.96,0.0,0.0,36.13,36.13,36.13,0.0,0.0
2019-05-19,36.43,36.43,36.43,0.0,0.0,36.5,36.5,36.5,0.0,0.0,36.29,36.29,36.29,0.0,0.0,36.48,36.48,36.48,0.0,0.0
2019-05-26,37.23,37.23,37.23,0.0,0.0,37.72,37.72,37.72,0.0,0.0,37.12,37.12,37.12,0.0,0.0,37.69,37.69,37.69,0.0,0.0
2019-06-02,39.82,39.82,39.82,0.0,0.0,40.1,40.1,40.1,0.0,0.0,39.55,39.55,39.55,0.0,0.0,39.68,39.68,39.68,0.0,0.0
2019-06-09,40.08,40.08,40.08,0.0,0.0,40.29,40.29,40.29,0.0,0.0,39.46,39.46,39.46,0.0,0.0,39.63,39.63,39.63,0.0,0.0
2019-06-16,42.95,42.95,42.95,0.0,0.0,43.2,43.2,43.2,0.0,0.0,42.5,42.5,42.5,0.0,0.0,43.1,43.1,43.1,0.0,0.0
2019-06-23,43.77,43.77,43.77,0.0,0.0,43.93,43.93,43.93,0.0,0.0,43.49,43.49,43.49,0.0,0.0,43.8,43.8,43.8,0.0,0.0
2019-06-30,42.61,42.61,42.61,0.0,0.0,43.17,43.17,43.17,0.0,0.0,42.2,42.2,42.2,0.0,0.0,43.09,43.09,43.09,0.0,0.0
2019-07-07,43.56,43.56,43.56,0.0,0.0,44.06,44.06,44.06,0.0,0.0,43.36,43.36,43.36,0.0,0.0,43.97,43.97,43.97,0.0,0.0
2019-07-14,45.21,45.21,45.21,0.0,0.0,45.57,45.57,45.57,0.0,0.0,44.21,44.21,44.21,0.0,0.0,44.54,44.54,44.54,0.0,0.0
2019-07-21,44.36,44.36,44.36,0.0,0.0,44.38,44.38,44.38,0.0,0.0,43.94,43.94,43.94,0.0,0.0,43.94,43.94,43.94,0.0,0.0
2019-07-28,45.06,45.06,45.06,0.0,0.0,45.83,45.83,45.83,0.0,0.0,45.06,45.06,45.06,0.0,0.0,45.43,45.43,45.43,0.0,0.0
2019-08-04,48.99,48.99,48.99,0.0,0.0,49.43,49.43,49.43,0.0,0.0,48.75,48.75,48.75,0.0,0.0,48.99,48.99,48.99,0.0,0.0
2019-08-11,49.88,49.88,49.88,0.0,0.0,50.14,50.14,50.14,0.0,0.0,49.27,49.27,49.27,0.0,0.0,49.95,49.95,49.95,0.0,0.0
2019-08-18,49.26,49.26,49.26,0.0,0.0,50.94,50.94,50.94,0.0,0.0,49.14,49.14,49.14,0.0,0.0,50.83,50.83,50.83,0.0,0.0
2019-08-25,50.59,50.59,50.59,0.0,0.0,50.97,50.97,50.97,0.0,0.0,50.02,50.02,50.02,0.0,0.0,50.5,50.5,50.5,0.0,0.0
2019-09-01,50.34,50.34,50.34,0.0,0.0,50.63,50.63,50.63,0.0,0.0,49.13,49.13,49.13,0.0,0.0,49.15,49.15,49.15,0.0,0.0
2019-09-08,48.98,48.98,48.98,0.0,0.0,49.17,49.17,49.17,0.0,0.0,47.86,47.86,47.86,0.0,0.0,47.92,47.92,47.92,0.0,0.0
2019-09-15,48.9,48.9,48.9,0.0,0.0,49.87,49.87,49.87,0.0,0.0,48.8,48.8,48.8,0.0,0.0,49.84,49.84,49.84,0.0,0.0
2019-09-22,47.95,47.95,47.95,0.0,0.0,48.87,48.87,48.87,0.0,0.0,47.86,47.86,47.86,0.0,0.0,48.46,48.46,48.46,0.0,0.0
2019-09-29,48.64,48.64,48.64,0.0,0.0,49.18,49.18,49.18,0.0,0.0,48.48,48.48,48.48,0.0,0.0,48.95,48.95,48.95,0.0,0.0
2019-10-06,47.55,47.55,47.55,0.0,0.0,47.68,47.68,47.68,0.0,0.0,46.85,46.85,46.85,0.0,0.0,47.59,47.59,47.59,0.0,0.0
2019-10-13,47.92,47.92,47.92,0.0,0.0,48.01,48.01,48.01,0.0,0.0,47.8,47.8,47.8,0.0,0.0,47.86,47.86,47.86,0.0,0.0
2019-10-20,49.4,49.4,49.4,0.0,0.0,49.41,49.41,49.41,0.0,0.0,48.52,48.52,48.52,0.0,0.0,48.77,48.77,48.77,0.0,0.0
2019-10-27,48.96,48.96,48.96,0.0,0.0,49.5,49.5,49.5,0.0,0.0,48.85,48.85,48.85,0.0,0.0,49.22,49.22,49.22,0.0,0.0
2019-11-03,45.77,45.77,45.77,0.0,0.0,46.25,46.25,46.25,0.0,0.0,45.62,45.62,45.62,0.0,0.0,45.64,45.64,45.64,0.0,0.0
2019-11-10,46.02,46.02,46.02,0.0,0.0,46.24,46.24,46.24,0.0,0.0,46.0,46.0,46.0,0.0,0.0,46.11,46.11,46.11,0.0,0.0
2019-11-17,46.21,46.21,46.21,0.0,0.0,46.23,46.23,46.23,0.0,0.0,45.8,45.8,45.8,0.0,0.0,45.83,45.83,45.83,0.0,0.0
2019-11-24,45.34,45.34,45.34,0.0,0.0,45.99,45.99,45.99,0.0,0.0,45.34,45.34,45.34,0.0,0.0,45.84,45.84,45.84,0.0,0.0
2019-12-01,45.7,45.7,45.7,0.0,0.0,45.7,45.7,45.7,0.0,0.0,45.44,45.44,45.44,0.0,0.0,45.57,45.57,45.57,0.0,0.0
2019-12-08,46.25,46.25,46.25,0.0,0.0,46.58,46.58,46.58,0.0,0.0,45.86,45.86,45.86,0.0,0.0,46.51,46.51,46.51,0.0,0.0
2019-12-15,46.7,46.7,46.7,0.0,0.0,46.75,46.75,46.75,0.0,0.0,46.45,46.45,46.45,0.0,0.0,46.55,46.55,46.55,0.0,0.0
2019-12-22,48.7,48.7,48.7,0.0,0.0,48.96,48.96,48.96,0.0,0.0,48.65,48.65,48.65,0.0,0.0,48.66,48.66,48.66,0.0,0.0
2019-12-29,50.96,50.96,50.96,0.0,0.0,51.35,51.35,51.35,0.0,0.0,50.75,50.75,50.75,0.0,0.0,51.05,51.05,51.05,0.0,0.0
