Date,iShares Aaa - A Rated Corporate Bond_etf_Open_average,iShares Aaa - A Rated Corporate Bond_etf_Open_max,iShares Aaa - A Rated Corporate Bond_etf_Open_min,iShares Aaa - A Rated Corporate Bond_etf_Open_volatility,iShares Aaa - A Rated Corporate Bond_etf_Open_change,iShares Aaa - A Rated Corporate Bond_etf_High_average,iShares Aaa - A Rated Corporate Bond_etf_High_max,iShares Aaa - A Rated Corporate Bond_etf_High_min,iShares Aaa - A Rated Corporate Bond_etf_High_volatility,iShares Aaa - A Rated Corporate Bond_etf_High_change,iShares Aaa - A Rated Corporate Bond_etf_Low_average,iShares Aaa - A Rated Corporate Bond_etf_Low_max,iShares Aaa - A Rated Corporate Bond_etf_Low_min,iShares Aaa - A Rated Corporate Bond_etf_Low_volatility,iShares Aaa - A Rated Corporate Bond_etf_Low_change,iShares Aaa - A Rated Corporate Bond_etf_Close_average,iShares Aaa - A Rated Corporate Bond_etf_Close_max,iShares Aaa - A Rated Corporate Bond_etf_Close_min,iShares Aaa - A Rated Corporate Bond_etf_Close_volatility,iShares Aaa - A Rated Corporate Bond_etf_Close_change
2018-04-15,50.58,50.58,50.58,0.0,0.0,50.62,50.62,50.62,0.0,0.0,50.48,50.48,50.48,0.0,0.0,50.48,50.48,50.48,0.0,0.0
2018-04-22,50.47,50.47,50.47,0.0,0.0,50.51,50.51,50.51,0.0,0.0,50.46,50.46,50.46,0.0,0.0,50.47,50.47,50.47,0.0,0.0
2018-04-29,50.34,50.34,50.34,0.0,0.0,50.34,50.34,50.34,0.0,0.0,50.23,50.23,50.23,0.0,0.0,50.27,50.27,50.27,0.0,0.0
2018-05-06,50.37,50.37,50.37,0.0,0.0,50.38,50.38,50.38,0.0,0.0,50.35,50.35,50.35,0.0,0.0,50.37,50.37,50.37,0.0,0.0
2018-05-13,50.14,50.14,50.14,0.0,0.0,50.3,50.3,50.3,0.0,0.0,50.11,50.11,50.11,0.0,0.0,50.22,50.22,50.22,0.0,0.0
2018-05-20,50.6,50.6,50.6,0.0,0.0,50.63,50.63,50.63,0.0,0.0,50.56,50.56,50.56,0.0,0.0,50.6,50.6,50.6,0.0,0.0
2018-05-27,50.53,50.53,50.53,0.0,0.0,50.58,50.58,50.58,0.0,0.0,50.49,50.49,50.49,0.0,0.0,50.54,50.54,50.54,0.0,0.0
2018-06-03,50.37,50.37,50.37,0.0,0.0,50.51,50.51,50.51,0.0,0.0,50.37,50.37,50.37,0.0,0.0,50.45,50.45,50.45,0.0,0.0
2018-06-10,50.6,50.6,50.6,0.0,0.0,50.63,50.63,50.63,0.0,0.0,50.51,50.51,50.51,0.0,0.0,50.52,50.52,50.52,0.0,0.0
2018-06-17,50.31,50.31,50.31,0.0,0.0,50.31,50.31,50.31,0.0,0.0,50.21,50.21,50.21,0.0,0.0,50.23,50.23,50.23,0.0,0.0
2018-06-24,50.47,50.47,50.47,0.0,0.0,50.52,50.52,50.52,0.0,0.0,50.43,50.43,50.43,0.0,0.0,50.43,50.43,50.43,0.0,0.0
2018-07-01,50.59,50.59,50.59,0.0,0.0,50.66,50.66,50.66,0.0,0.0,50.56,50.56,50.56,0.0,0.0,50.62,50.62,50.62,0.0,0.0
2018-07-08,50.8,50.8,50.8,0.0,0.0,50.82,50.82,50.82,0.0,0.0,50.75,50.75,50.75,0.0,0.0,50.79,50.79,50.79,0.0,0.0
2018-07-15,50.7,50.7,50.7,0.0,0.0,50.7,50.7,50.7,0.0,0.0,50.51,50.51,50.51,0.0,0.0,50.52,50.52,50.52,0.0,0.0
2018-07-22,50.66,50.66,50.66,0.0,0.0,50.7,50.7,50.7,0.0,0.0,50.61,50.61,50.61,0.0,0.0,50.63,50.63,50.63,0.0,0.0
2018-07-29,50.61,50.61,50.61,0.0,0.0,50.76,50.76,50.76,0.0,0.0,50.61,50.61,50.61,0.0,0.0,50.76,50.76,50.76,0.0,0.0
2018-08-05,50.65,50.65,50.65,0.0,0.0,50.8,50.8,50.8,0.0,0.0,50.63,50.63,50.63,0.0,0.0,50.68,50.68,50.68,0.0,0.0
2018-08-12,50.82,50.82,50.82,0.0,0.0,50.89,50.89,50.89,0.0,0.0,50.82,50.82,50.82,0.0,0.0,50.86,50.86,50.86,0.0,0.0
2018-08-19,50.87,50.87,50.87,0.0,0.0,50.95,50.95,50.95,0.0,0.0,50.87,50.87,50.87,0.0,0.0,50.89,50.89,50.89,0.0,0.0
2018-08-26,50.84,50.84,50.84,0.0,0.0,50.84,50.84,50.84,0.0,0.0,50.74,50.74,50.74,0.0,0.0,50.74,50.74,50.74,0.0,0.0
2018-09-02,50.39,50.39,50.39,0.0,0.0,50.43,50.43,50.43,0.0,0.0,50.37,50.37,50.37,0.0,0.0,50.43,50.43,50.43,0.0,0.0
2018-09-09,50.41,50.41,50.41,0.0,0.0,50.48,50.48,50.48,0.0,0.0,50.41,50.41,50.41,0.0,0.0,50.48,50.48,50.48,0.0,0.0
2018-09-16,50.31,50.31,50.31,0.0,0.0,50.45,50.45,50.45,0.0,0.0,50.31,50.31,50.31,0.0,0.0,50.37,50.37,50.37,0.0,0.0
2018-09-23,50.47,50.47,50.47,0.0,0.0,50.48,50.48,50.48,0.0,0.0,50.42,50.42,50.42,0.0,0.0,50.42,50.42,50.42,0.0,0.0
2018-09-30,49.87,49.87,49.87,0.0,0.0,49.87,49.87,49.87,0.0,0.0,49.75,49.75,49.75,0.0,0.0,49.78,49.78,49.78,0.0,0.0
2018-10-07,49.93,49.93,49.93,0.0,0.0,49.99,49.99,49.99,0.0,0.0,49.84,49.84,49.84,0.0,0.0,49.93,49.93,49.93,0.0,0.0
2018-10-14,49.73,49.73,49.73,0.0,0.0,49.77,49.77,49.77,0.0,0.0,49.7,49.7,49.7,0.0,0.0,49.71,49.71,49.71,0.0,0.0
2018-10-21,49.82,49.82,49.82,0.0,0.0,49.93,49.93,49.93,0.0,0.0,49.82,49.82,49.82,0.0,0.0,49.84,49.84,49.84,0.0,0.0
2018-10-28,49.4,49.4,49.4,0.0,0.0,49.4,49.4,49.4,0.0,0.0,49.32,49.32,49.32,0.0,0.0,49.32,49.32,49.32,0.0,0.0
2018-11-04,49.56,49.56,49.56,0.0,0.0,49.56,49.56,49.56,0.0,0.0,49.45,49.45,49.45,0.0,0.0,49.54,49.54,49.54,0.0,0.0
2018-11-11,49.38,49.38,49.38,0.0,0.0,49.45,49.45,49.45,0.0,0.0,49.33,49.33,49.33,0.0,0.0,49.41,49.41,49.41,0.0,0.0
2018-11-18,49.58,49.58,49.58,0.0,0.0,49.59,49.59,49.59,0.0,0.0,49.53,49.53,49.53,0.0,0.0,49.55,49.55,49.55,0.0,0.0
2018-11-25,49.45,49.45,49.45,0.0,0.0,49.51,49.51,49.51,0.0,0.0,49.42,49.42,49.42,0.0,0.0,49.42,49.42,49.42,0.0,0.0
2018-12-02,49.54,49.54,49.54,0.0,0.0,49.71,49.71,49.71,0.0,0.0,49.52,49.52,49.52,0.0,0.0,49.71,49.71,49.71,0.0,0.0
2018-12-09,49.82,49.82,49.82,0.0,0.0,49.93,49.93,49.93,0.0,0.0,49.82,49.82,49.82,0.0,0.0,49.89,49.89,49.89,0.0,0.0
2018-12-16,49.88,49.88,49.88,0.0,0.0,49.96,49.96,49.96,0.0,0.0,49.74,49.74,49.74,0.0,0.0,49.79,49.79,49.79,0.0,0.0
2018-12-23,49.82,49.82,49.82,0.0,0.0,49.99,49.99,49.99,0.0,0.0,49.82,49.82,49.82,0.0,0.0,49.99,49.99,49.99,0.0,0.0
2018-12-30,50.2,50.2,50.2,0.0,0.0,50.2,50.2,50.2,0.0,0.0,50.17,50.17,50.17,0.0,0.0,50.17,50.17,50.17,0.0,0.0
2019-01-06,50.34,50.34,50.34,0.0,0.0,50.36,50.36,50.36,0.0,0.0,50.25,50.25,50.25,0.0,0.0,50.26,50.26,50.26,0.0,0.0
2019-01-13,50.37,50.37,50.37,0.0,0.0,50.51,50.51,50.51,0.0,0.0,50.37,50.37,50.37,0.0,0.0,50.51,50.51,50.51,0.0,0.0
2019-01-20,50.81,50.81,50.81,0.0,0.0,50.82,50.82,50.82,0.0,0.0,50.66,50.66,50.66,0.0,0.0,50.79,50.79,50.79,0.0,0.0
2019-01-27,51.19,51.19,51.19,0.0,0.0,51.19,51.19,51.19,0.0,0.0,51.0,51.0,51.0,0.0,0.0,51.06,51.06,51.06,0.0,0.0
2019-02-03,51.18,51.18,51.18,0.0,0.0,51.25,51.25,51.25,0.0,0.0,51.17,51.17,51.17,0.0,0.0,51.22,51.22,51.22,0.0,0.0
2019-02-10,51.2,51.2,51.2,0.0,0.0,51.26,51.26,51.26,0.0,0.0,51.16,51.16,51.16,0.0,0.0,51.22,51.22,51.22,0.0,0.0
2019-02-17,51.23,51.23,51.23,0.0,0.0,51.28,51.28,51.28,0.0,0.0,51.19,51.19,51.19,0.0,0.0,51.22,51.22,51.22,0.0,0.0
2019-02-24,50.99,50.99,50.99,0.0,0.0,50.99,50.99,50.99,0.0,0.0,50.84,50.84,50.84,0.0,0.0,50.91,50.91,50.91,0.0,0.0
2019-03-03,51.12,51.12,51.12,0.0,0.0,51.23,51.23,51.23,0.0,0.0,51.1,51.1,51.1,0.0,0.0,51.2,51.2,51.2,0.0,0.0
2019-03-10,51.37,51.37,51.37,0.0,0.0,51.42,51.42,51.42,0.0,0.0,51.3,51.3,51.3,0.0,0.0,51.37,51.37,51.37,0.0,0.0
2019-03-17,51.78,51.78,51.78,0.0,0.0,51.96,51.96,51.96,0.0,0.0,51.73,51.73,51.73,0.0,0.0,51.96,51.96,51.96,0.0,0.0
2019-03-24,52.07,52.07,52.07,0.0,0.0,52.18,52.18,52.18,0.0,0.0,52.02,52.02,52.02,0.0,0.0,52.16,52.16,52.16,0.0,0.0
2019-03-31,51.8,51.8,51.8,0.0,0.0,51.91,51.91,51.91,0.0,0.0,51.77,51.77,51.77,0.0,0.0,51.84,51.84,51.84,0.0,0.0
2019-04-07,51.89,51.89,51.89,0.0,0.0,51.94,51.94,51.94,0.0,0.0,51.79,51.79,51.79,0.0,0.0,51.8,51.8,51.8,0.0,0.0
2019-04-14,51.89,51.89,51.89,0.0,0.0,51.89,51.89,51.89,0.0,0.0,51.74,51.74,51.74,0.0,0.0,51.75,51.75,51.75,0.0,0.0
2019-04-21,52.04,52.04,52.04,0.0,0.0,52.04,52.04,52.04,0.0,0.0,51.98,51.98,51.98,0.0,0.0,52.02,52.02,52.02,0.0,0.0
2019-04-28,51.67,51.67,51.67,0.0,0.0,51.84,51.84,51.84,0.0,0.0,51.66,51.66,51.66,0.0,0.0,51.84,51.84,51.84,0.0,0.0
2019-05-05,51.75,51.75,51.75,0.0,0.0,51.89,51.89,51.89,0.0,0.0,51.75,51.75,51.75,0.0,0.0,51.79,51.79,51.79,0.0,0.0
2019-05-12,52.02,52.02,52.02,0.0,0.0,52.04,52.04,52.04,0.0,0.0,51.97,51.97,51.97,0.0,0.0,52.03,52.03,52.03,0.0,0.0
2019-05-19,52.21,52.21,52.21,0.0,0.0,52.21,52.21,52.21,0.0,0.0,52.13,52.13,52.13,0.0,0.0,52.17,52.17,52.17,0.0,0.0
2019-05-26,52.49,52.49,52.49,0.0,0.0,52.71,52.71,52.71,0.0,0.0,52.49,52.49,52.49,0.0,0.0,52.71,52.71,52.71,0.0,0.0
2019-06-02,52.92,52.92,52.92,0.0,0.0,52.97,52.97,52.97,0.0,0.0,52.85,52.85,52.85,0.0,0.0,52.88,52.88,52.88,0.0,0.0
2019-06-09,52.89,52.89,52.89,0.0,0.0,52.93,52.93,52.93,0.0,0.0,52.81,52.81,52.81,0.0,0.0,52.85,52.85,52.85,0.0,0.0
2019-06-16,53.47,53.47,53.47,0.0,0.0,53.48,53.48,53.48,0.0,0.0,53.39,53.39,53.39,0.0,0.0,53.47,53.47,53.47,0.0,0.0
2019-06-23,53.71,53.71,53.71,0.0,0.0,53.77,53.77,53.77,0.0,0.0,53.64,53.64,53.64,0.0,0.0,53.76,53.76,53.76,0.0,0.0
2019-06-30,53.63,53.63,53.63,0.0,0.0,53.63,53.63,53.63,0.0,0.0,53.36,53.36,53.36,0.0,0.0,53.58,53.58,53.58,0.0,0.0
2019-07-07,53.26,53.26,53.26,0.0,0.0,53.38,53.38,53.38,0.0,0.0,53.22,53.22,53.22,0.0,0.0,53.32,53.32,53.32,0.0,0.0
2019-07-14,53.59,53.59,53.59,0.0,0.0,53.66,53.66,53.66,0.0,0.0,53.54,53.54,53.54,0.0,0.0,53.57,53.57,53.57,0.0,0.0
2019-07-21,53.66,53.66,53.66,0.0,0.0,53.67,53.67,53.67,0.0,0.0,53.6,53.6,53.6,0.0,0.0,53.62,53.62,53.62,0.0,0.0
2019-07-28,53.96,53.96,53.96,0.0,0.0,54.0,54.0,54.0,0.0,0.0,53.83,53.83,53.83,0.0,0.0,54.0,54.0,54.0,0.0,0.0
2019-08-04,54.46,54.46,54.46,0.0,0.0,54.47,54.47,54.47,0.0,0.0,54.3,54.3,54.3,0.0,0.0,54.32,54.32,54.32,0.0,0.0
2019-08-11,54.98,54.98,54.98,0.0,0.0,55.15,55.15,55.15,0.0,0.0,54.92,54.92,54.92,0.0,0.0,55.08,55.08,55.08,0.0,0.0
2019-08-18,55.05,55.05,55.05,0.0,0.0,55.3,55.3,55.3,0.0,0.0,55.05,55.05,55.05,0.0,0.0,55.23,55.23,55.23,0.0,0.0
2019-08-25,55.33,55.33,55.33,0.0,0.0,55.39,55.39,55.39,0.0,0.0,55.2,55.2,55.2,0.0,0.0,55.39,55.39,55.39,0.0,0.0
2019-09-01,54.99,54.99,54.99,0.0,0.0,55.12,55.12,55.12,0.0,0.0,54.97,54.97,54.97,0.0,0.0,55.1,55.1,55.1,0.0,0.0
2019-09-08,54.0,54.0,54.0,0.0,0.0,54.11,54.11,54.11,0.0,0.0,53.8,53.8,53.8,0.0,0.0,53.82,53.82,53.82,0.0,0.0
2019-09-15,54.42,54.42,54.42,0.0,0.0,54.63,54.63,54.63,0.0,0.0,54.42,54.42,54.42,0.0,0.0,54.63,54.63,54.63,0.0,0.0
2019-09-22,54.71,54.71,54.71,0.0,0.0,54.71,54.71,54.71,0.0,0.0,54.63,54.63,54.63,0.0,0.0,54.66,54.66,54.66,0.0,0.0
2019-09-29,55.04,55.04,55.04,0.0,0.0,55.16,55.16,55.16,0.0,0.0,55.04,55.04,55.04,0.0,0.0,55.13,55.13,55.13,0.0,0.0
2019-10-06,54.49,54.49,54.49,0.0,0.0,54.58,54.58,54.58,0.0,0.0,54.47,54.47,54.47,0.0,0.0,54.51,54.51,54.51,0.0,0.0
2019-10-13,54.68,54.68,54.68,0.0,0.0,54.76,54.76,54.76,0.0,0.0,54.66,54.66,54.66,0.0,0.0,54.7,54.7,54.7,0.0,0.0
2019-10-20,54.8,54.8,54.8,0.0,0.0,54.8,54.8,54.8,0.0,0.0,54.61,54.61,54.61,0.0,0.0,54.66,54.66,54.66,0.0,0.0
2019-10-27,54.7,54.7,54.7,0.0,0.0,54.8,54.8,54.8,0.0,0.0,54.67,54.67,54.67,0.0,0.0,54.71,54.71,54.71,0.0,0.0
2019-11-03,54.14,54.14,54.14,0.0,0.0,54.22,54.22,54.22,0.0,0.0,54.05,54.05,54.05,0.0,0.0,54.06,54.06,54.06,0.0,0.0
2019-11-10,54.4,54.4,54.4,0.0,0.0,54.49,54.49,54.49,0.0,0.0,54.4,54.4,54.4,0.0,0.0,54.48,54.48,54.48,0.0,0.0
2019-11-17,54.66,54.66,54.66,0.0,0.0,54.73,54.73,54.73,0.0,0.0,54.65,54.65,54.65,0.0,0.0,54.72,54.72,54.72,0.0,0.0
2019-11-24,54.91,54.91,54.91,0.0,0.0,54.92,54.92,54.92,0.0,0.0,54.83,54.83,54.83,0.0,0.0,54.88,54.88,54.88,0.0,0.0
2019-12-01,54.59,54.59,54.59,0.0,0.0,54.75,54.75,54.75,0.0,0.0,54.54,54.54,54.54,0.0,0.0,54.67,54.67,54.67,0.0,0.0
2019-12-08,54.71,54.71,54.71,0.0,0.0,54.9,54.9,54.9,0.0,0.0,54.69,54.69,54.69,0.0,0.0,54.88,54.88,54.88,0.0,0.0
2019-12-15,54.56,54.56,54.56,0.0,0.0,54.58,54.58,54.58,0.0,0.0,54.51,54.51,54.51,0.0,0.0,54.56,54.56,54.56,0.0,0.0
2019-12-22,54.8,54.8,54.8,0.0,0.0,54.82,54.82,54.82,0.0,0.0,54.79,54.79,54.79,0.0,0.0,54.79,54.79,54.79,0.0,0.0
2019-12-29,54.81,54.81,54.81,0.0,0.0,54.95,54.95,54.95,0.0,0.0,54.81,54.81,54.81,0.0,0.0,54.92,54.92,54.92,0.0,0.0
