Date,iShares Mortgage Real Estate Capped_Open_average,iShares Mortgage Real Estate Capped_Open_max,iShares Mortgage Real Estate Capped_Open_min,iShares Mortgage Real Estate Capped_Open_volatility,iShares Mortgage Real Estate Capped_Open_change,iShares Mortgage Real Estate Capped_High_average,iShares Mortgage Real Estate Capped_High_max,iShares Mortgage Real Estate Capped_High_min,iShares Mortgage Real Estate Capped_High_volatility,iShares Mortgage Real Estate Capped_High_change,iShares Mortgage Real Estate Capped_Low_average,iShares Mortgage Real Estate Capped_Low_max,iShares Mortgage Real Estate Capped_Low_min,iShares Mortgage Real Estate Capped_Low_volatility,iShares Mortgage Real Estate Capped_Low_change,iShares Mortgage Real Estate Capped_Close_average,iShares Mortgage Real Estate Capped_Close_max,iShares Mortgage Real Estate Capped_Close_min,iShares Mortgage Real Estate Capped_Close_volatility,iShares Mortgage Real Estate Capped_Close_change
2018-07-29,44.68,44.68,44.68,0.0,0.0,44.72,44.72,44.72,0.0,0.0,44.45,44.45,44.45,0.0,0.0,44.52,44.52,44.52,0.0,0.0
2018-08-05,44.2,44.2,44.2,0.0,0.0,44.24,44.24,44.24,0.0,0.0,43.94,43.94,43.94,0.0,0.0,44.21,44.21,44.21,0.0,0.0
2018-08-12,45.0,45.0,45.0,0.0,0.0,45.05,45.05,45.05,0.0,0.0,44.89,44.89,44.89,0.0,0.0,45.01,45.01,45.01,0.0,0.0
2018-08-19,44.98,44.98,44.98,0.0,0.0,45.1,45.1,45.1,0.0,0.0,44.95,44.95,44.95,0.0,0.0,45.02,45.02,45.02,0.0,0.0
2018-08-26,45.33,45.33,45.33,0.0,0.0,45.33,45.33,45.33,0.0,0.0,45.07,45.07,45.07,0.0,0.0,45.14,45.14,45.14,0.0,0.0
2018-09-02,45.45,45.45,45.45,0.0,0.0,45.57,45.57,45.57,0.0,0.0,45.39,45.39,45.39,0.0,0.0,45.48,45.48,45.48,0.0,0.0
2018-09-09,44.91,44.91,44.91,0.0,0.0,44.91,44.91,44.91,0.0,0.0,44.65,44.65,44.65,0.0,0.0,44.83,44.83,44.83,0.0,0.0
2018-09-16,44.65,44.65,44.65,0.0,0.0,44.82,44.82,44.82,0.0,0.0,44.38,44.38,44.38,0.0,0.0,44.47,44.47,44.47,0.0,0.0
2018-09-23,43.55,43.55,43.55,0.0,0.0,43.59,43.59,43.59,0.0,0.0,43.35,43.35,43.35,0.0,0.0,43.41,43.41,43.41,0.0,0.0
2018-09-30,42.6,42.6,42.6,0.0,0.0,43.04,43.04,43.04,0.0,0.0,42.6,42.6,42.6,0.0,0.0,43.01,43.01,43.01,0.0,0.0
2018-10-07,41.75,41.75,41.75,0.0,0.0,42.44,42.44,42.44,0.0,0.0,41.75,41.75,41.75,0.0,0.0,42.2,42.2,42.2,0.0,0.0
2018-10-14,42.53,42.53,42.53,0.0,0.0,42.76,42.76,42.76,0.0,0.0,42.33,42.33,42.33,0.0,0.0,42.33,42.33,42.33,0.0,0.0
2018-10-21,42.21,42.21,42.21,0.0,0.0,42.8,42.8,42.8,0.0,0.0,42.05,42.05,42.05,0.0,0.0,42.25,42.25,42.25,0.0,0.0
2018-10-28,42.77,42.77,42.77,0.0,0.0,43.01,43.01,43.01,0.0,0.0,42.77,42.77,42.77,0.0,0.0,42.81,42.81,42.81,0.0,0.0
2018-11-04,43.56,43.56,43.56,0.0,0.0,43.72,43.72,43.72,0.0,0.0,43.25,43.25,43.25,0.0,0.0,43.27,43.27,43.27,0.0,0.0
2018-11-11,43.17,43.17,43.17,0.0,0.0,43.34,43.34,43.34,0.0,0.0,42.9,42.9,42.9,0.0,0.0,43.03,43.03,43.03,0.0,0.0
2018-11-18,42.85,42.85,42.85,0.0,0.0,43.11,43.11,43.11,0.0,0.0,42.85,42.85,42.85,0.0,0.0,43.09,43.09,43.09,0.0,0.0
2018-11-25,43.75,43.75,43.75,0.0,0.0,43.86,43.86,43.86,0.0,0.0,43.48,43.48,43.48,0.0,0.0,43.78,43.78,43.78,0.0,0.0
2018-12-02,43.58,43.58,43.58,0.0,0.0,43.6,43.6,43.6,0.0,0.0,42.98,42.98,42.98,0.0,0.0,43.27,43.27,43.27,0.0,0.0
2018-12-09,42.14,42.14,42.14,0.0,0.0,42.14,42.14,42.14,0.0,0.0,40.58,40.58,40.58,0.0,0.0,40.61,40.61,40.61,0.0,0.0
2018-12-16,38.94,38.94,38.94,0.0,0.0,39.19,39.19,39.19,0.0,0.0,37.96,37.96,37.96,0.0,0.0,38.44,38.44,38.44,0.0,0.0
2018-12-23,40.55,40.55,40.55,0.0,0.0,40.57,40.57,40.57,0.0,0.0,39.68,39.68,39.68,0.0,0.0,39.94,39.94,39.94,0.0,0.0
2018-12-30,41.14,41.14,41.14,0.0,0.0,41.81,41.81,41.81,0.0,0.0,41.05,41.05,41.05,0.0,0.0,41.42,41.42,41.42,0.0,0.0
2019-01-06,41.87,41.87,41.87,0.0,0.0,42.26,42.26,42.26,0.0,0.0,41.87,41.87,41.87,0.0,0.0,42.06,42.06,42.06,0.0,0.0
2019-01-13,42.5,42.5,42.5,0.0,0.0,42.66,42.66,42.66,0.0,0.0,42.39,42.39,42.39,0.0,0.0,42.46,42.46,42.46,0.0,0.0
2019-01-20,42.92,42.92,42.92,0.0,0.0,43.12,43.12,43.12,0.0,0.0,42.92,42.92,42.92,0.0,0.0,43.05,43.05,43.05,0.0,0.0
2019-01-27,43.46,43.46,43.46,0.0,0.0,43.78,43.78,43.78,0.0,0.0,43.37,43.37,43.37,0.0,0.0,43.78,43.78,43.78,0.0,0.0
2019-02-03,43.68,43.68,43.68,0.0,0.0,43.74,43.74,43.74,0.0,0.0,43.52,43.52,43.52,0.0,0.0,43.7,43.7,43.7,0.0,0.0
2019-02-10,43.2,43.2,43.2,0.0,0.0,43.31,43.31,43.31,0.0,0.0,43.12,43.12,43.12,0.0,0.0,43.17,43.17,43.17,0.0,0.0
2019-02-17,43.42,43.42,43.42,0.0,0.0,43.53,43.53,43.53,0.0,0.0,43.22,43.22,43.22,0.0,0.0,43.22,43.22,43.22,0.0,0.0
2019-02-24,43.23,43.23,43.23,0.0,0.0,43.27,43.27,43.27,0.0,0.0,43.0,43.0,43.0,0.0,0.0,43.23,43.23,43.23,0.0,0.0
2019-03-03,43.09,43.09,43.09,0.0,0.0,43.55,43.55,43.55,0.0,0.0,43.09,43.09,43.09,0.0,0.0,43.55,43.55,43.55,0.0,0.0
2019-03-10,43.7,43.7,43.7,0.0,0.0,43.97,43.97,43.97,0.0,0.0,43.7,43.7,43.7,0.0,0.0,43.94,43.94,43.94,0.0,0.0
2019-03-17,42.77,42.77,42.77,0.0,0.0,42.98,42.98,42.98,0.0,0.0,42.63,42.63,42.63,0.0,0.0,42.84,42.84,42.84,0.0,0.0
2019-03-24,43.39,43.39,43.39,0.0,0.0,43.63,43.63,43.63,0.0,0.0,43.34,43.34,43.34,0.0,0.0,43.6,43.6,43.6,0.0,0.0
2019-03-31,43.7,43.7,43.7,0.0,0.0,43.85,43.85,43.85,0.0,0.0,43.62,43.62,43.62,0.0,0.0,43.84,43.84,43.84,0.0,0.0
2019-04-07,43.79,43.79,43.79,0.0,0.0,43.84,43.84,43.84,0.0,0.0,43.66,43.66,43.66,0.0,0.0,43.73,43.73,43.73,0.0,0.0
2019-04-14,43.66,43.66,43.66,0.0,0.0,43.84,43.84,43.84,0.0,0.0,43.62,43.62,43.62,0.0,0.0,43.8,43.8,43.8,0.0,0.0
2019-04-21,44.22,44.22,44.22,0.0,0.0,44.26,44.26,44.26,0.0,0.0,44.04,44.04,44.04,0.0,0.0,44.04,44.04,44.04,0.0,0.0
2019-04-28,43.64,43.64,43.64,0.0,0.0,43.9,43.9,43.9,0.0,0.0,43.58,43.58,43.58,0.0,0.0,43.77,43.77,43.77,0.0,0.0
2019-05-05,43.2,43.2,43.2,0.0,0.0,43.23,43.23,43.23,0.0,0.0,42.88,42.88,42.88,0.0,0.0,42.91,42.91,42.91,0.0,0.0
2019-05-12,42.92,42.92,42.92,0.0,0.0,42.92,42.92,42.92,0.0,0.0,42.53,42.53,42.53,0.0,0.0,42.55,42.55,42.55,0.0,0.0
2019-05-19,42.67,42.67,42.67,0.0,0.0,42.8,42.8,42.8,0.0,0.0,42.67,42.67,42.67,0.0,0.0,42.79,42.79,42.79,0.0,0.0
2019-05-26,41.36,41.36,41.36,0.0,0.0,42.05,42.05,42.05,0.0,0.0,41.36,41.36,41.36,0.0,0.0,41.97,41.97,41.97,0.0,0.0
2019-06-02,42.05,42.05,42.05,0.0,0.0,42.21,42.21,42.21,0.0,0.0,41.85,41.85,41.85,0.0,0.0,42.12,42.12,42.12,0.0,0.0
2019-06-09,41.61,41.61,41.61,0.0,0.0,41.75,41.75,41.75,0.0,0.0,41.41,41.41,41.41,0.0,0.0,41.45,41.45,41.45,0.0,0.0
2019-06-16,41.7,41.7,41.7,0.0,0.0,41.95,41.95,41.95,0.0,0.0,41.67,41.67,41.67,0.0,0.0,41.8,41.8,41.8,0.0,0.0
2019-06-23,42.33,42.33,42.33,0.0,0.0,42.47,42.47,42.47,0.0,0.0,42.04,42.04,42.04,0.0,0.0,42.12,42.12,42.12,0.0,0.0
2019-06-30,42.59,42.59,42.59,0.0,0.0,42.73,42.73,42.73,0.0,0.0,42.52,42.52,42.52,0.0,0.0,42.56,42.56,42.56,0.0,0.0
2019-07-07,42.93,42.93,42.93,0.0,0.0,43.05,43.05,43.05,0.0,0.0,42.93,42.93,42.93,0.0,0.0,42.97,42.97,42.97,0.0,0.0
2019-07-14,42.86,42.86,42.86,0.0,0.0,43.06,43.06,43.06,0.0,0.0,42.79,42.79,42.79,0.0,0.0,43.02,43.02,43.02,0.0,0.0
2019-07-21,43.21,43.21,43.21,0.0,0.0,43.4,43.4,43.4,0.0,0.0,43.16,43.16,43.16,0.0,0.0,43.24,43.24,43.24,0.0,0.0
2019-07-28,42.74,42.74,42.74,0.0,0.0,42.76,42.76,42.76,0.0,0.0,41.72,41.72,41.72,0.0,0.0,41.97,41.97,41.97,0.0,0.0
2019-08-04,42.97,42.97,42.97,0.0,0.0,42.97,42.97,42.97,0.0,0.0,42.54,42.54,42.54,0.0,0.0,42.6,42.6,42.6,0.0,0.0
2019-08-11,42.0,42.0,42.0,0.0,0.0,42.19,42.19,42.19,0.0,0.0,41.81,41.81,41.81,0.0,0.0,42.13,42.13,42.13,0.0,0.0
2019-08-18,41.48,41.48,41.48,0.0,0.0,41.5,41.5,41.5,0.0,0.0,41.28,41.28,41.28,0.0,0.0,41.43,41.43,41.43,0.0,0.0
2019-08-25,40.54,40.54,40.54,0.0,0.0,40.58,40.58,40.58,0.0,0.0,40.34,40.34,40.34,0.0,0.0,40.4,40.4,40.4,0.0,0.0
2019-09-01,41.02,41.02,41.02,0.0,0.0,41.39,41.39,41.39,0.0,0.0,41.0,41.0,41.0,0.0,0.0,41.33,41.33,41.33,0.0,0.0
2019-09-08,42.16,42.16,42.16,0.0,0.0,42.22,42.22,42.22,0.0,0.0,41.92,41.92,41.92,0.0,0.0,42.15,42.15,42.15,0.0,0.0
2019-09-15,42.89,42.89,42.89,0.0,0.0,43.08,43.08,43.08,0.0,0.0,42.78,42.78,42.78,0.0,0.0,42.99,42.99,42.99,0.0,0.0
2019-09-22,42.15,42.15,42.15,0.0,0.0,42.19,42.19,42.19,0.0,0.0,41.87,41.87,41.87,0.0,0.0,42.13,42.13,42.13,0.0,0.0
2019-09-29,41.75,41.75,41.75,0.0,0.0,42.09,42.09,42.09,0.0,0.0,41.72,41.72,41.72,0.0,0.0,41.85,41.85,41.85,0.0,0.0
2019-10-06,42.22,42.22,42.22,0.0,0.0,42.22,42.22,42.22,0.0,0.0,42.0,42.0,42.0,0.0,0.0,42.13,42.13,42.13,0.0,0.0
2019-10-13,42.73,42.73,42.73,0.0,0.0,43.15,43.15,43.15,0.0,0.0,42.73,42.73,42.73,0.0,0.0,43.13,43.13,43.13,0.0,0.0
2019-10-20,42.75,42.75,42.75,0.0,0.0,42.85,42.85,42.85,0.0,0.0,42.65,42.65,42.65,0.0,0.0,42.81,42.81,42.81,0.0,0.0
2019-10-27,43.54,43.54,43.54,0.0,0.0,43.6,43.6,43.6,0.0,0.0,43.22,43.22,43.22,0.0,0.0,43.26,43.26,43.26,0.0,0.0
2019-11-03,43.51,43.51,43.51,0.0,0.0,43.68,43.68,43.68,0.0,0.0,43.3,43.3,43.3,0.0,0.0,43.52,43.52,43.52,0.0,0.0
2019-11-10,43.28,43.28,43.28,0.0,0.0,43.56,43.56,43.56,0.0,0.0,43.18,43.18,43.18,0.0,0.0,43.41,43.41,43.41,0.0,0.0
2019-11-17,43.34,43.34,43.34,0.0,0.0,43.61,43.61,43.61,0.0,0.0,43.28,43.28,43.28,0.0,0.0,43.57,43.57,43.57,0.0,0.0
2019-11-24,43.95,43.95,43.95,0.0,0.0,44.19,44.19,44.19,0.0,0.0,43.9,43.9,43.9,0.0,0.0,43.98,43.98,43.98,0.0,0.0
2019-12-01,44.3,44.3,44.3,0.0,0.0,44.39,44.39,44.39,0.0,0.0,44.24,44.24,44.24,0.0,0.0,44.34,44.34,44.34,0.0,0.0
2019-12-08,43.54,43.54,43.54,0.0,0.0,43.65,43.65,43.65,0.0,0.0,43.4,43.4,43.4,0.0,0.0,43.4,43.4,43.4,0.0,0.0
2019-12-15,44.38,44.38,44.38,0.0,0.0,44.45,44.45,44.45,0.0,0.0,44.2,44.2,44.2,0.0,0.0,44.28,44.28,44.28,0.0,0.0
2019-12-22,44.9,44.9,44.9,0.0,0.0,44.95,44.95,44.95,0.0,0.0,44.48,44.48,44.48,0.0,0.0,44.52,44.52,44.52,0.0,0.0
2019-12-29,44.31,44.31,44.31,0.0,0.0,44.72,44.72,44.72,0.0,0.0,44.31,44.31,44.31,0.0,0.0,44.57,44.57,44.57,0.0,0.0
