Date,iShares Morningstar Small-Cap_Open_average,iShares Morningstar Small-Cap_Open_max,iShares Morningstar Small-Cap_Open_min,iShares Morningstar Small-Cap_Open_volatility,iShares Morningstar Small-Cap_Open_change,iShares Morningstar Small-Cap_High_average,iShares Morningstar Small-Cap_High_max,iShares Morningstar Small-Cap_High_min,iShares Morningstar Small-Cap_High_volatility,iShares Morningstar Small-Cap_High_change,iShares Morningstar Small-Cap_Low_average,iShares Morningstar Small-Cap_Low_max,iShares Morningstar Small-Cap_Low_min,iShares Morningstar Small-Cap_Low_volatility,iShares Morningstar Small-Cap_Low_change,iShares Morningstar Small-Cap_Close_average,iShares Morningstar Small-Cap_Close_max,iShares Morningstar Small-Cap_Close_min,iShares Morningstar Small-Cap_Close_volatility,iShares Morningstar Small-Cap_Close_change
2018-04-29,172.94,172.94,172.94,0.0,0.0,173.81,173.81,173.81,0.0,0.0,172.83,172.83,172.83,0.0,0.0,173.81,173.81,173.81,0.0,0.0
2018-05-06,176.78,176.78,176.78,0.0,0.0,176.78,176.78,176.78,0.0,0.0,176.04,176.04,176.04,0.0,0.0,176.46,176.46,176.46,0.0,0.0
2018-05-13,179.76,179.76,179.76,0.0,0.0,179.81,179.81,179.81,0.0,0.0,179.72,179.72,179.72,0.0,0.0,179.72,179.72,179.72,0.0,0.0
2018-05-20,178.1,178.1,178.1,0.0,0.0,178.43,178.43,178.43,0.0,0.0,177.91,177.91,177.91,0.0,0.0,178.16,178.16,178.16,0.0,0.0
2018-05-27,180.11,180.11,180.11,0.0,0.0,180.73,180.73,180.73,0.0,0.0,179.76,179.76,179.76,0.0,0.0,180.73,180.73,180.73,0.0,0.0
2018-06-03,182.97,182.97,182.97,0.0,0.0,183.4,183.4,183.4,0.0,0.0,182.62,182.62,182.62,0.0,0.0,183.3,183.3,183.3,0.0,0.0
2018-06-10,181.66,181.66,181.66,0.0,0.0,183.67,183.67,183.67,0.0,0.0,181.66,181.66,181.66,0.0,0.0,183.53,183.53,183.53,0.0,0.0
2018-06-17,181.72,181.72,181.72,0.0,0.0,181.72,181.72,181.72,0.0,0.0,180.48,180.48,180.48,0.0,0.0,181.26,181.26,181.26,0.0,0.0
2018-06-24,177.7,177.7,177.7,0.0,0.0,179.22,179.22,179.22,0.0,0.0,177.38,177.38,177.38,0.0,0.0,178.95,178.95,178.95,0.0,0.0
2018-07-01,183.76,183.76,183.76,0.0,0.0,184.07,184.07,184.07,0.0,0.0,183.76,183.76,183.76,0.0,0.0,184.07,184.07,184.07,0.0,0.0
2018-07-08,181.54,181.54,181.54,0.0,0.0,181.63,181.63,181.63,0.0,0.0,181.5,181.5,181.5,0.0,0.0,181.5,181.5,181.5,0.0,0.0
2018-07-15,182.3,182.3,182.3,0.0,0.0,183.02,183.02,183.02,0.0,0.0,182.21,182.21,182.21,0.0,0.0,182.69,182.69,182.69,0.0,0.0
2018-07-22,180.44,180.44,180.44,0.0,0.0,180.44,180.44,180.44,0.0,0.0,179.35,179.35,179.35,0.0,0.0,179.35,179.35,179.35,0.0,0.0
2018-07-29,183.11,183.11,183.11,0.0,0.0,183.11,183.11,183.11,0.0,0.0,183.05,183.05,183.05,0.0,0.0,183.05,183.05,183.05,0.0,0.0
2018-08-05,181.57,181.57,181.57,0.0,0.0,181.64,181.64,181.64,0.0,0.0,180.64,180.64,180.64,0.0,0.0,181.18,181.18,181.18,0.0,0.0
2018-08-12,184.88,184.88,184.88,0.0,0.0,184.88,184.88,184.88,0.0,0.0,183.81,183.81,183.81,0.0,0.0,184.43,184.43,184.43,0.0,0.0
2018-08-19,186.14,186.14,186.14,0.0,0.0,186.59,186.59,186.59,0.0,0.0,185.38,185.38,185.38,0.0,0.0,185.38,185.38,185.38,0.0,0.0
2018-08-26,184.52,184.52,184.52,0.0,0.0,186.23,186.23,186.23,0.0,0.0,184.52,184.52,184.52,0.0,0.0,186.23,186.23,186.23,0.0,0.0
2018-09-02,183.47,183.47,183.47,0.0,0.0,184.34,184.34,184.34,0.0,0.0,183.47,183.47,183.47,0.0,0.0,183.71,183.71,183.71,0.0,0.0
2018-09-09,183.2,183.2,183.2,0.0,0.0,183.45,183.45,183.45,0.0,0.0,183.02,183.02,183.02,0.0,0.0,183.02,183.02,183.02,0.0,0.0
2018-09-16,183.33,183.33,183.33,0.0,0.0,183.33,183.33,183.33,0.0,0.0,182.14,182.14,182.14,0.0,0.0,182.74,182.74,182.74,0.0,0.0
2018-09-23,180.25,180.25,180.25,0.0,0.0,180.25,180.25,180.25,0.0,0.0,177.27,177.27,177.27,0.0,0.0,177.78,177.78,177.78,0.0,0.0
2018-09-30,175.23,175.23,175.23,0.0,0.0,175.23,175.23,175.23,0.0,0.0,174.99,174.99,174.99,0.0,0.0,174.99,174.99,174.99,0.0,0.0
2018-10-07,166.36,166.36,166.36,0.0,0.0,167.94,167.94,167.94,0.0,0.0,165.93,165.93,165.93,0.0,0.0,167.94,167.94,167.94,0.0,0.0
2018-10-14,166.04,166.04,166.04,0.0,0.0,167.32,167.32,167.32,0.0,0.0,165.81,165.81,165.81,0.0,0.0,165.81,165.81,165.81,0.0,0.0
2018-10-21,162.99,162.99,162.99,0.0,0.0,163.99,163.99,163.99,0.0,0.0,159.1,159.1,159.1,0.0,0.0,160.45,160.45,160.45,0.0,0.0
2018-10-28,167.5,167.5,167.5,0.0,0.0,168.8,168.8,168.8,0.0,0.0,167.26,167.26,167.26,0.0,0.0,168.2,168.2,168.2,0.0,0.0
2018-11-04,169.48,169.48,169.48,0.0,0.0,169.48,169.48,169.48,0.0,0.0,167.79,167.79,167.79,0.0,0.0,168.11,168.11,168.11,0.0,0.0
2018-11-11,167.37,167.37,167.37,0.0,0.0,167.39,167.39,167.39,0.0,0.0,165.18,165.18,165.18,0.0,0.0,165.86,165.86,165.86,0.0,0.0
2018-11-18,165.78,165.78,165.78,0.0,0.0,166.08,166.08,166.08,0.0,0.0,164.7,164.7,164.7,0.0,0.0,165.31,165.31,165.31,0.0,0.0
2018-11-25,168.73,168.73,168.73,0.0,0.0,169.07,169.07,169.07,0.0,0.0,167.48,167.48,167.48,0.0,0.0,169.02,169.02,169.02,0.0,0.0
2018-12-02,157.49,157.49,157.49,0.0,0.0,158.43,158.43,158.43,0.0,0.0,157.04,157.04,157.04,0.0,0.0,158.43,158.43,158.43,0.0,0.0
2018-12-09,153.94,153.94,153.94,0.0,0.0,154.86,154.86,154.86,0.0,0.0,151.05,151.05,151.05,0.0,0.0,151.26,151.26,151.26,0.0,0.0
2018-12-16,141.57,141.57,141.57,0.0,0.0,142.54,142.54,142.54,0.0,0.0,139.81,139.81,139.81,0.0,0.0,139.81,139.81,139.81,0.0,0.0
2018-12-23,147.24,147.24,147.24,0.0,0.0,147.86,147.86,147.86,0.0,0.0,145.78,145.78,145.78,0.0,0.0,147.86,147.86,147.86,0.0,0.0
2018-12-30,152.77,152.77,152.77,0.0,0.0,153.62,153.62,153.62,0.0,0.0,152.77,152.77,152.77,0.0,0.0,153.16,153.16,153.16,0.0,0.0
2019-01-06,157.43,157.43,157.43,0.0,0.0,158.18,158.18,158.18,0.0,0.0,157.27,157.27,157.27,0.0,0.0,157.34,157.34,157.34,0.0,0.0
2019-01-13,161.6,161.6,161.6,0.0,0.0,162.84,162.84,162.84,0.0,0.0,161.6,161.6,161.6,0.0,0.0,162.84,162.84,162.84,0.0,0.0
2019-01-20,161.4,161.4,161.4,0.0,0.0,162.53,162.53,162.53,0.0,0.0,161.4,161.4,161.4,0.0,0.0,162.35,162.35,162.35,0.0,0.0
2019-01-27,164.78,164.78,164.78,0.0,0.0,166.86,166.86,166.86,0.0,0.0,164.78,164.78,164.78,0.0,0.0,166.83,166.83,166.83,0.0,0.0
2019-02-03,166.49,166.49,166.49,0.0,0.0,167.07,167.07,167.07,0.0,0.0,166.11,166.11,166.11,0.0,0.0,167.07,167.07,167.07,0.0,0.0
2019-02-10,172.31,172.31,172.31,0.0,0.0,172.31,172.31,172.31,0.0,0.0,171.3,171.3,171.3,0.0,0.0,172.29,172.29,172.29,0.0,0.0
2019-02-17,176.94,176.94,176.94,0.0,0.0,176.94,176.94,176.94,0.0,0.0,173.93,173.93,173.93,0.0,0.0,173.95,173.95,173.95,0.0,0.0
2019-02-24,172.65,172.65,172.65,0.0,0.0,173.01,173.01,173.01,0.0,0.0,172.65,172.65,172.65,0.0,0.0,173.01,173.01,173.01,0.0,0.0
2019-03-03,168.49,168.49,168.49,0.0,0.0,170.08,170.08,170.08,0.0,0.0,168.49,168.49,168.49,0.0,0.0,170.08,170.08,170.08,0.0,0.0
2019-03-10,170.8,170.8,170.8,0.0,0.0,171.55,171.55,171.55,0.0,0.0,170.68,170.68,170.68,0.0,0.0,171.55,171.55,171.55,0.0,0.0
2019-03-17,164.59,164.59,164.59,0.0,0.0,165.2,165.2,165.2,0.0,0.0,164.56,164.56,164.56,0.0,0.0,165.2,165.2,165.2,0.0,0.0
2019-03-24,170.04,170.04,170.04,0.0,0.0,171.43,171.43,171.43,0.0,0.0,170.04,170.04,170.04,0.0,0.0,171.43,171.43,171.43,0.0,0.0
2019-03-31,174.12,174.12,174.12,0.0,0.0,174.16,174.16,174.16,0.0,0.0,173.23,173.23,173.23,0.0,0.0,174.05,174.05,174.05,0.0,0.0
2019-04-07,174.31,174.31,174.31,0.0,0.0,174.32,174.32,174.32,0.0,0.0,173.91,173.91,173.91,0.0,0.0,174.32,174.32,174.32,0.0,0.0
2019-04-14,173.43,173.43,173.43,0.0,0.0,173.43,173.43,173.43,0.0,0.0,172.63,172.63,172.63,0.0,0.0,172.91,172.91,172.91,0.0,0.0
2019-04-21,175.5,175.5,175.5,0.0,0.0,175.98,175.98,175.98,0.0,0.0,175.5,175.5,175.5,0.0,0.0,175.98,175.98,175.98,0.0,0.0
2019-04-28,174.72,174.72,174.72,0.0,0.0,177.39,177.39,177.39,0.0,0.0,174.72,174.72,174.72,0.0,0.0,177.39,177.39,177.39,0.0,0.0
2019-05-05,169.44,169.44,169.44,0.0,0.0,169.44,169.44,169.44,0.0,0.0,168.43,168.43,168.43,0.0,0.0,168.43,168.43,168.43,0.0,0.0
2019-05-12,167.97,167.97,167.97,0.0,0.0,168.87,168.87,168.87,0.0,0.0,167.81,167.81,167.81,0.0,0.0,168.17,168.17,168.17,0.0,0.0
2019-05-19,166.79,166.79,166.79,0.0,0.0,167.51,167.51,167.51,0.0,0.0,166.78,166.78,166.78,0.0,0.0,167.34,167.34,167.34,0.0,0.0
2019-05-26,163.41,163.41,163.41,0.0,0.0,163.76,163.76,163.76,0.0,0.0,162.83,162.83,162.83,0.0,0.0,163.76,163.76,163.76,0.0,0.0
2019-06-02,169.31,169.31,169.31,0.0,0.0,170.95,170.95,170.95,0.0,0.0,169.31,169.31,169.31,0.0,0.0,169.35,169.35,169.35,0.0,0.0
2019-06-09,171.15,171.15,171.15,0.0,0.0,171.46,171.46,171.46,0.0,0.0,171.01,171.01,171.01,0.0,0.0,171.01,171.01,171.01,0.0,0.0
2019-06-16,171.58,171.58,171.58,0.0,0.0,172.52,172.52,172.52,0.0,0.0,170.81,170.81,170.81,0.0,0.0,170.81,170.81,170.81,0.0,0.0
2019-06-23,174.76,174.76,174.76,0.0,0.0,175.3,175.3,175.3,0.0,0.0,174.45,174.45,174.45,0.0,0.0,175.3,175.3,175.3,0.0,0.0
2019-06-30,175.97,175.97,175.97,0.0,0.0,175.97,175.97,175.97,0.0,0.0,174.93,174.93,174.93,0.0,0.0,174.93,174.93,174.93,0.0,0.0
2019-07-07,175.03,175.03,175.03,0.0,0.0,175.19,175.19,175.19,0.0,0.0,174.29,174.29,174.29,0.0,0.0,174.29,174.29,174.29,0.0,0.0
2019-07-14,173.13,173.13,173.13,0.0,0.0,174.05,174.05,174.05,0.0,0.0,173.13,173.13,173.13,0.0,0.0,173.39,173.39,173.39,0.0,0.0
2019-07-21,176.42,176.42,176.42,0.0,0.0,177.07,177.07,177.07,0.0,0.0,176.41,176.41,176.41,0.0,0.0,176.51,176.51,176.51,0.0,0.0
2019-07-28,166.7,166.7,166.7,0.0,0.0,168.08,168.08,168.08,0.0,0.0,165.16,165.16,165.16,0.0,0.0,167.01,167.01,167.01,0.0,0.0
2019-08-04,168.91,168.91,168.91,0.0,0.0,168.98,168.98,168.98,0.0,0.0,168.41,168.41,168.41,0.0,0.0,168.41,168.41,168.41,0.0,0.0
2019-08-11,170.02,170.02,170.02,0.0,0.0,170.62,170.62,170.62,0.0,0.0,169.99,169.99,169.99,0.0,0.0,170.37,170.37,170.37,0.0,0.0
2019-08-18,165.76,165.76,165.76,0.0,0.0,166.56,166.56,166.56,0.0,0.0,165.64,165.64,165.64,0.0,0.0,166.56,166.56,166.56,0.0,0.0
2019-08-25,168.73,168.73,168.73,0.0,0.0,169.86,169.86,169.86,0.0,0.0,168.73,168.73,168.73,0.0,0.0,169.79,169.79,169.79,0.0,0.0
2019-09-01,171.95,171.95,171.95,0.0,0.0,174.08,174.08,174.08,0.0,0.0,171.95,171.95,171.95,0.0,0.0,174.08,174.08,174.08,0.0,0.0
2019-09-08,179.36,179.36,179.36,0.0,0.0,179.56,179.56,179.56,0.0,0.0,178.7,178.7,178.7,0.0,0.0,179.26,179.26,179.26,0.0,0.0
2019-09-15,176.95,176.95,176.95,0.0,0.0,177.73,177.73,177.73,0.0,0.0,176.53,176.53,176.53,0.0,0.0,177.18,177.18,177.18,0.0,0.0
2019-09-22,175.13,175.13,175.13,0.0,0.0,175.16,175.16,175.16,0.0,0.0,174.63,174.63,174.63,0.0,0.0,175.07,175.07,175.07,0.0,0.0
2019-09-29,172.38,172.38,172.38,0.0,0.0,173.07,173.07,173.07,0.0,0.0,172.06,172.06,172.06,0.0,0.0,172.06,172.06,172.06,0.0,0.0
2019-10-06,173.1,173.1,173.1,0.0,0.0,173.7,173.7,173.7,0.0,0.0,173.1,173.1,173.1,0.0,0.0,173.62,173.62,173.62,0.0,0.0
2019-10-13,179.26,179.26,179.26,0.0,0.0,179.26,179.26,179.26,0.0,0.0,178.83,178.83,178.83,0.0,0.0,178.83,178.83,178.83,0.0,0.0
2019-10-20,181.32,181.32,181.32,0.0,0.0,181.72,181.72,181.72,0.0,0.0,181.18,181.18,181.18,0.0,0.0,181.18,181.18,181.18,0.0,0.0
2019-10-27,183.78,183.78,183.78,0.0,0.0,184.39,184.39,184.39,0.0,0.0,183.51,183.51,183.51,0.0,0.0,184.39,184.39,184.39,0.0,0.0
2019-11-03,183.47,183.47,183.47,0.0,0.0,183.47,183.47,183.47,0.0,0.0,183.28,183.28,183.28,0.0,0.0,183.33,183.33,183.33,0.0,0.0
2019-11-10,184.15,184.15,184.15,0.0,0.0,184.15,184.15,184.15,0.0,0.0,183.5,183.5,183.5,0.0,0.0,183.84,183.84,183.84,0.0,0.0
2019-11-17,183.78,183.78,183.78,0.0,0.0,185.2,185.2,185.2,0.0,0.0,183.77,183.77,183.77,0.0,0.0,185.18,185.18,185.18,0.0,0.0
2019-11-24,185.53,185.53,185.53,0.0,0.0,185.53,185.53,185.53,0.0,0.0,183.35,183.35,183.35,0.0,0.0,183.35,183.35,183.35,0.0,0.0
2019-12-01,186.22,186.22,186.22,0.0,0.0,186.22,186.22,186.22,0.0,0.0,185.83,185.83,185.83,0.0,0.0,185.9,185.9,185.9,0.0,0.0
2019-12-08,186.32,186.32,186.32,0.0,0.0,186.32,186.32,186.32,0.0,0.0,186.32,186.32,186.32,0.0,0.0,186.32,186.32,186.32,0.0,0.0
2019-12-15,188.78,188.78,188.78,0.0,0.0,188.89,188.89,188.89,0.0,0.0,188.68,188.68,188.68,0.0,0.0,188.76,188.76,188.76,0.0,0.0
2019-12-22,188.24,188.24,188.24,0.0,0.0,189.09,189.09,189.09,0.0,0.0,188.24,188.24,188.24,0.0,0.0,188.64,188.64,188.64,0.0,0.0
2019-12-29,186.81,186.81,186.81,0.0,0.0,188.84,188.84,188.84,0.0,0.0,186.81,186.81,186.81,0.0,0.0,188.74,188.74,188.74,0.0,0.0
