Date,iShares MSCI Global Gold Miners_Open_average,iShares MSCI Global Gold Miners_Open_max,iShares MSCI Global Gold Miners_Open_min,iShares MSCI Global Gold Miners_Open_volatility,iShares MSCI Global Gold Miners_Open_change,iShares MSCI Global Gold Miners_High_average,iShares MSCI Global Gold Miners_High_max,iShares MSCI Global Gold Miners_High_min,iShares MSCI Global Gold Miners_High_volatility,iShares MSCI Global Gold Miners_High_change,iShares MSCI Global Gold Miners_Low_average,iShares MSCI Global Gold Miners_Low_max,iShares MSCI Global Gold Miners_Low_min,iShares MSCI Global Gold Miners_Low_volatility,iShares MSCI Global Gold Miners_Low_change,iShares MSCI Global Gold Miners_Close_average,iShares MSCI Global Gold Miners_Close_max,iShares MSCI Global Gold Miners_Close_min,iShares MSCI Global Gold Miners_Close_volatility,iShares MSCI Global Gold Miners_Close_change
2018-04-15,18.08,18.08,18.08,0.0,0.0,18.15,18.15,18.15,0.0,0.0,17.97,17.97,17.97,0.0,0.0,18.07,18.07,18.07,0.0,0.0
2018-04-22,18.16,18.16,18.16,0.0,0.0,18.27,18.27,18.27,0.0,0.0,17.94,17.94,17.94,0.0,0.0,18.0,18.0,18.0,0.0,0.0
2018-04-29,18.16,18.16,18.16,0.0,0.0,18.27,18.27,18.27,0.0,0.0,18.12,18.12,18.12,0.0,0.0,18.15,18.15,18.15,0.0,0.0
2018-05-06,18.33,18.33,18.33,0.0,0.0,18.38,18.38,18.38,0.0,0.0,18.17,18.17,18.17,0.0,0.0,18.25,18.25,18.25,0.0,0.0
2018-05-13,17.77,17.77,17.77,0.0,0.0,17.86,17.86,17.86,0.0,0.0,17.64,17.64,17.64,0.0,0.0,17.82,17.82,17.82,0.0,0.0
2018-05-20,17.93,17.93,17.93,0.0,0.0,18.06,18.06,18.06,0.0,0.0,17.81,17.81,17.81,0.0,0.0,17.86,17.86,17.86,0.0,0.0
2018-05-27,17.82,17.82,17.82,0.0,0.0,17.82,17.82,17.82,0.0,0.0,17.66,17.66,17.66,0.0,0.0,17.69,17.69,17.69,0.0,0.0
2018-06-03,17.79,17.79,17.79,0.0,0.0,17.94,17.94,17.94,0.0,0.0,17.7,17.7,17.7,0.0,0.0,17.94,17.94,17.94,0.0,0.0
2018-06-10,17.63,17.63,17.63,0.0,0.0,17.67,17.67,17.67,0.0,0.0,17.57,17.57,17.57,0.0,0.0,17.63,17.63,17.63,0.0,0.0
2018-06-17,17.44,17.44,17.44,0.0,0.0,17.48,17.48,17.48,0.0,0.0,17.25,17.25,17.25,0.0,0.0,17.31,17.31,17.31,0.0,0.0
2018-06-24,17.33,17.33,17.33,0.0,0.0,17.48,17.48,17.48,0.0,0.0,17.31,17.31,17.31,0.0,0.0,17.39,17.39,17.39,0.0,0.0
2018-07-01,18.04,18.04,18.04,0.0,0.0,18.04,18.04,18.04,0.0,0.0,17.8,17.8,17.8,0.0,0.0,17.87,17.87,17.87,0.0,0.0
2018-07-08,17.18,17.18,17.18,0.0,0.0,17.36,17.36,17.36,0.0,0.0,17.12,17.12,17.12,0.0,0.0,17.18,17.18,17.18,0.0,0.0
2018-07-15,17.03,17.03,17.03,0.0,0.0,17.14,17.14,17.14,0.0,0.0,16.77,16.77,16.77,0.0,0.0,16.79,16.79,16.79,0.0,0.0
2018-07-22,16.8,16.8,16.8,0.0,0.0,16.86,16.86,16.86,0.0,0.0,16.72,16.72,16.72,0.0,0.0,16.76,16.76,16.76,0.0,0.0
2018-07-29,16.62,16.62,16.62,0.0,0.0,16.62,16.62,16.62,0.0,0.0,16.47,16.47,16.47,0.0,0.0,16.49,16.49,16.49,0.0,0.0
2018-08-05,15.91,15.91,15.91,0.0,0.0,15.94,15.94,15.94,0.0,0.0,15.48,15.48,15.48,0.0,0.0,15.48,15.48,15.48,0.0,0.0
2018-08-12,14.54,14.54,14.54,0.0,0.0,14.66,14.66,14.66,0.0,0.0,14.35,14.35,14.35,0.0,0.0,14.52,14.52,14.52,0.0,0.0
2018-08-19,14.74,14.74,14.74,0.0,0.0,14.98,14.98,14.98,0.0,0.0,14.74,14.74,14.74,0.0,0.0,14.93,14.93,14.93,0.0,0.0
2018-08-26,14.48,14.48,14.48,0.0,0.0,14.6,14.6,14.6,0.0,0.0,14.35,14.35,14.35,0.0,0.0,14.38,14.38,14.38,0.0,0.0
2018-09-02,13.83,13.83,13.83,0.0,0.0,13.9,13.9,13.9,0.0,0.0,13.56,13.56,13.56,0.0,0.0,13.59,13.59,13.59,0.0,0.0
2018-09-09,14.09,14.09,14.09,0.0,0.0,14.28,14.28,14.28,0.0,0.0,13.97,13.97,13.97,0.0,0.0,14.2,14.2,14.2,0.0,0.0
2018-09-16,14.6,14.6,14.6,0.0,0.0,14.81,14.81,14.81,0.0,0.0,14.53,14.53,14.53,0.0,0.0,14.59,14.59,14.59,0.0,0.0
2018-09-23,14.32,14.32,14.32,0.0,0.0,14.39,14.39,14.39,0.0,0.0,14.24,14.24,14.24,0.0,0.0,14.32,14.32,14.32,0.0,0.0
2018-09-30,14.25,14.25,14.25,0.0,0.0,14.55,14.55,14.55,0.0,0.0,14.07,14.07,14.07,0.0,0.0,14.44,14.44,14.44,0.0,0.0
2018-10-07,15.59,15.59,15.59,0.0,0.0,15.94,15.94,15.94,0.0,0.0,15.56,15.56,15.56,0.0,0.0,15.69,15.69,15.69,0.0,0.0
2018-10-14,15.64,15.64,15.64,0.0,0.0,15.64,15.64,15.64,0.0,0.0,15.35,15.35,15.35,0.0,0.0,15.5,15.5,15.5,0.0,0.0
2018-10-21,14.82,14.82,14.82,0.0,0.0,15.04,15.04,15.04,0.0,0.0,14.61,14.61,14.61,0.0,0.0,14.79,14.79,14.79,0.0,0.0
2018-10-28,15.14,15.14,15.14,0.0,0.0,15.36,15.36,15.36,0.0,0.0,15.03,15.03,15.03,0.0,0.0,15.28,15.28,15.28,0.0,0.0
2018-11-04,14.49,14.49,14.49,0.0,0.0,14.58,14.58,14.58,0.0,0.0,14.37,14.37,14.37,0.0,0.0,14.37,14.37,14.37,0.0,0.0
2018-11-11,15.13,15.13,15.13,0.0,0.0,15.21,15.21,15.21,0.0,0.0,15.0,15.0,15.0,0.0,0.0,15.04,15.04,15.04,0.0,0.0
2018-11-18,15.07,15.07,15.07,0.0,0.0,15.22,15.22,15.22,0.0,0.0,14.89,14.89,14.89,0.0,0.0,14.9,14.9,14.9,0.0,0.0
2018-11-25,14.94,14.94,14.94,0.0,0.0,15.07,15.07,15.07,0.0,0.0,14.84,14.84,14.84,0.0,0.0,15.06,15.06,15.06,0.0,0.0
2018-12-02,15.8,15.8,15.8,0.0,0.0,15.93,15.93,15.93,0.0,0.0,15.55,15.55,15.55,0.0,0.0,15.67,15.67,15.67,0.0,0.0
2018-12-09,15.5,15.5,15.5,0.0,0.0,15.9,15.9,15.9,0.0,0.0,15.42,15.42,15.42,0.0,0.0,15.87,15.87,15.87,0.0,0.0
2018-12-16,16.13,16.13,16.13,0.0,0.0,16.26,16.26,16.26,0.0,0.0,15.94,15.94,15.94,0.0,0.0,16.26,16.26,16.26,0.0,0.0
2018-12-23,15.96,15.96,15.96,0.0,0.0,16.22,16.22,16.22,0.0,0.0,15.83,15.83,15.83,0.0,0.0,16.22,16.22,16.22,0.0,0.0
2018-12-30,16.66,16.66,16.66,0.0,0.0,16.73,16.73,16.73,0.0,0.0,16.3,16.3,16.3,0.0,0.0,16.33,16.33,16.33,0.0,0.0
2019-01-06,16.41,16.41,16.41,0.0,0.0,16.54,16.54,16.54,0.0,0.0,16.16,16.16,16.16,0.0,0.0,16.19,16.19,16.19,0.0,0.0
2019-01-13,15.97,15.97,15.97,0.0,0.0,15.99,15.99,15.99,0.0,0.0,15.71,15.71,15.71,0.0,0.0,15.77,15.77,15.77,0.0,0.0
2019-01-20,16.65,16.65,16.65,0.0,0.0,16.81,16.81,16.81,0.0,0.0,16.65,16.65,16.65,0.0,0.0,16.71,16.71,16.71,0.0,0.0
2019-01-27,17.33,17.33,17.33,0.0,0.0,17.54,17.54,17.54,0.0,0.0,17.26,17.26,17.26,0.0,0.0,17.54,17.54,17.54,0.0,0.0
2019-02-03,17.42,17.42,17.42,0.0,0.0,17.57,17.57,17.57,0.0,0.0,17.35,17.35,17.35,0.0,0.0,17.42,17.42,17.42,0.0,0.0
2019-02-10,17.38,17.38,17.38,0.0,0.0,17.54,17.54,17.54,0.0,0.0,17.17,17.17,17.17,0.0,0.0,17.5,17.5,17.5,0.0,0.0
2019-02-17,18.16,18.16,18.16,0.0,0.0,18.2,18.2,18.2,0.0,0.0,17.9,17.9,17.9,0.0,0.0,17.9,17.9,17.9,0.0,0.0
2019-02-24,16.99,16.99,16.99,0.0,0.0,17.19,17.19,17.19,0.0,0.0,16.78,16.78,16.78,0.0,0.0,17.19,17.19,17.19,0.0,0.0
2019-03-03,17.53,17.53,17.53,0.0,0.0,17.62,17.62,17.62,0.0,0.0,17.15,17.15,17.15,0.0,0.0,17.43,17.43,17.43,0.0,0.0
2019-03-10,17.49,17.49,17.49,0.0,0.0,17.55,17.55,17.55,0.0,0.0,17.3,17.3,17.3,0.0,0.0,17.31,17.31,17.31,0.0,0.0
2019-03-17,17.99,17.99,17.99,0.0,0.0,18.33,18.33,18.33,0.0,0.0,17.98,17.98,17.98,0.0,0.0,18.3,18.3,18.3,0.0,0.0
2019-03-24,17.55,17.55,17.55,0.0,0.0,17.62,17.62,17.62,0.0,0.0,17.12,17.12,17.12,0.0,0.0,17.2,17.2,17.2,0.0,0.0
2019-03-31,17.78,17.78,17.78,0.0,0.0,17.88,17.88,17.88,0.0,0.0,17.7,17.7,17.7,0.0,0.0,17.83,17.83,17.83,0.0,0.0
2019-04-07,17.27,17.27,17.27,0.0,0.0,17.44,17.44,17.44,0.0,0.0,17.18,17.18,17.18,0.0,0.0,17.42,17.42,17.42,0.0,0.0
2019-04-14,16.85,16.85,16.85,0.0,0.0,16.98,16.98,16.98,0.0,0.0,16.5,16.5,16.5,0.0,0.0,16.53,16.53,16.53,0.0,0.0
2019-04-21,16.75,16.75,16.75,0.0,0.0,16.75,16.75,16.75,0.0,0.0,16.27,16.27,16.27,0.0,0.0,16.37,16.37,16.37,0.0,0.0
2019-04-28,15.93,15.93,15.93,0.0,0.0,16.09,16.09,16.09,0.0,0.0,15.91,15.91,15.91,0.0,0.0,15.96,15.96,15.96,0.0,0.0
2019-05-05,16.08,16.08,16.08,0.0,0.0,16.4,16.4,16.4,0.0,0.0,16.0,16.0,16.0,0.0,0.0,16.35,16.35,16.35,0.0,0.0
2019-05-12,16.14,16.14,16.14,0.0,0.0,16.32,16.32,16.32,0.0,0.0,16.12,16.12,16.12,0.0,0.0,16.19,16.19,16.19,0.0,0.0
2019-05-19,16.05,16.05,16.05,0.0,0.0,16.17,16.17,16.17,0.0,0.0,16.02,16.02,16.02,0.0,0.0,16.11,16.11,16.11,0.0,0.0
2019-05-26,17.19,17.19,17.19,0.0,0.0,17.76,17.76,17.76,0.0,0.0,17.19,17.19,17.19,0.0,0.0,17.76,17.76,17.76,0.0,0.0
2019-06-02,17.88,17.88,17.88,0.0,0.0,17.9,17.9,17.9,0.0,0.0,17.52,17.52,17.52,0.0,0.0,17.85,17.85,17.85,0.0,0.0
2019-06-09,18.58,18.58,18.58,0.0,0.0,18.6,18.6,18.6,0.0,0.0,18.31,18.31,18.31,0.0,0.0,18.53,18.53,18.53,0.0,0.0
2019-06-16,19.98,19.98,19.98,0.0,0.0,20.69,20.69,20.69,0.0,0.0,19.96,19.96,19.96,0.0,0.0,20.6,20.6,20.6,0.0,0.0
2019-06-23,19.96,19.96,19.96,0.0,0.0,20.0,20.0,20.0,0.0,0.0,19.57,19.57,19.57,0.0,0.0,19.62,19.62,19.62,0.0,0.0
2019-06-30,20.37,20.37,20.37,0.0,0.0,20.48,20.48,20.48,0.0,0.0,20.14,20.14,20.14,0.0,0.0,20.28,20.28,20.28,0.0,0.0
2019-07-07,20.91,20.91,20.91,0.0,0.0,21.1,21.1,21.1,0.0,0.0,20.85,20.85,20.85,0.0,0.0,21.01,21.01,21.01,0.0,0.0
2019-07-14,22.18,22.18,22.18,0.0,0.0,22.32,22.32,22.32,0.0,0.0,22.06,22.06,22.06,0.0,0.0,22.12,22.12,22.12,0.0,0.0
2019-07-21,21.67,21.67,21.67,0.0,0.0,21.97,21.97,21.97,0.0,0.0,21.53,21.53,21.53,0.0,0.0,21.97,21.97,21.97,0.0,0.0
2019-07-28,22.45,22.45,22.45,0.0,0.0,23.07,23.07,23.07,0.0,0.0,22.45,22.45,22.45,0.0,0.0,22.78,22.78,22.78,0.0,0.0
2019-08-04,23.57,23.57,23.57,0.0,0.0,23.7,23.7,23.7,0.0,0.0,23.11,23.11,23.11,0.0,0.0,23.14,23.14,23.14,0.0,0.0
2019-08-11,22.37,22.37,22.37,0.0,0.0,22.83,22.83,22.83,0.0,0.0,22.09,22.09,22.09,0.0,0.0,22.42,22.42,22.42,0.0,0.0
2019-08-18,23.9,23.9,23.9,0.0,0.0,24.14,24.14,24.14,0.0,0.0,23.6,23.6,23.6,0.0,0.0,23.79,23.79,23.79,0.0,0.0
2019-08-25,23.85,23.85,23.85,0.0,0.0,24.22,24.22,24.22,0.0,0.0,23.62,23.62,23.62,0.0,0.0,24.02,24.02,24.02,0.0,0.0
2019-09-01,22.86,22.86,22.86,0.0,0.0,23.0,23.0,23.0,0.0,0.0,22.11,22.11,22.11,0.0,0.0,22.22,22.22,22.22,0.0,0.0
2019-09-08,21.92,21.92,21.92,0.0,0.0,22.06,22.06,22.06,0.0,0.0,21.59,21.59,21.59,0.0,0.0,21.87,21.87,21.87,0.0,0.0
2019-09-15,23.0,23.0,23.0,0.0,0.0,23.5,23.5,23.5,0.0,0.0,22.99,22.99,22.99,0.0,0.0,23.49,23.49,23.49,0.0,0.0
2019-09-22,21.87,21.87,21.87,0.0,0.0,22.03,22.03,22.03,0.0,0.0,21.43,21.43,21.43,0.0,0.0,21.53,21.53,21.53,0.0,0.0
2019-09-29,22.32,22.32,22.32,0.0,0.0,22.57,22.57,22.57,0.0,0.0,22.21,22.21,22.21,0.0,0.0,22.32,22.32,22.32,0.0,0.0
2019-10-06,21.75,21.75,21.75,0.0,0.0,21.96,21.96,21.96,0.0,0.0,21.71,21.71,21.71,0.0,0.0,21.82,21.82,21.82,0.0,0.0
2019-10-13,22.1,22.1,22.1,0.0,0.0,22.14,22.14,22.14,0.0,0.0,21.52,21.52,21.52,0.0,0.0,21.62,21.62,21.62,0.0,0.0
2019-10-20,22.33,22.33,22.33,0.0,0.0,22.37,22.37,22.37,0.0,0.0,21.92,21.92,21.92,0.0,0.0,22.0,22.0,22.0,0.0,0.0
2019-10-27,22.93,22.93,22.93,0.0,0.0,22.96,22.96,22.96,0.0,0.0,22.47,22.47,22.47,0.0,0.0,22.54,22.54,22.54,0.0,0.0
2019-11-03,21.23,21.23,21.23,0.0,0.0,21.38,21.38,21.38,0.0,0.0,21.17,21.17,21.17,0.0,0.0,21.26,21.26,21.26,0.0,0.0
2019-11-10,21.74,21.74,21.74,0.0,0.0,22.03,22.03,22.03,0.0,0.0,21.59,21.59,21.59,0.0,0.0,22.01,22.01,22.01,0.0,0.0
2019-11-17,21.48,21.48,21.48,0.0,0.0,21.62,21.62,21.62,0.0,0.0,21.25,21.25,21.25,0.0,0.0,21.26,21.26,21.26,0.0,0.0
2019-11-24,21.93,21.93,21.93,0.0,0.0,22.05,22.05,22.05,0.0,0.0,21.76,21.76,21.76,0.0,0.0,21.98,21.98,21.98,0.0,0.0
2019-12-01,22.12,22.12,22.12,0.0,0.0,22.2,22.2,22.2,0.0,0.0,21.93,21.93,21.93,0.0,0.0,22.0,22.0,22.0,0.0,0.0
2019-12-08,22.79,22.79,22.79,0.0,0.0,22.79,22.79,22.79,0.0,0.0,22.39,22.39,22.39,0.0,0.0,22.46,22.46,22.46,0.0,0.0
2019-12-15,22.16,22.16,22.16,0.0,0.0,22.8,22.8,22.8,0.0,0.0,22.16,22.16,22.16,0.0,0.0,22.8,22.8,22.8,0.0,0.0
2019-12-22,23.82,23.82,23.82,0.0,0.0,24.15,24.15,24.15,0.0,0.0,23.79,23.79,23.79,0.0,0.0,24.15,24.15,24.15,0.0,0.0
2019-12-29,24.39,24.39,24.39,0.0,0.0,24.45,24.45,24.45,0.0,0.0,23.79,23.79,23.79,0.0,0.0,23.9,23.9,23.9,0.0,0.0
