Date,Principal Healthcare Innovators_Open_average,Principal Healthcare Innovators_Open_max,Principal Healthcare Innovators_Open_min,Principal Healthcare Innovators_Open_volatility,Principal Healthcare Innovators_Open_change,Principal Healthcare Innovators_High_average,Principal Healthcare Innovators_High_max,Principal Healthcare Innovators_High_min,Principal Healthcare Innovators_High_volatility,Principal Healthcare Innovators_High_change,Principal Healthcare Innovators_Low_average,Principal Healthcare Innovators_Low_max,Principal Healthcare Innovators_Low_min,Principal Healthcare Innovators_Low_volatility,Principal Healthcare Innovators_Low_change,Principal Healthcare Innovators_Close_average,Principal Healthcare Innovators_Close_max,Principal Healthcare Innovators_Close_min,Principal Healthcare Innovators_Close_volatility,Principal Healthcare Innovators_Close_change
2018-10-28,33.01,33.01,33.01,0.0,0.0,33.01,33.01,33.01,0.0,0.0,32.85,32.85,32.85,0.0,0.0,32.85,32.85,32.85,0.0,0.0
2018-11-04,33.21,33.21,33.21,0.0,0.0,33.21,33.21,33.21,0.0,0.0,32.19,32.19,32.19,0.0,0.0,32.69,32.69,32.69,0.0,0.0
2018-11-11,31.19,31.19,31.19,0.0,0.0,31.4,31.4,31.4,0.0,0.0,30.48,30.48,30.48,0.0,0.0,31.4,31.4,31.4,0.0,0.0
2018-11-18,31.03,31.03,31.03,0.0,0.0,31.03,31.03,31.03,0.0,0.0,31.02,31.02,31.02,0.0,0.0,31.02,31.02,31.02,0.0,0.0
2018-11-25,31.69,31.69,31.69,0.0,0.0,32.27,32.27,32.27,0.0,0.0,31.64,31.64,31.64,0.0,0.0,32.09,32.09,32.09,0.0,0.0
2018-12-02,30.05,30.05,30.05,0.0,0.0,31.11,31.11,31.11,0.0,0.0,29.46,29.46,29.46,0.0,0.0,29.46,29.46,29.46,0.0,0.0
2018-12-09,29.71,29.71,29.71,0.0,0.0,29.76,29.76,29.76,0.0,0.0,29.71,29.71,29.71,0.0,0.0,29.76,29.76,29.76,0.0,0.0
2018-12-16,25.47,25.47,25.47,0.0,0.0,25.72,25.72,25.72,0.0,0.0,25.47,25.47,25.47,0.0,0.0,25.61,25.61,25.61,0.0,0.0
2018-12-23,26.98,26.98,26.98,0.0,0.0,27.14,27.14,27.14,0.0,0.0,26.98,26.98,26.98,0.0,0.0,27.12,27.12,27.12,0.0,0.0
2018-12-30,28.77,28.77,28.77,0.0,0.0,29.27,29.27,29.27,0.0,0.0,28.53,28.53,28.53,0.0,0.0,28.53,28.53,28.53,0.0,0.0
2019-01-06,31.5,31.5,31.5,0.0,0.0,31.5,31.5,31.5,0.0,0.0,31.5,31.5,31.5,0.0,0.0,31.5,31.5,31.5,0.0,0.0
2019-01-13,31.89,31.89,31.89,0.0,0.0,32.25,32.25,32.25,0.0,0.0,31.89,31.89,31.89,0.0,0.0,32.25,32.25,32.25,0.0,0.0
2019-01-20,30.99,30.99,30.99,0.0,0.0,31.48,31.48,31.48,0.0,0.0,30.99,30.99,30.99,0.0,0.0,31.48,31.48,31.48,0.0,0.0
2019-01-27,32.53,32.53,32.53,0.0,0.0,32.88,32.88,32.88,0.0,0.0,32.53,32.53,32.53,0.0,0.0,32.88,32.88,32.88,0.0,0.0
2019-02-03,32.25,32.25,32.25,0.0,0.0,32.4,32.4,32.4,0.0,0.0,32.21,32.21,32.21,0.0,0.0,32.4,32.4,32.4,0.0,0.0
2019-02-10,33.65,33.65,33.65,0.0,0.0,33.67,33.67,33.67,0.0,0.0,33.6,33.6,33.6,0.0,0.0,33.63,33.63,33.63,0.0,0.0
2019-02-17,32.94,32.94,32.94,0.0,0.0,33.24,33.24,33.24,0.0,0.0,32.93,32.93,32.93,0.0,0.0,33.24,33.24,33.24,0.0,0.0
2019-02-24,35.0,35.0,35.0,0.0,0.0,35.5,35.5,35.5,0.0,0.0,35.0,35.0,35.0,0.0,0.0,35.44,35.44,35.44,0.0,0.0
2019-03-03,33.33,33.33,33.33,0.0,0.0,33.35,33.35,33.35,0.0,0.0,33.22,33.22,33.22,0.0,0.0,33.32,33.32,33.32,0.0,0.0
2019-03-10,34.71,34.71,34.71,0.0,0.0,35.49,35.49,35.49,0.0,0.0,34.71,34.71,34.71,0.0,0.0,35.32,35.32,35.32,0.0,0.0
2019-03-17,35.67,35.67,35.67,0.0,0.0,35.67,35.67,35.67,0.0,0.0,34.61,34.61,34.61,0.0,0.0,34.77,34.77,34.77,0.0,0.0
2019-03-24,34.41,34.41,34.41,0.0,0.0,34.84,34.84,34.84,0.0,0.0,34.41,34.41,34.41,0.0,0.0,34.81,34.81,34.81,0.0,0.0
2019-03-31,35.7,35.7,35.7,0.0,0.0,35.72,35.72,35.72,0.0,0.0,35.68,35.68,35.68,0.0,0.0,35.72,35.72,35.72,0.0,0.0
2019-04-07,34.76,34.76,34.76,0.0,0.0,34.76,34.76,34.76,0.0,0.0,34.41,34.41,34.41,0.0,0.0,34.41,34.41,34.41,0.0,0.0
2019-04-14,32.17,32.17,32.17,0.0,0.0,32.4,32.4,32.4,0.0,0.0,32.08,32.08,32.08,0.0,0.0,32.08,32.08,32.08,0.0,0.0
2019-04-21,32.95,32.95,32.95,0.0,0.0,32.95,32.95,32.95,0.0,0.0,32.95,32.95,32.95,0.0,0.0,32.95,32.95,32.95,0.0,0.0
2019-04-28,33.22,33.22,33.22,0.0,0.0,33.22,33.22,33.22,0.0,0.0,33.22,33.22,33.22,0.0,0.0,33.22,33.22,33.22,0.0,0.0
2019-05-05,32.69,32.69,32.69,0.0,0.0,32.69,32.69,32.69,0.0,0.0,32.69,32.69,32.69,0.0,0.0,32.69,32.69,32.69,0.0,0.0
2019-05-12,32.08,32.08,32.08,0.0,0.0,32.08,32.08,32.08,0.0,0.0,32.08,32.08,32.08,0.0,0.0,32.08,32.08,32.08,0.0,0.0
2019-05-19,32.17,32.17,32.17,0.0,0.0,32.17,32.17,32.17,0.0,0.0,32.0,32.0,32.0,0.0,0.0,32.0,32.0,32.0,0.0,0.0
2019-05-26,31.26,31.26,31.26,0.0,0.0,31.26,31.26,31.26,0.0,0.0,31.26,31.26,31.26,0.0,0.0,31.26,31.26,31.26,0.0,0.0
2019-06-02,31.65,31.65,31.65,0.0,0.0,32.0,32.0,32.0,0.0,0.0,31.6,31.6,31.6,0.0,0.0,32.0,32.0,32.0,0.0,0.0
2019-06-09,32.25,32.25,32.25,0.0,0.0,32.3,32.3,32.3,0.0,0.0,31.98,31.98,31.98,0.0,0.0,31.99,31.99,31.99,0.0,0.0
2019-06-16,33.57,33.57,33.57,0.0,0.0,33.7,33.7,33.7,0.0,0.0,33.37,33.37,33.37,0.0,0.0,33.7,33.7,33.7,0.0,0.0
2019-06-23,34.0,34.0,34.0,0.0,0.0,34.15,34.15,34.15,0.0,0.0,34.0,34.0,34.0,0.0,0.0,34.15,34.15,34.15,0.0,0.0
2019-06-30,34.28,34.28,34.28,0.0,0.0,34.28,34.28,34.28,0.0,0.0,34.28,34.28,34.28,0.0,0.0,34.28,34.28,34.28,0.0,0.0
2019-07-07,33.76,33.76,33.76,0.0,0.0,33.77,33.77,33.77,0.0,0.0,33.7,33.7,33.7,0.0,0.0,33.7,33.7,33.7,0.0,0.0
2019-07-14,34.19,34.19,34.19,0.0,0.0,34.19,34.19,34.19,0.0,0.0,34.19,34.19,34.19,0.0,0.0,34.19,34.19,34.19,0.0,0.0
2019-07-21,33.77,33.77,33.77,0.0,0.0,33.77,33.77,33.77,0.0,0.0,33.77,33.77,33.77,0.0,0.0,33.77,33.77,33.77,0.0,0.0
2019-07-28,33.46,33.46,33.46,0.0,0.0,33.46,33.46,33.46,0.0,0.0,32.85,32.85,32.85,0.0,0.0,32.85,32.85,32.85,0.0,0.0
2019-08-04,33.71,33.71,33.71,0.0,0.0,33.71,33.71,33.71,0.0,0.0,33.52,33.52,33.52,0.0,0.0,33.52,33.52,33.52,0.0,0.0
2019-08-11,32.84,32.84,32.84,0.0,0.0,32.84,32.84,32.84,0.0,0.0,32.84,32.84,32.84,0.0,0.0,32.84,32.84,32.84,0.0,0.0
2019-08-18,33.09,33.09,33.09,0.0,0.0,33.31,33.31,33.31,0.0,0.0,33.09,33.09,33.09,0.0,0.0,33.31,33.31,33.31,0.0,0.0
2019-08-25,32.41,32.41,32.41,0.0,0.0,32.48,32.48,32.48,0.0,0.0,32.41,32.41,32.41,0.0,0.0,32.48,32.48,32.48,0.0,0.0
2019-09-01,32.23,32.23,32.23,0.0,0.0,32.23,32.23,32.23,0.0,0.0,31.99,31.99,31.99,0.0,0.0,31.99,31.99,31.99,0.0,0.0
2019-09-08,32.7,32.7,32.7,0.0,0.0,33.0,33.0,33.0,0.0,0.0,32.7,32.7,32.7,0.0,0.0,32.96,32.96,32.96,0.0,0.0
2019-09-15,33.11,33.11,33.11,0.0,0.0,33.11,33.11,33.11,0.0,0.0,33.11,33.11,33.11,0.0,0.0,33.11,33.11,33.11,0.0,0.0
2019-09-22,30.83,30.83,30.83,0.0,0.0,31.22,31.22,31.22,0.0,0.0,30.83,30.83,30.83,0.0,0.0,31.22,31.22,31.22,0.0,0.0
2019-09-29,30.21,30.21,30.21,0.0,0.0,30.38,30.38,30.38,0.0,0.0,30.21,30.21,30.21,0.0,0.0,30.38,30.38,30.38,0.0,0.0
2019-10-06,30.62,30.62,30.62,0.0,0.0,30.65,30.65,30.65,0.0,0.0,30.62,30.62,30.62,0.0,0.0,30.65,30.65,30.65,0.0,0.0
2019-10-13,31.3,31.3,31.3,0.0,0.0,31.64,31.64,31.64,0.0,0.0,31.3,31.3,31.3,0.0,0.0,31.64,31.64,31.64,0.0,0.0
2019-10-20,32.15,32.15,32.15,0.0,0.0,32.15,32.15,32.15,0.0,0.0,32.15,32.15,32.15,0.0,0.0,32.15,32.15,32.15,0.0,0.0
2019-10-27,33.02,33.02,33.02,0.0,0.0,33.02,33.02,33.02,0.0,0.0,33.02,33.02,33.02,0.0,0.0,33.02,33.02,33.02,0.0,0.0
2019-11-03,33.12,33.12,33.12,0.0,0.0,33.12,33.12,33.12,0.0,0.0,33.01,33.01,33.01,0.0,0.0,33.01,33.01,33.01,0.0,0.0
2019-11-10,34.0,34.0,34.0,0.0,0.0,34.15,34.15,34.15,0.0,0.0,34.0,34.0,34.0,0.0,0.0,34.15,34.15,34.15,0.0,0.0
2019-11-17,35.39,35.39,35.39,0.0,0.0,35.71,35.71,35.71,0.0,0.0,35.39,35.39,35.39,0.0,0.0,35.7,35.7,35.7,0.0,0.0
2019-11-24,37.66,37.66,37.66,0.0,0.0,37.66,37.66,37.66,0.0,0.0,37.65,37.65,37.65,0.0,0.0,37.65,37.65,37.65,0.0,0.0
2019-12-01,37.71,37.71,37.71,0.0,0.0,37.72,37.72,37.72,0.0,0.0,37.7,37.7,37.7,0.0,0.0,37.7,37.7,37.7,0.0,0.0
2019-12-08,37.66,37.66,37.66,0.0,0.0,37.89,37.89,37.89,0.0,0.0,37.65,37.65,37.65,0.0,0.0,37.89,37.89,37.89,0.0,0.0
2019-12-15,39.1,39.1,39.1,0.0,0.0,39.1,39.1,39.1,0.0,0.0,38.63,38.63,38.63,0.0,0.0,38.87,38.87,38.87,0.0,0.0
2019-12-22,39.66,39.66,39.66,0.0,0.0,39.66,39.66,39.66,0.0,0.0,39.36,39.36,39.36,0.0,0.0,39.36,39.36,39.36,0.0,0.0
2019-12-29,37.92,37.92,37.92,0.0,0.0,38.2,38.2,38.2,0.0,0.0,37.92,37.92,37.92,0.0,0.0,37.92,37.92,37.92,0.0,0.0
