Date,FlexShares Real Assets AllocationEtf_Open_average,FlexShares Real Assets AllocationEtf_Open_max,FlexShares Real Assets AllocationEtf_Open_min,FlexShares Real Assets AllocationEtf_Open_volatility,FlexShares Real Assets AllocationEtf_Open_change,FlexShares Real Assets AllocationEtf_High_average,FlexShares Real Assets AllocationEtf_High_max,FlexShares Real Assets AllocationEtf_High_min,FlexShares Real Assets AllocationEtf_High_volatility,FlexShares Real Assets AllocationEtf_High_change,FlexShares Real Assets AllocationEtf_Low_average,FlexShares Real Assets AllocationEtf_Low_max,FlexShares Real Assets AllocationEtf_Low_min,FlexShares Real Assets AllocationEtf_Low_volatility,FlexShares Real Assets AllocationEtf_Low_change,FlexShares Real Assets AllocationEtf_Close_average,FlexShares Real Assets AllocationEtf_Close_max,FlexShares Real Assets AllocationEtf_Close_min,FlexShares Real Assets AllocationEtf_Close_volatility,FlexShares Real Assets AllocationEtf_Close_change
2018-07-08,28.07,28.07,28.07,0.0,0.0,28.12,28.12,28.12,0.0,0.0,28.07,28.07,28.07,0.0,0.0,28.12,28.12,28.12,0.0,0.0
2018-07-15,27.93,27.93,27.93,0.0,0.0,27.94,27.94,27.94,0.0,0.0,27.93,27.93,27.93,0.0,0.0,27.94,27.94,27.94,0.0,0.0
2018-07-22,28.23,28.23,28.23,0.0,0.0,28.23,28.23,28.23,0.0,0.0,28.23,28.23,28.23,0.0,0.0,28.23,28.23,28.23,0.0,0.0
2018-07-29,28.14,28.14,28.14,0.0,0.0,28.27,28.27,28.27,0.0,0.0,28.14,28.14,28.14,0.0,0.0,28.27,28.27,28.27,0.0,0.0
2018-08-05,28.02,28.02,28.02,0.0,0.0,28.03,28.03,28.03,0.0,0.0,27.94,27.94,27.94,0.0,0.0,27.94,27.94,27.94,0.0,0.0
2018-08-12,27.99,27.99,27.99,0.0,0.0,28.09,28.09,28.09,0.0,0.0,27.99,27.99,27.99,0.0,0.0,28.09,28.09,28.09,0.0,0.0
2018-08-19,28.16,28.16,28.16,0.0,0.0,28.16,28.16,28.16,0.0,0.0,28.14,28.14,28.14,0.0,0.0,28.14,28.14,28.14,0.0,0.0
2018-08-26,28.21,28.21,28.21,0.0,0.0,28.21,28.21,28.21,0.0,0.0,28.12,28.12,28.12,0.0,0.0,28.15,28.15,28.15,0.0,0.0
2018-09-02,27.83,27.83,27.83,0.0,0.0,27.85,27.85,27.85,0.0,0.0,27.75,27.75,27.75,0.0,0.0,27.75,27.75,27.75,0.0,0.0
2018-09-09,28.1,28.1,28.1,0.0,0.0,28.14,28.14,28.14,0.0,0.0,28.1,28.1,28.1,0.0,0.0,28.14,28.14,28.14,0.0,0.0
2018-09-16,28.42,28.42,28.42,0.0,0.0,28.44,28.44,28.44,0.0,0.0,28.41,28.41,28.41,0.0,0.0,28.41,28.41,28.41,0.0,0.0
2018-09-23,27.72,27.72,27.72,0.0,0.0,27.82,27.82,27.82,0.0,0.0,27.72,27.72,27.72,0.0,0.0,27.81,27.81,27.81,0.0,0.0
2018-09-30,27.45,27.45,27.45,0.0,0.0,27.45,27.45,27.45,0.0,0.0,27.34,27.34,27.34,0.0,0.0,27.38,27.38,27.38,0.0,0.0
2018-10-07,26.51,26.51,26.51,0.0,0.0,26.59,26.59,26.59,0.0,0.0,26.5,26.5,26.5,0.0,0.0,26.5,26.5,26.5,0.0,0.0
2018-10-14,27.1,27.1,27.1,0.0,0.0,27.1,27.1,27.1,0.0,0.0,26.97,26.97,26.97,0.0,0.0,27.05,27.05,27.05,0.0,0.0
2018-10-21,26.09,26.09,26.09,0.0,0.0,26.38,26.38,26.38,0.0,0.0,26.08,26.08,26.08,0.0,0.0,26.17,26.17,26.17,0.0,0.0
2018-10-28,26.74,26.74,26.74,0.0,0.0,26.74,26.74,26.74,0.0,0.0,26.43,26.43,26.43,0.0,0.0,26.56,26.56,26.56,0.0,0.0
2018-11-04,27.0,27.0,27.0,0.0,0.0,27.0,27.0,27.0,0.0,0.0,27.0,27.0,27.0,0.0,0.0,27.0,27.0,27.0,0.0,0.0
2018-11-11,27.01,27.01,27.01,0.0,0.0,27.08,27.08,27.08,0.0,0.0,26.95,26.95,26.95,0.0,0.0,26.98,26.98,26.98,0.0,0.0
2018-11-18,26.89,26.89,26.89,0.0,0.0,26.93,26.93,26.93,0.0,0.0,26.79,26.79,26.79,0.0,0.0,26.8,26.8,26.8,0.0,0.0
2018-11-25,27.1,27.1,27.1,0.0,0.0,27.21,27.21,27.21,0.0,0.0,27.1,27.1,27.1,0.0,0.0,27.21,27.21,27.21,0.0,0.0
2018-12-02,27.1,27.1,27.1,0.0,0.0,27.1,27.1,27.1,0.0,0.0,26.83,26.83,26.83,0.0,0.0,26.83,26.83,26.83,0.0,0.0
2018-12-09,26.75,26.75,26.75,0.0,0.0,26.75,26.75,26.75,0.0,0.0,26.66,26.66,26.66,0.0,0.0,26.66,26.66,26.66,0.0,0.0
2018-12-16,25.95,25.95,25.95,0.0,0.0,26.01,26.01,26.01,0.0,0.0,25.61,25.61,25.61,0.0,0.0,25.61,25.61,25.61,0.0,0.0
2018-12-23,25.44,25.44,25.44,0.0,0.0,25.51,25.51,25.51,0.0,0.0,25.39,25.39,25.39,0.0,0.0,25.51,25.51,25.51,0.0,0.0
2018-12-30,25.77,25.77,25.77,0.0,0.0,25.77,25.77,25.77,0.0,0.0,25.77,25.77,25.77,0.0,0.0,25.77,25.77,25.77,0.0,0.0
2019-01-06,26.66,26.66,26.66,0.0,0.0,26.66,26.66,26.66,0.0,0.0,26.66,26.66,26.66,0.0,0.0,26.66,26.66,26.66,0.0,0.0
2019-01-13,27.05,27.05,27.05,0.0,0.0,27.05,27.05,27.05,0.0,0.0,27.04,27.04,27.04,0.0,0.0,27.05,27.05,27.05,0.0,0.0
2019-01-20,27.19,27.19,27.19,0.0,0.0,27.19,27.19,27.19,0.0,0.0,27.19,27.19,27.19,0.0,0.0,27.19,27.19,27.19,0.0,0.0
2019-01-27,27.78,27.78,27.78,0.0,0.0,27.8,27.8,27.8,0.0,0.0,27.72,27.72,27.72,0.0,0.0,27.72,27.72,27.72,0.0,0.0
2019-02-03,27.71,27.71,27.71,0.0,0.0,27.76,27.76,27.76,0.0,0.0,27.66,27.66,27.66,0.0,0.0,27.76,27.76,27.76,0.0,0.0
2019-02-10,28.09,28.09,28.09,0.0,0.0,28.1,28.1,28.1,0.0,0.0,28.09,28.09,28.09,0.0,0.0,28.09,28.09,28.09,0.0,0.0
2019-02-17,28.57,28.57,28.57,0.0,0.0,28.59,28.59,28.59,0.0,0.0,28.48,28.48,28.48,0.0,0.0,28.48,28.48,28.48,0.0,0.0
2019-02-24,28.31,28.31,28.31,0.0,0.0,28.32,28.32,28.32,0.0,0.0,28.28,28.28,28.28,0.0,0.0,28.32,28.32,28.32,0.0,0.0
2019-03-03,28.11,28.11,28.11,0.0,0.0,28.12,28.12,28.12,0.0,0.0,28.1,28.1,28.1,0.0,0.0,28.12,28.12,28.12,0.0,0.0
2019-03-10,28.81,28.81,28.81,0.0,0.0,28.89,28.89,28.89,0.0,0.0,28.81,28.81,28.81,0.0,0.0,28.81,28.81,28.81,0.0,0.0
2019-03-17,28.75,28.75,28.75,0.0,0.0,28.75,28.75,28.75,0.0,0.0,28.68,28.68,28.68,0.0,0.0,28.71,28.71,28.71,0.0,0.0
2019-03-24,29.0,29.0,29.0,0.0,0.0,29.0,29.0,29.0,0.0,0.0,28.97,28.97,28.97,0.0,0.0,28.97,28.97,28.97,0.0,0.0
2019-03-31,29.14,29.14,29.14,0.0,0.0,29.14,29.14,29.14,0.0,0.0,29.1,29.1,29.1,0.0,0.0,29.1,29.1,29.1,0.0,0.0
2019-04-07,29.18,29.18,29.18,0.0,0.0,29.18,29.18,29.18,0.0,0.0,29.15,29.15,29.15,0.0,0.0,29.16,29.16,29.16,0.0,0.0
2019-04-14,29.01,29.01,29.01,0.0,0.0,29.01,29.01,29.01,0.0,0.0,28.99,28.99,28.99,0.0,0.0,28.99,28.99,28.99,0.0,0.0
2019-04-21,29.04,29.04,29.04,0.0,0.0,29.07,29.07,29.07,0.0,0.0,29.03,29.03,29.03,0.0,0.0,29.07,29.07,29.07,0.0,0.0
2019-04-28,28.94,28.94,28.94,0.0,0.0,29.06,29.06,29.06,0.0,0.0,28.92,28.92,28.92,0.0,0.0,29.04,29.04,29.04,0.0,0.0
2019-05-05,28.93,28.93,28.93,0.0,0.0,28.93,28.93,28.93,0.0,0.0,28.91,28.91,28.91,0.0,0.0,28.91,28.91,28.91,0.0,0.0
2019-05-12,29.01,29.01,29.01,0.0,0.0,29.02,29.02,29.02,0.0,0.0,29.01,29.01,29.01,0.0,0.0,29.02,29.02,29.02,0.0,0.0
2019-05-19,29.06,29.06,29.06,0.0,0.0,29.07,29.07,29.07,0.0,0.0,29.04,29.04,29.04,0.0,0.0,29.05,29.05,29.05,0.0,0.0
2019-05-26,28.44,28.44,28.44,0.0,0.0,28.55,28.55,28.55,0.0,0.0,28.44,28.44,28.44,0.0,0.0,28.55,28.55,28.55,0.0,0.0
2019-06-02,29.46,29.46,29.46,0.0,0.0,29.47,29.47,29.47,0.0,0.0,29.46,29.46,29.46,0.0,0.0,29.47,29.47,29.47,0.0,0.0
2019-06-09,29.35,29.35,29.35,0.0,0.0,29.42,29.42,29.42,0.0,0.0,29.35,29.35,29.35,0.0,0.0,29.38,29.38,29.38,0.0,0.0
2019-06-16,29.83,29.83,29.83,0.0,0.0,29.84,29.84,29.84,0.0,0.0,29.83,29.83,29.83,0.0,0.0,29.84,29.84,29.84,0.0,0.0
2019-06-23,29.31,29.31,29.31,0.0,0.0,29.32,29.32,29.32,0.0,0.0,29.31,29.31,29.31,0.0,0.0,29.32,29.32,29.32,0.0,0.0
2019-06-30,29.66,29.66,29.66,0.0,0.0,29.88,29.88,29.88,0.0,0.0,29.63,29.63,29.63,0.0,0.0,29.84,29.84,29.84,0.0,0.0
2019-07-07,29.83,29.83,29.83,0.0,0.0,29.87,29.87,29.87,0.0,0.0,29.83,29.83,29.83,0.0,0.0,29.86,29.86,29.86,0.0,0.0
2019-07-14,29.62,29.62,29.62,0.0,0.0,29.62,29.62,29.62,0.0,0.0,29.62,29.62,29.62,0.0,0.0,29.62,29.62,29.62,0.0,0.0
2019-07-21,29.47,29.47,29.47,0.0,0.0,29.55,29.55,29.55,0.0,0.0,29.47,29.47,29.47,0.0,0.0,29.55,29.55,29.55,0.0,0.0
2019-07-28,29.09,29.09,29.09,0.0,0.0,29.09,29.09,29.09,0.0,0.0,29.09,29.09,29.09,0.0,0.0,29.09,29.09,29.09,0.0,0.0
2019-08-04,29.0,29.0,29.0,0.0,0.0,29.1,29.1,29.1,0.0,0.0,28.98,28.98,28.98,0.0,0.0,29.1,29.1,29.1,0.0,0.0
2019-08-11,28.97,28.97,28.97,0.0,0.0,29.07,29.07,29.07,0.0,0.0,28.97,28.97,28.97,0.0,0.0,29.07,29.07,29.07,0.0,0.0
2019-08-18,28.93,28.93,28.93,0.0,0.0,28.93,28.93,28.93,0.0,0.0,28.93,28.93,28.93,0.0,0.0,28.93,28.93,28.93,0.0,0.0
2019-08-25,29.38,29.38,29.38,0.0,0.0,29.38,29.38,29.38,0.0,0.0,29.38,29.38,29.38,0.0,0.0,29.38,29.38,29.38,0.0,0.0
2019-09-01,29.81,29.81,29.81,0.0,0.0,29.81,29.81,29.81,0.0,0.0,29.75,29.75,29.75,0.0,0.0,29.78,29.78,29.78,0.0,0.0
2019-09-08,29.91,29.91,29.91,0.0,0.0,29.97,29.97,29.97,0.0,0.0,29.75,29.75,29.75,0.0,0.0,29.79,29.79,29.79,0.0,0.0
2019-09-15,30.03,30.03,30.03,0.0,0.0,30.06,30.06,30.06,0.0,0.0,29.96,29.96,29.96,0.0,0.0,29.99,29.99,29.99,0.0,0.0
2019-09-22,29.83,29.83,29.83,0.0,0.0,29.83,29.83,29.83,0.0,0.0,29.83,29.83,29.83,0.0,0.0,29.83,29.83,29.83,0.0,0.0
2019-09-29,29.57,29.57,29.57,0.0,0.0,29.62,29.62,29.62,0.0,0.0,29.57,29.57,29.57,0.0,0.0,29.62,29.62,29.62,0.0,0.0
2019-10-06,29.96,29.96,29.96,0.0,0.0,29.96,29.96,29.96,0.0,0.0,29.88,29.88,29.88,0.0,0.0,29.88,29.88,29.88,0.0,0.0
2019-10-13,30.1,30.1,30.1,0.0,0.0,30.12,30.12,30.12,0.0,0.0,30.1,30.1,30.1,0.0,0.0,30.12,30.12,30.12,0.0,0.0
2019-10-20,30.25,30.25,30.25,0.0,0.0,30.25,30.25,30.25,0.0,0.0,30.25,30.25,30.25,0.0,0.0,30.25,30.25,30.25,0.0,0.0
2019-10-27,30.32,30.32,30.32,0.0,0.0,30.32,30.32,30.32,0.0,0.0,30.27,30.27,30.27,0.0,0.0,30.27,30.27,30.27,0.0,0.0
2019-11-03,30.14,30.14,30.14,0.0,0.0,30.14,30.14,30.14,0.0,0.0,30.12,30.12,30.12,0.0,0.0,30.12,30.12,30.12,0.0,0.0
2019-11-10,30.23,30.23,30.23,0.0,0.0,30.23,30.23,30.23,0.0,0.0,30.23,30.23,30.23,0.0,0.0,30.23,30.23,30.23,0.0,0.0
2019-11-17,30.03,30.03,30.03,0.0,0.0,30.09,30.09,30.09,0.0,0.0,30.01,30.01,30.01,0.0,0.0,30.08,30.08,30.08,0.0,0.0
2019-11-24,30.34,30.34,30.34,0.0,0.0,30.34,30.34,30.34,0.0,0.0,30.27,30.27,30.27,0.0,0.0,30.27,30.27,30.27,0.0,0.0
2019-12-01,30.41,30.41,30.41,0.0,0.0,30.41,30.41,30.41,0.0,0.0,30.37,30.37,30.37,0.0,0.0,30.37,30.37,30.37,0.0,0.0
2019-12-08,30.2,30.2,30.2,0.0,0.0,30.28,30.28,30.28,0.0,0.0,30.2,30.2,30.2,0.0,0.0,30.28,30.28,30.28,0.0,0.0
2019-12-15,30.71,30.71,30.71,0.0,0.0,30.74,30.74,30.74,0.0,0.0,30.71,30.71,30.71,0.0,0.0,30.72,30.72,30.72,0.0,0.0
2019-12-22,30.49,30.49,30.49,0.0,0.0,30.49,30.49,30.49,0.0,0.0,30.49,30.49,30.49,0.0,0.0,30.49,30.49,30.49,0.0,0.0
2019-12-29,30.42,30.42,30.42,0.0,0.0,30.43,30.43,30.43,0.0,0.0,30.42,30.42,30.42,0.0,0.0,30.43,30.43,30.43,0.0,0.0
