Date,ProShares Investment Grade-Interest Rate HedgedEtf_Open_average,ProShares Investment Grade-Interest Rate HedgedEtf_Open_max,ProShares Investment Grade-Interest Rate HedgedEtf_Open_min,ProShares Investment Grade-Interest Rate HedgedEtf_Open_volatility,ProShares Investment Grade-Interest Rate HedgedEtf_Open_change,ProShares Investment Grade-Interest Rate HedgedEtf_High_average,ProShares Investment Grade-Interest Rate HedgedEtf_High_max,ProShares Investment Grade-Interest Rate HedgedEtf_High_min,ProShares Investment Grade-Interest Rate HedgedEtf_High_volatility,ProShares Investment Grade-Interest Rate HedgedEtf_High_change,ProShares Investment Grade-Interest Rate HedgedEtf_Low_average,ProShares Investment Grade-Interest Rate HedgedEtf_Low_max,ProShares Investment Grade-Interest Rate HedgedEtf_Low_min,ProShares Investment Grade-Interest Rate HedgedEtf_Low_volatility,ProShares Investment Grade-Interest Rate HedgedEtf_Low_change,ProShares Investment Grade-Interest Rate HedgedEtf_Close_average,ProShares Investment Grade-Interest Rate HedgedEtf_Close_max,ProShares Investment Grade-Interest Rate HedgedEtf_Close_min,ProShares Investment Grade-Interest Rate HedgedEtf_Close_volatility,ProShares Investment Grade-Interest Rate HedgedEtf_Close_change
2018-03-25,76.37,76.37,76.37,0.0,0.0,76.66,76.66,76.66,0.0,0.0,76.0,76.0,76.0,0.0,0.0,76.23,76.23,76.23,0.0,0.0
2018-04-01,76.28,76.28,76.28,0.0,0.0,76.42,76.42,76.42,0.0,0.0,76.0,76.0,76.0,0.0,0.0,76.0,76.0,76.0,0.0,0.0
2018-04-08,76.8,76.8,76.8,0.0,0.0,77.0,77.0,77.0,0.0,0.0,76.05,76.05,76.05,0.0,0.0,76.37,76.37,76.37,0.0,0.0
2018-04-15,76.58,76.58,76.58,0.0,0.0,76.66,76.66,76.66,0.0,0.0,76.48,76.48,76.48,0.0,0.0,76.63,76.63,76.63,0.0,0.0
2018-04-22,76.46,76.46,76.46,0.0,0.0,76.46,76.46,76.46,0.0,0.0,76.0,76.0,76.0,0.0,0.0,76.15,76.15,76.15,0.0,0.0
2018-04-29,75.55,75.55,75.55,0.0,0.0,75.69,75.69,75.69,0.0,0.0,75.45,75.45,75.45,0.0,0.0,75.62,75.62,75.62,0.0,0.0
2018-05-06,75.78,75.78,75.78,0.0,0.0,76.06,76.06,76.06,0.0,0.0,75.56,75.56,75.56,0.0,0.0,75.86,75.86,75.86,0.0,0.0
2018-05-13,76.14,76.14,76.14,0.0,0.0,76.17,76.17,76.17,0.0,0.0,75.97,75.97,75.97,0.0,0.0,76.04,76.04,76.04,0.0,0.0
2018-05-20,75.71,75.71,75.71,0.0,0.0,76.0,76.0,76.0,0.0,0.0,75.69,75.69,75.69,0.0,0.0,75.69,75.69,75.69,0.0,0.0
2018-05-27,75.3,75.3,75.3,0.0,0.0,75.3,75.3,75.3,0.0,0.0,73.37,73.37,73.37,0.0,0.0,74.9,74.9,74.9,0.0,0.0
2018-06-03,74.95,74.95,74.95,0.0,0.0,75.09,75.09,75.09,0.0,0.0,74.63,74.63,74.63,0.0,0.0,74.98,74.98,74.98,0.0,0.0
2018-06-10,74.63,74.63,74.63,0.0,0.0,74.91,74.91,74.91,0.0,0.0,74.13,74.13,74.13,0.0,0.0,74.75,74.75,74.75,0.0,0.0
2018-06-17,74.13,74.13,74.13,0.0,0.0,74.13,74.13,74.13,0.0,0.0,73.6,73.6,73.6,0.0,0.0,73.66,73.66,73.66,0.0,0.0
2018-06-24,73.83,73.83,73.83,0.0,0.0,73.91,73.91,73.91,0.0,0.0,73.56,73.56,73.56,0.0,0.0,73.91,73.91,73.91,0.0,0.0
2018-07-01,73.76,73.76,73.76,0.0,0.0,73.9,73.9,73.9,0.0,0.0,73.46,73.46,73.46,0.0,0.0,73.85,73.85,73.85,0.0,0.0
2018-07-08,74.55,74.55,74.55,0.0,0.0,75.0,75.0,75.0,0.0,0.0,74.22,74.22,74.22,0.0,0.0,74.5,74.5,74.5,0.0,0.0
2018-07-15,74.62,74.62,74.62,0.0,0.0,74.73,74.73,74.73,0.0,0.0,74.26,74.26,74.26,0.0,0.0,74.72,74.72,74.72,0.0,0.0
2018-07-22,75.16,75.16,75.16,0.0,0.0,75.5,75.5,75.5,0.0,0.0,74.6,74.6,74.6,0.0,0.0,74.6,74.6,74.6,0.0,0.0
2018-07-29,75.36,75.36,75.36,0.0,0.0,75.49,75.49,75.49,0.0,0.0,75.01,75.01,75.01,0.0,0.0,75.49,75.49,75.49,0.0,0.0
2018-08-05,75.05,75.05,75.05,0.0,0.0,75.25,75.25,75.25,0.0,0.0,74.56,74.56,74.56,0.0,0.0,74.83,74.83,74.83,0.0,0.0
2018-08-12,74.84,74.84,74.84,0.0,0.0,75.3,75.3,75.3,0.0,0.0,74.8,74.8,74.8,0.0,0.0,74.97,74.97,74.97,0.0,0.0
2018-08-19,74.99,74.99,74.99,0.0,0.0,75.0,75.0,75.0,0.0,0.0,74.73,74.73,74.73,0.0,0.0,74.83,74.83,74.83,0.0,0.0
2018-08-26,74.85,74.85,74.85,0.0,0.0,74.93,74.93,74.93,0.0,0.0,74.58,74.58,74.58,0.0,0.0,74.66,74.66,74.66,0.0,0.0
2018-09-02,74.38,74.38,74.38,0.0,0.0,74.62,74.62,74.62,0.0,0.0,71.42,71.42,71.42,0.0,0.0,74.35,74.35,74.35,0.0,0.0
2018-09-09,74.88,74.88,74.88,0.0,0.0,75.23,75.23,75.23,0.0,0.0,74.59,74.59,74.59,0.0,0.0,75.23,75.23,75.23,0.0,0.0
2018-09-16,75.54,75.54,75.54,0.0,0.0,75.58,75.58,75.58,0.0,0.0,75.25,75.25,75.25,0.0,0.0,75.35,75.35,75.35,0.0,0.0
2018-09-23,75.73,75.73,75.73,0.0,0.0,75.77,75.77,75.77,0.0,0.0,75.25,75.25,75.25,0.0,0.0,75.76,75.76,75.76,0.0,0.0
2018-09-30,75.6,75.6,75.6,0.0,0.0,75.85,75.85,75.85,0.0,0.0,75.48,75.48,75.48,0.0,0.0,75.48,75.48,75.48,0.0,0.0
2018-10-07,75.4,75.4,75.4,0.0,0.0,75.6,75.6,75.6,0.0,0.0,75.14,75.14,75.14,0.0,0.0,75.48,75.48,75.48,0.0,0.0
2018-10-14,75.0,75.0,75.0,0.0,0.0,75.31,75.31,75.31,0.0,0.0,74.13,74.13,74.13,0.0,0.0,75.04,75.04,75.04,0.0,0.0
2018-10-21,75.01,75.01,75.01,0.0,0.0,75.01,75.01,75.01,0.0,0.0,74.35,74.35,74.35,0.0,0.0,74.35,74.35,74.35,0.0,0.0
2018-10-28,74.88,74.88,74.88,0.0,0.0,74.88,74.88,74.88,0.0,0.0,74.24,74.24,74.24,0.0,0.0,74.49,74.49,74.49,0.0,0.0
2018-11-04,74.64,74.64,74.64,0.0,0.0,74.87,74.87,74.87,0.0,0.0,74.45,74.45,74.45,0.0,0.0,74.61,74.61,74.61,0.0,0.0
2018-11-11,73.46,73.46,73.46,0.0,0.0,73.55,73.55,73.55,0.0,0.0,73.18,73.18,73.18,0.0,0.0,73.45,73.45,73.45,0.0,0.0
2018-11-18,73.27,73.27,73.27,0.0,0.0,73.35,73.35,73.35,0.0,0.0,72.96,72.96,72.96,0.0,0.0,73.11,73.11,73.11,0.0,0.0
2018-11-25,72.76,72.76,72.76,0.0,0.0,73.16,73.16,73.16,0.0,0.0,72.45,72.45,72.45,0.0,0.0,72.73,72.73,72.73,0.0,0.0
2018-12-02,71.9,71.9,71.9,0.0,0.0,72.1,72.1,72.1,0.0,0.0,70.09,70.09,70.09,0.0,0.0,71.75,71.75,71.75,0.0,0.0
2018-12-09,72.27,72.27,72.27,0.0,0.0,72.72,72.72,72.72,0.0,0.0,71.85,71.85,71.85,0.0,0.0,72.45,72.45,72.45,0.0,0.0
2018-12-16,71.62,71.62,71.62,0.0,0.0,72.0,72.0,72.0,0.0,0.0,71.18,71.18,71.18,0.0,0.0,71.72,71.72,71.72,0.0,0.0
2018-12-23,71.03,71.03,71.03,0.0,0.0,71.23,71.23,71.23,0.0,0.0,70.67,70.67,70.67,0.0,0.0,71.23,71.23,71.23,0.0,0.0
2018-12-30,70.73,70.73,70.73,0.0,0.0,71.02,71.02,71.02,0.0,0.0,70.71,70.71,70.71,0.0,0.0,71.02,71.02,71.02,0.0,0.0
2019-01-06,71.68,71.68,71.68,0.0,0.0,72.0,72.0,72.0,0.0,0.0,71.68,71.68,71.68,0.0,0.0,71.9,71.9,71.9,0.0,0.0
2019-01-13,72.31,72.31,72.31,0.0,0.0,73.17,73.17,73.17,0.0,0.0,72.31,72.31,72.31,0.0,0.0,73.17,73.17,73.17,0.0,0.0
2019-01-20,73.06,73.06,73.06,0.0,0.0,73.25,73.25,73.25,0.0,0.0,72.66,72.66,72.66,0.0,0.0,73.24,73.24,73.24,0.0,0.0
2019-01-27,73.42,73.42,73.42,0.0,0.0,73.68,73.68,73.68,0.0,0.0,73.35,73.35,73.35,0.0,0.0,73.68,73.68,73.68,0.0,0.0
2019-02-03,73.47,73.47,73.47,0.0,0.0,73.62,73.62,73.62,0.0,0.0,73.21,73.21,73.21,0.0,0.0,73.62,73.62,73.62,0.0,0.0
2019-02-10,73.42,73.42,73.42,0.0,0.0,73.7,73.7,73.7,0.0,0.0,73.42,73.42,73.42,0.0,0.0,73.56,73.56,73.56,0.0,0.0
2019-02-17,73.8,73.8,73.8,0.0,0.0,73.84,73.84,73.84,0.0,0.0,73.39,73.39,73.39,0.0,0.0,73.84,73.84,73.84,0.0,0.0
2019-02-24,73.94,73.94,73.94,0.0,0.0,74.09,74.09,74.09,0.0,0.0,73.8,73.8,73.8,0.0,0.0,74.07,74.07,74.07,0.0,0.0
2019-03-03,73.42,73.42,73.42,0.0,0.0,73.86,73.86,73.86,0.0,0.0,73.36,73.36,73.36,0.0,0.0,73.86,73.86,73.86,0.0,0.0
2019-03-10,73.71,73.71,73.71,0.0,0.0,73.9,73.9,73.9,0.0,0.0,73.68,73.68,73.68,0.0,0.0,73.84,73.84,73.84,0.0,0.0
2019-03-17,73.99,73.99,73.99,0.0,0.0,74.03,74.03,74.03,0.0,0.0,73.74,73.74,73.74,0.0,0.0,73.94,73.94,73.94,0.0,0.0
2019-03-24,73.92,73.92,73.92,0.0,0.0,74.16,74.16,74.16,0.0,0.0,73.92,73.92,73.92,0.0,0.0,74.15,74.15,74.15,0.0,0.0
2019-03-31,74.17,74.17,74.17,0.0,0.0,74.45,74.45,74.45,0.0,0.0,74.17,74.17,74.17,0.0,0.0,74.34,74.34,74.34,0.0,0.0
2019-04-07,74.8,74.8,74.8,0.0,0.0,75.17,75.17,75.17,0.0,0.0,74.75,74.75,74.75,0.0,0.0,75.08,75.08,75.08,0.0,0.0
2019-04-14,75.12,75.12,75.12,0.0,0.0,75.13,75.13,75.13,0.0,0.0,75.01,75.01,75.01,0.0,0.0,75.01,75.01,75.01,0.0,0.0
2019-04-21,75.08,75.08,75.08,0.0,0.0,75.27,75.27,75.27,0.0,0.0,75.02,75.02,75.02,0.0,0.0,75.23,75.23,75.23,0.0,0.0
2019-04-28,74.96,74.96,74.96,0.0,0.0,75.04,75.04,75.04,0.0,0.0,74.72,74.72,74.72,0.0,0.0,75.0,75.0,75.0,0.0,0.0
2019-05-05,74.51,74.51,74.51,0.0,0.0,74.54,74.54,74.54,0.0,0.0,74.27,74.27,74.27,0.0,0.0,74.42,74.42,74.42,0.0,0.0
2019-05-12,74.21,74.21,74.21,0.0,0.0,74.33,74.33,74.33,0.0,0.0,74.14,74.14,74.14,0.0,0.0,74.2,74.2,74.2,0.0,0.0
2019-05-19,73.84,73.84,73.84,0.0,0.0,74.1,74.1,74.1,0.0,0.0,73.84,73.84,73.84,0.0,0.0,73.94,73.94,73.94,0.0,0.0
2019-05-26,73.37,73.37,73.37,0.0,0.0,73.47,73.47,73.47,0.0,0.0,73.24,73.24,73.24,0.0,0.0,73.25,73.25,73.25,0.0,0.0
2019-06-02,73.19,73.19,73.19,0.0,0.0,73.59,73.59,73.59,0.0,0.0,73.19,73.19,73.19,0.0,0.0,73.58,73.58,73.58,0.0,0.0
2019-06-09,73.79,73.79,73.79,0.0,0.0,73.79,73.79,73.79,0.0,0.0,73.61,73.61,73.61,0.0,0.0,73.71,73.71,73.71,0.0,0.0
2019-06-16,74.7,74.7,74.7,0.0,0.0,74.87,74.87,74.87,0.0,0.0,74.7,74.7,74.7,0.0,0.0,74.87,74.87,74.87,0.0,0.0
2019-06-23,75.06,75.06,75.06,0.0,0.0,75.2,75.2,75.2,0.0,0.0,74.97,74.97,74.97,0.0,0.0,75.18,75.18,75.18,0.0,0.0
2019-06-30,75.17,75.17,75.17,0.0,0.0,75.37,75.37,75.37,0.0,0.0,75.03,75.03,75.03,0.0,0.0,75.18,75.18,75.18,0.0,0.0
2019-07-07,75.15,75.15,75.15,0.0,0.0,75.34,75.34,75.34,0.0,0.0,75.09,75.09,75.09,0.0,0.0,75.29,75.29,75.29,0.0,0.0
2019-07-14,75.25,75.25,75.25,0.0,0.0,75.37,75.37,75.37,0.0,0.0,75.1,75.1,75.1,0.0,0.0,75.18,75.18,75.18,0.0,0.0
2019-07-21,75.73,75.73,75.73,0.0,0.0,75.83,75.83,75.83,0.0,0.0,75.65,75.65,75.65,0.0,0.0,75.82,75.82,75.82,0.0,0.0
2019-07-28,74.86,74.86,74.86,0.0,0.0,75.04,75.04,75.04,0.0,0.0,74.62,74.62,74.62,0.0,0.0,74.66,74.66,74.66,0.0,0.0
2019-08-04,74.53,74.53,74.53,0.0,0.0,74.55,74.55,74.55,0.0,0.0,74.1,74.1,74.1,0.0,0.0,74.38,74.38,74.38,0.0,0.0
2019-08-11,73.64,73.64,73.64,0.0,0.0,74.01,74.01,74.01,0.0,0.0,73.64,73.64,73.64,0.0,0.0,73.97,73.97,73.97,0.0,0.0
2019-08-18,74.14,74.14,74.14,0.0,0.0,74.49,74.49,74.49,0.0,0.0,74.14,74.14,74.14,0.0,0.0,74.21,74.21,74.21,0.0,0.0
2019-08-25,74.23,74.23,74.23,0.0,0.0,74.41,74.41,74.41,0.0,0.0,74.09,74.09,74.09,0.0,0.0,74.37,74.37,74.37,0.0,0.0
2019-09-01,73.92,73.92,73.92,0.0,0.0,74.16,74.16,74.16,0.0,0.0,73.87,73.87,73.87,0.0,0.0,74.1,74.1,74.1,0.0,0.0
2019-09-08,74.32,74.32,74.32,0.0,0.0,74.83,74.83,74.83,0.0,0.0,74.32,74.32,74.32,0.0,0.0,74.63,74.63,74.63,0.0,0.0
2019-09-15,74.62,74.62,74.62,0.0,0.0,74.85,74.85,74.85,0.0,0.0,74.56,74.56,74.56,0.0,0.0,74.83,74.83,74.83,0.0,0.0
2019-09-22,74.46,74.46,74.46,0.0,0.0,74.76,74.76,74.76,0.0,0.0,74.46,74.46,74.46,0.0,0.0,74.62,74.62,74.62,0.0,0.0
2019-09-29,74.02,74.02,74.02,0.0,0.0,74.06,74.06,74.06,0.0,0.0,73.63,73.63,73.63,0.0,0.0,74.06,74.06,74.06,0.0,0.0
2019-10-06,74.0,74.0,74.0,0.0,0.0,74.6,74.6,74.6,0.0,0.0,74.0,74.0,74.0,0.0,0.0,74.6,74.6,74.6,0.0,0.0
2019-10-13,74.85,74.85,74.85,0.0,0.0,75.05,75.05,75.05,0.0,0.0,74.7,74.7,74.7,0.0,0.0,75.03,75.03,75.03,0.0,0.0
2019-10-20,75.25,75.25,75.25,0.0,0.0,75.46,75.46,75.46,0.0,0.0,75.05,75.05,75.05,0.0,0.0,75.43,75.43,75.43,0.0,0.0
2019-10-27,74.89,74.89,74.89,0.0,0.0,75.19,75.19,75.19,0.0,0.0,74.89,74.89,74.89,0.0,0.0,75.17,75.17,75.17,0.0,0.0
2019-11-03,75.93,75.93,75.93,0.0,0.0,75.93,75.93,75.93,0.0,0.0,75.7,75.7,75.7,0.0,0.0,75.75,75.75,75.75,0.0,0.0
2019-11-10,75.53,75.53,75.53,0.0,0.0,75.82,75.82,75.82,0.0,0.0,75.53,75.53,75.53,0.0,0.0,75.6,75.6,75.6,0.0,0.0
2019-11-17,75.34,75.34,75.34,0.0,0.0,75.6,75.6,75.6,0.0,0.0,75.34,75.34,75.34,0.0,0.0,75.6,75.6,75.6,0.0,0.0
2019-11-24,76.03,76.03,76.03,0.0,0.0,76.23,76.23,76.23,0.0,0.0,75.92,75.92,75.92,0.0,0.0,76.08,76.08,76.08,0.0,0.0
2019-12-01,76.27,76.27,76.27,0.0,0.0,76.47,76.47,76.47,0.0,0.0,76.17,76.17,76.17,0.0,0.0,76.45,76.45,76.45,0.0,0.0
2019-12-08,76.72,76.72,76.72,0.0,0.0,76.91,76.91,76.91,0.0,0.0,76.69,76.69,76.69,0.0,0.0,76.78,76.78,76.78,0.0,0.0
2019-12-15,77.55,77.55,77.55,0.0,0.0,77.6,77.6,77.6,0.0,0.0,77.24,77.24,77.24,0.0,0.0,77.24,77.24,77.24,0.0,0.0
2019-12-22,77.14,77.14,77.14,0.0,0.0,77.32,77.32,77.32,0.0,0.0,77.14,77.14,77.14,0.0,0.0,77.22,77.22,77.22,0.0,0.0
2019-12-29,77.3,77.3,77.3,0.0,0.0,77.3,77.3,77.3,0.0,0.0,76.56,76.56,76.56,0.0,0.0,76.56,76.56,76.56,0.0,0.0
