Date,iShares MSCI Global Silver Miners_Open_average,iShares MSCI Global Silver Miners_Open_max,iShares MSCI Global Silver Miners_Open_min,iShares MSCI Global Silver Miners_Open_volatility,iShares MSCI Global Silver Miners_Open_change,iShares MSCI Global Silver Miners_High_average,iShares MSCI Global Silver Miners_High_max,iShares MSCI Global Silver Miners_High_min,iShares MSCI Global Silver Miners_High_volatility,iShares MSCI Global Silver Miners_High_change,iShares MSCI Global Silver Miners_Low_average,iShares MSCI Global Silver Miners_Low_max,iShares MSCI Global Silver Miners_Low_min,iShares MSCI Global Silver Miners_Low_volatility,iShares MSCI Global Silver Miners_Low_change,iShares MSCI Global Silver Miners_Close_average,iShares MSCI Global Silver Miners_Close_max,iShares MSCI Global Silver Miners_Close_min,iShares MSCI Global Silver Miners_Close_volatility,iShares MSCI Global Silver Miners_Close_change
2018-04-01,10.34,10.34,10.34,0.0,0.0,10.42,10.42,10.42,0.0,0.0,10.22,10.22,10.22,0.0,0.0,10.36,10.36,10.36,0.0,0.0
2018-04-08,10.81,10.81,10.81,0.0,0.0,10.81,10.81,10.81,0.0,0.0,10.6,10.6,10.6,0.0,0.0,10.62,10.62,10.62,0.0,0.0
2018-04-15,10.74,10.74,10.74,0.0,0.0,10.75,10.75,10.75,0.0,0.0,10.58,10.58,10.58,0.0,0.0,10.59,10.59,10.59,0.0,0.0
2018-04-22,10.59,10.59,10.59,0.0,0.0,10.59,10.59,10.59,0.0,0.0,10.49,10.49,10.49,0.0,0.0,10.51,10.51,10.51,0.0,0.0
2018-04-29,10.54,10.54,10.54,0.0,0.0,10.63,10.63,10.63,0.0,0.0,10.51,10.51,10.51,0.0,0.0,10.54,10.54,10.54,0.0,0.0
2018-05-06,10.8,10.8,10.8,0.0,0.0,10.8,10.8,10.8,0.0,0.0,10.7,10.7,10.7,0.0,0.0,10.72,10.72,10.72,0.0,0.0
2018-05-13,10.5,10.5,10.5,0.0,0.0,10.63,10.63,10.63,0.0,0.0,10.5,10.5,10.5,0.0,0.0,10.63,10.63,10.63,0.0,0.0
2018-05-20,10.86,10.86,10.86,0.0,0.0,10.86,10.86,10.86,0.0,0.0,10.67,10.67,10.67,0.0,0.0,10.67,10.67,10.67,0.0,0.0
2018-05-27,10.7,10.7,10.7,0.0,0.0,10.7,10.7,10.7,0.0,0.0,10.5,10.5,10.5,0.0,0.0,10.52,10.52,10.52,0.0,0.0
2018-06-03,10.63,10.63,10.63,0.0,0.0,10.63,10.63,10.63,0.0,0.0,10.56,10.56,10.56,0.0,0.0,10.58,10.58,10.58,0.0,0.0
2018-06-10,10.31,10.31,10.31,0.0,0.0,10.4,10.4,10.4,0.0,0.0,10.25,10.25,10.25,0.0,0.0,10.37,10.37,10.37,0.0,0.0
2018-06-17,10.2,10.2,10.2,0.0,0.0,10.31,10.31,10.31,0.0,0.0,10.2,10.2,10.2,0.0,0.0,10.2,10.2,10.2,0.0,0.0
2018-06-24,10.05,10.05,10.05,0.0,0.0,10.13,10.13,10.13,0.0,0.0,10.05,10.05,10.05,0.0,0.0,10.07,10.07,10.07,0.0,0.0
2018-07-01,10.49,10.49,10.49,0.0,0.0,10.49,10.49,10.49,0.0,0.0,10.34,10.34,10.34,0.0,0.0,10.34,10.34,10.34,0.0,0.0
2018-07-08,10.0,10.0,10.0,0.0,0.0,10.01,10.01,10.01,0.0,0.0,9.97,9.97,9.97,0.0,0.0,9.99,9.99,9.99,0.0,0.0
2018-07-15,9.75,9.75,9.75,0.0,0.0,9.77,9.77,9.77,0.0,0.0,9.69,9.69,9.69,0.0,0.0,9.69,9.69,9.69,0.0,0.0
2018-07-22,9.67,9.67,9.67,0.0,0.0,9.67,9.67,9.67,0.0,0.0,9.55,9.55,9.55,0.0,0.0,9.55,9.55,9.55,0.0,0.0
2018-07-29,9.56,9.56,9.56,0.0,0.0,9.56,9.56,9.56,0.0,0.0,9.45,9.45,9.45,0.0,0.0,9.45,9.45,9.45,0.0,0.0
2018-08-05,9.21,9.21,9.21,0.0,0.0,9.23,9.23,9.23,0.0,0.0,8.94,8.94,8.94,0.0,0.0,9.02,9.02,9.02,0.0,0.0
2018-08-12,8.61,8.61,8.61,0.0,0.0,8.61,8.61,8.61,0.0,0.0,8.38,8.38,8.38,0.0,0.0,8.46,8.46,8.46,0.0,0.0
2018-08-19,8.74,8.74,8.74,0.0,0.0,8.82,8.82,8.82,0.0,0.0,8.7,8.7,8.7,0.0,0.0,8.75,8.75,8.75,0.0,0.0
2018-08-26,8.58,8.58,8.58,0.0,0.0,8.6,8.6,8.6,0.0,0.0,8.38,8.38,8.38,0.0,0.0,8.4,8.4,8.4,0.0,0.0
2018-09-02,8.14,8.14,8.14,0.0,0.0,8.14,8.14,8.14,0.0,0.0,7.86,7.86,7.86,0.0,0.0,7.89,7.89,7.89,0.0,0.0
2018-09-09,8.11,8.11,8.11,0.0,0.0,8.15,8.15,8.15,0.0,0.0,7.99,7.99,7.99,0.0,0.0,8.13,8.13,8.13,0.0,0.0
2018-09-16,8.43,8.43,8.43,0.0,0.0,8.49,8.49,8.49,0.0,0.0,8.32,8.32,8.32,0.0,0.0,8.38,8.38,8.38,0.0,0.0
2018-09-23,8.28,8.28,8.28,0.0,0.0,8.28,8.28,8.28,0.0,0.0,8.17,8.17,8.17,0.0,0.0,8.17,8.17,8.17,0.0,0.0
2018-09-30,8.19,8.19,8.19,0.0,0.0,8.28,8.28,8.28,0.0,0.0,8.09,8.09,8.09,0.0,0.0,8.28,8.28,8.28,0.0,0.0
2018-10-07,8.49,8.49,8.49,0.0,0.0,8.8,8.8,8.8,0.0,0.0,8.29,8.29,8.29,0.0,0.0,8.65,8.65,8.65,0.0,0.0
2018-10-14,8.59,8.59,8.59,0.0,0.0,8.59,8.59,8.59,0.0,0.0,8.4,8.4,8.4,0.0,0.0,8.49,8.49,8.49,0.0,0.0
2018-10-21,8.19,8.19,8.19,0.0,0.0,8.19,8.19,8.19,0.0,0.0,8.02,8.02,8.02,0.0,0.0,8.02,8.02,8.02,0.0,0.0
2018-10-28,8.15,8.15,8.15,0.0,0.0,8.19,8.19,8.19,0.0,0.0,8.1,8.1,8.1,0.0,0.0,8.16,8.16,8.16,0.0,0.0
2018-11-04,7.75,7.75,7.75,0.0,0.0,7.77,7.77,7.77,0.0,0.0,7.48,7.48,7.48,0.0,0.0,7.53,7.53,7.53,0.0,0.0
2018-11-11,7.89,7.89,7.89,0.0,0.0,8.0,8.0,8.0,0.0,0.0,7.81,7.81,7.81,0.0,0.0,7.81,7.81,7.81,0.0,0.0
2018-11-18,7.7,7.7,7.7,0.0,0.0,7.7,7.7,7.7,0.0,0.0,7.4,7.4,7.4,0.0,0.0,7.4,7.4,7.4,0.0,0.0
2018-11-25,7.63,7.63,7.63,0.0,0.0,7.63,7.63,7.63,0.0,0.0,7.51,7.51,7.51,0.0,0.0,7.61,7.61,7.61,0.0,0.0
2018-12-02,7.83,7.83,7.83,0.0,0.0,7.9,7.9,7.9,0.0,0.0,7.67,7.67,7.67,0.0,0.0,7.72,7.72,7.72,0.0,0.0
2018-12-09,8.06,8.06,8.06,0.0,0.0,8.23,8.23,8.23,0.0,0.0,8.02,8.02,8.02,0.0,0.0,8.18,8.18,8.18,0.0,0.0
2018-12-16,8.14,8.14,8.14,0.0,0.0,8.37,8.37,8.37,0.0,0.0,8.13,8.13,8.13,0.0,0.0,8.18,8.18,8.18,0.0,0.0
2018-12-23,8.2,8.2,8.2,0.0,0.0,8.37,8.37,8.37,0.0,0.0,8.2,8.2,8.2,0.0,0.0,8.34,8.34,8.34,0.0,0.0
2018-12-30,8.88,8.88,8.88,0.0,0.0,8.88,8.88,8.88,0.0,0.0,8.61,8.61,8.61,0.0,0.0,8.68,8.68,8.68,0.0,0.0
2019-01-06,8.78,8.78,8.78,0.0,0.0,8.78,8.78,8.78,0.0,0.0,8.6,8.6,8.6,0.0,0.0,8.61,8.61,8.61,0.0,0.0
2019-01-13,8.25,8.25,8.25,0.0,0.0,8.28,8.28,8.28,0.0,0.0,8.15,8.15,8.15,0.0,0.0,8.18,8.18,8.18,0.0,0.0
2019-01-20,8.41,8.41,8.41,0.0,0.0,8.53,8.53,8.53,0.0,0.0,8.41,8.41,8.41,0.0,0.0,8.53,8.53,8.53,0.0,0.0
2019-01-27,8.92,8.92,8.92,0.0,0.0,9.11,9.11,9.11,0.0,0.0,8.92,8.92,8.92,0.0,0.0,9.1,9.1,9.1,0.0,0.0
2019-02-03,9.06,9.06,9.06,0.0,0.0,9.07,9.07,9.07,0.0,0.0,8.96,8.96,8.96,0.0,0.0,9.02,9.02,9.02,0.0,0.0
2019-02-10,9.1,9.1,9.1,0.0,0.0,9.1,9.1,9.1,0.0,0.0,9.0,9.0,9.0,0.0,0.0,9.09,9.09,9.09,0.0,0.0
2019-02-17,9.62,9.62,9.62,0.0,0.0,9.7,9.7,9.7,0.0,0.0,9.55,9.55,9.55,0.0,0.0,9.58,9.58,9.58,0.0,0.0
2019-02-24,8.92,8.92,8.92,0.0,0.0,8.92,8.92,8.92,0.0,0.0,8.73,8.73,8.73,0.0,0.0,8.83,8.83,8.83,0.0,0.0
2019-03-03,9.06,9.06,9.06,0.0,0.0,9.06,9.06,9.06,0.0,0.0,8.85,8.85,8.85,0.0,0.0,8.99,8.99,8.99,0.0,0.0
2019-03-10,9.15,9.15,9.15,0.0,0.0,9.24,9.24,9.24,0.0,0.0,8.99,8.99,8.99,0.0,0.0,9.07,9.07,9.07,0.0,0.0
2019-03-17,9.49,9.49,9.49,0.0,0.0,9.6,9.6,9.6,0.0,0.0,9.41,9.41,9.41,0.0,0.0,9.56,9.56,9.56,0.0,0.0
2019-03-24,9.27,9.27,9.27,0.0,0.0,9.27,9.27,9.27,0.0,0.0,8.9,8.9,8.9,0.0,0.0,8.93,8.93,8.93,0.0,0.0
2019-03-31,9.19,9.19,9.19,0.0,0.0,9.21,9.21,9.21,0.0,0.0,9.09,9.09,9.09,0.0,0.0,9.18,9.18,9.18,0.0,0.0
2019-04-07,8.74,8.74,8.74,0.0,0.0,8.85,8.85,8.85,0.0,0.0,8.74,8.74,8.74,0.0,0.0,8.85,8.85,8.85,0.0,0.0
2019-04-14,8.43,8.43,8.43,0.0,0.0,8.55,8.55,8.55,0.0,0.0,8.32,8.32,8.32,0.0,0.0,8.32,8.32,8.32,0.0,0.0
2019-04-21,8.45,8.45,8.45,0.0,0.0,8.47,8.47,8.47,0.0,0.0,8.34,8.34,8.34,0.0,0.0,8.39,8.39,8.39,0.0,0.0
2019-04-28,8.14,8.14,8.14,0.0,0.0,8.19,8.19,8.19,0.0,0.0,8.1,8.1,8.1,0.0,0.0,8.14,8.14,8.14,0.0,0.0
2019-05-05,8.04,8.04,8.04,0.0,0.0,8.08,8.08,8.08,0.0,0.0,7.83,7.83,7.83,0.0,0.0,8.05,8.05,8.05,0.0,0.0
2019-05-12,7.86,7.86,7.86,0.0,0.0,7.89,7.89,7.89,0.0,0.0,7.8,7.8,7.8,0.0,0.0,7.81,7.81,7.81,0.0,0.0
2019-05-19,7.7,7.7,7.7,0.0,0.0,7.7,7.7,7.7,0.0,0.0,7.64,7.64,7.64,0.0,0.0,7.64,7.64,7.64,0.0,0.0
2019-05-26,8.27,8.27,8.27,0.0,0.0,8.37,8.37,8.37,0.0,0.0,8.09,8.09,8.09,0.0,0.0,8.31,8.31,8.31,0.0,0.0
2019-06-02,8.36,8.36,8.36,0.0,0.0,8.36,8.36,8.36,0.0,0.0,8.11,8.11,8.11,0.0,0.0,8.27,8.27,8.27,0.0,0.0
2019-06-09,8.6,8.6,8.6,0.0,0.0,8.6,8.6,8.6,0.0,0.0,8.4,8.4,8.4,0.0,0.0,8.54,8.54,8.54,0.0,0.0
2019-06-16,9.25,9.25,9.25,0.0,0.0,9.5,9.5,9.5,0.0,0.0,9.24,9.24,9.24,0.0,0.0,9.49,9.49,9.49,0.0,0.0
2019-06-23,9.18,9.18,9.18,0.0,0.0,9.22,9.22,9.22,0.0,0.0,8.92,8.92,8.92,0.0,0.0,8.95,8.95,8.95,0.0,0.0
2019-06-30,9.2,9.2,9.2,0.0,0.0,9.4,9.4,9.4,0.0,0.0,9.17,9.17,9.17,0.0,0.0,9.2,9.2,9.2,0.0,0.0
2019-07-07,9.44,9.44,9.44,0.0,0.0,9.5,9.5,9.5,0.0,0.0,9.4,9.4,9.4,0.0,0.0,9.45,9.45,9.45,0.0,0.0
2019-07-14,10.25,10.25,10.25,0.0,0.0,10.47,10.47,10.47,0.0,0.0,10.25,10.25,10.25,0.0,0.0,10.38,10.38,10.38,0.0,0.0
2019-07-21,10.25,10.25,10.25,0.0,0.0,10.3,10.3,10.3,0.0,0.0,10.05,10.05,10.05,0.0,0.0,10.26,10.26,10.26,0.0,0.0
2019-07-28,10.19,10.19,10.19,0.0,0.0,10.35,10.35,10.35,0.0,0.0,10.05,10.05,10.05,0.0,0.0,10.11,10.11,10.11,0.0,0.0
2019-08-04,10.5,10.5,10.5,0.0,0.0,10.59,10.59,10.59,0.0,0.0,10.3,10.3,10.3,0.0,0.0,10.4,10.4,10.4,0.0,0.0
2019-08-11,9.52,9.52,9.52,0.0,0.0,9.87,9.87,9.87,0.0,0.0,9.42,9.42,9.42,0.0,0.0,9.72,9.72,9.72,0.0,0.0
2019-08-18,10.76,10.76,10.76,0.0,0.0,10.83,10.83,10.83,0.0,0.0,10.48,10.48,10.48,0.0,0.0,10.5,10.5,10.5,0.0,0.0
2019-08-25,10.75,10.75,10.75,0.0,0.0,10.99,10.99,10.99,0.0,0.0,10.71,10.71,10.71,0.0,0.0,10.86,10.86,10.86,0.0,0.0
2019-09-01,10.5,10.5,10.5,0.0,0.0,10.55,10.55,10.55,0.0,0.0,10.13,10.13,10.13,0.0,0.0,10.21,10.21,10.21,0.0,0.0
2019-09-08,10.12,10.12,10.12,0.0,0.0,10.15,10.15,10.15,0.0,0.0,9.89,9.89,9.89,0.0,0.0,10.06,10.06,10.06,0.0,0.0
2019-09-15,10.54,10.54,10.54,0.0,0.0,10.7,10.7,10.7,0.0,0.0,10.5,10.5,10.5,0.0,0.0,10.69,10.69,10.69,0.0,0.0
2019-09-22,9.89,9.89,9.89,0.0,0.0,10.05,10.05,10.05,0.0,0.0,9.6,9.6,9.6,0.0,0.0,9.67,9.67,9.67,0.0,0.0
2019-09-29,9.74,9.74,9.74,0.0,0.0,9.91,9.91,9.91,0.0,0.0,9.74,9.74,9.74,0.0,0.0,9.8,9.8,9.8,0.0,0.0
2019-10-06,9.5,9.5,9.5,0.0,0.0,9.65,9.65,9.65,0.0,0.0,9.5,9.5,9.5,0.0,0.0,9.52,9.52,9.52,0.0,0.0
2019-10-13,9.73,9.73,9.73,0.0,0.0,9.77,9.77,9.77,0.0,0.0,9.49,9.49,9.49,0.0,0.0,9.54,9.54,9.54,0.0,0.0
2019-10-20,9.93,9.93,9.93,0.0,0.0,9.93,9.93,9.93,0.0,0.0,9.72,9.72,9.72,0.0,0.0,9.79,9.79,9.79,0.0,0.0
2019-10-27,10.37,10.37,10.37,0.0,0.0,10.37,10.37,10.37,0.0,0.0,10.19,10.19,10.19,0.0,0.0,10.19,10.19,10.19,0.0,0.0
2019-11-03,9.94,9.94,9.94,0.0,0.0,9.95,9.95,9.95,0.0,0.0,9.8,9.8,9.8,0.0,0.0,9.91,9.91,9.91,0.0,0.0
2019-11-10,10.0,10.0,10.0,0.0,0.0,10.22,10.22,10.22,0.0,0.0,10.0,10.0,10.0,0.0,0.0,10.19,10.19,10.19,0.0,0.0
2019-11-17,9.9,9.9,9.9,0.0,0.0,9.95,9.95,9.95,0.0,0.0,9.8,9.8,9.8,0.0,0.0,9.81,9.81,9.81,0.0,0.0
2019-11-24,10.15,10.15,10.15,0.0,0.0,10.29,10.29,10.29,0.0,0.0,10.12,10.12,10.12,0.0,0.0,10.21,10.21,10.21,0.0,0.0
2019-12-01,10.27,10.27,10.27,0.0,0.0,10.31,10.31,10.31,0.0,0.0,10.16,10.16,10.16,0.0,0.0,10.2,10.2,10.2,0.0,0.0
2019-12-08,10.62,10.62,10.62,0.0,0.0,10.62,10.62,10.62,0.0,0.0,10.34,10.34,10.34,0.0,0.0,10.35,10.35,10.35,0.0,0.0
2019-12-15,10.22,10.22,10.22,0.0,0.0,10.6,10.6,10.6,0.0,0.0,10.2,10.2,10.2,0.0,0.0,10.58,10.58,10.58,0.0,0.0
2019-12-22,10.99,10.99,10.99,0.0,0.0,11.28,11.28,11.28,0.0,0.0,10.99,10.99,10.99,0.0,0.0,11.25,11.25,11.25,0.0,0.0
2019-12-29,11.3,11.3,11.3,0.0,0.0,11.38,11.38,11.38,0.0,0.0,11.04,11.04,11.04,0.0,0.0,11.06,11.06,11.06,0.0,0.0
