Date,iShares Core US Growth_Open_average,iShares Core US Growth_Open_max,iShares Core US Growth_Open_min,iShares Core US Growth_Open_volatility,iShares Core US Growth_Open_change,iShares Core US Growth_High_average,iShares Core US Growth_High_max,iShares Core US Growth_High_min,iShares Core US Growth_High_volatility,iShares Core US Growth_High_change,iShares Core US Growth_Low_average,iShares Core US Growth_Low_max,iShares Core US Growth_Low_min,iShares Core US Growth_Low_volatility,iShares Core US Growth_Low_change,iShares Core US Growth_Close_average,iShares Core US Growth_Close_max,iShares Core US Growth_Close_min,iShares Core US Growth_Close_volatility,iShares Core US Growth_Close_change
2018-12-02,55.16,55.16,55.16,0.0,0.0,55.78,55.78,55.78,0.0,0.0,54.36,54.36,54.36,0.0,0.0,55.58,55.58,55.58,0.0,0.0
2018-12-09,54.41,54.41,54.41,0.0,0.0,54.67,54.67,54.67,0.0,0.0,53.06,53.06,53.06,0.0,0.0,53.44,53.44,53.44,0.0,0.0
2018-12-16,50.2,50.2,50.2,0.0,0.0,50.43,50.43,50.43,0.0,0.0,49.14,49.14,49.14,0.0,0.0,49.22,49.22,49.22,0.0,0.0
2018-12-23,52.57,52.57,52.57,0.0,0.0,52.74,52.74,52.74,0.0,0.0,52.14,52.14,52.14,0.0,0.0,52.7,52.7,52.7,0.0,0.0
2018-12-30,53.19,53.19,53.19,0.0,0.0,53.82,53.82,53.82,0.0,0.0,53.01,53.01,53.01,0.0,0.0,53.47,53.47,53.47,0.0,0.0
2019-01-06,54.13,54.13,54.13,0.0,0.0,54.33,54.33,54.33,0.0,0.0,53.87,53.87,53.87,0.0,0.0,54.15,54.15,54.15,0.0,0.0
2019-01-13,55.78,55.78,55.78,0.0,0.0,56.14,56.14,56.14,0.0,0.0,55.53,55.53,55.53,0.0,0.0,55.97,55.97,55.97,0.0,0.0
2019-01-20,55.34,55.34,55.34,0.0,0.0,55.34,55.34,55.34,0.0,0.0,54.85,54.85,54.85,0.0,0.0,55.2,55.2,55.2,0.0,0.0
2019-01-27,56.62,56.62,56.62,0.0,0.0,57.09,57.09,57.09,0.0,0.0,56.55,56.55,56.55,0.0,0.0,57.09,57.09,57.09,0.0,0.0
2019-02-03,57.13,57.13,57.13,0.0,0.0,57.24,57.24,57.24,0.0,0.0,56.88,56.88,56.88,0.0,0.0,57.06,57.06,57.06,0.0,0.0
2019-02-10,58.31,58.31,58.31,0.0,0.0,58.41,58.41,58.41,0.0,0.0,58.13,58.13,58.13,0.0,0.0,58.41,58.41,58.41,0.0,0.0
2019-02-17,59.17,59.17,59.17,0.0,0.0,59.3,59.3,59.3,0.0,0.0,58.92,58.92,58.92,0.0,0.0,58.94,58.94,58.94,0.0,0.0
2019-02-24,59.73,59.73,59.73,0.0,0.0,59.76,59.76,59.76,0.0,0.0,58.68,58.68,58.68,0.0,0.0,59.28,59.28,59.28,0.0,0.0
2019-03-03,58.26,58.26,58.26,0.0,0.0,59.05,59.05,59.05,0.0,0.0,58.26,58.26,58.26,0.0,0.0,59.05,59.05,59.05,0.0,0.0
2019-03-10,59.85,59.85,59.85,0.0,0.0,60.05,60.05,60.05,0.0,0.0,59.72,59.72,59.72,0.0,0.0,59.98,59.98,59.98,0.0,0.0
2019-03-17,59.4,59.4,59.4,0.0,0.0,59.74,59.74,59.74,0.0,0.0,59.25,59.25,59.25,0.0,0.0,59.58,59.58,59.58,0.0,0.0
2019-03-24,60.76,60.76,60.76,0.0,0.0,60.98,60.98,60.98,0.0,0.0,60.6,60.6,60.6,0.0,0.0,60.93,60.93,60.93,0.0,0.0
2019-03-31,61.22,61.22,61.22,0.0,0.0,61.38,61.38,61.38,0.0,0.0,60.99,60.99,60.99,0.0,0.0,61.38,61.38,61.38,0.0,0.0
2019-04-07,61.78,61.78,61.78,0.0,0.0,61.8,61.8,61.8,0.0,0.0,61.44,61.44,61.44,0.0,0.0,61.74,61.74,61.74,0.0,0.0
2019-04-14,61.34,61.34,61.34,0.0,0.0,61.68,61.68,61.68,0.0,0.0,61.29,61.29,61.29,0.0,0.0,61.63,61.63,61.63,0.0,0.0
2019-04-21,62.69,62.69,62.69,0.0,0.0,62.8,62.8,62.8,0.0,0.0,62.57,62.57,62.57,0.0,0.0,62.71,62.71,62.71,0.0,0.0
2019-04-28,61.67,61.67,61.67,0.0,0.0,62.53,62.53,62.53,0.0,0.0,61.55,61.55,61.55,0.0,0.0,62.43,62.43,62.43,0.0,0.0
2019-05-05,60.22,60.22,60.22,0.0,0.0,60.53,60.53,60.53,0.0,0.0,59.78,59.78,59.78,0.0,0.0,60.02,60.02,60.02,0.0,0.0
2019-05-12,60.87,60.87,60.87,0.0,0.0,61.12,61.12,61.12,0.0,0.0,60.64,60.64,60.64,0.0,0.0,60.82,60.82,60.82,0.0,0.0
2019-05-19,60.85,60.85,60.85,0.0,0.0,61.02,61.02,61.02,0.0,0.0,60.56,60.56,60.56,0.0,0.0,60.68,60.68,60.68,0.0,0.0
2019-05-26,59.2,59.2,59.2,0.0,0.0,59.39,59.39,59.39,0.0,0.0,58.39,58.39,58.39,0.0,0.0,58.69,58.69,58.69,0.0,0.0
2019-06-02,62.09,62.09,62.09,0.0,0.0,62.42,62.42,62.42,0.0,0.0,61.98,61.98,61.98,0.0,0.0,62.04,62.04,62.04,0.0,0.0
2019-06-09,61.9,61.9,61.9,0.0,0.0,61.96,61.96,61.96,0.0,0.0,61.78,61.78,61.78,0.0,0.0,61.86,61.86,61.86,0.0,0.0
2019-06-16,63.28,63.28,63.28,0.0,0.0,63.31,63.31,63.31,0.0,0.0,63.11,63.11,63.11,0.0,0.0,63.13,63.13,63.13,0.0,0.0
2019-06-23,63.44,63.44,63.44,0.0,0.0,63.5,63.5,63.5,0.0,0.0,62.98,62.98,62.98,0.0,0.0,63.21,63.21,63.21,0.0,0.0
2019-06-30,63.63,63.63,63.63,0.0,0.0,63.86,63.86,63.86,0.0,0.0,63.46,63.46,63.46,0.0,0.0,63.61,63.61,63.61,0.0,0.0
2019-07-07,64.49,64.49,64.49,0.0,0.0,64.5,64.5,64.5,0.0,0.0,64.33,64.33,64.33,0.0,0.0,64.44,64.44,64.44,0.0,0.0
2019-07-14,63.81,63.81,63.81,0.0,0.0,64.0,64.0,64.0,0.0,0.0,63.68,63.68,63.68,0.0,0.0,63.81,63.81,63.81,0.0,0.0
2019-07-21,64.68,64.68,64.68,0.0,0.0,64.7,64.7,64.7,0.0,0.0,64.29,64.29,64.29,0.0,0.0,64.48,64.48,64.48,0.0,0.0
2019-07-28,61.64,61.64,61.64,0.0,0.0,61.9,61.9,61.9,0.0,0.0,60.29,60.29,60.29,0.0,0.0,60.87,60.87,60.87,0.0,0.0
2019-08-04,62.41,62.41,62.41,0.0,0.0,62.45,62.45,62.45,0.0,0.0,61.72,61.72,61.72,0.0,0.0,61.9,61.9,61.9,0.0,0.0
2019-08-11,62.75,62.75,62.75,0.0,0.0,62.98,62.98,62.98,0.0,0.0,62.62,62.62,62.62,0.0,0.0,62.89,62.89,62.89,0.0,0.0
2019-08-18,61.77,61.77,61.77,0.0,0.0,61.99,61.99,61.99,0.0,0.0,61.43,61.43,61.43,0.0,0.0,61.99,61.99,61.99,0.0,0.0
2019-08-25,63.25,63.25,63.25,0.0,0.0,63.3,63.3,63.3,0.0,0.0,62.6,62.6,62.6,0.0,0.0,62.9,62.9,62.9,0.0,0.0
2019-09-01,64.06,64.06,64.06,0.0,0.0,64.09,64.09,64.09,0.0,0.0,63.3,63.3,63.3,0.0,0.0,63.51,63.51,63.51,0.0,0.0
2019-09-08,63.59,63.59,63.59,0.0,0.0,63.7,63.7,63.7,0.0,0.0,63.46,63.46,63.46,0.0,0.0,63.55,63.55,63.55,0.0,0.0
2019-09-15,63.51,63.51,63.51,0.0,0.0,63.75,63.75,63.75,0.0,0.0,63.44,63.44,63.44,0.0,0.0,63.6,63.6,63.6,0.0,0.0
2019-09-22,62.71,62.71,62.71,0.0,0.0,63.06,63.06,63.06,0.0,0.0,62.67,62.67,62.67,0.0,0.0,62.87,62.87,62.87,0.0,0.0
2019-09-29,62.42,62.42,62.42,0.0,0.0,62.71,62.71,62.71,0.0,0.0,62.22,62.22,62.22,0.0,0.0,62.26,62.26,62.26,0.0,0.0
2019-10-06,62.75,62.75,62.75,0.0,0.0,62.9,62.9,62.9,0.0,0.0,62.69,62.69,62.69,0.0,0.0,62.72,62.72,62.72,0.0,0.0
2019-10-13,63.18,63.18,63.18,0.0,0.0,63.31,63.31,63.31,0.0,0.0,63.0,63.0,63.0,0.0,0.0,63.3,63.3,63.3,0.0,0.0
2019-10-20,63.73,63.73,63.73,0.0,0.0,63.94,63.94,63.94,0.0,0.0,63.47,63.47,63.47,0.0,0.0,63.9,63.9,63.9,0.0,0.0
2019-10-27,64.75,64.75,64.75,0.0,0.0,64.75,64.75,64.75,0.0,0.0,64.4,64.4,64.4,0.0,0.0,64.48,64.48,64.48,0.0,0.0
2019-11-03,64.36,64.36,64.36,0.0,0.0,64.55,64.55,64.55,0.0,0.0,64.3,64.3,64.3,0.0,0.0,64.51,64.51,64.51,0.0,0.0
2019-11-10,65.31,65.31,65.31,0.0,0.0,65.44,65.44,65.44,0.0,0.0,65.19,65.19,65.19,0.0,0.0,65.4,65.4,65.4,0.0,0.0
2019-11-17,65.44,65.44,65.44,0.0,0.0,65.81,65.81,65.81,0.0,0.0,65.44,65.44,65.44,0.0,0.0,65.78,65.78,65.78,0.0,0.0
2019-11-24,66.27,66.27,66.27,0.0,0.0,66.27,66.27,66.27,0.0,0.0,65.33,65.33,65.33,0.0,0.0,65.51,65.51,65.51,0.0,0.0
2019-12-01,66.12,66.12,66.12,0.0,0.0,66.25,66.25,66.25,0.0,0.0,65.96,65.96,65.96,0.0,0.0,65.97,65.97,65.97,0.0,0.0
2019-12-08,66.44,66.44,66.44,0.0,0.0,66.7,66.7,66.7,0.0,0.0,66.44,66.44,66.44,0.0,0.0,66.57,66.57,66.57,0.0,0.0
2019-12-15,67.55,67.55,67.55,0.0,0.0,67.55,67.55,67.55,0.0,0.0,67.38,67.38,67.38,0.0,0.0,67.38,67.38,67.38,0.0,0.0
2019-12-22,67.88,67.88,67.88,0.0,0.0,67.94,67.94,67.94,0.0,0.0,67.26,67.26,67.26,0.0,0.0,67.55,67.55,67.55,0.0,0.0
2019-12-29,67.61,67.61,67.61,0.0,0.0,68.33,68.33,68.33,0.0,0.0,67.61,67.61,67.61,0.0,0.0,68.03,68.03,68.03,0.0,0.0
