Date,DeltaShares S&P 500 Managed Risk_Open_average,DeltaShares S&P 500 Managed Risk_Open_max,DeltaShares S&P 500 Managed Risk_Open_min,DeltaShares S&P 500 Managed Risk_Open_volatility,DeltaShares S&P 500 Managed Risk_Open_change,DeltaShares S&P 500 Managed Risk_High_average,DeltaShares S&P 500 Managed Risk_High_max,DeltaShares S&P 500 Managed Risk_High_min,DeltaShares S&P 500 Managed Risk_High_volatility,DeltaShares S&P 500 Managed Risk_High_change,DeltaShares S&P 500 Managed Risk_Low_average,DeltaShares S&P 500 Managed Risk_Low_max,DeltaShares S&P 500 Managed Risk_Low_min,DeltaShares S&P 500 Managed Risk_Low_volatility,DeltaShares S&P 500 Managed Risk_Low_change,DeltaShares S&P 500 Managed Risk_Close_average,DeltaShares S&P 500 Managed Risk_Close_max,DeltaShares S&P 500 Managed Risk_Close_min,DeltaShares S&P 500 Managed Risk_Close_volatility,DeltaShares S&P 500 Managed Risk_Close_change
2018-05-20,54.07,54.07,54.07,0.0,0.0,54.07,54.07,54.07,0.0,0.0,53.92,53.92,53.92,0.0,0.0,53.97,53.97,53.97,0.0,0.0
2018-05-27,54.66,54.66,54.66,0.0,0.0,54.66,54.66,54.66,0.0,0.0,54.65,54.65,54.65,0.0,0.0,54.65,54.65,54.65,0.0,0.0
2018-06-03,55.34,55.34,55.34,0.0,0.0,55.49,55.49,55.49,0.0,0.0,55.24,55.24,55.24,0.0,0.0,55.47,55.47,55.47,0.0,0.0
2018-06-10,55.06,55.06,55.06,0.0,0.0,55.22,55.22,55.22,0.0,0.0,55.06,55.06,55.06,0.0,0.0,55.19,55.19,55.19,0.0,0.0
2018-06-17,53.92,53.92,53.92,0.0,0.0,53.92,53.92,53.92,0.0,0.0,53.68,53.68,53.68,0.0,0.0,53.68,53.68,53.68,0.0,0.0
2018-06-24,53.64,53.64,53.64,0.0,0.0,53.64,53.64,53.64,0.0,0.0,53.6,53.6,53.6,0.0,0.0,53.6,53.6,53.6,0.0,0.0
2018-07-01,54.99,54.99,54.99,0.0,0.0,55.16,55.16,55.16,0.0,0.0,54.99,54.99,54.99,0.0,0.0,55.16,55.16,55.16,0.0,0.0
2018-07-08,55.46,55.46,55.46,0.0,0.0,55.46,55.46,55.46,0.0,0.0,55.46,55.46,55.46,0.0,0.0,55.46,55.46,55.46,0.0,0.0
2018-07-15,55.44,55.44,55.44,0.0,0.0,55.65,55.65,55.65,0.0,0.0,55.43,55.43,55.43,0.0,0.0,55.52,55.52,55.52,0.0,0.0
2018-07-22,55.82,55.82,55.82,0.0,0.0,55.82,55.82,55.82,0.0,0.0,55.64,55.64,55.64,0.0,0.0,55.64,55.64,55.64,0.0,0.0
2018-07-29,56.49,56.49,56.49,0.0,0.0,56.56,56.56,56.56,0.0,0.0,56.47,56.47,56.47,0.0,0.0,56.47,56.47,56.47,0.0,0.0
2018-08-05,56.19,56.19,56.19,0.0,0.0,56.19,56.19,56.19,0.0,0.0,56.05,56.05,56.05,0.0,0.0,56.13,56.13,56.13,0.0,0.0
2018-08-12,56.67,56.67,56.67,0.0,0.0,56.79,56.79,56.79,0.0,0.0,56.63,56.63,56.63,0.0,0.0,56.79,56.79,56.79,0.0,0.0
2018-08-19,57.02,57.02,57.02,0.0,0.0,57.6,57.6,57.6,0.0,0.0,57.02,57.02,57.02,0.0,0.0,57.36,57.36,57.36,0.0,0.0
2018-08-26,57.63,57.63,57.63,0.0,0.0,57.7,57.7,57.7,0.0,0.0,57.43,57.43,57.43,0.0,0.0,57.56,57.56,57.56,0.0,0.0
2018-09-02,57.58,57.58,57.58,0.0,0.0,57.58,57.58,57.58,0.0,0.0,57.18,57.18,57.18,0.0,0.0,57.22,57.22,57.22,0.0,0.0
2018-09-09,57.84,57.84,57.84,0.0,0.0,57.84,57.84,57.84,0.0,0.0,57.58,57.58,57.58,0.0,0.0,57.59,57.59,57.59,0.0,0.0
2018-09-16,58.64,58.64,58.64,0.0,0.0,58.64,58.64,58.64,0.0,0.0,58.0,58.0,58.0,0.0,0.0,58.11,58.11,58.11,0.0,0.0
2018-09-23,58.14,58.14,58.14,0.0,0.0,58.14,58.14,58.14,0.0,0.0,58.03,58.03,58.03,0.0,0.0,58.03,58.03,58.03,0.0,0.0
2018-09-30,57.09,57.09,57.09,0.0,0.0,57.09,57.09,57.09,0.0,0.0,56.84,56.84,56.84,0.0,0.0,56.84,56.84,56.84,0.0,0.0
2018-10-07,54.79,54.79,54.79,0.0,0.0,54.88,54.88,54.88,0.0,0.0,54.69,54.69,54.69,0.0,0.0,54.8,54.8,54.8,0.0,0.0
2018-10-14,55.06,55.06,55.06,0.0,0.0,55.06,55.06,55.06,0.0,0.0,54.7,54.7,54.7,0.0,0.0,54.7,54.7,54.7,0.0,0.0
2018-10-21,53.58,53.58,53.58,0.0,0.0,53.58,53.58,53.58,0.0,0.0,53.05,53.05,53.05,0.0,0.0,53.05,53.05,53.05,0.0,0.0
2018-10-28,53.94,53.94,53.94,0.0,0.0,53.94,53.94,53.94,0.0,0.0,53.94,53.94,53.94,0.0,0.0,53.94,53.94,53.94,0.0,0.0
2018-11-04,54.24,54.24,54.24,0.0,0.0,54.28,54.28,54.28,0.0,0.0,54.24,54.24,54.24,0.0,0.0,54.28,54.28,54.28,0.0,0.0
2018-11-11,53.91,53.91,53.91,0.0,0.0,53.91,53.91,53.91,0.0,0.0,53.48,53.48,53.48,0.0,0.0,53.48,53.48,53.48,0.0,0.0
2018-11-18,53.17,53.17,53.17,0.0,0.0,53.17,53.17,53.17,0.0,0.0,52.92,52.92,52.92,0.0,0.0,52.92,52.92,52.92,0.0,0.0
2018-11-25,55.54,55.54,55.54,0.0,0.0,55.54,55.54,55.54,0.0,0.0,54.8,54.8,54.8,0.0,0.0,54.84,54.84,54.84,0.0,0.0
2018-12-02,52.67,52.67,52.67,0.0,0.0,52.97,52.97,52.97,0.0,0.0,52.53,52.53,52.53,0.0,0.0,52.97,52.97,52.97,0.0,0.0
2018-12-09,52.27,52.27,52.27,0.0,0.0,52.27,52.27,52.27,0.0,0.0,51.46,51.46,51.46,0.0,0.0,51.46,51.46,51.46,0.0,0.0
2018-12-16,49.72,49.72,49.72,0.0,0.0,49.72,49.72,49.72,0.0,0.0,49.51,49.51,49.51,0.0,0.0,49.51,49.51,49.51,0.0,0.0
2018-12-23,50.96,50.96,50.96,0.0,0.0,51.14,51.14,51.14,0.0,0.0,50.96,50.96,50.96,0.0,0.0,51.1,51.1,51.1,0.0,0.0
2018-12-30,51.46,51.46,51.46,0.0,0.0,51.88,51.88,51.88,0.0,0.0,51.46,51.46,51.46,0.0,0.0,51.73,51.73,51.73,0.0,0.0
2019-01-06,52.01,52.01,52.01,0.0,0.0,52.15,52.15,52.15,0.0,0.0,51.81,51.81,51.81,0.0,0.0,51.99,51.99,51.99,0.0,0.0
2019-01-13,52.5,52.5,52.5,0.0,0.0,52.74,52.74,52.74,0.0,0.0,52.5,52.5,52.5,0.0,0.0,52.74,52.74,52.74,0.0,0.0
2019-01-20,52.29,52.29,52.29,0.0,0.0,52.54,52.54,52.54,0.0,0.0,51.72,51.72,51.72,0.0,0.0,52.48,52.48,52.48,0.0,0.0
2019-01-27,53.47,53.47,53.47,0.0,0.0,53.49,53.49,53.49,0.0,0.0,53.37,53.37,53.37,0.0,0.0,53.37,53.37,53.37,0.0,0.0
2019-02-03,53.54,53.54,53.54,0.0,0.0,53.54,53.54,53.54,0.0,0.0,53.15,53.15,53.15,0.0,0.0,53.33,53.33,53.33,0.0,0.0
2019-02-10,54.14,54.14,54.14,0.0,0.0,54.23,54.23,54.23,0.0,0.0,54.03,54.03,54.03,0.0,0.0,54.2,54.2,54.2,0.0,0.0
2019-02-17,54.64,54.64,54.64,0.0,0.0,54.73,54.73,54.73,0.0,0.0,54.6,54.6,54.6,0.0,0.0,54.6,54.6,54.6,0.0,0.0
2019-02-24,54.65,54.65,54.65,0.0,0.0,54.8,54.8,54.8,0.0,0.0,54.14,54.14,54.14,0.0,0.0,54.53,54.53,54.53,0.0,0.0
2019-03-03,54.13,54.13,54.13,0.0,0.0,54.45,54.45,54.45,0.0,0.0,54.13,54.13,54.13,0.0,0.0,54.37,54.37,54.37,0.0,0.0
2019-03-10,55.43,55.43,55.43,0.0,0.0,55.43,55.43,55.43,0.0,0.0,55.11,55.11,55.11,0.0,0.0,55.21,55.21,55.21,0.0,0.0
2019-03-17,54.51,54.51,54.51,0.0,0.0,54.51,54.51,54.51,0.0,0.0,54.2,54.2,54.2,0.0,0.0,54.46,54.46,54.46,0.0,0.0
2019-03-24,55.44,55.44,55.44,0.0,0.0,55.63,55.63,55.63,0.0,0.0,55.35,55.35,55.35,0.0,0.0,55.6,55.6,55.6,0.0,0.0
2019-03-31,56.03,56.03,56.03,0.0,0.0,56.1,56.1,56.1,0.0,0.0,55.96,55.96,55.96,0.0,0.0,56.1,56.1,56.1,0.0,0.0
2019-04-07,56.38,56.38,56.38,0.0,0.0,56.5,56.5,56.5,0.0,0.0,56.27,56.27,56.27,0.0,0.0,56.43,56.43,56.43,0.0,0.0
2019-04-14,56.41,56.41,56.41,0.0,0.0,56.41,56.41,56.41,0.0,0.0,56.33,56.33,56.33,0.0,0.0,56.41,56.41,56.41,0.0,0.0
2019-04-21,57.16,57.16,57.16,0.0,0.0,57.27,57.27,57.27,0.0,0.0,57.16,57.16,57.16,0.0,0.0,57.27,57.27,57.27,0.0,0.0
2019-04-28,56.77,56.77,56.77,0.0,0.0,56.94,56.94,56.94,0.0,0.0,56.76,56.76,56.76,0.0,0.0,56.94,56.94,56.94,0.0,0.0
2019-05-05,55.12,55.12,55.12,0.0,0.0,55.15,55.15,55.15,0.0,0.0,54.56,54.56,54.56,0.0,0.0,54.56,54.56,54.56,0.0,0.0
2019-05-12,55.3,55.3,55.3,0.0,0.0,55.3,55.3,55.3,0.0,0.0,55.21,55.21,55.21,0.0,0.0,55.22,55.22,55.22,0.0,0.0
2019-05-19,55.0,55.0,55.0,0.0,0.0,55.06,55.06,55.06,0.0,0.0,54.85,54.85,54.85,0.0,0.0,54.94,54.94,54.94,0.0,0.0
2019-05-26,53.24,53.24,53.24,0.0,0.0,53.54,53.54,53.54,0.0,0.0,53.24,53.24,53.24,0.0,0.0,53.34,53.34,53.34,0.0,0.0
2019-06-02,56.1,56.1,56.1,0.0,0.0,56.29,56.29,56.29,0.0,0.0,55.93,55.93,55.93,0.0,0.0,55.93,55.93,55.93,0.0,0.0
2019-06-09,56.09,56.09,56.09,0.0,0.0,56.09,56.09,56.09,0.0,0.0,56.07,56.07,56.07,0.0,0.0,56.07,56.07,56.07,0.0,0.0
2019-06-16,57.27,57.27,57.27,0.0,0.0,57.27,57.27,57.27,0.0,0.0,57.19,57.19,57.19,0.0,0.0,57.19,57.19,57.19,0.0,0.0
2019-06-23,57.32,57.32,57.32,0.0,0.0,57.34,57.34,57.34,0.0,0.0,57.18,57.18,57.18,0.0,0.0,57.27,57.27,57.27,0.0,0.0
2019-06-30,57.38,57.38,57.38,0.0,0.0,57.5,57.5,57.5,0.0,0.0,57.32,57.32,57.32,0.0,0.0,57.41,57.41,57.41,0.0,0.0
2019-07-07,58.2,58.2,58.2,0.0,0.0,58.23,58.23,58.23,0.0,0.0,58.09,58.09,58.09,0.0,0.0,58.23,58.23,58.23,0.0,0.0
2019-07-14,57.6,57.6,57.6,0.0,0.0,57.67,57.67,57.67,0.0,0.0,57.41,57.41,57.41,0.0,0.0,57.66,57.66,57.66,0.0,0.0
2019-07-21,58.28,58.28,58.28,0.0,0.0,58.38,58.38,58.38,0.0,0.0,58.15,58.15,58.15,0.0,0.0,58.23,58.23,58.23,0.0,0.0
2019-07-28,55.49,55.49,55.49,0.0,0.0,55.51,55.51,55.51,0.0,0.0,54.78,54.78,54.78,0.0,0.0,54.91,54.91,54.91,0.0,0.0
2019-08-04,55.83,55.83,55.83,0.0,0.0,55.98,55.98,55.98,0.0,0.0,55.64,55.64,55.64,0.0,0.0,55.64,55.64,55.64,0.0,0.0
2019-08-11,56.34,56.34,56.34,0.0,0.0,56.52,56.52,56.52,0.0,0.0,56.27,56.27,56.27,0.0,0.0,56.37,56.37,56.37,0.0,0.0
2019-08-18,55.67,55.67,55.67,0.0,0.0,55.86,55.86,55.86,0.0,0.0,55.67,55.67,55.67,0.0,0.0,55.86,55.86,55.86,0.0,0.0
2019-08-25,56.61,56.61,56.61,0.0,0.0,56.61,56.61,56.61,0.0,0.0,56.35,56.35,56.35,0.0,0.0,56.45,56.45,56.45,0.0,0.0
2019-09-01,57.18,57.18,57.18,0.0,0.0,57.19,57.19,57.19,0.0,0.0,57.14,57.14,57.14,0.0,0.0,57.19,57.19,57.19,0.0,0.0
2019-09-08,57.16,57.16,57.16,0.0,0.0,57.39,57.39,57.39,0.0,0.0,57.16,57.16,57.16,0.0,0.0,57.37,57.37,57.37,0.0,0.0
2019-09-15,56.99,56.99,56.99,0.0,0.0,57.35,57.35,57.35,0.0,0.0,56.99,56.99,56.99,0.0,0.0,57.24,57.24,57.24,0.0,0.0
2019-09-22,56.8,56.8,56.8,0.0,0.0,56.8,56.8,56.8,0.0,0.0,56.8,56.8,56.8,0.0,0.0,56.8,56.8,56.8,0.0,0.0
2019-09-29,56.16,56.16,56.16,0.0,0.0,56.52,56.52,56.52,0.0,0.0,56.16,56.16,56.16,0.0,0.0,56.2,56.2,56.2,0.0,0.0
2019-10-06,56.59,56.59,56.59,0.0,0.0,56.61,56.61,56.61,0.0,0.0,56.49,56.49,56.49,0.0,0.0,56.61,56.61,56.61,0.0,0.0
2019-10-13,57.2,57.2,57.2,0.0,0.0,57.23,57.23,57.23,0.0,0.0,56.88,56.88,56.88,0.0,0.0,57.23,57.23,57.23,0.0,0.0
2019-10-20,57.9,57.9,57.9,0.0,0.0,57.96,57.96,57.96,0.0,0.0,57.71,57.71,57.71,0.0,0.0,57.84,57.84,57.84,0.0,0.0
2019-10-27,58.58,58.58,58.58,0.0,0.0,58.58,58.58,58.58,0.0,0.0,58.58,58.58,58.58,0.0,0.0,58.58,58.58,58.58,0.0,0.0
2019-11-03,58.81,58.81,58.81,0.0,0.0,58.81,58.81,58.81,0.0,0.0,58.66,58.66,58.66,0.0,0.0,58.66,58.66,58.66,0.0,0.0
2019-11-10,59.27,59.27,59.27,0.0,0.0,59.5,59.5,59.5,0.0,0.0,59.27,59.27,59.27,0.0,0.0,59.4,59.4,59.4,0.0,0.0
2019-11-17,59.65,59.65,59.65,0.0,0.0,59.77,59.77,59.77,0.0,0.0,59.59,59.59,59.59,0.0,0.0,59.75,59.75,59.75,0.0,0.0
2019-11-24,59.95,59.95,59.95,0.0,0.0,59.95,59.95,59.95,0.0,0.0,59.14,59.14,59.14,0.0,0.0,59.35,59.35,59.35,0.0,0.0
2019-12-01,59.7,59.7,59.7,0.0,0.0,60.07,60.07,60.07,0.0,0.0,59.7,59.7,59.7,0.0,0.0,59.8,59.8,59.8,0.0,0.0
2019-12-08,61.06,61.06,61.06,0.0,0.0,61.06,61.06,61.06,0.0,0.0,60.85,60.85,60.85,0.0,0.0,60.96,60.96,60.96,0.0,0.0
2019-12-15,61.96,61.96,61.96,0.0,0.0,61.97,61.97,61.97,0.0,0.0,61.04,61.04,61.04,0.0,0.0,61.42,61.42,61.42,0.0,0.0
2019-12-22,61.62,61.62,61.62,0.0,0.0,61.62,61.62,61.62,0.0,0.0,61.04,61.04,61.04,0.0,0.0,61.27,61.27,61.27,0.0,0.0
2019-12-29,61.91,61.91,61.91,0.0,0.0,61.91,61.91,61.91,0.0,0.0,61.58,61.58,61.58,0.0,0.0,61.61,61.61,61.61,0.0,0.0
