Date,iShares Int High Yield Bond_Open_average,iShares Int High Yield Bond_Open_max,iShares Int High Yield Bond_Open_min,iShares Int High Yield Bond_Open_volatility,iShares Int High Yield Bond_Open_change,iShares Int High Yield Bond_High_average,iShares Int High Yield Bond_High_max,iShares Int High Yield Bond_High_min,iShares Int High Yield Bond_High_volatility,iShares Int High Yield Bond_High_change,iShares Int High Yield Bond_Low_average,iShares Int High Yield Bond_Low_max,iShares Int High Yield Bond_Low_min,iShares Int High Yield Bond_Low_volatility,iShares Int High Yield Bond_Low_change,iShares Int High Yield Bond_Close_average,iShares Int High Yield Bond_Close_max,iShares Int High Yield Bond_Close_min,iShares Int High Yield Bond_Close_volatility,iShares Int High Yield Bond_Close_change
2018-07-01,52.8,52.8,52.8,0.0,0.0,52.8,52.8,52.8,0.0,0.0,52.68,52.68,52.68,0.0,0.0,52.69,52.69,52.69,0.0,0.0
2018-07-08,52.73,52.73,52.73,0.0,0.0,52.73,52.73,52.73,0.0,0.0,52.64,52.64,52.64,0.0,0.0,52.68,52.68,52.68,0.0,0.0
2018-07-15,52.7,52.7,52.7,0.0,0.0,52.7,52.7,52.7,0.0,0.0,52.57,52.57,52.57,0.0,0.0,52.63,52.63,52.63,0.0,0.0
2018-07-22,52.84,52.84,52.84,0.0,0.0,52.89,52.89,52.89,0.0,0.0,52.77,52.77,52.77,0.0,0.0,52.77,52.77,52.77,0.0,0.0
2018-07-29,52.2,52.2,52.2,0.0,0.0,52.25,52.25,52.25,0.0,0.0,52.13,52.13,52.13,0.0,0.0,52.13,52.13,52.13,0.0,0.0
2018-08-05,51.58,51.58,51.58,0.0,0.0,51.6,51.6,51.6,0.0,0.0,51.4,51.4,51.4,0.0,0.0,51.43,51.43,51.43,0.0,0.0
2018-08-12,51.71,51.71,51.71,0.0,0.0,51.84,51.84,51.84,0.0,0.0,51.65,51.65,51.65,0.0,0.0,51.72,51.72,51.72,0.0,0.0
2018-08-19,52.59,52.59,52.59,0.0,0.0,52.84,52.84,52.84,0.0,0.0,52.59,52.59,52.59,0.0,0.0,52.78,52.78,52.78,0.0,0.0
2018-08-26,52.48,52.48,52.48,0.0,0.0,52.5,52.5,52.5,0.0,0.0,52.22,52.22,52.22,0.0,0.0,52.35,52.35,52.35,0.0,0.0
2018-09-02,52.41,52.41,52.41,0.0,0.0,52.46,52.46,52.46,0.0,0.0,52.37,52.37,52.37,0.0,0.0,52.45,52.45,52.45,0.0,0.0
2018-09-09,52.93,52.93,52.93,0.0,0.0,53.03,53.03,53.03,0.0,0.0,52.93,52.93,52.93,0.0,0.0,52.93,52.93,52.93,0.0,0.0
2018-09-16,53.56,53.56,53.56,0.0,0.0,53.56,53.56,53.56,0.0,0.0,53.26,53.26,53.26,0.0,0.0,53.26,53.26,53.26,0.0,0.0
2018-09-23,52.72,52.72,52.72,0.0,0.0,52.72,52.72,52.72,0.0,0.0,52.47,52.47,52.47,0.0,0.0,52.57,52.57,52.57,0.0,0.0
2018-09-30,51.98,51.98,51.98,0.0,0.0,52.02,52.02,52.02,0.0,0.0,51.93,51.93,51.93,0.0,0.0,52.01,52.01,52.01,0.0,0.0
2018-10-07,52.28,52.28,52.28,0.0,0.0,52.31,52.31,52.31,0.0,0.0,52.19,52.19,52.19,0.0,0.0,52.19,52.19,52.19,0.0,0.0
2018-10-14,51.56,51.56,51.56,0.0,0.0,51.65,51.65,51.65,0.0,0.0,51.53,51.53,51.53,0.0,0.0,51.57,51.57,51.57,0.0,0.0
2018-10-21,50.95,50.95,50.95,0.0,0.0,50.95,50.95,50.95,0.0,0.0,50.83,50.83,50.83,0.0,0.0,50.85,50.85,50.85,0.0,0.0
2018-10-28,51.23,51.23,51.23,0.0,0.0,51.27,51.27,51.27,0.0,0.0,51.21,51.21,51.21,0.0,0.0,51.24,51.24,51.24,0.0,0.0
2018-11-04,50.74,50.74,50.74,0.0,0.0,50.74,50.74,50.74,0.0,0.0,50.51,50.51,50.51,0.0,0.0,50.51,50.51,50.51,0.0,0.0
2018-11-11,50.33,50.33,50.33,0.0,0.0,50.49,50.49,50.49,0.0,0.0,50.33,50.33,50.33,0.0,0.0,50.46,50.46,50.46,0.0,0.0
2018-11-18,50.11,50.11,50.11,0.0,0.0,50.17,50.17,50.17,0.0,0.0,49.61,49.61,49.61,0.0,0.0,50.02,50.02,50.02,0.0,0.0
2018-11-25,50.16,50.16,50.16,0.0,0.0,50.23,50.23,50.23,0.0,0.0,50.08,50.08,50.08,0.0,0.0,50.13,50.13,50.13,0.0,0.0
2018-12-02,49.76,49.76,49.76,0.0,0.0,49.79,49.79,49.79,0.0,0.0,49.49,49.49,49.49,0.0,0.0,49.54,49.54,49.54,0.0,0.0
2018-12-09,49.87,49.87,49.87,0.0,0.0,49.96,49.96,49.96,0.0,0.0,49.85,49.85,49.85,0.0,0.0,49.9,49.9,49.9,0.0,0.0
2018-12-16,48.05,48.05,48.05,0.0,0.0,48.05,48.05,48.05,0.0,0.0,47.87,47.87,47.87,0.0,0.0,47.89,47.89,47.89,0.0,0.0
2018-12-23,48.24,48.24,48.24,0.0,0.0,48.3,48.3,48.3,0.0,0.0,48.24,48.24,48.24,0.0,0.0,48.3,48.3,48.3,0.0,0.0
2018-12-30,48.3,48.3,48.3,0.0,0.0,48.37,48.37,48.37,0.0,0.0,48.3,48.3,48.3,0.0,0.0,48.35,48.35,48.35,0.0,0.0
2019-01-06,48.71,48.71,48.71,0.0,0.0,48.81,48.81,48.81,0.0,0.0,48.71,48.71,48.71,0.0,0.0,48.74,48.74,48.74,0.0,0.0
2019-01-13,48.88,48.88,48.88,0.0,0.0,48.88,48.88,48.88,0.0,0.0,48.7,48.7,48.7,0.0,0.0,48.74,48.74,48.74,0.0,0.0
2019-01-20,49.06,49.06,49.06,0.0,0.0,49.18,49.18,49.18,0.0,0.0,48.99,48.99,48.99,0.0,0.0,49.1,49.1,49.1,0.0,0.0
2019-01-27,49.27,49.27,49.27,0.0,0.0,49.35,49.35,49.35,0.0,0.0,49.27,49.27,49.27,0.0,0.0,49.35,49.35,49.35,0.0,0.0
2019-02-03,48.68,48.68,48.68,0.0,0.0,48.68,48.68,48.68,0.0,0.0,48.67,48.67,48.67,0.0,0.0,48.67,48.67,48.67,0.0,0.0
2019-02-10,48.91,48.91,48.91,0.0,0.0,49.13,49.13,49.13,0.0,0.0,48.91,48.91,48.91,0.0,0.0,49.09,49.09,49.09,0.0,0.0
2019-02-17,49.73,49.73,49.73,0.0,0.0,50.05,50.05,50.05,0.0,0.0,49.7,49.7,49.7,0.0,0.0,49.82,49.82,49.82,0.0,0.0
2019-02-24,50.02,50.02,50.02,0.0,0.0,50.07,50.07,50.07,0.0,0.0,50.0,50.0,50.0,0.0,0.0,50.07,50.07,50.07,0.0,0.0
2019-03-03,49.38,49.38,49.38,0.0,0.0,49.48,49.48,49.48,0.0,0.0,49.38,49.38,49.38,0.0,0.0,49.48,49.48,49.48,0.0,0.0
2019-03-10,50.23,50.23,50.23,0.0,0.0,50.3,50.3,50.3,0.0,0.0,50.2,50.2,50.2,0.0,0.0,50.26,50.26,50.26,0.0,0.0
2019-03-17,49.99,49.99,49.99,0.0,0.0,50.06,50.06,50.06,0.0,0.0,49.98,49.98,49.98,0.0,0.0,50.01,50.01,50.01,0.0,0.0
2019-03-24,50.08,50.08,50.08,0.0,0.0,50.08,50.08,50.08,0.0,0.0,50.06,50.06,50.06,0.0,0.0,50.06,50.06,50.06,0.0,0.0
2019-03-31,50.19,50.19,50.19,0.0,0.0,50.36,50.36,50.36,0.0,0.0,50.19,50.19,50.19,0.0,0.0,50.33,50.33,50.33,0.0,0.0
2019-04-07,50.67,50.67,50.67,0.0,0.0,50.67,50.67,50.67,0.0,0.0,50.6,50.6,50.6,0.0,0.0,50.65,50.65,50.65,0.0,0.0
2019-04-14,50.62,50.62,50.62,0.0,0.0,50.69,50.69,50.69,0.0,0.0,50.62,50.62,50.62,0.0,0.0,50.69,50.69,50.69,0.0,0.0
2019-04-21,50.19,50.19,50.19,0.0,0.0,50.3,50.3,50.3,0.0,0.0,50.17,50.17,50.17,0.0,0.0,50.27,50.27,50.27,0.0,0.0
2019-04-28,50.08,50.08,50.08,0.0,0.0,50.3,50.3,50.3,0.0,0.0,50.08,50.08,50.08,0.0,0.0,50.25,50.25,50.25,0.0,0.0
2019-05-05,50.02,50.02,50.02,0.0,0.0,50.1,50.1,50.1,0.0,0.0,49.94,49.94,49.94,0.0,0.0,49.99,49.99,49.99,0.0,0.0
2019-05-12,49.78,49.78,49.78,0.0,0.0,49.85,49.85,49.85,0.0,0.0,49.78,49.78,49.78,0.0,0.0,49.78,49.78,49.78,0.0,0.0
2019-05-19,49.86,49.86,49.86,0.0,0.0,49.88,49.88,49.88,0.0,0.0,49.86,49.86,49.86,0.0,0.0,49.88,49.88,49.88,0.0,0.0
2019-05-26,49.53,49.53,49.53,0.0,0.0,49.72,49.72,49.72,0.0,0.0,49.53,49.53,49.53,0.0,0.0,49.72,49.72,49.72,0.0,0.0
2019-06-02,50.53,50.53,50.53,0.0,0.0,50.53,50.53,50.53,0.0,0.0,50.45,50.45,50.45,0.0,0.0,50.49,50.49,50.49,0.0,0.0
2019-06-09,50.12,50.12,50.12,0.0,0.0,50.16,50.16,50.16,0.0,0.0,50.05,50.05,50.05,0.0,0.0,50.09,50.09,50.09,0.0,0.0
2019-06-16,51.38,51.38,51.38,0.0,0.0,51.38,51.38,51.38,0.0,0.0,51.31,51.31,51.31,0.0,0.0,51.37,51.37,51.37,0.0,0.0
2019-06-23,51.44,51.44,51.44,0.0,0.0,51.44,51.44,51.44,0.0,0.0,51.2,51.2,51.2,0.0,0.0,51.2,51.2,51.2,0.0,0.0
2019-06-30,51.11,51.11,51.11,0.0,0.0,51.11,51.11,51.11,0.0,0.0,51.03,51.03,51.03,0.0,0.0,51.03,51.03,51.03,0.0,0.0
2019-07-07,51.12,51.12,51.12,0.0,0.0,51.13,51.13,51.13,0.0,0.0,51.07,51.07,51.07,0.0,0.0,51.13,51.13,51.13,0.0,0.0
2019-07-14,50.97,50.97,50.97,0.0,0.0,51.0,51.0,51.0,0.0,0.0,50.91,50.91,50.91,0.0,0.0,50.91,50.91,50.91,0.0,0.0
2019-07-21,50.85,50.85,50.85,0.0,0.0,50.85,50.85,50.85,0.0,0.0,50.84,50.84,50.84,0.0,0.0,50.84,50.84,50.84,0.0,0.0
2019-07-28,50.51,50.51,50.51,0.0,0.0,50.62,50.62,50.62,0.0,0.0,50.51,50.51,50.51,0.0,0.0,50.56,50.56,50.56,0.0,0.0
2019-08-04,50.79,50.79,50.79,0.0,0.0,50.84,50.84,50.84,0.0,0.0,50.7,50.7,50.7,0.0,0.0,50.74,50.74,50.74,0.0,0.0
2019-08-11,50.35,50.35,50.35,0.0,0.0,50.37,50.37,50.37,0.0,0.0,50.2,50.2,50.2,0.0,0.0,50.22,50.22,50.22,0.0,0.0
2019-08-18,50.9,50.9,50.9,0.0,0.0,50.93,50.93,50.93,0.0,0.0,50.9,50.9,50.9,0.0,0.0,50.92,50.92,50.92,0.0,0.0
2019-08-25,50.61,50.61,50.61,0.0,0.0,50.65,50.65,50.65,0.0,0.0,50.42,50.42,50.42,0.0,0.0,50.43,50.43,50.43,0.0,0.0
2019-09-01,50.78,50.78,50.78,0.0,0.0,50.81,50.81,50.81,0.0,0.0,50.74,50.74,50.74,0.0,0.0,50.74,50.74,50.74,0.0,0.0
2019-09-08,50.63,50.63,50.63,0.0,0.0,50.7,50.7,50.7,0.0,0.0,50.63,50.63,50.63,0.0,0.0,50.7,50.7,50.7,0.0,0.0
2019-09-15,50.51,50.51,50.51,0.0,0.0,50.51,50.51,50.51,0.0,0.0,50.48,50.48,50.48,0.0,0.0,50.48,50.48,50.48,0.0,0.0
2019-09-22,49.97,49.97,49.97,0.0,0.0,50.01,50.01,50.01,0.0,0.0,49.93,49.93,49.93,0.0,0.0,49.96,49.96,49.96,0.0,0.0
2019-09-29,49.93,49.93,49.93,0.0,0.0,50.02,50.02,50.02,0.0,0.0,49.86,49.86,49.86,0.0,0.0,49.89,49.89,49.89,0.0,0.0
2019-10-06,50.43,50.43,50.43,0.0,0.0,50.43,50.43,50.43,0.0,0.0,50.36,50.36,50.36,0.0,0.0,50.36,50.36,50.36,0.0,0.0
2019-10-13,51.16,51.16,51.16,0.0,0.0,51.21,51.21,51.21,0.0,0.0,51.14,51.14,51.14,0.0,0.0,51.21,51.21,51.21,0.0,0.0
2019-10-20,50.88,50.88,50.88,0.0,0.0,50.95,50.95,50.95,0.0,0.0,50.88,50.88,50.88,0.0,0.0,50.92,50.92,50.92,0.0,0.0
2019-10-27,51.32,51.32,51.32,0.0,0.0,51.35,51.35,51.35,0.0,0.0,51.19,51.19,51.19,0.0,0.0,51.19,51.19,51.19,0.0,0.0
2019-11-03,50.79,50.79,50.79,0.0,0.0,50.83,50.83,50.83,0.0,0.0,50.75,50.75,50.75,0.0,0.0,50.8,50.8,50.8,0.0,0.0
2019-11-10,50.97,50.97,50.97,0.0,0.0,50.97,50.97,50.97,0.0,0.0,50.9,50.9,50.9,0.0,0.0,50.91,50.91,50.91,0.0,0.0
2019-11-17,50.68,50.68,50.68,0.0,0.0,50.72,50.72,50.72,0.0,0.0,50.68,50.68,50.68,0.0,0.0,50.72,50.72,50.72,0.0,0.0
2019-11-24,51.08,51.08,51.08,0.0,0.0,51.31,51.31,51.31,0.0,0.0,51.08,51.08,51.08,0.0,0.0,51.31,51.31,51.31,0.0,0.0
2019-12-01,51.45,51.45,51.45,0.0,0.0,51.45,51.45,51.45,0.0,0.0,51.33,51.33,51.33,0.0,0.0,51.38,51.38,51.38,0.0,0.0
2019-12-08,52.11,52.11,52.11,0.0,0.0,52.11,52.11,52.11,0.0,0.0,52.03,52.03,52.03,0.0,0.0,52.06,52.06,52.06,0.0,0.0
2019-12-15,51.25,51.25,51.25,0.0,0.0,51.3,51.3,51.3,0.0,0.0,51.25,51.25,51.25,0.0,0.0,51.3,51.3,51.3,0.0,0.0
2019-12-22,51.78,51.78,51.78,0.0,0.0,51.78,51.78,51.78,0.0,0.0,51.7,51.7,51.7,0.0,0.0,51.7,51.7,51.7,0.0,0.0
2019-12-29,51.62,51.62,51.62,0.0,0.0,51.68,51.68,51.68,0.0,0.0,51.62,51.62,51.62,0.0,0.0,51.62,51.62,51.62,0.0,0.0
