Date,FlexShares Currency Hedged Morningstar EM_etf_Open_average,FlexShares Currency Hedged Morningstar EM_etf_Open_max,FlexShares Currency Hedged Morningstar EM_etf_Open_min,FlexShares Currency Hedged Morningstar EM_etf_Open_volatility,FlexShares Currency Hedged Morningstar EM_etf_Open_change,FlexShares Currency Hedged Morningstar EM_etf_High_average,FlexShares Currency Hedged Morningstar EM_etf_High_max,FlexShares Currency Hedged Morningstar EM_etf_High_min,FlexShares Currency Hedged Morningstar EM_etf_High_volatility,FlexShares Currency Hedged Morningstar EM_etf_High_change,FlexShares Currency Hedged Morningstar EM_etf_Low_average,FlexShares Currency Hedged Morningstar EM_etf_Low_max,FlexShares Currency Hedged Morningstar EM_etf_Low_min,FlexShares Currency Hedged Morningstar EM_etf_Low_volatility,FlexShares Currency Hedged Morningstar EM_etf_Low_change,FlexShares Currency Hedged Morningstar EM_etf_Close_average,FlexShares Currency Hedged Morningstar EM_etf_Close_max,FlexShares Currency Hedged Morningstar EM_etf_Close_min,FlexShares Currency Hedged Morningstar EM_etf_Close_volatility,FlexShares Currency Hedged Morningstar EM_etf_Close_change
2019-05-19,26.94,26.94,26.94,0.0,0.0,26.94,26.94,26.94,0.0,0.0,26.94,26.94,26.94,0.0,0.0,26.94,26.94,26.94,0.0,0.0
2019-05-26,27.33,27.33,27.33,0.0,0.0,27.33,27.33,27.33,0.0,0.0,27.33,27.33,27.33,0.0,0.0,27.33,27.33,27.33,0.0,0.0
2019-06-02,27.66,27.66,27.66,0.0,0.0,27.7,27.7,27.7,0.0,0.0,27.66,27.66,27.66,0.0,0.0,27.7,27.7,27.7,0.0,0.0
2019-06-09,27.56,27.56,27.56,0.0,0.0,27.56,27.56,27.56,0.0,0.0,27.56,27.56,27.56,0.0,0.0,27.56,27.56,27.56,0.0,0.0
2019-06-16,28.4,28.4,28.4,0.0,0.0,28.4,28.4,28.4,0.0,0.0,28.4,28.4,28.4,0.0,0.0,28.4,28.4,28.4,0.0,0.0
2019-06-23,28.1,28.1,28.1,0.0,0.0,28.1,28.1,28.1,0.0,0.0,28.1,28.1,28.1,0.0,0.0,28.1,28.1,28.1,0.0,0.0
2019-06-30,28.23,28.23,28.23,0.0,0.0,28.34,28.34,28.34,0.0,0.0,28.15,28.15,28.15,0.0,0.0,28.15,28.15,28.15,0.0,0.0
2019-07-07,28.0,28.0,28.0,0.0,0.0,28.0,28.0,28.0,0.0,0.0,28.0,28.0,28.0,0.0,0.0,28.0,28.0,28.0,0.0,0.0
2019-07-14,27.95,27.95,27.95,0.0,0.0,27.95,27.95,27.95,0.0,0.0,27.95,27.95,27.95,0.0,0.0,27.95,27.95,27.95,0.0,0.0
2019-07-21,27.88,27.88,27.88,0.0,0.0,27.88,27.88,27.88,0.0,0.0,27.88,27.88,27.88,0.0,0.0,27.88,27.88,27.88,0.0,0.0
2019-07-28,26.83,26.83,26.83,0.0,0.0,26.83,26.83,26.83,0.0,0.0,26.83,26.83,26.83,0.0,0.0,26.83,26.83,26.83,0.0,0.0
2019-08-04,26.46,26.46,26.46,0.0,0.0,26.46,26.46,26.46,0.0,0.0,26.46,26.46,26.46,0.0,0.0,26.46,26.46,26.46,0.0,0.0
2019-08-11,26.26,26.26,26.26,0.0,0.0,26.26,26.26,26.26,0.0,0.0,26.26,26.26,26.26,0.0,0.0,26.26,26.26,26.26,0.0,0.0
2019-08-18,26.09,26.09,26.09,0.0,0.0,26.09,26.09,26.09,0.0,0.0,26.09,26.09,26.09,0.0,0.0,26.09,26.09,26.09,0.0,0.0
2019-08-25,26.59,26.59,26.59,0.0,0.0,26.69,26.69,26.69,0.0,0.0,26.54,26.54,26.54,0.0,0.0,26.69,26.69,26.69,0.0,0.0
2019-09-01,27.24,27.24,27.24,0.0,0.0,27.24,27.24,27.24,0.0,0.0,27.24,27.24,27.24,0.0,0.0,27.24,27.24,27.24,0.0,0.0
2019-09-08,27.77,27.77,27.77,0.0,0.0,27.81,27.81,27.81,0.0,0.0,27.76,27.76,27.76,0.0,0.0,27.76,27.76,27.76,0.0,0.0
2019-09-15,27.5,27.5,27.5,0.0,0.0,27.5,27.5,27.5,0.0,0.0,27.5,27.5,27.5,0.0,0.0,27.5,27.5,27.5,0.0,0.0
2019-09-22,26.49,26.49,26.49,0.0,0.0,26.49,26.49,26.49,0.0,0.0,26.49,26.49,26.49,0.0,0.0,26.49,26.49,26.49,0.0,0.0
2019-09-29,26.59,26.59,26.59,0.0,0.0,26.59,26.59,26.59,0.0,0.0,26.59,26.59,26.59,0.0,0.0,26.59,26.59,26.59,0.0,0.0
2019-10-06,27.01,27.01,27.01,0.0,0.0,27.01,27.01,27.01,0.0,0.0,27.01,27.01,27.01,0.0,0.0,27.01,27.01,27.01,0.0,0.0
2019-10-13,27.08,27.08,27.08,0.0,0.0,27.08,27.08,27.08,0.0,0.0,27.08,27.08,27.08,0.0,0.0,27.08,27.08,27.08,0.0,0.0
2019-10-20,27.37,27.37,27.37,0.0,0.0,27.37,27.37,27.37,0.0,0.0,27.37,27.37,27.37,0.0,0.0,27.37,27.37,27.37,0.0,0.0
2019-10-27,27.33,27.33,27.33,0.0,0.0,27.58,27.58,27.58,0.0,0.0,27.27,27.27,27.27,0.0,0.0,27.58,27.58,27.58,0.0,0.0
2019-11-03,28.01,28.01,28.01,0.0,0.0,28.01,28.01,28.01,0.0,0.0,28.01,28.01,28.01,0.0,0.0,28.01,28.01,28.01,0.0,0.0
2019-11-10,27.66,27.66,27.66,0.0,0.0,27.66,27.66,27.66,0.0,0.0,27.66,27.66,27.66,0.0,0.0,27.66,27.66,27.66,0.0,0.0
2019-11-17,27.56,27.56,27.56,0.0,0.0,27.57,27.57,27.57,0.0,0.0,27.56,27.56,27.56,0.0,0.0,27.57,27.57,27.57,0.0,0.0
2019-11-24,27.73,27.73,27.73,0.0,0.0,27.73,27.73,27.73,0.0,0.0,27.45,27.45,27.45,0.0,0.0,27.45,27.45,27.45,0.0,0.0
2019-12-01,27.61,27.61,27.61,0.0,0.0,27.61,27.61,27.61,0.0,0.0,27.61,27.61,27.61,0.0,0.0,27.61,27.61,27.61,0.0,0.0
2019-12-08,28.23,28.23,28.23,0.0,0.0,28.23,28.23,28.23,0.0,0.0,28.23,28.23,28.23,0.0,0.0,28.23,28.23,28.23,0.0,0.0
2019-12-15,28.75,28.75,28.75,0.0,0.0,28.75,28.75,28.75,0.0,0.0,28.75,28.75,28.75,0.0,0.0,28.75,28.75,28.75,0.0,0.0
2019-12-22,28.7,28.7,28.7,0.0,0.0,28.7,28.7,28.7,0.0,0.0,28.7,28.7,28.7,0.0,0.0,28.7,28.7,28.7,0.0,0.0
2019-12-29,29.3,29.3,29.3,0.0,0.0,29.3,29.3,29.3,0.0,0.0,28.76,28.76,28.76,0.0,0.0,28.76,28.76,28.76,0.0,0.0
