Date,PowerShares Golden Dragon China PortEtf_Open_average,PowerShares Golden Dragon China PortEtf_Open_max,PowerShares Golden Dragon China PortEtf_Open_min,PowerShares Golden Dragon China PortEtf_Open_volatility,PowerShares Golden Dragon China PortEtf_Open_change,PowerShares Golden Dragon China PortEtf_High_average,PowerShares Golden Dragon China PortEtf_High_max,PowerShares Golden Dragon China PortEtf_High_min,PowerShares Golden Dragon China PortEtf_High_volatility,PowerShares Golden Dragon China PortEtf_High_change,PowerShares Golden Dragon China PortEtf_Low_average,PowerShares Golden Dragon China PortEtf_Low_max,PowerShares Golden Dragon China PortEtf_Low_min,PowerShares Golden Dragon China PortEtf_Low_volatility,PowerShares Golden Dragon China PortEtf_Low_change,PowerShares Golden Dragon China PortEtf_Close_average,PowerShares Golden Dragon China PortEtf_Close_max,PowerShares Golden Dragon China PortEtf_Close_min,PowerShares Golden Dragon China PortEtf_Close_volatility,PowerShares Golden Dragon China PortEtf_Close_change
2018-04-08,46.64,46.64,46.64,0.0,0.0,46.64,46.64,46.64,0.0,0.0,45.37,45.37,45.37,0.0,0.0,45.62,45.62,45.62,0.0,0.0
2018-04-15,45.86,45.86,45.86,0.0,0.0,45.86,45.86,45.86,0.0,0.0,45.33,45.33,45.33,0.0,0.0,45.59,45.59,45.59,0.0,0.0
2018-04-22,45.11,45.11,45.11,0.0,0.0,45.2,45.2,45.2,0.0,0.0,44.68,44.68,44.68,0.0,0.0,45.06,45.06,45.06,0.0,0.0
2018-04-29,45.43,45.43,45.43,0.0,0.0,46.02,46.02,46.02,0.0,0.0,45.25,45.25,45.25,0.0,0.0,45.93,45.93,45.93,0.0,0.0
2018-05-06,47.84,47.84,47.84,0.0,0.0,47.84,47.84,47.84,0.0,0.0,47.11,47.11,47.11,0.0,0.0,47.39,47.39,47.39,0.0,0.0
2018-05-13,47.23,47.23,47.23,0.0,0.0,47.36,47.36,47.36,0.0,0.0,46.98,46.98,46.98,0.0,0.0,46.98,46.98,46.98,0.0,0.0
2018-05-20,47.39,47.39,47.39,0.0,0.0,47.47,47.47,47.47,0.0,0.0,47.15,47.15,47.15,0.0,0.0,47.19,47.19,47.19,0.0,0.0
2018-05-27,48.13,48.13,48.13,0.0,0.0,48.78,48.78,48.78,0.0,0.0,48.13,48.13,48.13,0.0,0.0,48.47,48.47,48.47,0.0,0.0
2018-06-03,49.03,49.03,49.03,0.0,0.0,49.97,49.97,49.97,0.0,0.0,48.84,48.84,48.84,0.0,0.0,49.82,49.82,49.82,0.0,0.0
2018-06-10,50.21,50.21,50.21,0.0,0.0,50.58,50.58,50.58,0.0,0.0,49.92,49.92,49.92,0.0,0.0,50.48,50.48,50.48,0.0,0.0
2018-06-17,48.96,48.96,48.96,0.0,0.0,48.96,48.96,48.96,0.0,0.0,48.29,48.29,48.29,0.0,0.0,48.75,48.75,48.75,0.0,0.0
2018-06-24,46.15,46.15,46.15,0.0,0.0,46.42,46.42,46.42,0.0,0.0,45.92,45.92,45.92,0.0,0.0,46.03,46.03,46.03,0.0,0.0
2018-07-01,45.13,45.13,45.13,0.0,0.0,46.35,46.35,46.35,0.0,0.0,45.08,45.08,45.08,0.0,0.0,46.3,46.3,46.3,0.0,0.0
2018-07-08,46.71,46.71,46.71,0.0,0.0,46.75,46.75,46.75,0.0,0.0,46.15,46.15,46.15,0.0,0.0,46.32,46.32,46.32,0.0,0.0
2018-07-15,45.43,45.43,45.43,0.0,0.0,45.76,45.76,45.76,0.0,0.0,45.34,45.34,45.34,0.0,0.0,45.34,45.34,45.34,0.0,0.0
2018-07-22,45.91,45.91,45.91,0.0,0.0,45.91,45.91,45.91,0.0,0.0,44.68,44.68,44.68,0.0,0.0,44.89,44.89,44.89,0.0,0.0
2018-07-29,42.91,42.91,42.91,0.0,0.0,43.0,43.0,43.0,0.0,0.0,42.48,42.48,42.48,0.0,0.0,42.59,42.59,42.59,0.0,0.0
2018-08-05,41.5,41.5,41.5,0.0,0.0,41.79,41.79,41.79,0.0,0.0,41.39,41.39,41.39,0.0,0.0,41.66,41.66,41.66,0.0,0.0
2018-08-12,38.94,38.94,38.94,0.0,0.0,39.5,39.5,39.5,0.0,0.0,38.74,38.74,38.74,0.0,0.0,39.33,39.33,39.33,0.0,0.0
2018-08-19,40.01,40.01,40.01,0.0,0.0,40.01,40.01,40.01,0.0,0.0,39.8,39.8,39.8,0.0,0.0,39.86,39.86,39.86,0.0,0.0
2018-08-26,39.52,39.52,39.52,0.0,0.0,40.08,40.08,40.08,0.0,0.0,39.52,39.52,39.52,0.0,0.0,40.04,40.04,40.04,0.0,0.0
2018-09-02,37.49,37.49,37.49,0.0,0.0,38.21,38.21,38.21,0.0,0.0,37.49,37.49,37.49,0.0,0.0,37.69,37.69,37.69,0.0,0.0
2018-09-09,38.29,38.29,38.29,0.0,0.0,38.35,38.35,38.35,0.0,0.0,37.87,37.87,37.87,0.0,0.0,37.99,37.99,37.99,0.0,0.0
2018-09-16,39.65,39.65,39.65,0.0,0.0,39.65,39.65,39.65,0.0,0.0,39.06,39.06,39.06,0.0,0.0,39.14,39.14,39.14,0.0,0.0
2018-09-23,38.62,38.62,38.62,0.0,0.0,38.81,38.81,38.81,0.0,0.0,38.5,38.5,38.5,0.0,0.0,38.57,38.57,38.57,0.0,0.0
2018-09-30,36.17,36.17,36.17,0.0,0.0,36.26,36.26,36.26,0.0,0.0,35.3,35.3,35.3,0.0,0.0,35.63,35.63,35.63,0.0,0.0
2018-10-07,34.64,34.64,34.64,0.0,0.0,35.61,35.61,35.61,0.0,0.0,34.64,34.64,34.64,0.0,0.0,35.61,35.61,35.61,0.0,0.0
2018-10-14,34.27,34.27,34.27,0.0,0.0,34.42,34.42,34.42,0.0,0.0,33.39,33.39,33.39,0.0,0.0,33.48,33.48,33.48,0.0,0.0
2018-10-21,31.75,31.75,31.75,0.0,0.0,33.19,33.19,33.19,0.0,0.0,31.75,31.75,31.75,0.0,0.0,32.9,32.9,32.9,0.0,0.0
2018-10-28,36.53,36.53,36.53,0.0,0.0,36.53,36.53,36.53,0.0,0.0,35.12,35.12,35.12,0.0,0.0,35.43,35.43,35.43,0.0,0.0
2018-11-04,33.55,33.55,33.55,0.0,0.0,33.55,33.55,33.55,0.0,0.0,32.67,32.67,32.67,0.0,0.0,32.98,32.98,32.98,0.0,0.0
2018-11-11,34.31,34.31,34.31,0.0,0.0,34.55,34.55,34.55,0.0,0.0,33.87,33.87,33.87,0.0,0.0,34.25,34.25,34.25,0.0,0.0
2018-11-18,33.12,33.12,33.12,0.0,0.0,33.13,33.13,33.13,0.0,0.0,32.88,32.88,32.88,0.0,0.0,32.92,32.92,32.92,0.0,0.0
2018-11-25,33.83,33.83,33.83,0.0,0.0,34.72,34.72,34.72,0.0,0.0,33.71,33.71,33.71,0.0,0.0,34.52,34.52,34.52,0.0,0.0
2018-12-02,34.31,34.31,34.31,0.0,0.0,34.7,34.7,34.7,0.0,0.0,33.53,33.53,33.53,0.0,0.0,33.71,33.71,33.71,0.0,0.0
2018-12-09,33.79,33.79,33.79,0.0,0.0,34.11,34.11,34.11,0.0,0.0,33.76,33.76,33.76,0.0,0.0,33.77,33.77,33.77,0.0,0.0
2018-12-16,31.73,31.73,31.73,0.0,0.0,31.88,31.88,31.88,0.0,0.0,30.88,30.88,30.88,0.0,0.0,31.06,31.06,31.06,0.0,0.0
2018-12-23,32.1,32.1,32.1,0.0,0.0,32.28,32.28,32.28,0.0,0.0,31.57,31.57,31.57,0.0,0.0,31.82,31.82,31.82,0.0,0.0
2018-12-30,31.32,31.32,31.32,0.0,0.0,32.83,32.83,32.83,0.0,0.0,31.32,31.32,31.32,0.0,0.0,32.55,32.55,32.55,0.0,0.0
2019-01-06,34.15,34.15,34.15,0.0,0.0,34.26,34.26,34.26,0.0,0.0,33.94,33.94,33.94,0.0,0.0,34.2,34.2,34.2,0.0,0.0
2019-01-13,35.32,35.32,35.32,0.0,0.0,36.05,36.05,36.05,0.0,0.0,35.32,35.32,35.32,0.0,0.0,35.74,35.74,35.74,0.0,0.0
2019-01-20,35.53,35.53,35.53,0.0,0.0,36.11,36.11,36.11,0.0,0.0,35.53,35.53,35.53,0.0,0.0,36.0,36.0,36.0,0.0,0.0
2019-01-27,36.87,36.87,36.87,0.0,0.0,37.04,37.04,37.04,0.0,0.0,36.59,36.59,36.59,0.0,0.0,36.78,36.78,36.78,0.0,0.0
2019-02-03,35.74,35.74,35.74,0.0,0.0,36.53,36.53,36.53,0.0,0.0,35.74,35.74,35.74,0.0,0.0,36.44,36.44,36.44,0.0,0.0
2019-02-10,37.41,37.41,37.41,0.0,0.0,37.41,37.41,37.41,0.0,0.0,36.69,36.69,36.69,0.0,0.0,36.7,36.7,36.7,0.0,0.0
2019-02-17,37.6,37.6,37.6,0.0,0.0,38.59,38.59,38.59,0.0,0.0,37.44,37.44,37.44,0.0,0.0,38.5,38.5,38.5,0.0,0.0
2019-02-24,39.77,39.77,39.77,0.0,0.0,39.77,39.77,39.77,0.0,0.0,39.15,39.15,39.15,0.0,0.0,39.29,39.29,39.29,0.0,0.0
2019-03-03,37.42,37.42,37.42,0.0,0.0,38.63,38.63,38.63,0.0,0.0,37.32,37.32,37.32,0.0,0.0,38.51,38.51,38.51,0.0,0.0
2019-03-10,39.53,39.53,39.53,0.0,0.0,40.0,40.0,40.0,0.0,0.0,39.53,39.53,39.53,0.0,0.0,39.81,39.81,39.81,0.0,0.0
2019-03-17,39.43,39.43,39.43,0.0,0.0,39.6,39.6,39.6,0.0,0.0,38.61,38.61,38.61,0.0,0.0,38.67,38.67,38.67,0.0,0.0
2019-03-24,39.89,39.89,39.89,0.0,0.0,40.57,40.57,40.57,0.0,0.0,39.8,39.8,39.8,0.0,0.0,40.45,40.45,40.45,0.0,0.0
2019-03-31,42.02,42.02,42.02,0.0,0.0,42.84,42.84,42.84,0.0,0.0,41.97,41.97,41.97,0.0,0.0,42.65,42.65,42.65,0.0,0.0
2019-04-07,42.03,42.03,42.03,0.0,0.0,42.44,42.44,42.44,0.0,0.0,41.98,41.98,41.98,0.0,0.0,42.14,42.14,42.14,0.0,0.0
2019-04-14,41.67,41.67,41.67,0.0,0.0,41.71,41.71,41.71,0.0,0.0,41.35,41.35,41.35,0.0,0.0,41.62,41.62,41.62,0.0,0.0
2019-04-21,41.52,41.52,41.52,0.0,0.0,41.76,41.76,41.76,0.0,0.0,41.23,41.23,41.23,0.0,0.0,41.76,41.76,41.76,0.0,0.0
2019-04-28,42.24,42.24,42.24,0.0,0.0,42.7,42.7,42.7,0.0,0.0,42.24,42.24,42.24,0.0,0.0,42.57,42.57,42.57,0.0,0.0
2019-05-05,39.23,39.23,39.23,0.0,0.0,39.46,39.46,39.46,0.0,0.0,38.3,38.3,38.3,0.0,0.0,38.85,38.85,38.85,0.0,0.0
2019-05-12,37.62,37.62,37.62,0.0,0.0,37.74,37.74,37.74,0.0,0.0,37.01,37.01,37.01,0.0,0.0,37.04,37.04,37.04,0.0,0.0
2019-05-19,35.11,35.11,35.11,0.0,0.0,35.3,35.3,35.3,0.0,0.0,34.6,34.6,34.6,0.0,0.0,34.62,34.62,34.62,0.0,0.0
2019-05-26,34.21,34.21,34.21,0.0,0.0,34.43,34.43,34.43,0.0,0.0,34.16,34.16,34.16,0.0,0.0,34.3,34.3,34.3,0.0,0.0
2019-06-02,34.52,34.52,34.52,0.0,0.0,35.23,35.23,35.23,0.0,0.0,34.52,34.52,34.52,0.0,0.0,35.04,35.04,35.04,0.0,0.0
2019-06-09,35.62,35.62,35.62,0.0,0.0,35.62,35.62,35.62,0.0,0.0,35.34,35.34,35.34,0.0,0.0,35.47,35.47,35.47,0.0,0.0
2019-06-16,37.21,37.21,37.21,0.0,0.0,37.22,37.22,37.22,0.0,0.0,36.85,36.85,36.85,0.0,0.0,37.04,37.04,37.04,0.0,0.0
2019-06-23,37.7,37.7,37.7,0.0,0.0,37.7,37.7,37.7,0.0,0.0,37.28,37.28,37.28,0.0,0.0,37.4,37.4,37.4,0.0,0.0
2019-06-30,37.97,37.97,37.97,0.0,0.0,38.02,38.02,38.02,0.0,0.0,37.45,37.45,37.45,0.0,0.0,38.02,38.02,38.02,0.0,0.0
2019-07-07,37.02,37.02,37.02,0.0,0.0,37.07,37.07,37.07,0.0,0.0,36.8,36.8,36.8,0.0,0.0,36.96,36.96,36.96,0.0,0.0
2019-07-14,36.73,36.73,36.73,0.0,0.0,36.87,36.87,36.87,0.0,0.0,36.49,36.49,36.49,0.0,0.0,36.49,36.49,36.49,0.0,0.0
2019-07-21,37.35,37.35,37.35,0.0,0.0,37.35,37.35,37.35,0.0,0.0,37.06,37.06,37.06,0.0,0.0,37.13,37.13,37.13,0.0,0.0
2019-07-28,34.94,34.94,34.94,0.0,0.0,34.94,34.94,34.94,0.0,0.0,34.47,34.47,34.47,0.0,0.0,34.66,34.66,34.66,0.0,0.0
2019-08-04,34.04,34.04,34.04,0.0,0.0,34.08,34.08,34.08,0.0,0.0,33.73,33.73,33.73,0.0,0.0,33.9,33.9,33.9,0.0,0.0
2019-08-11,34.8,34.8,34.8,0.0,0.0,35.59,35.59,35.59,0.0,0.0,34.8,34.8,34.8,0.0,0.0,35.59,35.59,35.59,0.0,0.0
2019-08-18,35.34,35.34,35.34,0.0,0.0,35.97,35.97,35.97,0.0,0.0,34.91,34.91,34.91,0.0,0.0,35.02,35.02,35.02,0.0,0.0
2019-08-25,36.85,36.85,36.85,0.0,0.0,36.85,36.85,36.85,0.0,0.0,36.37,36.37,36.37,0.0,0.0,36.66,36.66,36.66,0.0,0.0
2019-09-01,37.65,37.65,37.65,0.0,0.0,37.88,37.88,37.88,0.0,0.0,37.42,37.42,37.42,0.0,0.0,37.7,37.7,37.7,0.0,0.0
2019-09-08,38.53,38.53,38.53,0.0,0.0,38.73,38.73,38.73,0.0,0.0,38.49,38.49,38.49,0.0,0.0,38.62,38.62,38.62,0.0,0.0
2019-09-15,38.46,38.46,38.46,0.0,0.0,38.5,38.5,38.5,0.0,0.0,37.76,37.76,37.76,0.0,0.0,37.99,37.99,37.99,0.0,0.0
2019-09-22,36.92,36.92,36.92,0.0,0.0,37.04,37.04,37.04,0.0,0.0,34.72,34.72,34.72,0.0,0.0,35.31,35.31,35.31,0.0,0.0
2019-09-29,36.21,36.21,36.21,0.0,0.0,36.34,36.34,36.34,0.0,0.0,36.1,36.1,36.1,0.0,0.0,36.17,36.17,36.17,0.0,0.0
2019-10-06,36.31,36.31,36.31,0.0,0.0,37.04,37.04,37.04,0.0,0.0,36.31,36.31,36.31,0.0,0.0,36.63,36.63,36.63,0.0,0.0
2019-10-13,37.28,37.28,37.28,0.0,0.0,37.28,37.28,37.28,0.0,0.0,36.63,36.63,36.63,0.0,0.0,36.72,36.72,36.72,0.0,0.0
2019-10-20,37.63,37.63,37.63,0.0,0.0,38.35,38.35,38.35,0.0,0.0,37.63,37.63,37.63,0.0,0.0,38.2,38.2,38.2,0.0,0.0
2019-10-27,38.66,38.66,38.66,0.0,0.0,38.93,38.93,38.93,0.0,0.0,38.52,38.52,38.52,0.0,0.0,38.69,38.69,38.69,0.0,0.0
2019-11-03,40.45,40.45,40.45,0.0,0.0,40.54,40.54,40.54,0.0,0.0,40.21,40.21,40.21,0.0,0.0,40.35,40.35,40.35,0.0,0.0
2019-11-10,39.47,39.47,39.47,0.0,0.0,39.5,39.5,39.5,0.0,0.0,39.12,39.12,39.12,0.0,0.0,39.3,39.3,39.3,0.0,0.0
2019-11-17,38.28,38.28,38.28,0.0,0.0,38.61,38.61,38.61,0.0,0.0,38.25,38.25,38.25,0.0,0.0,38.58,38.58,38.58,0.0,0.0
2019-11-24,39.33,39.33,39.33,0.0,0.0,39.45,39.45,39.45,0.0,0.0,39.23,39.23,39.23,0.0,0.0,39.3,39.3,39.3,0.0,0.0
2019-12-01,39.86,39.86,39.86,0.0,0.0,39.86,39.86,39.86,0.0,0.0,39.55,39.55,39.55,0.0,0.0,39.66,39.66,39.66,0.0,0.0
2019-12-08,40.36,40.36,40.36,0.0,0.0,40.74,40.74,40.74,0.0,0.0,40.2,40.2,40.2,0.0,0.0,40.2,40.2,40.2,0.0,0.0
2019-12-15,41.57,41.57,41.57,0.0,0.0,41.7,41.7,41.7,0.0,0.0,41.4,41.4,41.4,0.0,0.0,41.4,41.4,41.4,0.0,0.0
2019-12-22,42.34,42.34,42.34,0.0,0.0,42.38,42.38,42.38,0.0,0.0,42.0,42.0,42.0,0.0,0.0,42.08,42.08,42.08,0.0,0.0
2019-12-29,43.14,43.14,43.14,0.0,0.0,43.99,43.99,43.99,0.0,0.0,43.14,43.14,43.14,0.0,0.0,43.65,43.65,43.65,0.0,0.0
