Date,WisdomTree Earnings 500_etf_Open_average,WisdomTree Earnings 500_etf_Open_max,WisdomTree Earnings 500_etf_Open_min,WisdomTree Earnings 500_etf_Open_volatility,WisdomTree Earnings 500_etf_Open_change,WisdomTree Earnings 500_etf_High_average,WisdomTree Earnings 500_etf_High_max,WisdomTree Earnings 500_etf_High_min,WisdomTree Earnings 500_etf_High_volatility,WisdomTree Earnings 500_etf_High_change,WisdomTree Earnings 500_etf_Low_average,WisdomTree Earnings 500_etf_Low_max,WisdomTree Earnings 500_etf_Low_min,WisdomTree Earnings 500_etf_Low_volatility,WisdomTree Earnings 500_etf_Low_change,WisdomTree Earnings 500_etf_Close_average,WisdomTree Earnings 500_etf_Close_max,WisdomTree Earnings 500_etf_Close_min,WisdomTree Earnings 500_etf_Close_volatility,WisdomTree Earnings 500_etf_Close_change
2018-06-03,31.49,31.49,31.49,0.0,0.0,31.62,31.62,31.62,0.0,0.0,31.43,31.43,31.43,0.0,0.0,31.62,31.62,31.62,0.0,0.0
2018-06-10,31.42,31.42,31.42,0.0,0.0,31.55,31.55,31.55,0.0,0.0,31.3,31.3,31.3,0.0,0.0,31.55,31.55,31.55,0.0,0.0
2018-06-17,31.3,31.3,31.3,0.0,0.0,31.32,31.32,31.32,0.0,0.0,31.25,31.25,31.25,0.0,0.0,31.27,31.27,31.27,0.0,0.0
2018-06-24,30.77,30.77,30.77,0.0,0.0,30.9,30.9,30.9,0.0,0.0,30.68,30.68,30.68,0.0,0.0,30.68,30.68,30.68,0.0,0.0
2018-07-01,30.77,30.77,30.77,0.0,0.0,31.17,31.17,31.17,0.0,0.0,30.77,30.77,30.77,0.0,0.0,31.08,31.08,31.08,0.0,0.0
2018-07-08,31.42,31.42,31.42,0.0,0.0,31.56,31.56,31.56,0.0,0.0,31.42,31.42,31.42,0.0,0.0,31.5,31.5,31.5,0.0,0.0
2018-07-15,31.62,31.62,31.62,0.0,0.0,31.63,31.63,31.63,0.0,0.0,31.56,31.56,31.56,0.0,0.0,31.6,31.6,31.6,0.0,0.0
2018-07-22,32.01,32.01,32.01,0.0,0.0,32.01,32.01,32.01,0.0,0.0,31.67,31.67,31.67,0.0,0.0,31.79,31.79,31.79,0.0,0.0
2018-07-29,31.93,31.93,31.93,0.0,0.0,32.12,32.12,32.12,0.0,0.0,31.93,31.93,31.93,0.0,0.0,32.12,32.12,32.12,0.0,0.0
2018-08-05,32.09,32.09,32.09,0.0,0.0,32.13,32.13,32.13,0.0,0.0,31.95,31.95,31.95,0.0,0.0,32.04,32.04,32.04,0.0,0.0
2018-08-12,32.2,32.2,32.2,0.0,0.0,32.35,32.35,32.35,0.0,0.0,32.17,32.17,32.17,0.0,0.0,32.33,32.33,32.33,0.0,0.0
2018-08-19,32.38,32.38,32.38,0.0,0.0,32.52,32.52,32.52,0.0,0.0,32.38,32.38,32.38,0.0,0.0,32.48,32.48,32.48,0.0,0.0
2018-08-26,32.62,32.62,32.62,0.0,0.0,32.79,32.79,32.79,0.0,0.0,32.62,32.62,32.62,0.0,0.0,32.65,32.65,32.65,0.0,0.0
2018-09-02,32.48,32.48,32.48,0.0,0.0,32.59,32.59,32.59,0.0,0.0,32.45,32.45,32.45,0.0,0.0,32.49,32.49,32.49,0.0,0.0
2018-09-09,32.82,32.82,32.82,0.0,0.0,32.82,32.82,32.82,0.0,0.0,32.7,32.7,32.7,0.0,0.0,32.81,32.81,32.81,0.0,0.0
2018-09-16,33.25,33.25,33.25,0.0,0.0,33.26,33.26,33.26,0.0,0.0,33.1,33.1,33.1,0.0,0.0,33.13,33.13,33.13,0.0,0.0
2018-09-23,32.6,32.6,32.6,0.0,0.0,32.68,32.68,32.68,0.0,0.0,32.56,32.56,32.56,0.0,0.0,32.66,32.66,32.66,0.0,0.0
2018-09-30,32.68,32.68,32.68,0.0,0.0,32.68,32.68,32.68,0.0,0.0,32.29,32.29,32.29,0.0,0.0,32.47,32.47,32.47,0.0,0.0
2018-10-07,31.4,31.4,31.4,0.0,0.0,31.4,31.4,31.4,0.0,0.0,30.82,30.82,30.82,0.0,0.0,31.2,31.2,31.2,0.0,0.0
2018-10-14,31.3,31.3,31.3,0.0,0.0,31.49,31.49,31.49,0.0,0.0,31.17,31.17,31.17,0.0,0.0,31.32,31.32,31.32,0.0,0.0
2018-10-21,30.09,30.09,30.09,0.0,0.0,30.47,30.47,30.47,0.0,0.0,29.84,29.84,29.84,0.0,0.0,30.09,30.09,30.09,0.0,0.0
2018-10-28,31.24,31.24,31.24,0.0,0.0,31.24,31.24,31.24,0.0,0.0,30.72,30.72,30.72,0.0,0.0,30.82,30.82,30.82,0.0,0.0
2018-11-04,31.7,31.7,31.7,0.0,0.0,31.7,31.7,31.7,0.0,0.0,31.49,31.49,31.49,0.0,0.0,31.53,31.53,31.53,0.0,0.0
2018-11-11,30.82,30.82,30.82,0.0,0.0,31.11,31.11,31.11,0.0,0.0,30.82,30.82,30.82,0.0,0.0,31.11,31.11,31.11,0.0,0.0
2018-11-18,30.08,30.08,30.08,0.0,0.0,30.11,30.11,30.11,0.0,0.0,29.98,29.98,29.98,0.0,0.0,30.01,30.01,30.01,0.0,0.0
2018-11-25,30.99,30.99,30.99,0.0,0.0,31.32,31.32,31.32,0.0,0.0,30.99,30.99,30.99,0.0,0.0,31.25,31.25,31.25,0.0,0.0
2018-12-02,30.44,30.44,30.44,0.0,0.0,30.57,30.57,30.57,0.0,0.0,29.7,29.7,29.7,0.0,0.0,29.77,29.77,29.77,0.0,0.0
2018-12-09,29.59,29.59,29.59,0.0,0.0,29.68,29.68,29.68,0.0,0.0,29.27,29.27,29.27,0.0,0.0,29.34,29.34,29.34,0.0,0.0
2018-12-16,27.88,27.88,27.88,0.0,0.0,28.34,28.34,28.34,0.0,0.0,27.33,27.33,27.33,0.0,0.0,27.37,27.37,27.37,0.0,0.0
2018-12-23,28.12,28.12,28.12,0.0,0.0,28.33,28.33,28.33,0.0,0.0,27.89,27.89,27.89,0.0,0.0,27.97,27.97,27.97,0.0,0.0
2018-12-30,28.04,28.04,28.04,0.0,0.0,28.57,28.57,28.57,0.0,0.0,28.04,28.04,28.04,0.0,0.0,28.53,28.53,28.53,0.0,0.0
2019-01-06,29.12,29.12,29.12,0.0,0.0,29.28,29.28,29.28,0.0,0.0,29.04,29.04,29.04,0.0,0.0,29.21,29.21,29.21,0.0,0.0
2019-01-13,30.01,30.01,30.01,0.0,0.0,30.24,30.24,30.24,0.0,0.0,29.91,29.91,29.91,0.0,0.0,30.2,30.2,30.2,0.0,0.0
2019-01-20,30.11,30.11,30.11,0.0,0.0,30.23,30.23,30.23,0.0,0.0,30.07,30.07,30.07,0.0,0.0,30.18,30.18,30.18,0.0,0.0
2019-01-27,30.7,30.7,30.7,0.0,0.0,30.77,30.77,30.77,0.0,0.0,30.6,30.6,30.6,0.0,0.0,30.63,30.63,30.63,0.0,0.0
2019-02-03,30.53,30.53,30.53,0.0,0.0,30.68,30.68,30.68,0.0,0.0,30.39,30.39,30.39,0.0,0.0,30.68,30.68,30.68,0.0,0.0
