Date,SPDR Gold Shares_Open_average,SPDR Gold Shares_Open_max,SPDR Gold Shares_Open_min,SPDR Gold Shares_Open_volatility,SPDR Gold Shares_Open_change,SPDR Gold Shares_High_average,SPDR Gold Shares_High_max,SPDR Gold Shares_High_min,SPDR Gold Shares_High_volatility,SPDR Gold Shares_High_change,SPDR Gold Shares_Low_average,SPDR Gold Shares_Low_max,SPDR Gold Shares_Low_min,SPDR Gold Shares_Low_volatility,SPDR Gold Shares_Low_change,SPDR Gold Shares_Close_average,SPDR Gold Shares_Close_max,SPDR Gold Shares_Close_min,SPDR Gold Shares_Close_volatility,SPDR Gold Shares_Close_change
2018-04-22,124.41,124.41,124.41,0.0,0.0,125.2,125.2,125.2,0.0,0.0,124.19,124.19,124.19,0.0,0.0,124.59,124.59,124.59,0.0,0.0
2018-04-29,124.5,124.5,124.5,0.0,0.0,124.7,124.7,124.7,0.0,0.0,124.3,124.3,124.3,0.0,0.0,124.57,124.57,124.57,0.0,0.0
2018-05-06,125.16,125.16,125.16,0.0,0.0,125.21,125.21,125.21,0.0,0.0,124.44,124.44,124.44,0.0,0.0,124.49,124.49,124.49,0.0,0.0
2018-05-13,122.16,122.16,122.16,0.0,0.0,122.53,122.53,122.53,0.0,0.0,121.97,121.97,121.97,0.0,0.0,122.48,122.48,122.48,0.0,0.0
2018-05-20,123.66,123.66,123.66,0.0,0.0,123.7,123.7,123.7,0.0,0.0,123.21,123.21,123.21,0.0,0.0,123.21,123.21,123.21,0.0,0.0
2018-05-27,122.85,122.85,122.85,0.0,0.0,122.93,122.93,122.93,0.0,0.0,122.37,122.37,122.37,0.0,0.0,122.37,122.37,122.37,0.0,0.0
2018-06-03,123.1,123.1,123.1,0.0,0.0,123.42,123.42,123.42,0.0,0.0,123.02,123.02,123.02,0.0,0.0,123.23,123.23,123.23,0.0,0.0
2018-06-10,121.35,121.35,121.35,0.0,0.0,121.44,121.44,121.44,0.0,0.0,120.99,120.99,120.99,0.0,0.0,121.11,121.11,121.11,0.0,0.0
2018-06-17,120.0,120.0,120.0,0.0,0.0,120.23,120.23,120.23,0.0,0.0,119.83,119.83,119.83,0.0,0.0,119.89,119.89,119.89,0.0,0.0
2018-06-24,118.18,118.18,118.18,0.0,0.0,118.21,118.21,118.21,0.0,0.0,117.4,117.4,117.4,0.0,0.0,117.46,117.46,117.46,0.0,0.0
2018-07-01,119.65,119.65,119.65,0.0,0.0,119.73,119.73,119.73,0.0,0.0,119.14,119.14,119.14,0.0,0.0,119.15,119.15,119.15,0.0,0.0
2018-07-08,117.51,117.51,117.51,0.0,0.0,117.62,117.62,117.62,0.0,0.0,117.28,117.28,117.28,0.0,0.0,117.55,117.55,117.55,0.0,0.0
2018-07-15,116.25,116.25,116.25,0.0,0.0,116.31,116.31,116.31,0.0,0.0,115.76,115.76,115.76,0.0,0.0,116.0,116.0,116.0,0.0,0.0
2018-07-22,115.8,115.8,115.8,0.0,0.0,116.02,116.02,116.02,0.0,0.0,115.64,115.64,115.64,0.0,0.0,115.65,115.65,115.65,0.0,0.0
2018-07-29,114.56,114.56,114.56,0.0,0.0,114.72,114.72,114.72,0.0,0.0,114.31,114.31,114.31,0.0,0.0,114.33,114.33,114.33,0.0,0.0
2018-08-05,113.81,113.81,113.81,0.0,0.0,113.81,113.81,113.81,0.0,0.0,112.83,112.83,112.83,0.0,0.0,112.96,112.96,112.96,0.0,0.0
2018-08-12,112.38,112.38,112.38,0.0,0.0,112.74,112.74,112.74,0.0,0.0,112.16,112.16,112.16,0.0,0.0,112.69,112.69,112.69,0.0,0.0
2018-08-19,114.12,114.12,114.12,0.0,0.0,114.78,114.78,114.78,0.0,0.0,114.12,114.12,114.12,0.0,0.0,114.59,114.59,114.59,0.0,0.0
2018-08-26,113.72,113.72,113.72,0.0,0.0,114.06,114.06,114.06,0.0,0.0,113.44,113.44,113.44,0.0,0.0,113.51,113.51,113.51,0.0,0.0
2018-09-02,113.26,113.26,113.26,0.0,0.0,113.43,113.43,113.43,0.0,0.0,113.0,113.0,113.0,0.0,0.0,113.15,113.15,113.15,0.0,0.0
2018-09-09,113.6,113.6,113.6,0.0,0.0,114.03,114.03,114.03,0.0,0.0,113.55,113.55,113.55,0.0,0.0,113.61,113.61,113.61,0.0,0.0
2018-09-16,113.68,113.68,113.68,0.0,0.0,113.96,113.96,113.96,0.0,0.0,113.43,113.43,113.43,0.0,0.0,113.47,113.47,113.47,0.0,0.0
2018-09-23,112.4,112.4,112.4,0.0,0.0,112.62,112.62,112.62,0.0,0.0,112.15,112.15,112.15,0.0,0.0,112.57,112.57,112.57,0.0,0.0
2018-09-30,112.25,112.25,112.25,0.0,0.0,112.59,112.59,112.59,0.0,0.0,111.9,111.9,111.9,0.0,0.0,112.54,112.54,112.54,0.0,0.0
2018-10-07,116.12,116.12,116.12,0.0,0.0,116.53,116.53,116.53,0.0,0.0,115.89,115.89,115.89,0.0,0.0,116.0,116.0,116.0,0.0,0.0
2018-10-14,115.57,115.57,115.57,0.0,0.0,115.78,115.78,115.78,0.0,0.0,115.43,115.43,115.43,0.0,0.0,115.71,115.71,115.71,0.0,0.0
2018-10-21,116.41,116.41,116.41,0.0,0.0,116.54,116.54,116.54,0.0,0.0,115.84,115.84,115.84,0.0,0.0,116.31,116.31,116.31,0.0,0.0
2018-10-28,116.28,116.28,116.28,0.0,0.0,116.67,116.67,116.67,0.0,0.0,116.23,116.23,116.23,0.0,0.0,116.37,116.37,116.37,0.0,0.0
2018-11-04,114.01,114.01,114.01,0.0,0.0,114.05,114.05,114.05,0.0,0.0,113.58,113.58,113.58,0.0,0.0,113.66,113.66,113.66,0.0,0.0
2018-11-11,115.45,115.45,115.45,0.0,0.0,115.92,115.92,115.92,0.0,0.0,115.37,115.37,115.37,0.0,0.0,115.67,115.67,115.67,0.0,0.0
2018-11-18,115.84,115.84,115.84,0.0,0.0,115.87,115.87,115.87,0.0,0.0,115.53,115.53,115.53,0.0,0.0,115.64,115.64,115.64,0.0,0.0
2018-11-25,116.6,116.6,116.6,0.0,0.0,116.77,116.77,116.77,0.0,0.0,116.3,116.3,116.3,0.0,0.0,116.41,116.41,116.41,0.0,0.0
2018-12-02,117.7,117.7,117.7,0.0,0.0,117.94,117.94,117.94,0.0,0.0,117.42,117.42,117.42,0.0,0.0,117.68,117.68,117.68,0.0,0.0
2018-12-09,117.37,117.37,117.37,0.0,0.0,118.03,118.03,118.03,0.0,0.0,117.35,117.35,117.35,0.0,0.0,117.87,117.87,117.87,0.0,0.0
2018-12-16,119.57,119.57,119.57,0.0,0.0,120.14,120.14,120.14,0.0,0.0,119.57,119.57,119.57,0.0,0.0,120.02,120.02,120.02,0.0,0.0
2018-12-23,120.98,120.98,120.98,0.0,0.0,121.26,121.26,121.26,0.0,0.0,120.83,120.83,120.83,0.0,0.0,121.25,121.25,121.25,0.0,0.0
2018-12-30,122.16,122.16,122.16,0.0,0.0,122.22,122.22,122.22,0.0,0.0,121.57,121.57,121.57,0.0,0.0,121.86,121.86,121.86,0.0,0.0
2019-01-06,122.15,122.15,122.15,0.0,0.0,122.24,122.24,122.24,0.0,0.0,121.87,121.87,121.87,0.0,0.0,122.09,122.09,122.09,0.0,0.0
2019-01-13,121.23,121.23,121.23,0.0,0.0,121.52,121.52,121.52,0.0,0.0,121.02,121.02,121.02,0.0,0.0,121.02,121.02,121.02,0.0,0.0
2019-01-20,122.75,122.75,122.75,0.0,0.0,123.29,123.29,123.29,0.0,0.0,122.72,122.72,122.72,0.0,0.0,123.29,123.29,123.29,0.0,0.0
2019-01-27,123.99,123.99,123.99,0.0,0.0,124.29,124.29,124.29,0.0,0.0,123.82,123.82,123.82,0.0,0.0,123.96,123.96,123.96,0.0,0.0
2019-02-03,123.19,123.19,123.19,0.0,0.0,123.82,123.82,123.82,0.0,0.0,123.19,123.19,123.19,0.0,0.0,123.6,123.6,123.6,0.0,0.0
2019-02-10,124.59,124.59,124.59,0.0,0.0,125.0,125.0,125.0,0.0,0.0,124.18,124.18,124.18,0.0,0.0,124.8,124.8,124.8,0.0,0.0
2019-02-17,125.78,125.78,125.78,0.0,0.0,125.9,125.9,125.9,0.0,0.0,125.23,125.23,125.23,0.0,0.0,125.37,125.37,125.37,0.0,0.0
2019-02-24,121.56,121.56,121.56,0.0,0.0,121.85,121.85,121.85,0.0,0.0,121.18,121.18,121.18,0.0,0.0,121.56,121.56,121.56,0.0,0.0
2019-03-03,122.52,122.52,122.52,0.0,0.0,122.54,122.54,122.54,0.0,0.0,121.92,121.92,121.92,0.0,0.0,122.24,122.24,122.24,0.0,0.0
2019-03-10,123.3,123.3,123.3,0.0,0.0,123.4,123.4,123.4,0.0,0.0,122.89,122.89,122.89,0.0,0.0,123.04,123.04,123.04,0.0,0.0
2019-03-17,124.56,124.56,124.56,0.0,0.0,125.11,125.11,125.11,0.0,0.0,124.48,124.48,124.48,0.0,0.0,124.92,124.92,124.92,0.0,0.0
2019-03-24,122.4,122.4,122.4,0.0,0.0,122.43,122.43,122.43,0.0,0.0,121.46,121.46,121.46,0.0,0.0,121.53,121.53,121.53,0.0,0.0
2019-03-31,122.97,122.97,122.97,0.0,0.0,123.02,123.02,123.02,0.0,0.0,122.4,122.4,122.4,0.0,0.0,122.51,122.51,122.51,0.0,0.0
2019-04-07,121.2,121.2,121.2,0.0,0.0,121.82,121.82,121.82,0.0,0.0,121.09,121.09,121.09,0.0,0.0,121.6,121.6,121.6,0.0,0.0
2019-04-14,120.46,120.46,120.46,0.0,0.0,120.5,120.5,120.5,0.0,0.0,120.27,120.27,120.27,0.0,0.0,120.37,120.37,120.37,0.0,0.0
2019-04-21,120.88,120.88,120.88,0.0,0.0,120.91,120.91,120.91,0.0,0.0,120.67,120.67,120.67,0.0,0.0,120.83,120.83,120.83,0.0,0.0
2019-04-28,120.61,120.61,120.61,0.0,0.0,121.12,121.12,121.12,0.0,0.0,120.54,120.54,120.54,0.0,0.0,120.81,120.81,120.81,0.0,0.0
2019-05-05,122.63,122.63,122.63,0.0,0.0,122.85,122.85,122.85,0.0,0.0,122.33,122.33,122.33,0.0,0.0,122.67,122.67,122.67,0.0,0.0
2019-05-12,120.51,120.51,120.51,0.0,0.0,120.74,120.74,120.74,0.0,0.0,120.42,120.42,120.42,0.0,0.0,120.64,120.64,120.64,0.0,0.0
2019-05-19,121.13,121.13,121.13,0.0,0.0,121.31,121.31,121.31,0.0,0.0,120.89,120.89,120.89,0.0,0.0,121.3,121.3,121.3,0.0,0.0
2019-05-26,124.09,124.09,124.09,0.0,0.0,125.34,125.34,125.34,0.0,0.0,123.9,123.9,123.9,0.0,0.0,125.11,125.11,125.11,0.0,0.0
2019-06-02,125.46,125.46,125.46,0.0,0.0,125.53,125.53,125.53,0.0,0.0,125.06,125.06,125.06,0.0,0.0,125.33,125.33,125.33,0.0,0.0
2019-06-09,126.7,126.7,126.7,0.0,0.0,126.77,126.77,126.77,0.0,0.0,126.17,126.17,126.17,0.0,0.0,126.48,126.48,126.48,0.0,0.0
2019-06-16,132.77,132.77,132.77,0.0,0.0,134.03,134.03,134.03,0.0,0.0,132.58,132.58,132.58,0.0,0.0,133.94,133.94,133.94,0.0,0.0
2019-06-23,131.56,131.56,131.56,0.0,0.0,131.75,131.75,131.75,0.0,0.0,130.55,130.55,130.55,0.0,0.0,130.62,130.62,130.62,0.0,0.0
2019-06-30,132.18,132.18,132.18,0.0,0.0,132.34,132.34,132.34,0.0,0.0,131.28,131.28,131.28,0.0,0.0,131.29,131.29,131.29,0.0,0.0
2019-07-07,133.18,133.18,133.18,0.0,0.0,133.53,133.53,133.53,0.0,0.0,132.81,132.81,132.81,0.0,0.0,133.53,133.53,133.53,0.0,0.0
2019-07-14,134.56,134.56,134.56,0.0,0.0,134.82,134.82,134.82,0.0,0.0,134.32,134.32,134.32,0.0,0.0,134.45,134.45,134.45,0.0,0.0
2019-07-21,134.06,134.06,134.06,0.0,0.0,134.73,134.73,134.73,0.0,0.0,133.44,133.44,133.44,0.0,0.0,134.53,134.53,134.53,0.0,0.0
2019-07-28,137.93,137.93,137.93,0.0,0.0,138.64,138.64,138.64,0.0,0.0,137.05,137.05,137.05,0.0,0.0,137.79,137.79,137.79,0.0,0.0
2019-08-04,141.67,141.67,141.67,0.0,0.0,143.38,143.38,143.38,0.0,0.0,141.64,141.64,141.64,0.0,0.0,142.63,142.63,142.63,0.0,0.0
2019-08-11,141.33,141.33,141.33,0.0,0.0,141.79,141.79,141.79,0.0,0.0,140.85,140.85,140.85,0.0,0.0,141.11,141.11,141.11,0.0,0.0
2019-08-18,144.35,144.35,144.35,0.0,0.0,144.97,144.97,144.97,0.0,0.0,143.91,143.91,143.91,0.0,0.0,144.19,144.19,144.19,0.0,0.0
2019-08-25,143.84,143.84,143.84,0.0,0.0,144.88,144.88,144.88,0.0,0.0,143.02,143.02,143.02,0.0,0.0,143.75,143.75,143.75,0.0,0.0
2019-09-01,142.37,142.37,142.37,0.0,0.0,142.46,142.46,142.46,0.0,0.0,141.18,141.18,141.18,0.0,0.0,141.39,141.39,141.39,0.0,0.0
2019-09-08,141.6,141.6,141.6,0.0,0.0,142.05,142.05,142.05,0.0,0.0,141.02,141.02,141.02,0.0,0.0,141.32,141.32,141.32,0.0,0.0
2019-09-15,143.22,143.22,143.22,0.0,0.0,143.94,143.94,143.94,0.0,0.0,143.07,143.07,143.07,0.0,0.0,143.75,143.75,143.75,0.0,0.0
2019-09-22,139.77,139.77,139.77,0.0,0.0,140.21,140.21,140.21,0.0,0.0,138.03,138.03,138.03,0.0,0.0,138.87,138.87,138.87,0.0,0.0
2019-09-29,141.16,141.16,141.16,0.0,0.0,141.77,141.77,141.77,0.0,0.0,140.24,140.24,140.24,0.0,0.0,140.69,140.69,140.69,0.0,0.0
2019-10-06,140.45,140.45,140.45,0.0,0.0,140.82,140.82,140.82,0.0,0.0,140.34,140.34,140.34,0.0,0.0,140.59,140.59,140.59,0.0,0.0
2019-10-13,140.72,140.72,140.72,0.0,0.0,140.76,140.76,140.76,0.0,0.0,139.6,139.6,139.6,0.0,0.0,139.79,139.79,139.79,0.0,0.0
2019-10-20,141.25,141.25,141.25,0.0,0.0,141.25,141.25,141.25,0.0,0.0,140.4,140.4,140.4,0.0,0.0,140.64,140.64,140.64,0.0,0.0
2019-10-27,142.26,142.26,142.26,0.0,0.0,142.45,142.45,142.45,0.0,0.0,141.74,141.74,141.74,0.0,0.0,142.15,142.15,142.15,0.0,0.0
2019-11-03,137.61,137.61,137.61,0.0,0.0,137.79,137.79,137.79,0.0,0.0,136.44,136.44,136.44,0.0,0.0,137.06,137.06,137.06,0.0,0.0
2019-11-10,138.44,138.44,138.44,0.0,0.0,138.85,138.85,138.85,0.0,0.0,138.3,138.3,138.3,0.0,0.0,138.62,138.62,138.62,0.0,0.0
2019-11-17,137.32,137.32,137.32,0.0,0.0,137.62,137.62,137.62,0.0,0.0,136.99,136.99,136.99,0.0,0.0,137.08,137.08,137.08,0.0,0.0
2019-11-24,137.32,137.32,137.32,0.0,0.0,138.09,138.09,138.09,0.0,0.0,137.3,137.3,137.3,0.0,0.0,137.79,137.79,137.79,0.0,0.0
2019-12-01,137.8,137.8,137.8,0.0,0.0,137.81,137.81,137.81,0.0,0.0,137.45,137.45,137.45,0.0,0.0,137.58,137.58,137.58,0.0,0.0
2019-12-08,139.2,139.2,139.2,0.0,0.0,139.39,139.39,139.39,0.0,0.0,138.8,138.8,138.8,0.0,0.0,139.04,139.04,139.04,0.0,0.0
2019-12-15,139.53,139.53,139.53,0.0,0.0,139.96,139.96,139.96,0.0,0.0,139.53,139.53,139.53,0.0,0.0,139.95,139.95,139.95,0.0,0.0
2019-12-22,142.56,142.56,142.56,0.0,0.0,142.8,142.8,142.8,0.0,0.0,142.46,142.46,142.46,0.0,0.0,142.63,142.63,142.63,0.0,0.0
2019-12-29,145.75,145.75,145.75,0.0,0.0,146.32,146.32,146.32,0.0,0.0,145.4,145.4,145.4,0.0,0.0,145.86,145.86,145.86,0.0,0.0
