Date,FlexShares International Quality Dividend DynamicEtf_Open_average,FlexShares International Quality Dividend DynamicEtf_Open_max,FlexShares International Quality Dividend DynamicEtf_Open_min,FlexShares International Quality Dividend DynamicEtf_Open_volatility,FlexShares International Quality Dividend DynamicEtf_Open_change,FlexShares International Quality Dividend DynamicEtf_High_average,FlexShares International Quality Dividend DynamicEtf_High_max,FlexShares International Quality Dividend DynamicEtf_High_min,FlexShares International Quality Dividend DynamicEtf_High_volatility,FlexShares International Quality Dividend DynamicEtf_High_change,FlexShares International Quality Dividend DynamicEtf_Low_average,FlexShares International Quality Dividend DynamicEtf_Low_max,FlexShares International Quality Dividend DynamicEtf_Low_min,FlexShares International Quality Dividend DynamicEtf_Low_volatility,FlexShares International Quality Dividend DynamicEtf_Low_change,FlexShares International Quality Dividend DynamicEtf_Close_average,FlexShares International Quality Dividend DynamicEtf_Close_max,FlexShares International Quality Dividend DynamicEtf_Close_min,FlexShares International Quality Dividend DynamicEtf_Close_volatility,FlexShares International Quality Dividend DynamicEtf_Close_change
2018-03-25,28.06,28.06,28.06,0.0,0.0,28.23,28.23,28.23,0.0,0.0,28.06,28.06,28.06,0.0,0.0,28.19,28.19,28.19,0.0,0.0
2018-04-01,28.21,28.21,28.21,0.0,0.0,28.21,28.21,28.21,0.0,0.0,27.96,27.96,27.96,0.0,0.0,27.96,27.96,27.96,0.0,0.0
2018-04-08,28.28,28.28,28.28,0.0,0.0,28.37,28.37,28.37,0.0,0.0,28.28,28.28,28.28,0.0,0.0,28.28,28.28,28.28,0.0,0.0
2018-04-15,28.31,28.31,28.31,0.0,0.0,28.42,28.42,28.42,0.0,0.0,28.27,28.27,28.27,0.0,0.0,28.27,28.27,28.27,0.0,0.0
2018-04-22,28.32,28.32,28.32,0.0,0.0,29.28,29.28,29.28,0.0,0.0,28.32,28.32,28.32,0.0,0.0,28.37,28.37,28.37,0.0,0.0
2018-04-29,27.85,27.85,27.85,0.0,0.0,28.2,28.2,28.2,0.0,0.0,27.85,27.85,27.85,0.0,0.0,28.2,28.2,28.2,0.0,0.0
2018-05-06,28.46,28.46,28.46,0.0,0.0,28.46,28.46,28.46,0.0,0.0,28.43,28.43,28.43,0.0,0.0,28.43,28.43,28.43,0.0,0.0
2018-05-13,28.14,28.14,28.14,0.0,0.0,28.17,28.17,28.17,0.0,0.0,28.12,28.12,28.12,0.0,0.0,28.14,28.14,28.14,0.0,0.0
2018-05-20,27.68,27.68,27.68,0.0,0.0,27.68,27.68,27.68,0.0,0.0,27.68,27.68,27.68,0.0,0.0,27.68,27.68,27.68,0.0,0.0
2018-05-27,27.47,27.47,27.47,0.0,0.0,27.51,27.51,27.51,0.0,0.0,27.47,27.47,27.47,0.0,0.0,27.49,27.49,27.49,0.0,0.0
2018-06-03,27.56,27.56,27.56,0.0,0.0,27.63,27.63,27.63,0.0,0.0,27.52,27.52,27.52,0.0,0.0,27.63,27.63,27.63,0.0,0.0
2018-06-10,27.26,27.26,27.26,0.0,0.0,27.28,27.28,27.28,0.0,0.0,27.2,27.2,27.2,0.0,0.0,27.28,27.28,27.28,0.0,0.0
2018-06-17,26.47,26.47,26.47,0.0,0.0,26.53,26.53,26.53,0.0,0.0,26.47,26.47,26.47,0.0,0.0,26.47,26.47,26.47,0.0,0.0
2018-06-24,26.14,26.14,26.14,0.0,0.0,26.14,26.14,26.14,0.0,0.0,26.1,26.1,26.1,0.0,0.0,26.1,26.1,26.1,0.0,0.0
2018-07-01,26.35,26.35,26.35,0.0,0.0,26.37,26.37,26.37,0.0,0.0,26.33,26.33,26.33,0.0,0.0,26.33,26.33,26.33,0.0,0.0
2018-07-08,26.15,26.15,26.15,0.0,0.0,26.17,26.17,26.17,0.0,0.0,26.15,26.15,26.15,0.0,0.0,26.16,26.16,26.16,0.0,0.0
2018-07-15,26.02,26.02,26.02,0.0,0.0,26.09,26.09,26.09,0.0,0.0,26.02,26.02,26.02,0.0,0.0,26.02,26.02,26.02,0.0,0.0
2018-07-22,26.64,26.64,26.64,0.0,0.0,26.65,26.65,26.65,0.0,0.0,26.64,26.64,26.64,0.0,0.0,26.65,26.65,26.65,0.0,0.0
2018-07-29,26.36,26.36,26.36,0.0,0.0,26.36,26.36,26.36,0.0,0.0,26.36,26.36,26.36,0.0,0.0,26.36,26.36,26.36,0.0,0.0
2018-08-05,25.73,25.73,25.73,0.0,0.0,25.77,25.77,25.77,0.0,0.0,25.73,25.73,25.73,0.0,0.0,25.77,25.77,25.77,0.0,0.0
2018-08-12,25.41,25.41,25.41,0.0,0.0,25.42,25.42,25.42,0.0,0.0,25.38,25.38,25.38,0.0,0.0,25.42,25.42,25.42,0.0,0.0
2018-08-19,25.79,25.79,25.79,0.0,0.0,25.79,25.79,25.79,0.0,0.0,25.72,25.72,25.72,0.0,0.0,25.72,25.72,25.72,0.0,0.0
2018-08-26,25.62,25.62,25.62,0.0,0.0,25.62,25.62,25.62,0.0,0.0,25.5,25.5,25.5,0.0,0.0,25.57,25.57,25.57,0.0,0.0
2018-09-02,24.78,24.78,24.78,0.0,0.0,24.82,24.82,24.82,0.0,0.0,24.76,24.76,24.76,0.0,0.0,24.76,24.76,24.76,0.0,0.0
2018-09-09,25.15,25.15,25.15,0.0,0.0,25.19,25.19,25.19,0.0,0.0,25.07,25.07,25.07,0.0,0.0,25.07,25.07,25.07,0.0,0.0
2018-09-16,25.98,25.98,25.98,0.0,0.0,26.01,26.01,26.01,0.0,0.0,25.97,25.97,25.97,0.0,0.0,25.98,25.98,25.98,0.0,0.0
2018-09-23,25.43,25.43,25.43,0.0,0.0,25.5,25.5,25.5,0.0,0.0,25.43,25.43,25.43,0.0,0.0,25.5,25.5,25.5,0.0,0.0
2018-09-30,24.98,24.98,24.98,0.0,0.0,25.04,25.04,25.04,0.0,0.0,24.76,24.76,24.76,0.0,0.0,24.76,24.76,24.76,0.0,0.0
2018-10-07,23.67,23.67,23.67,0.0,0.0,23.68,23.68,23.68,0.0,0.0,23.67,23.67,23.67,0.0,0.0,23.68,23.68,23.68,0.0,0.0
2018-10-14,23.77,23.77,23.77,0.0,0.0,23.8,23.8,23.8,0.0,0.0,23.76,23.76,23.76,0.0,0.0,23.76,23.76,23.76,0.0,0.0
2018-10-21,22.82,22.82,22.82,0.0,0.0,22.95,22.95,22.95,0.0,0.0,22.64,22.64,22.64,0.0,0.0,22.86,22.86,22.86,0.0,0.0
2018-10-28,24.07,24.07,24.07,0.0,0.0,24.07,24.07,24.07,0.0,0.0,23.95,23.95,23.95,0.0,0.0,23.95,23.95,23.95,0.0,0.0
2018-11-04,23.68,23.68,23.68,0.0,0.0,23.7,23.7,23.7,0.0,0.0,23.68,23.68,23.68,0.0,0.0,23.7,23.7,23.7,0.0,0.0
2018-11-11,23.53,23.53,23.53,0.0,0.0,23.65,23.65,23.65,0.0,0.0,23.53,23.53,23.53,0.0,0.0,23.65,23.65,23.65,0.0,0.0
2018-11-18,23.19,23.19,23.19,0.0,0.0,23.3,23.3,23.3,0.0,0.0,23.19,23.19,23.19,0.0,0.0,23.22,23.22,23.22,0.0,0.0
2018-11-25,23.52,23.52,23.52,0.0,0.0,23.54,23.54,23.54,0.0,0.0,23.5,23.5,23.5,0.0,0.0,23.54,23.54,23.54,0.0,0.0
2018-12-02,22.9,22.9,22.9,0.0,0.0,23.05,23.05,23.05,0.0,0.0,22.65,22.65,22.65,0.0,0.0,22.65,22.65,22.65,0.0,0.0
2018-12-09,22.59,22.59,22.59,0.0,0.0,22.59,22.59,22.59,0.0,0.0,22.53,22.53,22.53,0.0,0.0,22.53,22.53,22.53,0.0,0.0
2018-12-16,21.65,21.65,21.65,0.0,0.0,21.65,21.65,21.65,0.0,0.0,21.32,21.32,21.32,0.0,0.0,21.38,21.38,21.38,0.0,0.0
2018-12-23,21.79,21.79,21.79,0.0,0.0,21.8,21.8,21.8,0.0,0.0,21.61,21.61,21.61,0.0,0.0,21.67,21.67,21.67,0.0,0.0
2018-12-30,21.78,21.78,21.78,0.0,0.0,22.16,22.16,22.16,0.0,0.0,21.78,21.78,21.78,0.0,0.0,22.16,22.16,22.16,0.0,0.0
2019-01-06,22.65,22.65,22.65,0.0,0.0,22.67,22.67,22.67,0.0,0.0,22.65,22.65,22.65,0.0,0.0,22.67,22.67,22.67,0.0,0.0
2019-01-13,23.16,23.16,23.16,0.0,0.0,23.23,23.23,23.23,0.0,0.0,23.16,23.16,23.16,0.0,0.0,23.22,23.22,23.22,0.0,0.0
2019-01-20,23.45,23.45,23.45,0.0,0.0,23.55,23.55,23.55,0.0,0.0,23.45,23.45,23.45,0.0,0.0,23.47,23.47,23.47,0.0,0.0
2019-01-27,23.88,23.88,23.88,0.0,0.0,23.97,23.97,23.97,0.0,0.0,23.88,23.88,23.88,0.0,0.0,23.88,23.88,23.88,0.0,0.0
2019-02-03,23.74,23.74,23.74,0.0,0.0,23.74,23.74,23.74,0.0,0.0,23.73,23.73,23.73,0.0,0.0,23.73,23.73,23.73,0.0,0.0
2019-02-10,24.07,24.07,24.07,0.0,0.0,24.29,24.29,24.29,0.0,0.0,24.07,24.07,24.07,0.0,0.0,24.16,24.16,24.16,0.0,0.0
2019-02-17,24.49,24.49,24.49,0.0,0.0,24.49,24.49,24.49,0.0,0.0,24.46,24.46,24.46,0.0,0.0,24.48,24.48,24.48,0.0,0.0
2019-02-24,24.55,24.55,24.55,0.0,0.0,24.62,24.62,24.62,0.0,0.0,24.55,24.55,24.55,0.0,0.0,24.61,24.61,24.61,0.0,0.0
2019-03-03,23.9,23.9,23.9,0.0,0.0,23.97,23.97,23.97,0.0,0.0,23.9,23.9,23.9,0.0,0.0,23.97,23.97,23.97,0.0,0.0
2019-03-10,24.59,24.59,24.59,0.0,0.0,24.66,24.66,24.66,0.0,0.0,24.56,24.56,24.56,0.0,0.0,24.6,24.6,24.6,0.0,0.0
2019-03-17,24.49,24.49,24.49,0.0,0.0,24.49,24.49,24.49,0.0,0.0,24.38,24.38,24.38,0.0,0.0,24.38,24.38,24.38,0.0,0.0
2019-03-24,24.62,24.62,24.62,0.0,0.0,24.63,24.63,24.63,0.0,0.0,24.62,24.62,24.62,0.0,0.0,24.63,24.63,24.63,0.0,0.0
2019-03-31,25.44,25.44,25.44,0.0,0.0,25.45,25.45,25.45,0.0,0.0,25.44,25.44,25.44,0.0,0.0,25.45,25.45,25.45,0.0,0.0
2019-04-07,25.48,25.48,25.48,0.0,0.0,25.49,25.49,25.49,0.0,0.0,25.48,25.48,25.48,0.0,0.0,25.49,25.49,25.49,0.0,0.0
2019-04-14,25.59,25.59,25.59,0.0,0.0,25.61,25.61,25.61,0.0,0.0,25.56,25.56,25.56,0.0,0.0,25.56,25.56,25.56,0.0,0.0
2019-04-21,25.08,25.08,25.08,0.0,0.0,25.12,25.12,25.12,0.0,0.0,25.08,25.08,25.08,0.0,0.0,25.12,25.12,25.12,0.0,0.0
2019-04-28,25.22,25.22,25.22,0.0,0.0,25.29,25.29,25.29,0.0,0.0,25.22,25.22,25.22,0.0,0.0,25.29,25.29,25.29,0.0,0.0
2019-05-05,24.03,24.03,24.03,0.0,0.0,24.3,24.3,24.3,0.0,0.0,24.03,24.03,24.03,0.0,0.0,24.3,24.3,24.3,0.0,0.0
2019-05-12,23.9,23.9,23.9,0.0,0.0,23.9,23.9,23.9,0.0,0.0,23.84,23.84,23.84,0.0,0.0,23.87,23.87,23.87,0.0,0.0
2019-05-19,23.68,23.68,23.68,0.0,0.0,23.75,23.75,23.75,0.0,0.0,23.68,23.68,23.68,0.0,0.0,23.72,23.72,23.72,0.0,0.0
2019-05-26,23.4,23.4,23.4,0.0,0.0,23.47,23.47,23.47,0.0,0.0,23.4,23.4,23.4,0.0,0.0,23.47,23.47,23.47,0.0,0.0
2019-06-02,24.06,24.06,24.06,0.0,0.0,24.07,24.07,24.07,0.0,0.0,24.05,24.05,24.05,0.0,0.0,24.05,24.05,24.05,0.0,0.0
2019-06-09,24.08,24.08,24.08,0.0,0.0,24.11,24.11,24.11,0.0,0.0,24.08,24.08,24.08,0.0,0.0,24.11,24.11,24.11,0.0,0.0
2019-06-16,24.42,24.42,24.42,0.0,0.0,24.43,24.43,24.43,0.0,0.0,24.39,24.39,24.39,0.0,0.0,24.43,24.43,24.43,0.0,0.0
2019-06-23,24.59,24.59,24.59,0.0,0.0,24.59,24.59,24.59,0.0,0.0,24.54,24.54,24.54,0.0,0.0,24.54,24.54,24.54,0.0,0.0
2019-06-30,24.68,24.68,24.68,0.0,0.0,24.76,24.76,24.76,0.0,0.0,24.68,24.68,24.68,0.0,0.0,24.76,24.76,24.76,0.0,0.0
2019-07-07,24.6,24.6,24.6,0.0,0.0,24.66,24.66,24.66,0.0,0.0,24.6,24.6,24.6,0.0,0.0,24.63,24.63,24.63,0.0,0.0
2019-07-14,24.57,24.57,24.57,0.0,0.0,24.6,24.6,24.6,0.0,0.0,24.53,24.53,24.53,0.0,0.0,24.53,24.53,24.53,0.0,0.0
2019-07-21,24.51,24.51,24.51,0.0,0.0,24.52,24.52,24.52,0.0,0.0,24.5,24.5,24.5,0.0,0.0,24.51,24.51,24.51,0.0,0.0
2019-07-28,23.59,23.59,23.59,0.0,0.0,23.59,23.59,23.59,0.0,0.0,23.5,23.5,23.5,0.0,0.0,23.56,23.56,23.56,0.0,0.0
2019-08-04,23.14,23.14,23.14,0.0,0.0,23.19,23.19,23.19,0.0,0.0,23.14,23.14,23.14,0.0,0.0,23.19,23.19,23.19,0.0,0.0
2019-08-11,22.79,22.79,22.79,0.0,0.0,22.94,22.94,22.94,0.0,0.0,22.79,22.79,22.79,0.0,0.0,22.92,22.92,22.92,0.0,0.0
2019-08-18,23.03,23.03,23.03,0.0,0.0,23.05,23.05,23.05,0.0,0.0,22.8,22.8,22.8,0.0,0.0,22.8,22.8,22.8,0.0,0.0
2019-08-25,23.3,23.3,23.3,0.0,0.0,23.3,23.3,23.3,0.0,0.0,23.22,23.22,23.22,0.0,0.0,23.28,23.28,23.28,0.0,0.0
2019-09-01,23.95,23.95,23.95,0.0,0.0,23.96,23.96,23.96,0.0,0.0,23.95,23.95,23.95,0.0,0.0,23.96,23.96,23.96,0.0,0.0
2019-09-08,24.74,24.74,24.74,0.0,0.0,24.77,24.77,24.77,0.0,0.0,24.74,24.74,24.74,0.0,0.0,24.77,24.77,24.77,0.0,0.0
2019-09-15,24.33,24.33,24.33,0.0,0.0,24.33,24.33,24.33,0.0,0.0,24.27,24.27,24.27,0.0,0.0,24.27,24.27,24.27,0.0,0.0
2019-09-22,23.92,23.92,23.92,0.0,0.0,23.94,23.94,23.94,0.0,0.0,23.79,23.79,23.79,0.0,0.0,23.81,23.81,23.81,0.0,0.0
2019-09-29,23.69,23.69,23.69,0.0,0.0,23.69,23.69,23.69,0.0,0.0,23.69,23.69,23.69,0.0,0.0,23.69,23.69,23.69,0.0,0.0
2019-10-06,24.26,24.26,24.26,0.0,0.0,24.35,24.35,24.35,0.0,0.0,24.26,24.26,24.26,0.0,0.0,24.26,24.26,24.26,0.0,0.0
2019-10-13,24.5,24.5,24.5,0.0,0.0,24.54,24.54,24.54,0.0,0.0,24.49,24.49,24.49,0.0,0.0,24.5,24.5,24.5,0.0,0.0
2019-10-20,24.8,24.8,24.8,0.0,0.0,24.85,24.85,24.85,0.0,0.0,24.8,24.8,24.8,0.0,0.0,24.85,24.85,24.85,0.0,0.0
2019-10-27,25.19,25.19,25.19,0.0,0.0,25.23,25.23,25.23,0.0,0.0,25.19,25.19,25.19,0.0,0.0,25.21,25.21,25.21,0.0,0.0
2019-11-03,25.53,25.53,25.53,0.0,0.0,25.62,25.62,25.62,0.0,0.0,25.53,25.53,25.53,0.0,0.0,25.6,25.6,25.6,0.0,0.0
2019-11-10,25.37,25.37,25.37,0.0,0.0,25.41,25.41,25.41,0.0,0.0,25.3,25.3,25.3,0.0,0.0,25.41,25.41,25.41,0.0,0.0
2019-11-17,25.19,25.19,25.19,0.0,0.0,25.24,25.24,25.24,0.0,0.0,25.19,25.19,25.19,0.0,0.0,25.22,25.22,25.22,0.0,0.0
2019-11-24,25.23,25.23,25.23,0.0,0.0,25.24,25.24,25.24,0.0,0.0,25.04,25.04,25.04,0.0,0.0,25.08,25.08,25.08,0.0,0.0
2019-12-01,25.45,25.45,25.45,0.0,0.0,25.46,25.46,25.46,0.0,0.0,25.42,25.42,25.42,0.0,0.0,25.45,25.45,25.45,0.0,0.0
2019-12-08,26.17,26.17,26.17,0.0,0.0,26.22,26.22,26.22,0.0,0.0,26.08,26.08,26.08,0.0,0.0,26.14,26.14,26.14,0.0,0.0
2019-12-15,26.29,26.29,26.29,0.0,0.0,26.29,26.29,26.29,0.0,0.0,26.27,26.27,26.27,0.0,0.0,26.27,26.27,26.27,0.0,0.0
2019-12-22,26.55,26.55,26.55,0.0,0.0,26.55,26.55,26.55,0.0,0.0,26.54,26.54,26.54,0.0,0.0,26.54,26.54,26.54,0.0,0.0
2019-12-29,26.58,26.58,26.58,0.0,0.0,26.64,26.64,26.64,0.0,0.0,26.53,26.53,26.53,0.0,0.0,26.53,26.53,26.53,0.0,0.0
