Date,ProShares VIX Short-Term Futures_Open_average,ProShares VIX Short-Term Futures_Open_max,ProShares VIX Short-Term Futures_Open_min,ProShares VIX Short-Term Futures_Open_volatility,ProShares VIX Short-Term Futures_Open_change,ProShares VIX Short-Term Futures_High_average,ProShares VIX Short-Term Futures_High_max,ProShares VIX Short-Term Futures_High_min,ProShares VIX Short-Term Futures_High_volatility,ProShares VIX Short-Term Futures_High_change,ProShares VIX Short-Term Futures_Low_average,ProShares VIX Short-Term Futures_Low_max,ProShares VIX Short-Term Futures_Low_min,ProShares VIX Short-Term Futures_Low_volatility,ProShares VIX Short-Term Futures_Low_change,ProShares VIX Short-Term Futures_Close_average,ProShares VIX Short-Term Futures_Close_max,ProShares VIX Short-Term Futures_Close_min,ProShares VIX Short-Term Futures_Close_volatility,ProShares VIX Short-Term Futures_Close_change
2018-08-12,23.79,23.79,23.79,0.0,0.0,24.03,24.03,24.03,0.0,0.0,23.64,23.64,23.64,0.0,0.0,23.83,23.83,23.83,0.0,0.0
2018-08-19,23.41,23.41,23.41,0.0,0.0,23.83,23.83,23.83,0.0,0.0,23.35,23.35,23.35,0.0,0.0,23.82,23.82,23.82,0.0,0.0
2018-08-26,24.54,24.54,24.54,0.0,0.0,24.63,24.63,24.63,0.0,0.0,23.78,23.78,23.78,0.0,0.0,23.94,23.94,23.94,0.0,0.0
2018-09-02,24.92,24.92,24.92,0.0,0.0,25.02,25.02,25.02,0.0,0.0,24.55,24.55,24.55,0.0,0.0,24.73,24.73,24.73,0.0,0.0
2018-09-09,22.51,22.51,22.51,0.0,0.0,23.25,23.25,23.25,0.0,0.0,22.41,22.41,22.41,0.0,0.0,23.17,23.17,23.17,0.0,0.0
2018-09-16,22.1,22.1,22.1,0.0,0.0,22.52,22.52,22.52,0.0,0.0,21.9,21.9,21.9,0.0,0.0,21.97,21.97,21.97,0.0,0.0
2018-09-23,21.4,21.4,21.4,0.0,0.0,22.01,22.01,22.01,0.0,0.0,21.27,21.27,21.27,0.0,0.0,21.71,21.71,21.71,0.0,0.0
2018-09-30,24.0,24.0,24.0,0.0,0.0,25.14,25.14,25.14,0.0,0.0,23.45,23.45,23.45,0.0,0.0,23.59,23.59,23.59,0.0,0.0
2018-10-07,28.72,28.72,28.72,0.0,0.0,29.36,29.36,29.36,0.0,0.0,27.7,27.7,27.7,0.0,0.0,28.41,28.41,28.41,0.0,0.0
2018-10-14,28.02,28.02,28.02,0.0,0.0,29.66,29.66,29.66,0.0,0.0,27.97,27.97,27.97,0.0,0.0,28.44,28.44,28.44,0.0,0.0
2018-10-21,31.82,31.82,31.82,0.0,0.0,34.72,34.72,34.72,0.0,0.0,31.26,31.26,31.26,0.0,0.0,33.12,33.12,33.12,0.0,0.0
2018-10-28,30.23,30.23,30.23,0.0,0.0,30.44,30.44,30.44,0.0,0.0,29.55,29.55,29.55,0.0,0.0,29.84,29.84,29.84,0.0,0.0
2018-11-04,27.46,27.46,27.46,0.0,0.0,29.84,29.84,29.84,0.0,0.0,27.36,27.36,27.36,0.0,0.0,29.65,29.65,29.65,0.0,0.0
2018-11-11,28.96,28.96,28.96,0.0,0.0,30.83,30.83,30.83,0.0,0.0,28.74,28.74,28.74,0.0,0.0,30.67,30.67,30.67,0.0,0.0
2018-11-18,31.13,31.13,31.13,0.0,0.0,31.19,31.19,31.19,0.0,0.0,30.05,30.05,30.05,0.0,0.0,30.07,30.07,30.07,0.0,0.0
2018-11-25,26.35,26.35,26.35,0.0,0.0,27.15,27.15,27.15,0.0,0.0,26.19,26.19,26.19,0.0,0.0,26.82,26.82,26.82,0.0,0.0
2018-12-02,33.23,33.23,33.23,0.0,0.0,34.9,34.9,34.9,0.0,0.0,32.61,32.61,32.61,0.0,0.0,33.07,33.07,33.07,0.0,0.0
2018-12-09,33.74,33.74,33.74,0.0,0.0,35.73,35.73,35.73,0.0,0.0,32.0,32.0,32.0,0.0,0.0,35.08,35.08,35.08,0.0,0.0
2018-12-16,39.2,39.2,39.2,0.0,0.0,40.68,40.68,40.68,0.0,0.0,39.05,39.05,39.05,0.0,0.0,40.68,40.68,40.68,0.0,0.0
2018-12-23,39.06,39.06,39.06,0.0,0.0,39.57,39.57,39.57,0.0,0.0,38.58,38.58,38.58,0.0,0.0,38.61,38.61,38.61,0.0,0.0
2018-12-30,35.78,35.78,35.78,0.0,0.0,36.31,36.31,36.31,0.0,0.0,34.84,34.84,34.84,0.0,0.0,35.31,35.31,35.31,0.0,0.0
2019-01-06,33.19,33.19,33.19,0.0,0.0,33.26,33.26,33.26,0.0,0.0,31.94,31.94,31.94,0.0,0.0,32.46,32.46,32.46,0.0,0.0
2019-01-13,30.38,30.38,30.38,0.0,0.0,30.81,30.81,30.81,0.0,0.0,29.89,29.89,29.89,0.0,0.0,30.45,30.45,30.45,0.0,0.0
2019-01-20,31.78,31.78,31.78,0.0,0.0,32.89,32.89,32.89,0.0,0.0,31.71,31.71,31.71,0.0,0.0,31.95,31.95,31.95,0.0,0.0
2019-01-27,28.75,28.75,28.75,0.0,0.0,28.91,28.91,28.91,0.0,0.0,27.82,27.82,27.82,0.0,0.0,27.95,27.95,27.95,0.0,0.0
2019-02-03,27.82,27.82,27.82,0.0,0.0,28.28,28.28,28.28,0.0,0.0,27.57,27.57,27.57,0.0,0.0,27.85,27.85,27.85,0.0,0.0
2019-02-10,27.21,27.21,27.21,0.0,0.0,27.42,27.42,27.42,0.0,0.0,26.76,26.76,26.76,0.0,0.0,26.81,26.81,26.81,0.0,0.0
2019-02-17,24.51,24.51,24.51,0.0,0.0,25.61,25.61,25.61,0.0,0.0,24.31,24.31,24.31,0.0,0.0,25.6,25.6,25.6,0.0,0.0
2019-02-24,24.36,24.36,24.36,0.0,0.0,26.56,26.56,26.56,0.0,0.0,24.06,24.06,24.06,0.0,0.0,25.27,25.27,25.27,0.0,0.0
2019-03-03,26.8,26.8,26.8,0.0,0.0,26.8,26.8,26.8,0.0,0.0,25.25,25.25,25.25,0.0,0.0,25.34,25.34,25.34,0.0,0.0
2019-03-10,23.68,23.68,23.68,0.0,0.0,24.05,24.05,24.05,0.0,0.0,23.37,23.37,23.37,0.0,0.0,23.56,23.56,23.56,0.0,0.0
2019-03-17,26.36,26.36,26.36,0.0,0.0,27.13,27.13,27.13,0.0,0.0,25.86,25.86,25.86,0.0,0.0,26.4,26.4,26.4,0.0,0.0
2019-03-24,23.81,23.81,23.81,0.0,0.0,23.98,23.98,23.98,0.0,0.0,23.55,23.55,23.55,0.0,0.0,23.62,23.62,23.62,0.0,0.0
2019-03-31,23.1,23.1,23.1,0.0,0.0,23.24,23.24,23.24,0.0,0.0,22.86,22.86,22.86,0.0,0.0,22.91,22.91,22.91,0.0,0.0
2019-04-07,21.25,21.25,21.25,0.0,0.0,22.16,22.16,22.16,0.0,0.0,21.22,21.22,21.22,0.0,0.0,21.3,21.3,21.3,0.0,0.0
2019-04-14,21.16,21.16,21.16,0.0,0.0,21.33,21.33,21.33,0.0,0.0,20.74,20.74,20.74,0.0,0.0,20.76,20.76,20.76,0.0,0.0
2019-04-21,20.92,20.92,20.92,0.0,0.0,21.11,21.11,21.11,0.0,0.0,20.75,20.75,20.75,0.0,0.0,21.09,21.09,21.09,0.0,0.0
2019-04-28,22.98,22.98,22.98,0.0,0.0,23.19,23.19,23.19,0.0,0.0,21.92,21.92,21.92,0.0,0.0,22.01,22.01,22.01,0.0,0.0
2019-05-05,26.12,26.12,26.12,0.0,0.0,26.8,26.8,26.8,0.0,0.0,25.34,25.34,25.34,0.0,0.0,26.61,26.61,26.61,0.0,0.0
2019-05-12,24.07,24.07,24.07,0.0,0.0,24.5,24.5,24.5,0.0,0.0,23.35,23.35,23.35,0.0,0.0,23.79,23.79,23.79,0.0,0.0
2019-05-19,23.18,23.18,23.18,0.0,0.0,23.67,23.67,23.67,0.0,0.0,22.94,22.94,22.94,0.0,0.0,23.36,23.36,23.36,0.0,0.0
2019-05-26,24.99,24.99,24.99,0.0,0.0,25.82,25.82,25.82,0.0,0.0,24.52,24.52,24.52,0.0,0.0,25.23,25.23,25.23,0.0,0.0
2019-06-02,22.76,22.76,22.76,0.0,0.0,23.2,23.2,23.2,0.0,0.0,22.69,22.69,22.69,0.0,0.0,22.86,22.86,22.86,0.0,0.0
2019-06-09,22.44,22.44,22.44,0.0,0.0,22.5,22.5,22.5,0.0,0.0,22.12,22.12,22.12,0.0,0.0,22.22,22.22,22.22,0.0,0.0
2019-06-16,21.72,21.72,21.72,0.0,0.0,21.79,21.79,21.79,0.0,0.0,21.51,21.51,21.51,0.0,0.0,21.68,21.68,21.68,0.0,0.0
2019-06-23,20.26,20.26,20.26,0.0,0.0,20.61,20.61,20.61,0.0,0.0,20.1,20.1,20.1,0.0,0.0,20.17,20.17,20.17,0.0,0.0
2019-06-30,19.87,19.87,19.87,0.0,0.0,20.11,20.11,20.11,0.0,0.0,19.66,19.66,19.66,0.0,0.0,19.91,19.91,19.91,0.0,0.0
2019-07-07,18.68,18.68,18.68,0.0,0.0,18.84,18.84,18.84,0.0,0.0,18.58,18.58,18.58,0.0,0.0,18.69,18.69,18.69,0.0,0.0
2019-07-14,19.19,19.19,19.19,0.0,0.0,19.3,19.3,19.3,0.0,0.0,18.7,18.7,18.7,0.0,0.0,18.82,18.82,18.82,0.0,0.0
2019-07-21,17.81,17.81,17.81,0.0,0.0,18.09,18.09,18.09,0.0,0.0,17.75,17.75,17.75,0.0,0.0,17.92,17.92,17.92,0.0,0.0
2019-07-28,22.61,22.61,22.61,0.0,0.0,24.34,24.34,24.34,0.0,0.0,22.45,22.45,22.45,0.0,0.0,24.15,24.15,24.15,0.0,0.0
2019-08-04,22.55,22.55,22.55,0.0,0.0,23.84,23.84,23.84,0.0,0.0,22.42,22.42,22.42,0.0,0.0,23.76,23.76,23.76,0.0,0.0
2019-08-11,22.05,22.05,22.05,0.0,0.0,22.2,22.2,22.2,0.0,0.0,21.3,21.3,21.3,0.0,0.0,21.35,21.35,21.35,0.0,0.0
2019-08-18,22.62,22.62,22.62,0.0,0.0,23.81,23.81,23.81,0.0,0.0,22.62,22.62,22.62,0.0,0.0,23.15,23.15,23.15,0.0,0.0
2019-08-25,21.69,21.69,21.69,0.0,0.0,22.72,22.72,22.72,0.0,0.0,21.65,21.65,21.65,0.0,0.0,22.12,22.12,22.12,0.0,0.0
2019-09-01,19.95,19.95,19.95,0.0,0.0,20.67,20.67,20.67,0.0,0.0,19.92,19.92,19.92,0.0,0.0,20.12,20.12,20.12,0.0,0.0
2019-09-08,19.34,19.34,19.34,0.0,0.0,19.46,19.46,19.46,0.0,0.0,18.93,18.93,18.93,0.0,0.0,19.25,19.25,19.25,0.0,0.0
2019-09-15,19.17,19.17,19.17,0.0,0.0,19.25,19.25,19.25,0.0,0.0,18.67,18.67,18.67,0.0,0.0,18.97,18.97,18.97,0.0,0.0
2019-09-22,19.9,19.9,19.9,0.0,0.0,19.92,19.92,19.92,0.0,0.0,19.31,19.31,19.31,0.0,0.0,19.52,19.52,19.52,0.0,0.0
2019-09-29,20.15,20.15,20.15,0.0,0.0,20.29,20.29,20.29,0.0,0.0,19.55,19.55,19.55,0.0,0.0,20.0,20.0,20.0,0.0,0.0
2019-10-06,19.02,19.02,19.02,0.0,0.0,19.02,19.02,19.02,0.0,0.0,18.28,18.28,18.28,0.0,0.0,18.32,18.32,18.32,0.0,0.0
2019-10-13,17.27,17.27,17.27,0.0,0.0,17.33,17.33,17.33,0.0,0.0,17.0,17.0,17.0,0.0,0.0,17.0,17.0,17.0,0.0,0.0
2019-10-20,16.2,16.2,16.2,0.0,0.0,16.48,16.48,16.48,0.0,0.0,16.16,16.16,16.16,0.0,0.0,16.43,16.43,16.43,0.0,0.0
2019-10-27,15.29,15.29,15.29,0.0,0.0,15.67,15.67,15.67,0.0,0.0,15.25,15.25,15.25,0.0,0.0,15.56,15.56,15.56,0.0,0.0
2019-11-03,15.65,15.65,15.65,0.0,0.0,15.68,15.68,15.68,0.0,0.0,15.12,15.12,15.12,0.0,0.0,15.28,15.28,15.28,0.0,0.0
2019-11-10,14.34,14.34,14.34,0.0,0.0,14.46,14.46,14.46,0.0,0.0,14.2,14.2,14.2,0.0,0.0,14.3,14.3,14.3,0.0,0.0
2019-11-17,13.88,13.88,13.88,0.0,0.0,13.89,13.89,13.89,0.0,0.0,13.52,13.52,13.52,0.0,0.0,13.57,13.57,13.57,0.0,0.0
2019-11-24,13.55,13.55,13.55,0.0,0.0,14.48,14.48,14.48,0.0,0.0,13.53,13.53,13.53,0.0,0.0,14.31,14.31,14.31,0.0,0.0
2019-12-01,13.82,13.82,13.82,0.0,0.0,14.48,14.48,14.48,0.0,0.0,13.75,13.75,13.75,0.0,0.0,14.47,14.47,14.47,0.0,0.0
2019-12-08,12.36,12.36,12.36,0.0,0.0,12.51,12.51,12.51,0.0,0.0,12.25,12.25,12.25,0.0,0.0,12.49,12.49,12.49,0.0,0.0
2019-12-15,12.35,12.35,12.35,0.0,0.0,12.44,12.44,12.44,0.0,0.0,12.31,12.31,12.31,0.0,0.0,12.41,12.41,12.41,0.0,0.0
2019-12-22,12.64,12.64,12.64,0.0,0.0,13.12,13.12,13.12,0.0,0.0,12.61,12.61,12.61,0.0,0.0,12.97,12.97,12.97,0.0,0.0
2019-12-29,12.9,12.9,12.9,0.0,0.0,12.93,12.93,12.93,0.0,0.0,12.29,12.29,12.29,0.0,0.0,12.55,12.55,12.55,0.0,0.0
