Date,Guggenheim CurrencyShares Australian Dollar_Open_average,Guggenheim CurrencyShares Australian Dollar_Open_max,Guggenheim CurrencyShares Australian Dollar_Open_min,Guggenheim CurrencyShares Australian Dollar_Open_volatility,Guggenheim CurrencyShares Australian Dollar_Open_change,Guggenheim CurrencyShares Australian Dollar_High_average,Guggenheim CurrencyShares Australian Dollar_High_max,Guggenheim CurrencyShares Australian Dollar_High_min,Guggenheim CurrencyShares Australian Dollar_High_volatility,Guggenheim CurrencyShares Australian Dollar_High_change,Guggenheim CurrencyShares Australian Dollar_Low_average,Guggenheim CurrencyShares Australian Dollar_Low_max,Guggenheim CurrencyShares Australian Dollar_Low_min,Guggenheim CurrencyShares Australian Dollar_Low_volatility,Guggenheim CurrencyShares Australian Dollar_Low_change,Guggenheim CurrencyShares Australian Dollar_Close_average,Guggenheim CurrencyShares Australian Dollar_Close_max,Guggenheim CurrencyShares Australian Dollar_Close_min,Guggenheim CurrencyShares Australian Dollar_Close_volatility,Guggenheim CurrencyShares Australian Dollar_Close_change
2018-06-17,74.25,74.25,74.25,0.0,0.0,74.25,74.25,74.25,0.0,0.0,74.03,74.03,74.03,0.0,0.0,74.1,74.1,74.1,0.0,0.0
2018-06-24,73.42,73.42,73.42,0.0,0.0,73.42,73.42,73.42,0.0,0.0,73.1,73.1,73.1,0.0,0.0,73.3,73.3,73.3,0.0,0.0
2018-07-01,74.77,74.77,74.77,0.0,0.0,74.85,74.85,74.85,0.0,0.0,74.59,74.59,74.59,0.0,0.0,74.67,74.67,74.67,0.0,0.0
2018-07-08,74.24,74.24,74.24,0.0,0.0,74.39,74.39,74.39,0.0,0.0,74.19,74.19,74.19,0.0,0.0,74.25,74.25,74.25,0.0,0.0
2018-07-15,73.98,73.98,73.98,0.0,0.0,73.98,73.98,73.98,0.0,0.0,73.79,73.79,73.79,0.0,0.0,73.87,73.87,73.87,0.0,0.0
2018-07-22,74.04,74.04,74.04,0.0,0.0,74.18,74.18,74.18,0.0,0.0,74.04,74.04,74.04,0.0,0.0,74.15,74.15,74.15,0.0,0.0
2018-07-29,73.75,73.75,73.75,0.0,0.0,73.91,73.91,73.91,0.0,0.0,73.75,73.75,73.75,0.0,0.0,73.88,73.88,73.88,0.0,0.0
2018-08-05,72.89,72.89,72.89,0.0,0.0,72.92,72.92,72.92,0.0,0.0,72.62,72.62,72.62,0.0,0.0,72.63,72.63,72.63,0.0,0.0
2018-08-12,73.1,73.1,73.1,0.0,0.0,73.34,73.34,73.34,0.0,0.0,73.09,73.09,73.09,0.0,0.0,73.34,73.34,73.34,0.0,0.0
2018-08-19,73.35,73.35,73.35,0.0,0.0,73.57,73.57,73.57,0.0,0.0,73.35,73.35,73.35,0.0,0.0,73.53,73.53,73.53,0.0,0.0
2018-08-26,72.17,72.17,72.17,0.0,0.0,72.31,72.31,72.31,0.0,0.0,71.85,71.85,71.85,0.0,0.0,71.96,71.96,71.96,0.0,0.0
2018-09-02,71.32,71.32,71.32,0.0,0.0,71.32,71.32,71.32,0.0,0.0,71.14,71.14,71.14,0.0,0.0,71.16,71.16,71.16,0.0,0.0
2018-09-09,71.89,71.89,71.89,0.0,0.0,72.0,72.0,72.0,0.0,0.0,71.83,71.83,71.83,0.0,0.0,71.83,71.83,71.83,0.0,0.0
2018-09-16,72.77,72.77,72.77,0.0,0.0,72.84,72.84,72.84,0.0,0.0,72.62,72.62,72.62,0.0,0.0,72.62,72.62,72.62,0.0,0.0
2018-09-23,72.09,72.09,72.09,0.0,0.0,72.31,72.31,72.31,0.0,0.0,72.09,72.09,72.09,0.0,0.0,72.29,72.29,72.29,0.0,0.0
2018-09-30,70.33,70.33,70.33,0.0,0.0,70.81,70.81,70.81,0.0,0.0,70.33,70.33,70.33,0.0,0.0,70.78,70.78,70.78,0.0,0.0
2018-10-07,71.37,71.37,71.37,0.0,0.0,71.48,71.48,71.48,0.0,0.0,71.33,71.33,71.33,0.0,0.0,71.33,71.33,71.33,0.0,0.0
2018-10-14,71.13,71.13,71.13,0.0,0.0,71.13,71.13,71.13,0.0,0.0,70.87,70.87,70.87,0.0,0.0,70.89,70.89,70.89,0.0,0.0
2018-10-21,70.96,70.96,70.96,0.0,0.0,70.98,70.98,70.98,0.0,0.0,70.62,70.62,70.62,0.0,0.0,70.69,70.69,70.69,0.0,0.0
2018-10-28,72.12,72.12,72.12,0.0,0.0,72.17,72.17,72.17,0.0,0.0,71.92,71.92,71.92,0.0,0.0,72.03,72.03,72.03,0.0,0.0
2018-11-04,72.02,72.02,72.02,0.0,0.0,72.06,72.06,72.06,0.0,0.0,71.81,71.81,71.81,0.0,0.0,71.81,71.81,71.81,0.0,0.0
2018-11-11,73.0,73.0,73.0,0.0,0.0,73.06,73.06,73.06,0.0,0.0,72.82,72.82,72.82,0.0,0.0,72.94,72.94,72.94,0.0,0.0
2018-11-18,72.43,72.43,72.43,0.0,0.0,72.5,72.5,72.5,0.0,0.0,72.32,72.32,72.32,0.0,0.0,72.33,72.33,72.33,0.0,0.0
2018-11-25,73.73,73.73,73.73,0.0,0.0,73.77,73.77,73.77,0.0,0.0,73.48,73.48,73.48,0.0,0.0,73.59,73.59,73.59,0.0,0.0
2018-12-02,72.07,72.07,72.07,0.0,0.0,72.12,72.12,72.12,0.0,0.0,71.7,71.7,71.7,0.0,0.0,71.92,71.92,71.92,0.0,0.0
2018-12-09,71.84,71.84,71.84,0.0,0.0,71.89,71.89,71.89,0.0,0.0,71.75,71.75,71.75,0.0,0.0,71.77,71.77,71.77,0.0,0.0
2018-12-16,70.5,70.5,70.5,0.0,0.0,70.59,70.59,70.59,0.0,0.0,70.46,70.46,70.46,0.0,0.0,70.49,70.49,70.49,0.0,0.0
2018-12-23,70.42,70.42,70.42,0.0,0.0,70.52,70.52,70.52,0.0,0.0,70.42,70.42,70.42,0.0,0.0,70.45,70.45,70.45,0.0,0.0
2018-12-30,71.38,71.38,71.38,0.0,0.0,71.51,71.51,71.51,0.0,0.0,71.31,71.31,71.31,0.0,0.0,71.45,71.45,71.45,0.0,0.0
2019-01-06,71.91,71.91,71.91,0.0,0.0,72.07,72.07,72.07,0.0,0.0,71.91,71.91,71.91,0.0,0.0,71.98,71.98,71.98,0.0,0.0
2019-01-13,71.85,71.85,71.85,0.0,0.0,71.92,71.92,71.92,0.0,0.0,71.66,71.66,71.66,0.0,0.0,71.71,71.71,71.71,0.0,0.0
2019-01-20,71.75,71.75,71.75,0.0,0.0,71.75,71.75,71.75,0.0,0.0,71.67,71.67,71.67,0.0,0.0,71.7,71.7,71.7,0.0,0.0
2019-01-27,72.2,72.2,72.2,0.0,0.0,72.27,72.27,72.27,0.0,0.0,72.01,72.01,72.01,0.0,0.0,72.24,72.24,72.24,0.0,0.0
2019-02-03,70.62,70.62,70.62,0.0,0.0,70.76,70.76,70.76,0.0,0.0,70.61,70.61,70.61,0.0,0.0,70.68,70.68,70.68,0.0,0.0
2019-02-10,71.25,71.25,71.25,0.0,0.0,71.48,71.48,71.48,0.0,0.0,71.24,71.24,71.24,0.0,0.0,71.4,71.4,71.4,0.0,0.0
2019-02-17,71.77,71.77,71.77,0.0,0.0,71.86,71.86,71.86,0.0,0.0,71.71,71.71,71.71,0.0,0.0,71.76,71.76,71.76,0.0,0.0
2019-02-24,70.8,70.8,70.8,0.0,0.0,70.89,70.89,70.89,0.0,0.0,70.74,70.74,70.74,0.0,0.0,70.85,70.85,70.85,0.0,0.0
2019-03-03,70.53,70.53,70.53,0.0,0.0,70.72,70.72,70.72,0.0,0.0,70.53,70.53,70.53,0.0,0.0,70.63,70.63,70.63,0.0,0.0
2019-03-10,70.92,70.92,70.92,0.0,0.0,71.06,71.06,71.06,0.0,0.0,70.84,70.84,70.84,0.0,0.0,71.01,71.01,71.01,0.0,0.0
2019-03-17,71.1,71.1,71.1,0.0,0.0,71.2,71.2,71.2,0.0,0.0,70.95,70.95,70.95,0.0,0.0,71.15,71.15,71.15,0.0,0.0
2019-03-24,71.25,71.25,71.25,0.0,0.0,71.25,71.25,71.25,0.0,0.0,71.07,71.07,71.07,0.0,0.0,71.13,71.13,71.13,0.0,0.0
2019-03-31,71.27,71.27,71.27,0.0,0.0,71.29,71.29,71.29,0.0,0.0,71.21,71.21,71.21,0.0,0.0,71.29,71.29,71.29,0.0,0.0
2019-04-07,71.74,71.74,71.74,0.0,0.0,71.8,71.8,71.8,0.0,0.0,71.7,71.7,71.7,0.0,0.0,71.72,71.72,71.72,0.0,0.0
2019-04-14,71.37,71.37,71.37,0.0,0.0,71.4,71.4,71.4,0.0,0.0,71.34,71.34,71.34,0.0,0.0,71.34,71.34,71.34,0.0,0.0
2019-04-21,70.56,70.56,70.56,0.0,0.0,70.62,70.62,70.62,0.0,0.0,70.54,70.54,70.54,0.0,0.0,70.62,70.62,70.62,0.0,0.0
2019-04-28,69.81,69.81,69.81,0.0,0.0,70.01,70.01,70.01,0.0,0.0,69.81,69.81,69.81,0.0,0.0,70.01,70.01,70.01,0.0,0.0
2019-05-05,69.67,69.67,69.67,0.0,0.0,69.68,69.68,69.68,0.0,0.0,69.45,69.45,69.45,0.0,0.0,69.49,69.49,69.49,0.0,0.0
2019-05-12,69.1,69.1,69.1,0.0,0.0,69.2,69.2,69.2,0.0,0.0,69.01,69.01,69.01,0.0,0.0,69.1,69.1,69.1,0.0,0.0
2019-05-19,69.19,69.19,69.19,0.0,0.0,69.33,69.33,69.33,0.0,0.0,69.13,69.13,69.13,0.0,0.0,69.33,69.33,69.33,0.0,0.0
2019-05-26,69.43,69.43,69.43,0.0,0.0,69.82,69.82,69.82,0.0,0.0,69.43,69.43,69.43,0.0,0.0,69.72,69.72,69.72,0.0,0.0
2019-06-02,69.6,69.6,69.6,0.0,0.0,69.65,69.65,69.65,0.0,0.0,69.53,69.53,69.53,0.0,0.0,69.53,69.53,69.53,0.0,0.0
2019-06-09,68.67,68.67,68.67,0.0,0.0,68.67,68.67,68.67,0.0,0.0,68.53,68.53,68.53,0.0,0.0,68.54,68.54,68.54,0.0,0.0
2019-06-16,69.57,69.57,69.57,0.0,0.0,69.69,69.69,69.69,0.0,0.0,69.5,69.5,69.5,0.0,0.0,69.67,69.67,69.67,0.0,0.0
2019-06-23,69.93,69.93,69.93,0.0,0.0,69.93,69.93,69.93,0.0,0.0,69.57,69.57,69.57,0.0,0.0,69.6,69.6,69.6,0.0,0.0
2019-06-30,69.75,69.75,69.75,0.0,0.0,69.75,69.75,69.75,0.0,0.0,69.72,69.72,69.72,0.0,0.0,69.72,69.72,69.72,0.0,0.0
2019-07-07,70.32,70.32,70.32,0.0,0.0,70.4,70.4,70.4,0.0,0.0,70.3,70.3,70.3,0.0,0.0,70.39,70.39,70.39,0.0,0.0
2019-07-14,70.56,70.56,70.56,0.0,0.0,70.56,70.56,70.56,0.0,0.0,70.3,70.3,70.3,0.0,0.0,70.3,70.3,70.3,0.0,0.0
2019-07-21,69.06,69.06,69.06,0.0,0.0,69.09,69.09,69.09,0.0,0.0,69.0,69.0,69.0,0.0,0.0,69.01,69.01,69.01,0.0,0.0
2019-07-28,67.64,67.64,67.64,0.0,0.0,67.81,67.81,67.81,0.0,0.0,67.61,67.61,67.61,0.0,0.0,67.62,67.62,67.62,0.0,0.0
2019-08-04,67.47,67.47,67.47,0.0,0.0,67.61,67.61,67.61,0.0,0.0,67.47,67.47,67.47,0.0,0.0,67.55,67.55,67.55,0.0,0.0
2019-08-11,67.75,67.75,67.75,0.0,0.0,67.77,67.77,67.77,0.0,0.0,67.61,67.61,67.61,0.0,0.0,67.61,67.61,67.61,0.0,0.0
2019-08-18,67.56,67.56,67.56,0.0,0.0,67.85,67.85,67.85,0.0,0.0,67.56,67.56,67.56,0.0,0.0,67.7,67.7,67.7,0.0,0.0
2019-08-25,67.24,67.24,67.24,0.0,0.0,67.37,67.37,67.37,0.0,0.0,67.23,67.23,67.23,0.0,0.0,67.37,67.37,67.37,0.0,0.0
2019-09-01,68.69,68.69,68.69,0.0,0.0,68.73,68.73,68.73,0.0,0.0,68.59,68.59,68.59,0.0,0.0,68.59,68.59,68.59,0.0,0.0
2019-09-08,68.55,68.55,68.55,0.0,0.0,68.67,68.67,68.67,0.0,0.0,68.52,68.52,68.52,0.0,0.0,68.66,68.66,68.66,0.0,0.0
2019-09-15,67.68,67.68,67.68,0.0,0.0,67.77,67.77,67.77,0.0,0.0,67.67,67.67,67.67,0.0,0.0,67.76,67.76,67.76,0.0,0.0
2019-09-22,67.56,67.56,67.56,0.0,0.0,67.61,67.61,67.61,0.0,0.0,67.5,67.5,67.5,0.0,0.0,67.51,67.51,67.51,0.0,0.0
2019-09-29,67.47,67.47,67.47,0.0,0.0,67.5,67.5,67.5,0.0,0.0,67.29,67.29,67.29,0.0,0.0,67.3,67.3,67.3,0.0,0.0
2019-10-06,67.63,67.63,67.63,0.0,0.0,67.75,67.75,67.75,0.0,0.0,67.56,67.56,67.56,0.0,0.0,67.75,67.75,67.75,0.0,0.0
2019-10-13,68.67,68.67,68.67,0.0,0.0,68.75,68.75,68.75,0.0,0.0,68.61,68.61,68.61,0.0,0.0,68.68,68.68,68.68,0.0,0.0
2019-10-20,68.2,68.2,68.2,0.0,0.0,68.43,68.43,68.43,0.0,0.0,68.2,68.2,68.2,0.0,0.0,68.41,68.41,68.41,0.0,0.0
2019-10-27,69.04,69.04,69.04,0.0,0.0,69.04,69.04,69.04,0.0,0.0,68.78,68.78,68.78,0.0,0.0,68.82,68.82,68.82,0.0,0.0
2019-11-03,68.61,68.61,68.61,0.0,0.0,68.61,68.61,68.61,0.0,0.0,68.48,68.48,68.48,0.0,0.0,68.54,68.54,68.54,0.0,0.0
2019-11-10,68.12,68.12,68.12,0.0,0.0,68.2,68.2,68.2,0.0,0.0,68.02,68.02,68.02,0.0,0.0,68.14,68.14,68.14,0.0,0.0
2019-11-17,67.85,67.85,67.85,0.0,0.0,67.85,67.85,67.85,0.0,0.0,67.7,67.7,67.7,0.0,0.0,67.76,67.76,67.76,0.0,0.0
2019-11-24,68.0,68.0,68.0,0.0,0.0,68.27,68.27,68.27,0.0,0.0,67.79,67.79,67.79,0.0,0.0,68.26,68.26,68.26,0.0,0.0
2019-12-01,68.2,68.2,68.2,0.0,0.0,68.33,68.33,68.33,0.0,0.0,68.2,68.2,68.2,0.0,0.0,68.3,68.3,68.3,0.0,0.0
2019-12-08,68.89,68.89,68.89,0.0,0.0,68.92,68.92,68.92,0.0,0.0,68.87,68.87,68.87,0.0,0.0,68.87,68.87,68.87,0.0,0.0
2019-12-15,69.16,69.16,69.16,0.0,0.0,69.25,69.25,69.25,0.0,0.0,69.1,69.1,69.1,0.0,0.0,69.21,69.21,69.21,0.0,0.0
2019-12-22,69.97,69.97,69.97,0.0,0.0,70.04,70.04,70.04,0.0,0.0,69.92,69.92,69.92,0.0,0.0,69.96,69.96,69.96,0.0,0.0
2019-12-29,69.5,69.5,69.5,0.0,0.0,69.64,69.64,69.64,0.0,0.0,69.48,69.48,69.48,0.0,0.0,69.55,69.55,69.55,0.0,0.0
