Date,iShares Currency Hedged MSCI South Korea_Open_average,iShares Currency Hedged MSCI South Korea_Open_max,iShares Currency Hedged MSCI South Korea_Open_min,iShares Currency Hedged MSCI South Korea_Open_volatility,iShares Currency Hedged MSCI South Korea_Open_change,iShares Currency Hedged MSCI South Korea_High_average,iShares Currency Hedged MSCI South Korea_High_max,iShares Currency Hedged MSCI South Korea_High_min,iShares Currency Hedged MSCI South Korea_High_volatility,iShares Currency Hedged MSCI South Korea_High_change,iShares Currency Hedged MSCI South Korea_Low_average,iShares Currency Hedged MSCI South Korea_Low_max,iShares Currency Hedged MSCI South Korea_Low_min,iShares Currency Hedged MSCI South Korea_Low_volatility,iShares Currency Hedged MSCI South Korea_Low_change,iShares Currency Hedged MSCI South Korea_Close_average,iShares Currency Hedged MSCI South Korea_Close_max,iShares Currency Hedged MSCI South Korea_Close_min,iShares Currency Hedged MSCI South Korea_Close_volatility,iShares Currency Hedged MSCI South Korea_Close_change
2018-03-25,30.11,30.11,30.11,0.0,0.0,30.11,30.11,30.11,0.0,0.0,30.11,30.11,30.11,0.0,0.0,30.11,30.11,30.11,0.0,0.0
2018-04-01,30.71,30.71,30.71,0.0,0.0,30.74,30.74,30.74,0.0,0.0,30.71,30.71,30.71,0.0,0.0,30.74,30.74,30.74,0.0,0.0
2018-04-08,30.25,30.25,30.25,0.0,0.0,30.25,30.25,30.25,0.0,0.0,30.25,30.25,30.25,0.0,0.0,30.25,30.25,30.25,0.0,0.0
2018-04-15,31.02,31.02,31.02,0.0,0.0,31.02,31.02,31.02,0.0,0.0,30.99,30.99,30.99,0.0,0.0,31.02,31.02,31.02,0.0,0.0
2018-04-22,31.25,31.25,31.25,0.0,0.0,31.26,31.26,31.26,0.0,0.0,30.86,30.86,30.86,0.0,0.0,30.86,30.86,30.86,0.0,0.0
2018-04-29,30.03,30.03,30.03,0.0,0.0,30.4,30.4,30.4,0.0,0.0,30.03,30.03,30.03,0.0,0.0,30.11,30.11,30.11,0.0,0.0
2018-05-06,30.38,30.38,30.38,0.0,0.0,30.45,30.45,30.45,0.0,0.0,30.37,30.37,30.37,0.0,0.0,30.37,30.37,30.37,0.0,0.0
2018-05-13,30.3,30.3,30.3,0.0,0.0,30.3,30.3,30.3,0.0,0.0,30.3,30.3,30.3,0.0,0.0,30.3,30.3,30.3,0.0,0.0
2018-05-20,30.19,30.19,30.19,0.0,0.0,30.27,30.27,30.27,0.0,0.0,30.19,30.19,30.19,0.0,0.0,30.19,30.19,30.19,0.0,0.0
2018-05-27,29.76,29.76,29.76,0.0,0.0,29.76,29.76,29.76,0.0,0.0,29.76,29.76,29.76,0.0,0.0,29.76,29.76,29.76,0.0,0.0
2018-06-03,30.09,30.09,30.09,0.0,0.0,30.09,30.09,30.09,0.0,0.0,30.09,30.09,30.09,0.0,0.0,30.09,30.09,30.09,0.0,0.0
2018-06-10,30.25,30.25,30.25,0.0,0.0,30.25,30.25,30.25,0.0,0.0,29.79,29.79,29.79,0.0,0.0,29.79,29.79,29.79,0.0,0.0
2018-06-17,28.71,28.71,28.71,0.0,0.0,28.71,28.71,28.71,0.0,0.0,28.71,28.71,28.71,0.0,0.0,28.71,28.71,28.71,0.0,0.0
2018-06-24,28.7,28.7,28.7,0.0,0.0,28.7,28.7,28.7,0.0,0.0,28.7,28.7,28.7,0.0,0.0,28.7,28.7,28.7,0.0,0.0
2018-07-01,27.86,27.86,27.86,0.0,0.0,27.86,27.86,27.86,0.0,0.0,27.86,27.86,27.86,0.0,0.0,27.86,27.86,27.86,0.0,0.0
2018-07-08,28.37,28.37,28.37,0.0,0.0,28.37,28.37,28.37,0.0,0.0,28.31,28.31,28.31,0.0,0.0,28.37,28.37,28.37,0.0,0.0
2018-07-15,28.43,28.43,28.43,0.0,0.0,28.43,28.43,28.43,0.0,0.0,28.43,28.43,28.43,0.0,0.0,28.43,28.43,28.43,0.0,0.0
2018-07-22,28.31,28.31,28.31,0.0,0.0,28.31,28.31,28.31,0.0,0.0,28.31,28.31,28.31,0.0,0.0,28.31,28.31,28.31,0.0,0.0
2018-07-29,28.07,28.07,28.07,0.0,0.0,28.07,28.07,28.07,0.0,0.0,28.07,28.07,28.07,0.0,0.0,28.07,28.07,28.07,0.0,0.0
2018-08-05,27.73,27.73,27.73,0.0,0.0,27.73,27.73,27.73,0.0,0.0,27.73,27.73,27.73,0.0,0.0,27.73,27.73,27.73,0.0,0.0
2018-08-12,27.49,27.49,27.49,0.0,0.0,27.64,27.64,27.64,0.0,0.0,27.49,27.49,27.49,0.0,0.0,27.64,27.64,27.64,0.0,0.0
2018-08-19,28.59,28.59,28.59,0.0,0.0,28.59,28.59,28.59,0.0,0.0,28.59,28.59,28.59,0.0,0.0,28.59,28.59,28.59,0.0,0.0
2018-08-26,28.28,28.28,28.28,0.0,0.0,28.28,28.28,28.28,0.0,0.0,28.28,28.28,28.28,0.0,0.0,28.28,28.28,28.28,0.0,0.0
2018-09-02,29.09,29.09,29.09,0.0,0.0,29.09,29.09,29.09,0.0,0.0,29.09,29.09,29.09,0.0,0.0,29.09,29.09,29.09,0.0,0.0
2018-09-09,28.87,28.87,28.87,0.0,0.0,29.3,29.3,29.3,0.0,0.0,28.87,28.87,28.87,0.0,0.0,29.21,29.21,29.21,0.0,0.0
2018-09-16,28.87,28.87,28.87,0.0,0.0,29.21,29.21,29.21,0.0,0.0,28.87,28.87,28.87,0.0,0.0,29.04,29.04,29.04,0.0,0.0
2018-09-23,28.83,28.83,28.83,0.0,0.0,28.85,28.85,28.85,0.0,0.0,28.81,28.81,28.81,0.0,0.0,28.81,28.81,28.81,0.0,0.0
2018-09-30,27.86,27.86,27.86,0.0,0.0,28.12,28.12,28.12,0.0,0.0,27.86,27.86,27.86,0.0,0.0,28.12,28.12,28.12,0.0,0.0
2018-10-07,26.86,26.86,26.86,0.0,0.0,26.86,26.86,26.86,0.0,0.0,26.86,26.86,26.86,0.0,0.0,26.86,26.86,26.86,0.0,0.0
2018-10-14,26.73,26.73,26.73,0.0,0.0,26.9,26.9,26.9,0.0,0.0,26.73,26.73,26.73,0.0,0.0,26.9,26.9,26.9,0.0,0.0
2018-10-21,25.51,25.51,25.51,0.0,0.0,25.51,25.51,25.51,0.0,0.0,25.31,25.31,25.31,0.0,0.0,25.36,25.36,25.36,0.0,0.0
2018-10-28,26.04,26.04,26.04,0.0,0.0,26.2,26.2,26.2,0.0,0.0,26.01,26.01,26.01,0.0,0.0,26.2,26.2,26.2,0.0,0.0
2018-11-04,25.96,25.96,25.96,0.0,0.0,25.96,25.96,25.96,0.0,0.0,25.77,25.77,25.77,0.0,0.0,25.79,25.79,25.79,0.0,0.0
2018-11-11,26.03,26.03,26.03,0.0,0.0,26.24,26.24,26.24,0.0,0.0,25.74,25.74,25.74,0.0,0.0,25.74,25.74,25.74,0.0,0.0
2018-11-18,25.93,25.93,25.93,0.0,0.0,26.11,26.11,26.11,0.0,0.0,25.87,25.87,25.87,0.0,0.0,26.02,26.02,26.02,0.0,0.0
2018-11-25,26.52,26.52,26.52,0.0,0.0,26.52,26.52,26.52,0.0,0.0,26.4,26.4,26.4,0.0,0.0,26.43,26.43,26.43,0.0,0.0
2018-12-02,24.79,24.79,24.79,0.0,0.0,24.79,24.79,24.79,0.0,0.0,24.39,24.39,24.39,0.0,0.0,24.68,24.68,24.68,0.0,0.0
2018-12-09,24.6,24.6,24.6,0.0,0.0,24.65,24.65,24.65,0.0,0.0,24.33,24.33,24.33,0.0,0.0,24.42,24.42,24.42,0.0,0.0
2018-12-16,24.06,24.06,24.06,0.0,0.0,24.43,24.43,24.43,0.0,0.0,24.06,24.06,24.06,0.0,0.0,24.29,24.29,24.29,0.0,0.0
2018-12-23,24.31,24.31,24.31,0.0,0.0,24.31,24.31,24.31,0.0,0.0,24.1,24.1,24.1,0.0,0.0,24.12,24.12,24.12,0.0,0.0
2018-12-30,24.23,24.23,24.23,0.0,0.0,24.32,24.32,24.32,0.0,0.0,24.23,24.23,24.23,0.0,0.0,24.32,24.32,24.32,0.0,0.0
2019-01-06,24.55,24.55,24.55,0.0,0.0,24.66,24.66,24.66,0.0,0.0,24.44,24.44,24.44,0.0,0.0,24.55,24.55,24.55,0.0,0.0
2019-01-13,25.53,25.53,25.53,0.0,0.0,25.6,25.6,25.6,0.0,0.0,25.48,25.48,25.48,0.0,0.0,25.6,25.6,25.6,0.0,0.0
2019-01-20,25.82,25.82,25.82,0.0,0.0,26.13,26.13,26.13,0.0,0.0,25.82,25.82,25.82,0.0,0.0,26.03,26.03,26.03,0.0,0.0
2019-01-27,26.69,26.69,26.69,0.0,0.0,26.69,26.69,26.69,0.0,0.0,26.53,26.53,26.53,0.0,0.0,26.53,26.53,26.53,0.0,0.0
2019-02-03,26.1,26.1,26.1,0.0,0.0,26.23,26.23,26.23,0.0,0.0,26.08,26.08,26.08,0.0,0.0,26.22,26.22,26.22,0.0,0.0
2019-02-10,26.34,26.34,26.34,0.0,0.0,26.45,26.45,26.45,0.0,0.0,26.3,26.3,26.3,0.0,0.0,26.45,26.45,26.45,0.0,0.0
2019-02-17,26.87,26.87,26.87,0.0,0.0,26.87,26.87,26.87,0.0,0.0,26.75,26.75,26.75,0.0,0.0,26.76,26.76,26.76,0.0,0.0
2019-02-24,26.05,26.05,26.05,0.0,0.0,26.05,26.05,26.05,0.0,0.0,26.01,26.01,26.01,0.0,0.0,26.04,26.04,26.04,0.0,0.0
2019-03-03,25.5,25.5,25.5,0.0,0.0,25.61,25.61,25.61,0.0,0.0,25.5,25.5,25.5,0.0,0.0,25.61,25.61,25.61,0.0,0.0
2019-03-10,25.94,25.94,25.94,0.0,0.0,26.01,26.01,26.01,0.0,0.0,25.94,25.94,25.94,0.0,0.0,26.01,26.01,26.01,0.0,0.0
2019-03-17,25.84,25.84,25.84,0.0,0.0,25.94,25.94,25.94,0.0,0.0,25.77,25.77,25.77,0.0,0.0,25.83,25.83,25.83,0.0,0.0
2019-03-24,26.03,26.03,26.03,0.0,0.0,26.11,26.11,26.11,0.0,0.0,26.03,26.03,26.03,0.0,0.0,26.08,26.08,26.08,0.0,0.0
2019-03-31,26.57,26.57,26.57,0.0,0.0,26.63,26.63,26.63,0.0,0.0,26.57,26.57,26.57,0.0,0.0,26.63,26.63,26.63,0.0,0.0
2019-04-07,26.72,26.72,26.72,0.0,0.0,26.78,26.78,26.78,0.0,0.0,26.72,26.72,26.72,0.0,0.0,26.78,26.78,26.78,0.0,0.0
2019-04-14,26.61,26.61,26.61,0.0,0.0,26.62,26.62,26.62,0.0,0.0,26.54,26.54,26.54,0.0,0.0,26.62,26.62,26.62,0.0,0.0
2019-04-21,26.54,26.54,26.54,0.0,0.0,26.61,26.61,26.61,0.0,0.0,26.54,26.54,26.54,0.0,0.0,26.59,26.59,26.59,0.0,0.0
2019-04-28,26.04,26.04,26.04,0.0,0.0,26.04,26.04,26.04,0.0,0.0,25.96,25.96,25.96,0.0,0.0,25.96,25.96,25.96,0.0,0.0
2019-05-05,24.49,24.49,24.49,0.0,0.0,24.53,24.53,24.53,0.0,0.0,24.37,24.37,24.37,0.0,0.0,24.37,24.37,24.37,0.0,0.0
2019-05-12,24.41,24.41,24.41,0.0,0.0,24.41,24.41,24.41,0.0,0.0,24.33,24.33,24.33,0.0,0.0,24.33,24.33,24.33,0.0,0.0
2019-05-19,24.48,24.48,24.48,0.0,0.0,24.48,24.48,24.48,0.0,0.0,24.42,24.42,24.42,0.0,0.0,24.42,24.42,24.42,0.0,0.0
2019-05-26,24.7,24.7,24.7,0.0,0.0,24.7,24.7,24.7,0.0,0.0,24.7,24.7,24.7,0.0,0.0,24.7,24.7,24.7,0.0,0.0
2019-06-02,25.24,25.24,25.24,0.0,0.0,25.24,25.24,25.24,0.0,0.0,25.24,25.24,25.24,0.0,0.0,25.24,25.24,25.24,0.0,0.0
2019-06-09,25.05,25.05,25.05,0.0,0.0,25.05,25.05,25.05,0.0,0.0,25.05,25.05,25.05,0.0,0.0,25.05,25.05,25.05,0.0,0.0
2019-06-16,25.37,25.37,25.37,0.0,0.0,25.37,25.37,25.37,0.0,0.0,25.37,25.37,25.37,0.0,0.0,25.37,25.37,25.37,0.0,0.0
2019-06-23,25.71,25.71,25.71,0.0,0.0,25.71,25.71,25.71,0.0,0.0,25.71,25.71,25.71,0.0,0.0,25.71,25.71,25.71,0.0,0.0
2019-06-30,25.02,25.02,25.02,0.0,0.0,25.03,25.03,25.03,0.0,0.0,24.9,24.9,24.9,0.0,0.0,24.9,24.9,24.9,0.0,0.0
2019-07-07,25.14,25.14,25.14,0.0,0.0,25.14,25.14,25.14,0.0,0.0,25.14,25.14,25.14,0.0,0.0,25.14,25.14,25.14,0.0,0.0
2019-07-14,25.12,25.12,25.12,0.0,0.0,25.42,25.42,25.42,0.0,0.0,25.12,25.12,25.12,0.0,0.0,25.42,25.42,25.42,0.0,0.0
2019-07-21,24.95,24.95,24.95,0.0,0.0,24.95,24.95,24.95,0.0,0.0,24.81,24.81,24.81,0.0,0.0,24.81,24.81,24.81,0.0,0.0
2019-07-28,23.63,23.63,23.63,0.0,0.0,23.63,23.63,23.63,0.0,0.0,23.31,23.31,23.31,0.0,0.0,23.39,23.39,23.39,0.0,0.0
2019-08-04,23.8,23.8,23.8,0.0,0.0,23.8,23.8,23.8,0.0,0.0,23.55,23.55,23.55,0.0,0.0,23.55,23.55,23.55,0.0,0.0
2019-08-11,23.5,23.5,23.5,0.0,0.0,23.5,23.5,23.5,0.0,0.0,23.5,23.5,23.5,0.0,0.0,23.5,23.5,23.5,0.0,0.0
2019-08-18,23.58,23.58,23.58,0.0,0.0,23.58,23.58,23.58,0.0,0.0,23.58,23.58,23.58,0.0,0.0,23.58,23.58,23.58,0.0,0.0
2019-08-25,24.01,24.01,24.01,0.0,0.0,24.01,24.01,24.01,0.0,0.0,24.01,24.01,24.01,0.0,0.0,24.01,24.01,24.01,0.0,0.0
2019-09-01,24.7,24.7,24.7,0.0,0.0,24.7,24.7,24.7,0.0,0.0,24.7,24.7,24.7,0.0,0.0,24.7,24.7,24.7,0.0,0.0
2019-09-08,24.98,24.98,24.98,0.0,0.0,24.98,24.98,24.98,0.0,0.0,24.98,24.98,24.98,0.0,0.0,24.98,24.98,24.98,0.0,0.0
2019-09-15,25.61,25.61,25.61,0.0,0.0,25.61,25.61,25.61,0.0,0.0,25.46,25.46,25.46,0.0,0.0,25.58,25.58,25.58,0.0,0.0
2019-09-22,25.15,25.15,25.15,0.0,0.0,25.15,25.15,25.15,0.0,0.0,25.15,25.15,25.15,0.0,0.0,25.15,25.15,25.15,0.0,0.0
2019-09-29,24.79,24.79,24.79,0.0,0.0,24.81,24.81,24.81,0.0,0.0,24.79,24.79,24.79,0.0,0.0,24.79,24.79,24.79,0.0,0.0
2019-10-06,25.23,25.23,25.23,0.0,0.0,25.24,25.24,25.24,0.0,0.0,25.22,25.22,25.22,0.0,0.0,25.22,25.22,25.22,0.0,0.0
2019-10-13,25.58,25.58,25.58,0.0,0.0,25.58,25.58,25.58,0.0,0.0,25.58,25.58,25.58,0.0,0.0,25.58,25.58,25.58,0.0,0.0
2019-10-20,25.93,25.93,25.93,0.0,0.0,25.93,25.93,25.93,0.0,0.0,25.93,25.93,25.93,0.0,0.0,25.93,25.93,25.93,0.0,0.0
2019-10-27,26.31,26.31,26.31,0.0,0.0,26.31,26.31,26.31,0.0,0.0,26.31,26.31,26.31,0.0,0.0,26.31,26.31,26.31,0.0,0.0
2019-11-03,26.22,26.22,26.22,0.0,0.0,26.22,26.22,26.22,0.0,0.0,26.22,26.22,26.22,0.0,0.0,26.22,26.22,26.22,0.0,0.0
2019-11-10,26.49,26.49,26.49,0.0,0.0,26.62,26.62,26.62,0.0,0.0,26.49,26.49,26.49,0.0,0.0,26.62,26.62,26.62,0.0,0.0
2019-11-17,26.17,26.17,26.17,0.0,0.0,26.23,26.23,26.23,0.0,0.0,25.95,25.95,25.95,0.0,0.0,26.23,26.23,26.23,0.0,0.0
2019-11-24,25.66,25.66,25.66,0.0,0.0,25.67,25.67,25.67,0.0,0.0,25.66,25.66,25.66,0.0,0.0,25.67,25.67,25.67,0.0,0.0
2019-12-01,21.73,21.73,21.73,0.0,0.0,21.73,21.73,21.73,0.0,0.0,20.58,20.58,20.58,0.0,0.0,20.58,20.58,20.58,0.0,0.0
2019-12-08,21.67,21.67,21.67,0.0,0.0,21.67,21.67,21.67,0.0,0.0,21.67,21.67,21.67,0.0,0.0,21.67,21.67,21.67,0.0,0.0
2019-12-15,21.91,21.91,21.91,0.0,0.0,21.99,21.99,21.99,0.0,0.0,21.91,21.91,21.91,0.0,0.0,21.99,21.99,21.99,0.0,0.0
2019-12-22,21.7,21.7,21.7,0.0,0.0,21.7,21.7,21.7,0.0,0.0,21.49,21.49,21.49,0.0,0.0,21.49,21.49,21.49,0.0,0.0
2019-12-29,21.36,21.36,21.36,0.0,0.0,21.36,21.36,21.36,0.0,0.0,21.35,21.35,21.35,0.0,0.0,21.35,21.35,21.35,0.0,0.0
