Date,iShares MSCI Emerging Markets Asia_Open_average,iShares MSCI Emerging Markets Asia_Open_max,iShares MSCI Emerging Markets Asia_Open_min,iShares MSCI Emerging Markets Asia_Open_volatility,iShares MSCI Emerging Markets Asia_Open_change,iShares MSCI Emerging Markets Asia_High_average,iShares MSCI Emerging Markets Asia_High_max,iShares MSCI Emerging Markets Asia_High_min,iShares MSCI Emerging Markets Asia_High_volatility,iShares MSCI Emerging Markets Asia_High_change,iShares MSCI Emerging Markets Asia_Low_average,iShares MSCI Emerging Markets Asia_Low_max,iShares MSCI Emerging Markets Asia_Low_min,iShares MSCI Emerging Markets Asia_Low_volatility,iShares MSCI Emerging Markets Asia_Low_change,iShares MSCI Emerging Markets Asia_Close_average,iShares MSCI Emerging Markets Asia_Close_max,iShares MSCI Emerging Markets Asia_Close_min,iShares MSCI Emerging Markets Asia_Close_volatility,iShares MSCI Emerging Markets Asia_Close_change
2018-03-25,74.29,74.29,74.29,0.0,0.0,74.31,74.31,74.31,0.0,0.0,72.95,72.95,72.95,0.0,0.0,73.4,73.4,73.4,0.0,0.0
2018-04-01,73.89,73.89,73.89,0.0,0.0,74.64,74.64,74.64,0.0,0.0,73.56,73.56,73.56,0.0,0.0,73.74,73.74,73.74,0.0,0.0
2018-04-08,74.12,74.12,74.12,0.0,0.0,74.55,74.55,74.55,0.0,0.0,74.12,74.12,74.12,0.0,0.0,74.45,74.45,74.45,0.0,0.0
2018-04-15,73.37,73.37,73.37,0.0,0.0,73.52,73.52,73.52,0.0,0.0,72.9,72.9,72.9,0.0,0.0,73.12,73.12,73.12,0.0,0.0
2018-04-22,73.9,73.9,73.9,0.0,0.0,74.19,74.19,74.19,0.0,0.0,73.53,73.53,73.53,0.0,0.0,73.53,73.53,73.53,0.0,0.0
2018-04-29,72.8,72.8,72.8,0.0,0.0,73.18,73.18,73.18,0.0,0.0,72.45,72.45,72.45,0.0,0.0,72.67,72.67,72.67,0.0,0.0
2018-05-06,74.85,74.85,74.85,0.0,0.0,75.03,75.03,75.03,0.0,0.0,74.61,74.61,74.61,0.0,0.0,74.77,74.77,74.77,0.0,0.0
2018-05-13,73.89,73.89,73.89,0.0,0.0,73.89,73.89,73.89,0.0,0.0,73.45,73.45,73.45,0.0,0.0,73.61,73.61,73.61,0.0,0.0
2018-05-20,73.52,73.52,73.52,0.0,0.0,73.95,73.95,73.95,0.0,0.0,73.52,73.52,73.52,0.0,0.0,73.92,73.92,73.92,0.0,0.0
2018-05-27,74.42,74.42,74.42,0.0,0.0,74.98,74.98,74.98,0.0,0.0,74.42,74.42,74.42,0.0,0.0,74.76,74.76,74.76,0.0,0.0
2018-06-03,74.87,74.87,74.87,0.0,0.0,75.13,75.13,75.13,0.0,0.0,74.79,74.79,74.79,0.0,0.0,74.9,74.9,74.9,0.0,0.0
2018-06-10,72.41,72.41,72.41,0.0,0.0,72.41,72.41,72.41,0.0,0.0,71.81,71.81,71.81,0.0,0.0,72.24,72.24,72.24,0.0,0.0
2018-06-17,69.74,69.74,69.74,0.0,0.0,69.82,69.82,69.82,0.0,0.0,68.85,68.85,68.85,0.0,0.0,69.35,69.35,69.35,0.0,0.0
2018-06-24,68.13,68.13,68.13,0.0,0.0,68.28,68.28,68.28,0.0,0.0,67.77,67.77,67.77,0.0,0.0,68.28,68.28,68.28,0.0,0.0
2018-07-01,69.56,69.56,69.56,0.0,0.0,69.73,69.73,69.73,0.0,0.0,69.34,69.34,69.34,0.0,0.0,69.73,69.73,69.73,0.0,0.0
2018-07-08,69.26,69.26,69.26,0.0,0.0,69.26,69.26,69.26,0.0,0.0,68.9,68.9,68.9,0.0,0.0,68.93,68.93,68.93,0.0,0.0
2018-07-15,69.1,69.1,69.1,0.0,0.0,69.1,69.1,69.1,0.0,0.0,68.75,68.75,68.75,0.0,0.0,68.88,68.88,68.88,0.0,0.0
2018-07-22,70.33,70.33,70.33,0.0,0.0,70.33,70.33,70.33,0.0,0.0,69.93,69.93,69.93,0.0,0.0,70.1,70.1,70.1,0.0,0.0
2018-07-29,68.87,68.87,68.87,0.0,0.0,68.87,68.87,68.87,0.0,0.0,68.28,68.28,68.28,0.0,0.0,68.74,68.74,68.74,0.0,0.0
2018-08-05,68.28,68.28,68.28,0.0,0.0,68.28,68.28,68.28,0.0,0.0,67.56,67.56,67.56,0.0,0.0,67.64,67.64,67.64,0.0,0.0
2018-08-12,67.55,67.55,67.55,0.0,0.0,67.64,67.64,67.64,0.0,0.0,67.22,67.22,67.22,0.0,0.0,67.6,67.6,67.6,0.0,0.0
2018-08-19,69.14,69.14,69.14,0.0,0.0,70.25,70.25,70.25,0.0,0.0,69.14,69.14,69.14,0.0,0.0,70.04,70.04,70.04,0.0,0.0
2018-08-26,68.66,68.66,68.66,0.0,0.0,69.28,69.28,69.28,0.0,0.0,68.66,68.66,68.66,0.0,0.0,69.28,69.28,69.28,0.0,0.0
2018-09-02,66.24,66.24,66.24,0.0,0.0,66.24,66.24,66.24,0.0,0.0,65.75,65.75,65.75,0.0,0.0,65.87,65.87,65.87,0.0,0.0
2018-09-09,66.57,66.57,66.57,0.0,0.0,66.58,66.58,66.58,0.0,0.0,66.15,66.15,66.15,0.0,0.0,66.15,66.15,66.15,0.0,0.0
2018-09-16,67.51,67.51,67.51,0.0,0.0,67.75,67.75,67.75,0.0,0.0,67.41,67.41,67.41,0.0,0.0,67.75,67.75,67.75,0.0,0.0
2018-09-23,68.29,68.29,68.29,0.0,0.0,68.29,68.29,68.29,0.0,0.0,67.91,67.91,67.91,0.0,0.0,68.01,68.01,68.01,0.0,0.0
2018-09-30,63.42,63.42,63.42,0.0,0.0,63.77,63.77,63.77,0.0,0.0,63.01,63.01,63.01,0.0,0.0,63.77,63.77,63.77,0.0,0.0
2018-10-07,61.9,61.9,61.9,0.0,0.0,62.09,62.09,62.09,0.0,0.0,61.68,61.68,61.68,0.0,0.0,61.87,61.87,61.87,0.0,0.0
2018-10-14,62.62,62.62,62.62,0.0,0.0,62.62,62.62,62.62,0.0,0.0,62.12,62.12,62.12,0.0,0.0,62.21,62.21,62.21,0.0,0.0
2018-10-21,59.77,59.77,59.77,0.0,0.0,59.95,59.95,59.95,0.0,0.0,58.13,58.13,58.13,0.0,0.0,58.61,58.61,58.61,0.0,0.0
2018-10-28,63.01,63.01,63.01,0.0,0.0,63.27,63.27,63.27,0.0,0.0,62.83,62.83,62.83,0.0,0.0,63.15,63.15,63.15,0.0,0.0
2018-11-04,61.54,61.54,61.54,0.0,0.0,61.54,61.54,61.54,0.0,0.0,60.82,60.82,60.82,0.0,0.0,60.88,60.88,60.88,0.0,0.0
2018-11-11,63.46,63.46,63.46,0.0,0.0,63.46,63.46,63.46,0.0,0.0,62.5,62.5,62.5,0.0,0.0,62.76,62.76,62.76,0.0,0.0
2018-11-18,63.0,63.0,63.0,0.0,0.0,63.98,63.98,63.98,0.0,0.0,63.0,63.0,63.0,0.0,0.0,63.35,63.35,63.35,0.0,0.0
2018-11-25,65.66,65.66,65.66,0.0,0.0,65.83,65.83,65.83,0.0,0.0,65.08,65.08,65.08,0.0,0.0,65.5,65.5,65.5,0.0,0.0
2018-12-02,61.83,61.83,61.83,0.0,0.0,61.83,61.83,61.83,0.0,0.0,60.79,60.79,60.79,0.0,0.0,61.67,61.67,61.67,0.0,0.0
2018-12-09,62.1,62.1,62.1,0.0,0.0,62.54,62.54,62.54,0.0,0.0,61.29,61.29,61.29,0.0,0.0,61.53,61.53,61.53,0.0,0.0
2018-12-16,60.18,60.18,60.18,0.0,0.0,60.34,60.34,60.34,0.0,0.0,59.2,59.2,59.2,0.0,0.0,59.2,59.2,59.2,0.0,0.0
2018-12-23,61.61,61.61,61.61,0.0,0.0,61.74,61.74,61.74,0.0,0.0,60.72,60.72,60.72,0.0,0.0,60.85,60.85,60.85,0.0,0.0
2018-12-30,60.96,60.96,60.96,0.0,0.0,61.65,61.65,61.65,0.0,0.0,60.88,60.88,60.88,0.0,0.0,61.18,61.18,61.18,0.0,0.0
2019-01-06,61.44,61.44,61.44,0.0,0.0,62.0,62.0,62.0,0.0,0.0,61.44,61.44,61.44,0.0,0.0,61.59,61.59,61.59,0.0,0.0
2019-01-13,63.53,63.53,63.53,0.0,0.0,63.91,63.91,63.91,0.0,0.0,63.37,63.37,63.37,0.0,0.0,63.45,63.45,63.45,0.0,0.0
2019-01-20,64.15,64.15,64.15,0.0,0.0,64.25,64.25,64.25,0.0,0.0,63.59,63.59,63.59,0.0,0.0,64.25,64.25,64.25,0.0,0.0
2019-01-27,65.68,65.68,65.68,0.0,0.0,66.03,66.03,66.03,0.0,0.0,65.55,65.55,65.55,0.0,0.0,65.83,65.83,65.83,0.0,0.0
2019-02-03,65.27,65.27,65.27,0.0,0.0,65.44,65.44,65.44,0.0,0.0,64.92,64.92,64.92,0.0,0.0,65.16,65.16,65.16,0.0,0.0
2019-02-10,65.14,65.14,65.14,0.0,0.0,65.34,65.34,65.34,0.0,0.0,65.03,65.03,65.03,0.0,0.0,65.1,65.1,65.1,0.0,0.0
2019-02-17,67.82,67.82,67.82,0.0,0.0,68.01,68.01,68.01,0.0,0.0,67.1,67.1,67.1,0.0,0.0,67.78,67.78,67.78,0.0,0.0
2019-02-24,66.95,66.95,66.95,0.0,0.0,67.13,67.13,67.13,0.0,0.0,65.9,65.9,65.9,0.0,0.0,66.55,66.55,66.55,0.0,0.0
2019-03-03,65.81,65.81,65.81,0.0,0.0,66.55,66.55,66.55,0.0,0.0,65.62,65.62,65.62,0.0,0.0,66.44,66.44,66.44,0.0,0.0
2019-03-10,67.9,67.9,67.9,0.0,0.0,68.0,68.0,68.0,0.0,0.0,67.73,67.73,67.73,0.0,0.0,67.85,67.85,67.85,0.0,0.0
2019-03-17,66.82,66.82,66.82,0.0,0.0,67.0,67.0,67.0,0.0,0.0,66.53,66.53,66.53,0.0,0.0,66.99,66.99,66.99,0.0,0.0
2019-03-24,68.26,68.26,68.26,0.0,0.0,68.7,68.7,68.7,0.0,0.0,68.25,68.25,68.25,0.0,0.0,68.48,68.48,68.48,0.0,0.0
2019-03-31,69.44,69.44,69.44,0.0,0.0,69.75,69.75,69.75,0.0,0.0,69.26,69.26,69.26,0.0,0.0,69.75,69.75,69.75,0.0,0.0
2019-04-07,69.91,69.91,69.91,0.0,0.0,69.91,69.91,69.91,0.0,0.0,69.08,69.08,69.08,0.0,0.0,69.6,69.6,69.6,0.0,0.0
2019-04-14,69.48,69.48,69.48,0.0,0.0,69.58,69.58,69.58,0.0,0.0,69.15,69.15,69.15,0.0,0.0,69.46,69.46,69.46,0.0,0.0
2019-04-21,68.95,68.95,68.95,0.0,0.0,69.1,69.1,69.1,0.0,0.0,68.89,68.89,68.89,0.0,0.0,68.89,68.89,68.89,0.0,0.0
2019-04-28,67.62,67.62,67.62,0.0,0.0,68.3,68.3,68.3,0.0,0.0,67.08,67.08,67.08,0.0,0.0,67.97,67.97,67.97,0.0,0.0
2019-05-05,63.79,63.79,63.79,0.0,0.0,63.79,63.79,63.79,0.0,0.0,63.08,63.08,63.08,0.0,0.0,63.42,63.42,63.42,0.0,0.0
2019-05-12,62.65,62.65,62.65,0.0,0.0,63.26,63.26,63.26,0.0,0.0,62.4,62.4,62.4,0.0,0.0,62.81,62.81,62.81,0.0,0.0
2019-05-19,62.34,62.34,62.34,0.0,0.0,62.53,62.53,62.53,0.0,0.0,62.04,62.04,62.04,0.0,0.0,62.04,62.04,62.04,0.0,0.0
2019-05-26,63.3,63.3,63.3,0.0,0.0,63.57,63.57,63.57,0.0,0.0,63.18,63.18,63.18,0.0,0.0,63.44,63.44,63.44,0.0,0.0
2019-06-02,64.06,64.06,64.06,0.0,0.0,64.29,64.29,64.29,0.0,0.0,63.86,63.86,63.86,0.0,0.0,64.01,64.01,64.01,0.0,0.0
2019-06-09,63.15,63.15,63.15,0.0,0.0,63.18,63.18,63.18,0.0,0.0,62.93,62.93,62.93,0.0,0.0,62.96,62.96,62.96,0.0,0.0
2019-06-16,65.79,65.79,65.79,0.0,0.0,66.08,66.08,66.08,0.0,0.0,65.79,65.79,65.79,0.0,0.0,65.79,65.79,65.79,0.0,0.0
2019-06-23,67.27,67.27,67.27,0.0,0.0,67.59,67.59,67.59,0.0,0.0,66.9,66.9,66.9,0.0,0.0,67.14,67.14,67.14,0.0,0.0
2019-06-30,65.37,65.37,65.37,0.0,0.0,65.45,65.45,65.45,0.0,0.0,65.28,65.28,65.28,0.0,0.0,65.37,65.37,65.37,0.0,0.0
2019-07-07,65.91,65.91,65.91,0.0,0.0,66.1,66.1,66.1,0.0,0.0,65.91,65.91,65.91,0.0,0.0,66.1,66.1,66.1,0.0,0.0
2019-07-14,65.99,65.99,65.99,0.0,0.0,66.13,66.13,66.13,0.0,0.0,65.91,65.91,65.91,0.0,0.0,65.92,65.92,65.92,0.0,0.0
2019-07-21,65.55,65.55,65.55,0.0,0.0,65.65,65.65,65.65,0.0,0.0,65.47,65.47,65.47,0.0,0.0,65.65,65.65,65.65,0.0,0.0
2019-07-28,61.09,61.09,61.09,0.0,0.0,61.34,61.34,61.34,0.0,0.0,59.62,59.62,59.62,0.0,0.0,59.94,59.94,59.94,0.0,0.0
2019-08-04,61.13,61.13,61.13,0.0,0.0,61.4,61.4,61.4,0.0,0.0,60.53,60.53,60.53,0.0,0.0,60.61,60.61,60.61,0.0,0.0
2019-08-11,62.27,62.27,62.27,0.0,0.0,62.35,62.35,62.35,0.0,0.0,61.97,61.97,61.97,0.0,0.0,62.09,62.09,62.09,0.0,0.0
2019-08-18,61.29,61.29,61.29,0.0,0.0,61.45,61.45,61.45,0.0,0.0,61.21,61.21,61.21,0.0,0.0,61.28,61.28,61.28,0.0,0.0
2019-08-25,62.58,62.58,62.58,0.0,0.0,62.68,62.68,62.68,0.0,0.0,62.26,62.26,62.26,0.0,0.0,62.53,62.53,62.53,0.0,0.0
2019-09-01,64.2,64.2,64.2,0.0,0.0,64.48,64.48,64.48,0.0,0.0,64.16,64.16,64.16,0.0,0.0,64.2,64.2,64.2,0.0,0.0
2019-09-08,65.0,65.0,65.0,0.0,0.0,65.25,65.25,65.25,0.0,0.0,64.93,64.93,64.93,0.0,0.0,64.97,64.97,64.97,0.0,0.0
2019-09-15,64.87,64.87,64.87,0.0,0.0,65.06,65.06,65.06,0.0,0.0,64.77,64.77,64.77,0.0,0.0,64.95,64.95,64.95,0.0,0.0
2019-09-22,63.82,63.82,63.82,0.0,0.0,64.05,64.05,64.05,0.0,0.0,63.74,63.74,63.74,0.0,0.0,63.74,63.74,63.74,0.0,0.0
2019-09-29,63.59,63.59,63.59,0.0,0.0,63.69,63.69,63.69,0.0,0.0,63.37,63.37,63.37,0.0,0.0,63.42,63.42,63.42,0.0,0.0
2019-10-06,65.01,65.01,65.01,0.0,0.0,65.13,65.13,65.13,0.0,0.0,64.89,64.89,64.89,0.0,0.0,64.89,64.89,64.89,0.0,0.0
2019-10-13,65.82,65.82,65.82,0.0,0.0,66.08,66.08,66.08,0.0,0.0,65.72,65.72,65.72,0.0,0.0,65.96,65.96,65.96,0.0,0.0
2019-10-20,66.43,66.43,66.43,0.0,0.0,66.9,66.9,66.9,0.0,0.0,66.43,66.43,66.43,0.0,0.0,66.75,66.75,66.75,0.0,0.0
2019-10-27,68.11,68.11,68.11,0.0,0.0,68.22,68.22,68.22,0.0,0.0,68.08,68.08,68.08,0.0,0.0,68.15,68.15,68.15,0.0,0.0
2019-11-03,67.7,67.7,67.7,0.0,0.0,67.88,67.88,67.88,0.0,0.0,67.53,67.53,67.53,0.0,0.0,67.76,67.76,67.76,0.0,0.0
2019-11-10,67.53,67.53,67.53,0.0,0.0,67.6,67.6,67.6,0.0,0.0,67.37,67.37,67.37,0.0,0.0,67.48,67.48,67.48,0.0,0.0
2019-11-17,67.6,67.6,67.6,0.0,0.0,67.98,67.98,67.98,0.0,0.0,67.6,67.6,67.6,0.0,0.0,67.96,67.96,67.96,0.0,0.0
2019-11-24,66.83,66.83,66.83,0.0,0.0,66.93,66.93,66.93,0.0,0.0,66.63,66.63,66.63,0.0,0.0,66.72,66.72,66.72,0.0,0.0
2019-12-01,67.47,67.47,67.47,0.0,0.0,67.52,67.52,67.52,0.0,0.0,67.17,67.17,67.17,0.0,0.0,67.17,67.17,67.17,0.0,0.0
2019-12-08,69.1,69.1,69.1,0.0,0.0,69.37,69.37,69.37,0.0,0.0,69.05,69.05,69.05,0.0,0.0,69.13,69.13,69.13,0.0,0.0
2019-12-15,70.36,70.36,70.36,0.0,0.0,70.41,70.41,70.41,0.0,0.0,70.11,70.11,70.11,0.0,0.0,70.41,70.41,70.41,0.0,0.0
2019-12-22,71.24,71.24,71.24,0.0,0.0,71.24,71.24,71.24,0.0,0.0,70.61,70.61,70.61,0.0,0.0,70.8,70.8,70.8,0.0,0.0
2019-12-29,71.37,71.37,71.37,0.0,0.0,71.52,71.52,71.52,0.0,0.0,71.07,71.07,71.07,0.0,0.0,71.07,71.07,71.07,0.0,0.0
