Date,SPDR S&P Software & Services_Open_average,SPDR S&P Software & Services_Open_max,SPDR S&P Software & Services_Open_min,SPDR S&P Software & Services_Open_volatility,SPDR S&P Software & Services_Open_change,SPDR S&P Software & Services_High_average,SPDR S&P Software & Services_High_max,SPDR S&P Software & Services_High_min,SPDR S&P Software & Services_High_volatility,SPDR S&P Software & Services_High_change,SPDR S&P Software & Services_Low_average,SPDR S&P Software & Services_Low_max,SPDR S&P Software & Services_Low_min,SPDR S&P Software & Services_Low_volatility,SPDR S&P Software & Services_Low_change,SPDR S&P Software & Services_Close_average,SPDR S&P Software & Services_Close_max,SPDR S&P Software & Services_Close_min,SPDR S&P Software & Services_Close_volatility,SPDR S&P Software & Services_Close_change
2018-04-29,78.81,78.81,78.81,0.0,0.0,79.79,79.79,79.79,0.0,0.0,78.81,78.81,78.81,0.0,0.0,79.5,79.5,79.5,0.0,0.0
2018-05-06,80.59,80.59,80.59,0.0,0.0,80.7,80.7,80.7,0.0,0.0,79.8,79.8,79.8,0.0,0.0,79.81,79.81,79.81,0.0,0.0
2018-05-13,80.94,80.94,80.94,0.0,0.0,80.97,80.97,80.97,0.0,0.0,80.2,80.2,80.2,0.0,0.0,80.21,80.21,80.21,0.0,0.0
2018-05-20,80.37,80.37,80.37,0.0,0.0,80.43,80.43,80.43,0.0,0.0,80.23,80.23,80.23,0.0,0.0,80.23,80.23,80.23,0.0,0.0
2018-05-27,81.96,81.96,81.96,0.0,0.0,82.7,82.7,82.7,0.0,0.0,81.92,81.92,81.92,0.0,0.0,82.56,82.56,82.56,0.0,0.0
2018-06-03,83.18,83.18,83.18,0.0,0.0,83.38,83.38,83.38,0.0,0.0,83.09,83.09,83.09,0.0,0.0,83.25,83.25,83.25,0.0,0.0
2018-06-10,84.5,84.5,84.5,0.0,0.0,85.47,85.47,85.47,0.0,0.0,84.32,84.32,84.32,0.0,0.0,85.4,85.4,85.4,0.0,0.0
2018-06-17,82.13,82.13,82.13,0.0,0.0,82.33,82.33,82.33,0.0,0.0,80.4,80.4,80.4,0.0,0.0,80.97,80.97,80.97,0.0,0.0
2018-06-24,81.25,81.25,81.25,0.0,0.0,82.11,82.11,82.11,0.0,0.0,81.25,81.25,81.25,0.0,0.0,81.9,81.9,81.9,0.0,0.0
2018-07-01,84.4,84.4,84.4,0.0,0.0,84.56,84.56,84.56,0.0,0.0,84.01,84.01,84.01,0.0,0.0,84.56,84.56,84.56,0.0,0.0
2018-07-08,86.23,86.23,86.23,0.0,0.0,86.25,86.25,86.25,0.0,0.0,85.48,85.48,85.48,0.0,0.0,85.63,85.63,85.63,0.0,0.0
2018-07-15,86.64,86.64,86.64,0.0,0.0,86.77,86.77,86.77,0.0,0.0,86.0,86.0,86.0,0.0,0.0,86.77,86.77,86.77,0.0,0.0
2018-07-22,84.44,84.44,84.44,0.0,0.0,84.44,84.44,84.44,0.0,0.0,81.75,81.75,81.75,0.0,0.0,82.27,82.27,82.27,0.0,0.0
2018-07-29,84.32,84.32,84.32,0.0,0.0,84.85,84.85,84.85,0.0,0.0,84.3,84.3,84.3,0.0,0.0,84.84,84.84,84.84,0.0,0.0
2018-08-05,86.7,86.7,86.7,0.0,0.0,86.83,86.83,86.83,0.0,0.0,85.87,85.87,85.87,0.0,0.0,85.93,85.93,85.93,0.0,0.0
2018-08-12,86.73,86.73,86.73,0.0,0.0,86.89,86.89,86.89,0.0,0.0,86.22,86.22,86.22,0.0,0.0,86.8,86.8,86.8,0.0,0.0
2018-08-19,90.03,90.03,90.03,0.0,0.0,90.25,90.25,90.25,0.0,0.0,89.7,89.7,89.7,0.0,0.0,89.9,89.9,89.9,0.0,0.0
2018-08-26,90.53,90.53,90.53,0.0,0.0,91.24,91.24,91.24,0.0,0.0,90.53,90.53,90.53,0.0,0.0,91.24,91.24,91.24,0.0,0.0
2018-09-02,90.87,90.87,90.87,0.0,0.0,90.95,90.95,90.95,0.0,0.0,90.32,90.32,90.32,0.0,0.0,90.69,90.69,90.69,0.0,0.0
2018-09-09,93.01,93.01,93.01,0.0,0.0,93.01,93.01,93.01,0.0,0.0,90.47,90.47,90.47,0.0,0.0,90.61,90.61,90.61,0.0,0.0
2018-09-16,90.02,90.02,90.02,0.0,0.0,90.65,90.65,90.65,0.0,0.0,89.71,89.71,89.71,0.0,0.0,90.5,90.5,90.5,0.0,0.0
2018-09-23,91.35,91.35,91.35,0.0,0.0,91.35,91.35,91.35,0.0,0.0,89.51,89.51,89.51,0.0,0.0,89.67,89.67,89.67,0.0,0.0
2018-09-30,86.34,86.34,86.34,0.0,0.0,86.45,86.45,86.45,0.0,0.0,83.83,83.83,83.83,0.0,0.0,85.05,85.05,85.05,0.0,0.0
2018-10-07,81.32,81.32,81.32,0.0,0.0,81.67,81.67,81.67,0.0,0.0,80.67,80.67,80.67,0.0,0.0,81.38,81.38,81.38,0.0,0.0
2018-10-14,81.08,81.08,81.08,0.0,0.0,82.06,82.06,82.06,0.0,0.0,81.08,81.08,81.08,0.0,0.0,81.76,81.76,81.76,0.0,0.0
2018-10-21,79.38,79.38,79.38,0.0,0.0,79.9,79.9,79.9,0.0,0.0,76.05,76.05,76.05,0.0,0.0,76.05,76.05,76.05,0.0,0.0
2018-10-28,80.14,80.14,80.14,0.0,0.0,80.2,80.2,80.2,0.0,0.0,79.64,79.64,79.64,0.0,0.0,79.96,79.96,79.96,0.0,0.0
2018-11-04,81.17,81.17,81.17,0.0,0.0,81.17,81.17,81.17,0.0,0.0,78.76,78.76,78.76,0.0,0.0,79.24,79.24,79.24,0.0,0.0
2018-11-11,79.54,79.54,79.54,0.0,0.0,79.54,79.54,79.54,0.0,0.0,75.76,75.76,75.76,0.0,0.0,76.21,76.21,76.21,0.0,0.0
2018-11-18,77.69,77.69,77.69,0.0,0.0,78.2,78.2,78.2,0.0,0.0,77.33,77.33,77.33,0.0,0.0,78.2,78.2,78.2,0.0,0.0
2018-11-25,82.53,82.53,82.53,0.0,0.0,82.71,82.71,82.71,0.0,0.0,81.06,81.06,81.06,0.0,0.0,81.73,81.73,81.73,0.0,0.0
2018-12-02,77.52,77.52,77.52,0.0,0.0,78.92,78.92,78.92,0.0,0.0,77.52,77.52,77.52,0.0,0.0,78.84,78.84,78.84,0.0,0.0
2018-12-09,77.32,77.32,77.32,0.0,0.0,77.32,77.32,77.32,0.0,0.0,74.77,74.77,74.77,0.0,0.0,74.78,74.78,74.78,0.0,0.0
2018-12-16,70.08,70.08,70.08,0.0,0.0,71.08,71.08,71.08,0.0,0.0,69.55,69.55,69.55,0.0,0.0,70.06,70.06,70.06,0.0,0.0
2018-12-23,74.76,74.76,74.76,0.0,0.0,75.0,75.0,75.0,0.0,0.0,73.98,73.98,73.98,0.0,0.0,74.54,74.54,74.54,0.0,0.0
2018-12-30,75.94,75.94,75.94,0.0,0.0,77.81,77.81,77.81,0.0,0.0,75.94,75.94,75.94,0.0,0.0,77.3,77.3,77.3,0.0,0.0
2019-01-06,79.13,79.13,79.13,0.0,0.0,79.19,79.19,79.19,0.0,0.0,78.62,78.62,78.62,0.0,0.0,78.82,78.82,78.82,0.0,0.0
2019-01-13,81.85,81.85,81.85,0.0,0.0,82.87,82.87,82.87,0.0,0.0,81.72,81.72,81.72,0.0,0.0,82.48,82.48,82.48,0.0,0.0
2019-01-20,82.91,82.91,82.91,0.0,0.0,83.23,83.23,83.23,0.0,0.0,82.29,82.29,82.29,0.0,0.0,83.13,83.13,83.13,0.0,0.0
2019-01-27,86.19,86.19,86.19,0.0,0.0,87.44,87.44,87.44,0.0,0.0,86.19,86.19,86.19,0.0,0.0,87.2,87.2,87.2,0.0,0.0
2019-02-03,88.65,88.65,88.65,0.0,0.0,89.0,89.0,89.0,0.0,0.0,88.18,88.18,88.18,0.0,0.0,88.45,88.45,88.45,0.0,0.0
2019-02-10,91.1,91.1,91.1,0.0,0.0,91.27,91.27,91.27,0.0,0.0,90.78,90.78,90.78,0.0,0.0,91.27,91.27,91.27,0.0,0.0
2019-02-17,92.99,92.99,92.99,0.0,0.0,93.11,93.11,93.11,0.0,0.0,92.43,92.43,92.43,0.0,0.0,92.5,92.5,92.5,0.0,0.0
2019-02-24,93.58,93.58,93.58,0.0,0.0,93.58,93.58,93.58,0.0,0.0,90.38,90.38,90.38,0.0,0.0,91.39,91.39,91.39,0.0,0.0
2019-03-03,90.79,90.79,90.79,0.0,0.0,92.34,92.34,92.34,0.0,0.0,90.79,90.79,90.79,0.0,0.0,92.33,92.33,92.33,0.0,0.0
2019-03-10,93.89,93.89,93.89,0.0,0.0,94.17,94.17,94.17,0.0,0.0,92.89,92.89,92.89,0.0,0.0,93.72,93.72,93.72,0.0,0.0
2019-03-17,92.2,92.2,92.2,0.0,0.0,93.0,93.0,93.0,0.0,0.0,91.73,91.73,91.73,0.0,0.0,92.66,92.66,92.66,0.0,0.0
2019-03-24,95.13,95.13,95.13,0.0,0.0,95.54,95.54,95.54,0.0,0.0,94.36,94.36,94.36,0.0,0.0,95.3,95.3,95.3,0.0,0.0
2019-03-31,94.5,94.5,94.5,0.0,0.0,94.58,94.58,94.58,0.0,0.0,93.58,93.58,93.58,0.0,0.0,94.56,94.56,94.56,0.0,0.0
2019-04-07,95.96,95.96,95.96,0.0,0.0,96.28,96.28,96.28,0.0,0.0,95.42,95.42,95.42,0.0,0.0,95.67,95.67,95.67,0.0,0.0
2019-04-14,94.07,94.07,94.07,0.0,0.0,95.48,95.48,95.48,0.0,0.0,93.97,93.97,93.97,0.0,0.0,95.48,95.48,95.48,0.0,0.0
2019-04-21,98.11,98.11,98.11,0.0,0.0,98.88,98.88,98.88,0.0,0.0,98.11,98.11,98.11,0.0,0.0,98.39,98.39,98.39,0.0,0.0
2019-04-28,95.83,95.83,95.83,0.0,0.0,97.98,97.98,97.98,0.0,0.0,95.58,95.58,95.58,0.0,0.0,97.77,97.77,97.77,0.0,0.0
2019-05-05,93.19,93.19,93.19,0.0,0.0,93.48,93.48,93.48,0.0,0.0,91.42,91.42,91.42,0.0,0.0,91.75,91.75,91.75,0.0,0.0
2019-05-12,94.02,94.02,94.02,0.0,0.0,94.37,94.37,94.37,0.0,0.0,93.21,93.21,93.21,0.0,0.0,93.59,93.59,93.59,0.0,0.0
2019-05-19,93.62,93.62,93.62,0.0,0.0,93.98,93.98,93.98,0.0,0.0,93.21,93.21,93.21,0.0,0.0,93.66,93.66,93.66,0.0,0.0
2019-05-26,92.21,92.21,92.21,0.0,0.0,92.49,92.49,92.49,0.0,0.0,88.96,88.96,88.96,0.0,0.0,89.62,89.62,89.62,0.0,0.0
2019-06-02,95.06,95.06,95.06,0.0,0.0,96.13,96.13,96.13,0.0,0.0,95.01,95.01,95.01,0.0,0.0,95.13,95.13,95.13,0.0,0.0
2019-06-09,94.43,94.43,94.43,0.0,0.0,95.48,95.48,95.48,0.0,0.0,94.43,94.43,94.43,0.0,0.0,94.87,94.87,94.87,0.0,0.0
2019-06-16,96.92,96.92,96.92,0.0,0.0,96.92,96.92,96.92,0.0,0.0,95.54,95.54,95.54,0.0,0.0,95.55,95.55,95.55,0.0,0.0
2019-06-23,97.59,97.59,97.59,0.0,0.0,97.8,97.8,97.8,0.0,0.0,96.58,96.58,96.58,0.0,0.0,96.98,96.98,96.98,0.0,0.0
2019-06-30,98.01,98.01,98.01,0.0,0.0,98.01,98.01,98.01,0.0,0.0,97.59,97.59,97.59,0.0,0.0,97.76,97.76,97.76,0.0,0.0
2019-07-07,100.23,100.23,100.23,0.0,0.0,100.23,100.23,100.23,0.0,0.0,99.52,99.52,99.52,0.0,0.0,99.98,99.98,99.98,0.0,0.0
2019-07-14,99.09,99.09,99.09,0.0,0.0,99.6,99.6,99.6,0.0,0.0,99.06,99.06,99.06,0.0,0.0,99.28,99.28,99.28,0.0,0.0
2019-07-21,101.9,101.9,101.9,0.0,0.0,102.16,102.16,102.16,0.0,0.0,99.74,99.74,99.74,0.0,0.0,100.71,100.71,100.71,0.0,0.0
2019-07-28,95.53,95.53,95.53,0.0,0.0,95.53,95.53,95.53,0.0,0.0,92.61,92.61,92.61,0.0,0.0,93.67,93.67,93.67,0.0,0.0
2019-08-04,95.82,95.82,95.82,0.0,0.0,95.82,95.82,95.82,0.0,0.0,94.51,94.51,94.51,0.0,0.0,94.92,94.92,94.92,0.0,0.0
2019-08-11,96.35,96.35,96.35,0.0,0.0,96.35,96.35,96.35,0.0,0.0,95.61,95.61,95.61,0.0,0.0,95.66,95.66,95.66,0.0,0.0
2019-08-18,95.94,95.94,95.94,0.0,0.0,95.97,95.97,95.97,0.0,0.0,94.98,94.98,94.98,0.0,0.0,95.73,95.73,95.73,0.0,0.0
2019-08-25,96.98,96.98,96.98,0.0,0.0,97.08,97.08,97.08,0.0,0.0,95.49,95.49,95.49,0.0,0.0,96.3,96.3,96.3,0.0,0.0
2019-09-01,97.63,97.63,97.63,0.0,0.0,97.63,97.63,97.63,0.0,0.0,95.06,95.06,95.06,0.0,0.0,95.82,95.82,95.82,0.0,0.0
2019-09-08,95.2,95.2,95.2,0.0,0.0,96.54,96.54,96.54,0.0,0.0,95.2,95.2,95.2,0.0,0.0,96.3,96.3,96.3,0.0,0.0
2019-09-15,95.59,95.59,95.59,0.0,0.0,95.86,95.86,95.86,0.0,0.0,95.01,95.01,95.01,0.0,0.0,95.6,95.6,95.6,0.0,0.0
2019-09-22,92.47,92.47,92.47,0.0,0.0,93.58,93.58,93.58,0.0,0.0,92.12,92.12,92.12,0.0,0.0,93.36,93.36,93.36,0.0,0.0
2019-09-29,93.7,93.7,93.7,0.0,0.0,94.54,94.54,94.54,0.0,0.0,93.7,93.7,93.7,0.0,0.0,94.26,94.26,94.26,0.0,0.0
2019-10-06,94.31,94.31,94.31,0.0,0.0,94.67,94.67,94.67,0.0,0.0,94.15,94.15,94.15,0.0,0.0,94.45,94.45,94.45,0.0,0.0
2019-10-13,92.7,92.7,92.7,0.0,0.0,93.26,93.26,93.26,0.0,0.0,92.38,92.38,92.38,0.0,0.0,92.93,92.93,92.93,0.0,0.0
2019-10-20,94.53,94.53,94.53,0.0,0.0,95.29,95.29,95.29,0.0,0.0,94.38,94.38,94.38,0.0,0.0,94.98,94.98,94.98,0.0,0.0
2019-10-27,97.3,97.3,97.3,0.0,0.0,97.68,97.68,97.68,0.0,0.0,96.63,96.63,96.63,0.0,0.0,96.71,96.71,96.71,0.0,0.0
2019-11-03,96.85,96.85,96.85,0.0,0.0,97.49,97.49,97.49,0.0,0.0,96.85,96.85,96.85,0.0,0.0,97.3,97.3,97.3,0.0,0.0
2019-11-10,99.41,99.41,99.41,0.0,0.0,99.73,99.73,99.73,0.0,0.0,98.95,98.95,98.95,0.0,0.0,99.44,99.44,99.44,0.0,0.0
2019-11-17,100.44,100.44,100.44,0.0,0.0,101.76,101.76,101.76,0.0,0.0,100.17,100.17,100.17,0.0,0.0,101.72,101.72,101.72,0.0,0.0
2019-11-24,102.84,102.84,102.84,0.0,0.0,102.84,102.84,102.84,0.0,0.0,100.09,100.09,100.09,0.0,0.0,100.65,100.65,100.65,0.0,0.0
2019-12-01,100.43,100.43,100.43,0.0,0.0,100.46,100.46,100.46,0.0,0.0,99.94,99.94,99.94,0.0,0.0,99.99,99.99,99.99,0.0,0.0
2019-12-08,100.38,100.38,100.38,0.0,0.0,101.02,101.02,101.02,0.0,0.0,100.32,100.32,100.32,0.0,0.0,100.68,100.68,100.68,0.0,0.0
2019-12-15,102.67,102.67,102.67,0.0,0.0,102.67,102.67,102.67,0.0,0.0,101.94,101.94,101.94,0.0,0.0,102.15,102.15,102.15,0.0,0.0
2019-12-22,102.15,102.15,102.15,0.0,0.0,102.15,102.15,102.15,0.0,0.0,100.55,100.55,100.55,0.0,0.0,101.35,101.35,101.35,0.0,0.0
2019-12-29,101.87,101.87,101.87,0.0,0.0,102.81,102.81,102.81,0.0,0.0,101.87,101.87,101.87,0.0,0.0,102.71,102.71,102.71,0.0,0.0
