Date,iShares S&P GSCI Commodity-Indexed_Open_average,iShares S&P GSCI Commodity-Indexed_Open_max,iShares S&P GSCI Commodity-Indexed_Open_min,iShares S&P GSCI Commodity-Indexed_Open_volatility,iShares S&P GSCI Commodity-Indexed_Open_change,iShares S&P GSCI Commodity-Indexed_High_average,iShares S&P GSCI Commodity-Indexed_High_max,iShares S&P GSCI Commodity-Indexed_High_min,iShares S&P GSCI Commodity-Indexed_High_volatility,iShares S&P GSCI Commodity-Indexed_High_change,iShares S&P GSCI Commodity-Indexed_Low_average,iShares S&P GSCI Commodity-Indexed_Low_max,iShares S&P GSCI Commodity-Indexed_Low_min,iShares S&P GSCI Commodity-Indexed_Low_volatility,iShares S&P GSCI Commodity-Indexed_Low_change,iShares S&P GSCI Commodity-Indexed_Close_average,iShares S&P GSCI Commodity-Indexed_Close_max,iShares S&P GSCI Commodity-Indexed_Close_min,iShares S&P GSCI Commodity-Indexed_Close_volatility,iShares S&P GSCI Commodity-Indexed_Close_change
2018-04-15,17.23,17.23,17.23,0.0,0.0,17.45,17.45,17.45,0.0,0.0,17.19,17.19,17.19,0.0,0.0,17.44,17.44,17.44,0.0,0.0
2018-04-22,17.29,17.29,17.29,0.0,0.0,17.57,17.57,17.57,0.0,0.0,17.27,17.27,17.27,0.0,0.0,17.42,17.42,17.42,0.0,0.0
2018-04-29,17.71,17.71,17.71,0.0,0.0,17.76,17.76,17.76,0.0,0.0,17.56,17.56,17.56,0.0,0.0,17.6,17.6,17.6,0.0,0.0
2018-05-06,17.8,17.8,17.8,0.0,0.0,17.91,17.91,17.91,0.0,0.0,17.8,17.8,17.8,0.0,0.0,17.91,17.91,17.91,0.0,0.0
2018-05-13,18.05,18.05,18.05,0.0,0.0,18.16,18.16,18.16,0.0,0.0,18.0,18.0,18.0,0.0,0.0,18.15,18.15,18.15,0.0,0.0
2018-05-20,17.84,17.84,17.84,0.0,0.0,17.84,17.84,17.84,0.0,0.0,17.66,17.66,17.66,0.0,0.0,17.72,17.72,17.72,0.0,0.0
2018-05-27,17.48,17.48,17.48,0.0,0.0,17.5,17.5,17.5,0.0,0.0,17.29,17.29,17.29,0.0,0.0,17.32,17.32,17.32,0.0,0.0
2018-06-03,17.4,17.4,17.4,0.0,0.0,17.55,17.55,17.55,0.0,0.0,17.4,17.4,17.4,0.0,0.0,17.48,17.48,17.48,0.0,0.0
2018-06-10,17.09,17.09,17.09,0.0,0.0,17.22,17.22,17.22,0.0,0.0,17.05,17.05,17.05,0.0,0.0,17.19,17.19,17.19,0.0,0.0
2018-06-17,17.27,17.27,17.27,0.0,0.0,17.27,17.27,17.27,0.0,0.0,17.09,17.09,17.09,0.0,0.0,17.14,17.14,17.14,0.0,0.0
2018-06-24,17.85,17.85,17.85,0.0,0.0,17.85,17.85,17.85,0.0,0.0,17.64,17.64,17.64,0.0,0.0,17.66,17.66,17.66,0.0,0.0
2018-07-01,17.73,17.73,17.73,0.0,0.0,17.77,17.77,17.77,0.0,0.0,17.64,17.64,17.64,0.0,0.0,17.76,17.76,17.76,0.0,0.0
2018-07-08,16.97,16.97,16.97,0.0,0.0,16.97,16.97,16.97,0.0,0.0,16.71,16.71,16.71,0.0,0.0,16.78,16.78,16.78,0.0,0.0
2018-07-15,17.1,17.1,17.1,0.0,0.0,17.15,17.15,17.15,0.0,0.0,16.96,16.96,16.96,0.0,0.0,17.02,17.02,17.02,0.0,0.0
2018-07-22,17.41,17.41,17.41,0.0,0.0,17.5,17.5,17.5,0.0,0.0,17.39,17.39,17.39,0.0,0.0,17.41,17.41,17.41,0.0,0.0
2018-07-29,17.22,17.22,17.22,0.0,0.0,17.37,17.37,17.37,0.0,0.0,17.21,17.21,17.21,0.0,0.0,17.23,17.23,17.23,0.0,0.0
2018-08-05,16.94,16.94,16.94,0.0,0.0,16.99,16.99,16.99,0.0,0.0,16.7,16.7,16.7,0.0,0.0,16.95,16.95,16.95,0.0,0.0
2018-08-12,16.83,16.83,16.83,0.0,0.0,16.88,16.88,16.88,0.0,0.0,16.78,16.78,16.78,0.0,0.0,16.83,16.83,16.83,0.0,0.0
2018-08-19,17.27,17.27,17.27,0.0,0.0,17.32,17.32,17.32,0.0,0.0,17.25,17.25,17.25,0.0,0.0,17.32,17.32,17.32,0.0,0.0
2018-08-26,17.49,17.49,17.49,0.0,0.0,17.54,17.54,17.54,0.0,0.0,17.43,17.43,17.43,0.0,0.0,17.44,17.44,17.44,0.0,0.0
2018-09-02,17.29,17.29,17.29,0.0,0.0,17.32,17.32,17.32,0.0,0.0,17.17,17.17,17.17,0.0,0.0,17.2,17.2,17.2,0.0,0.0
2018-09-09,17.34,17.34,17.34,0.0,0.0,17.38,17.38,17.38,0.0,0.0,17.21,17.21,17.21,0.0,0.0,17.24,17.24,17.24,0.0,0.0
2018-09-16,17.83,17.83,17.83,0.0,0.0,17.94,17.94,17.94,0.0,0.0,17.82,17.82,17.82,0.0,0.0,17.89,17.89,17.89,0.0,0.0
2018-09-23,18.12,18.12,18.12,0.0,0.0,18.53,18.53,18.53,0.0,0.0,18.12,18.12,18.12,0.0,0.0,18.5,18.5,18.5,0.0,0.0
2018-09-30,18.29,18.29,18.29,0.0,0.0,18.4,18.4,18.4,0.0,0.0,18.25,18.25,18.25,0.0,0.0,18.39,18.39,18.39,0.0,0.0
2018-10-07,17.99,17.99,17.99,0.0,0.0,18.06,18.06,18.06,0.0,0.0,17.89,17.89,17.89,0.0,0.0,18.02,18.02,18.02,0.0,0.0
2018-10-14,17.71,17.71,17.71,0.0,0.0,17.78,17.78,17.78,0.0,0.0,17.61,17.61,17.61,0.0,0.0,17.78,17.78,17.78,0.0,0.0
2018-10-21,17.42,17.42,17.42,0.0,0.0,17.45,17.45,17.45,0.0,0.0,17.25,17.25,17.25,0.0,0.0,17.28,17.28,17.28,0.0,0.0
2018-10-28,16.96,16.96,16.96,0.0,0.0,17.0,17.0,17.0,0.0,0.0,16.79,16.79,16.79,0.0,0.0,16.8,16.8,16.8,0.0,0.0
2018-11-04,16.48,16.48,16.48,0.0,0.0,16.58,16.58,16.58,0.0,0.0,16.25,16.25,16.25,0.0,0.0,16.28,16.28,16.28,0.0,0.0
2018-11-11,16.02,16.02,16.02,0.0,0.0,16.23,16.23,16.23,0.0,0.0,15.89,15.89,15.89,0.0,0.0,16.17,16.17,16.17,0.0,0.0
2018-11-18,15.14,15.14,15.14,0.0,0.0,15.23,15.23,15.23,0.0,0.0,15.12,15.12,15.12,0.0,0.0,15.17,15.17,15.17,0.0,0.0
2018-11-25,15.49,15.49,15.49,0.0,0.0,15.52,15.52,15.52,0.0,0.0,15.31,15.31,15.31,0.0,0.0,15.46,15.46,15.46,0.0,0.0
2018-12-02,15.3,15.3,15.3,0.0,0.0,15.38,15.38,15.38,0.0,0.0,15.13,15.13,15.13,0.0,0.0,15.17,15.17,15.17,0.0,0.0
2018-12-09,15.1,15.1,15.1,0.0,0.0,15.12,15.12,15.12,0.0,0.0,14.76,14.76,14.76,0.0,0.0,14.79,14.79,14.79,0.0,0.0
2018-12-16,14.02,14.02,14.02,0.0,0.0,14.06,14.06,14.06,0.0,0.0,13.85,13.85,13.85,0.0,0.0,13.86,13.86,13.86,0.0,0.0
2018-12-23,14.02,14.02,14.02,0.0,0.0,14.03,14.03,14.03,0.0,0.0,13.82,13.82,13.82,0.0,0.0,14.02,14.02,14.02,0.0,0.0
2018-12-30,14.53,14.53,14.53,0.0,0.0,14.7,14.7,14.7,0.0,0.0,14.49,14.49,14.49,0.0,0.0,14.51,14.51,14.51,0.0,0.0
2019-01-06,14.95,14.95,14.95,0.0,0.0,15.04,15.04,15.04,0.0,0.0,14.84,14.84,14.84,0.0,0.0,14.87,14.87,14.87,0.0,0.0
2019-01-13,15.17,15.17,15.17,0.0,0.0,15.36,15.36,15.36,0.0,0.0,15.12,15.12,15.12,0.0,0.0,15.32,15.32,15.32,0.0,0.0
2019-01-20,14.95,14.95,14.95,0.0,0.0,14.96,14.96,14.96,0.0,0.0,14.84,14.84,14.84,0.0,0.0,14.92,14.92,14.92,0.0,0.0
2019-01-27,15.24,15.24,15.24,0.0,0.0,15.38,15.38,15.38,0.0,0.0,15.12,15.12,15.12,0.0,0.0,15.37,15.37,15.37,0.0,0.0
2019-02-03,15.0,15.0,15.0,0.0,0.0,15.07,15.07,15.07,0.0,0.0,14.9,14.9,14.9,0.0,0.0,15.04,15.04,15.04,0.0,0.0
2019-02-10,15.52,15.52,15.52,0.0,0.0,15.66,15.66,15.66,0.0,0.0,15.49,15.49,15.49,0.0,0.0,15.66,15.66,15.66,0.0,0.0
2019-02-17,15.68,15.68,15.68,0.0,0.0,15.69,15.69,15.69,0.0,0.0,15.47,15.47,15.47,0.0,0.0,15.5,15.5,15.5,0.0,0.0
2019-02-24,15.66,15.66,15.66,0.0,0.0,15.73,15.73,15.73,0.0,0.0,15.52,15.52,15.52,0.0,0.0,15.61,15.61,15.61,0.0,0.0
2019-03-03,15.65,15.65,15.65,0.0,0.0,15.66,15.66,15.66,0.0,0.0,15.56,15.56,15.56,0.0,0.0,15.63,15.63,15.63,0.0,0.0
2019-03-10,15.95,15.95,15.95,0.0,0.0,15.99,15.99,15.99,0.0,0.0,15.87,15.87,15.87,0.0,0.0,15.99,15.99,15.99,0.0,0.0
2019-03-17,15.92,15.92,15.92,0.0,0.0,16.04,16.04,16.04,0.0,0.0,15.85,15.85,15.85,0.0,0.0,15.98,15.98,15.98,0.0,0.0
2019-03-24,16.05,16.05,16.05,0.0,0.0,16.19,16.19,16.19,0.0,0.0,16.05,16.05,16.05,0.0,0.0,16.18,16.18,16.18,0.0,0.0
2019-03-31,16.52,16.52,16.52,0.0,0.0,16.6,16.6,16.6,0.0,0.0,16.52,16.52,16.52,0.0,0.0,16.6,16.6,16.6,0.0,0.0
2019-04-07,16.53,16.53,16.53,0.0,0.0,16.57,16.57,16.57,0.0,0.0,16.49,16.49,16.49,0.0,0.0,16.55,16.55,16.55,0.0,0.0
2019-04-14,16.73,16.73,16.73,0.0,0.0,16.83,16.83,16.83,0.0,0.0,16.72,16.72,16.72,0.0,0.0,16.76,16.76,16.76,0.0,0.0
2019-04-21,16.35,16.35,16.35,0.0,0.0,16.39,16.39,16.39,0.0,0.0,16.28,16.28,16.28,0.0,0.0,16.35,16.35,16.35,0.0,0.0
2019-04-28,16.07,16.07,16.07,0.0,0.0,16.27,16.27,16.27,0.0,0.0,16.05,16.05,16.05,0.0,0.0,16.25,16.25,16.25,0.0,0.0
2019-05-05,16.18,16.18,16.18,0.0,0.0,16.2,16.2,16.2,0.0,0.0,15.85,15.85,15.85,0.0,0.0,15.86,15.86,15.86,0.0,0.0
2019-05-12,16.37,16.37,16.37,0.0,0.0,16.45,16.45,16.45,0.0,0.0,16.31,16.31,16.31,0.0,0.0,16.34,16.34,16.34,0.0,0.0
2019-05-19,15.76,15.76,15.76,0.0,0.0,15.8,15.8,15.8,0.0,0.0,15.59,15.59,15.59,0.0,0.0,15.8,15.8,15.8,0.0,0.0
2019-05-26,15.14,15.14,15.14,0.0,0.0,15.16,15.16,15.16,0.0,0.0,14.88,14.88,14.88,0.0,0.0,14.9,14.9,14.9,0.0,0.0
2019-06-02,15.0,15.0,15.0,0.0,0.0,15.12,15.12,15.12,0.0,0.0,14.95,14.95,14.95,0.0,0.0,15.0,15.0,15.0,0.0,0.0
2019-06-09,14.98,14.98,14.98,0.0,0.0,15.04,15.04,15.04,0.0,0.0,14.9,14.9,14.9,0.0,0.0,14.94,14.94,14.94,0.0,0.0
2019-06-16,15.62,15.62,15.62,0.0,0.0,15.65,15.65,15.65,0.0,0.0,15.5,15.5,15.5,0.0,0.0,15.64,15.64,15.64,0.0,0.0
2019-06-23,15.92,15.92,15.92,0.0,0.0,15.92,15.92,15.92,0.0,0.0,15.6,15.6,15.6,0.0,0.0,15.72,15.72,15.72,0.0,0.0
2019-06-30,15.66,15.66,15.66,0.0,0.0,15.73,15.73,15.73,0.0,0.0,15.53,15.53,15.53,0.0,0.0,15.54,15.54,15.54,0.0,0.0
2019-07-07,16.15,16.15,16.15,0.0,0.0,16.15,16.15,16.15,0.0,0.0,15.92,15.92,15.92,0.0,0.0,15.94,15.94,15.94,0.0,0.0
2019-07-14,15.47,15.47,15.47,0.0,0.0,15.52,15.52,15.52,0.0,0.0,15.44,15.44,15.44,0.0,0.0,15.49,15.49,15.49,0.0,0.0
2019-07-21,15.51,15.51,15.51,0.0,0.0,15.55,15.55,15.55,0.0,0.0,15.4,15.4,15.4,0.0,0.0,15.55,15.55,15.55,0.0,0.0
2019-07-28,14.7,14.7,14.7,0.0,0.0,15.04,15.04,15.04,0.0,0.0,14.7,14.7,14.7,0.0,0.0,14.91,14.91,14.91,0.0,0.0
2019-08-04,14.88,14.88,14.88,0.0,0.0,14.9,14.9,14.9,0.0,0.0,14.71,14.71,14.71,0.0,0.0,14.74,14.74,14.74,0.0,0.0
2019-08-11,14.79,14.79,14.79,0.0,0.0,14.88,14.88,14.88,0.0,0.0,14.77,14.77,14.77,0.0,0.0,14.86,14.86,14.86,0.0,0.0
2019-08-18,14.77,14.77,14.77,0.0,0.0,14.81,14.81,14.81,0.0,0.0,14.58,14.58,14.58,0.0,0.0,14.61,14.61,14.61,0.0,0.0
2019-08-25,15.0,15.0,15.0,0.0,0.0,15.0,15.0,15.0,0.0,0.0,14.71,14.71,14.71,0.0,0.0,14.82,14.82,14.82,0.0,0.0
2019-09-01,15.17,15.17,15.17,0.0,0.0,15.32,15.32,15.32,0.0,0.0,15.16,15.16,15.16,0.0,0.0,15.28,15.28,15.28,0.0,0.0
2019-09-08,15.81,15.81,15.81,0.0,0.0,16.26,16.26,16.26,0.0,0.0,15.78,15.78,15.78,0.0,0.0,16.07,16.07,16.07,0.0,0.0
2019-09-15,15.58,15.58,15.58,0.0,0.0,15.64,15.64,15.64,0.0,0.0,15.51,15.51,15.51,0.0,0.0,15.62,15.62,15.62,0.0,0.0
2019-09-22,15.13,15.13,15.13,0.0,0.0,15.2,15.2,15.2,0.0,0.0,15.0,15.0,15.0,0.0,0.0,15.05,15.05,15.05,0.0,0.0
2019-09-29,14.95,14.95,14.95,0.0,0.0,15.03,15.03,15.03,0.0,0.0,14.84,14.84,14.84,0.0,0.0,14.88,14.88,14.88,0.0,0.0
2019-10-06,15.08,15.08,15.08,0.0,0.0,15.14,15.14,15.14,0.0,0.0,15.02,15.02,15.02,0.0,0.0,15.09,15.09,15.09,0.0,0.0
2019-10-13,15.02,15.02,15.02,0.0,0.0,15.12,15.12,15.12,0.0,0.0,15.01,15.01,15.01,0.0,0.0,15.09,15.09,15.09,0.0,0.0
2019-10-20,15.56,15.56,15.56,0.0,0.0,15.57,15.57,15.57,0.0,0.0,15.4,15.4,15.4,0.0,0.0,15.46,15.46,15.46,0.0,0.0
2019-10-27,15.69,15.69,15.69,0.0,0.0,15.75,15.75,15.75,0.0,0.0,15.62,15.62,15.62,0.0,0.0,15.65,15.65,15.65,0.0,0.0
2019-11-03,15.47,15.47,15.47,0.0,0.0,15.6,15.6,15.6,0.0,0.0,15.45,15.45,15.45,0.0,0.0,15.51,15.51,15.51,0.0,0.0
2019-11-10,15.5,15.5,15.5,0.0,0.0,15.53,15.53,15.53,0.0,0.0,15.37,15.37,15.37,0.0,0.0,15.39,15.39,15.39,0.0,0.0
2019-11-17,15.53,15.53,15.53,0.0,0.0,15.62,15.62,15.62,0.0,0.0,15.48,15.48,15.48,0.0,0.0,15.61,15.61,15.61,0.0,0.0
2019-11-24,15.35,15.35,15.35,0.0,0.0,15.38,15.38,15.38,0.0,0.0,15.23,15.23,15.23,0.0,0.0,15.26,15.26,15.26,0.0,0.0
2019-12-01,15.64,15.64,15.64,0.0,0.0,15.71,15.71,15.71,0.0,0.0,15.62,15.62,15.62,0.0,0.0,15.68,15.68,15.68,0.0,0.0
2019-12-08,16.02,16.02,16.02,0.0,0.0,16.08,16.08,16.08,0.0,0.0,16.01,16.01,16.01,0.0,0.0,16.06,16.06,16.06,0.0,0.0
2019-12-15,16.01,16.01,16.01,0.0,0.0,16.17,16.17,16.17,0.0,0.0,16.0,16.0,16.0,0.0,0.0,16.17,16.17,16.17,0.0,0.0
2019-12-22,16.48,16.48,16.48,0.0,0.0,16.5,16.5,16.5,0.0,0.0,16.28,16.28,16.28,0.0,0.0,16.33,16.33,16.33,0.0,0.0
2019-12-29,16.54,16.54,16.54,0.0,0.0,16.61,16.61,16.61,0.0,0.0,16.42,16.42,16.42,0.0,0.0,16.51,16.51,16.51,0.0,0.0
