Date,iShares MSCI EAFE Value_Open_average,iShares MSCI EAFE Value_Open_max,iShares MSCI EAFE Value_Open_min,iShares MSCI EAFE Value_Open_volatility,iShares MSCI EAFE Value_Open_change,iShares MSCI EAFE Value_High_average,iShares MSCI EAFE Value_High_max,iShares MSCI EAFE Value_High_min,iShares MSCI EAFE Value_High_volatility,iShares MSCI EAFE Value_High_change,iShares MSCI EAFE Value_Low_average,iShares MSCI EAFE Value_Low_max,iShares MSCI EAFE Value_Low_min,iShares MSCI EAFE Value_Low_volatility,iShares MSCI EAFE Value_Low_change,iShares MSCI EAFE Value_Close_average,iShares MSCI EAFE Value_Close_max,iShares MSCI EAFE Value_Close_min,iShares MSCI EAFE Value_Close_volatility,iShares MSCI EAFE Value_Close_change
2018-04-01,54.93,54.93,54.93,0.0,0.0,55.26,55.26,55.26,0.0,0.0,54.78,54.78,54.78,0.0,0.0,54.84,54.84,54.84,0.0,0.0
2018-04-08,55.68,55.68,55.68,0.0,0.0,55.82,55.82,55.82,0.0,0.0,55.58,55.58,55.58,0.0,0.0,55.71,55.71,55.71,0.0,0.0
2018-04-15,56.04,56.04,56.04,0.0,0.0,56.2,56.2,56.2,0.0,0.0,55.93,55.93,55.93,0.0,0.0,56.11,56.11,56.11,0.0,0.0
2018-04-22,55.95,55.95,55.95,0.0,0.0,56.11,56.11,56.11,0.0,0.0,55.79,55.79,55.79,0.0,0.0,55.83,55.83,55.83,0.0,0.0
2018-04-29,55.72,55.72,55.72,0.0,0.0,55.84,55.84,55.84,0.0,0.0,55.62,55.62,55.62,0.0,0.0,55.7,55.7,55.7,0.0,0.0
2018-05-06,56.51,56.51,56.51,0.0,0.0,56.51,56.51,56.51,0.0,0.0,56.31,56.31,56.31,0.0,0.0,56.38,56.38,56.38,0.0,0.0
2018-05-13,55.92,55.92,55.92,0.0,0.0,55.93,55.93,55.93,0.0,0.0,55.76,55.76,55.76,0.0,0.0,55.9,55.9,55.9,0.0,0.0
2018-05-20,54.28,54.28,54.28,0.0,0.0,54.43,54.43,54.43,0.0,0.0,54.2,54.2,54.2,0.0,0.0,54.34,54.34,54.34,0.0,0.0
2018-05-27,54.38,54.38,54.38,0.0,0.0,54.47,54.47,54.47,0.0,0.0,54.19,54.19,54.19,0.0,0.0,54.25,54.25,54.25,0.0,0.0
2018-06-03,54.48,54.48,54.48,0.0,0.0,54.86,54.86,54.86,0.0,0.0,54.47,54.47,54.47,0.0,0.0,54.71,54.71,54.71,0.0,0.0
2018-06-10,53.24,53.24,53.24,0.0,0.0,53.38,53.38,53.38,0.0,0.0,53.16,53.16,53.16,0.0,0.0,53.37,53.37,53.37,0.0,0.0
2018-06-17,51.42,51.42,51.42,0.0,0.0,51.43,51.43,51.43,0.0,0.0,50.93,50.93,50.93,0.0,0.0,51.07,51.07,51.07,0.0,0.0
2018-06-24,50.68,50.68,50.68,0.0,0.0,50.93,50.93,50.93,0.0,0.0,50.57,50.57,50.57,0.0,0.0,50.85,50.85,50.85,0.0,0.0
2018-07-01,52.3,52.3,52.3,0.0,0.0,52.51,52.51,52.51,0.0,0.0,52.26,52.26,52.26,0.0,0.0,52.5,52.5,52.5,0.0,0.0
2018-07-08,51.65,51.65,51.65,0.0,0.0,51.66,51.66,51.66,0.0,0.0,51.51,51.51,51.51,0.0,0.0,51.59,51.59,51.59,0.0,0.0
2018-07-15,51.86,51.86,51.86,0.0,0.0,51.99,51.99,51.99,0.0,0.0,51.82,51.82,51.82,0.0,0.0,51.93,51.93,51.93,0.0,0.0
2018-07-22,52.93,52.93,52.93,0.0,0.0,52.97,52.97,52.97,0.0,0.0,52.77,52.77,52.77,0.0,0.0,52.82,52.82,52.82,0.0,0.0
2018-07-29,51.68,51.68,51.68,0.0,0.0,51.92,51.92,51.92,0.0,0.0,51.63,51.63,51.63,0.0,0.0,51.85,51.85,51.85,0.0,0.0
2018-08-05,50.92,50.92,50.92,0.0,0.0,51.01,51.01,51.01,0.0,0.0,50.67,50.67,50.67,0.0,0.0,50.77,50.77,50.77,0.0,0.0
2018-08-12,50.75,50.75,50.75,0.0,0.0,50.93,50.93,50.93,0.0,0.0,50.7,50.7,50.7,0.0,0.0,50.9,50.9,50.9,0.0,0.0
2018-08-19,51.56,51.56,51.56,0.0,0.0,51.77,51.77,51.77,0.0,0.0,51.48,51.48,51.48,0.0,0.0,51.76,51.76,51.76,0.0,0.0
2018-08-26,51.0,51.0,51.0,0.0,0.0,51.11,51.11,51.11,0.0,0.0,50.69,50.69,50.69,0.0,0.0,50.88,50.88,50.88,0.0,0.0
2018-09-02,50.03,50.03,50.03,0.0,0.0,50.09,50.09,50.09,0.0,0.0,49.92,49.92,49.92,0.0,0.0,49.97,49.97,49.97,0.0,0.0
2018-09-09,51.02,51.02,51.02,0.0,0.0,51.14,51.14,51.14,0.0,0.0,50.89,50.89,50.89,0.0,0.0,50.89,50.89,50.89,0.0,0.0
2018-09-16,52.63,52.63,52.63,0.0,0.0,52.63,52.63,52.63,0.0,0.0,52.29,52.29,52.29,0.0,0.0,52.29,52.29,52.29,0.0,0.0
2018-09-23,52.13,52.13,52.13,0.0,0.0,52.13,52.13,52.13,0.0,0.0,51.91,51.91,51.91,0.0,0.0,52.0,52.0,52.0,0.0,0.0
2018-09-30,50.68,50.68,50.68,0.0,0.0,50.89,50.89,50.89,0.0,0.0,50.46,50.46,50.46,0.0,0.0,50.88,50.88,50.88,0.0,0.0
2018-10-07,49.44,49.44,49.44,0.0,0.0,49.67,49.67,49.67,0.0,0.0,49.29,49.29,49.29,0.0,0.0,49.41,49.41,49.41,0.0,0.0
2018-10-14,49.49,49.49,49.49,0.0,0.0,49.54,49.54,49.54,0.0,0.0,49.06,49.06,49.06,0.0,0.0,49.21,49.21,49.21,0.0,0.0
2018-10-21,48.28,48.28,48.28,0.0,0.0,48.35,48.35,48.35,0.0,0.0,47.29,47.29,47.29,0.0,0.0,47.67,47.67,47.67,0.0,0.0
2018-10-28,48.98,48.98,48.98,0.0,0.0,49.07,49.07,49.07,0.0,0.0,48.77,48.77,48.77,0.0,0.0,48.86,48.86,48.86,0.0,0.0
2018-11-04,48.77,48.77,48.77,0.0,0.0,48.8,48.8,48.8,0.0,0.0,48.19,48.19,48.19,0.0,0.0,48.21,48.21,48.21,0.0,0.0
2018-11-11,48.57,48.57,48.57,0.0,0.0,48.59,48.59,48.59,0.0,0.0,48.08,48.08,48.08,0.0,0.0,48.23,48.23,48.23,0.0,0.0
2018-11-18,48.37,48.37,48.37,0.0,0.0,48.53,48.53,48.53,0.0,0.0,48.31,48.31,48.31,0.0,0.0,48.5,48.5,48.5,0.0,0.0
2018-11-25,49.01,49.01,49.01,0.0,0.0,49.26,49.26,49.26,0.0,0.0,48.77,48.77,48.77,0.0,0.0,49.0,49.0,49.0,0.0,0.0
2018-12-02,46.54,46.54,46.54,0.0,0.0,46.56,46.56,46.56,0.0,0.0,45.87,45.87,45.87,0.0,0.0,46.33,46.33,46.33,0.0,0.0
2018-12-09,46.57,46.57,46.57,0.0,0.0,46.6,46.6,46.6,0.0,0.0,46.01,46.01,46.01,0.0,0.0,46.2,46.2,46.2,0.0,0.0
2018-12-16,44.25,44.25,44.25,0.0,0.0,44.47,44.47,44.47,0.0,0.0,43.65,43.65,43.65,0.0,0.0,43.66,43.66,43.66,0.0,0.0
2018-12-23,45.3,45.3,45.3,0.0,0.0,45.5,45.5,45.5,0.0,0.0,45.04,45.04,45.04,0.0,0.0,45.22,45.22,45.22,0.0,0.0
2018-12-30,46.28,46.28,46.28,0.0,0.0,46.62,46.62,46.62,0.0,0.0,46.16,46.16,46.16,0.0,0.0,46.42,46.42,46.42,0.0,0.0
2019-01-06,46.69,46.69,46.69,0.0,0.0,47.1,47.1,47.1,0.0,0.0,46.69,46.69,46.69,0.0,0.0,46.95,46.95,46.95,0.0,0.0
2019-01-13,47.81,47.81,47.81,0.0,0.0,47.91,47.91,47.91,0.0,0.0,47.7,47.7,47.7,0.0,0.0,47.87,47.87,47.87,0.0,0.0
2019-01-20,47.45,47.45,47.45,0.0,0.0,47.67,47.67,47.67,0.0,0.0,47.43,47.43,47.43,0.0,0.0,47.65,47.65,47.65,0.0,0.0
2019-01-27,47.93,47.93,47.93,0.0,0.0,48.17,48.17,48.17,0.0,0.0,47.84,47.84,47.84,0.0,0.0,48.17,48.17,48.17,0.0,0.0
2019-02-03,47.35,47.35,47.35,0.0,0.0,47.4,47.4,47.4,0.0,0.0,47.19,47.19,47.19,0.0,0.0,47.32,47.32,47.32,0.0,0.0
2019-02-10,48.2,48.2,48.2,0.0,0.0,48.44,48.44,48.44,0.0,0.0,48.14,48.14,48.14,0.0,0.0,48.43,48.43,48.43,0.0,0.0
2019-02-17,49.01,49.01,49.01,0.0,0.0,49.05,49.05,49.05,0.0,0.0,48.79,48.79,48.79,0.0,0.0,48.81,48.81,48.81,0.0,0.0
2019-02-24,49.11,49.11,49.11,0.0,0.0,49.11,49.11,49.11,0.0,0.0,48.7,48.7,48.7,0.0,0.0,48.89,48.89,48.89,0.0,0.0
2019-03-03,48.18,48.18,48.18,0.0,0.0,48.53,48.53,48.53,0.0,0.0,48.18,48.18,48.18,0.0,0.0,48.53,48.53,48.53,0.0,0.0
2019-03-10,49.53,49.53,49.53,0.0,0.0,49.72,49.72,49.72,0.0,0.0,49.53,49.53,49.53,0.0,0.0,49.69,49.69,49.69,0.0,0.0
2019-03-17,48.68,48.68,48.68,0.0,0.0,48.85,48.85,48.85,0.0,0.0,48.58,48.58,48.58,0.0,0.0,48.74,48.74,48.74,0.0,0.0
2019-03-24,49.49,49.49,49.49,0.0,0.0,49.63,49.63,49.63,0.0,0.0,49.43,49.43,49.43,0.0,0.0,49.6,49.6,49.6,0.0,0.0
2019-03-31,50.18,50.18,50.18,0.0,0.0,50.18,50.18,50.18,0.0,0.0,50.01,50.01,50.01,0.0,0.0,50.16,50.16,50.16,0.0,0.0
2019-04-07,50.4,50.4,50.4,0.0,0.0,50.4,50.4,50.4,0.0,0.0,50.22,50.22,50.22,0.0,0.0,50.33,50.33,50.33,0.0,0.0
2019-04-14,50.38,50.38,50.38,0.0,0.0,50.47,50.47,50.47,0.0,0.0,50.33,50.33,50.33,0.0,0.0,50.39,50.39,50.39,0.0,0.0
2019-04-21,49.92,49.92,49.92,0.0,0.0,50.1,50.1,50.1,0.0,0.0,49.87,49.87,49.87,0.0,0.0,50.06,50.06,50.06,0.0,0.0
2019-04-28,49.18,49.18,49.18,0.0,0.0,49.71,49.71,49.71,0.0,0.0,49.11,49.11,49.11,0.0,0.0,49.67,49.67,49.67,0.0,0.0
2019-05-05,47.87,47.87,47.87,0.0,0.0,47.95,47.95,47.95,0.0,0.0,47.59,47.59,47.59,0.0,0.0,47.7,47.7,47.7,0.0,0.0
2019-05-12,48.1,48.1,48.1,0.0,0.0,48.29,48.29,48.29,0.0,0.0,48.02,48.02,48.02,0.0,0.0,48.14,48.14,48.14,0.0,0.0
2019-05-19,48.05,48.05,48.05,0.0,0.0,48.13,48.13,48.13,0.0,0.0,47.95,47.95,47.95,0.0,0.0,48.13,48.13,48.13,0.0,0.0
2019-05-26,47.06,47.06,47.06,0.0,0.0,47.3,47.3,47.3,0.0,0.0,46.99,46.99,46.99,0.0,0.0,47.24,47.24,47.24,0.0,0.0
2019-06-02,48.67,48.67,48.67,0.0,0.0,48.85,48.85,48.85,0.0,0.0,48.67,48.67,48.67,0.0,0.0,48.74,48.74,48.74,0.0,0.0
2019-06-09,46.72,46.72,46.72,0.0,0.0,46.83,46.83,46.83,0.0,0.0,46.67,46.67,46.67,0.0,0.0,46.67,46.67,46.67,0.0,0.0
2019-06-16,47.94,47.94,47.94,0.0,0.0,47.98,47.98,47.98,0.0,0.0,47.84,47.84,47.84,0.0,0.0,47.88,47.88,47.88,0.0,0.0
2019-06-23,48.55,48.55,48.55,0.0,0.0,48.59,48.59,48.59,0.0,0.0,48.22,48.22,48.22,0.0,0.0,48.3,48.3,48.3,0.0,0.0
2019-06-30,48.22,48.22,48.22,0.0,0.0,48.26,48.26,48.26,0.0,0.0,48.13,48.13,48.13,0.0,0.0,48.15,48.15,48.15,0.0,0.0
2019-07-07,48.26,48.26,48.26,0.0,0.0,48.3,48.3,48.3,0.0,0.0,48.17,48.17,48.17,0.0,0.0,48.22,48.22,48.22,0.0,0.0
2019-07-14,47.8,47.8,47.8,0.0,0.0,47.88,47.88,47.88,0.0,0.0,47.74,47.74,47.74,0.0,0.0,47.84,47.84,47.84,0.0,0.0
2019-07-21,47.77,47.77,47.77,0.0,0.0,47.77,47.77,47.77,0.0,0.0,47.6,47.6,47.6,0.0,0.0,47.65,47.65,47.65,0.0,0.0
2019-07-28,45.18,45.18,45.18,0.0,0.0,45.26,45.26,45.26,0.0,0.0,44.62,44.62,44.62,0.0,0.0,44.86,44.86,44.86,0.0,0.0
2019-08-04,44.83,44.83,44.83,0.0,0.0,44.99,44.99,44.99,0.0,0.0,44.62,44.62,44.62,0.0,0.0,44.71,44.71,44.71,0.0,0.0
2019-08-11,44.96,44.96,44.96,0.0,0.0,45.04,45.04,45.04,0.0,0.0,44.79,44.79,44.79,0.0,0.0,44.79,44.79,44.79,0.0,0.0
2019-08-18,44.66,44.66,44.66,0.0,0.0,44.71,44.71,44.71,0.0,0.0,44.46,44.46,44.46,0.0,0.0,44.64,44.64,44.64,0.0,0.0
2019-08-25,45.18,45.18,45.18,0.0,0.0,45.26,45.26,45.26,0.0,0.0,44.91,44.91,44.91,0.0,0.0,45.12,45.12,45.12,0.0,0.0
2019-09-01,46.31,46.31,46.31,0.0,0.0,46.42,46.42,46.42,0.0,0.0,46.31,46.31,46.31,0.0,0.0,46.4,46.4,46.4,0.0,0.0
2019-09-08,47.77,47.77,47.77,0.0,0.0,47.83,47.83,47.83,0.0,0.0,47.68,47.68,47.68,0.0,0.0,47.7,47.7,47.7,0.0,0.0
2019-09-15,47.33,47.33,47.33,0.0,0.0,47.59,47.59,47.59,0.0,0.0,47.31,47.31,47.31,0.0,0.0,47.57,47.57,47.57,0.0,0.0
2019-09-22,47.2,47.2,47.2,0.0,0.0,47.41,47.41,47.41,0.0,0.0,47.2,47.2,47.2,0.0,0.0,47.37,47.37,47.37,0.0,0.0
2019-09-29,46.33,46.33,46.33,0.0,0.0,46.54,46.54,46.54,0.0,0.0,46.31,46.31,46.31,0.0,0.0,46.31,46.31,46.31,0.0,0.0
2019-10-06,47.37,47.37,47.37,0.0,0.0,47.55,47.55,47.55,0.0,0.0,47.37,47.37,47.37,0.0,0.0,47.49,47.49,47.49,0.0,0.0
2019-10-13,48.87,48.87,48.87,0.0,0.0,48.92,48.92,48.92,0.0,0.0,48.78,48.78,48.78,0.0,0.0,48.85,48.85,48.85,0.0,0.0
2019-10-20,49.23,49.23,49.23,0.0,0.0,49.31,49.31,49.31,0.0,0.0,49.14,49.14,49.14,0.0,0.0,49.27,49.27,49.27,0.0,0.0
2019-10-27,49.78,49.78,49.78,0.0,0.0,49.86,49.86,49.86,0.0,0.0,49.67,49.67,49.67,0.0,0.0,49.74,49.74,49.74,0.0,0.0
2019-11-03,49.71,49.71,49.71,0.0,0.0,49.9,49.9,49.9,0.0,0.0,49.62,49.62,49.62,0.0,0.0,49.88,49.88,49.88,0.0,0.0
2019-11-10,49.55,49.55,49.55,0.0,0.0,49.67,49.67,49.67,0.0,0.0,49.43,49.43,49.43,0.0,0.0,49.63,49.63,49.63,0.0,0.0
2019-11-17,49.58,49.58,49.58,0.0,0.0,49.7,49.7,49.7,0.0,0.0,49.53,49.53,49.53,0.0,0.0,49.67,49.67,49.67,0.0,0.0
2019-11-24,49.16,49.16,49.16,0.0,0.0,49.19,49.19,49.19,0.0,0.0,48.83,48.83,48.83,0.0,0.0,48.99,48.99,48.99,0.0,0.0
2019-12-01,49.61,49.61,49.61,0.0,0.0,49.68,49.68,49.68,0.0,0.0,49.43,49.43,49.43,0.0,0.0,49.43,49.43,49.43,0.0,0.0
2019-12-08,50.21,50.21,50.21,0.0,0.0,50.27,50.27,50.27,0.0,0.0,50.16,50.16,50.16,0.0,0.0,50.2,50.2,50.2,0.0,0.0
2019-12-15,49.79,49.79,49.79,0.0,0.0,49.86,49.86,49.86,0.0,0.0,49.75,49.75,49.75,0.0,0.0,49.85,49.85,49.85,0.0,0.0
2019-12-22,50.09,50.09,50.09,0.0,0.0,50.1,50.1,50.1,0.0,0.0,49.75,49.75,49.75,0.0,0.0,49.77,49.77,49.77,0.0,0.0
2019-12-29,49.78,49.78,49.78,0.0,0.0,50.13,50.13,50.13,0.0,0.0,49.61,49.61,49.61,0.0,0.0,49.85,49.85,49.85,0.0,0.0
