Date,iShares China Large-Cap_Open_average,iShares China Large-Cap_Open_max,iShares China Large-Cap_Open_min,iShares China Large-Cap_Open_volatility,iShares China Large-Cap_Open_change,iShares China Large-Cap_High_average,iShares China Large-Cap_High_max,iShares China Large-Cap_High_min,iShares China Large-Cap_High_volatility,iShares China Large-Cap_High_change,iShares China Large-Cap_Low_average,iShares China Large-Cap_Low_max,iShares China Large-Cap_Low_min,iShares China Large-Cap_Low_volatility,iShares China Large-Cap_Low_change,iShares China Large-Cap_Close_average,iShares China Large-Cap_Close_max,iShares China Large-Cap_Close_min,iShares China Large-Cap_Close_volatility,iShares China Large-Cap_Close_change
2018-06-17,43.41,43.41,43.41,0.0,0.0,43.47,43.47,43.47,0.0,0.0,42.87,42.87,42.87,0.0,0.0,43.25,43.25,43.25,0.0,0.0
2018-06-24,42.14,42.14,42.14,0.0,0.0,42.29,42.29,42.29,0.0,0.0,41.81,41.81,41.81,0.0,0.0,42.09,42.09,42.09,0.0,0.0
2018-07-01,42.9,42.9,42.9,0.0,0.0,43.25,43.25,43.25,0.0,0.0,42.83,42.83,42.83,0.0,0.0,43.23,43.23,43.23,0.0,0.0
2018-07-08,42.47,42.47,42.47,0.0,0.0,42.55,42.55,42.55,0.0,0.0,42.33,42.33,42.33,0.0,0.0,42.41,42.41,42.41,0.0,0.0
2018-07-15,42.26,42.26,42.26,0.0,0.0,42.34,42.34,42.34,0.0,0.0,42.18,42.18,42.18,0.0,0.0,42.29,42.29,42.29,0.0,0.0
2018-07-22,43.5,43.5,43.5,0.0,0.0,43.6,43.6,43.6,0.0,0.0,43.21,43.21,43.21,0.0,0.0,43.31,43.31,43.31,0.0,0.0
2018-07-29,41.79,41.79,41.79,0.0,0.0,41.99,41.99,41.99,0.0,0.0,41.69,41.69,41.69,0.0,0.0,41.91,41.91,41.91,0.0,0.0
2018-08-05,42.44,42.44,42.44,0.0,0.0,42.58,42.58,42.58,0.0,0.0,42.07,42.07,42.07,0.0,0.0,42.15,42.15,42.15,0.0,0.0
2018-08-12,41.5,41.5,41.5,0.0,0.0,41.69,41.69,41.69,0.0,0.0,41.42,41.42,41.42,0.0,0.0,41.67,41.67,41.67,0.0,0.0
2018-08-19,43.42,43.42,43.42,0.0,0.0,43.75,43.75,43.75,0.0,0.0,43.31,43.31,43.31,0.0,0.0,43.35,43.35,43.35,0.0,0.0
2018-08-26,42.24,42.24,42.24,0.0,0.0,42.54,42.54,42.54,0.0,0.0,41.97,41.97,41.97,0.0,0.0,42.39,42.39,42.39,0.0,0.0
2018-09-02,40.83,40.83,40.83,0.0,0.0,40.84,40.84,40.84,0.0,0.0,40.44,40.44,40.44,0.0,0.0,40.53,40.53,40.53,0.0,0.0
2018-09-09,41.07,41.07,41.07,0.0,0.0,41.35,41.35,41.35,0.0,0.0,40.99,40.99,40.99,0.0,0.0,41.08,41.08,41.08,0.0,0.0
2018-09-16,42.66,42.66,42.66,0.0,0.0,42.71,42.71,42.71,0.0,0.0,42.36,42.36,42.36,0.0,0.0,42.64,42.64,42.64,0.0,0.0
2018-09-23,43.09,43.09,43.09,0.0,0.0,43.23,43.23,43.23,0.0,0.0,42.89,42.89,42.89,0.0,0.0,43.02,43.02,43.02,0.0,0.0
2018-09-30,40.24,40.24,40.24,0.0,0.0,40.71,40.71,40.71,0.0,0.0,40.17,40.17,40.17,0.0,0.0,40.59,40.59,40.59,0.0,0.0
2018-10-07,39.48,39.48,39.48,0.0,0.0,39.79,39.79,39.79,0.0,0.0,39.31,39.31,39.31,0.0,0.0,39.51,39.51,39.51,0.0,0.0
2018-10-14,40.6,40.6,40.6,0.0,0.0,40.71,40.71,40.71,0.0,0.0,40.28,40.28,40.28,0.0,0.0,40.54,40.54,40.54,0.0,0.0
2018-10-21,39.05,39.05,39.05,0.0,0.0,39.12,39.12,39.12,0.0,0.0,37.85,37.85,37.85,0.0,0.0,38.26,38.26,38.26,0.0,0.0
2018-10-28,40.95,40.95,40.95,0.0,0.0,41.26,41.26,41.26,0.0,0.0,40.9,40.9,40.9,0.0,0.0,41.13,41.13,41.13,0.0,0.0
2018-11-04,39.9,39.9,39.9,0.0,0.0,39.96,39.96,39.96,0.0,0.0,39.44,39.44,39.44,0.0,0.0,39.54,39.54,39.54,0.0,0.0
2018-11-11,41.16,41.16,41.16,0.0,0.0,41.26,41.26,41.26,0.0,0.0,40.57,40.57,40.57,0.0,0.0,40.78,40.78,40.78,0.0,0.0
2018-11-18,41.04,41.04,41.04,0.0,0.0,41.25,41.25,41.25,0.0,0.0,40.94,40.94,40.94,0.0,0.0,41.13,41.13,41.13,0.0,0.0
2018-11-25,43.03,43.03,43.03,0.0,0.0,43.06,43.06,43.06,0.0,0.0,42.44,42.44,42.44,0.0,0.0,42.65,42.65,42.65,0.0,0.0
2018-12-02,40.37,40.37,40.37,0.0,0.0,40.61,40.61,40.61,0.0,0.0,39.8,39.8,39.8,0.0,0.0,40.42,40.42,40.42,0.0,0.0
2018-12-09,40.81,40.81,40.81,0.0,0.0,41.1,41.1,41.1,0.0,0.0,40.36,40.36,40.36,0.0,0.0,40.55,40.55,40.55,0.0,0.0
2018-12-16,38.9,38.9,38.9,0.0,0.0,39.22,39.22,39.22,0.0,0.0,38.6,38.6,38.6,0.0,0.0,38.67,38.67,38.67,0.0,0.0
2018-12-23,39.54,39.54,39.54,0.0,0.0,39.57,39.57,39.57,0.0,0.0,38.94,38.94,38.94,0.0,0.0,39.08,39.08,39.08,0.0,0.0
2018-12-30,39.19,39.19,39.19,0.0,0.0,39.59,39.59,39.59,0.0,0.0,39.1,39.1,39.1,0.0,0.0,39.47,39.47,39.47,0.0,0.0
2019-01-06,39.75,39.75,39.75,0.0,0.0,40.11,40.11,40.11,0.0,0.0,39.7,39.7,39.7,0.0,0.0,39.91,39.91,39.91,0.0,0.0
2019-01-13,41.3,41.3,41.3,0.0,0.0,41.6,41.6,41.6,0.0,0.0,41.19,41.19,41.19,0.0,0.0,41.37,41.37,41.37,0.0,0.0
2019-01-20,41.73,41.73,41.73,0.0,0.0,41.87,41.87,41.87,0.0,0.0,41.54,41.54,41.54,0.0,0.0,41.84,41.84,41.84,0.0,0.0
2019-01-27,42.64,42.64,42.64,0.0,0.0,42.94,42.94,42.94,0.0,0.0,42.57,42.57,42.57,0.0,0.0,42.79,42.79,42.79,0.0,0.0
2019-02-03,42.71,42.71,42.71,0.0,0.0,42.79,42.79,42.79,0.0,0.0,42.49,42.49,42.49,0.0,0.0,42.54,42.54,42.54,0.0,0.0
2019-02-10,42.57,42.57,42.57,0.0,0.0,42.73,42.73,42.73,0.0,0.0,42.47,42.47,42.47,0.0,0.0,42.63,42.63,42.63,0.0,0.0
2019-02-17,44.96,44.96,44.96,0.0,0.0,45.25,45.25,45.25,0.0,0.0,44.91,44.91,44.91,0.0,0.0,45.02,45.02,45.02,0.0,0.0
2019-02-24,44.74,44.74,44.74,0.0,0.0,44.74,44.74,44.74,0.0,0.0,44.0,44.0,44.0,0.0,0.0,44.42,44.42,44.42,0.0,0.0
2019-03-03,43.24,43.24,43.24,0.0,0.0,43.69,43.69,43.69,0.0,0.0,43.24,43.24,43.24,0.0,0.0,43.6,43.6,43.6,0.0,0.0
2019-03-10,45.0,45.0,45.0,0.0,0.0,45.1,45.1,45.1,0.0,0.0,44.83,44.83,44.83,0.0,0.0,44.99,44.99,44.99,0.0,0.0
2019-03-17,43.34,43.34,43.34,0.0,0.0,43.62,43.62,43.62,0.0,0.0,43.31,43.31,43.31,0.0,0.0,43.5,43.5,43.5,0.0,0.0
2019-03-24,44.84,44.84,44.84,0.0,0.0,44.99,44.99,44.99,0.0,0.0,44.72,44.72,44.72,0.0,0.0,44.98,44.98,44.98,0.0,0.0
2019-03-31,45.68,45.68,45.68,0.0,0.0,45.81,45.81,45.81,0.0,0.0,45.53,45.53,45.53,0.0,0.0,45.71,45.71,45.71,0.0,0.0
2019-04-07,45.18,45.18,45.18,0.0,0.0,45.19,45.19,45.19,0.0,0.0,44.83,44.83,44.83,0.0,0.0,44.93,44.93,44.93,0.0,0.0
2019-04-14,45.09,45.09,45.09,0.0,0.0,45.37,45.37,45.37,0.0,0.0,45.03,45.03,45.03,0.0,0.0,45.31,45.31,45.31,0.0,0.0
2019-04-21,44.75,44.75,44.75,0.0,0.0,44.81,44.81,44.81,0.0,0.0,44.68,44.68,44.68,0.0,0.0,44.76,44.76,44.76,0.0,0.0
2019-04-28,43.19,43.19,43.19,0.0,0.0,43.86,43.86,43.86,0.0,0.0,43.14,43.14,43.14,0.0,0.0,43.74,43.74,43.74,0.0,0.0
2019-05-05,40.7,40.7,40.7,0.0,0.0,40.81,40.81,40.81,0.0,0.0,40.32,40.32,40.32,0.0,0.0,40.62,40.62,40.62,0.0,0.0
2019-05-12,40.43,40.43,40.43,0.0,0.0,40.63,40.63,40.63,0.0,0.0,40.29,40.29,40.29,0.0,0.0,40.41,40.41,40.41,0.0,0.0
2019-05-19,40.22,40.22,40.22,0.0,0.0,40.26,40.26,40.26,0.0,0.0,39.9,39.9,39.9,0.0,0.0,39.93,39.93,39.93,0.0,0.0
2019-05-26,40.49,40.49,40.49,0.0,0.0,40.69,40.69,40.69,0.0,0.0,40.4,40.4,40.4,0.0,0.0,40.54,40.54,40.54,0.0,0.0
2019-06-02,40.94,40.94,40.94,0.0,0.0,41.19,41.19,41.19,0.0,0.0,40.83,40.83,40.83,0.0,0.0,40.95,40.95,40.95,0.0,0.0
2019-06-09,40.36,40.36,40.36,0.0,0.0,40.52,40.52,40.52,0.0,0.0,40.3,40.3,40.3,0.0,0.0,40.42,40.42,40.42,0.0,0.0
2019-06-16,42.55,42.55,42.55,0.0,0.0,42.68,42.68,42.68,0.0,0.0,42.5,42.5,42.5,0.0,0.0,42.53,42.53,42.53,0.0,0.0
2019-06-23,43.89,43.89,43.89,0.0,0.0,44.02,44.02,44.02,0.0,0.0,43.23,43.23,43.23,0.0,0.0,43.4,43.4,43.4,0.0,0.0
2019-06-30,42.28,42.28,42.28,0.0,0.0,42.42,42.42,42.42,0.0,0.0,42.21,42.21,42.21,0.0,0.0,42.31,42.31,42.31,0.0,0.0
2019-07-07,42.22,42.22,42.22,0.0,0.0,42.31,42.31,42.31,0.0,0.0,42.18,42.18,42.18,0.0,0.0,42.25,42.25,42.25,0.0,0.0
2019-07-14,42.22,42.22,42.22,0.0,0.0,42.29,42.29,42.29,0.0,0.0,42.08,42.08,42.08,0.0,0.0,42.08,42.08,42.08,0.0,0.0
2019-07-21,42.01,42.01,42.01,0.0,0.0,42.03,42.03,42.03,0.0,0.0,41.83,41.83,41.83,0.0,0.0,41.92,41.92,41.92,0.0,0.0
2019-07-28,38.84,38.84,38.84,0.0,0.0,38.91,38.91,38.91,0.0,0.0,38.08,38.08,38.08,0.0,0.0,38.3,38.3,38.3,0.0,0.0
2019-08-04,38.2,38.2,38.2,0.0,0.0,38.38,38.38,38.38,0.0,0.0,38.12,38.12,38.12,0.0,0.0,38.26,38.26,38.26,0.0,0.0
2019-08-11,39.43,39.43,39.43,0.0,0.0,39.47,39.47,39.47,0.0,0.0,39.04,39.04,39.04,0.0,0.0,39.15,39.15,39.15,0.0,0.0
2019-08-18,38.92,38.92,38.92,0.0,0.0,38.96,38.96,38.96,0.0,0.0,38.72,38.72,38.72,0.0,0.0,38.89,38.89,38.89,0.0,0.0
2019-08-25,39.23,39.23,39.23,0.0,0.0,39.23,39.23,39.23,0.0,0.0,38.99,38.99,38.99,0.0,0.0,39.12,39.12,39.12,0.0,0.0
2019-09-01,40.67,40.67,40.67,0.0,0.0,40.78,40.78,40.78,0.0,0.0,40.58,40.58,40.58,0.0,0.0,40.69,40.69,40.69,0.0,0.0
2019-09-08,41.52,41.52,41.52,0.0,0.0,41.62,41.62,41.62,0.0,0.0,41.37,41.37,41.37,0.0,0.0,41.46,41.46,41.46,0.0,0.0
2019-09-15,40.28,40.28,40.28,0.0,0.0,40.54,40.54,40.54,0.0,0.0,40.27,40.27,40.27,0.0,0.0,40.53,40.53,40.53,0.0,0.0
2019-09-22,39.89,39.89,39.89,0.0,0.0,40.03,40.03,40.03,0.0,0.0,39.78,39.78,39.78,0.0,0.0,39.8,39.8,39.8,0.0,0.0
2019-09-29,39.99,39.99,39.99,0.0,0.0,40.24,40.24,40.24,0.0,0.0,39.92,39.92,39.92,0.0,0.0,39.96,39.96,39.96,0.0,0.0
2019-10-06,41.34,41.34,41.34,0.0,0.0,41.38,41.38,41.38,0.0,0.0,41.15,41.15,41.15,0.0,0.0,41.15,41.15,41.15,0.0,0.0
2019-10-13,41.65,41.65,41.65,0.0,0.0,41.72,41.72,41.72,0.0,0.0,41.52,41.52,41.52,0.0,0.0,41.72,41.72,41.72,0.0,0.0
2019-10-20,41.87,41.87,41.87,0.0,0.0,41.98,41.98,41.98,0.0,0.0,41.86,41.86,41.86,0.0,0.0,41.88,41.88,41.88,0.0,0.0
2019-10-27,42.65,42.65,42.65,0.0,0.0,42.71,42.71,42.71,0.0,0.0,42.44,42.44,42.44,0.0,0.0,42.51,42.51,42.51,0.0,0.0
2019-11-03,41.78,41.78,41.78,0.0,0.0,42.09,42.09,42.09,0.0,0.0,41.77,41.77,41.77,0.0,0.0,42.08,42.08,42.08,0.0,0.0
2019-11-10,41.35,41.35,41.35,0.0,0.0,41.41,41.41,41.41,0.0,0.0,41.25,41.25,41.25,0.0,0.0,41.26,41.26,41.26,0.0,0.0
2019-11-17,41.8,41.8,41.8,0.0,0.0,42.06,42.06,42.06,0.0,0.0,41.72,41.72,41.72,0.0,0.0,42.01,42.01,42.01,0.0,0.0
2019-11-24,41.11,41.11,41.11,0.0,0.0,41.13,41.13,41.13,0.0,0.0,40.87,40.87,40.87,0.0,0.0,40.95,40.95,40.95,0.0,0.0
2019-12-01,41.27,41.27,41.27,0.0,0.0,41.34,41.34,41.34,0.0,0.0,41.05,41.05,41.05,0.0,0.0,41.05,41.05,41.05,0.0,0.0
2019-12-08,42.35,42.35,42.35,0.0,0.0,42.42,42.42,42.42,0.0,0.0,42.26,42.26,42.26,0.0,0.0,42.34,42.34,42.34,0.0,0.0
2019-12-15,43.0,43.0,43.0,0.0,0.0,43.12,43.12,43.12,0.0,0.0,42.94,42.94,42.94,0.0,0.0,43.04,43.04,43.04,0.0,0.0
2019-12-22,43.91,43.91,43.91,0.0,0.0,43.92,43.92,43.92,0.0,0.0,43.46,43.46,43.46,0.0,0.0,43.49,43.49,43.49,0.0,0.0
2019-12-29,43.99,43.99,43.99,0.0,0.0,44.25,44.25,44.25,0.0,0.0,43.9,43.9,43.9,0.0,0.0,43.91,43.91,43.91,0.0,0.0
