Date,iShares Currency Hedged MSCI Japan_Open_average,iShares Currency Hedged MSCI Japan_Open_max,iShares Currency Hedged MSCI Japan_Open_min,iShares Currency Hedged MSCI Japan_Open_volatility,iShares Currency Hedged MSCI Japan_Open_change,iShares Currency Hedged MSCI Japan_High_average,iShares Currency Hedged MSCI Japan_High_max,iShares Currency Hedged MSCI Japan_High_min,iShares Currency Hedged MSCI Japan_High_volatility,iShares Currency Hedged MSCI Japan_High_change,iShares Currency Hedged MSCI Japan_Low_average,iShares Currency Hedged MSCI Japan_Low_max,iShares Currency Hedged MSCI Japan_Low_min,iShares Currency Hedged MSCI Japan_Low_volatility,iShares Currency Hedged MSCI Japan_Low_change,iShares Currency Hedged MSCI Japan_Close_average,iShares Currency Hedged MSCI Japan_Close_max,iShares Currency Hedged MSCI Japan_Close_min,iShares Currency Hedged MSCI Japan_Close_volatility,iShares Currency Hedged MSCI Japan_Close_change
2018-03-25,31.7,31.7,31.7,0.0,0.0,31.81,31.81,31.81,0.0,0.0,31.08,31.08,31.08,0.0,0.0,31.28,31.28,31.28,0.0,0.0
2018-04-01,32.0,32.0,32.0,0.0,0.0,32.21,32.21,32.21,0.0,0.0,31.86,31.86,31.86,0.0,0.0,31.86,31.86,31.86,0.0,0.0
2018-04-08,32.27,32.27,32.27,0.0,0.0,32.28,32.28,32.28,0.0,0.0,32.11,32.11,32.11,0.0,0.0,32.16,32.16,32.16,0.0,0.0
2018-04-15,32.61,32.61,32.61,0.0,0.0,32.73,32.73,32.73,0.0,0.0,32.58,32.58,32.58,0.0,0.0,32.72,32.72,32.72,0.0,0.0
2018-04-22,33.06,33.06,33.06,0.0,0.0,33.18,33.18,33.18,0.0,0.0,32.92,32.92,32.92,0.0,0.0,32.93,32.93,32.93,0.0,0.0
2018-04-29,32.96,32.96,32.96,0.0,0.0,33.02,33.02,33.02,0.0,0.0,32.88,32.88,32.88,0.0,0.0,32.95,32.95,32.95,0.0,0.0
2018-05-06,33.49,33.49,33.49,0.0,0.0,33.57,33.57,33.57,0.0,0.0,33.47,33.47,33.47,0.0,0.0,33.56,33.56,33.56,0.0,0.0
2018-05-13,33.71,33.71,33.71,0.0,0.0,33.75,33.75,33.75,0.0,0.0,33.69,33.69,33.69,0.0,0.0,33.7,33.7,33.7,0.0,0.0
2018-05-20,32.68,32.68,32.68,0.0,0.0,32.77,32.77,32.77,0.0,0.0,32.65,32.65,32.65,0.0,0.0,32.73,32.73,32.73,0.0,0.0
2018-05-27,33.1,33.1,33.1,0.0,0.0,33.11,33.11,33.11,0.0,0.0,33.02,33.02,33.02,0.0,0.0,33.08,33.08,33.08,0.0,0.0
2018-06-03,33.37,33.37,33.37,0.0,0.0,33.49,33.49,33.49,0.0,0.0,33.35,33.35,33.35,0.0,0.0,33.42,33.42,33.42,0.0,0.0
2018-06-10,32.86,32.86,32.86,0.0,0.0,33.0,33.0,33.0,0.0,0.0,32.83,32.83,32.83,0.0,0.0,33.0,33.0,33.0,0.0,0.0
2018-06-17,32.21,32.21,32.21,0.0,0.0,32.22,32.22,32.22,0.0,0.0,31.84,31.84,31.84,0.0,0.0,32.03,32.03,32.03,0.0,0.0
2018-06-24,31.6,31.6,31.6,0.0,0.0,31.77,31.77,31.77,0.0,0.0,31.57,31.57,31.57,0.0,0.0,31.76,31.76,31.76,0.0,0.0
2018-07-01,31.87,31.87,31.87,0.0,0.0,32.06,32.06,32.06,0.0,0.0,31.87,31.87,31.87,0.0,0.0,32.06,32.06,32.06,0.0,0.0
2018-07-08,32.33,32.33,32.33,0.0,0.0,32.35,32.35,32.35,0.0,0.0,32.24,32.24,32.24,0.0,0.0,32.26,32.26,32.26,0.0,0.0
2018-07-15,32.44,32.44,32.44,0.0,0.0,32.54,32.54,32.54,0.0,0.0,32.43,32.43,32.43,0.0,0.0,32.5,32.5,32.5,0.0,0.0
2018-07-22,32.87,32.87,32.87,0.0,0.0,32.96,32.96,32.96,0.0,0.0,32.68,32.68,32.68,0.0,0.0,32.7,32.7,32.7,0.0,0.0
2018-07-29,32.28,32.28,32.28,0.0,0.0,32.38,32.38,32.38,0.0,0.0,32.24,32.24,32.24,0.0,0.0,32.32,32.32,32.32,0.0,0.0
2018-08-05,31.68,31.68,31.68,0.0,0.0,31.75,31.75,31.75,0.0,0.0,31.52,31.52,31.52,0.0,0.0,31.59,31.59,31.59,0.0,0.0
2018-08-12,31.61,31.61,31.61,0.0,0.0,31.69,31.69,31.69,0.0,0.0,31.6,31.6,31.6,0.0,0.0,31.61,31.61,31.61,0.0,0.0
2018-08-19,32.35,32.35,32.35,0.0,0.0,32.48,32.48,32.48,0.0,0.0,32.3,32.3,32.3,0.0,0.0,32.48,32.48,32.48,0.0,0.0
2018-08-26,32.27,32.27,32.27,0.0,0.0,32.37,32.37,32.37,0.0,0.0,32.2,32.2,32.2,0.0,0.0,32.36,32.36,32.36,0.0,0.0
2018-09-02,31.63,31.63,31.63,0.0,0.0,31.69,31.69,31.69,0.0,0.0,31.54,31.54,31.54,0.0,0.0,31.6,31.6,31.6,0.0,0.0
2018-09-09,32.79,32.79,32.79,0.0,0.0,32.79,32.79,32.79,0.0,0.0,32.54,32.54,32.54,0.0,0.0,32.54,32.54,32.54,0.0,0.0
2018-09-16,33.73,33.73,33.73,0.0,0.0,33.79,33.79,33.79,0.0,0.0,33.67,33.67,33.67,0.0,0.0,33.76,33.76,33.76,0.0,0.0
2018-09-23,34.55,34.55,34.55,0.0,0.0,34.7,34.7,34.7,0.0,0.0,34.52,34.52,34.52,0.0,0.0,34.61,34.61,34.61,0.0,0.0
2018-09-30,33.45,33.45,33.45,0.0,0.0,33.71,33.71,33.71,0.0,0.0,33.33,33.33,33.33,0.0,0.0,33.68,33.68,33.68,0.0,0.0
2018-10-07,31.53,31.53,31.53,0.0,0.0,31.86,31.86,31.86,0.0,0.0,31.41,31.41,31.41,0.0,0.0,31.66,31.66,31.66,0.0,0.0
2018-10-14,32.06,32.06,32.06,0.0,0.0,32.07,32.07,32.07,0.0,0.0,31.77,31.77,31.77,0.0,0.0,31.83,31.83,31.83,0.0,0.0
2018-10-21,30.57,30.57,30.57,0.0,0.0,30.7,30.7,30.7,0.0,0.0,29.81,29.81,29.81,0.0,0.0,30.13,30.13,30.13,0.0,0.0
2018-10-28,31.2,31.2,31.2,0.0,0.0,31.27,31.27,31.27,0.0,0.0,31.1,31.1,31.1,0.0,0.0,31.15,31.15,31.15,0.0,0.0
2018-11-04,31.49,31.49,31.49,0.0,0.0,31.49,31.49,31.49,0.0,0.0,30.99,30.99,30.99,0.0,0.0,31.04,31.04,31.04,0.0,0.0
2018-11-11,31.09,31.09,31.09,0.0,0.0,31.12,31.12,31.12,0.0,0.0,30.7,30.7,30.7,0.0,0.0,30.79,30.79,30.79,0.0,0.0
2018-11-18,31.23,31.23,31.23,0.0,0.0,31.32,31.32,31.32,0.0,0.0,31.17,31.17,31.17,0.0,0.0,31.31,31.31,31.31,0.0,0.0
2018-11-25,32.07,32.07,32.07,0.0,0.0,32.08,32.08,32.08,0.0,0.0,31.89,31.89,31.89,0.0,0.0,32.06,32.06,32.06,0.0,0.0
2018-12-02,30.22,30.22,30.22,0.0,0.0,30.39,30.39,30.39,0.0,0.0,29.8,29.8,29.8,0.0,0.0,30.27,30.27,30.27,0.0,0.0
2018-12-09,30.15,30.15,30.15,0.0,0.0,30.18,30.18,30.18,0.0,0.0,29.68,29.68,29.68,0.0,0.0,29.84,29.84,29.84,0.0,0.0
2018-12-16,27.6,27.6,27.6,0.0,0.0,27.8,27.8,27.8,0.0,0.0,27.33,27.33,27.33,0.0,0.0,27.38,27.38,27.38,0.0,0.0
2018-12-23,28.29,28.29,28.29,0.0,0.0,28.36,28.36,28.36,0.0,0.0,27.95,27.95,27.95,0.0,0.0,28.09,28.09,28.09,0.0,0.0
2018-12-30,28.73,28.73,28.73,0.0,0.0,29.04,29.04,29.04,0.0,0.0,28.59,28.59,28.59,0.0,0.0,28.82,28.82,28.82,0.0,0.0
2019-01-06,28.74,28.74,28.74,0.0,0.0,28.94,28.94,28.94,0.0,0.0,28.68,28.68,28.68,0.0,0.0,28.78,28.78,28.78,0.0,0.0
2019-01-13,29.89,29.89,29.89,0.0,0.0,30.07,30.07,30.07,0.0,0.0,29.79,29.79,29.79,0.0,0.0,30.06,30.06,30.06,0.0,0.0
2019-01-20,29.52,29.52,29.52,0.0,0.0,29.62,29.62,29.62,0.0,0.0,29.45,29.45,29.45,0.0,0.0,29.59,29.59,29.59,0.0,0.0
2019-01-27,30.04,30.04,30.04,0.0,0.0,30.19,30.19,30.19,0.0,0.0,30.03,30.03,30.03,0.0,0.0,30.19,30.19,30.19,0.0,0.0
2019-02-03,29.53,29.53,29.53,0.0,0.0,29.54,29.54,29.54,0.0,0.0,29.43,29.43,29.43,0.0,0.0,29.5,29.5,29.5,0.0,0.0
2019-02-10,30.28,30.28,30.28,0.0,0.0,30.51,30.51,30.51,0.0,0.0,30.28,30.28,30.28,0.0,0.0,30.5,30.5,30.5,0.0,0.0
2019-02-17,30.96,30.96,30.96,0.0,0.0,31.02,31.02,31.02,0.0,0.0,30.91,30.91,30.91,0.0,0.0,30.93,30.93,30.93,0.0,0.0
2019-02-24,30.97,30.97,30.97,0.0,0.0,31.0,31.0,31.0,0.0,0.0,30.68,30.68,30.68,0.0,0.0,30.77,30.77,30.77,0.0,0.0
2019-03-03,30.12,30.12,30.12,0.0,0.0,30.45,30.45,30.45,0.0,0.0,30.12,30.12,30.12,0.0,0.0,30.45,30.45,30.45,0.0,0.0
2019-03-10,30.79,30.79,30.79,0.0,0.0,30.84,30.84,30.84,0.0,0.0,30.73,30.73,30.73,0.0,0.0,30.81,30.81,30.81,0.0,0.0
2019-03-17,30.18,30.18,30.18,0.0,0.0,30.32,30.32,30.32,0.0,0.0,30.07,30.07,30.07,0.0,0.0,30.3,30.3,30.3,0.0,0.0
2019-03-24,31.07,31.07,31.07,0.0,0.0,31.37,31.37,31.37,0.0,0.0,31.07,31.07,31.07,0.0,0.0,31.37,31.37,31.37,0.0,0.0
2019-03-31,31.23,31.23,31.23,0.0,0.0,31.31,31.31,31.31,0.0,0.0,31.18,31.18,31.18,0.0,0.0,31.29,31.29,31.29,0.0,0.0
2019-04-07,31.44,31.44,31.44,0.0,0.0,31.44,31.44,31.44,0.0,0.0,31.33,31.33,31.33,0.0,0.0,31.35,31.35,31.35,0.0,0.0
2019-04-14,31.3,31.3,31.3,0.0,0.0,31.4,31.4,31.4,0.0,0.0,31.3,31.3,31.3,0.0,0.0,31.39,31.39,31.39,0.0,0.0
2019-04-21,31.54,31.54,31.54,0.0,0.0,31.65,31.65,31.65,0.0,0.0,31.54,31.54,31.54,0.0,0.0,31.61,31.61,31.61,0.0,0.0
2019-04-28,30.96,30.96,30.96,0.0,0.0,31.29,31.29,31.29,0.0,0.0,30.94,30.94,30.94,0.0,0.0,31.28,31.28,31.28,0.0,0.0
2019-05-05,29.5,29.5,29.5,0.0,0.0,29.55,29.55,29.55,0.0,0.0,29.3,29.3,29.3,0.0,0.0,29.34,29.34,29.34,0.0,0.0
2019-05-12,29.9,29.9,29.9,0.0,0.0,30.01,30.01,30.01,0.0,0.0,29.83,29.83,29.83,0.0,0.0,29.9,29.9,29.9,0.0,0.0
2019-05-19,29.98,29.98,29.98,0.0,0.0,30.02,30.02,30.02,0.0,0.0,29.82,29.82,29.82,0.0,0.0,29.92,29.92,29.92,0.0,0.0
2019-05-26,29.22,29.22,29.22,0.0,0.0,29.27,29.27,29.27,0.0,0.0,29.04,29.04,29.04,0.0,0.0,29.11,29.11,29.11,0.0,0.0
2019-06-02,30.18,30.18,30.18,0.0,0.0,30.28,30.28,30.28,0.0,0.0,30.16,30.16,30.16,0.0,0.0,30.19,30.19,30.19,0.0,0.0
2019-06-09,29.94,29.94,29.94,0.0,0.0,30.01,30.01,30.01,0.0,0.0,29.94,29.94,29.94,0.0,0.0,29.96,29.96,29.96,0.0,0.0
2019-06-16,30.07,30.07,30.07,0.0,0.0,30.13,30.13,30.13,0.0,0.0,30.05,30.05,30.05,0.0,0.0,30.06,30.06,30.06,0.0,0.0
2019-06-23,31.03,31.03,31.03,0.0,0.0,31.03,31.03,31.03,0.0,0.0,30.83,30.83,30.83,0.0,0.0,30.94,30.94,30.94,0.0,0.0
2019-06-30,30.32,30.32,30.32,0.0,0.0,30.39,30.39,30.39,0.0,0.0,30.31,30.31,30.31,0.0,0.0,30.37,30.37,30.37,0.0,0.0
2019-07-07,30.16,30.16,30.16,0.0,0.0,30.19,30.19,30.19,0.0,0.0,30.11,30.11,30.11,0.0,0.0,30.14,30.14,30.14,0.0,0.0
2019-07-14,29.97,29.97,29.97,0.0,0.0,29.97,29.97,29.97,0.0,0.0,29.9,29.9,29.9,0.0,0.0,29.96,29.96,29.96,0.0,0.0
2019-07-21,30.19,30.19,30.19,0.0,0.0,30.24,30.24,30.24,0.0,0.0,30.15,30.15,30.15,0.0,0.0,30.21,30.21,30.21,0.0,0.0
2019-07-28,28.74,28.74,28.74,0.0,0.0,28.76,28.76,28.76,0.0,0.0,28.2,28.2,28.2,0.0,0.0,28.36,28.36,28.36,0.0,0.0
2019-08-04,28.49,28.49,28.49,0.0,0.0,28.56,28.56,28.56,0.0,0.0,28.27,28.27,28.27,0.0,0.0,28.34,28.34,28.34,0.0,0.0
2019-08-11,28.99,28.99,28.99,0.0,0.0,29.0,29.0,29.0,0.0,0.0,28.92,28.92,28.92,0.0,0.0,28.93,28.93,28.93,0.0,0.0
2019-08-18,28.92,28.92,28.92,0.0,0.0,28.96,28.96,28.96,0.0,0.0,28.76,28.76,28.76,0.0,0.0,28.9,28.9,28.9,0.0,0.0
2019-08-25,29.19,29.19,29.19,0.0,0.0,29.19,29.19,29.19,0.0,0.0,29.03,29.03,29.03,0.0,0.0,29.13,29.13,29.13,0.0,0.0
2019-09-01,30.07,30.07,30.07,0.0,0.0,30.09,30.09,30.09,0.0,0.0,29.97,29.97,29.97,0.0,0.0,30.09,30.09,30.09,0.0,0.0
2019-09-08,31.07,31.07,31.07,0.0,0.0,31.17,31.17,31.17,0.0,0.0,31.07,31.07,31.07,0.0,0.0,31.07,31.07,31.07,0.0,0.0
2019-09-15,31.02,31.02,31.02,0.0,0.0,31.15,31.15,31.15,0.0,0.0,30.98,30.98,30.98,0.0,0.0,31.09,31.09,31.09,0.0,0.0
2019-09-22,30.94,30.94,30.94,0.0,0.0,31.2,31.2,31.2,0.0,0.0,30.94,30.94,30.94,0.0,0.0,31.16,31.16,31.16,0.0,0.0
2019-09-29,30.71,30.71,30.71,0.0,0.0,30.97,30.97,30.97,0.0,0.0,30.68,30.68,30.68,0.0,0.0,30.79,30.79,30.79,0.0,0.0
2019-10-06,31.44,31.44,31.44,0.0,0.0,31.51,31.51,31.51,0.0,0.0,31.4,31.4,31.4,0.0,0.0,31.44,31.44,31.44,0.0,0.0
2019-10-13,31.92,31.92,31.92,0.0,0.0,32.02,32.02,32.02,0.0,0.0,31.92,31.92,31.92,0.0,0.0,32.0,32.0,32.0,0.0,0.0
2019-10-20,32.2,32.2,32.2,0.0,0.0,32.37,32.37,32.37,0.0,0.0,32.2,32.2,32.2,0.0,0.0,32.32,32.32,32.32,0.0,0.0
2019-10-27,32.95,32.95,32.95,0.0,0.0,33.05,33.05,33.05,0.0,0.0,32.95,32.95,32.95,0.0,0.0,33.05,33.05,33.05,0.0,0.0
2019-11-03,33.1,33.1,33.1,0.0,0.0,33.27,33.27,33.27,0.0,0.0,33.1,33.1,33.1,0.0,0.0,33.26,33.26,33.26,0.0,0.0
2019-11-10,33.08,33.08,33.08,0.0,0.0,33.19,33.19,33.19,0.0,0.0,33.03,33.03,33.03,0.0,0.0,33.16,33.16,33.16,0.0,0.0
2019-11-17,33.3,33.3,33.3,0.0,0.0,33.38,33.38,33.38,0.0,0.0,33.28,33.28,33.28,0.0,0.0,33.38,33.38,33.38,0.0,0.0
2019-11-24,33.3,33.3,33.3,0.0,0.0,33.31,33.31,33.31,0.0,0.0,32.82,32.82,32.82,0.0,0.0,33.02,33.02,33.02,0.0,0.0
2019-12-01,33.54,33.54,33.54,0.0,0.0,33.6,33.6,33.6,0.0,0.0,33.47,33.47,33.47,0.0,0.0,33.48,33.48,33.48,0.0,0.0
2019-12-08,34.01,34.01,34.01,0.0,0.0,34.2,34.2,34.2,0.0,0.0,34.01,34.01,34.01,0.0,0.0,34.16,34.16,34.16,0.0,0.0
2019-12-15,33.8,33.8,33.8,0.0,0.0,33.86,33.86,33.86,0.0,0.0,33.77,33.77,33.77,0.0,0.0,33.84,33.84,33.84,0.0,0.0
2019-12-22,33.24,33.24,33.24,0.0,0.0,33.27,33.27,33.27,0.0,0.0,32.9,32.9,32.9,0.0,0.0,32.91,32.91,32.91,0.0,0.0
2019-12-29,32.72,32.72,32.72,0.0,0.0,32.98,32.98,32.98,0.0,0.0,32.72,32.72,32.72,0.0,0.0,32.78,32.78,32.78,0.0,0.0
