Date,NuShares ESG Small-Cap_Open_average,NuShares ESG Small-Cap_Open_max,NuShares ESG Small-Cap_Open_min,NuShares ESG Small-Cap_Open_volatility,NuShares ESG Small-Cap_Open_change,NuShares ESG Small-Cap_High_average,NuShares ESG Small-Cap_High_max,NuShares ESG Small-Cap_High_min,NuShares ESG Small-Cap_High_volatility,NuShares ESG Small-Cap_High_change,NuShares ESG Small-Cap_Low_average,NuShares ESG Small-Cap_Low_max,NuShares ESG Small-Cap_Low_min,NuShares ESG Small-Cap_Low_volatility,NuShares ESG Small-Cap_Low_change,NuShares ESG Small-Cap_Close_average,NuShares ESG Small-Cap_Close_max,NuShares ESG Small-Cap_Close_min,NuShares ESG Small-Cap_Close_volatility,NuShares ESG Small-Cap_Close_change
2018-08-12,31.78,31.78,31.78,0.0,0.0,31.78,31.78,31.78,0.0,0.0,31.63,31.63,31.63,0.0,0.0,31.63,31.63,31.63,0.0,0.0
2018-08-19,32.3,32.3,32.3,0.0,0.0,32.4,32.4,32.4,0.0,0.0,32.24,32.24,32.24,0.0,0.0,32.3,32.3,32.3,0.0,0.0
2018-08-26,32.38,32.38,32.38,0.0,0.0,32.38,32.38,32.38,0.0,0.0,32.24,32.24,32.24,0.0,0.0,32.33,32.33,32.33,0.0,0.0
2018-09-02,32.19,32.19,32.19,0.0,0.0,32.19,32.19,32.19,0.0,0.0,31.96,31.96,31.96,0.0,0.0,32.01,32.01,32.01,0.0,0.0
2018-09-09,32.32,32.32,32.32,0.0,0.0,32.32,32.32,32.32,0.0,0.0,31.86,31.86,31.86,0.0,0.0,31.86,31.86,31.86,0.0,0.0
2018-09-16,31.75,31.75,31.75,0.0,0.0,31.82,31.82,31.82,0.0,0.0,31.62,31.62,31.62,0.0,0.0,31.72,31.72,31.72,0.0,0.0
2018-09-23,31.66,31.66,31.66,0.0,0.0,31.66,31.66,31.66,0.0,0.0,31.27,31.27,31.27,0.0,0.0,31.27,31.27,31.27,0.0,0.0
2018-09-30,30.52,30.52,30.52,0.0,0.0,30.52,30.52,30.52,0.0,0.0,30.32,30.32,30.32,0.0,0.0,30.48,30.48,30.48,0.0,0.0
2018-10-07,28.86,28.86,28.86,0.0,0.0,29.22,29.22,29.22,0.0,0.0,28.81,28.81,28.81,0.0,0.0,29.16,29.16,29.16,0.0,0.0
2018-10-14,28.83,28.83,28.83,0.0,0.0,28.94,28.94,28.94,0.0,0.0,28.8,28.8,28.8,0.0,0.0,28.82,28.82,28.82,0.0,0.0
2018-10-21,28.16,28.16,28.16,0.0,0.0,28.26,28.26,28.26,0.0,0.0,27.42,27.42,27.42,0.0,0.0,27.53,27.53,27.53,0.0,0.0
2018-10-28,28.81,28.81,28.81,0.0,0.0,28.94,28.94,28.94,0.0,0.0,28.69,28.69,28.69,0.0,0.0,28.85,28.85,28.85,0.0,0.0
2018-11-04,28.56,28.56,28.56,0.0,0.0,28.83,28.83,28.83,0.0,0.0,28.56,28.56,28.56,0.0,0.0,28.61,28.61,28.61,0.0,0.0
2018-11-11,28.77,28.77,28.77,0.0,0.0,28.77,28.77,28.77,0.0,0.0,28.22,28.22,28.22,0.0,0.0,28.31,28.31,28.31,0.0,0.0
2018-11-18,28.41,28.41,28.41,0.0,0.0,28.48,28.48,28.48,0.0,0.0,28.31,28.31,28.31,0.0,0.0,28.45,28.45,28.45,0.0,0.0
2018-11-25,29.2,29.2,29.2,0.0,0.0,29.39,29.39,29.39,0.0,0.0,29.05,29.05,29.05,0.0,0.0,29.3,29.3,29.3,0.0,0.0
2018-12-02,27.66,27.66,27.66,0.0,0.0,27.66,27.66,27.66,0.0,0.0,27.14,27.14,27.14,0.0,0.0,27.49,27.49,27.49,0.0,0.0
2018-12-09,26.93,26.93,26.93,0.0,0.0,27.01,27.01,27.01,0.0,0.0,26.23,26.23,26.23,0.0,0.0,26.26,26.26,26.26,0.0,0.0
2018-12-16,24.57,24.57,24.57,0.0,0.0,24.57,24.57,24.57,0.0,0.0,24.25,24.25,24.25,0.0,0.0,24.25,24.25,24.25,0.0,0.0
2018-12-23,24.81,24.81,24.81,0.0,0.0,24.81,24.81,24.81,0.0,0.0,24.46,24.46,24.46,0.0,0.0,24.74,24.74,24.74,0.0,0.0
2018-12-30,25.32,25.32,25.32,0.0,0.0,25.88,25.88,25.88,0.0,0.0,25.32,25.32,25.32,0.0,0.0,25.73,25.73,25.73,0.0,0.0
2019-01-06,26.25,26.25,26.25,0.0,0.0,26.48,26.48,26.48,0.0,0.0,26.25,26.25,26.25,0.0,0.0,26.35,26.35,26.35,0.0,0.0
2019-01-13,27.15,27.15,27.15,0.0,0.0,27.31,27.31,27.31,0.0,0.0,27.11,27.11,27.11,0.0,0.0,27.26,27.26,27.26,0.0,0.0
2019-01-20,27.09,27.09,27.09,0.0,0.0,27.25,27.25,27.25,0.0,0.0,27.07,27.07,27.07,0.0,0.0,27.23,27.23,27.23,0.0,0.0
2019-01-27,27.68,27.68,27.68,0.0,0.0,27.96,27.96,27.96,0.0,0.0,27.68,27.68,27.68,0.0,0.0,27.96,27.96,27.96,0.0,0.0
2019-02-03,27.83,27.83,27.83,0.0,0.0,28.0,28.0,28.0,0.0,0.0,27.83,27.83,27.83,0.0,0.0,28.0,28.0,28.0,0.0,0.0
2019-02-10,28.57,28.57,28.57,0.0,0.0,28.82,28.82,28.82,0.0,0.0,28.57,28.57,28.57,0.0,0.0,28.82,28.82,28.82,0.0,0.0
2019-02-17,29.35,29.35,29.35,0.0,0.0,29.38,29.38,29.38,0.0,0.0,29.18,29.18,29.18,0.0,0.0,29.19,29.19,29.19,0.0,0.0
2019-02-24,29.34,29.34,29.34,0.0,0.0,29.34,29.34,29.34,0.0,0.0,28.8,28.8,28.8,0.0,0.0,28.99,28.99,28.99,0.0,0.0
2019-03-03,28.23,28.23,28.23,0.0,0.0,28.5,28.5,28.5,0.0,0.0,28.21,28.21,28.21,0.0,0.0,28.5,28.5,28.5,0.0,0.0
2019-03-10,28.95,28.95,28.95,0.0,0.0,29.01,29.01,29.01,0.0,0.0,28.83,28.83,28.83,0.0,0.0,28.97,28.97,28.97,0.0,0.0
2019-03-17,28.14,28.14,28.14,0.0,0.0,28.28,28.28,28.28,0.0,0.0,27.88,27.88,27.88,0.0,0.0,28.17,28.17,28.17,0.0,0.0
2019-03-24,29.01,29.01,29.01,0.0,0.0,29.1,29.1,29.1,0.0,0.0,28.87,28.87,28.87,0.0,0.0,29.1,29.1,29.1,0.0,0.0
2019-03-31,29.58,29.58,29.58,0.0,0.0,29.58,29.58,29.58,0.0,0.0,29.34,29.34,29.34,0.0,0.0,29.52,29.52,29.52,0.0,0.0
2019-04-07,29.68,29.68,29.68,0.0,0.0,29.68,29.68,29.68,0.0,0.0,29.55,29.55,29.55,0.0,0.0,29.62,29.62,29.62,0.0,0.0
2019-04-14,29.45,29.45,29.45,0.0,0.0,29.45,29.45,29.45,0.0,0.0,29.26,29.26,29.26,0.0,0.0,29.36,29.36,29.36,0.0,0.0
2019-04-21,29.99,29.99,29.99,0.0,0.0,30.06,30.06,30.06,0.0,0.0,29.94,29.94,29.94,0.0,0.0,29.98,29.98,29.98,0.0,0.0
2019-04-28,29.82,29.82,29.82,0.0,0.0,30.28,30.28,30.28,0.0,0.0,29.82,29.82,29.82,0.0,0.0,30.22,30.22,30.22,0.0,0.0
2019-05-05,29.03,29.03,29.03,0.0,0.0,29.03,29.03,29.03,0.0,0.0,28.54,28.54,28.54,0.0,0.0,28.6,28.6,28.6,0.0,0.0
2019-05-12,28.81,28.81,28.81,0.0,0.0,28.83,28.83,28.83,0.0,0.0,28.65,28.65,28.65,0.0,0.0,28.68,28.68,28.68,0.0,0.0
2019-05-19,28.4,28.4,28.4,0.0,0.0,28.54,28.54,28.54,0.0,0.0,28.4,28.4,28.4,0.0,0.0,28.51,28.51,28.51,0.0,0.0
2019-05-26,27.73,27.73,27.73,0.0,0.0,27.85,27.85,27.85,0.0,0.0,27.72,27.72,27.72,0.0,0.0,27.79,27.79,27.79,0.0,0.0
2019-06-02,29.04,29.04,29.04,0.0,0.0,29.04,29.04,29.04,0.0,0.0,28.82,28.82,28.82,0.0,0.0,28.83,28.83,28.83,0.0,0.0
2019-06-09,29.01,29.01,29.01,0.0,0.0,29.04,29.04,29.04,0.0,0.0,28.84,28.84,28.84,0.0,0.0,28.9,28.9,28.9,0.0,0.0
2019-06-16,29.31,29.31,29.31,0.0,0.0,29.33,29.33,29.33,0.0,0.0,28.98,28.98,28.98,0.0,0.0,28.98,28.98,28.98,0.0,0.0
2019-06-23,29.85,29.85,29.85,0.0,0.0,29.85,29.85,29.85,0.0,0.0,29.57,29.57,29.57,0.0,0.0,29.72,29.72,29.72,0.0,0.0
2019-06-30,29.83,29.83,29.83,0.0,0.0,29.83,29.83,29.83,0.0,0.0,29.57,29.57,29.57,0.0,0.0,29.6,29.6,29.6,0.0,0.0
2019-07-07,29.86,29.86,29.86,0.0,0.0,30.39,30.39,30.39,0.0,0.0,29.63,29.63,29.63,0.0,0.0,29.7,29.7,29.7,0.0,0.0
2019-07-14,29.46,29.46,29.46,0.0,0.0,29.64,29.64,29.64,0.0,0.0,29.43,29.43,29.43,0.0,0.0,29.45,29.45,29.45,0.0,0.0
2019-07-21,30.23,30.23,30.23,0.0,0.0,30.23,30.23,30.23,0.0,0.0,29.9,29.9,29.9,0.0,0.0,29.95,29.95,29.95,0.0,0.0
2019-07-28,28.5,28.5,28.5,0.0,0.0,28.51,28.51,28.51,0.0,0.0,28.05,28.05,28.05,0.0,0.0,28.34,28.34,28.34,0.0,0.0
2019-08-04,28.61,28.61,28.61,0.0,0.0,28.65,28.65,28.65,0.0,0.0,28.39,28.39,28.39,0.0,0.0,28.48,28.48,28.48,0.0,0.0
2019-08-11,28.83,28.83,28.83,0.0,0.0,28.94,28.94,28.94,0.0,0.0,28.76,28.76,28.76,0.0,0.0,28.85,28.85,28.85,0.0,0.0
2019-08-18,28.41,28.41,28.41,0.0,0.0,28.41,28.41,28.41,0.0,0.0,28.13,28.13,28.13,0.0,0.0,28.33,28.33,28.33,0.0,0.0
2019-08-25,28.77,28.77,28.77,0.0,0.0,28.89,28.89,28.89,0.0,0.0,28.58,28.58,28.58,0.0,0.0,28.71,28.71,28.71,0.0,0.0
2019-09-01,29.18,29.18,29.18,0.0,0.0,29.19,29.19,29.19,0.0,0.0,28.91,28.91,28.91,0.0,0.0,29.18,29.18,29.18,0.0,0.0
2019-09-08,29.84,29.84,29.84,0.0,0.0,30.03,30.03,30.03,0.0,0.0,29.84,29.84,29.84,0.0,0.0,29.99,29.99,29.99,0.0,0.0
2019-09-15,29.75,29.75,29.75,0.0,0.0,29.93,29.93,29.93,0.0,0.0,29.66,29.66,29.66,0.0,0.0,29.78,29.78,29.78,0.0,0.0
2019-09-22,29.29,29.29,29.29,0.0,0.0,29.37,29.37,29.37,0.0,0.0,29.13,29.13,29.13,0.0,0.0,29.28,29.28,29.28,0.0,0.0
2019-09-29,28.93,28.93,28.93,0.0,0.0,29.04,29.04,29.04,0.0,0.0,28.73,28.73,28.73,0.0,0.0,28.89,28.89,28.89,0.0,0.0
2019-10-06,29.0,29.0,29.0,0.0,0.0,29.06,29.06,29.06,0.0,0.0,28.94,28.94,28.94,0.0,0.0,29.0,29.0,29.0,0.0,0.0
2019-10-13,29.67,29.67,29.67,0.0,0.0,29.77,29.77,29.77,0.0,0.0,29.66,29.66,29.66,0.0,0.0,29.69,29.69,29.69,0.0,0.0
2019-10-20,29.92,29.92,29.92,0.0,0.0,30.03,30.03,30.03,0.0,0.0,29.87,29.87,29.87,0.0,0.0,29.87,29.87,29.87,0.0,0.0
2019-10-27,30.32,30.32,30.32,0.0,0.0,30.32,30.32,30.32,0.0,0.0,30.16,30.16,30.16,0.0,0.0,30.2,30.2,30.2,0.0,0.0
2019-11-03,30.01,30.01,30.01,0.0,0.0,30.03,30.03,30.03,0.0,0.0,29.89,29.89,29.89,0.0,0.0,29.95,29.95,29.95,0.0,0.0
2019-11-10,30.21,30.21,30.21,0.0,0.0,30.21,30.21,30.21,0.0,0.0,30.0,30.0,30.0,0.0,0.0,30.04,30.04,30.04,0.0,0.0
2019-11-17,30.25,30.25,30.25,0.0,0.0,30.54,30.54,30.54,0.0,0.0,30.22,30.22,30.22,0.0,0.0,30.52,30.52,30.52,0.0,0.0
2019-11-24,30.73,30.73,30.73,0.0,0.0,30.73,30.73,30.73,0.0,0.0,30.29,30.29,30.29,0.0,0.0,30.31,30.31,30.31,0.0,0.0
2019-12-01,30.72,30.72,30.72,0.0,0.0,30.72,30.72,30.72,0.0,0.0,30.51,30.51,30.51,0.0,0.0,30.51,30.51,30.51,0.0,0.0
2019-12-08,30.97,30.97,30.97,0.0,0.0,31.18,31.18,31.18,0.0,0.0,30.97,30.97,30.97,0.0,0.0,31.01,31.01,31.01,0.0,0.0
2019-12-15,31.63,31.63,31.63,0.0,0.0,31.63,31.63,31.63,0.0,0.0,31.42,31.42,31.42,0.0,0.0,31.51,31.51,31.51,0.0,0.0
2019-12-22,31.38,31.38,31.38,0.0,0.0,31.38,31.38,31.38,0.0,0.0,31.01,31.01,31.01,0.0,0.0,31.14,31.14,31.14,0.0,0.0
2019-12-29,31.01,31.01,31.01,0.0,0.0,31.17,31.17,31.17,0.0,0.0,30.86,30.86,30.86,0.0,0.0,31.13,31.13,31.13,0.0,0.0
