Date,Direxion Zacks MLP High Income Shares_Open_average,Direxion Zacks MLP High Income Shares_Open_max,Direxion Zacks MLP High Income Shares_Open_min,Direxion Zacks MLP High Income Shares_Open_volatility,Direxion Zacks MLP High Income Shares_Open_change,Direxion Zacks MLP High Income Shares_High_average,Direxion Zacks MLP High Income Shares_High_max,Direxion Zacks MLP High Income Shares_High_min,Direxion Zacks MLP High Income Shares_High_volatility,Direxion Zacks MLP High Income Shares_High_change,Direxion Zacks MLP High Income Shares_Low_average,Direxion Zacks MLP High Income Shares_Low_max,Direxion Zacks MLP High Income Shares_Low_min,Direxion Zacks MLP High Income Shares_Low_volatility,Direxion Zacks MLP High Income Shares_Low_change,Direxion Zacks MLP High Income Shares_Close_average,Direxion Zacks MLP High Income Shares_Close_max,Direxion Zacks MLP High Income Shares_Close_min,Direxion Zacks MLP High Income Shares_Close_volatility,Direxion Zacks MLP High Income Shares_Close_change
2018-06-03,15.45,15.45,15.45,0.0,0.0,15.5,15.5,15.5,0.0,0.0,15.39,15.39,15.39,0.0,0.0,15.39,15.39,15.39,0.0,0.0
2018-06-10,15.38,15.38,15.38,0.0,0.0,15.38,15.38,15.38,0.0,0.0,15.19,15.19,15.19,0.0,0.0,15.19,15.19,15.19,0.0,0.0
2018-06-17,15.06,15.06,15.06,0.0,0.0,15.09,15.09,15.09,0.0,0.0,14.88,14.88,14.88,0.0,0.0,14.92,14.92,14.92,0.0,0.0
2018-06-24,14.68,14.68,14.68,0.0,0.0,14.86,14.86,14.86,0.0,0.0,14.68,14.68,14.68,0.0,0.0,14.86,14.86,14.86,0.0,0.0
2018-07-01,14.8,14.8,14.8,0.0,0.0,14.97,14.97,14.97,0.0,0.0,14.8,14.8,14.8,0.0,0.0,14.95,14.95,14.95,0.0,0.0
2018-07-08,14.98,14.98,14.98,0.0,0.0,15.06,15.06,15.06,0.0,0.0,14.93,14.93,14.93,0.0,0.0,15.02,15.02,15.02,0.0,0.0
2018-07-15,15.39,15.39,15.39,0.0,0.0,15.42,15.42,15.42,0.0,0.0,15.17,15.17,15.17,0.0,0.0,15.17,15.17,15.17,0.0,0.0
2018-07-22,15.68,15.68,15.68,0.0,0.0,15.75,15.75,15.75,0.0,0.0,15.39,15.39,15.39,0.0,0.0,15.39,15.39,15.39,0.0,0.0
2018-07-29,16.07,16.07,16.07,0.0,0.0,16.1,16.1,16.1,0.0,0.0,15.97,15.97,15.97,0.0,0.0,16.02,16.02,16.02,0.0,0.0
2018-08-05,16.41,16.41,16.41,0.0,0.0,16.58,16.58,16.58,0.0,0.0,16.41,16.41,16.41,0.0,0.0,16.46,16.46,16.46,0.0,0.0
2018-08-12,16.25,16.25,16.25,0.0,0.0,16.36,16.36,16.36,0.0,0.0,16.22,16.22,16.22,0.0,0.0,16.36,16.36,16.36,0.0,0.0
2018-08-19,16.59,16.59,16.59,0.0,0.0,16.6,16.6,16.6,0.0,0.0,16.46,16.46,16.46,0.0,0.0,16.5,16.5,16.5,0.0,0.0
2018-08-26,15.9,15.9,15.9,0.0,0.0,15.94,15.94,15.94,0.0,0.0,15.75,15.75,15.75,0.0,0.0,15.88,15.88,15.88,0.0,0.0
2018-09-02,15.92,15.92,15.92,0.0,0.0,15.92,15.92,15.92,0.0,0.0,15.8,15.8,15.8,0.0,0.0,15.87,15.87,15.87,0.0,0.0
2018-09-09,16.02,16.02,16.02,0.0,0.0,16.02,16.02,16.02,0.0,0.0,15.77,15.77,15.77,0.0,0.0,15.93,15.93,15.93,0.0,0.0
2018-09-16,15.96,15.96,15.96,0.0,0.0,15.98,15.98,15.98,0.0,0.0,15.89,15.89,15.89,0.0,0.0,15.95,15.95,15.95,0.0,0.0
2018-09-23,15.27,15.27,15.27,0.0,0.0,15.48,15.48,15.48,0.0,0.0,15.26,15.26,15.26,0.0,0.0,15.38,15.38,15.38,0.0,0.0
2018-09-30,15.57,15.57,15.57,0.0,0.0,15.72,15.72,15.72,0.0,0.0,15.57,15.57,15.57,0.0,0.0,15.67,15.67,15.67,0.0,0.0
2018-10-07,15.21,15.21,15.21,0.0,0.0,15.38,15.38,15.38,0.0,0.0,15.02,15.02,15.02,0.0,0.0,15.1,15.1,15.1,0.0,0.0
2018-10-14,15.14,15.14,15.14,0.0,0.0,15.28,15.28,15.28,0.0,0.0,15.04,15.04,15.04,0.0,0.0,15.06,15.06,15.06,0.0,0.0
2018-10-21,14.51,14.51,14.51,0.0,0.0,14.51,14.51,14.51,0.0,0.0,14.28,14.28,14.28,0.0,0.0,14.35,14.35,14.35,0.0,0.0
2018-10-28,14.53,14.53,14.53,0.0,0.0,14.53,14.53,14.53,0.0,0.0,14.32,14.32,14.32,0.0,0.0,14.34,14.34,14.34,0.0,0.0
2018-11-04,14.58,14.58,14.58,0.0,0.0,14.61,14.61,14.61,0.0,0.0,14.48,14.48,14.48,0.0,0.0,14.58,14.58,14.58,0.0,0.0
2018-11-11,14.25,14.25,14.25,0.0,0.0,14.27,14.27,14.27,0.0,0.0,14.17,14.17,14.17,0.0,0.0,14.21,14.21,14.21,0.0,0.0
2018-11-18,13.75,13.75,13.75,0.0,0.0,13.85,13.85,13.85,0.0,0.0,13.71,13.71,13.71,0.0,0.0,13.83,13.83,13.83,0.0,0.0
2018-11-25,14.03,14.03,14.03,0.0,0.0,14.03,14.03,14.03,0.0,0.0,13.8,13.8,13.8,0.0,0.0,13.91,13.91,13.91,0.0,0.0
2018-12-02,13.86,13.86,13.86,0.0,0.0,14.03,14.03,14.03,0.0,0.0,13.72,13.72,13.72,0.0,0.0,13.76,13.76,13.76,0.0,0.0
2018-12-09,13.61,13.61,13.61,0.0,0.0,13.85,13.85,13.85,0.0,0.0,13.55,13.55,13.55,0.0,0.0,13.56,13.56,13.56,0.0,0.0
2018-12-16,12.45,12.45,12.45,0.0,0.0,12.59,12.59,12.59,0.0,0.0,12.18,12.18,12.18,0.0,0.0,12.18,12.18,12.18,0.0,0.0
2018-12-23,11.78,11.78,11.78,0.0,0.0,11.91,11.91,11.91,0.0,0.0,11.65,11.65,11.65,0.0,0.0,11.79,11.79,11.79,0.0,0.0
2018-12-30,12.52,12.52,12.52,0.0,0.0,12.82,12.82,12.82,0.0,0.0,12.44,12.44,12.44,0.0,0.0,12.82,12.82,12.82,0.0,0.0
2019-01-06,13.27,13.27,13.27,0.0,0.0,13.31,13.31,13.31,0.0,0.0,13.13,13.13,13.13,0.0,0.0,13.24,13.24,13.24,0.0,0.0
2019-01-13,13.44,13.44,13.44,0.0,0.0,13.58,13.58,13.58,0.0,0.0,13.44,13.44,13.44,0.0,0.0,13.52,13.52,13.52,0.0,0.0
2019-01-20,13.47,13.47,13.47,0.0,0.0,13.57,13.57,13.57,0.0,0.0,13.46,13.46,13.46,0.0,0.0,13.57,13.57,13.57,0.0,0.0
2019-01-27,13.54,13.54,13.54,0.0,0.0,13.73,13.73,13.73,0.0,0.0,13.54,13.54,13.54,0.0,0.0,13.73,13.73,13.73,0.0,0.0
2019-02-03,13.35,13.35,13.35,0.0,0.0,13.35,13.35,13.35,0.0,0.0,13.1,13.1,13.1,0.0,0.0,13.24,13.24,13.24,0.0,0.0
2019-02-10,14.0,14.0,14.0,0.0,0.0,14.0,14.0,14.0,0.0,0.0,13.9,13.9,13.9,0.0,0.0,13.92,13.92,13.92,0.0,0.0
2019-02-17,14.06,14.06,14.06,0.0,0.0,14.1,14.1,14.1,0.0,0.0,13.99,13.99,13.99,0.0,0.0,13.99,13.99,13.99,0.0,0.0
2019-02-24,13.68,13.68,13.68,0.0,0.0,13.68,13.68,13.68,0.0,0.0,13.49,13.49,13.49,0.0,0.0,13.56,13.56,13.56,0.0,0.0
2019-03-03,13.52,13.52,13.52,0.0,0.0,13.59,13.59,13.59,0.0,0.0,13.43,13.43,13.43,0.0,0.0,13.58,13.58,13.58,0.0,0.0
2019-03-10,13.72,13.72,13.72,0.0,0.0,13.78,13.78,13.78,0.0,0.0,13.65,13.65,13.65,0.0,0.0,13.75,13.75,13.75,0.0,0.0
2019-03-17,13.7,13.7,13.7,0.0,0.0,13.7,13.7,13.7,0.0,0.0,13.5,13.5,13.5,0.0,0.0,13.5,13.5,13.5,0.0,0.0
2019-03-24,13.55,13.55,13.55,0.0,0.0,13.61,13.61,13.61,0.0,0.0,13.54,13.54,13.54,0.0,0.0,13.6,13.6,13.6,0.0,0.0
2019-03-31,13.66,13.66,13.66,0.0,0.0,13.77,13.77,13.77,0.0,0.0,13.66,13.66,13.66,0.0,0.0,13.77,13.77,13.77,0.0,0.0
2019-04-07,13.85,13.85,13.85,0.0,0.0,13.91,13.91,13.91,0.0,0.0,13.8,13.8,13.8,0.0,0.0,13.88,13.88,13.88,0.0,0.0
2019-04-14,13.71,13.71,13.71,0.0,0.0,13.71,13.71,13.71,0.0,0.0,13.59,13.59,13.59,0.0,0.0,13.63,13.63,13.63,0.0,0.0
2019-04-21,13.7,13.7,13.7,0.0,0.0,13.71,13.71,13.71,0.0,0.0,13.66,13.66,13.66,0.0,0.0,13.68,13.68,13.68,0.0,0.0
2019-04-28,13.52,13.52,13.52,0.0,0.0,13.58,13.58,13.58,0.0,0.0,13.52,13.52,13.52,0.0,0.0,13.57,13.57,13.57,0.0,0.0
2019-05-05,13.57,13.57,13.57,0.0,0.0,13.87,13.87,13.87,0.0,0.0,13.57,13.57,13.57,0.0,0.0,13.87,13.87,13.87,0.0,0.0
2019-05-12,14.12,14.12,14.12,0.0,0.0,14.12,14.12,14.12,0.0,0.0,13.99,13.99,13.99,0.0,0.0,14.03,14.03,14.03,0.0,0.0
2019-05-19,13.88,13.88,13.88,0.0,0.0,13.88,13.88,13.88,0.0,0.0,13.74,13.74,13.74,0.0,0.0,13.84,13.84,13.84,0.0,0.0
2019-05-26,13.51,13.51,13.51,0.0,0.0,13.59,13.59,13.59,0.0,0.0,13.44,13.44,13.44,0.0,0.0,13.55,13.55,13.55,0.0,0.0
2019-06-02,13.77,13.77,13.77,0.0,0.0,13.79,13.79,13.79,0.0,0.0,13.72,13.72,13.72,0.0,0.0,13.74,13.74,13.74,0.0,0.0
2019-06-09,13.8,13.8,13.8,0.0,0.0,13.8,13.8,13.8,0.0,0.0,13.61,13.61,13.61,0.0,0.0,13.67,13.67,13.67,0.0,0.0
2019-06-16,13.74,13.74,13.74,0.0,0.0,13.81,13.81,13.81,0.0,0.0,13.71,13.71,13.71,0.0,0.0,13.79,13.79,13.79,0.0,0.0
2019-06-23,13.41,13.41,13.41,0.0,0.0,13.55,13.55,13.55,0.0,0.0,13.4,13.4,13.4,0.0,0.0,13.5,13.5,13.5,0.0,0.0
2019-06-30,13.7,13.7,13.7,0.0,0.0,13.8,13.8,13.8,0.0,0.0,13.65,13.65,13.65,0.0,0.0,13.79,13.79,13.79,0.0,0.0
2019-07-07,13.9,13.9,13.9,0.0,0.0,13.93,13.93,13.93,0.0,0.0,13.89,13.89,13.89,0.0,0.0,13.92,13.92,13.92,0.0,0.0
2019-07-14,13.8,13.8,13.8,0.0,0.0,13.84,13.84,13.84,0.0,0.0,13.76,13.76,13.76,0.0,0.0,13.8,13.8,13.8,0.0,0.0
2019-07-21,14.01,14.01,14.01,0.0,0.0,14.01,14.01,14.01,0.0,0.0,13.87,13.87,13.87,0.0,0.0,13.87,13.87,13.87,0.0,0.0
2019-07-28,13.66,13.66,13.66,0.0,0.0,13.66,13.66,13.66,0.0,0.0,13.47,13.47,13.47,0.0,0.0,13.52,13.52,13.52,0.0,0.0
2019-08-04,12.98,12.98,12.98,0.0,0.0,13.1,13.1,13.1,0.0,0.0,12.92,12.92,12.92,0.0,0.0,12.95,12.95,12.95,0.0,0.0
2019-08-11,12.56,12.56,12.56,0.0,0.0,12.75,12.75,12.75,0.0,0.0,12.56,12.56,12.56,0.0,0.0,12.74,12.74,12.74,0.0,0.0
2019-08-18,12.8,12.8,12.8,0.0,0.0,12.8,12.8,12.8,0.0,0.0,12.57,12.57,12.57,0.0,0.0,12.6,12.6,12.6,0.0,0.0
2019-08-25,12.88,12.88,12.88,0.0,0.0,12.94,12.94,12.94,0.0,0.0,12.82,12.82,12.82,0.0,0.0,12.87,12.87,12.87,0.0,0.0
2019-09-01,12.85,12.85,12.85,0.0,0.0,12.85,12.85,12.85,0.0,0.0,12.74,12.74,12.74,0.0,0.0,12.78,12.78,12.78,0.0,0.0
2019-09-08,12.96,12.96,12.96,0.0,0.0,13.2,13.2,13.2,0.0,0.0,12.96,12.96,12.96,0.0,0.0,13.2,13.2,13.2,0.0,0.0
2019-09-15,13.36,13.36,13.36,0.0,0.0,13.46,13.46,13.46,0.0,0.0,13.32,13.32,13.32,0.0,0.0,13.32,13.32,13.32,0.0,0.0
2019-09-22,12.55,12.55,12.55,0.0,0.0,12.62,12.62,12.62,0.0,0.0,12.51,12.51,12.51,0.0,0.0,12.57,12.57,12.57,0.0,0.0
2019-09-29,12.42,12.42,12.42,0.0,0.0,12.46,12.46,12.46,0.0,0.0,12.39,12.39,12.39,0.0,0.0,12.44,12.44,12.44,0.0,0.0
2019-10-06,12.22,12.22,12.22,0.0,0.0,12.29,12.29,12.29,0.0,0.0,12.19,12.19,12.19,0.0,0.0,12.23,12.23,12.23,0.0,0.0
2019-10-13,12.09,12.09,12.09,0.0,0.0,12.23,12.23,12.23,0.0,0.0,12.09,12.09,12.09,0.0,0.0,12.17,12.17,12.17,0.0,0.0
2019-10-20,12.3,12.3,12.3,0.0,0.0,12.35,12.35,12.35,0.0,0.0,12.28,12.28,12.28,0.0,0.0,12.29,12.29,12.29,0.0,0.0
2019-10-27,12.18,12.18,12.18,0.0,0.0,12.27,12.27,12.27,0.0,0.0,12.18,12.18,12.18,0.0,0.0,12.24,12.24,12.24,0.0,0.0
2019-11-03,12.04,12.04,12.04,0.0,0.0,12.04,12.04,12.04,0.0,0.0,11.93,11.93,11.93,0.0,0.0,12.04,12.04,12.04,0.0,0.0
2019-11-10,11.79,11.79,11.79,0.0,0.0,11.92,11.92,11.92,0.0,0.0,11.79,11.79,11.79,0.0,0.0,11.9,11.9,11.9,0.0,0.0
2019-11-17,11.66,11.66,11.66,0.0,0.0,11.75,11.75,11.75,0.0,0.0,11.66,11.66,11.66,0.0,0.0,11.7,11.7,11.7,0.0,0.0
2019-11-24,11.56,11.56,11.56,0.0,0.0,11.62,11.62,11.62,0.0,0.0,11.53,11.53,11.53,0.0,0.0,11.58,11.58,11.58,0.0,0.0
2019-12-01,11.39,11.39,11.39,0.0,0.0,11.49,11.49,11.49,0.0,0.0,11.39,11.39,11.39,0.0,0.0,11.45,11.45,11.45,0.0,0.0
2019-12-08,11.93,11.93,11.93,0.0,0.0,11.94,11.94,11.94,0.0,0.0,11.77,11.77,11.77,0.0,0.0,11.87,11.87,11.87,0.0,0.0
2019-12-15,12.3,12.3,12.3,0.0,0.0,12.35,12.35,12.35,0.0,0.0,12.26,12.26,12.26,0.0,0.0,12.3,12.3,12.3,0.0,0.0
2019-12-22,12.25,12.25,12.25,0.0,0.0,12.25,12.25,12.25,0.0,0.0,12.01,12.01,12.01,0.0,0.0,12.07,12.07,12.07,0.0,0.0
2019-12-29,12.07,12.07,12.07,0.0,0.0,12.2,12.2,12.2,0.0,0.0,12.07,12.07,12.07,0.0,0.0,12.2,12.2,12.2,0.0,0.0
