Date,iShares US Financial Services_Open_average,iShares US Financial Services_Open_max,iShares US Financial Services_Open_min,iShares US Financial Services_Open_volatility,iShares US Financial Services_Open_change,iShares US Financial Services_High_average,iShares US Financial Services_High_max,iShares US Financial Services_High_min,iShares US Financial Services_High_volatility,iShares US Financial Services_High_change,iShares US Financial Services_Low_average,iShares US Financial Services_Low_max,iShares US Financial Services_Low_min,iShares US Financial Services_Low_volatility,iShares US Financial Services_Low_change,iShares US Financial Services_Close_average,iShares US Financial Services_Close_max,iShares US Financial Services_Close_min,iShares US Financial Services_Close_volatility,iShares US Financial Services_Close_change
2018-09-30,133.67,133.67,133.67,0.0,0.0,134.33,134.33,134.33,0.0,0.0,132.7,132.7,132.7,0.0,0.0,134.06,134.06,134.06,0.0,0.0
2018-10-07,127.08,127.08,127.08,0.0,0.0,127.56,127.56,127.56,0.0,0.0,126.25,126.25,126.25,0.0,0.0,126.25,126.25,126.25,0.0,0.0
2018-10-14,127.54,127.54,127.54,0.0,0.0,127.54,127.54,127.54,0.0,0.0,124.93,124.93,124.93,0.0,0.0,124.93,124.93,124.93,0.0,0.0
2018-10-21,122.74,122.74,122.74,0.0,0.0,124.35,124.35,124.35,0.0,0.0,120.46,120.46,120.46,0.0,0.0,121.9,121.9,121.9,0.0,0.0
2018-10-28,126.62,126.62,126.62,0.0,0.0,127.63,127.63,127.63,0.0,0.0,126.3,126.3,126.3,0.0,0.0,127.23,127.23,127.23,0.0,0.0
2018-11-04,128.49,128.49,128.49,0.0,0.0,128.66,128.66,128.66,0.0,0.0,125.98,125.98,125.98,0.0,0.0,126.2,126.2,126.2,0.0,0.0
2018-11-11,127.1,127.1,127.1,0.0,0.0,127.39,127.39,127.39,0.0,0.0,125.42,125.42,125.42,0.0,0.0,126.27,126.27,126.27,0.0,0.0
2018-11-18,124.53,124.53,124.53,0.0,0.0,126.42,126.42,126.42,0.0,0.0,124.47,124.47,124.47,0.0,0.0,126.08,126.08,126.08,0.0,0.0
2018-11-25,130.53,130.53,130.53,0.0,0.0,130.78,130.78,130.78,0.0,0.0,128.74,128.74,128.74,0.0,0.0,129.49,129.49,129.49,0.0,0.0
2018-12-02,119.37,119.37,119.37,0.0,0.0,119.54,119.54,119.54,0.0,0.0,116.25,116.25,116.25,0.0,0.0,118.33,118.33,118.33,0.0,0.0
2018-12-09,114.26,114.26,114.26,0.0,0.0,115.6,115.6,115.6,0.0,0.0,112.87,112.87,112.87,0.0,0.0,113.44,113.44,113.44,0.0,0.0
2018-12-16,105.7,105.7,105.7,0.0,0.0,107.14,107.14,107.14,0.0,0.0,105.05,105.05,105.05,0.0,0.0,105.05,105.05,105.05,0.0,0.0
2018-12-23,111.72,111.72,111.72,0.0,0.0,112.75,112.75,112.75,0.0,0.0,111.04,111.04,111.04,0.0,0.0,112.27,112.27,112.27,0.0,0.0
2018-12-30,115.39,115.39,115.39,0.0,0.0,117.04,117.04,117.04,0.0,0.0,114.94,114.94,114.94,0.0,0.0,116.18,116.18,116.18,0.0,0.0
2019-01-06,116.33,116.33,116.33,0.0,0.0,118.5,118.5,118.5,0.0,0.0,116.33,116.33,116.33,0.0,0.0,118.09,118.09,118.09,0.0,0.0
2019-01-13,123.34,123.34,123.34,0.0,0.0,124.55,124.55,124.55,0.0,0.0,122.55,122.55,122.55,0.0,0.0,124.41,124.41,124.41,0.0,0.0
2019-01-20,123.48,123.48,123.48,0.0,0.0,124.37,124.37,124.37,0.0,0.0,123.29,123.29,123.29,0.0,0.0,124.3,124.3,124.3,0.0,0.0
2019-01-27,124.61,124.61,124.61,0.0,0.0,125.26,125.26,125.26,0.0,0.0,124.1,124.1,124.1,0.0,0.0,125.26,125.26,125.26,0.0,0.0
2019-02-03,123.96,123.96,123.96,0.0,0.0,124.28,124.28,124.28,0.0,0.0,123.45,123.45,123.45,0.0,0.0,123.78,123.78,123.78,0.0,0.0
2019-02-10,126.03,126.03,126.03,0.0,0.0,127.54,127.54,127.54,0.0,0.0,126.03,126.03,126.03,0.0,0.0,127.49,127.49,127.49,0.0,0.0
2019-02-17,128.76,128.76,128.76,0.0,0.0,129.59,129.59,129.59,0.0,0.0,128.28,128.28,128.28,0.0,0.0,128.35,128.35,128.35,0.0,0.0
2019-02-24,129.66,129.66,129.66,0.0,0.0,130.39,130.39,130.39,0.0,0.0,127.44,127.44,127.44,0.0,0.0,128.48,128.48,128.48,0.0,0.0
2019-03-03,126.36,126.36,126.36,0.0,0.0,127.37,127.37,127.37,0.0,0.0,126.28,126.28,126.28,0.0,0.0,127.02,127.02,127.02,0.0,0.0
2019-03-10,130.03,130.03,130.03,0.0,0.0,131.32,131.32,131.32,0.0,0.0,129.98,129.98,129.98,0.0,0.0,131.04,131.04,131.04,0.0,0.0
2019-03-17,122.09,122.09,122.09,0.0,0.0,123.21,123.21,123.21,0.0,0.0,121.14,121.14,121.14,0.0,0.0,121.92,121.92,121.92,0.0,0.0
2019-03-24,125.72,125.72,125.72,0.0,0.0,127.89,127.89,127.89,0.0,0.0,125.72,125.72,125.72,0.0,0.0,127.75,127.75,127.75,0.0,0.0
2019-03-31,128.93,128.93,128.93,0.0,0.0,129.55,129.55,129.55,0.0,0.0,128.66,128.66,128.66,0.0,0.0,129.55,129.55,129.55,0.0,0.0
2019-04-07,131.59,131.59,131.59,0.0,0.0,131.73,131.73,131.73,0.0,0.0,130.58,130.58,130.58,0.0,0.0,130.99,130.99,130.99,0.0,0.0
2019-04-14,132.26,132.26,132.26,0.0,0.0,132.69,132.69,132.69,0.0,0.0,132.01,132.01,132.01,0.0,0.0,132.55,132.55,132.55,0.0,0.0
2019-04-21,134.75,134.75,134.75,0.0,0.0,136.55,136.55,136.55,0.0,0.0,134.75,134.75,134.75,0.0,0.0,135.87,135.87,135.87,0.0,0.0
2019-04-28,133.42,133.42,133.42,0.0,0.0,136.06,136.06,136.06,0.0,0.0,133.07,133.07,133.07,0.0,0.0,135.7,135.7,135.7,0.0,0.0
2019-05-05,130.21,130.21,130.21,0.0,0.0,130.61,130.61,130.61,0.0,0.0,128.48,128.48,128.48,0.0,0.0,128.85,128.85,128.85,0.0,0.0
2019-05-12,130.12,130.12,130.12,0.0,0.0,131.37,131.37,131.37,0.0,0.0,130.12,130.12,130.12,0.0,0.0,130.87,130.87,130.87,0.0,0.0
2019-05-19,129.68,129.68,129.68,0.0,0.0,130.28,130.28,130.28,0.0,0.0,129.32,129.32,129.32,0.0,0.0,130.07,130.07,130.07,0.0,0.0
2019-05-26,126.02,126.02,126.02,0.0,0.0,127.14,127.14,127.14,0.0,0.0,125.22,125.22,125.22,0.0,0.0,125.99,125.99,125.99,0.0,0.0
2019-06-02,132.84,132.84,132.84,0.0,0.0,133.95,133.95,133.95,0.0,0.0,132.84,132.84,132.84,0.0,0.0,132.99,132.99,132.99,0.0,0.0
2019-06-09,131.47,131.47,131.47,0.0,0.0,131.82,131.82,131.82,0.0,0.0,130.17,130.17,130.17,0.0,0.0,130.32,130.32,130.32,0.0,0.0
2019-06-16,132.22,132.22,132.22,0.0,0.0,132.81,132.81,132.81,0.0,0.0,131.55,131.55,131.55,0.0,0.0,131.58,131.58,131.58,0.0,0.0
2019-06-23,135.61,135.61,135.61,0.0,0.0,136.09,136.09,136.09,0.0,0.0,134.62,134.62,134.62,0.0,0.0,135.33,135.33,135.33,0.0,0.0
2019-06-30,135.75,135.75,135.75,0.0,0.0,136.23,136.23,136.23,0.0,0.0,135.4,135.4,135.4,0.0,0.0,135.59,135.59,135.59,0.0,0.0
2019-07-07,138.12,138.12,138.12,0.0,0.0,138.12,138.12,138.12,0.0,0.0,136.72,136.72,136.72,0.0,0.0,136.95,136.95,136.95,0.0,0.0
2019-07-14,136.79,136.79,136.79,0.0,0.0,137.66,137.66,137.66,0.0,0.0,136.58,136.58,136.58,0.0,0.0,137.48,137.48,137.48,0.0,0.0
2019-07-21,140.95,140.95,140.95,0.0,0.0,141.26,141.26,141.26,0.0,0.0,139.95,139.95,139.95,0.0,0.0,139.98,139.98,139.98,0.0,0.0
2019-07-28,132.26,132.26,132.26,0.0,0.0,132.51,132.51,132.51,0.0,0.0,129.09,129.09,129.09,0.0,0.0,130.49,130.49,130.49,0.0,0.0
2019-08-04,131.75,131.75,131.75,0.0,0.0,131.99,131.99,131.99,0.0,0.0,130.41,130.41,130.41,0.0,0.0,130.72,130.72,130.72,0.0,0.0
2019-08-11,132.57,132.57,132.57,0.0,0.0,132.57,132.57,132.57,0.0,0.0,131.46,131.46,131.46,0.0,0.0,131.94,131.94,131.94,0.0,0.0
2019-08-18,129.1,129.1,129.1,0.0,0.0,129.57,129.57,129.57,0.0,0.0,128.46,128.46,128.46,0.0,0.0,129.57,129.57,129.57,0.0,0.0
2019-08-25,132.91,132.91,132.91,0.0,0.0,133.39,133.39,133.39,0.0,0.0,132.15,132.15,132.15,0.0,0.0,132.72,132.72,132.72,0.0,0.0
2019-09-01,136.45,136.45,136.45,0.0,0.0,137.55,137.55,137.55,0.0,0.0,136.12,136.12,136.12,0.0,0.0,137.16,137.16,137.16,0.0,0.0
2019-09-08,138.4,138.4,138.4,0.0,0.0,139.28,139.28,139.28,0.0,0.0,138.26,138.26,138.26,0.0,0.0,139.15,139.15,139.15,0.0,0.0
2019-09-15,136.81,136.81,136.81,0.0,0.0,138.44,138.44,138.44,0.0,0.0,136.81,136.81,136.81,0.0,0.0,138.17,138.17,138.17,0.0,0.0
2019-09-22,137.08,137.08,137.08,0.0,0.0,137.08,137.08,137.08,0.0,0.0,136.35,136.35,136.35,0.0,0.0,136.43,136.43,136.43,0.0,0.0
2019-09-29,133.11,133.11,133.11,0.0,0.0,134.15,134.15,134.15,0.0,0.0,133.06,133.06,133.06,0.0,0.0,133.1,133.1,133.1,0.0,0.0
2019-10-06,135.07,135.07,135.07,0.0,0.0,135.69,135.69,135.69,0.0,0.0,135.06,135.06,135.06,0.0,0.0,135.5,135.5,135.5,0.0,0.0
2019-10-13,138.72,138.72,138.72,0.0,0.0,139.57,139.57,139.57,0.0,0.0,138.72,138.72,138.72,0.0,0.0,139.55,139.55,139.55,0.0,0.0
2019-10-20,141.57,141.57,141.57,0.0,0.0,142.32,142.32,142.32,0.0,0.0,141.57,141.57,141.57,0.0,0.0,142.06,142.06,142.06,0.0,0.0
2019-10-27,144.46,144.46,144.46,0.0,0.0,144.48,144.48,144.48,0.0,0.0,143.98,143.98,143.98,0.0,0.0,144.33,144.33,144.33,0.0,0.0
2019-11-03,145.32,145.32,145.32,0.0,0.0,145.94,145.94,145.94,0.0,0.0,145.06,145.06,145.06,0.0,0.0,145.74,145.74,145.74,0.0,0.0
2019-11-10,145.65,145.65,145.65,0.0,0.0,146.19,146.19,146.19,0.0,0.0,145.44,145.44,145.44,0.0,0.0,146.08,146.08,146.08,0.0,0.0
2019-11-17,147.48,147.48,147.48,0.0,0.0,148.38,148.38,148.38,0.0,0.0,147.48,147.48,147.48,0.0,0.0,148.28,148.28,148.28,0.0,0.0
2019-11-24,148.98,148.98,148.98,0.0,0.0,148.98,148.98,148.98,0.0,0.0,147.28,147.28,147.28,0.0,0.0,147.34,147.34,147.34,0.0,0.0
2019-12-01,149.14,149.14,149.14,0.0,0.0,149.57,149.57,149.57,0.0,0.0,149.06,149.06,149.06,0.0,0.0,149.07,149.07,149.07,0.0,0.0
2019-12-08,152.0,152.0,152.0,0.0,0.0,152.31,152.31,152.31,0.0,0.0,151.24,151.24,151.24,0.0,0.0,151.29,151.29,151.29,0.0,0.0
2019-12-15,152.03,152.03,152.03,0.0,0.0,152.03,152.03,152.03,0.0,0.0,151.33,151.33,151.33,0.0,0.0,151.35,151.35,151.35,0.0,0.0
2019-12-22,152.91,152.91,152.91,0.0,0.0,152.97,152.97,152.97,0.0,0.0,151.42,151.42,151.42,0.0,0.0,151.63,151.63,151.63,0.0,0.0
2019-12-29,151.56,151.56,151.56,0.0,0.0,152.53,152.53,152.53,0.0,0.0,151.3,151.3,151.3,0.0,0.0,151.98,151.98,151.98,0.0,0.0
