Date,ProShares UltraShort Bloomberg Natural Gas_Open_average,ProShares UltraShort Bloomberg Natural Gas_Open_max,ProShares UltraShort Bloomberg Natural Gas_Open_min,ProShares UltraShort Bloomberg Natural Gas_Open_volatility,ProShares UltraShort Bloomberg Natural Gas_Open_change,ProShares UltraShort Bloomberg Natural Gas_High_average,ProShares UltraShort Bloomberg Natural Gas_High_max,ProShares UltraShort Bloomberg Natural Gas_High_min,ProShares UltraShort Bloomberg Natural Gas_High_volatility,ProShares UltraShort Bloomberg Natural Gas_High_change,ProShares UltraShort Bloomberg Natural Gas_Low_average,ProShares UltraShort Bloomberg Natural Gas_Low_max,ProShares UltraShort Bloomberg Natural Gas_Low_min,ProShares UltraShort Bloomberg Natural Gas_Low_volatility,ProShares UltraShort Bloomberg Natural Gas_Low_change,ProShares UltraShort Bloomberg Natural Gas_Close_average,ProShares UltraShort Bloomberg Natural Gas_Close_max,ProShares UltraShort Bloomberg Natural Gas_Close_min,ProShares UltraShort Bloomberg Natural Gas_Close_volatility,ProShares UltraShort Bloomberg Natural Gas_Close_change
2018-04-08,42.4,42.4,42.4,0.0,0.0,42.62,42.62,42.62,0.0,0.0,42.05,42.05,42.05,0.0,0.0,42.62,42.62,42.62,0.0,0.0
2018-04-15,43.31,43.31,43.31,0.0,0.0,43.31,43.31,43.31,0.0,0.0,42.58,42.58,42.58,0.0,0.0,42.85,42.85,42.85,0.0,0.0
2018-04-22,43.5,43.5,43.5,0.0,0.0,44.03,44.03,44.03,0.0,0.0,43.04,43.04,43.04,0.0,0.0,43.07,43.07,43.07,0.0,0.0
2018-04-29,43.7,43.7,43.7,0.0,0.0,44.23,44.23,44.23,0.0,0.0,43.34,43.34,43.34,0.0,0.0,44.16,44.16,44.16,0.0,0.0
2018-05-06,42.24,42.24,42.24,0.0,0.0,42.24,42.24,42.24,0.0,0.0,41.16,41.16,41.16,0.0,0.0,41.36,41.36,41.36,0.0,0.0
2018-05-13,40.7,40.7,40.7,0.0,0.0,41.43,41.43,41.43,0.0,0.0,40.7,40.7,40.7,0.0,0.0,41.1,41.1,41.1,0.0,0.0
2018-05-20,37.44,37.44,37.44,0.0,0.0,38.67,38.67,38.67,0.0,0.0,37.38,37.38,37.38,0.0,0.0,38.18,38.18,38.18,0.0,0.0
2018-05-27,38.35,38.35,38.35,0.0,0.0,39.03,39.03,39.03,0.0,0.0,38.12,38.12,38.12,0.0,0.0,38.97,38.97,38.97,0.0,0.0
2018-06-03,38.3,38.3,38.3,0.0,0.0,38.85,38.85,38.85,0.0,0.0,38.2,38.2,38.2,0.0,0.0,38.7,38.7,38.7,0.0,0.0
2018-06-10,37.24,37.24,37.24,0.0,0.0,37.99,37.99,37.99,0.0,0.0,36.92,36.92,36.92,0.0,0.0,37.82,37.82,37.82,0.0,0.0
2018-06-17,39.14,39.14,39.14,0.0,0.0,39.2,39.2,39.2,0.0,0.0,38.55,38.55,38.55,0.0,0.0,38.55,38.55,38.55,0.0,0.0
2018-06-24,40.1,40.1,40.1,0.0,0.0,40.27,40.27,40.27,0.0,0.0,39.98,39.98,39.98,0.0,0.0,40.1,40.1,40.1,0.0,0.0
2018-07-01,41.07,41.07,41.07,0.0,0.0,41.62,41.62,41.62,0.0,0.0,40.92,40.92,40.92,0.0,0.0,41.38,41.38,41.38,0.0,0.0
2018-07-08,43.3,43.3,43.3,0.0,0.0,43.9,43.9,43.9,0.0,0.0,43.0,43.0,43.0,0.0,0.0,43.24,43.24,43.24,0.0,0.0
2018-07-15,44.3,44.3,44.3,0.0,0.0,44.74,44.74,44.74,0.0,0.0,44.3,44.3,44.3,0.0,0.0,44.54,44.54,44.54,0.0,0.0
2018-07-22,41.98,41.98,41.98,0.0,0.0,42.04,42.04,42.04,0.0,0.0,40.88,40.88,40.88,0.0,0.0,41.18,41.18,41.18,0.0,0.0
2018-07-29,39.75,39.75,39.75,0.0,0.0,39.75,39.75,39.75,0.0,0.0,39.45,39.45,39.45,0.0,0.0,39.45,39.45,39.45,0.0,0.0
2018-08-05,37.29,37.29,37.29,0.0,0.0,37.56,37.56,37.56,0.0,0.0,37.21,37.21,37.21,0.0,0.0,37.28,37.28,37.28,0.0,0.0
2018-08-12,37.15,37.15,37.15,0.0,0.0,37.4,37.4,37.4,0.0,0.0,37.09,37.09,37.09,0.0,0.0,37.22,37.22,37.22,0.0,0.0
2018-08-19,38.76,38.76,38.76,0.0,0.0,39.18,39.18,39.18,0.0,0.0,38.65,38.65,38.65,0.0,0.0,39.1,39.1,39.1,0.0,0.0
2018-08-26,37.83,37.83,37.83,0.0,0.0,38.04,38.04,38.04,0.0,0.0,37.64,37.64,37.64,0.0,0.0,37.96,37.96,37.96,0.0,0.0
2018-09-02,42.74,42.74,42.74,0.0,0.0,42.74,42.74,42.74,0.0,0.0,41.3,41.3,41.3,0.0,0.0,41.48,41.48,41.48,0.0,0.0
2018-09-09,42.61,42.61,42.61,0.0,0.0,42.61,42.61,42.61,0.0,0.0,41.82,41.82,41.82,0.0,0.0,42.35,42.35,42.35,0.0,0.0
2018-09-16,36.26,36.26,36.26,0.0,0.0,36.26,36.26,36.26,0.0,0.0,35.16,35.16,35.16,0.0,0.0,35.2,35.2,35.2,0.0,0.0
2018-09-23,34.35,34.35,34.35,0.0,0.0,34.35,34.35,34.35,0.0,0.0,33.11,33.11,33.11,0.0,0.0,33.25,33.25,33.25,0.0,0.0
2018-09-30,30.42,30.42,30.42,0.0,0.0,30.42,30.42,30.42,0.0,0.0,29.45,29.45,29.45,0.0,0.0,29.9,29.9,29.9,0.0,0.0
2018-10-07,30.01,30.01,30.01,0.0,0.0,30.21,30.21,30.21,0.0,0.0,29.31,29.31,29.31,0.0,0.0,29.38,29.38,29.38,0.0,0.0
2018-10-14,30.7,30.7,30.7,0.0,0.0,31.26,31.26,31.26,0.0,0.0,30.36,30.36,30.36,0.0,0.0,31.16,31.16,31.16,0.0,0.0
2018-10-21,32.41,32.41,32.41,0.0,0.0,32.6,32.6,32.6,0.0,0.0,31.44,31.44,31.44,0.0,0.0,31.66,31.66,31.66,0.0,0.0
2018-10-28,26.02,26.02,26.02,0.0,0.0,26.92,26.92,26.92,0.0,0.0,25.48,25.48,25.48,0.0,0.0,25.74,25.74,25.74,0.0,0.0
2018-11-04,22.56,22.56,22.56,0.0,0.0,23.0,23.0,23.0,0.0,0.0,21.39,21.39,21.39,0.0,0.0,21.42,21.42,21.42,0.0,0.0
2018-11-11,12.21,12.21,12.21,0.0,0.0,12.75,12.75,12.75,0.0,0.0,10.6,10.6,10.6,0.0,0.0,11.72,11.72,11.72,0.0,0.0
2018-11-18,14.15,14.15,14.15,0.0,0.0,14.26,14.26,14.26,0.0,0.0,13.13,13.13,13.13,0.0,0.0,13.48,13.48,13.48,0.0,0.0
2018-11-25,12.57,12.57,12.57,0.0,0.0,12.97,12.97,12.97,0.0,0.0,12.31,12.31,12.31,0.0,0.0,12.53,12.53,12.53,0.0,0.0
2018-12-02,11.66,11.66,11.66,0.0,0.0,11.85,11.85,11.85,0.0,0.0,10.83,10.83,10.83,0.0,0.0,11.63,11.63,11.63,0.0,0.0
2018-12-09,16.1,16.1,16.1,0.0,0.0,17.65,17.65,17.65,0.0,0.0,16.1,16.1,16.1,0.0,0.0,17.29,17.29,17.29,0.0,0.0
2018-12-16,16.71,16.71,16.71,0.0,0.0,16.9,16.9,16.9,0.0,0.0,16.35,16.35,16.35,0.0,0.0,16.44,16.44,16.44,0.0,0.0
2018-12-23,19.84,19.84,19.84,0.0,0.0,21.63,21.63,21.63,0.0,0.0,19.8,19.8,19.8,0.0,0.0,21.22,21.22,21.22,0.0,0.0
2018-12-30,21.65,21.65,21.65,0.0,0.0,21.82,21.82,21.82,0.0,0.0,21.04,21.04,21.04,0.0,0.0,21.56,21.56,21.56,0.0,0.0
2019-01-06,17.31,17.31,17.31,0.0,0.0,17.31,17.31,17.31,0.0,0.0,15.16,15.16,15.16,0.0,0.0,15.43,15.43,15.43,0.0,0.0
2019-01-13,17.42,17.42,17.42,0.0,0.0,17.42,17.42,17.42,0.0,0.0,15.68,15.68,15.68,0.0,0.0,16.2,16.2,16.2,0.0,0.0
2019-01-20,19.04,19.04,19.04,0.0,0.0,19.4,19.4,19.4,0.0,0.0,18.76,18.76,18.76,0.0,0.0,19.14,19.14,19.14,0.0,0.0
2019-01-27,22.16,22.16,22.16,0.0,0.0,22.38,22.38,22.38,0.0,0.0,21.85,21.85,21.85,0.0,0.0,22.26,22.26,22.26,0.0,0.0
2019-02-03,21.62,21.62,21.62,0.0,0.0,22.57,22.57,22.57,0.0,0.0,21.55,21.55,21.55,0.0,0.0,22.5,22.5,22.5,0.0,0.0
2019-02-10,22.96,22.96,22.96,0.0,0.0,23.42,23.42,23.42,0.0,0.0,22.53,22.53,22.53,0.0,0.0,22.62,22.62,22.62,0.0,0.0
2019-02-17,20.71,20.71,20.71,0.0,0.0,21.04,21.04,21.04,0.0,0.0,20.23,20.23,20.23,0.0,0.0,20.36,20.36,20.36,0.0,0.0
2019-02-24,19.8,19.8,19.8,0.0,0.0,20.12,20.12,20.12,0.0,0.0,19.71,19.71,19.71,0.0,0.0,19.89,19.89,19.89,0.0,0.0
2019-03-03,20.6,20.6,20.6,0.0,0.0,20.9,20.9,20.9,0.0,0.0,20.55,20.55,20.55,0.0,0.0,20.8,20.8,20.8,0.0,0.0
2019-03-10,20.08,20.08,20.08,0.0,0.0,20.08,20.08,20.08,0.0,0.0,19.65,19.65,19.65,0.0,0.0,19.85,19.85,19.85,0.0,0.0
2019-03-17,21.2,21.2,21.2,0.0,0.0,21.2,21.2,21.2,0.0,0.0,20.77,20.77,20.77,0.0,0.0,20.93,20.93,20.93,0.0,0.0
2019-03-24,22.07,22.07,22.07,0.0,0.0,22.07,22.07,22.07,0.0,0.0,21.49,21.49,21.49,0.0,0.0,21.94,21.94,21.94,0.0,0.0
2019-03-31,22.14,22.14,22.14,0.0,0.0,22.14,22.14,22.14,0.0,0.0,21.65,21.65,21.65,0.0,0.0,21.78,21.78,21.78,0.0,0.0
2019-04-07,23.31,23.31,23.31,0.0,0.0,23.71,23.71,23.71,0.0,0.0,23.29,23.29,23.29,0.0,0.0,23.62,23.62,23.62,0.0,0.0
2019-04-14,25.03,25.03,25.03,0.0,0.0,25.18,25.18,25.18,0.0,0.0,24.83,24.83,24.83,0.0,0.0,25.03,25.03,25.03,0.0,0.0
2019-04-21,24.82,24.82,24.82,0.0,0.0,25.3,25.3,25.3,0.0,0.0,24.49,24.49,24.49,0.0,0.0,24.49,24.49,24.49,0.0,0.0
2019-04-28,25.8,25.8,25.8,0.0,0.0,26.17,26.17,26.17,0.0,0.0,25.68,25.68,25.68,0.0,0.0,25.99,25.99,25.99,0.0,0.0
2019-05-05,23.8,23.8,23.8,0.0,0.0,24.32,24.32,24.32,0.0,0.0,23.66,23.66,23.66,0.0,0.0,24.17,24.17,24.17,0.0,0.0
2019-05-12,23.2,23.2,23.2,0.0,0.0,23.41,23.41,23.41,0.0,0.0,22.85,22.85,22.85,0.0,0.0,23.39,23.39,23.39,0.0,0.0
2019-05-19,25.77,25.77,25.77,0.0,0.0,25.8,25.8,25.8,0.0,0.0,24.63,24.63,24.63,0.0,0.0,24.87,24.87,24.87,0.0,0.0
2019-05-26,28.15,28.15,28.15,0.0,0.0,29.42,29.42,29.42,0.0,0.0,28.15,28.15,28.15,0.0,0.0,29.02,29.02,29.02,0.0,0.0
2019-06-02,30.48,30.48,30.48,0.0,0.0,30.61,30.61,30.61,0.0,0.0,29.88,29.88,29.88,0.0,0.0,29.98,29.98,29.98,0.0,0.0
2019-06-09,29.02,29.02,29.02,0.0,0.0,29.7,29.7,29.7,0.0,0.0,29.0,29.0,29.0,0.0,0.0,29.53,29.53,29.53,0.0,0.0
2019-06-16,32.99,32.99,32.99,0.0,0.0,33.31,33.31,33.31,0.0,0.0,31.08,31.08,31.08,0.0,0.0,31.58,31.58,31.58,0.0,0.0
2019-06-23,32.01,32.01,32.01,0.0,0.0,33.0,33.0,33.0,0.0,0.0,31.74,31.74,31.74,0.0,0.0,32.03,32.03,32.03,0.0,0.0
2019-06-30,28.11,28.11,28.11,0.0,0.0,28.66,28.66,28.66,0.0,0.0,27.65,27.65,27.65,0.0,0.0,27.67,27.67,27.67,0.0,0.0
2019-07-07,27.35,27.35,27.35,0.0,0.0,28.28,28.28,28.28,0.0,0.0,27.3,27.3,27.3,0.0,0.0,27.79,27.79,27.79,0.0,0.0
2019-07-14,30.7,30.7,30.7,0.0,0.0,30.7,30.7,30.7,0.0,0.0,29.28,29.28,29.28,0.0,0.0,29.84,29.84,29.84,0.0,0.0
2019-07-21,34.05,34.05,34.05,0.0,0.0,35.07,35.07,35.07,0.0,0.0,34.0,34.0,34.0,0.0,0.0,34.59,34.59,34.59,0.0,0.0
2019-07-28,36.61,36.61,36.61,0.0,0.0,36.61,36.61,36.61,0.0,0.0,34.58,34.58,34.58,0.0,0.0,35.37,35.37,35.37,0.0,0.0
2019-08-04,33.35,33.35,33.35,0.0,0.0,34.8,34.8,34.8,0.0,0.0,33.35,33.35,33.35,0.0,0.0,34.39,34.39,34.39,0.0,0.0
2019-08-11,33.34,33.34,33.34,0.0,0.0,33.34,33.34,33.34,0.0,0.0,31.91,31.91,31.91,0.0,0.0,32.24,32.24,32.24,0.0,0.0
2019-08-18,32.1,32.1,32.1,0.0,0.0,32.4,32.4,32.4,0.0,0.0,31.4,31.4,31.4,0.0,0.0,31.65,31.65,31.65,0.0,0.0
2019-08-25,30.56,30.56,30.56,0.0,0.0,30.6,30.6,30.6,0.0,0.0,29.94,29.94,29.94,0.0,0.0,30.48,30.48,30.48,0.0,0.0
2019-09-01,24.34,24.34,24.34,0.0,0.0,24.34,24.34,24.34,0.0,0.0,23.33,23.33,23.33,0.0,0.0,23.39,23.39,23.39,0.0,0.0
2019-09-08,22.15,22.15,22.15,0.0,0.0,22.47,22.47,22.47,0.0,0.0,21.59,21.59,21.59,0.0,0.0,21.73,21.73,21.73,0.0,0.0
2019-09-15,25.04,25.04,25.04,0.0,0.0,25.3,25.3,25.3,0.0,0.0,24.36,24.36,24.36,0.0,0.0,24.53,24.53,24.53,0.0,0.0
2019-09-22,29.15,29.15,29.15,0.0,0.0,29.52,29.52,29.52,0.0,0.0,28.67,28.67,28.67,0.0,0.0,29.47,29.47,29.47,0.0,0.0
2019-09-29,29.69,29.69,29.69,0.0,0.0,30.1,30.1,30.1,0.0,0.0,28.93,28.93,28.93,0.0,0.0,29.84,29.84,29.84,0.0,0.0
2019-10-06,30.01,30.01,30.01,0.0,0.0,31.22,31.22,31.22,0.0,0.0,30.01,30.01,30.01,0.0,0.0,30.36,30.36,30.36,0.0,0.0
2019-10-13,31.6,31.6,31.6,0.0,0.0,32.06,32.06,32.06,0.0,0.0,31.33,31.33,31.33,0.0,0.0,31.33,31.33,31.33,0.0,0.0
2019-10-20,29.73,29.73,29.73,0.0,0.0,30.57,30.57,30.57,0.0,0.0,28.88,28.88,28.88,0.0,0.0,29.36,29.36,29.36,0.0,0.0
2019-10-27,24.5,24.5,24.5,0.0,0.0,24.93,24.93,24.93,0.0,0.0,24.16,24.16,24.16,0.0,0.0,24.49,24.49,24.49,0.0,0.0
2019-11-03,26.94,26.94,26.94,0.0,0.0,27.7,27.7,27.7,0.0,0.0,26.91,26.91,26.91,0.0,0.0,27.34,27.34,27.34,0.0,0.0
2019-11-10,28.53,28.53,28.53,0.0,0.0,29.53,29.53,29.53,0.0,0.0,28.1,28.1,28.1,0.0,0.0,29.47,29.47,29.47,0.0,0.0
2019-11-17,29.5,29.5,29.5,0.0,0.0,30.08,30.08,30.08,0.0,0.0,29.44,29.44,29.44,0.0,0.0,29.92,29.92,29.92,0.0,0.0
2019-11-24,36.0,36.0,36.0,0.0,0.0,37.06,37.06,37.06,0.0,0.0,35.46,35.46,35.46,0.0,0.0,35.57,35.57,35.57,0.0,0.0
2019-12-01,38.34,38.34,38.34,0.0,0.0,39.25,39.25,39.25,0.0,0.0,37.55,37.55,37.55,0.0,0.0,37.55,37.55,37.55,0.0,0.0
2019-12-08,35.14,35.14,35.14,0.0,0.0,35.39,35.39,35.39,0.0,0.0,34.67,34.67,34.67,0.0,0.0,35.18,35.18,35.18,0.0,0.0
2019-12-15,38.18,38.18,38.18,0.0,0.0,38.58,38.58,38.58,0.0,0.0,38.08,38.08,38.08,0.0,0.0,38.26,38.26,38.26,0.0,0.0
2019-12-22,37.7,37.7,37.7,0.0,0.0,38.56,38.56,38.56,0.0,0.0,37.54,37.54,37.54,0.0,0.0,38.43,38.43,38.43,0.0,0.0
2019-12-29,40.43,40.43,40.43,0.0,0.0,40.67,40.67,40.67,0.0,0.0,39.36,39.36,39.36,0.0,0.0,40.38,40.38,40.38,0.0,0.0
