Date,iShares Convertible Bond_Open_average,iShares Convertible Bond_Open_max,iShares Convertible Bond_Open_min,iShares Convertible Bond_Open_volatility,iShares Convertible Bond_Open_change,iShares Convertible Bond_High_average,iShares Convertible Bond_High_max,iShares Convertible Bond_High_min,iShares Convertible Bond_High_volatility,iShares Convertible Bond_High_change,iShares Convertible Bond_Low_average,iShares Convertible Bond_Low_max,iShares Convertible Bond_Low_min,iShares Convertible Bond_Low_volatility,iShares Convertible Bond_Low_change,iShares Convertible Bond_Close_average,iShares Convertible Bond_Close_max,iShares Convertible Bond_Close_min,iShares Convertible Bond_Close_volatility,iShares Convertible Bond_Close_change
2018-03-25,56.07,56.07,56.07,0.0,0.0,56.63,56.63,56.63,0.0,0.0,55.87,55.87,55.87,0.0,0.0,56.32,56.32,56.32,0.0,0.0
2018-04-01,55.61,55.61,55.61,0.0,0.0,55.94,55.94,55.94,0.0,0.0,55.27,55.27,55.27,0.0,0.0,55.38,55.38,55.38,0.0,0.0
2018-04-08,57.02,57.02,57.02,0.0,0.0,57.02,57.02,57.02,0.0,0.0,56.37,56.37,56.37,0.0,0.0,56.53,56.53,56.53,0.0,0.0
2018-04-15,57.19,57.19,57.19,0.0,0.0,57.19,57.19,57.19,0.0,0.0,56.61,56.61,56.61,0.0,0.0,56.68,56.68,56.68,0.0,0.0
2018-04-22,56.73,56.73,56.73,0.0,0.0,56.73,56.73,56.73,0.0,0.0,56.09,56.09,56.09,0.0,0.0,56.26,56.26,56.26,0.0,0.0
2018-04-29,55.96,55.96,55.96,0.0,0.0,56.79,56.79,56.79,0.0,0.0,55.96,55.96,55.96,0.0,0.0,56.61,56.61,56.61,0.0,0.0
2018-05-06,57.94,57.94,57.94,0.0,0.0,57.94,57.94,57.94,0.0,0.0,57.56,57.56,57.56,0.0,0.0,57.71,57.71,57.71,0.0,0.0
2018-05-13,58.1,58.1,58.1,0.0,0.0,58.1,58.1,58.1,0.0,0.0,57.8,57.8,57.8,0.0,0.0,57.87,57.87,57.87,0.0,0.0
2018-05-20,58.03,58.03,58.03,0.0,0.0,58.22,58.22,58.22,0.0,0.0,57.95,57.95,57.95,0.0,0.0,58.15,58.15,58.15,0.0,0.0
2018-05-27,58.41,58.41,58.41,0.0,0.0,58.54,58.54,58.54,0.0,0.0,58.22,58.22,58.22,0.0,0.0,58.51,58.51,58.51,0.0,0.0
2018-06-03,58.8,58.8,58.8,0.0,0.0,59.02,59.02,59.02,0.0,0.0,58.8,58.8,58.8,0.0,0.0,58.96,58.96,58.96,0.0,0.0
2018-06-10,59.67,59.67,59.67,0.0,0.0,59.83,59.83,59.83,0.0,0.0,59.51,59.51,59.51,0.0,0.0,59.73,59.73,59.73,0.0,0.0
2018-06-17,59.63,59.63,59.63,0.0,0.0,59.63,59.63,59.63,0.0,0.0,58.92,58.92,58.92,0.0,0.0,58.92,58.92,58.92,0.0,0.0
2018-06-24,57.86,57.86,57.86,0.0,0.0,57.89,57.89,57.89,0.0,0.0,57.71,57.71,57.71,0.0,0.0,57.71,57.71,57.71,0.0,0.0
2018-07-01,57.94,57.94,57.94,0.0,0.0,58.55,58.55,58.55,0.0,0.0,57.94,57.94,57.94,0.0,0.0,58.51,58.51,58.51,0.0,0.0
2018-07-08,58.94,58.94,58.94,0.0,0.0,59.15,59.15,59.15,0.0,0.0,58.72,58.72,58.72,0.0,0.0,58.9,58.9,58.9,0.0,0.0
2018-07-15,58.91,58.91,58.91,0.0,0.0,58.95,58.95,58.95,0.0,0.0,58.79,58.79,58.79,0.0,0.0,58.82,58.82,58.82,0.0,0.0
2018-07-22,58.97,58.97,58.97,0.0,0.0,58.97,58.97,58.97,0.0,0.0,58.12,58.12,58.12,0.0,0.0,58.3,58.3,58.3,0.0,0.0
2018-07-29,58.62,58.62,58.62,0.0,0.0,58.84,58.84,58.84,0.0,0.0,58.34,58.34,58.34,0.0,0.0,58.45,58.45,58.45,0.0,0.0
2018-08-05,58.67,58.67,58.67,0.0,0.0,58.9,58.9,58.9,0.0,0.0,58.52,58.52,58.52,0.0,0.0,58.68,58.68,58.68,0.0,0.0
2018-08-12,57.83,57.83,57.83,0.0,0.0,58.04,58.04,58.04,0.0,0.0,57.68,57.68,57.68,0.0,0.0,57.96,57.96,57.96,0.0,0.0
2018-08-19,59.14,59.14,59.14,0.0,0.0,59.53,59.53,59.53,0.0,0.0,59.14,59.14,59.14,0.0,0.0,59.53,59.53,59.53,0.0,0.0
2018-08-26,59.79,59.79,59.79,0.0,0.0,60.01,60.01,60.01,0.0,0.0,59.79,59.79,59.79,0.0,0.0,60.0,60.0,60.0,0.0,0.0
2018-09-02,58.85,58.85,58.85,0.0,0.0,59.49,59.49,59.49,0.0,0.0,58.65,58.65,58.65,0.0,0.0,59.05,59.05,59.05,0.0,0.0
2018-09-09,59.85,59.85,59.85,0.0,0.0,59.99,59.99,59.99,0.0,0.0,59.71,59.71,59.71,0.0,0.0,59.94,59.94,59.94,0.0,0.0
2018-09-16,59.76,59.76,59.76,0.0,0.0,59.78,59.78,59.78,0.0,0.0,59.39,59.39,59.39,0.0,0.0,59.39,59.39,59.39,0.0,0.0
2018-09-23,59.59,59.59,59.59,0.0,0.0,59.99,59.99,59.99,0.0,0.0,59.59,59.59,59.59,0.0,0.0,59.86,59.86,59.86,0.0,0.0
2018-09-30,58.48,58.48,58.48,0.0,0.0,58.65,58.65,58.65,0.0,0.0,57.7,57.7,57.7,0.0,0.0,58.07,58.07,58.07,0.0,0.0
2018-10-07,55.5,55.5,55.5,0.0,0.0,56.72,56.72,56.72,0.0,0.0,55.5,55.5,55.5,0.0,0.0,56.51,56.51,56.51,0.0,0.0
2018-10-14,57.24,57.24,57.24,0.0,0.0,57.25,57.25,57.25,0.0,0.0,56.21,56.21,56.21,0.0,0.0,56.21,56.21,56.21,0.0,0.0
2018-10-21,54.76,54.76,54.76,0.0,0.0,55.3,55.3,55.3,0.0,0.0,54.35,54.35,54.35,0.0,0.0,54.78,54.78,54.78,0.0,0.0
2018-10-28,57.0,57.0,57.0,0.0,0.0,57.05,57.05,57.05,0.0,0.0,56.47,56.47,56.47,0.0,0.0,56.63,56.63,56.63,0.0,0.0
2018-11-04,56.66,56.66,56.66,0.0,0.0,56.99,56.99,56.99,0.0,0.0,56.3,56.3,56.3,0.0,0.0,56.58,56.58,56.58,0.0,0.0
2018-11-11,55.87,55.87,55.87,0.0,0.0,56.22,56.22,56.22,0.0,0.0,55.72,55.72,55.72,0.0,0.0,56.21,56.21,56.21,0.0,0.0
2018-11-18,54.55,54.55,54.55,0.0,0.0,55.06,55.06,55.06,0.0,0.0,54.55,54.55,54.55,0.0,0.0,54.98,54.98,54.98,0.0,0.0
2018-11-25,56.28,56.28,56.28,0.0,0.0,56.61,56.61,56.61,0.0,0.0,56.28,56.28,56.28,0.0,0.0,56.48,56.48,56.48,0.0,0.0
2018-12-02,55.39,55.39,55.39,0.0,0.0,55.57,55.57,55.57,0.0,0.0,54.32,54.32,54.32,0.0,0.0,54.5,54.5,54.5,0.0,0.0
2018-12-09,54.46,54.46,54.46,0.0,0.0,54.7,54.7,54.7,0.0,0.0,54.26,54.26,54.26,0.0,0.0,54.28,54.28,54.28,0.0,0.0
2018-12-16,52.02,52.02,52.02,0.0,0.0,52.02,52.02,52.02,0.0,0.0,50.38,50.38,50.38,0.0,0.0,50.49,50.49,50.49,0.0,0.0
2018-12-23,52.23,52.23,52.23,0.0,0.0,52.39,52.39,52.39,0.0,0.0,51.56,51.56,51.56,0.0,0.0,52.07,52.07,52.07,0.0,0.0
2018-12-30,51.78,51.78,51.78,0.0,0.0,52.68,52.68,52.68,0.0,0.0,51.78,51.78,51.78,0.0,0.0,52.52,52.52,52.52,0.0,0.0
2019-01-06,54.17,54.17,54.17,0.0,0.0,54.53,54.53,54.53,0.0,0.0,54.15,54.15,54.15,0.0,0.0,54.5,54.5,54.5,0.0,0.0
2019-01-13,55.15,55.15,55.15,0.0,0.0,55.27,55.27,55.27,0.0,0.0,54.76,54.76,54.76,0.0,0.0,55.13,55.13,55.13,0.0,0.0
2019-01-20,55.11,55.11,55.11,0.0,0.0,55.45,55.45,55.45,0.0,0.0,55.1,55.1,55.1,0.0,0.0,55.41,55.41,55.41,0.0,0.0
2019-01-27,55.88,55.88,55.88,0.0,0.0,56.45,56.45,56.45,0.0,0.0,55.88,55.88,55.88,0.0,0.0,56.45,56.45,56.45,0.0,0.0
2019-02-03,56.26,56.26,56.26,0.0,0.0,56.81,56.81,56.81,0.0,0.0,56.26,56.26,56.26,0.0,0.0,56.78,56.78,56.78,0.0,0.0
2019-02-10,57.85,57.85,57.85,0.0,0.0,57.85,57.85,57.85,0.0,0.0,57.5,57.5,57.5,0.0,0.0,57.74,57.74,57.74,0.0,0.0
2019-02-17,57.63,57.63,57.63,0.0,0.0,57.95,57.95,57.95,0.0,0.0,57.63,57.63,57.63,0.0,0.0,57.95,57.95,57.95,0.0,0.0
2019-02-24,58.3,58.3,58.3,0.0,0.0,58.38,58.38,58.38,0.0,0.0,58.0,58.0,58.0,0.0,0.0,58.32,58.32,58.32,0.0,0.0
2019-03-03,56.67,56.67,56.67,0.0,0.0,57.14,57.14,57.14,0.0,0.0,56.27,56.27,56.27,0.0,0.0,57.14,57.14,57.14,0.0,0.0
2019-03-10,58.34,58.34,58.34,0.0,0.0,58.34,58.34,58.34,0.0,0.0,58.16,58.16,58.16,0.0,0.0,58.2,58.2,58.2,0.0,0.0
2019-03-17,58.82,58.82,58.82,0.0,0.0,58.85,58.85,58.85,0.0,0.0,58.04,58.04,58.04,0.0,0.0,58.05,58.05,58.05,0.0,0.0
2019-03-24,57.95,57.95,57.95,0.0,0.0,58.02,58.02,58.02,0.0,0.0,57.78,57.78,57.78,0.0,0.0,57.96,57.96,57.96,0.0,0.0
2019-03-31,58.58,58.58,58.58,0.0,0.0,58.81,58.81,58.81,0.0,0.0,58.58,58.58,58.58,0.0,0.0,58.81,58.81,58.81,0.0,0.0
2019-04-07,58.99,58.99,58.99,0.0,0.0,59.34,59.34,59.34,0.0,0.0,58.96,58.96,58.96,0.0,0.0,59.01,59.01,59.01,0.0,0.0
2019-04-14,58.82,58.82,58.82,0.0,0.0,59.23,59.23,59.23,0.0,0.0,58.45,58.45,58.45,0.0,0.0,58.81,58.81,58.81,0.0,0.0
2019-04-21,59.2,59.2,59.2,0.0,0.0,59.65,59.65,59.65,0.0,0.0,59.04,59.04,59.04,0.0,0.0,59.65,59.65,59.65,0.0,0.0
2019-04-28,59.39,59.39,59.39,0.0,0.0,59.81,59.81,59.81,0.0,0.0,59.13,59.13,59.13,0.0,0.0,59.8,59.8,59.8,0.0,0.0
2019-05-05,58.38,58.38,58.38,0.0,0.0,58.63,58.63,58.63,0.0,0.0,58.08,58.08,58.08,0.0,0.0,58.63,58.63,58.63,0.0,0.0
2019-05-12,58.14,58.14,58.14,0.0,0.0,58.59,58.59,58.59,0.0,0.0,58.0,58.0,58.0,0.0,0.0,58.17,58.17,58.17,0.0,0.0
2019-05-19,57.48,57.48,57.48,0.0,0.0,57.48,57.48,57.48,0.0,0.0,57.27,57.27,57.27,0.0,0.0,57.37,57.37,57.37,0.0,0.0
2019-05-26,56.96,56.96,56.96,0.0,0.0,57.18,57.18,57.18,0.0,0.0,56.44,56.44,56.44,0.0,0.0,56.87,56.87,56.87,0.0,0.0
2019-06-02,58.05,58.05,58.05,0.0,0.0,58.35,58.35,58.35,0.0,0.0,58.03,58.03,58.03,0.0,0.0,58.29,58.29,58.29,0.0,0.0
2019-06-09,58.51,58.51,58.51,0.0,0.0,58.51,58.51,58.51,0.0,0.0,58.3,58.3,58.3,0.0,0.0,58.36,58.36,58.36,0.0,0.0
2019-06-16,59.24,59.24,59.24,0.0,0.0,59.5,59.5,59.5,0.0,0.0,59.22,59.22,59.22,0.0,0.0,59.26,59.26,59.26,0.0,0.0
2019-06-23,59.36,59.36,59.36,0.0,0.0,59.62,59.62,59.62,0.0,0.0,59.36,59.36,59.36,0.0,0.0,59.53,59.53,59.53,0.0,0.0
2019-06-30,60.14,60.14,60.14,0.0,0.0,60.3,60.3,60.3,0.0,0.0,59.78,59.78,59.78,0.0,0.0,60.21,60.21,60.21,0.0,0.0
2019-07-07,60.79,60.79,60.79,0.0,0.0,60.86,60.86,60.86,0.0,0.0,60.6,60.6,60.6,0.0,0.0,60.85,60.85,60.85,0.0,0.0
2019-07-14,61.24,61.24,61.24,0.0,0.0,61.24,61.24,61.24,0.0,0.0,60.47,60.47,60.47,0.0,0.0,60.47,60.47,60.47,0.0,0.0
2019-07-21,61.11,61.11,61.11,0.0,0.0,61.39,61.39,61.39,0.0,0.0,60.99,60.99,60.99,0.0,0.0,61.26,61.26,61.26,0.0,0.0
2019-07-28,60.01,60.01,60.01,0.0,0.0,60.03,60.03,60.03,0.0,0.0,59.42,59.42,59.42,0.0,0.0,59.72,59.72,59.72,0.0,0.0
2019-08-04,59.79,59.79,59.79,0.0,0.0,59.86,59.86,59.86,0.0,0.0,59.35,59.35,59.35,0.0,0.0,59.71,59.71,59.71,0.0,0.0
2019-08-11,58.7,58.7,58.7,0.0,0.0,59.1,59.1,59.1,0.0,0.0,58.7,58.7,58.7,0.0,0.0,58.96,58.96,58.96,0.0,0.0
2019-08-18,59.23,59.23,59.23,0.0,0.0,59.51,59.51,59.51,0.0,0.0,58.62,58.62,58.62,0.0,0.0,58.87,58.87,58.87,0.0,0.0
2019-08-25,59.52,59.52,59.52,0.0,0.0,59.52,59.52,59.52,0.0,0.0,58.87,58.87,58.87,0.0,0.0,59.07,59.07,59.07,0.0,0.0
2019-09-01,59.63,59.63,59.63,0.0,0.0,59.63,59.63,59.63,0.0,0.0,59.13,59.13,59.13,0.0,0.0,59.23,59.23,59.23,0.0,0.0
2019-09-08,59.53,59.53,59.53,0.0,0.0,59.53,59.53,59.53,0.0,0.0,59.32,59.32,59.32,0.0,0.0,59.39,59.39,59.39,0.0,0.0
2019-09-15,59.62,59.62,59.62,0.0,0.0,59.62,59.62,59.62,0.0,0.0,59.25,59.25,59.25,0.0,0.0,59.34,59.34,59.34,0.0,0.0
2019-09-22,58.63,58.63,58.63,0.0,0.0,58.63,58.63,58.63,0.0,0.0,57.78,57.78,57.78,0.0,0.0,58.08,58.08,58.08,0.0,0.0
2019-09-29,58.01,58.01,58.01,0.0,0.0,58.26,58.26,58.26,0.0,0.0,57.85,57.85,57.85,0.0,0.0,58.26,58.26,58.26,0.0,0.0
2019-10-06,58.37,58.37,58.37,0.0,0.0,58.79,58.79,58.79,0.0,0.0,58.37,58.37,58.37,0.0,0.0,58.5,58.5,58.5,0.0,0.0
2019-10-13,58.74,58.74,58.74,0.0,0.0,58.77,58.77,58.77,0.0,0.0,58.14,58.14,58.14,0.0,0.0,58.35,58.35,58.35,0.0,0.0
2019-10-20,58.85,58.85,58.85,0.0,0.0,59.13,59.13,59.13,0.0,0.0,58.69,58.69,58.69,0.0,0.0,59.13,59.13,59.13,0.0,0.0
2019-10-27,59.31,59.31,59.31,0.0,0.0,59.62,59.62,59.62,0.0,0.0,59.09,59.09,59.09,0.0,0.0,59.62,59.62,59.62,0.0,0.0
2019-11-03,59.97,59.97,59.97,0.0,0.0,60.14,60.14,60.14,0.0,0.0,59.76,59.76,59.76,0.0,0.0,60.05,60.05,60.05,0.0,0.0
2019-11-10,60.37,60.37,60.37,0.0,0.0,60.54,60.54,60.54,0.0,0.0,60.19,60.19,60.19,0.0,0.0,60.54,60.54,60.54,0.0,0.0
2019-11-17,60.58,60.58,60.58,0.0,0.0,60.6,60.6,60.6,0.0,0.0,60.28,60.28,60.28,0.0,0.0,60.58,60.58,60.58,0.0,0.0
2019-11-24,61.6,61.6,61.6,0.0,0.0,61.6,61.6,61.6,0.0,0.0,61.32,61.32,61.32,0.0,0.0,61.32,61.32,61.32,0.0,0.0
2019-12-01,61.24,61.24,61.24,0.0,0.0,61.31,61.31,61.31,0.0,0.0,61.1,61.1,61.1,0.0,0.0,61.26,61.26,61.26,0.0,0.0
2019-12-08,61.38,61.38,61.38,0.0,0.0,61.76,61.76,61.76,0.0,0.0,61.35,61.35,61.35,0.0,0.0,61.53,61.53,61.53,0.0,0.0
2019-12-15,62.32,62.32,62.32,0.0,0.0,62.38,62.38,62.38,0.0,0.0,62.23,62.23,62.23,0.0,0.0,62.35,62.35,62.35,0.0,0.0
2019-12-22,63.06,63.06,63.06,0.0,0.0,63.06,63.06,63.06,0.0,0.0,62.63,62.63,62.63,0.0,0.0,62.89,62.89,62.89,0.0,0.0
2019-12-29,62.96,62.96,62.96,0.0,0.0,63.45,63.45,63.45,0.0,0.0,62.96,62.96,62.96,0.0,0.0,63.29,63.29,63.29,0.0,0.0
