Date,ProShares UltraShort Semiconductors_Open_average,ProShares UltraShort Semiconductors_Open_max,ProShares UltraShort Semiconductors_Open_min,ProShares UltraShort Semiconductors_Open_volatility,ProShares UltraShort Semiconductors_Open_change,ProShares UltraShort Semiconductors_High_average,ProShares UltraShort Semiconductors_High_max,ProShares UltraShort Semiconductors_High_min,ProShares UltraShort Semiconductors_High_volatility,ProShares UltraShort Semiconductors_High_change,ProShares UltraShort Semiconductors_Low_average,ProShares UltraShort Semiconductors_Low_max,ProShares UltraShort Semiconductors_Low_min,ProShares UltraShort Semiconductors_Low_volatility,ProShares UltraShort Semiconductors_Low_change,ProShares UltraShort Semiconductors_Close_average,ProShares UltraShort Semiconductors_Close_max,ProShares UltraShort Semiconductors_Close_min,ProShares UltraShort Semiconductors_Close_volatility,ProShares UltraShort Semiconductors_Close_change
2018-04-08,33.48,33.48,33.48,0.0,0.0,33.84,33.84,33.84,0.0,0.0,33.1,33.1,33.1,0.0,0.0,33.34,33.34,33.34,0.0,0.0
2018-04-15,35.8,35.8,35.8,0.0,0.0,37.08,37.08,37.08,0.0,0.0,35.6,35.6,35.6,0.0,0.0,37.04,37.04,37.04,0.0,0.0
2018-04-22,36.44,36.44,36.44,0.0,0.0,37.28,37.28,37.28,0.0,0.0,35.48,35.48,35.48,0.0,0.0,36.88,36.88,36.88,0.0,0.0
2018-04-29,34.16,34.16,34.16,0.0,0.0,34.16,34.16,34.16,0.0,0.0,33.0,33.0,33.0,0.0,0.0,33.36,33.36,33.36,0.0,0.0
2018-05-06,30.68,30.68,30.68,0.0,0.0,30.68,30.68,30.68,0.0,0.0,29.92,29.92,29.92,0.0,0.0,30.3,30.3,30.3,0.0,0.0
2018-05-13,31.24,31.24,31.24,0.0,0.0,31.48,31.48,31.48,0.0,0.0,30.4,30.4,30.4,0.0,0.0,31.48,31.48,31.48,0.0,0.0
2018-05-20,30.0,30.0,30.0,0.0,0.0,30.0,30.0,30.0,0.0,0.0,29.6,29.6,29.6,0.0,0.0,29.6,29.6,29.6,0.0,0.0
2018-05-27,28.28,28.28,28.28,0.0,0.0,28.5,28.5,28.5,0.0,0.0,27.8,27.8,27.8,0.0,0.0,27.9,27.9,27.9,0.0,0.0
2018-06-03,28.64,28.64,28.64,0.0,0.0,28.98,28.98,28.98,0.0,0.0,28.64,28.64,28.64,0.0,0.0,28.64,28.64,28.64,0.0,0.0
2018-06-10,29.28,29.28,29.28,0.0,0.0,29.64,29.64,29.64,0.0,0.0,29.2,29.2,29.2,0.0,0.0,29.26,29.26,29.26,0.0,0.0
2018-06-17,31.2,31.2,31.2,0.0,0.0,33.11,33.11,33.11,0.0,0.0,31.2,31.2,31.2,0.0,0.0,32.6,32.6,32.6,0.0,0.0
2018-06-24,34.48,34.48,34.48,0.0,0.0,34.48,34.48,34.48,0.0,0.0,33.06,33.06,33.06,0.0,0.0,33.12,33.12,33.12,0.0,0.0
2018-07-01,31.61,31.61,31.61,0.0,0.0,31.7,31.7,31.7,0.0,0.0,31.16,31.16,31.16,0.0,0.0,31.16,31.16,31.16,0.0,0.0
2018-07-08,31.6,31.6,31.6,0.0,0.0,31.9,31.9,31.9,0.0,0.0,31.5,31.5,31.5,0.0,0.0,31.9,31.9,31.9,0.0,0.0
2018-07-15,32.23,32.23,32.23,0.0,0.0,32.23,32.23,32.23,0.0,0.0,31.26,31.26,31.26,0.0,0.0,31.26,31.26,31.26,0.0,0.0
2018-07-22,31.4,31.4,31.4,0.0,0.0,32.62,32.62,32.62,0.0,0.0,31.4,31.4,31.4,0.0,0.0,32.3,32.3,32.3,0.0,0.0
2018-07-29,31.1,31.1,31.1,0.0,0.0,31.1,31.1,31.1,0.0,0.0,30.93,30.93,30.93,0.0,0.0,30.93,30.93,30.93,0.0,0.0
2018-08-05,31.85,31.85,31.85,0.0,0.0,31.85,31.85,31.85,0.0,0.0,31.75,31.75,31.75,0.0,0.0,31.75,31.75,31.75,0.0,0.0
2018-08-12,34.36,34.36,34.36,0.0,0.0,34.76,34.76,34.76,0.0,0.0,33.44,33.44,33.44,0.0,0.0,34.0,34.0,34.0,0.0,0.0
2018-08-19,30.62,30.62,30.62,0.0,0.0,31.0,31.0,31.0,0.0,0.0,30.0,30.0,30.0,0.0,0.0,30.24,30.24,30.24,0.0,0.0
2018-08-26,30.3,30.3,30.3,0.0,0.0,30.3,30.3,30.3,0.0,0.0,30.06,30.06,30.06,0.0,0.0,30.28,30.28,30.28,0.0,0.0
2018-09-02,32.0,32.0,32.0,0.0,0.0,32.0,32.0,32.0,0.0,0.0,31.41,31.41,31.41,0.0,0.0,31.63,31.63,31.63,0.0,0.0
2018-09-09,31.8,31.8,31.8,0.0,0.0,32.54,32.54,32.54,0.0,0.0,31.72,31.72,31.72,0.0,0.0,32.54,32.54,32.54,0.0,0.0
2018-09-16,31.22,31.22,31.22,0.0,0.0,31.77,31.77,31.77,0.0,0.0,30.87,30.87,30.87,0.0,0.0,31.02,31.02,31.02,0.0,0.0
2018-09-23,31.26,31.26,31.26,0.0,0.0,31.26,31.26,31.26,0.0,0.0,30.46,30.46,30.46,0.0,0.0,30.78,30.78,30.78,0.0,0.0
2018-09-30,33.66,33.66,33.66,0.0,0.0,33.92,33.92,33.92,0.0,0.0,32.8,32.8,32.8,0.0,0.0,33.59,33.59,33.59,0.0,0.0
2018-10-07,36.34,36.34,36.34,0.0,0.0,37.34,37.34,37.34,0.0,0.0,36.34,36.34,36.34,0.0,0.0,36.8,36.8,36.8,0.0,0.0
2018-10-14,37.54,37.54,37.54,0.0,0.0,38.22,38.22,38.22,0.0,0.0,36.98,36.98,36.98,0.0,0.0,36.98,36.98,36.98,0.0,0.0
2018-10-21,40.9,40.9,40.9,0.0,0.0,44.94,44.94,44.94,0.0,0.0,40.0,40.0,40.0,0.0,0.0,43.6,43.6,43.6,0.0,0.0
2018-10-28,37.1,37.1,37.1,0.0,0.0,38.1,38.1,38.1,0.0,0.0,36.78,36.78,36.78,0.0,0.0,36.98,36.98,36.98,0.0,0.0
2018-11-04,37.42,37.42,37.42,0.0,0.0,40.43,40.43,40.43,0.0,0.0,37.42,37.42,37.42,0.0,0.0,39.96,39.96,39.96,0.0,0.0
2018-11-11,38.1,38.1,38.1,0.0,0.0,41.01,41.01,41.01,0.0,0.0,38.1,38.1,38.1,0.0,0.0,41.01,41.01,41.01,0.0,0.0
2018-11-18,40.32,40.32,40.32,0.0,0.0,40.56,40.56,40.56,0.0,0.0,39.34,39.34,39.34,0.0,0.0,39.34,39.34,39.34,0.0,0.0
2018-11-25,34.16,34.16,34.16,0.0,0.0,35.84,35.84,35.84,0.0,0.0,33.99,33.99,33.99,0.0,0.0,35.22,35.22,35.22,0.0,0.0
2018-12-02,41.7,41.7,41.7,0.0,0.0,41.7,41.7,41.7,0.0,0.0,39.34,39.34,39.34,0.0,0.0,39.58,39.58,39.58,0.0,0.0
2018-12-09,40.0,40.0,40.0,0.0,0.0,41.22,41.22,41.22,0.0,0.0,38.6,38.6,38.6,0.0,0.0,40.9,40.9,40.9,0.0,0.0
2018-12-16,45.4,45.4,45.4,0.0,0.0,47.38,47.38,47.38,0.0,0.0,45.4,45.4,45.4,0.0,0.0,47.32,47.32,47.32,0.0,0.0
2018-12-23,40.12,40.12,40.12,0.0,0.0,41.13,41.13,41.13,0.0,0.0,40.12,40.12,40.12,0.0,0.0,40.91,40.91,40.91,0.0,0.0
2018-12-30,41.04,41.04,41.04,0.0,0.0,41.04,41.04,41.04,0.0,0.0,38.34,38.34,38.34,0.0,0.0,38.9,38.9,38.9,0.0,0.0
2019-01-06,37.2,37.2,37.2,0.0,0.0,37.41,37.41,37.41,0.0,0.0,36.68,36.68,36.68,0.0,0.0,36.85,36.85,36.85,0.0,0.0
2019-01-13,35.56,35.56,35.56,0.0,0.0,36.0,36.0,36.0,0.0,0.0,34.68,34.68,34.68,0.0,0.0,35.03,35.03,35.03,0.0,0.0
2019-01-20,34.96,34.96,34.96,0.0,0.0,35.59,35.59,35.59,0.0,0.0,34.45,34.45,34.45,0.0,0.0,34.54,34.54,34.54,0.0,0.0
2019-01-27,33.52,33.52,33.52,0.0,0.0,33.52,33.52,33.52,0.0,0.0,32.65,32.65,32.65,0.0,0.0,32.65,32.65,32.65,0.0,0.0
2019-02-03,32.28,32.28,32.28,0.0,0.0,32.28,32.28,32.28,0.0,0.0,31.72,31.72,31.72,0.0,0.0,31.8,31.8,31.8,0.0,0.0
2019-02-10,29.04,29.04,29.04,0.0,0.0,29.72,29.72,29.72,0.0,0.0,29.04,29.04,29.04,0.0,0.0,29.66,29.66,29.66,0.0,0.0
2019-02-17,28.46,28.46,28.46,0.0,0.0,28.53,28.53,28.53,0.0,0.0,27.9,27.9,27.9,0.0,0.0,28.53,28.53,28.53,0.0,0.0
2019-02-24,28.16,28.16,28.16,0.0,0.0,29.3,29.3,29.3,0.0,0.0,28.14,28.14,28.14,0.0,0.0,28.88,28.88,28.88,0.0,0.0
2019-03-03,30.68,30.68,30.68,0.0,0.0,30.68,30.68,30.68,0.0,0.0,28.82,28.82,28.82,0.0,0.0,29.21,29.21,29.21,0.0,0.0
2019-03-10,27.48,27.48,27.48,0.0,0.0,27.56,27.56,27.56,0.0,0.0,27.01,27.01,27.01,0.0,0.0,27.38,27.38,27.38,0.0,0.0
2019-03-17,27.34,27.34,27.34,0.0,0.0,27.82,27.82,27.82,0.0,0.0,27.16,27.16,27.16,0.0,0.0,27.16,27.16,27.16,0.0,0.0
2019-03-24,26.0,26.0,26.0,0.0,0.0,26.22,26.22,26.22,0.0,0.0,25.47,25.47,25.47,0.0,0.0,25.6,25.6,25.6,0.0,0.0
2019-03-31,24.5,24.5,24.5,0.0,0.0,24.5,24.5,24.5,0.0,0.0,24.08,24.08,24.08,0.0,0.0,24.08,24.08,24.08,0.0,0.0
2019-04-07,24.0,24.0,24.0,0.0,0.0,24.0,24.0,24.0,0.0,0.0,23.73,23.73,23.73,0.0,0.0,23.77,23.77,23.77,0.0,0.0
2019-04-14,22.24,22.24,22.24,0.0,0.0,22.24,22.24,22.24,0.0,0.0,21.7,21.7,21.7,0.0,0.0,21.76,21.76,21.76,0.0,0.0
2019-04-21,22.98,22.98,22.98,0.0,0.0,23.25,23.25,23.25,0.0,0.0,22.81,22.81,22.81,0.0,0.0,23.25,23.25,23.25,0.0,0.0
2019-04-28,23.56,23.56,23.56,0.0,0.0,23.94,23.94,23.94,0.0,0.0,23.09,23.09,23.09,0.0,0.0,23.13,23.13,23.13,0.0,0.0
2019-05-05,26.94,26.94,26.94,0.0,0.0,28.0,28.0,28.0,0.0,0.0,26.65,26.65,26.65,0.0,0.0,27.6,27.6,27.6,0.0,0.0
2019-05-12,29.9,29.9,29.9,0.0,0.0,30.65,30.65,30.65,0.0,0.0,29.36,29.36,29.36,0.0,0.0,30.38,30.38,30.38,0.0,0.0
2019-05-19,30.45,30.45,30.45,0.0,0.0,31.64,31.64,31.64,0.0,0.0,30.4,30.4,30.4,0.0,0.0,31.47,31.47,31.47,0.0,0.0
2019-05-26,32.21,32.21,32.21,0.0,0.0,32.79,32.79,32.79,0.0,0.0,31.26,31.26,31.26,0.0,0.0,32.41,32.41,32.41,0.0,0.0
2019-06-02,27.77,27.77,27.77,0.0,0.0,27.77,27.77,27.77,0.0,0.0,26.62,26.62,26.62,0.0,0.0,27.4,27.4,27.4,0.0,0.0
2019-06-09,29.49,29.49,29.49,0.0,0.0,29.49,29.49,29.49,0.0,0.0,28.98,28.98,28.98,0.0,0.0,29.44,29.44,29.44,0.0,0.0
2019-06-16,26.88,26.88,26.88,0.0,0.0,26.88,26.88,26.88,0.0,0.0,26.51,26.51,26.51,0.0,0.0,26.81,26.81,26.81,0.0,0.0
2019-06-23,23.09,23.09,23.09,0.0,0.0,24.14,24.14,24.14,0.0,0.0,22.74,22.74,22.74,0.0,0.0,23.95,23.95,23.95,0.0,0.0
2019-06-30,25.5,25.5,25.5,0.0,0.0,25.54,25.54,25.54,0.0,0.0,25.26,25.26,25.26,0.0,0.0,25.35,25.35,25.35,0.0,0.0
2019-07-07,23.1,23.1,23.1,0.0,0.0,23.15,23.15,23.15,0.0,0.0,23.02,23.02,23.02,0.0,0.0,23.05,23.05,23.05,0.0,0.0
2019-07-14,22.93,22.93,22.93,0.0,0.0,22.93,22.93,22.93,0.0,0.0,22.0,22.0,22.0,0.0,0.0,22.07,22.07,22.07,0.0,0.0
2019-07-21,21.38,21.38,21.38,0.0,0.0,21.39,21.39,21.39,0.0,0.0,20.7,20.7,20.7,0.0,0.0,20.8,20.8,20.8,0.0,0.0
2019-07-28,24.97,24.97,24.97,0.0,0.0,26.2,26.2,26.2,0.0,0.0,24.97,24.97,24.97,0.0,0.0,26.06,26.06,26.06,0.0,0.0
2019-08-04,25.31,25.31,25.31,0.0,0.0,25.38,25.38,25.38,0.0,0.0,24.85,24.85,24.85,0.0,0.0,25.34,25.34,25.34,0.0,0.0
2019-08-11,23.41,23.41,23.41,0.0,0.0,23.41,23.41,23.41,0.0,0.0,22.52,22.52,22.52,0.0,0.0,22.98,22.98,22.98,0.0,0.0
2019-08-18,24.7,24.7,24.7,0.0,0.0,24.7,24.7,24.7,0.0,0.0,24.18,24.18,24.18,0.0,0.0,24.47,24.47,24.47,0.0,0.0
2019-08-25,22.65,22.65,22.65,0.0,0.0,23.08,23.08,23.08,0.0,0.0,22.5,22.5,22.5,0.0,0.0,23.01,23.01,23.01,0.0,0.0
2019-09-01,20.39,20.39,20.39,0.0,0.0,20.67,20.67,20.67,0.0,0.0,20.2,20.2,20.2,0.0,0.0,20.52,20.52,20.52,0.0,0.0
2019-09-08,20.28,20.28,20.28,0.0,0.0,20.41,20.41,20.41,0.0,0.0,20.15,20.15,20.15,0.0,0.0,20.25,20.25,20.25,0.0,0.0
2019-09-15,21.07,21.07,21.07,0.0,0.0,21.07,21.07,21.07,0.0,0.0,20.45,20.45,20.45,0.0,0.0,20.67,20.67,20.67,0.0,0.0
2019-09-22,21.45,21.45,21.45,0.0,0.0,21.51,21.51,21.51,0.0,0.0,21.11,21.11,21.11,0.0,0.0,21.2,21.2,21.2,0.0,0.0
2019-09-29,20.74,20.74,20.74,0.0,0.0,21.04,21.04,21.04,0.0,0.0,20.6,20.6,20.6,0.0,0.0,21.04,21.04,21.04,0.0,0.0
2019-10-06,20.41,20.41,20.41,0.0,0.0,20.46,20.46,20.46,0.0,0.0,20.36,20.36,20.36,0.0,0.0,20.36,20.36,20.36,0.0,0.0
2019-10-13,19.82,19.82,19.82,0.0,0.0,19.93,19.93,19.93,0.0,0.0,19.44,19.44,19.44,0.0,0.0,19.51,19.51,19.51,0.0,0.0
2019-10-20,18.11,18.11,18.11,0.0,0.0,18.21,18.21,18.21,0.0,0.0,17.3,17.3,17.3,0.0,0.0,17.3,17.3,17.3,0.0,0.0
2019-10-27,17.5,17.5,17.5,0.0,0.0,17.52,17.52,17.52,0.0,0.0,17.08,17.08,17.08,0.0,0.0,17.08,17.08,17.08,0.0,0.0
2019-11-03,16.99,16.99,16.99,0.0,0.0,16.99,16.99,16.99,0.0,0.0,16.79,16.79,16.79,0.0,0.0,16.89,16.89,16.89,0.0,0.0
2019-11-10,16.58,16.58,16.58,0.0,0.0,16.72,16.72,16.72,0.0,0.0,16.4,16.4,16.4,0.0,0.0,16.61,16.61,16.61,0.0,0.0
2019-11-17,17.15,17.15,17.15,0.0,0.0,17.15,17.15,17.15,0.0,0.0,16.52,16.52,16.52,0.0,0.0,16.61,16.61,16.61,0.0,0.0
2019-11-24,16.94,16.94,16.94,0.0,0.0,17.34,17.34,17.34,0.0,0.0,16.8,16.8,16.8,0.0,0.0,17.33,17.33,17.33,0.0,0.0
2019-12-01,16.87,16.87,16.87,0.0,0.0,17.09,17.09,17.09,0.0,0.0,16.77,16.77,16.77,0.0,0.0,17.09,17.09,17.09,0.0,0.0
2019-12-08,15.53,15.53,15.53,0.0,0.0,15.53,15.53,15.53,0.0,0.0,15.13,15.13,15.13,0.0,0.0,15.48,15.48,15.48,0.0,0.0
2019-12-15,14.69,14.69,14.69,0.0,0.0,14.77,14.77,14.77,0.0,0.0,14.63,14.63,14.63,0.0,0.0,14.74,14.74,14.74,0.0,0.0
2019-12-22,14.98,14.98,14.98,0.0,0.0,15.02,15.02,15.02,0.0,0.0,14.85,14.85,14.85,0.0,0.0,14.94,14.94,14.94,0.0,0.0
2019-12-29,14.69,14.69,14.69,0.0,0.0,14.72,14.72,14.72,0.0,0.0,14.42,14.42,14.42,0.0,0.0,14.64,14.64,14.64,0.0,0.0
