Date,PowerShares S&P SmallCap Health Care_Open_average,PowerShares S&P SmallCap Health Care_Open_max,PowerShares S&P SmallCap Health Care_Open_min,PowerShares S&P SmallCap Health Care_Open_volatility,PowerShares S&P SmallCap Health Care_Open_change,PowerShares S&P SmallCap Health Care_High_average,PowerShares S&P SmallCap Health Care_High_max,PowerShares S&P SmallCap Health Care_High_min,PowerShares S&P SmallCap Health Care_High_volatility,PowerShares S&P SmallCap Health Care_High_change,PowerShares S&P SmallCap Health Care_Low_average,PowerShares S&P SmallCap Health Care_Low_max,PowerShares S&P SmallCap Health Care_Low_min,PowerShares S&P SmallCap Health Care_Low_volatility,PowerShares S&P SmallCap Health Care_Low_change,PowerShares S&P SmallCap Health Care_Close_average,PowerShares S&P SmallCap Health Care_Close_max,PowerShares S&P SmallCap Health Care_Close_min,PowerShares S&P SmallCap Health Care_Close_volatility,PowerShares S&P SmallCap Health Care_Close_change
2018-03-25,111.87,111.87,111.87,0.0,0.0,111.87,111.87,111.87,0.0,0.0,108.0,108.0,108.0,0.0,0.0,108.76,108.76,108.76,0.0,0.0
2018-04-01,111.64,111.64,111.64,0.0,0.0,112.55,112.55,112.55,0.0,0.0,111.39,111.39,111.39,0.0,0.0,111.47,111.47,111.47,0.0,0.0
2018-04-08,115.33,115.33,115.33,0.0,0.0,115.72,115.72,115.72,0.0,0.0,114.35,114.35,114.35,0.0,0.0,115.45,115.45,115.45,0.0,0.0
2018-04-15,117.41,117.41,117.41,0.0,0.0,117.41,117.41,117.41,0.0,0.0,115.68,115.68,115.68,0.0,0.0,116.31,116.31,116.31,0.0,0.0
2018-04-22,115.97,115.97,115.97,0.0,0.0,115.97,115.97,115.97,0.0,0.0,114.56,114.56,114.56,0.0,0.0,114.65,114.65,114.65,0.0,0.0
2018-04-29,116.55,116.55,116.55,0.0,0.0,117.08,117.08,117.08,0.0,0.0,116.09,116.09,116.09,0.0,0.0,116.62,116.62,116.62,0.0,0.0
2018-05-06,121.96,121.96,121.96,0.0,0.0,122.05,122.05,122.05,0.0,0.0,120.79,120.79,120.79,0.0,0.0,121.22,121.22,121.22,0.0,0.0
2018-05-13,125.7,125.7,125.7,0.0,0.0,125.79,125.79,125.79,0.0,0.0,123.94,123.94,123.94,0.0,0.0,124.31,124.31,124.31,0.0,0.0
2018-05-20,124.22,124.22,124.22,0.0,0.0,124.68,124.68,124.68,0.0,0.0,123.91,123.91,123.91,0.0,0.0,124.18,124.18,124.18,0.0,0.0
2018-05-27,127.34,127.34,127.34,0.0,0.0,127.48,127.48,127.48,0.0,0.0,125.63,125.63,125.63,0.0,0.0,127.48,127.48,127.48,0.0,0.0
2018-06-03,128.7,128.7,128.7,0.0,0.0,128.85,128.85,128.85,0.0,0.0,127.76,127.76,127.76,0.0,0.0,128.42,128.42,128.42,0.0,0.0
2018-06-10,128.45,128.45,128.45,0.0,0.0,130.51,130.51,130.51,0.0,0.0,128.45,128.45,128.45,0.0,0.0,130.26,130.26,130.26,0.0,0.0
2018-06-17,130.73,130.73,130.73,0.0,0.0,130.73,130.73,130.73,0.0,0.0,127.31,127.31,127.31,0.0,0.0,128.31,128.31,128.31,0.0,0.0
2018-06-24,128.39,128.39,128.39,0.0,0.0,129.96,129.96,129.96,0.0,0.0,126.85,126.85,126.85,0.0,0.0,129.96,129.96,129.96,0.0,0.0
2018-07-01,134.35,134.35,134.35,0.0,0.0,134.73,134.73,134.73,0.0,0.0,133.18,133.18,133.18,0.0,0.0,134.49,134.49,134.49,0.0,0.0
2018-07-08,135.0,135.0,135.0,0.0,0.0,135.0,135.0,135.0,0.0,0.0,133.27,133.27,133.27,0.0,0.0,133.78,133.78,133.78,0.0,0.0
2018-07-15,136.13,136.13,136.13,0.0,0.0,136.58,136.58,136.58,0.0,0.0,135.27,135.27,135.27,0.0,0.0,136.27,136.27,136.27,0.0,0.0
2018-07-22,131.81,131.81,131.81,0.0,0.0,132.64,132.64,132.64,0.0,0.0,130.51,130.51,130.51,0.0,0.0,130.72,130.72,130.72,0.0,0.0
2018-07-29,135.26,135.26,135.26,0.0,0.0,136.23,136.23,136.23,0.0,0.0,134.7,134.7,134.7,0.0,0.0,136.16,136.16,136.16,0.0,0.0
2018-08-05,135.39,135.39,135.39,0.0,0.0,135.77,135.77,135.77,0.0,0.0,134.46,134.46,134.46,0.0,0.0,134.95,134.95,134.95,0.0,0.0
2018-08-12,138.29,138.29,138.29,0.0,0.0,138.53,138.53,138.53,0.0,0.0,136.6,136.6,136.6,0.0,0.0,137.43,137.43,137.43,0.0,0.0
2018-08-19,142.55,142.55,142.55,0.0,0.0,143.3,143.3,143.3,0.0,0.0,141.99,141.99,141.99,0.0,0.0,142.79,142.79,142.79,0.0,0.0
2018-08-26,143.98,143.98,143.98,0.0,0.0,145.25,145.25,145.25,0.0,0.0,143.56,143.56,143.56,0.0,0.0,144.96,144.96,144.96,0.0,0.0
2018-09-02,144.68,144.68,144.68,0.0,0.0,144.68,144.68,144.68,0.0,0.0,142.08,142.08,142.08,0.0,0.0,142.48,142.48,142.48,0.0,0.0
2018-09-09,143.41,143.41,143.41,0.0,0.0,143.51,143.51,143.51,0.0,0.0,140.11,140.11,140.11,0.0,0.0,140.31,140.31,140.31,0.0,0.0
2018-09-16,140.0,140.0,140.0,0.0,0.0,140.98,140.98,140.98,0.0,0.0,139.49,139.49,139.49,0.0,0.0,140.42,140.42,140.42,0.0,0.0
2018-09-23,141.45,141.45,141.45,0.0,0.0,141.45,141.45,141.45,0.0,0.0,138.06,138.06,138.06,0.0,0.0,138.29,138.29,138.29,0.0,0.0
2018-09-30,132.18,132.18,132.18,0.0,0.0,133.34,133.34,133.34,0.0,0.0,130.15,130.15,130.15,0.0,0.0,131.63,131.63,131.63,0.0,0.0
2018-10-07,125.22,125.22,125.22,0.0,0.0,127.0,127.0,127.0,0.0,0.0,124.11,124.11,124.11,0.0,0.0,126.0,126.0,126.0,0.0,0.0
2018-10-14,126.35,126.35,126.35,0.0,0.0,127.32,127.32,127.32,0.0,0.0,125.0,125.0,125.0,0.0,0.0,126.18,126.18,126.18,0.0,0.0
2018-10-21,122.74,122.74,122.74,0.0,0.0,124.09,124.09,124.09,0.0,0.0,119.58,119.58,119.58,0.0,0.0,120.84,120.84,120.84,0.0,0.0
2018-10-28,128.74,128.74,128.74,0.0,0.0,128.84,128.84,128.84,0.0,0.0,126.63,126.63,126.63,0.0,0.0,128.15,128.15,128.15,0.0,0.0
2018-11-04,126.06,126.06,126.06,0.0,0.0,126.5,126.5,126.5,0.0,0.0,123.19,123.19,123.19,0.0,0.0,123.21,123.21,123.21,0.0,0.0
2018-11-11,125.09,125.09,125.09,0.0,0.0,125.16,125.16,125.16,0.0,0.0,121.62,121.62,121.62,0.0,0.0,121.93,121.93,121.93,0.0,0.0
2018-11-18,124.26,124.26,124.26,0.0,0.0,124.39,124.39,124.39,0.0,0.0,122.5,122.5,122.5,0.0,0.0,123.09,123.09,123.09,0.0,0.0
2018-11-25,130.0,130.0,130.0,0.0,0.0,130.41,130.41,130.41,0.0,0.0,128.0,128.0,128.0,0.0,0.0,130.14,130.14,130.14,0.0,0.0
2018-12-02,120.62,120.62,120.62,0.0,0.0,121.33,121.33,121.33,0.0,0.0,118.36,118.36,118.36,0.0,0.0,120.42,120.42,120.42,0.0,0.0
2018-12-09,115.09,115.09,115.09,0.0,0.0,115.36,115.36,115.36,0.0,0.0,111.19,111.19,111.19,0.0,0.0,111.68,111.68,111.68,0.0,0.0
2018-12-16,100.9,100.9,100.9,0.0,0.0,102.62,102.62,102.62,0.0,0.0,100.41,100.41,100.41,0.0,0.0,100.46,100.46,100.46,0.0,0.0
2018-12-23,107.4,107.4,107.4,0.0,0.0,107.87,107.87,107.87,0.0,0.0,106.24,106.24,106.24,0.0,0.0,107.53,107.53,107.53,0.0,0.0
2018-12-30,108.35,108.35,108.35,0.0,0.0,111.07,111.07,111.07,0.0,0.0,108.35,108.35,108.35,0.0,0.0,110.15,110.15,110.15,0.0,0.0
2019-01-06,113.48,113.48,113.48,0.0,0.0,113.88,113.88,113.88,0.0,0.0,112.5,112.5,112.5,0.0,0.0,112.5,112.5,112.5,0.0,0.0
2019-01-13,116.75,116.75,116.75,0.0,0.0,117.14,117.14,117.14,0.0,0.0,115.92,115.92,115.92,0.0,0.0,117.1,117.1,117.1,0.0,0.0
2019-01-20,116.75,116.75,116.75,0.0,0.0,116.75,116.75,116.75,0.0,0.0,114.62,114.62,114.62,0.0,0.0,115.07,115.07,115.07,0.0,0.0
2019-01-27,116.74,116.74,116.74,0.0,0.0,118.81,118.81,118.81,0.0,0.0,116.74,116.74,116.74,0.0,0.0,118.8,118.8,118.8,0.0,0.0
2019-02-03,117.33,117.33,117.33,0.0,0.0,118.67,118.67,118.67,0.0,0.0,116.87,116.87,116.87,0.0,0.0,118.61,118.61,118.61,0.0,0.0
2019-02-10,121.33,121.33,121.33,0.0,0.0,123.1,123.1,123.1,0.0,0.0,120.61,120.61,120.61,0.0,0.0,122.99,122.99,122.99,0.0,0.0
2019-02-17,123.99,123.99,123.99,0.0,0.0,124.31,124.31,124.31,0.0,0.0,122.86,122.86,122.86,0.0,0.0,122.86,122.86,122.86,0.0,0.0
2019-02-24,123.16,123.16,123.16,0.0,0.0,123.2,123.2,123.2,0.0,0.0,119.02,119.02,119.02,0.0,0.0,119.87,119.87,119.87,0.0,0.0
2019-03-03,115.11,115.11,115.11,0.0,0.0,117.08,117.08,117.08,0.0,0.0,114.8,114.8,114.8,0.0,0.0,117.08,117.08,117.08,0.0,0.0
2019-03-10,117.38,117.38,117.38,0.0,0.0,118.84,118.84,118.84,0.0,0.0,117.17,117.17,117.17,0.0,0.0,117.97,117.97,117.97,0.0,0.0
2019-03-17,114.17,114.17,114.17,0.0,0.0,115.05,115.05,115.05,0.0,0.0,112.77,112.77,112.77,0.0,0.0,114.54,114.54,114.54,0.0,0.0
2019-03-24,116.27,116.27,116.27,0.0,0.0,116.51,116.51,116.51,0.0,0.0,114.84,114.84,114.84,0.0,0.0,115.49,115.49,115.49,0.0,0.0
2019-03-31,116.65,116.65,116.65,0.0,0.0,116.65,116.65,116.65,0.0,0.0,115.58,115.58,115.58,0.0,0.0,116.56,116.56,116.56,0.0,0.0
2019-04-07,115.01,115.01,115.01,0.0,0.0,115.37,115.37,115.37,0.0,0.0,114.34,114.34,114.34,0.0,0.0,114.88,114.88,114.88,0.0,0.0
2019-04-14,108.99,108.99,108.99,0.0,0.0,110.33,110.33,110.33,0.0,0.0,108.59,108.59,108.59,0.0,0.0,109.63,109.63,109.63,0.0,0.0
2019-04-21,115.07,115.07,115.07,0.0,0.0,115.93,115.93,115.93,0.0,0.0,114.57,114.57,114.57,0.0,0.0,115.52,115.52,115.52,0.0,0.0
2019-04-28,115.63,115.63,115.63,0.0,0.0,119.84,119.84,119.84,0.0,0.0,115.06,115.06,115.06,0.0,0.0,119.84,119.84,119.84,0.0,0.0
2019-05-05,113.2,113.2,113.2,0.0,0.0,113.43,113.43,113.43,0.0,0.0,111.73,111.73,111.73,0.0,0.0,111.85,111.85,111.85,0.0,0.0
2019-05-12,110.81,110.81,110.81,0.0,0.0,111.94,111.94,111.94,0.0,0.0,110.27,110.27,110.27,0.0,0.0,111.34,111.34,111.34,0.0,0.0
2019-05-19,109.6,109.6,109.6,0.0,0.0,110.85,110.85,110.85,0.0,0.0,109.6,109.6,109.6,0.0,0.0,110.45,110.45,110.45,0.0,0.0
2019-05-26,107.51,107.51,107.51,0.0,0.0,108.76,108.76,108.76,0.0,0.0,107.5,107.5,107.5,0.0,0.0,108.14,108.14,108.14,0.0,0.0
2019-06-02,111.84,111.84,111.84,0.0,0.0,113.06,113.06,113.06,0.0,0.0,111.84,111.84,111.84,0.0,0.0,112.03,112.03,112.03,0.0,0.0
2019-06-09,111.91,111.91,111.91,0.0,0.0,113.96,113.96,113.96,0.0,0.0,111.91,111.91,111.91,0.0,0.0,113.52,113.52,113.52,0.0,0.0
2019-06-16,115.97,115.97,115.97,0.0,0.0,116.4,116.4,116.4,0.0,0.0,114.07,114.07,114.07,0.0,0.0,114.22,114.22,114.22,0.0,0.0
2019-06-23,119.18,119.18,119.18,0.0,0.0,119.67,119.67,119.67,0.0,0.0,117.8,117.8,117.8,0.0,0.0,118.33,118.33,118.33,0.0,0.0
2019-06-30,117.3,117.3,117.3,0.0,0.0,117.31,117.31,117.31,0.0,0.0,116.09,116.09,116.09,0.0,0.0,116.58,116.58,116.58,0.0,0.0
2019-07-07,115.84,115.84,115.84,0.0,0.0,116.32,116.32,116.32,0.0,0.0,115.45,115.45,115.45,0.0,0.0,115.98,115.98,115.98,0.0,0.0
2019-07-14,115.25,115.25,115.25,0.0,0.0,115.99,115.99,115.99,0.0,0.0,114.64,114.64,114.64,0.0,0.0,114.81,114.81,114.81,0.0,0.0
2019-07-21,115.95,115.95,115.95,0.0,0.0,116.56,116.56,116.56,0.0,0.0,115.55,115.55,115.55,0.0,0.0,116.49,116.49,116.49,0.0,0.0
2019-07-28,115.68,115.68,115.68,0.0,0.0,116.0,116.0,116.0,0.0,0.0,113.2,113.2,113.2,0.0,0.0,114.58,114.58,114.58,0.0,0.0
2019-08-04,116.9,116.9,116.9,0.0,0.0,116.95,116.95,116.95,0.0,0.0,116.07,116.07,116.07,0.0,0.0,116.3,116.3,116.3,0.0,0.0
2019-08-11,116.46,116.46,116.46,0.0,0.0,117.39,117.39,117.39,0.0,0.0,116.33,116.33,116.33,0.0,0.0,116.53,116.53,116.53,0.0,0.0
2019-08-18,113.5,113.5,113.5,0.0,0.0,114.26,114.26,114.26,0.0,0.0,112.81,112.81,112.81,0.0,0.0,114.26,114.26,114.26,0.0,0.0
2019-08-25,115.78,115.78,115.78,0.0,0.0,116.05,116.05,116.05,0.0,0.0,113.87,113.87,113.87,0.0,0.0,114.82,114.82,114.82,0.0,0.0
2019-09-01,115.93,115.93,115.93,0.0,0.0,115.93,115.93,115.93,0.0,0.0,114.25,114.25,114.25,0.0,0.0,114.49,114.49,114.49,0.0,0.0
2019-09-08,116.72,116.72,116.72,0.0,0.0,118.63,118.63,118.63,0.0,0.0,116.72,116.72,116.72,0.0,0.0,118.55,118.55,118.55,0.0,0.0
2019-09-15,117.37,117.37,117.37,0.0,0.0,118.05,118.05,118.05,0.0,0.0,117.01,117.01,117.01,0.0,0.0,117.31,117.31,117.31,0.0,0.0
2019-09-22,112.41,112.41,112.41,0.0,0.0,114.39,114.39,114.39,0.0,0.0,112.41,112.41,112.41,0.0,0.0,113.47,113.47,113.47,0.0,0.0
2019-09-29,112.21,112.21,112.21,0.0,0.0,113.78,113.78,113.78,0.0,0.0,112.21,112.21,112.21,0.0,0.0,113.02,113.02,113.02,0.0,0.0
2019-10-06,112.21,112.21,112.21,0.0,0.0,112.65,112.65,112.65,0.0,0.0,111.68,111.68,111.68,0.0,0.0,111.98,111.98,111.98,0.0,0.0
2019-10-13,117.23,117.23,117.23,0.0,0.0,117.67,117.67,117.67,0.0,0.0,116.72,116.72,116.72,0.0,0.0,116.72,116.72,116.72,0.0,0.0
2019-10-20,117.35,117.35,117.35,0.0,0.0,119.49,119.49,119.49,0.0,0.0,117.35,117.35,117.35,0.0,0.0,118.85,118.85,118.85,0.0,0.0
2019-10-27,118.93,118.93,118.93,0.0,0.0,120.11,120.11,120.11,0.0,0.0,118.93,118.93,118.93,0.0,0.0,119.51,119.51,119.51,0.0,0.0
2019-11-03,116.96,116.96,116.96,0.0,0.0,117.58,117.58,117.58,0.0,0.0,116.67,116.67,116.67,0.0,0.0,117.22,117.22,117.22,0.0,0.0
2019-11-10,118.67,118.67,118.67,0.0,0.0,120.1,120.1,120.1,0.0,0.0,118.67,118.67,118.67,0.0,0.0,119.81,119.81,119.81,0.0,0.0
2019-11-17,123.62,123.62,123.62,0.0,0.0,128.17,128.17,128.17,0.0,0.0,123.62,123.62,123.62,0.0,0.0,128.02,128.02,128.02,0.0,0.0
2019-11-24,129.26,129.26,129.26,0.0,0.0,129.35,129.35,129.35,0.0,0.0,126.66,126.66,126.66,0.0,0.0,126.74,126.74,126.74,0.0,0.0
2019-12-01,129.81,129.81,129.81,0.0,0.0,130.35,130.35,130.35,0.0,0.0,129.29,129.29,129.29,0.0,0.0,129.29,129.29,129.29,0.0,0.0
2019-12-08,128.11,128.11,128.11,0.0,0.0,129.71,129.71,129.71,0.0,0.0,127.89,127.89,127.89,0.0,0.0,128.43,128.43,128.43,0.0,0.0
2019-12-15,130.91,130.91,130.91,0.0,0.0,131.01,131.01,131.01,0.0,0.0,129.5,129.5,129.5,0.0,0.0,130.7,130.7,130.7,0.0,0.0
2019-12-22,129.02,129.02,129.02,0.0,0.0,129.02,129.02,129.02,0.0,0.0,127.81,127.81,127.81,0.0,0.0,128.36,128.36,128.36,0.0,0.0
2019-12-29,126.77,126.77,126.77,0.0,0.0,128.75,128.75,128.75,0.0,0.0,126.56,126.56,126.56,0.0,0.0,128.63,128.63,128.63,0.0,0.0
