Date,CX_Open_average,CX_Open_max,CX_Open_volatility,CX_Open_change%,CX_High_average,CX_High_max,CX_High_volatility,CX_High_change%,CX_Low_average,CX_Low_max,CX_Low_volatility,CX_Low_change%,CX_Close_average,CX_Close_max,CX_Close_volatility,CX_Close_change%,CX_Volume_average,CX_Volume_max,CX_Volume_volatility,CX_Volume_change%
2017-01-29,8.908,8.99,0.17999999999999972,-1.2276785714285847,8.991999999999999,9.1,0.25,-2.7472527472527473,8.766,8.89,0.3500000000000014,-3.9370078740157637,8.814,8.9,0.28000000000000114,-3.1460674157303496,9136041,11602862,4305181,-4.128616025227227
2017-02-05,8.572,8.78,0.5099999999999998,1.15207373271889,8.7,8.86,0.35999999999999943,1.8390804597701167,8.459999999999999,8.66,0.39000000000000057,2.2565320665083077,8.568,8.74,0.370000000000001,3.554502369668255,9735006,11836152,4102089,-19.233092399137742
2017-02-12,8.5625,8.67,0.3000000000000007,-3.4602076124567556,8.6425,8.76,0.33000000000000007,-3.7671232876712337,8.4525,8.59,0.2699999999999996,-2.803738317757012,8.51,8.7,0.34999999999999964,-4.022988505747123,7730639,8743677,3030397,-29.744221490254564
2017-02-19,8.422,8.62,0.3999999999999986,-2.0214030915576684,8.566,8.72,0.45000000000000107,-2.4082568807339544,8.278,8.48,0.34999999999999964,-2.395209580838315,8.43,8.67,0.4599999999999991,-2.3068050749711566,8977953,10392626,4988659,-5.229679197538716
2017-02-26,8.52,8.77,0.379999999999999,1.3110846245530325,8.706,8.81,0.3100000000000005,2.4705882352941275,8.332,8.48,0.34999999999999964,3.69003690036899,8.484,8.79,0.6599999999999984,6.888068880688791,12975334,18741238,9913141,-12.052553102867993
2017-03-05,8.450000000000001,8.67,0.34999999999999964,-3.3448673587081794,8.502,8.71,0.3800000000000008,-3.329506314580952,8.302,8.51,0.3100000000000005,-3.2902467685076306,8.372,8.54,0.2599999999999998,-1.7564402810304285,9199130,15082827,8661863,-33.36109883296686
2017-03-12,8.568,8.82,0.4900000000000002,5.882352941176473,8.684,8.89,0.5400000000000009,6.467065868263484,8.444,8.71,0.5800000000000001,7.134071340713407,8.608,8.79,0.5799999999999983,6.455542021924474,10852308,14620488,8390654,-49.876607078850704
2017-03-19,8.51,8.78,0.41000000000000014,-4.214123006833704,8.636,8.83,0.2699999999999996,-2.9445073612684007,8.388,8.45,0.10999999999999943,-1.3017751479289874,8.502,8.53,0.05999999999999872,0.5903187721369413,9763368,12186992,4366431,-22.60668588278387
2017-03-26,8.568,8.75,0.27999999999999936,2.4590163934426332,8.702,8.79,0.17999999999999972,1.5011547344110738,8.474,8.62,0.23999999999999844,2.497027348394757,8.59,8.72,0.2900000000000009,3.321470937129314,8201618,11581757,6075571,-32.13970122265191
2017-04-02,8.97,9.07,0.28000000000000114,2.957906712172942,9.11,9.25,0.1999999999999993,-0.220507166482906,8.844,8.92,0.23000000000000043,1.8411967779056404,8.95,9.01,0.10999999999999943,-0.9988901220865689,11693099,16843370,11410949,-67.7474222795082
2017-04-09,8.7375,8.99,0.5400000000000009,-6.006674082313692,8.805,9.01,0.35999999999999943,-3.9955604883462756,8.5275,8.7,0.33000000000000007,-2.873563218390805,8.65,8.87,0.4399999999999995,-2.4802705749718026,7416200,8747319,2846913,-7.637392448013605
2017-04-16,8.53,8.62,0.21999999999999886,0.23255813953487878,8.59,8.67,0.16999999999999993,0.11547344110854257,8.414,8.54,0.21999999999999886,0.7075471698113056,8.478,8.63,0.3100000000000005,1.648998822143705,7849209,10714208,5509943,-18.962659633407235
2017-04-23,8.812,8.94,0.29999999999999893,2.546296296296283,8.922,9.09,0.27999999999999936,3.178206583427915,8.658,8.8,0.33000000000000007,3.0444964871194564,8.852,8.97,0.21000000000000085,2.0477815699658874,9773309,17635428,12183328,-28.41658472756721
