Date,iShares International Preferred Stock_Open_average,iShares International Preferred Stock_Open_max,iShares International Preferred Stock_Open_min,iShares International Preferred Stock_Open_volatility,iShares International Preferred Stock_Open_change,iShares International Preferred Stock_High_average,iShares International Preferred Stock_High_max,iShares International Preferred Stock_High_min,iShares International Preferred Stock_High_volatility,iShares International Preferred Stock_High_change,iShares International Preferred Stock_Low_average,iShares International Preferred Stock_Low_max,iShares International Preferred Stock_Low_min,iShares International Preferred Stock_Low_volatility,iShares International Preferred Stock_Low_change,iShares International Preferred Stock_Close_average,iShares International Preferred Stock_Close_max,iShares International Preferred Stock_Close_min,iShares International Preferred Stock_Close_volatility,iShares International Preferred Stock_Close_change
2019-03-24,15.62,15.62,15.62,0.0,0.0,15.62,15.62,15.62,0.0,0.0,15.43,15.43,15.43,0.0,0.0,15.52,15.52,15.52,0.0,0.0
2019-03-31,15.41,15.41,15.41,0.0,0.0,15.57,15.57,15.57,0.0,0.0,15.41,15.41,15.41,0.0,0.0,15.54,15.54,15.54,0.0,0.0
2019-04-07,15.48,15.48,15.48,0.0,0.0,15.59,15.59,15.59,0.0,0.0,15.47,15.47,15.47,0.0,0.0,15.48,15.48,15.48,0.0,0.0
2019-04-14,15.46,15.46,15.46,0.0,0.0,15.61,15.61,15.61,0.0,0.0,15.46,15.46,15.46,0.0,0.0,15.57,15.57,15.57,0.0,0.0
2019-04-21,15.44,15.44,15.44,0.0,0.0,15.48,15.48,15.48,0.0,0.0,15.41,15.41,15.41,0.0,0.0,15.41,15.41,15.41,0.0,0.0
2019-04-28,15.4,15.4,15.4,0.0,0.0,15.44,15.44,15.44,0.0,0.0,15.34,15.34,15.34,0.0,0.0,15.42,15.42,15.42,0.0,0.0
2019-05-05,15.48,15.48,15.48,0.0,0.0,15.48,15.48,15.48,0.0,0.0,15.24,15.24,15.24,0.0,0.0,15.3,15.3,15.3,0.0,0.0
2019-05-12,15.21,15.21,15.21,0.0,0.0,15.36,15.36,15.36,0.0,0.0,15.2,15.2,15.2,0.0,0.0,15.33,15.33,15.33,0.0,0.0
2019-05-19,15.25,15.25,15.25,0.0,0.0,15.34,15.34,15.34,0.0,0.0,15.24,15.24,15.24,0.0,0.0,15.29,15.29,15.29,0.0,0.0
2019-05-26,14.99,14.99,14.99,0.0,0.0,14.99,14.99,14.99,0.0,0.0,14.74,14.74,14.74,0.0,0.0,14.74,14.74,14.74,0.0,0.0
2019-06-02,14.8,14.8,14.8,0.0,0.0,14.95,14.95,14.95,0.0,0.0,14.8,14.8,14.8,0.0,0.0,14.91,14.91,14.91,0.0,0.0
2019-06-09,14.8,14.8,14.8,0.0,0.0,14.8,14.8,14.8,0.0,0.0,14.57,14.57,14.57,0.0,0.0,14.63,14.63,14.63,0.0,0.0
2019-06-16,14.79,14.79,14.79,0.0,0.0,15.0,15.0,15.0,0.0,0.0,14.79,14.79,14.79,0.0,0.0,14.94,14.94,14.94,0.0,0.0
2019-06-23,15.32,15.32,15.32,0.0,0.0,15.32,15.32,15.32,0.0,0.0,15.23,15.23,15.23,0.0,0.0,15.25,15.25,15.25,0.0,0.0
2019-06-30,15.51,15.51,15.51,0.0,0.0,15.65,15.65,15.65,0.0,0.0,15.5,15.5,15.5,0.0,0.0,15.5,15.5,15.5,0.0,0.0
2019-07-07,15.45,15.45,15.45,0.0,0.0,15.59,15.59,15.59,0.0,0.0,15.43,15.43,15.43,0.0,0.0,15.51,15.51,15.51,0.0,0.0
2019-07-14,15.36,15.36,15.36,0.0,0.0,15.47,15.47,15.47,0.0,0.0,15.35,15.35,15.35,0.0,0.0,15.4,15.4,15.4,0.0,0.0
2019-07-21,15.57,15.57,15.57,0.0,0.0,15.57,15.57,15.57,0.0,0.0,15.37,15.37,15.37,0.0,0.0,15.43,15.43,15.43,0.0,0.0
2019-07-28,15.2,15.2,15.2,0.0,0.0,15.29,15.29,15.29,0.0,0.0,15.08,15.08,15.08,0.0,0.0,15.08,15.08,15.08,0.0,0.0
2019-08-04,14.81,14.81,14.81,0.0,0.0,14.93,14.93,14.93,0.0,0.0,14.78,14.78,14.78,0.0,0.0,14.79,14.79,14.79,0.0,0.0
2019-08-11,14.45,14.45,14.45,0.0,0.0,14.53,14.53,14.53,0.0,0.0,14.38,14.38,14.38,0.0,0.0,14.43,14.43,14.43,0.0,0.0
2019-08-18,14.24,14.24,14.24,0.0,0.0,14.31,14.31,14.31,0.0,0.0,14.24,14.24,14.24,0.0,0.0,14.29,14.29,14.29,0.0,0.0
2019-08-25,14.21,14.21,14.21,0.0,0.0,14.37,14.37,14.37,0.0,0.0,14.21,14.21,14.21,0.0,0.0,14.37,14.37,14.37,0.0,0.0
2019-09-01,15.04,15.04,15.04,0.0,0.0,15.04,15.04,15.04,0.0,0.0,14.9,14.9,14.9,0.0,0.0,14.95,14.95,14.95,0.0,0.0
2019-09-08,15.0,15.0,15.0,0.0,0.0,15.04,15.04,15.04,0.0,0.0,14.99,14.99,14.99,0.0,0.0,15.03,15.03,15.03,0.0,0.0
2019-09-15,14.89,14.89,14.89,0.0,0.0,14.94,14.94,14.94,0.0,0.0,14.85,14.85,14.85,0.0,0.0,14.91,14.91,14.91,0.0,0.0
2019-09-22,14.87,14.87,14.87,0.0,0.0,15.09,15.09,15.09,0.0,0.0,14.87,14.87,14.87,0.0,0.0,15.08,15.08,15.08,0.0,0.0
2019-09-29,14.7,14.7,14.7,0.0,0.0,14.7,14.7,14.7,0.0,0.0,14.63,14.63,14.63,0.0,0.0,14.64,14.64,14.64,0.0,0.0
2019-10-06,14.81,14.81,14.81,0.0,0.0,14.86,14.86,14.86,0.0,0.0,14.81,14.81,14.81,0.0,0.0,14.86,14.86,14.86,0.0,0.0
2019-10-13,15.04,15.04,15.04,0.0,0.0,15.14,15.14,15.14,0.0,0.0,15.04,15.04,15.04,0.0,0.0,15.08,15.08,15.08,0.0,0.0
2019-10-20,15.22,15.22,15.22,0.0,0.0,15.25,15.25,15.25,0.0,0.0,15.14,15.14,15.14,0.0,0.0,15.23,15.23,15.23,0.0,0.0
2019-10-27,14.8,14.8,14.8,0.0,0.0,14.93,14.93,14.93,0.0,0.0,14.8,14.8,14.8,0.0,0.0,14.92,14.92,14.92,0.0,0.0
2019-11-03,14.93,14.93,14.93,0.0,0.0,15.08,15.08,15.08,0.0,0.0,14.93,14.93,14.93,0.0,0.0,15.04,15.04,15.04,0.0,0.0
2019-11-10,15.02,15.02,15.02,0.0,0.0,15.22,15.22,15.22,0.0,0.0,15.02,15.02,15.02,0.0,0.0,15.12,15.12,15.12,0.0,0.0
2019-11-17,15.16,15.16,15.16,0.0,0.0,15.16,15.16,15.16,0.0,0.0,14.99,14.99,14.99,0.0,0.0,15.03,15.03,15.03,0.0,0.0
2019-11-24,14.84,14.84,14.84,0.0,0.0,14.84,14.84,14.84,0.0,0.0,14.69,14.69,14.69,0.0,0.0,14.73,14.73,14.73,0.0,0.0
2019-12-01,14.87,14.87,14.87,0.0,0.0,14.87,14.87,14.87,0.0,0.0,14.8,14.8,14.8,0.0,0.0,14.81,14.81,14.81,0.0,0.0
2019-12-08,15.07,15.07,15.07,0.0,0.0,15.1,15.1,15.1,0.0,0.0,15.03,15.03,15.03,0.0,0.0,15.1,15.1,15.1,0.0,0.0
2019-12-15,15.12,15.12,15.12,0.0,0.0,15.12,15.12,15.12,0.0,0.0,14.97,14.97,14.97,0.0,0.0,15.04,15.04,15.04,0.0,0.0
2019-12-22,15.15,15.15,15.15,0.0,0.0,15.29,15.29,15.29,0.0,0.0,15.15,15.15,15.15,0.0,0.0,15.27,15.27,15.27,0.0,0.0
2019-12-29,15.59,15.59,15.59,0.0,0.0,15.6,15.6,15.6,0.0,0.0,15.27,15.27,15.27,0.0,0.0,15.36,15.36,15.36,0.0,0.0
