Date,iShares Edge US Fxd Incm Bal Rsk_Open_average,iShares Edge US Fxd Incm Bal Rsk_Open_max,iShares Edge US Fxd Incm Bal Rsk_Open_min,iShares Edge US Fxd Incm Bal Rsk_Open_volatility,iShares Edge US Fxd Incm Bal Rsk_Open_change,iShares Edge US Fxd Incm Bal Rsk_High_average,iShares Edge US Fxd Incm Bal Rsk_High_max,iShares Edge US Fxd Incm Bal Rsk_High_min,iShares Edge US Fxd Incm Bal Rsk_High_volatility,iShares Edge US Fxd Incm Bal Rsk_High_change,iShares Edge US Fxd Incm Bal Rsk_Low_average,iShares Edge US Fxd Incm Bal Rsk_Low_max,iShares Edge US Fxd Incm Bal Rsk_Low_min,iShares Edge US Fxd Incm Bal Rsk_Low_volatility,iShares Edge US Fxd Incm Bal Rsk_Low_change,iShares Edge US Fxd Incm Bal Rsk_Close_average,iShares Edge US Fxd Incm Bal Rsk_Close_max,iShares Edge US Fxd Incm Bal Rsk_Close_min,iShares Edge US Fxd Incm Bal Rsk_Close_volatility,iShares Edge US Fxd Incm Bal Rsk_Close_change
2018-11-04,95.74,95.74,95.74,0.0,0.0,95.86,95.86,95.86,0.0,0.0,95.54,95.54,95.54,0.0,0.0,95.85,95.85,95.85,0.0,0.0
2018-11-11,95.67,95.67,95.67,0.0,0.0,95.67,95.67,95.67,0.0,0.0,95.47,95.47,95.47,0.0,0.0,95.47,95.47,95.47,0.0,0.0
2018-11-18,95.62,95.62,95.62,0.0,0.0,95.62,95.62,95.62,0.0,0.0,95.36,95.36,95.36,0.0,0.0,95.58,95.58,95.58,0.0,0.0
2018-11-25,95.38,95.38,95.38,0.0,0.0,95.67,95.67,95.67,0.0,0.0,95.33,95.33,95.33,0.0,0.0,95.42,95.42,95.42,0.0,0.0
2018-12-02,95.74,95.74,95.74,0.0,0.0,95.74,95.74,95.74,0.0,0.0,95.34,95.34,95.34,0.0,0.0,95.62,95.62,95.62,0.0,0.0
2018-12-09,95.67,95.67,95.67,0.0,0.0,95.93,95.93,95.93,0.0,0.0,95.57,95.57,95.57,0.0,0.0,95.72,95.72,95.72,0.0,0.0
2018-12-16,94.87,94.87,94.87,0.0,0.0,94.88,94.88,94.88,0.0,0.0,94.59,94.59,94.59,0.0,0.0,94.77,94.77,94.77,0.0,0.0
2018-12-23,95.35,95.35,95.35,0.0,0.0,95.77,95.77,95.77,0.0,0.0,95.35,95.35,95.35,0.0,0.0,95.77,95.77,95.77,0.0,0.0
2018-12-30,96.18,96.18,96.18,0.0,0.0,96.29,96.29,96.29,0.0,0.0,96.02,96.02,96.02,0.0,0.0,96.29,96.29,96.29,0.0,0.0
2019-01-06,96.54,96.54,96.54,0.0,0.0,96.66,96.66,96.66,0.0,0.0,96.41,96.41,96.41,0.0,0.0,96.62,96.62,96.62,0.0,0.0
2019-01-13,96.69,96.69,96.69,0.0,0.0,97.03,97.03,97.03,0.0,0.0,96.69,96.69,96.69,0.0,0.0,96.88,96.88,96.88,0.0,0.0
2019-01-20,96.61,96.61,96.61,0.0,0.0,96.98,96.98,96.98,0.0,0.0,96.61,96.61,96.61,0.0,0.0,96.95,96.95,96.95,0.0,0.0
2019-01-27,97.3,97.3,97.3,0.0,0.0,97.42,97.42,97.42,0.0,0.0,97.11,97.11,97.11,0.0,0.0,97.42,97.42,97.42,0.0,0.0
2019-02-03,97.33,97.33,97.33,0.0,0.0,97.5,97.5,97.5,0.0,0.0,97.33,97.33,97.33,0.0,0.0,97.39,97.39,97.39,0.0,0.0
2019-02-10,97.72,97.72,97.72,0.0,0.0,97.81,97.81,97.81,0.0,0.0,97.53,97.53,97.53,0.0,0.0,97.58,97.58,97.58,0.0,0.0
2019-02-17,98.0,98.0,98.0,0.0,0.0,98.0,98.0,98.0,0.0,0.0,97.75,97.75,97.75,0.0,0.0,97.99,97.99,97.99,0.0,0.0
2019-02-24,97.78,97.78,97.78,0.0,0.0,97.78,97.78,97.78,0.0,0.0,97.52,97.52,97.52,0.0,0.0,97.52,97.52,97.52,0.0,0.0
2019-03-03,98.1,98.1,98.1,0.0,0.0,98.12,98.12,98.12,0.0,0.0,97.97,97.97,97.97,0.0,0.0,98.05,98.05,98.05,0.0,0.0
2019-03-10,98.54,98.54,98.54,0.0,0.0,98.6,98.6,98.6,0.0,0.0,98.36,98.36,98.36,0.0,0.0,98.6,98.6,98.6,0.0,0.0
2019-03-17,98.97,98.97,98.97,0.0,0.0,99.39,99.39,99.39,0.0,0.0,98.97,98.97,98.97,0.0,0.0,99.34,99.34,99.34,0.0,0.0
2019-03-24,99.09,99.09,99.09,0.0,0.0,99.09,99.09,99.09,0.0,0.0,98.77,98.77,98.77,0.0,0.0,98.89,98.89,98.89,0.0,0.0
2019-03-31,99.15,99.15,99.15,0.0,0.0,99.15,99.15,99.15,0.0,0.0,99.02,99.02,99.02,0.0,0.0,99.07,99.07,99.07,0.0,0.0
2019-04-07,99.33,99.33,99.33,0.0,0.0,99.34,99.34,99.34,0.0,0.0,99.19,99.19,99.19,0.0,0.0,99.32,99.32,99.32,0.0,0.0
2019-04-14,99.21,99.21,99.21,0.0,0.0,99.21,99.21,99.21,0.0,0.0,99.03,99.03,99.03,0.0,0.0,99.2,99.2,99.2,0.0,0.0
2019-04-21,99.61,99.61,99.61,0.0,0.0,99.61,99.61,99.61,0.0,0.0,99.44,99.44,99.44,0.0,0.0,99.53,99.53,99.53,0.0,0.0
2019-04-28,99.37,99.37,99.37,0.0,0.0,99.45,99.45,99.45,0.0,0.0,99.19,99.19,99.19,0.0,0.0,99.44,99.44,99.44,0.0,0.0
2019-05-05,99.34,99.34,99.34,0.0,0.0,99.55,99.55,99.55,0.0,0.0,99.34,99.34,99.34,0.0,0.0,99.51,99.51,99.51,0.0,0.0
2019-05-12,99.47,99.47,99.47,0.0,0.0,99.5,99.5,99.5,0.0,0.0,99.35,99.35,99.35,0.0,0.0,99.35,99.35,99.35,0.0,0.0
2019-05-19,99.54,99.54,99.54,0.0,0.0,99.66,99.66,99.66,0.0,0.0,99.49,99.49,99.49,0.0,0.0,99.58,99.58,99.58,0.0,0.0
2019-05-26,99.75,99.75,99.75,0.0,0.0,99.91,99.91,99.91,0.0,0.0,99.54,99.54,99.54,0.0,0.0,99.72,99.72,99.72,0.0,0.0
2019-06-02,100.01,100.01,100.01,0.0,0.0,100.2,100.2,100.2,0.0,0.0,99.99,99.99,99.99,0.0,0.0,100.05,100.05,100.05,0.0,0.0
2019-06-09,100.35,100.35,100.35,0.0,0.0,100.36,100.36,100.36,0.0,0.0,100.19,100.19,100.19,0.0,0.0,100.33,100.33,100.33,0.0,0.0
2019-06-16,101.11,101.11,101.11,0.0,0.0,101.35,101.35,101.35,0.0,0.0,100.94,100.94,100.94,0.0,0.0,101.19,101.19,101.19,0.0,0.0
2019-06-23,100.97,100.97,100.97,0.0,0.0,100.98,100.98,100.98,0.0,0.0,100.69,100.69,100.69,0.0,0.0,100.87,100.87,100.87,0.0,0.0
2019-06-30,100.74,100.74,100.74,0.0,0.0,100.88,100.88,100.88,0.0,0.0,100.67,100.67,100.67,0.0,0.0,100.78,100.78,100.78,0.0,0.0
2019-07-07,100.71,100.71,100.71,0.0,0.0,100.93,100.93,100.93,0.0,0.0,100.71,100.71,100.71,0.0,0.0,100.93,100.93,100.93,0.0,0.0
2019-07-14,100.98,100.98,100.98,0.0,0.0,101.11,101.11,101.11,0.0,0.0,100.98,100.98,100.98,0.0,0.0,101.03,101.03,101.03,0.0,0.0
2019-07-21,101.24,101.24,101.24,0.0,0.0,101.24,101.24,101.24,0.0,0.0,101.03,101.03,101.03,0.0,0.0,101.19,101.19,101.19,0.0,0.0
2019-07-28,101.27,101.27,101.27,0.0,0.0,101.27,101.27,101.27,0.0,0.0,101.14,101.14,101.14,0.0,0.0,101.24,101.24,101.24,0.0,0.0
2019-08-04,100.96,100.96,100.96,0.0,0.0,101.09,101.09,101.09,0.0,0.0,100.95,100.95,100.95,0.0,0.0,101.02,101.02,101.02,0.0,0.0
2019-08-11,101.0,101.0,101.0,0.0,0.0,101.0,101.0,101.0,0.0,0.0,100.81,100.81,100.81,0.0,0.0,100.86,100.86,100.86,0.0,0.0
2019-08-18,101.31,101.31,101.31,0.0,0.0,101.39,101.39,101.39,0.0,0.0,101.25,101.25,101.25,0.0,0.0,101.31,101.31,101.31,0.0,0.0
2019-08-25,101.53,101.53,101.53,0.0,0.0,101.63,101.63,101.63,0.0,0.0,101.48,101.48,101.48,0.0,0.0,101.63,101.63,101.63,0.0,0.0
2019-09-01,101.21,101.21,101.21,0.0,0.0,101.23,101.23,101.23,0.0,0.0,101.02,101.02,101.02,0.0,0.0,101.07,101.07,101.07,0.0,0.0
2019-09-08,101.06,101.06,101.06,0.0,0.0,101.12,101.12,101.12,0.0,0.0,100.95,100.95,100.95,0.0,0.0,101.04,101.04,101.04,0.0,0.0
2019-09-15,101.24,101.24,101.24,0.0,0.0,101.49,101.49,101.49,0.0,0.0,101.24,101.24,101.24,0.0,0.0,101.41,101.41,101.41,0.0,0.0
2019-09-22,101.09,101.09,101.09,0.0,0.0,101.37,101.37,101.37,0.0,0.0,101.09,101.09,101.09,0.0,0.0,101.31,101.31,101.31,0.0,0.0
2019-09-29,101.27,101.27,101.27,0.0,0.0,101.27,101.27,101.27,0.0,0.0,101.11,101.11,101.11,0.0,0.0,101.11,101.11,101.11,0.0,0.0
2019-10-06,101.27,101.27,101.27,0.0,0.0,101.27,101.27,101.27,0.0,0.0,101.07,101.07,101.07,0.0,0.0,101.16,101.16,101.16,0.0,0.0
2019-10-13,101.21,101.21,101.21,0.0,0.0,101.33,101.33,101.33,0.0,0.0,101.15,101.15,101.15,0.0,0.0,101.15,101.15,101.15,0.0,0.0
2019-10-20,101.42,101.42,101.42,0.0,0.0,101.43,101.43,101.43,0.0,0.0,101.23,101.23,101.23,0.0,0.0,101.34,101.34,101.34,0.0,0.0
2019-10-27,101.36,101.36,101.36,0.0,0.0,101.38,101.38,101.38,0.0,0.0,101.23,101.23,101.23,0.0,0.0,101.37,101.37,101.37,0.0,0.0
2019-11-03,101.32,101.32,101.32,0.0,0.0,101.32,101.32,101.32,0.0,0.0,101.1,101.1,101.1,0.0,0.0,101.28,101.28,101.28,0.0,0.0
2019-11-10,101.56,101.56,101.56,0.0,0.0,101.62,101.62,101.62,0.0,0.0,101.5,101.5,101.5,0.0,0.0,101.56,101.56,101.56,0.0,0.0
2019-11-17,101.48,101.48,101.48,0.0,0.0,101.6,101.6,101.6,0.0,0.0,101.46,101.46,101.46,0.0,0.0,101.53,101.53,101.53,0.0,0.0
2019-11-24,101.22,101.22,101.22,0.0,0.0,101.23,101.23,101.23,0.0,0.0,101.06,101.06,101.06,0.0,0.0,101.17,101.17,101.17,0.0,0.0
2019-12-01,101.61,101.61,101.61,0.0,0.0,101.61,101.61,101.61,0.0,0.0,101.46,101.46,101.46,0.0,0.0,101.53,101.53,101.53,0.0,0.0
2019-12-08,101.62,101.62,101.62,0.0,0.0,101.71,101.71,101.71,0.0,0.0,101.62,101.62,101.62,0.0,0.0,101.67,101.67,101.67,0.0,0.0
2019-12-15,101.75,101.75,101.75,0.0,0.0,101.78,101.78,101.78,0.0,0.0,101.59,101.59,101.59,0.0,0.0,101.59,101.59,101.59,0.0,0.0
2019-12-22,101.94,101.94,101.94,0.0,0.0,102.03,102.03,102.03,0.0,0.0,101.88,101.88,101.88,0.0,0.0,102.0,102.0,102.0,0.0,0.0
2019-12-29,102.22,102.22,102.22,0.0,0.0,102.25,102.25,102.25,0.0,0.0,102.17,102.17,102.17,0.0,0.0,102.21,102.21,102.21,0.0,0.0
