Date,iShares Transportation Average_Open_average,iShares Transportation Average_Open_max,iShares Transportation Average_Open_min,iShares Transportation Average_Open_volatility,iShares Transportation Average_Open_change,iShares Transportation Average_High_average,iShares Transportation Average_High_max,iShares Transportation Average_High_min,iShares Transportation Average_High_volatility,iShares Transportation Average_High_change,iShares Transportation Average_Low_average,iShares Transportation Average_Low_max,iShares Transportation Average_Low_min,iShares Transportation Average_Low_volatility,iShares Transportation Average_Low_change,iShares Transportation Average_Close_average,iShares Transportation Average_Close_max,iShares Transportation Average_Close_min,iShares Transportation Average_Close_volatility,iShares Transportation Average_Close_change
2018-04-29,183.74,183.74,183.74,0.0,0.0,187.88,187.88,187.88,0.0,0.0,183.44,183.44,183.44,0.0,0.0,186.93,186.93,186.93,0.0,0.0
2018-05-06,191.51,191.51,191.51,0.0,0.0,193.77,193.77,193.77,0.0,0.0,191.04,191.04,191.04,0.0,0.0,193.17,193.17,193.17,0.0,0.0
2018-05-13,193.78,193.78,193.78,0.0,0.0,194.02,194.02,194.02,0.0,0.0,192.68,192.68,192.68,0.0,0.0,193.6,193.6,193.6,0.0,0.0
2018-05-20,195.73,195.73,195.73,0.0,0.0,197.62,197.62,197.62,0.0,0.0,195.45,195.45,195.45,0.0,0.0,196.62,196.62,196.62,0.0,0.0
2018-05-27,194.98,194.98,194.98,0.0,0.0,197.1,197.1,197.1,0.0,0.0,194.98,194.98,194.98,0.0,0.0,196.67,196.67,196.67,0.0,0.0
2018-06-03,196.28,196.28,196.28,0.0,0.0,197.61,197.61,197.61,0.0,0.0,195.42,195.42,195.42,0.0,0.0,197.53,197.53,197.53,0.0,0.0
2018-06-10,197.88,197.88,197.88,0.0,0.0,200.36,200.36,200.36,0.0,0.0,197.2,197.2,197.2,0.0,0.0,200.0,200.0,200.0,0.0,0.0
2018-06-17,196.95,196.95,196.95,0.0,0.0,197.45,197.45,197.45,0.0,0.0,194.42,194.42,194.42,0.0,0.0,194.53,194.53,194.53,0.0,0.0
2018-06-24,186.84,186.84,186.84,0.0,0.0,188.41,188.41,188.41,0.0,0.0,186.17,186.17,186.17,0.0,0.0,186.23,186.23,186.23,0.0,0.0
2018-07-01,187.85,187.85,187.85,0.0,0.0,189.4,189.4,189.4,0.0,0.0,186.72,186.72,186.72,0.0,0.0,188.48,188.48,188.48,0.0,0.0
2018-07-08,188.68,188.68,188.68,0.0,0.0,190.32,190.32,190.32,0.0,0.0,188.54,188.54,188.54,0.0,0.0,189.81,189.81,189.81,0.0,0.0
2018-07-15,192.4,192.4,192.4,0.0,0.0,193.94,193.94,193.94,0.0,0.0,192.4,192.4,192.4,0.0,0.0,193.31,193.31,193.31,0.0,0.0
2018-07-22,198.35,198.35,198.35,0.0,0.0,198.35,198.35,198.35,0.0,0.0,196.18,196.18,196.18,0.0,0.0,197.15,197.15,197.15,0.0,0.0
2018-07-29,198.24,198.24,198.24,0.0,0.0,200.02,200.02,200.02,0.0,0.0,198.24,198.24,198.24,0.0,0.0,199.8,199.8,199.8,0.0,0.0
2018-08-05,199.88,199.88,199.88,0.0,0.0,200.2,200.2,200.2,0.0,0.0,198.25,198.25,198.25,0.0,0.0,199.56,199.56,199.56,0.0,0.0
2018-08-12,201.38,201.38,201.38,0.0,0.0,202.73,202.73,202.73,0.0,0.0,201.01,201.01,201.01,0.0,0.0,202.27,202.27,202.27,0.0,0.0
2018-08-19,203.45,203.45,203.45,0.0,0.0,204.11,204.11,204.11,0.0,0.0,202.97,202.97,202.97,0.0,0.0,203.42,203.42,203.42,0.0,0.0
2018-08-26,203.23,203.23,203.23,0.0,0.0,205.85,205.85,205.85,0.0,0.0,203.19,203.19,203.19,0.0,0.0,203.77,203.77,203.77,0.0,0.0
2018-09-02,203.76,203.76,203.76,0.0,0.0,206.42,206.42,206.42,0.0,0.0,203.72,203.72,203.72,0.0,0.0,204.54,204.54,204.54,0.0,0.0
2018-09-09,206.96,206.96,206.96,0.0,0.0,209.43,209.43,209.43,0.0,0.0,206.96,206.96,206.96,0.0,0.0,208.48,208.48,208.48,0.0,0.0
2018-09-16,207.85,207.85,207.85,0.0,0.0,209.33,209.33,209.33,0.0,0.0,207.61,207.61,207.61,0.0,0.0,207.83,207.83,207.83,0.0,0.0
2018-09-23,204.47,204.47,204.47,0.0,0.0,205.1,205.1,205.1,0.0,0.0,203.95,203.95,203.95,0.0,0.0,204.55,204.55,204.55,0.0,0.0
2018-09-30,203.08,203.08,203.08,0.0,0.0,203.15,203.15,203.15,0.0,0.0,200.27,200.27,200.27,0.0,0.0,201.57,201.57,201.57,0.0,0.0
2018-10-07,189.32,189.32,189.32,0.0,0.0,190.78,190.78,190.78,0.0,0.0,186.56,186.56,186.56,0.0,0.0,188.68,188.68,188.68,0.0,0.0
2018-10-14,188.39,188.39,188.39,0.0,0.0,188.83,188.83,188.83,0.0,0.0,186.66,186.66,186.66,0.0,0.0,187.72,187.72,187.72,0.0,0.0
2018-10-21,178.74,178.74,178.74,0.0,0.0,180.49,180.49,180.49,0.0,0.0,176.5,176.5,176.5,0.0,0.0,179.14,179.14,179.14,0.0,0.0
2018-10-28,188.06,188.06,188.06,0.0,0.0,189.29,189.29,189.29,0.0,0.0,185.4,185.4,185.4,0.0,0.0,186.49,186.49,186.49,0.0,0.0
2018-11-04,191.36,191.36,191.36,0.0,0.0,191.78,191.78,191.78,0.0,0.0,188.33,188.33,188.33,0.0,0.0,189.36,189.36,189.36,0.0,0.0
2018-11-11,190.84,190.84,190.84,0.0,0.0,191.9,191.9,191.9,0.0,0.0,189.57,189.57,189.57,0.0,0.0,190.89,190.89,190.89,0.0,0.0
2018-11-18,185.97,185.97,185.97,0.0,0.0,188.18,188.18,188.18,0.0,0.0,185.97,185.97,185.97,0.0,0.0,186.99,186.99,186.99,0.0,0.0
2018-11-25,192.28,192.28,192.28,0.0,0.0,195.5,195.5,195.5,0.0,0.0,192.28,192.28,192.28,0.0,0.0,195.28,195.28,195.28,0.0,0.0
2018-12-02,186.06,186.06,186.06,0.0,0.0,187.48,187.48,187.48,0.0,0.0,179.03,179.03,179.03,0.0,0.0,179.45,179.45,179.45,0.0,0.0
2018-12-09,173.35,173.35,173.35,0.0,0.0,174.89,174.89,174.89,0.0,0.0,171.32,171.32,171.32,0.0,0.0,171.83,171.83,171.83,0.0,0.0
2018-12-16,163.11,163.11,163.11,0.0,0.0,164.37,164.37,164.37,0.0,0.0,159.39,159.39,159.39,0.0,0.0,159.63,159.63,159.63,0.0,0.0
2018-12-23,165.34,165.34,165.34,0.0,0.0,166.55,166.55,166.55,0.0,0.0,163.21,163.21,163.21,0.0,0.0,163.8,163.8,163.8,0.0,0.0
2018-12-30,161.91,161.91,161.91,0.0,0.0,166.51,166.51,166.51,0.0,0.0,161.91,161.91,161.91,0.0,0.0,165.91,165.91,165.91,0.0,0.0
2019-01-06,172.16,172.16,172.16,0.0,0.0,173.74,173.74,173.74,0.0,0.0,171.37,171.37,171.37,0.0,0.0,173.04,173.04,173.04,0.0,0.0
2019-01-13,177.09,177.09,177.09,0.0,0.0,180.34,180.34,180.34,0.0,0.0,176.81,176.81,176.81,0.0,0.0,179.98,179.98,179.98,0.0,0.0
2019-01-20,177.85,177.85,177.85,0.0,0.0,179.15,179.15,179.15,0.0,0.0,177.0,177.0,177.0,0.0,0.0,178.37,178.37,178.37,0.0,0.0
2019-01-27,181.12,181.12,181.12,0.0,0.0,182.99,182.99,182.99,0.0,0.0,180.24,180.24,180.24,0.0,0.0,182.07,182.07,182.07,0.0,0.0
2019-02-03,182.11,182.11,182.11,0.0,0.0,183.21,183.21,183.21,0.0,0.0,180.85,180.85,180.85,0.0,0.0,183.21,183.21,183.21,0.0,0.0
2019-02-10,189.74,189.74,189.74,0.0,0.0,190.88,190.88,190.88,0.0,0.0,189.34,189.34,189.34,0.0,0.0,190.33,190.33,190.33,0.0,0.0
2019-02-17,192.11,192.11,192.11,0.0,0.0,192.11,192.11,192.11,0.0,0.0,189.02,189.02,189.02,0.0,0.0,190.73,190.73,190.73,0.0,0.0
2019-02-24,189.05,189.05,189.05,0.0,0.0,190.24,190.24,190.24,0.0,0.0,187.67,187.67,187.67,0.0,0.0,188.8,188.8,188.8,0.0,0.0
2019-03-03,181.85,181.85,181.85,0.0,0.0,182.69,182.69,182.69,0.0,0.0,180.45,180.45,180.45,0.0,0.0,182.65,182.65,182.65,0.0,0.0
2019-03-10,187.15,187.15,187.15,0.0,0.0,187.88,187.88,187.88,0.0,0.0,185.81,185.81,185.81,0.0,0.0,186.31,186.31,186.31,0.0,0.0
2019-03-17,183.72,183.72,183.72,0.0,0.0,183.94,183.94,183.94,0.0,0.0,180.69,180.69,180.69,0.0,0.0,180.8,180.8,180.8,0.0,0.0
2019-03-24,186.5,186.5,186.5,0.0,0.0,188.17,188.17,188.17,0.0,0.0,186.5,186.5,186.5,0.0,0.0,187.26,187.26,187.26,0.0,0.0
2019-03-31,192.55,192.55,192.55,0.0,0.0,193.78,193.78,193.78,0.0,0.0,192.13,192.13,192.13,0.0,0.0,193.0,193.0,193.0,0.0,0.0
2019-04-07,195.0,195.0,195.0,0.0,0.0,196.36,196.36,196.36,0.0,0.0,194.82,194.82,194.82,0.0,0.0,196.36,196.36,196.36,0.0,0.0
2019-04-14,197.5,197.5,197.5,0.0,0.0,198.65,198.65,198.65,0.0,0.0,197.07,197.07,197.07,0.0,0.0,197.57,197.57,197.57,0.0,0.0
2019-04-21,194.95,194.95,194.95,0.0,0.0,195.86,195.86,195.86,0.0,0.0,194.02,194.02,194.02,0.0,0.0,195.61,195.61,195.61,0.0,0.0
2019-04-28,195.26,195.26,195.26,0.0,0.0,197.66,197.66,197.66,0.0,0.0,195.26,195.26,195.26,0.0,0.0,197.25,197.25,197.25,0.0,0.0
2019-05-05,190.08,190.08,190.08,0.0,0.0,191.54,191.54,191.54,0.0,0.0,186.76,186.76,186.76,0.0,0.0,190.8,190.8,190.8,0.0,0.0
2019-05-12,189.11,189.11,189.11,0.0,0.0,191.31,191.31,191.31,0.0,0.0,188.67,188.67,188.67,0.0,0.0,189.04,189.04,189.04,0.0,0.0
2019-05-19,184.02,184.02,184.02,0.0,0.0,184.54,184.54,184.54,0.0,0.0,181.39,181.39,181.39,0.0,0.0,182.64,182.64,182.64,0.0,0.0
2019-05-26,176.18,176.18,176.18,0.0,0.0,177.0,177.0,177.0,0.0,0.0,175.3,175.3,175.3,0.0,0.0,175.59,175.59,175.59,0.0,0.0
2019-06-02,182.77,182.77,182.77,0.0,0.0,184.46,184.46,184.46,0.0,0.0,182.62,182.62,182.62,0.0,0.0,183.0,183.0,183.0,0.0,0.0
2019-06-09,186.33,186.33,186.33,0.0,0.0,186.61,186.61,186.61,0.0,0.0,184.53,184.53,184.53,0.0,0.0,185.94,185.94,185.94,0.0,0.0
2019-06-16,186.9,186.9,186.9,0.0,0.0,188.55,188.55,188.55,0.0,0.0,186.14,186.14,186.14,0.0,0.0,186.31,186.31,186.31,0.0,0.0
2019-06-23,186.3,186.3,186.3,0.0,0.0,188.42,188.42,188.42,0.0,0.0,186.3,186.3,186.3,0.0,0.0,188.19,188.19,188.19,0.0,0.0
2019-06-30,187.99,187.99,187.99,0.0,0.0,188.85,188.85,188.85,0.0,0.0,186.26,186.26,186.26,0.0,0.0,188.68,188.68,188.68,0.0,0.0
2019-07-07,188.22,188.22,188.22,0.0,0.0,191.68,191.68,191.68,0.0,0.0,188.22,188.22,188.22,0.0,0.0,191.39,191.39,191.39,0.0,0.0
2019-07-14,190.59,190.59,190.59,0.0,0.0,192.04,192.04,192.04,0.0,0.0,190.43,190.43,190.43,0.0,0.0,190.77,190.77,190.77,0.0,0.0
2019-07-21,192.01,192.01,192.01,0.0,0.0,194.39,194.39,194.39,0.0,0.0,192.01,192.01,192.01,0.0,0.0,193.83,193.83,193.83,0.0,0.0
2019-07-28,186.8,186.8,186.8,0.0,0.0,187.61,187.61,187.61,0.0,0.0,185.62,185.62,185.62,0.0,0.0,186.74,186.74,186.74,0.0,0.0
2019-08-04,185.15,185.15,185.15,0.0,0.0,185.41,185.41,185.41,0.0,0.0,182.89,182.89,182.89,0.0,0.0,183.65,183.65,183.65,0.0,0.0
2019-08-11,177.37,177.37,177.37,0.0,0.0,179.88,179.88,179.88,0.0,0.0,177.28,177.28,177.28,0.0,0.0,179.59,179.59,179.59,0.0,0.0
2019-08-18,180.4,180.4,180.4,0.0,0.0,180.93,180.93,180.93,0.0,0.0,174.8,174.8,174.8,0.0,0.0,175.56,175.56,175.56,0.0,0.0
2019-08-25,183.22,183.22,183.22,0.0,0.0,184.43,184.43,184.43,0.0,0.0,182.11,182.11,182.11,0.0,0.0,182.49,182.49,182.49,0.0,0.0
2019-09-01,187.56,187.56,187.56,0.0,0.0,188.0,188.0,188.0,0.0,0.0,185.77,185.77,185.77,0.0,0.0,185.86,185.86,185.86,0.0,0.0
2019-09-08,192.46,192.46,192.46,0.0,0.0,199.23,199.23,199.23,0.0,0.0,192.46,192.46,192.46,0.0,0.0,195.09,195.09,195.09,0.0,0.0
2019-09-15,189.4,189.4,189.4,0.0,0.0,190.56,190.56,190.56,0.0,0.0,187.64,187.64,187.64,0.0,0.0,188.58,188.58,188.58,0.0,0.0
2019-09-22,187.56,187.56,187.56,0.0,0.0,188.44,188.44,188.44,0.0,0.0,185.44,185.44,185.44,0.0,0.0,185.8,185.8,185.8,0.0,0.0
2019-09-29,178.1,178.1,178.1,0.0,0.0,180.25,180.25,180.25,0.0,0.0,178.1,178.1,178.1,0.0,0.0,180.23,180.23,180.23,0.0,0.0
2019-10-06,183.25,183.25,183.25,0.0,0.0,186.3,186.3,186.3,0.0,0.0,183.11,183.11,183.11,0.0,0.0,184.79,184.79,184.79,0.0,0.0
2019-10-13,188.21,188.21,188.21,0.0,0.0,189.32,189.32,189.32,0.0,0.0,187.97,187.97,187.97,0.0,0.0,188.61,188.61,188.61,0.0,0.0
2019-10-20,191.1,191.1,191.1,0.0,0.0,195.13,195.13,195.13,0.0,0.0,191.1,191.1,191.1,0.0,0.0,195.01,195.01,195.01,0.0,0.0
2019-10-27,188.46,188.46,188.46,0.0,0.0,192.8,192.8,192.8,0.0,0.0,188.46,188.46,188.46,0.0,0.0,192.76,192.76,192.76,0.0,0.0
2019-11-03,198.63,198.63,198.63,0.0,0.0,199.06,199.06,199.06,0.0,0.0,197.83,197.83,197.83,0.0,0.0,198.68,198.68,198.68,0.0,0.0
2019-11-10,196.5,196.5,196.5,0.0,0.0,196.86,196.86,196.86,0.0,0.0,195.26,195.26,195.26,0.0,0.0,195.41,195.41,195.41,0.0,0.0
2019-11-17,192.79,192.79,192.79,0.0,0.0,193.92,193.92,193.92,0.0,0.0,192.25,192.25,192.25,0.0,0.0,193.87,193.87,193.87,0.0,0.0
2019-11-24,195.85,195.85,195.85,0.0,0.0,196.71,196.71,196.71,0.0,0.0,195.0,195.0,195.0,0.0,0.0,195.37,195.37,195.37,0.0,0.0
2019-12-01,192.34,192.34,192.34,0.0,0.0,193.66,193.66,193.66,0.0,0.0,192.34,192.34,192.34,0.0,0.0,192.66,192.66,192.66,0.0,0.0
2019-12-08,194.05,194.05,194.05,0.0,0.0,196.07,196.07,196.07,0.0,0.0,193.14,193.14,193.14,0.0,0.0,193.93,193.93,193.93,0.0,0.0
2019-12-15,193.46,193.46,193.46,0.0,0.0,195.68,195.68,195.68,0.0,0.0,193.46,193.46,193.46,0.0,0.0,195.51,195.51,195.51,0.0,0.0
2019-12-22,197.25,197.25,197.25,0.0,0.0,197.25,197.25,197.25,0.0,0.0,195.88,195.88,195.88,0.0,0.0,196.15,196.15,196.15,0.0,0.0
2019-12-29,194.12,194.12,194.12,0.0,0.0,195.87,195.87,195.87,0.0,0.0,193.64,193.64,193.64,0.0,0.0,195.78,195.78,195.78,0.0,0.0
