Date,iShares Broad USD Investment Grade Corporate Bond_etf_Open_average,iShares Broad USD Investment Grade Corporate Bond_etf_Open_max,iShares Broad USD Investment Grade Corporate Bond_etf_Open_min,iShares Broad USD Investment Grade Corporate Bond_etf_Open_volatility,iShares Broad USD Investment Grade Corporate Bond_etf_Open_change,iShares Broad USD Investment Grade Corporate Bond_etf_High_average,iShares Broad USD Investment Grade Corporate Bond_etf_High_max,iShares Broad USD Investment Grade Corporate Bond_etf_High_min,iShares Broad USD Investment Grade Corporate Bond_etf_High_volatility,iShares Broad USD Investment Grade Corporate Bond_etf_High_change,iShares Broad USD Investment Grade Corporate Bond_etf_Low_average,iShares Broad USD Investment Grade Corporate Bond_etf_Low_max,iShares Broad USD Investment Grade Corporate Bond_etf_Low_min,iShares Broad USD Investment Grade Corporate Bond_etf_Low_volatility,iShares Broad USD Investment Grade Corporate Bond_etf_Low_change,iShares Broad USD Investment Grade Corporate Bond_etf_Close_average,iShares Broad USD Investment Grade Corporate Bond_etf_Close_max,iShares Broad USD Investment Grade Corporate Bond_etf_Close_min,iShares Broad USD Investment Grade Corporate Bond_etf_Close_volatility,iShares Broad USD Investment Grade Corporate Bond_etf_Close_change
2018-06-03,53.55,53.55,53.55,0.0,0.0,53.59,53.59,53.59,0.0,0.0,53.5,53.5,53.5,0.0,0.0,53.5,53.5,53.5,0.0,0.0
2018-06-10,53.65,53.65,53.65,0.0,0.0,53.69,53.69,53.69,0.0,0.0,53.55,53.55,53.55,0.0,0.0,53.55,53.55,53.55,0.0,0.0
2018-06-17,53.38,53.38,53.38,0.0,0.0,53.44,53.44,53.44,0.0,0.0,53.33,53.33,53.33,0.0,0.0,53.39,53.39,53.39,0.0,0.0
2018-06-24,53.61,53.61,53.61,0.0,0.0,53.7,53.7,53.7,0.0,0.0,53.56,53.56,53.56,0.0,0.0,53.56,53.56,53.56,0.0,0.0
2018-07-01,53.73,53.73,53.73,0.0,0.0,53.8,53.8,53.8,0.0,0.0,53.72,53.72,53.72,0.0,0.0,53.76,53.76,53.76,0.0,0.0
2018-07-08,53.9,53.9,53.9,0.0,0.0,53.99,53.99,53.99,0.0,0.0,53.9,53.9,53.9,0.0,0.0,53.97,53.97,53.97,0.0,0.0
2018-07-15,53.81,53.81,53.81,0.0,0.0,53.81,53.81,53.81,0.0,0.0,53.69,53.69,53.69,0.0,0.0,53.74,53.74,53.74,0.0,0.0
2018-07-22,53.82,53.82,53.82,0.0,0.0,53.83,53.83,53.83,0.0,0.0,53.76,53.76,53.76,0.0,0.0,53.77,53.77,53.77,0.0,0.0
2018-07-29,53.7,53.7,53.7,0.0,0.0,53.82,53.82,53.82,0.0,0.0,53.7,53.7,53.7,0.0,0.0,53.77,53.77,53.77,0.0,0.0
2018-08-05,53.56,53.56,53.56,0.0,0.0,53.77,53.77,53.77,0.0,0.0,53.55,53.55,53.55,0.0,0.0,53.75,53.75,53.75,0.0,0.0
2018-08-12,53.91,53.91,53.91,0.0,0.0,53.99,53.99,53.99,0.0,0.0,53.87,53.87,53.87,0.0,0.0,53.95,53.95,53.95,0.0,0.0
2018-08-19,53.96,53.96,53.96,0.0,0.0,54.14,54.14,54.14,0.0,0.0,53.96,53.96,53.96,0.0,0.0,54.08,54.08,54.08,0.0,0.0
2018-08-26,53.96,53.96,53.96,0.0,0.0,54.04,54.04,54.04,0.0,0.0,53.86,53.86,53.86,0.0,0.0,53.94,53.94,53.94,0.0,0.0
2018-09-02,53.64,53.64,53.64,0.0,0.0,53.64,53.64,53.64,0.0,0.0,53.54,53.54,53.54,0.0,0.0,53.62,53.62,53.62,0.0,0.0
2018-09-09,53.61,53.61,53.61,0.0,0.0,53.71,53.71,53.71,0.0,0.0,53.61,53.61,53.61,0.0,0.0,53.64,53.64,53.64,0.0,0.0
2018-09-16,53.52,53.52,53.52,0.0,0.0,53.57,53.57,53.57,0.0,0.0,53.48,53.48,53.48,0.0,0.0,53.51,53.51,53.51,0.0,0.0
2018-09-23,53.68,53.68,53.68,0.0,0.0,53.7,53.7,53.7,0.0,0.0,53.62,53.62,53.62,0.0,0.0,53.62,53.62,53.62,0.0,0.0
2018-09-30,52.91,52.91,52.91,0.0,0.0,52.99,52.99,52.99,0.0,0.0,52.78,52.78,52.78,0.0,0.0,52.92,52.92,52.92,0.0,0.0
2018-10-07,53.12,53.12,53.12,0.0,0.0,53.15,53.15,53.15,0.0,0.0,52.98,52.98,52.98,0.0,0.0,52.98,52.98,52.98,0.0,0.0
2018-10-14,52.81,52.81,52.81,0.0,0.0,52.89,52.89,52.89,0.0,0.0,52.75,52.75,52.75,0.0,0.0,52.82,52.82,52.82,0.0,0.0
2018-10-21,52.91,52.91,52.91,0.0,0.0,53.02,53.02,53.02,0.0,0.0,52.9,52.9,52.9,0.0,0.0,52.91,52.91,52.91,0.0,0.0
2018-10-28,52.51,52.51,52.51,0.0,0.0,52.56,52.56,52.56,0.0,0.0,52.38,52.38,52.38,0.0,0.0,52.42,52.42,52.42,0.0,0.0
2018-11-04,52.54,52.54,52.54,0.0,0.0,52.63,52.63,52.63,0.0,0.0,52.54,52.54,52.54,0.0,0.0,52.6,52.6,52.6,0.0,0.0
2018-11-11,52.44,52.44,52.44,0.0,0.0,52.51,52.51,52.51,0.0,0.0,52.39,52.39,52.39,0.0,0.0,52.47,52.47,52.47,0.0,0.0
2018-11-18,52.52,52.52,52.52,0.0,0.0,52.52,52.52,52.52,0.0,0.0,52.41,52.41,52.41,0.0,0.0,52.41,52.41,52.41,0.0,0.0
2018-11-25,52.39,52.39,52.39,0.0,0.0,52.42,52.42,52.42,0.0,0.0,52.33,52.33,52.33,0.0,0.0,52.4,52.4,52.4,0.0,0.0
2018-12-02,52.57,52.57,52.57,0.0,0.0,52.6,52.6,52.6,0.0,0.0,52.53,52.53,52.53,0.0,0.0,52.54,52.54,52.54,0.0,0.0
2018-12-09,52.83,52.83,52.83,0.0,0.0,52.88,52.88,52.88,0.0,0.0,52.76,52.76,52.76,0.0,0.0,52.79,52.79,52.79,0.0,0.0
2018-12-16,52.75,52.75,52.75,0.0,0.0,52.78,52.78,52.78,0.0,0.0,52.56,52.56,52.56,0.0,0.0,52.71,52.71,52.71,0.0,0.0
2018-12-23,52.66,52.66,52.66,0.0,0.0,52.84,52.84,52.84,0.0,0.0,52.66,52.66,52.66,0.0,0.0,52.79,52.79,52.79,0.0,0.0
2018-12-30,52.99,52.99,52.99,0.0,0.0,53.07,53.07,53.07,0.0,0.0,52.92,52.92,52.92,0.0,0.0,53.07,53.07,53.07,0.0,0.0
2019-01-06,53.2,53.2,53.2,0.0,0.0,53.23,53.23,53.23,0.0,0.0,53.15,53.15,53.15,0.0,0.0,53.2,53.2,53.2,0.0,0.0
2019-01-13,53.26,53.26,53.26,0.0,0.0,53.38,53.38,53.38,0.0,0.0,53.26,53.26,53.26,0.0,0.0,53.37,53.37,53.37,0.0,0.0
2019-01-20,53.64,53.64,53.64,0.0,0.0,53.67,53.67,53.67,0.0,0.0,53.6,53.6,53.6,0.0,0.0,53.65,53.65,53.65,0.0,0.0
2019-01-27,53.95,53.95,53.95,0.0,0.0,53.99,53.99,53.99,0.0,0.0,53.87,53.87,53.87,0.0,0.0,53.93,53.93,53.93,0.0,0.0
2019-02-03,54.04,54.04,54.04,0.0,0.0,54.1,54.1,54.1,0.0,0.0,54.03,54.03,54.03,0.0,0.0,54.09,54.09,54.09,0.0,0.0
2019-02-10,54.08,54.08,54.08,0.0,0.0,54.14,54.14,54.14,0.0,0.0,54.08,54.08,54.08,0.0,0.0,54.14,54.14,54.14,0.0,0.0
2019-02-17,54.07,54.07,54.07,0.0,0.0,54.23,54.23,54.23,0.0,0.0,54.07,54.07,54.07,0.0,0.0,54.19,54.19,54.19,0.0,0.0
2019-02-24,53.91,53.91,53.91,0.0,0.0,53.92,53.92,53.92,0.0,0.0,53.76,53.76,53.76,0.0,0.0,53.82,53.82,53.82,0.0,0.0
2019-03-03,54.08,54.08,54.08,0.0,0.0,54.21,54.21,54.21,0.0,0.0,54.05,54.05,54.05,0.0,0.0,54.19,54.19,54.19,0.0,0.0
2019-03-10,54.4,54.4,54.4,0.0,0.0,54.45,54.45,54.45,0.0,0.0,54.38,54.38,54.38,0.0,0.0,54.41,54.41,54.41,0.0,0.0
2019-03-17,54.91,54.91,54.91,0.0,0.0,55.05,55.05,55.05,0.0,0.0,54.88,54.88,54.88,0.0,0.0,55.04,55.04,55.04,0.0,0.0
2019-03-24,55.18,55.18,55.18,0.0,0.0,55.29,55.29,55.29,0.0,0.0,55.15,55.15,55.15,0.0,0.0,55.28,55.28,55.28,0.0,0.0
2019-03-31,54.91,54.91,54.91,0.0,0.0,55.01,55.01,55.01,0.0,0.0,54.89,54.89,54.89,0.0,0.0,54.97,54.97,54.97,0.0,0.0
2019-04-07,55.06,55.06,55.06,0.0,0.0,55.11,55.11,55.11,0.0,0.0,55.05,55.05,55.05,0.0,0.0,55.05,55.05,55.05,0.0,0.0
2019-04-14,55.04,55.04,55.04,0.0,0.0,55.04,55.04,55.04,0.0,0.0,54.95,54.95,54.95,0.0,0.0,54.95,54.95,54.95,0.0,0.0
2019-04-21,55.41,55.41,55.41,0.0,0.0,55.43,55.43,55.43,0.0,0.0,55.37,55.37,55.37,0.0,0.0,55.38,55.38,55.38,0.0,0.0
2019-04-28,55.07,55.07,55.07,0.0,0.0,55.16,55.16,55.16,0.0,0.0,55.07,55.07,55.07,0.0,0.0,55.11,55.11,55.11,0.0,0.0
2019-05-05,55.15,55.15,55.15,0.0,0.0,55.2,55.2,55.2,0.0,0.0,55.13,55.13,55.13,0.0,0.0,55.15,55.15,55.15,0.0,0.0
2019-05-12,55.35,55.35,55.35,0.0,0.0,55.37,55.37,55.37,0.0,0.0,55.26,55.26,55.26,0.0,0.0,55.3,55.3,55.3,0.0,0.0
2019-05-19,55.41,55.41,55.41,0.0,0.0,55.47,55.47,55.47,0.0,0.0,55.4,55.4,55.4,0.0,0.0,55.42,55.42,55.42,0.0,0.0
2019-05-26,55.75,55.75,55.75,0.0,0.0,55.93,55.93,55.93,0.0,0.0,55.73,55.73,55.73,0.0,0.0,55.88,55.88,55.88,0.0,0.0
2019-06-02,56.11,56.11,56.11,0.0,0.0,56.19,56.19,56.19,0.0,0.0,56.06,56.06,56.06,0.0,0.0,56.06,56.06,56.06,0.0,0.0
2019-06-09,56.07,56.07,56.07,0.0,0.0,56.18,56.18,56.18,0.0,0.0,56.06,56.06,56.06,0.0,0.0,56.18,56.18,56.18,0.0,0.0
2019-06-16,56.8,56.8,56.8,0.0,0.0,56.84,56.84,56.84,0.0,0.0,56.73,56.73,56.73,0.0,0.0,56.79,56.79,56.79,0.0,0.0
2019-06-23,56.99,56.99,56.99,0.0,0.0,57.08,57.08,57.08,0.0,0.0,56.94,56.94,56.94,0.0,0.0,57.07,57.07,57.07,0.0,0.0
2019-06-30,56.9,56.9,56.9,0.0,0.0,56.91,56.91,56.91,0.0,0.0,56.66,56.66,56.66,0.0,0.0,56.88,56.88,56.88,0.0,0.0
2019-07-07,56.58,56.58,56.58,0.0,0.0,56.66,56.66,56.66,0.0,0.0,56.54,56.54,56.54,0.0,0.0,56.6,56.6,56.6,0.0,0.0
2019-07-14,56.92,56.92,56.92,0.0,0.0,56.99,56.99,56.99,0.0,0.0,56.85,56.85,56.85,0.0,0.0,56.86,56.86,56.86,0.0,0.0
2019-07-21,57.03,57.03,57.03,0.0,0.0,57.07,57.07,57.07,0.0,0.0,56.99,56.99,56.99,0.0,0.0,57.04,57.04,57.04,0.0,0.0
2019-07-28,57.37,57.37,57.37,0.0,0.0,57.53,57.53,57.53,0.0,0.0,57.32,57.32,57.32,0.0,0.0,57.41,57.41,57.41,0.0,0.0
2019-08-04,57.87,57.87,57.87,0.0,0.0,57.89,57.89,57.89,0.0,0.0,57.7,57.7,57.7,0.0,0.0,57.7,57.7,57.7,0.0,0.0
2019-08-11,58.3,58.3,58.3,0.0,0.0,58.44,58.44,58.44,0.0,0.0,58.14,58.14,58.14,0.0,0.0,58.4,58.4,58.4,0.0,0.0
2019-08-18,58.4,58.4,58.4,0.0,0.0,58.69,58.69,58.69,0.0,0.0,58.39,58.39,58.39,0.0,0.0,58.61,58.61,58.61,0.0,0.0
2019-08-25,58.7,58.7,58.7,0.0,0.0,58.79,58.79,58.79,0.0,0.0,58.62,58.62,58.62,0.0,0.0,58.79,58.79,58.79,0.0,0.0
2019-09-01,58.4,58.4,58.4,0.0,0.0,58.53,58.53,58.53,0.0,0.0,58.4,58.4,58.4,0.0,0.0,58.46,58.46,58.46,0.0,0.0
2019-09-08,57.45,57.45,57.45,0.0,0.0,57.52,57.52,57.52,0.0,0.0,57.19,57.19,57.19,0.0,0.0,57.23,57.23,57.23,0.0,0.0
2019-09-15,57.98,57.98,57.98,0.0,0.0,58.16,58.16,58.16,0.0,0.0,57.9,57.9,57.9,0.0,0.0,58.13,58.13,58.13,0.0,0.0
2019-09-22,58.15,58.15,58.15,0.0,0.0,58.18,58.18,58.18,0.0,0.0,58.05,58.05,58.05,0.0,0.0,58.13,58.13,58.13,0.0,0.0
2019-09-29,58.5,58.5,58.5,0.0,0.0,58.6,58.6,58.6,0.0,0.0,58.49,58.49,58.49,0.0,0.0,58.56,58.56,58.56,0.0,0.0
2019-10-06,57.95,57.95,57.95,0.0,0.0,58.0,58.0,58.0,0.0,0.0,57.86,57.86,57.86,0.0,0.0,57.9,57.9,57.9,0.0,0.0
2019-10-13,58.04,58.04,58.04,0.0,0.0,58.18,58.18,58.18,0.0,0.0,58.04,58.04,58.04,0.0,0.0,58.13,58.13,58.13,0.0,0.0
2019-10-20,58.16,58.16,58.16,0.0,0.0,58.21,58.21,58.21,0.0,0.0,58.07,58.07,58.07,0.0,0.0,58.07,58.07,58.07,0.0,0.0
2019-10-27,58.23,58.23,58.23,0.0,0.0,58.32,58.32,58.32,0.0,0.0,58.15,58.15,58.15,0.0,0.0,58.24,58.24,58.24,0.0,0.0
2019-11-03,57.6,57.6,57.6,0.0,0.0,57.73,57.73,57.73,0.0,0.0,57.58,57.58,57.58,0.0,0.0,57.58,57.58,57.58,0.0,0.0
2019-11-10,57.94,57.94,57.94,0.0,0.0,58.03,58.03,58.03,0.0,0.0,57.93,57.93,57.93,0.0,0.0,57.94,57.94,57.94,0.0,0.0
2019-11-17,58.24,58.24,58.24,0.0,0.0,58.25,58.25,58.25,0.0,0.0,58.14,58.14,58.14,0.0,0.0,58.24,58.24,58.24,0.0,0.0
2019-11-24,58.41,58.41,58.41,0.0,0.0,58.5,58.5,58.5,0.0,0.0,58.37,58.37,58.37,0.0,0.0,58.4,58.4,58.4,0.0,0.0
2019-12-01,58.12,58.12,58.12,0.0,0.0,58.27,58.27,58.27,0.0,0.0,58.04,58.04,58.04,0.0,0.0,58.17,58.17,58.17,0.0,0.0
2019-12-08,58.33,58.33,58.33,0.0,0.0,58.52,58.52,58.52,0.0,0.0,58.22,58.22,58.22,0.0,0.0,58.45,58.45,58.45,0.0,0.0
2019-12-15,58.16,58.16,58.16,0.0,0.0,58.2,58.2,58.2,0.0,0.0,58.1,58.1,58.1,0.0,0.0,58.18,58.18,58.18,0.0,0.0
2019-12-22,58.37,58.37,58.37,0.0,0.0,58.46,58.46,58.46,0.0,0.0,58.37,58.37,58.37,0.0,0.0,58.43,58.43,58.43,0.0,0.0
2019-12-29,58.49,58.49,58.49,0.0,0.0,58.61,58.61,58.61,0.0,0.0,58.46,58.46,58.46,0.0,0.0,58.55,58.55,58.55,0.0,0.0
