Date,ProShares Ultra MSCI Japan_Open_average,ProShares Ultra MSCI Japan_Open_max,ProShares Ultra MSCI Japan_Open_min,ProShares Ultra MSCI Japan_Open_volatility,ProShares Ultra MSCI Japan_Open_change,ProShares Ultra MSCI Japan_High_average,ProShares Ultra MSCI Japan_High_max,ProShares Ultra MSCI Japan_High_min,ProShares Ultra MSCI Japan_High_volatility,ProShares Ultra MSCI Japan_High_change,ProShares Ultra MSCI Japan_Low_average,ProShares Ultra MSCI Japan_Low_max,ProShares Ultra MSCI Japan_Low_min,ProShares Ultra MSCI Japan_Low_volatility,ProShares Ultra MSCI Japan_Low_change,ProShares Ultra MSCI Japan_Close_average,ProShares Ultra MSCI Japan_Close_max,ProShares Ultra MSCI Japan_Close_min,ProShares Ultra MSCI Japan_Close_volatility,ProShares Ultra MSCI Japan_Close_change
2018-03-25,43.29,43.29,43.29,0.0,0.0,43.84,43.84,43.84,0.0,0.0,43.29,43.29,43.29,0.0,0.0,43.82,43.82,43.82,0.0,0.0
2018-04-01,42.46,42.46,42.46,0.0,0.0,42.46,42.46,42.46,0.0,0.0,42.46,42.46,42.46,0.0,0.0,42.46,42.46,42.46,0.0,0.0
2018-04-08,42.73,42.73,42.73,0.0,0.0,42.73,42.73,42.73,0.0,0.0,42.73,42.73,42.73,0.0,0.0,42.73,42.73,42.73,0.0,0.0
2018-04-15,43.46,43.46,43.46,0.0,0.0,43.5,43.5,43.5,0.0,0.0,43.46,43.46,43.46,0.0,0.0,43.5,43.5,43.5,0.0,0.0
2018-04-22,43.0,43.0,43.0,0.0,0.0,43.1,43.1,43.1,0.0,0.0,43.0,43.0,43.0,0.0,0.0,43.1,43.1,43.1,0.0,0.0
2018-04-29,43.77,43.77,43.77,0.0,0.0,43.77,43.77,43.77,0.0,0.0,43.77,43.77,43.77,0.0,0.0,43.77,43.77,43.77,0.0,0.0
2018-05-06,43.93,43.93,43.93,0.0,0.0,43.93,43.93,43.93,0.0,0.0,43.92,43.92,43.92,0.0,0.0,43.92,43.92,43.92,0.0,0.0
2018-05-13,43.79,43.79,43.79,0.0,0.0,43.79,43.79,43.79,0.0,0.0,43.79,43.79,43.79,0.0,0.0,43.79,43.79,43.79,0.0,0.0
2018-05-20,42.37,42.37,42.37,0.0,0.0,42.8,42.8,42.8,0.0,0.0,42.37,42.37,42.37,0.0,0.0,42.6,42.6,42.6,0.0,0.0
2018-05-27,41.96,41.96,41.96,0.0,0.0,41.96,41.96,41.96,0.0,0.0,41.96,41.96,41.96,0.0,0.0,41.96,41.96,41.96,0.0,0.0
2018-06-03,43.39,43.39,43.39,0.0,0.0,43.39,43.39,43.39,0.0,0.0,43.39,43.39,43.39,0.0,0.0,43.39,43.39,43.39,0.0,0.0
2018-06-10,42.49,42.49,42.49,0.0,0.0,42.49,42.49,42.49,0.0,0.0,42.49,42.49,42.49,0.0,0.0,42.49,42.49,42.49,0.0,0.0
2018-06-17,40.97,40.97,40.97,0.0,0.0,41.18,41.18,41.18,0.0,0.0,40.97,40.97,40.97,0.0,0.0,41.18,41.18,41.18,0.0,0.0
2018-06-24,39.9,39.9,39.9,0.0,0.0,39.98,39.98,39.98,0.0,0.0,39.6,39.6,39.6,0.0,0.0,39.6,39.6,39.6,0.0,0.0
2018-07-01,38.63,38.63,38.63,0.0,0.0,38.76,38.76,38.76,0.0,0.0,38.63,38.63,38.63,0.0,0.0,38.76,38.76,38.76,0.0,0.0
2018-07-08,38.33,38.33,38.33,0.0,0.0,38.47,38.47,38.47,0.0,0.0,38.33,38.33,38.33,0.0,0.0,38.47,38.47,38.47,0.0,0.0
2018-07-15,40.11,40.11,40.11,0.0,0.0,40.11,40.11,40.11,0.0,0.0,40.11,40.11,40.11,0.0,0.0,40.11,40.11,40.11,0.0,0.0
2018-07-22,41.71,41.71,41.71,0.0,0.0,41.71,41.71,41.71,0.0,0.0,41.71,41.71,41.71,0.0,0.0,41.71,41.71,41.71,0.0,0.0
2018-07-29,39.87,39.87,39.87,0.0,0.0,39.87,39.87,39.87,0.0,0.0,39.87,39.87,39.87,0.0,0.0,39.87,39.87,39.87,0.0,0.0
2018-08-05,40.3,40.3,40.3,0.0,0.0,40.3,40.3,40.3,0.0,0.0,40.3,40.3,40.3,0.0,0.0,40.3,40.3,40.3,0.0,0.0
2018-08-12,38.44,38.44,38.44,0.0,0.0,38.45,38.45,38.45,0.0,0.0,38.08,38.08,38.08,0.0,0.0,38.08,38.08,38.08,0.0,0.0
2018-08-19,38.95,38.95,38.95,0.0,0.0,39.25,39.25,39.25,0.0,0.0,38.95,38.95,38.95,0.0,0.0,39.25,39.25,39.25,0.0,0.0
2018-08-26,40.01,40.01,40.01,0.0,0.0,40.01,40.01,40.01,0.0,0.0,39.78,39.78,39.78,0.0,0.0,39.78,39.78,39.78,0.0,0.0
2018-09-02,37.67,37.67,37.67,0.0,0.0,37.9,37.9,37.9,0.0,0.0,37.48,37.48,37.48,0.0,0.0,37.77,37.77,37.77,0.0,0.0
2018-09-09,39.56,39.56,39.56,0.0,0.0,39.57,39.57,39.57,0.0,0.0,39.56,39.56,39.56,0.0,0.0,39.57,39.57,39.57,0.0,0.0
2018-09-16,42.27,42.27,42.27,0.0,0.0,42.36,42.36,42.36,0.0,0.0,42.27,42.27,42.27,0.0,0.0,42.36,42.36,42.36,0.0,0.0
2018-09-23,42.77,42.77,42.77,0.0,0.0,42.77,42.77,42.77,0.0,0.0,42.65,42.65,42.65,0.0,0.0,42.65,42.65,42.65,0.0,0.0
2018-09-30,41.41,41.41,41.41,0.0,0.0,41.41,41.41,41.41,0.0,0.0,40.65,40.65,40.65,0.0,0.0,40.92,40.92,40.92,0.0,0.0
2018-10-07,37.16,37.16,37.16,0.0,0.0,37.54,37.54,37.54,0.0,0.0,37.16,37.16,37.16,0.0,0.0,37.54,37.54,37.54,0.0,0.0
2018-10-14,37.71,37.71,37.71,0.0,0.0,37.76,37.76,37.76,0.0,0.0,37.16,37.16,37.16,0.0,0.0,37.16,37.16,37.16,0.0,0.0
2018-10-21,33.25,33.25,33.25,0.0,0.0,34.33,34.33,34.33,0.0,0.0,33.25,33.25,33.25,0.0,0.0,33.48,33.48,33.48,0.0,0.0
2018-10-28,35.25,35.25,35.25,0.0,0.0,35.25,35.25,35.25,0.0,0.0,35.25,35.25,35.25,0.0,0.0,35.25,35.25,35.25,0.0,0.0
2018-11-04,36.0,36.0,36.0,0.0,0.0,36.0,36.0,36.0,0.0,0.0,36.0,36.0,36.0,0.0,0.0,36.0,36.0,36.0,0.0,0.0
2018-11-11,34.49,34.49,34.49,0.0,0.0,34.49,34.49,34.49,0.0,0.0,34.49,34.49,34.49,0.0,0.0,34.49,34.49,34.49,0.0,0.0
2018-11-18,33.88,33.88,33.88,0.0,0.0,33.88,33.88,33.88,0.0,0.0,33.88,33.88,33.88,0.0,0.0,33.88,33.88,33.88,0.0,0.0
2018-11-25,35.52,35.52,35.52,0.0,0.0,35.52,35.52,35.52,0.0,0.0,35.52,35.52,35.52,0.0,0.0,35.52,35.52,35.52,0.0,0.0
2018-12-02,33.45,33.45,33.45,0.0,0.0,33.45,33.45,33.45,0.0,0.0,33.45,33.45,33.45,0.0,0.0,33.45,33.45,33.45,0.0,0.0
2018-12-09,32.18,32.18,32.18,0.0,0.0,32.29,32.29,32.29,0.0,0.0,32.18,32.18,32.18,0.0,0.0,32.29,32.29,32.29,0.0,0.0
2018-12-16,28.75,28.75,28.75,0.0,0.0,28.75,28.75,28.75,0.0,0.0,28.74,28.74,28.74,0.0,0.0,28.74,28.74,28.74,0.0,0.0
2018-12-23,28.67,28.67,28.67,0.0,0.0,28.9,28.9,28.9,0.0,0.0,28.62,28.62,28.62,0.0,0.0,28.64,28.64,28.64,0.0,0.0
2018-12-30,30.73,30.73,30.73,0.0,0.0,30.73,30.73,30.73,0.0,0.0,30.35,30.35,30.35,0.0,0.0,30.49,30.49,30.49,0.0,0.0
2019-01-06,30.99,30.99,30.99,0.0,0.0,30.99,30.99,30.99,0.0,0.0,30.89,30.89,30.89,0.0,0.0,30.89,30.89,30.89,0.0,0.0
2019-01-13,32.45,32.45,32.45,0.0,0.0,32.48,32.48,32.48,0.0,0.0,32.22,32.22,32.22,0.0,0.0,32.48,32.48,32.48,0.0,0.0
2019-01-20,32.52,32.52,32.52,0.0,0.0,32.52,32.52,32.52,0.0,0.0,32.18,32.18,32.18,0.0,0.0,32.18,32.18,32.18,0.0,0.0
2019-01-27,31.89,31.89,31.89,0.0,0.0,32.13,32.13,32.13,0.0,0.0,31.89,31.89,31.89,0.0,0.0,32.07,32.07,32.07,0.0,0.0
2019-02-03,30.56,30.56,30.56,0.0,0.0,30.56,30.56,30.56,0.0,0.0,30.56,30.56,30.56,0.0,0.0,30.56,30.56,30.56,0.0,0.0
2019-02-10,32.25,32.25,32.25,0.0,0.0,32.67,32.67,32.67,0.0,0.0,32.25,32.25,32.25,0.0,0.0,32.67,32.67,32.67,0.0,0.0
2019-02-17,32.89,32.89,32.89,0.0,0.0,32.89,32.89,32.89,0.0,0.0,32.89,32.89,32.89,0.0,0.0,32.89,32.89,32.89,0.0,0.0
2019-02-24,32.61,32.61,32.61,0.0,0.0,32.61,32.61,32.61,0.0,0.0,32.61,32.61,32.61,0.0,0.0,32.61,32.61,32.61,0.0,0.0
2019-03-03,30.82,30.82,30.82,0.0,0.0,31.07,31.07,31.07,0.0,0.0,30.82,30.82,30.82,0.0,0.0,31.07,31.07,31.07,0.0,0.0
2019-03-10,32.25,32.25,32.25,0.0,0.0,32.25,32.25,32.25,0.0,0.0,32.12,32.12,32.12,0.0,0.0,32.18,32.18,32.18,0.0,0.0
2019-03-17,32.13,32.13,32.13,0.0,0.0,32.13,32.13,32.13,0.0,0.0,32.13,32.13,32.13,0.0,0.0,32.13,32.13,32.13,0.0,0.0
2019-03-24,32.59,32.59,32.59,0.0,0.0,32.6,32.6,32.6,0.0,0.0,32.59,32.59,32.59,0.0,0.0,32.6,32.6,32.6,0.0,0.0
2019-03-31,33.03,33.03,33.03,0.0,0.0,33.27,33.27,33.27,0.0,0.0,33.03,33.03,33.03,0.0,0.0,33.27,33.27,33.27,0.0,0.0
2019-04-07,32.6,32.6,32.6,0.0,0.0,32.93,32.93,32.93,0.0,0.0,32.6,32.6,32.6,0.0,0.0,32.87,32.87,32.87,0.0,0.0
2019-04-14,33.27,33.27,33.27,0.0,0.0,33.27,33.27,33.27,0.0,0.0,33.27,33.27,33.27,0.0,0.0,33.27,33.27,33.27,0.0,0.0
2019-04-21,33.22,33.22,33.22,0.0,0.0,33.28,33.28,33.28,0.0,0.0,32.95,32.95,32.95,0.0,0.0,33.23,33.23,33.23,0.0,0.0
2019-04-28,33.76,33.76,33.76,0.0,0.0,33.92,33.92,33.92,0.0,0.0,33.76,33.76,33.76,0.0,0.0,33.92,33.92,33.92,0.0,0.0
2019-05-05,30.96,30.96,30.96,0.0,0.0,31.52,31.52,31.52,0.0,0.0,30.96,30.96,30.96,0.0,0.0,31.52,31.52,31.52,0.0,0.0
2019-05-12,31.2,31.2,31.2,0.0,0.0,31.2,31.2,31.2,0.0,0.0,31.2,31.2,31.2,0.0,0.0,31.2,31.2,31.2,0.0,0.0
2019-05-19,31.03,31.03,31.03,0.0,0.0,31.03,31.03,31.03,0.0,0.0,31.03,31.03,31.03,0.0,0.0,31.03,31.03,31.03,0.0,0.0
2019-05-26,30.02,30.02,30.02,0.0,0.0,30.02,30.02,30.02,0.0,0.0,30.02,30.02,30.02,0.0,0.0,30.02,30.02,30.02,0.0,0.0
2019-06-02,31.87,31.87,31.87,0.0,0.0,31.87,31.87,31.87,0.0,0.0,31.78,31.78,31.78,0.0,0.0,31.78,31.78,31.78,0.0,0.0
2019-06-09,31.31,31.31,31.31,0.0,0.0,31.31,31.31,31.31,0.0,0.0,31.31,31.31,31.31,0.0,0.0,31.31,31.31,31.31,0.0,0.0
2019-06-16,32.62,32.62,32.62,0.0,0.0,32.62,32.62,32.62,0.0,0.0,32.46,32.46,32.46,0.0,0.0,32.46,32.46,32.46,0.0,0.0
2019-06-23,32.7,32.7,32.7,0.0,0.0,32.7,32.7,32.7,0.0,0.0,32.57,32.57,32.57,0.0,0.0,32.57,32.57,32.57,0.0,0.0
2019-06-30,33.51,33.51,33.51,0.0,0.0,33.51,33.51,33.51,0.0,0.0,33.51,33.51,33.51,0.0,0.0,33.51,33.51,33.51,0.0,0.0
2019-07-07,32.97,32.97,32.97,0.0,0.0,33.12,33.12,33.12,0.0,0.0,32.97,32.97,32.97,0.0,0.0,33.12,33.12,33.12,0.0,0.0
2019-07-14,32.69,32.69,32.69,0.0,0.0,32.69,32.69,32.69,0.0,0.0,32.59,32.59,32.59,0.0,0.0,32.59,32.59,32.59,0.0,0.0
2019-07-21,32.69,32.69,32.69,0.0,0.0,32.69,32.69,32.69,0.0,0.0,32.69,32.69,32.69,0.0,0.0,32.69,32.69,32.69,0.0,0.0
2019-07-28,31.49,31.49,31.49,0.0,0.0,31.75,31.75,31.75,0.0,0.0,31.44,31.44,31.44,0.0,0.0,31.75,31.75,31.75,0.0,0.0
2019-08-04,31.2,31.2,31.2,0.0,0.0,31.33,31.33,31.33,0.0,0.0,31.07,31.07,31.07,0.0,0.0,31.19,31.19,31.19,0.0,0.0
2019-08-11,30.33,30.33,30.33,0.0,0.0,30.93,30.93,30.93,0.0,0.0,30.33,30.33,30.33,0.0,0.0,30.93,30.93,30.93,0.0,0.0
2019-08-18,30.94,30.94,30.94,0.0,0.0,30.94,30.94,30.94,0.0,0.0,30.16,30.16,30.16,0.0,0.0,30.16,30.16,30.16,0.0,0.0
2019-08-25,31.44,31.44,31.44,0.0,0.0,31.44,31.44,31.44,0.0,0.0,31.44,31.44,31.44,0.0,0.0,31.44,31.44,31.44,0.0,0.0
2019-09-01,32.44,32.44,32.44,0.0,0.0,32.44,32.44,32.44,0.0,0.0,32.44,32.44,32.44,0.0,0.0,32.44,32.44,32.44,0.0,0.0
2019-09-08,34.7,34.7,34.7,0.0,0.0,34.91,34.91,34.91,0.0,0.0,34.7,34.7,34.7,0.0,0.0,34.91,34.91,34.91,0.0,0.0
2019-09-15,35.12,35.12,35.12,0.0,0.0,35.13,35.13,35.13,0.0,0.0,35.0,35.0,35.0,0.0,0.0,35.0,35.0,35.0,0.0,0.0
2019-09-22,34.96,34.96,34.96,0.0,0.0,34.96,34.96,34.96,0.0,0.0,34.37,34.37,34.37,0.0,0.0,34.38,34.38,34.38,0.0,0.0
2019-09-29,34.37,34.37,34.37,0.0,0.0,34.61,34.61,34.61,0.0,0.0,34.08,34.08,34.08,0.0,0.0,34.61,34.61,34.61,0.0,0.0
2019-10-06,34.99,34.99,34.99,0.0,0.0,35.11,35.11,35.11,0.0,0.0,34.99,34.99,34.99,0.0,0.0,35.11,35.11,35.11,0.0,0.0
2019-10-13,35.26,35.26,35.26,0.0,0.0,35.35,35.35,35.35,0.0,0.0,35.26,35.26,35.26,0.0,0.0,35.35,35.35,35.35,0.0,0.0
2019-10-20,35.9,35.9,35.9,0.0,0.0,36.21,36.21,36.21,0.0,0.0,35.9,35.9,35.9,0.0,0.0,36.21,36.21,36.21,0.0,0.0
2019-10-27,37.69,37.69,37.69,0.0,0.0,37.74,37.74,37.74,0.0,0.0,37.6,37.6,37.6,0.0,0.0,37.6,37.6,37.6,0.0,0.0
2019-11-03,38.46,38.46,38.46,0.0,0.0,38.46,38.46,38.46,0.0,0.0,38.12,38.12,38.12,0.0,0.0,38.43,38.43,38.43,0.0,0.0
2019-11-10,38.14,38.14,38.14,0.0,0.0,38.14,38.14,38.14,0.0,0.0,38.14,38.14,38.14,0.0,0.0,38.14,38.14,38.14,0.0,0.0
2019-11-17,37.89,37.89,37.89,0.0,0.0,37.89,37.89,37.89,0.0,0.0,37.89,37.89,37.89,0.0,0.0,37.89,37.89,37.89,0.0,0.0
2019-11-24,37.62,37.62,37.62,0.0,0.0,37.67,37.67,37.67,0.0,0.0,37.62,37.62,37.62,0.0,0.0,37.67,37.67,37.67,0.0,0.0
2019-12-01,39.22,39.22,39.22,0.0,0.0,39.27,39.27,39.27,0.0,0.0,39.18,39.18,39.18,0.0,0.0,39.26,39.26,39.26,0.0,0.0
2019-12-08,39.24,39.24,39.24,0.0,0.0,39.27,39.27,39.27,0.0,0.0,39.24,39.24,39.24,0.0,0.0,39.27,39.27,39.27,0.0,0.0
2019-12-15,38.98,38.98,38.98,0.0,0.0,39.1,39.1,39.1,0.0,0.0,38.98,38.98,38.98,0.0,0.0,39.0,39.0,39.0,0.0,0.0
2019-12-22,38.66,38.66,38.66,0.0,0.0,38.66,38.66,38.66,0.0,0.0,38.66,38.66,38.66,0.0,0.0,38.66,38.66,38.66,0.0,0.0
2019-12-29,38.4,38.4,38.4,0.0,0.0,38.46,38.46,38.46,0.0,0.0,38.15,38.15,38.15,0.0,0.0,38.15,38.15,38.15,0.0,0.0
